entity,plan_vintage,pin,variant,name,county,in_wfrc_region,forecast_start_year,cost,status,funding_source_raw,description,source_layer
wfrc_mpo,2020-2025,9994,,"US-89; State St., 220 So P.G. to 500 East A.F.",Utah,0,2020,19824598.93,Active,,This project will widen US-89 to a 7 lane section from 220 S Pleasant Grove to 500 E American Fork. The lane configuration will be similar to the Pleasant Grove widening. The project will also add buffered bike lanes and improve the major intersections including 500 E and North County Blvd.,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,10010,,I-15; Spall Repair (top low patches),Salt Lake,1,2017,5121739.66,Close Out,,"To preserve and improve the freeway pavement on I-15, UDOT replaced or repaired damaged or overly worn concrete in Salt Lake County from 10600 South to 600 North, both northbound and southbound. This included the ramps, interchanges and portions of roadway immediately surrounding interchanges. The project consisted of: crack repairs, repairing or replacing patched areas, and reestablishing all striping and other pavement markings on I-15, ramps and portions of roadway immediately surrounding interchanges.",TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,10014,,Harrison Blvd. (South): 7th Street to 2nd Street,Weber,1,2012,4265665.75,Close Out,,"This project will fully reconstruct the existing roadway. Reconstruction includes the removal of the old road as well as the base materials it was built on. Reconstruction might also include drainage and drainage systems, new signing and striping, widening, including additional lanes, widened shoulders and auxiliary lanes.",TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,10263,,I-15; Payson Main Interchange,Utah,0,2014,3894879,Active,,This project will build a new bridge. The bridge will be built to current design standards that will provide for improved safety and mobility.,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,10265,,SR-198; Woodland Hills Dr to Arrowhead Trail in SF,Utah,0,2016,8213411.34,Under Construction,,This project will widen SR-198 to 5 lanes between Woodland Hills Dr and Arrowhead Trail in Spanish Fork.  Construction should be the 2019 Season. Signal and intersection improvements at Woodland Hills Drive will be included.,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,10266,,Provo/Orem Transportation Improvement Project,Utah,0,2016,47540999,Active,,"Working in partnership with the Utah Transit Authority, and the cities of Provo and Orem, University Parkway, University Ave and 700 N, 700 E and 900 N, the roadways and adjacent facilites were improved to accommodate exclusive bus lanes and other multimodal improvements.  Roadways were reconstructed where the exclusive bus lanes are located, Signal improvements were made to efficiently move all forms of travel.",TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,10491,,"I-15, 2700 N (Farr West) to 1100 S (Brigham City)",Various,,2015,51804482,Close Out,,"This project constructed new lanes to the inside of the existing roadway to add capacity for the heavily traveled interstate section.  Construction included the enlargement of several overpass bridges that service the arterial routes along the segment, construction of several drainage additions and improvements and a center line crash barrier for added safety.",TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,10603,,Bangerter Highway Interchange at 600 W,Salt Lake,1,2013,43539071.83,Contract Closed Out,,UDOT installed a new grade-separated interchange. A barrier was extended through the existing intersection at 200 W. and signal removed to create a right-in right-out access.,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,10689,,SR-68; Centennial Blvd to Pioneer Crossing,Utah,0,2017,16151585.38,Close Out,,"UDOT will improve Redwood Road south of Pioneer Crossing in Saratoga Springs to reduce congestion and improve mobility. Improvements include widening, adding turn lanes, extending bike lanes and resurfacing.",TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,10711,,Helper - US-6 Fiber,Carbon,0,2013,453028.51,Close Out,,"All of the Advanced Traffic Management System (ATMS) devices require a high speed fiber optic backbone. This system covers major corridors throughout the state of Utah. Projects include the placement of new, and maintenance of, conduits and fiber optic cables.",TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,10783,,SR-18; St. George Blvd. to Sunset Blvd.,Washington,0,2018,41157687.5,Under Construction,,"This project will modify an existing roadway and could include turn lanes, improved signal operations and better access.",TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,10827,,RWIS Expansion and Upgrades,Salt Lake,1,2013,1950000,Active,,Other - Traffic Management & ITS Projects,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,10858,,"Prospector Ave, Park City",Summit,0,2018,2614197,Substantially Compl,,Small Urban,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,10859,,1900 East Price Phase II: 300 N to 600 North,Carbon,0,2017,888000,Close Out,,Small Urban,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,10880,,Browns Park Road Phase 3,Daggett,0,2019,1823447.3900000001,Substantially Compl,,Local Government project will improve approximately 7 miles of Brown's Park Road. Construction will occur during 2017.,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,10882,,"300 West: SR-89 to Buttercup Blvd, Garden City",Rich,0,2018,1422616,Close Out,,Non-Urban,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,10891,,SR-270; 9th South Connector Bridge Rehabilitation,Salt Lake,1,2013,5395000,Close Out,,"Preservation efforts included resurfacing, bridge repairs, and lane leveling the bridge approach.",TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,10944,,I-15; South Davis Operational Upgrades,Various,,2013,106789015.43,Close Out,,"The Utah Department of Transportation (UDOT) made improvements to mobility on I-15 and east/west corridors in South Davis County to meet current traffic needs with the limited funding available. The I-15 South Davis Improvements project added ExpressLanes in both directions from the north I-215 interchange to U.S. 89 in Farmington; replaced aging bridges at 2600 South, 1500 South, 500 South, and 400 North; reconfigured the interchanges at 2600 South and 500 South in Bountiful to improve east/west mobility; and improved active transportation at 500 South, 400 North and Parrish Lane.",TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,11086,,SR-89; 6400 South to 4300 South,Salt Lake,1,2020,4769500,Active,,Preservation High Volume,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,11105,,SR-89; 12300 South to 11800 South,Salt Lake,1,2019,700000,Awarded,,Preservation High Volume,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,11203,,SR-68; Bangerter Hwy to 12600 S,Salt Lake,1,2017,47764788.35,Under Construction,,"This project will widen the last remaining two-lane segment of Redwood Road to seven lanes to meet the immediate and future traffic needs on the corridor. Once complete, Redwood Road will provide motorists an improved, more efficient commute between Salt Lake and Utah Counties.",TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,11268,,West Davis Highway,Davis,1,2020,799700000,Scoping,,New Capacity,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,11394,,SR-68; Center Rumble Strips (MP 16.9-25.35),Utah,0,2013,269999.99,Active,,This project will install center line rumble strip throughout the length of the project and widen the roadway at selected locations as safety improvements to reduce the potential for vehicles to leave the travel lane.,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,11433,,US-191; South Moab to Blue Hill,Various,,2017,3442752,Physically Complete,,Choke Point,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,11438,,"I-15; MP 37 - MP 44, Add NB Climbing Lane",Various,,2018,24468164.1,Under Construction,,This project is expected to extend a northbound passing lane between mileposts 37 and 42,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,11442,,SR-18; Interchange at Bluff and Sunset Streets,Washington,0,2017,5751179,Scoping,,"This project will fully reconstruct the existing roadway. Reconstruction includes the removal of the old road as well as the base materials it was built on. Reconstruction might also include drainage and drainage systems, new signing and striping, widening, including additional lanes, widened shoulders and auxiliary lanes.",TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,11454,,SR-7; Warner Valley to Washington Dam Road,Washington,0,2017,18779200.08,Closed,,New Capacity,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,11458,,SR-7 (Southern Parkway); Sand Hollow to SR-9,Washington,0,2019,74928455.8,Active,,New Capacity,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,11467,,"I-15; MP 22  to MP 28, Add NB Climbing Lane",Washington,0,2017,15150000,Substantially Compl,,"Passing Lane
This project will add a lane to accommodate additional vehicles or improve traffic flow.",TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,11468,,I-15; Orem 800 S/UVU Interchange,Utah,0,2023,130000000,Proposed,,"TIF - Transportation Investment Fund
New Interchange on Existing Freeway",TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,11475,,SR-115 & SR-75; 2 Locations Payson & Springville,Utah,0,2019,5799000,Active,,This project rehabilitates the two bridges on SR-75 (1400 North) in Springville.  This will lengthen the lifespan of the two bridges.,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,11476,,"I-15; Honeyville Interchange, F-24",Box Elder,1,2017,5031678,Close Out,,"The existing bridge will be demolished and the new, wider bridge will be constructed in its place.",TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,11477,,SR-108; SR-127 to SR-107,Davis,1,2018,52256191.79,Substantially Compl,,This project will widen the roadway to two lanes in each direction with a center turn lane.,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,11481,,SR-108; SR-37 to SR-79,Weber,1,2014,18822788.71,Close Out,,"This project reconstructed the existing roadway. Reconstruction included the removal of the old road as well as the base materials it was built on. The project included two travel lanes in each direction with a center turn lane, 12' shoulder, curb and gutter, park strip, sidewalk, intersection improvements at 4000 South and Midland Drive and Drainage improvements.",TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,11497,,SR-201; I-80 to Jordan River,Various,,2020,3024000,Scoping,,Rehabilitation High Volume,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,11500,,I-80; MP 30 to 41,Tooele,1,2019,1200000,Substantially Compl,,Preservation High Volume,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,11515,,SR-9; Rockville to Zion National Park,Washington,0,2016,18767190.32,Substantially Compl,,"The project will widen the shoulders on S.R. 9 between Rockville and Springdale, resurface the roadway in Rockville and reconstruct the roadway in Springdale, make improvements to the ditch system in Springdale and upgrade the bicycle and pedestrian facilities.",TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,11532,,SR-130; North Cedar to MP 9,Iron,0,2019,4500000,Scoping,,Choke Point,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,11608,,I-15; Exit 16 Interchange Improvements Phase 1,Washington,0,2019,28900000,Under Construction,,"Upgrade existing interchange to include new lanes, improved curves and speeds and longer, wider bridge over S.R. 9.",TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,11746,,Commuter Rail North Pedestrian Treatments Program,Salt Lake,1,2013,1367017.09,Close Out,,Railway-Highway Grade Crossing,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,11827,,"I-15 Northbound, 10600 S. Interchange Improvement",Salt Lake,1,2017,23880330,Close Out,,"UDOT will construct a crossing under 10600 South that connects the I-15 northbound off-ramp to Monroe Street. This crossing will ease off-ramp congestion and increase safety for vehicles using the off-ramp to access eastbound 10600 South. In addition, the bridge deck over I-15 will be resurfaced to provide a smoother driving surface and preserve the life of the structure.",TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,11852,,"Moab City, Millcreek Drive Intersection Improvemen",Grand,0,2018,1650000,Close Out,,Small Urban,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,11854,,"Summit County, Kilby Road Landmark Drive",Summit,0,2017,1500000,Substantially Compl,,Small Urban,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,11856,,"SR-138 & Village Road Improvements, Tooele County",Tooele,1,2018,911723.65,Scoping,,Small Urban,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,11858,,"Hoytsville, Structure Replacement 043046C",Summit,0,2018,1164738.3900000001,Under Construction,,Off-System Bridge,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,11859,,"Rockville Town, Structure Rehab.",Washington,0,2017,2500000,Contract Closed Out,,Off-System Bridge,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,11897,,US-89 (500 W); 500 S to Bulldog Blvd in Provo,Utah,0,2019,21868515.66,Under Construction,,This project will replace the existing pavement with new concrete pavement from 300 S to 800 N.  The project will also widen then roadway from Center Street to 800 N to accommodate an new buffered bike lane.  A mulit use trail will be constructed on the east side of the roadway.   The tunnel at 500 N will be replaced with an upgraded intersection at 500 N.  Various utility replacements will be made.  Light and signal upgrades will be included with the project.  A new bike/pedestrian crossing will be installed at 300 North.,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,11978,,US-6; Passing Lanes MP 262.5 to MP 297,Emery,0,2014,7713927.01,Close Out,,Passing Lane,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,11979,,US-191; Passing Lanes MP 82.1 to 96.2,San Juan,0,2014,5538461,Close Out,,Passing Lane,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,11982,,"SR-85; Mountain View Corridor, SR-73 to 2100 North",Utah,0,2018,41533899.53,Under Construction,,This project will build two new lanes in each direction from SR-73 at Foothill Blvd to the intersection of Redwood Road and 2100 North in Lehi.  The roadwill will be two frontage roads similar to 2100 North (SR-85),TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,11986,,Porter Rockwell Blvd. (5th Segment),Salt Lake,1,2018,6466378.85,Under Construction,,This project will fully reconstruct the existing roadway and incorporates added capacity such as new lanes. Reconstruction includes the removal of the old road as well as the base materials it was built on. Crews are then able to build a completely new roadway integrating updated design and safety features. By completing this project UDOT is able to optimize mobility in Utah's transportation system.,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,12042,,Statewide Railroad Signal Preemption Upgrades,Salt Lake,1,2014,800000,Active,,Railway-Highway Grade Crossing,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,12158,,"I-15; Lehi Main to SR-92, Technology Corridor",Utah,0,2019,415001021.27,Under Construction,,Widen Existing Facility,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,12159,,SR-114; Realignment & Signal at 400 N in Orem,Utah,0,2021,2694224.76,Scoping,,Vineyard Town is currently working on a design to relocate the existing railroad tracts adjacent to SR-114 to follow the existing Frontrunner line through this area. The track relocationwill vacate the existing railroad corridor making the property avalable for acquisition by UDOT to re-align the SR-114/400 North intersection. The existing railroad tracks cross SD-114 on a skew at 400 North causing the intersection to be on a curve. It is recommended that the intersection be realigned to elimiinate teh skew and connect Vineyard 400 North to the west leg of the intersection. This project will also construct a new traffic signal at 400 North.,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,12162,,SR-121; 2 Locations Rehab.,Various,,2017,5492381.79,Close Out,,Rehabilitation High Volume,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,12168,,"SR-203; 4875 S. 3850 S. Sidewalk, Ogden",Weber,1,2018,500000,Awarded,,Contingency Funds,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,12179,,"US-89; MP 461.5-492.0, Slow Vehicle Turn-Outs",Cache,0,2019,450000,Under Construction,,"This project will improve safety in small localized areas as determined by crash and traffic evaluation.
Roadside Safety efforts are targeted towards keeping vehicles from leaving the roadway and mitigating crash severity when vehicles do leave the road. UDOT uses rumble strips, cable barriers, guardrails, and concrete barriers are all used to mitigate crash severity.",TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,12203,,"SR-62; MP 31.73-37.83, Shoulder Improvements",Various,,2016,100000,Under Construction,,"This project will focus on clearzone improvements including pipe extensions and slope flattening. The project will improve safety in small localized areas as determined by crash and traffic evaluation.
Roadside Safety efforts are targeted towards keeping vehicles from leaving the roadway and mitigating crash severity when vehicles do leave the road.",TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,12211,,Traffic & Safety Program Management Support FY15,Salt Lake,1,2015,1865341.72,Active,,"Contractors and consultants provide a variety of services including engineering, administration and right of way to help the Department.",TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,12213,,Traffic & Safety Program Management Support FY16,Salt Lake,1,2016,2000000,Close Out,,"Highway Safety Improvement
Contractors and consultants provide a variety of services including engineering, administration and right of way to help the Department.",TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,12217,,Traffic & Safety Program Management Support FY17,Salt Lake,1,2017,2555222,Active,,"Highway Safety Improvement
Contractors and consultants provide a variety of services including engineering, administration and right of way to help the Department.",TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,12291,,SR-193; SR-232 to US-89,Davis,1,2016,4200000,Close Out,,"UDOT will repave S.R. 193 between Hill Field Road and U.S. 89. As part of the work, crews will also rebuild pedestrian ramps throughout the project limits. This project will extend the life of the roadway and provide a smoother ride for drivers. By completing these types of projects, UDOT preserves Utah's infrastructure by applying cost effective treatments before major rehabilitation is required.",TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,12298,,I-15; SR-13 to SR-240,Box Elder,1,2016,10500000,Close Out,,This pavement rehabilitation project will extend the life of the pavement in the project area.  By completing this project UDOT is able to preserve Utah's infrastructure by applying cost effective treatments before major rehabilitation is required.,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,12302,,US-189; University Parkway to Jct. SR-52 in Orem,Utah,0,2018,1050046.01,Close Out,,"Resurfacing, new striping and sign installation.",TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,12303,,SR-114; Provo Center St to 1200 S Orem,Utah,0,2019,2306004.5,Awarded,,Rehabilitation High Volume,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,12304,,SR-92; AF Canyon and SR-144,Utah,0,2020,7625998.59,Active,,Rehabilitation High Volume,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,12305,,I-15; Juab Co. Line to Sevier River,Various,,2020,15100000,Active,,High Volume,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,12309,,SR-114;1600 N Orem to State Street PG,Utah,0,2019,1700867.9,Awarded,,"In an effort to preserve the longevity of the roadway the project will be a 1 1/2"" mill with a 1 1/2"" SMA replacement.",TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,12310,,SR-45; MP 14 to Glen Bench Rd.,Uintah,0,2018,2255101,Close Out,,Rehabilitation High Volume,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,12389,,"SR-102; Bridge over West Canal, D-820",Box Elder,1,2018,810000,Close Out,,UDOT replaced the bridge on 11600 West (S.R. 102) over the West Canal in Thatcher. The bridge had reached the end of its useful life and was replaced.,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,12390,,SR-311; Strawberry River Bridge & Rehab Project,Duchesne,0,2018,3591250,Under Construction,,Replace existing bridge structure over the Strawberry River along SR-311. Rotomill and repave existing roadway over the entire length. Bridge construction is schedule during winter 2018-2019 followed by roadway resurfacing during Spring/Summer 2019.,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,12415,,SR-108;Freeport Center Bridge Preservation,Davis,1,2017,1450000,Under Construction,,"This project will repair the bridge approaches, patch potholes, and replace roadway markings.",TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,12439,,"US-89; Over Long Valley Creek, C-204",Kane,0,2018,350000,Scoping,,"This project will preserve Utah¿s bridge infrastructure by applying cost effective treatments before major rehabilitation is required. The preservation efforts may include the resurfacing of the bridge deck, leveling the approach, replacing bearings and expansion joints.",TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,12444,,"SR-113; Provo River Structure Rehab, D-470",Wasatch,0,2018,450000,Close Out,,"This project preserved Utah's bridge infrastructure by applying cost effective treatments before major rehabilitation was required. The minor rehabilitation efforts included painting the steel girders, bent cap repair, the resurfacing of the bridge deck, leveling the approach, replacing bearings and expansion joints.",TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,12445,,"I-84;Echo Junction Deck Replacement, C-475",Summit,0,2019,3000000,Under Construction,,Replacement and Rehabilitation - Structure,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,12446,,SR-39; Ogden to Pineview Reservoir Bridge Rehab,Weber,1,2019,4680000.02,Under Construction,,Replacing one and rehabilitating two bridges in Ogden Canyon to improve safety and plan for future improvements to the canyon.,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,12502,,SR-48; Bangerter to Redwood,Salt Lake,1,2018,2479641.99,Under Construction,,Preservation High Volume,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,12511,,US-89; Circleville Canyon to Circleville,Garfield,0,2019,3778870,Awarded,,Rehabilitation High Volume,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,12521,,SR-173; Bangerter Hwy to 1500 West,Salt Lake,1,2019,3415000,Under Construction,,"Remove and replace the asphalt pavement and upgrade curb, gutter and pedestrian ramps.",TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,12561,,"US-89, 11400 South to 10600 South",Salt Lake,1,2018,9719664.98,Substantially Compl,,"Planned improvements includes updating utilities, improving intersections, installing sidewalk and curb and gutter, restripeing and resurfacing.",TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,12565,,SR-111; SR-201 to 3500 South,Salt Lake,1,2017,5826428.01,Close Out,,S.R. 111 will be widened to four lanes from S.R. 201 to Magna Main Street and repaved from S.R. 201 to 3500 South.,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,12566,,4 Interchanges on Bangerter Highway,Salt Lake,1,2019,216345711.3,Substantially Compl,,"Replacing 4 existing intersections (5400 S, 7000 S, 9000 S and 11400 S) to New (Freeway type) Interchanges",TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,12570,,SR-32; Peoa to Wanship,Summit,0,2020,3528000,Scoping,,Rehabilitation High Volume,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,12571,,SR-73: SR-36 to Utah Co. Line,Various,,2019,8361450,Awarded,,Rehabilitation High Volume,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,12587,,I-15; SB 12300 South to SR-201,Salt Lake,1,2018,180609000,Under Construction,,"UDOT is adding a lane to southbound I-15, as well as widening 7200 South from I-15 west to Bingham Junction in Midvale. Modifications to the I-15 interchange at I-215 are also being made to increase traffic flow in this area.",TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,12614,,"US-91, 3200 S, & 2000 W Intersection Realignment",Cache,0,2021,428644.01,Scoping,,,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,12624,,"Devil's Slide Bridge, Near Croydon, 029014D",Morgan,1,2019,2200000,Scoping,,Replacement and Rehabilitation - Structure,TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,12625,,Travel Weather Information,Salt Lake,1,2014,1265000,Active,,"In addition to gathering data UDOT also looks for ways to share it with drivers so that they can make good travel decisions. The UDOT Traffic website and app allows motorists to access current statewide road conditions including traffic and weather cameras, roadway sensors and road forecasts. This project will repair and/or improve these public facing systems.",TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,12638,,Traffic Signal Interconnect - various locations,Salt Lake,1,2018,1300000,Close Out,,"All of the Advanced Traffic Management System (ATMS) devices require a high speed fiber optic backbone. This system covers major corridors throughout the state of Utah. Projects include the placement of new, and maintenance of, conduits and fiber optic cables.",TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,12640,,VMS: I-15 MP 292; I-215 MP 7; SR-201 MP 15,Salt Lake,1,2017,1952700,Close Out,,"ATMS otherwise know as Advanced Traffic Management System is the Department's system of applying technology (cameras, variable message signs, road weather information systems, etc.) to minimize traffic congestion and improve safety. This project will install or repair components of the ATMS systems.",TIP20202025_gdb__L0_lines
wfrc_mpo,2020-2025,12649,,PeMS Annual Support,Salt Lake,1,2016,580000,Active,,"ATMS otherwise know as Advanced Traffic Management System is the Department's system of applying technology (cameras, variable message signs, road weather information systems, etc.) to minimize traffic congestion and improve safety. This project will install or repair components of the ATMS systems.",TIP20202025_gdb__L0_lines
