entity,pin,name_latest,n_vintages,first_vintage,last_vintage,vintages,entered_tip,left_censored,exited_tip,first_forecast_year,last_forecast_year,slip_years,first_cost,last_cost,cost_drift_pct,last_status,statuses,counties,in_wfrc_region,rtp_unique_id,rtp_match_confidence
wfrc_mpo,10266,Provo/Orem Transportation Improvement Project,1,2020-2025,2020-2025,2020-2025,2020-2025,1,,2016,2016,0,47540999,47540999,,Active,Active,Utah,0,,
wfrc_mpo,10491,"I-15, 2700 N (Farr West) to 1100 S (Brigham City)",1,2020-2025,2020-2025,2020-2025,2020-2025,1,,2015,2015,0,51804482,51804482,,Close Out,Close Out,Various,,,
wfrc_mpo,10603,Bangerter Highway Interchange at 600 W,1,2020-2025,2020-2025,2020-2025,2020-2025,1,2021-2026,2013,2013,0,43539071.83,43539071.83,,Contract Closed Out,Contract Closed Out,Salt Lake,1,,
wfrc_mpo,10689,SR-68; Centennial Blvd to Pioneer Crossing,1,2020-2025,2020-2025,2020-2025,2020-2025,1,,2017,2017,0,16151585.38,16151585.38,,Close Out,Close Out,Utah,0,,
wfrc_mpo,10711,Helper - US-6 Fiber,1,2020-2025,2020-2025,2020-2025,2020-2025,1,,2013,2013,0,453028.51,453028.51,,Close Out,Close Out,Carbon,0,,
wfrc_mpo,10783,SR-18; St. George Blvd. to Sunset Blvd.,1,2020-2025,2020-2025,2020-2025,2020-2025,1,,2018,2018,0,41157687.5,41157687.5,,Under Construction,Under Construction,Washington,0,,
wfrc_mpo,10827,RWIS Expansion and Upgrades,1,2020-2025,2020-2025,2020-2025,2020-2025,1,2021-2026,2013,2013,0,1950000,1950000,,Active,Active,Salt Lake,1,,
wfrc_mpo,10858,"Prospector Ave, Park City",1,2020-2025,2020-2025,2020-2025,2020-2025,1,,2018,2018,0,2614197,2614197,,Substantially Compl,Substantially Compl,Summit,0,,
wfrc_mpo,10859,1900 East Price Phase II: 300 N to 600 North,1,2020-2025,2020-2025,2020-2025,2020-2025,1,,2017,2017,0,888000,888000,,Close Out,Close Out,Carbon,0,,
wfrc_mpo,10880,Browns Park Road Phase 3,1,2020-2025,2020-2025,2020-2025,2020-2025,1,,2019,2019,0,1823447.3900000001,1823447.3900000001,,Substantially Compl,Substantially Compl,Daggett,0,,
wfrc_mpo,10882,"300 West: SR-89 to Buttercup Blvd, Garden City",1,2020-2025,2020-2025,2020-2025,2020-2025,1,,2018,2018,0,1422616,1422616,,Close Out,Close Out,Rich,0,,
wfrc_mpo,10891,SR-270; 9th South Connector Bridge Rehabilitation,1,2020-2025,2020-2025,2020-2025,2020-2025,1,2021-2026,2013,2013,0,5395000,5395000,,Close Out,Close Out,Salt Lake,1,,
wfrc_mpo,10944,I-15; South Davis Operational Upgrades,2,2020-2025,2021-2026,2020-2025|2021-2026,2020-2025,1,,2013,2013,0,106789015.43,106789000,-0.0,Close Out,Close Out,Various,,,
wfrc_mpo,11082,Redwood Road 4100 South to 5400 South,5,2021-2026,2025-2030,2021-2026|2022-2027|2023-2028|2024-2029|2025-2030,2021-2026,,2026-2031,2013,2022,9,13343000,16083000,20.5,Under Construction,Scoping|Under Construction,Salt Lake,1,,
wfrc_mpo,11083,1300 East; 1300 South to 2100 South,1,2021-2026,2021-2026,2021-2026,2021-2026,,2022-2027,2021,2021,0,10519000,10519000,,Under Construction,Under Construction,Salt Lake,1,,
wfrc_mpo,11085,4700 South; 4000 West to 5600 West,4,2021-2026,2024-2029,2021-2026|2022-2027|2023-2028|2024-2029,2021-2026,,2025-2030,2020,2022,2,16145000,26060000,61.4,Under Construction,Scoping|Under Construction,Salt Lake,1,,
wfrc_mpo,11086,US-89; I-215 to 4300 South,2,2020-2025,2021-2026,2020-2025|2021-2026,2020-2025,1,2022-2027,2020,2021,1,4769500,5020000,5.3,Close Out,Active|Close Out,Salt Lake,1,,
wfrc_mpo,11090,3000 West; 700 South to Bluff Road,1,2021-2026,2021-2026,2021-2026,2021-2026,,2022-2027,2013,2013,0,2742000,2742000,,Closed,Closed,Davis,1,,
wfrc_mpo,11092,650 North & I-15 Interchange/Intersection,1,2021-2026,2021-2026,2021-2026,2021-2026,,2022-2027,2013,2013,0,5558000,5558000,,Closed,Closed,Davis,1,,
wfrc_mpo,11105,SR-89; 12300 South to 11800 South,1,2020-2025,2020-2025,2020-2025,2020-2025,1,2021-2026,2019,2019,0,700000,700000,,Awarded,Awarded,Salt Lake,1,,
wfrc_mpo,11203,SR-68; Bangerter Hwy to 12600 S,1,2020-2025,2020-2025,2020-2025,2020-2025,1,2021-2026,2017,2017,0,47764788.35,47764788.35,,Under Construction,Under Construction,Salt Lake,1,,
wfrc_mpo,11263,UTA Bus Stop on 12th and Washington,1,2027-2032,2027-2032,2027-2032,2027-2032,,,2023,2023,0,300000,300000,,Scoping,Scoping,Weber,1,,
wfrc_mpo,11268,"SR-177, West Davis Hwy; I-15 & SR-67 to SR-193",6,2020-2025,2026-2031,2020-2025|2021-2026|2022-2027|2023-2028|2024-2029|2026-2031,2020-2025,1,2027-2032,2020,2020,0,799700000,845019000,5.7,Substantially Complete,Scoping|Advertised|Under Construction|Substantially Complete,Davis,1,,
wfrc_mpo,11394,SR-68; Center Rumble Strips (MP 16.9-25.35),1,2020-2025,2020-2025,2020-2025,2020-2025,1,,2013,2013,0,269999.99,269999.99,,Active,Active,Utah,0,,
wfrc_mpo,11433,US-191; South Moab to Blue Hill,1,2020-2025,2020-2025,2020-2025,2020-2025,1,,2017,2017,0,3442752,3442752,,Physically Complete,Physically Complete,Various,,,
wfrc_mpo,11438,"I-15; MP 37 - MP 44, Add NB Climbing Lane",1,2020-2025,2020-2025,2020-2025,2020-2025,1,,2018,2018,0,24468164.1,24468164.1,,Under Construction,Under Construction,Various,,,
wfrc_mpo,11442,SR-18; Interchange at Bluff and Sunset Streets,1,2020-2025,2020-2025,2020-2025,2020-2025,1,,2017,2017,0,5751179,5751179,,Scoping,Scoping,Washington,0,,
wfrc_mpo,11454,SR-7; Warner Valley to Washington Dam Road,1,2020-2025,2020-2025,2020-2025,2020-2025,1,,2017,2017,0,18779200.08,18779200.08,,Closed,Closed,Washington,0,,
wfrc_mpo,11458,SR-7 (Southern Parkway); Sand Hollow to SR-9,1,2020-2025,2020-2025,2020-2025,2020-2025,1,,2019,2019,0,74928455.8,74928455.8,,Active,Active,Washington,0,,
wfrc_mpo,11467,"I-15; MP 22  to MP 28, Add NB Climbing Lane",1,2020-2025,2020-2025,2020-2025,2020-2025,1,,2017,2017,0,15150000,15150000,,Substantially Compl,Substantially Compl,Washington,0,,
wfrc_mpo,11468,I-15; Orem 800 S/UVU Interchange,1,2020-2025,2020-2025,2020-2025,2020-2025,1,,2023,2023,0,130000000,130000000,,Proposed,Proposed,Utah,0,,
wfrc_mpo,11475,SR-115 & SR-75; 2 Locations Payson & Springville,1,2020-2025,2020-2025,2020-2025,2020-2025,1,,2019,2019,0,5799000,5799000,,Active,Active,Utah,0,,
wfrc_mpo,11476,"I-15; Honeyville Interchange, F-24",1,2020-2025,2020-2025,2020-2025,2020-2025,1,2021-2026,2017,2017,0,5031678,5031678,,Close Out,Close Out,Box Elder,1,,
wfrc_mpo,11477,SR-108; SR-127 to SR-107,1,2020-2025,2020-2025,2020-2025,2020-2025,1,2021-2026,2018,2018,0,52256191.79,52256191.79,,Substantially Compl,Substantially Compl,Davis,1,,
wfrc_mpo,11479,SR-108; SR-37 to 4275 South,6,2022-2027,2027-2032,2022-2027|2023-2028|2024-2029|2025-2030|2026-2031|2027-2032,2022-2027,,,2024,2024,0,123010000,224453000,82.5,Scoping,Scoping,Various,,,
wfrc_mpo,11481,SR-108; SR-37 to SR-79,1,2020-2025,2020-2025,2020-2025,2020-2025,1,2021-2026,2014,2014,0,18822788.71,18822788.71,,Close Out,Close Out,Weber,1,,
wfrc_mpo,11497,SR-201; I-80 to Jordan River,1,2020-2025,2020-2025,2020-2025,2020-2025,1,,2020,2020,0,3024000,3024000,,Scoping,Scoping,Various,,,
wfrc_mpo,11500,I-80; MP 30 to 41,1,2020-2025,2020-2025,2020-2025,2020-2025,1,2021-2026,2019,2019,0,1200000,1200000,,Substantially Compl,Substantially Compl,Tooele,1,,
wfrc_mpo,11515,SR-9; Rockville to Zion National Park,1,2020-2025,2020-2025,2020-2025,2020-2025,1,,2016,2016,0,18767190.32,18767190.32,,Substantially Compl,Substantially Compl,Washington,0,,
wfrc_mpo,11532,SR-130; North Cedar to MP 9,1,2020-2025,2020-2025,2020-2025,2020-2025,1,,2019,2019,0,4500000,4500000,,Scoping,Scoping,Iron,0,,
wfrc_mpo,11608,I-15; Exit 16 Interchange Improvements Phase 1,1,2020-2025,2020-2025,2020-2025,2020-2025,1,,2019,2019,0,28900000,28900000,,Under Construction,Under Construction,Washington,0,,
wfrc_mpo,11746,Commuter Rail North Pedestrian Treatments Program,1,2020-2025,2020-2025,2020-2025,2020-2025,1,2021-2026,2013,2013,0,1367017.09,1367017.09,,Close Out,Close Out,Salt Lake,1,,
wfrc_mpo,11827,"I-15 Northbound, 10600 S. Interchange Improvement",1,2020-2025,2020-2025,2020-2025,2020-2025,1,2021-2026,2017,2017,0,23880330,23880330,,Close Out,Close Out,Salt Lake,1,,
wfrc_mpo,11852,"Moab City, Millcreek Drive Intersection Improvemen",1,2020-2025,2020-2025,2020-2025,2020-2025,1,,2018,2018,0,1650000,1650000,,Close Out,Close Out,Grand,0,,
wfrc_mpo,11854,"Summit County, Kilby Road Landmark Drive",1,2020-2025,2020-2025,2020-2025,2020-2025,1,,2017,2017,0,1500000,1500000,,Substantially Compl,Substantially Compl,Summit,0,,
wfrc_mpo,11856,"SR-138 & Village Road Improvements, Tooele County",2,2020-2025,2021-2026,2020-2025|2021-2026,2020-2025,1,2022-2027,2018,2018,0,911723.65,912000,0.0,Scoping,Scoping,Tooele,1,,
wfrc_mpo,11858,"Hoytsville, Structure Replacement 043046C",1,2020-2025,2020-2025,2020-2025,2020-2025,1,,2018,2018,0,1164738.3900000001,1164738.3900000001,,Under Construction,Under Construction,Summit,0,,
wfrc_mpo,11859,"Rockville Town, Structure Rehab.",1,2020-2025,2020-2025,2020-2025,2020-2025,1,,2017,2017,0,2500000,2500000,,Contract Closed Out,Contract Closed Out,Washington,0,,
wfrc_mpo,11897,US-89 (500 W); 500 S to Bulldog Blvd in Provo,1,2020-2025,2020-2025,2020-2025,2020-2025,1,,2019,2019,0,21868515.66,21868515.66,,Under Construction,Under Construction,Utah,0,,
wfrc_mpo,11978,US-6; Passing Lanes MP 262.5 to MP 297,1,2020-2025,2020-2025,2020-2025,2020-2025,1,,2014,2014,0,7713927.01,7713927.01,,Close Out,Close Out,Emery,0,,
wfrc_mpo,11979,US-191; Passing Lanes MP 82.1 to 96.2,1,2020-2025,2020-2025,2020-2025,2020-2025,1,,2014,2014,0,5538461,5538461,,Close Out,Close Out,San Juan,0,,
wfrc_mpo,11982,"SR-85; Mountain View Corridor, SR-73 to 2100 North",1,2020-2025,2020-2025,2020-2025,2020-2025,1,,2018,2018,0,41533899.53,41533899.53,,Under Construction,Under Construction,Utah,0,,
wfrc_mpo,11986,Porter Rockwell Blvd. (5th Segment),2,2020-2025,2021-2026,2020-2025|2021-2026,2020-2025,1,2022-2027,2018,2018,0,6466378.85,6966000,7.7,Physically Complete,Under Construction|Physically Complete,Salt Lake,1,,
wfrc_mpo,11987,Vine Street; 900 East to 1300 East,2,2021-2026,2022-2027,2021-2026|2022-2027,2021-2026,,2023-2028,2019,2019,0,5131000,5131000,0.0,Scoping,Under Construction|Scoping,Salt Lake,1,,
wfrc_mpo,11993,Larsen Lane; N. Harrisville Rd to Washington Blvd,1,2021-2026,2021-2026,2021-2026,2021-2026,,2022-2027,2014,2014,0,3794000,3794000,,Under Construction,Under Construction,Weber,1,,
wfrc_mpo,12000,Bengal Blvd & 2300 East Round-About,1,2023-2028,2023-2028,2023-2028,2023-2028,,2024-2029,2022,2022,0,3773000,3773000,,Under Construction,Under Construction,Salt Lake,1,,
wfrc_mpo,12042,Statewide Railroad Signal Preemption Upgrades,1,2020-2025,2020-2025,2020-2025,2020-2025,1,2021-2026,2014,2014,0,800000,800000,,Active,Active,Salt Lake,1,,
wfrc_mpo,12158,"I-15; Lehi Main to SR-92, Technology Corridor",1,2020-2025,2020-2025,2020-2025,2020-2025,1,,2019,2019,0,415001021.27,415001021.27,,Under Construction,Under Construction,Utah,0,,
wfrc_mpo,12159,SR-114; Realignment & Signal at 400 N in Orem,1,2020-2025,2020-2025,2020-2025,2020-2025,1,,2021,2021,0,2694224.76,2694224.76,,Scoping,Scoping,Utah,0,,
wfrc_mpo,12162,SR-121; 2 Locations Rehab.,1,2020-2025,2020-2025,2020-2025,2020-2025,1,,2017,2017,0,5492381.79,5492381.79,,Close Out,Close Out,Various,,,
wfrc_mpo,12166,"River Parkway Trail; D&RGW Rail to 1800 So, Weber",1,2021-2026,2021-2026,2021-2026,2021-2026,,2022-2027,2018,2018,0,1698000,1698000,,Close Out,Close Out,Weber,1,,
wfrc_mpo,12168,"SR-203; 4875 S. 3850 S. Sidewalk, Ogden",1,2020-2025,2020-2025,2020-2025,2020-2025,1,2021-2026,2018,2018,0,500000,500000,,Awarded,Awarded,Weber,1,,
wfrc_mpo,12179,"US-89; MP 461.5-492.0, Slow Vehicle Turn-Outs",1,2020-2025,2020-2025,2020-2025,2020-2025,1,,2019,2019,0,450000,450000,,Under Construction,Under Construction,Cache,0,,
wfrc_mpo,12203,"SR-62; MP 31.73-37.83, Shoulder Improvements",1,2020-2025,2020-2025,2020-2025,2020-2025,1,,2016,2016,0,100000,100000,,Under Construction,Under Construction,Various,,,
wfrc_mpo,12211,Traffic & Safety Program Management Support FY15,1,2020-2025,2020-2025,2020-2025,2020-2025,1,2021-2026,2015,2015,0,1865341.72,1865341.72,,Active,Active,Salt Lake,1,,
wfrc_mpo,12213,Traffic & Safety Program Management Support FY16,1,2020-2025,2020-2025,2020-2025,2020-2025,1,2021-2026,2016,2016,0,2000000,2000000,,Close Out,Close Out,Salt Lake,1,,
wfrc_mpo,12217,Traffic & Safety Program Management Support FY17,1,2020-2025,2020-2025,2020-2025,2020-2025,1,2021-2026,2017,2017,0,2555222,2555222,,Active,Active,Salt Lake,1,,
wfrc_mpo,12291,SR-193; SR-232 to US-89,1,2020-2025,2020-2025,2020-2025,2020-2025,1,2021-2026,2016,2016,0,4200000,4200000,,Close Out,Close Out,Davis,1,,
wfrc_mpo,12298,I-15; SR-13 to SR-240,1,2020-2025,2020-2025,2020-2025,2020-2025,1,2021-2026,2016,2016,0,10500000,10500000,,Close Out,Close Out,Box Elder,1,,
wfrc_mpo,12302,US-189; University Parkway to Jct. SR-52 in Orem,1,2020-2025,2020-2025,2020-2025,2020-2025,1,,2018,2018,0,1050046.01,1050046.01,,Close Out,Close Out,Utah,0,,
wfrc_mpo,12303,SR-114; Provo Center St to 1200 S Orem,1,2020-2025,2020-2025,2020-2025,2020-2025,1,,2019,2019,0,2306004.5,2306004.5,,Awarded,Awarded,Utah,0,,
wfrc_mpo,12304,SR-92; AF Canyon and SR-144,1,2020-2025,2020-2025,2020-2025,2020-2025,1,,2020,2020,0,7625998.59,7625998.59,,Active,Active,Utah,0,,
wfrc_mpo,12305,I-15; Juab Co. Line to Sevier River,1,2020-2025,2020-2025,2020-2025,2020-2025,1,,2020,2020,0,15100000,15100000,,Active,Active,Various,,,
wfrc_mpo,12309,SR-114;1600 N Orem to State Street PG,1,2020-2025,2020-2025,2020-2025,2020-2025,1,,2019,2019,0,1700867.9,1700867.9,,Awarded,Awarded,Utah,0,,
wfrc_mpo,12310,SR-45; MP 14 to Glen Bench Rd.,1,2020-2025,2020-2025,2020-2025,2020-2025,1,,2018,2018,0,2255101,2255101,,Close Out,Close Out,Uintah,0,,
wfrc_mpo,12389,"SR-102; Bridge over West Canal, D-820",1,2020-2025,2020-2025,2020-2025,2020-2025,1,2021-2026,2018,2018,0,810000,810000,,Close Out,Close Out,Box Elder,1,,
wfrc_mpo,12390,SR-311; Strawberry River Bridge & Rehab Project,1,2020-2025,2020-2025,2020-2025,2020-2025,1,,2018,2018,0,3591250,3591250,,Under Construction,Under Construction,Duchesne,0,,
wfrc_mpo,12413,MVC from 2100 N to Porter Rockwell,3,2022-2027,2024-2029,2022-2027|2023-2028|2024-2029,2022-2027,,,2023,2023,0,350600000,466000000,32.9,Scoping,Scoping,Various,,,
wfrc_mpo,12415,SR-108;Freeport Center Bridge Preservation,1,2020-2025,2020-2025,2020-2025,2020-2025,1,2021-2026,2017,2017,0,1450000,1450000,,Under Construction,Under Construction,Davis,1,,
wfrc_mpo,12439,"US-89; Over Long Valley Creek, C-204",1,2020-2025,2020-2025,2020-2025,2020-2025,1,,2018,2018,0,350000,350000,,Scoping,Scoping,Kane,0,,
wfrc_mpo,12444,"SR-113; Provo River Structure Rehab, D-470",1,2020-2025,2020-2025,2020-2025,2020-2025,1,,2018,2018,0,450000,450000,,Close Out,Close Out,Wasatch,0,,
wfrc_mpo,12445,"I-84;Echo Junction Deck Replacement, C-475",1,2020-2025,2020-2025,2020-2025,2020-2025,1,,2019,2019,0,3000000,3000000,,Under Construction,Under Construction,Summit,0,,
wfrc_mpo,12446,SR-39; Ogden to Pineview Reservoir Bridge Rehab,4,2020-2025,2023-2028,2020-2025|2021-2026|2022-2027|2023-2028,2020-2025,1,2024-2029,2019,2019,0,4680000.02,6081000,29.9,Under Construction,Under Construction,Weber,1,,
wfrc_mpo,12502,SR-48; Bangerter to Redwood,1,2020-2025,2020-2025,2020-2025,2020-2025,1,2021-2026,2018,2018,0,2479641.99,2479641.99,,Under Construction,Under Construction,Salt Lake,1,,
wfrc_mpo,12511,US-89; Circleville Canyon to Circleville,1,2020-2025,2020-2025,2020-2025,2020-2025,1,,2019,2019,0,3778870,3778870,,Awarded,Awarded,Garfield,0,,
wfrc_mpo,12521,SR-173; Bangerter Hwy to 1500 West,1,2020-2025,2020-2025,2020-2025,2020-2025,1,2021-2026,2019,2019,0,3415000,3415000,,Under Construction,Under Construction,Salt Lake,1,,
