doc_type,title,adopted_date,jurisdiction,path,text_path,format,source_url,notes
community_plan,Diamond Valley Community Plan,2011,Diamond Valley (unincorporated),raw/community_diamond_valley.pdf,text/community_diamond_valley.txt,pdf,https://www.washco.utah.gov/wp-content/uploads/cdev/pdf/cgp/community-diamond-valley.pdf,Community general plan (2010-2011 series).
community_plan,East Enterprise Community Plan,2011,East Enterprise (unincorporated),raw/community_east_enterprise.pdf,text/community_east_enterprise.txt,pdf,https://www.washco.utah.gov/wp-content/uploads/cdev/pdf/cgp/community-east-enterprise.pdf,Community general plan (2010-2011 series).
community_plan,Gunlock Community Plan,2011,Gunlock (unincorporated),raw/community_gunlock.pdf,text/community_gunlock.txt,pdf,https://www.washco.utah.gov/wp-content/uploads/cdev/pdf/cgp/community-gunlock.pdf,Community general plan (2010-2011 series).
community_plan,Kolob Community Plan,2011,Kolob (unincorporated),raw/community_kolob.pdf,text/community_kolob.txt,pdf,https://www.washco.utah.gov/wp-content/uploads/cdev/pdf/cgp/community-kolob.pdf,Community general plan (2010-2011 series).
community_plan,New Harmony Community Plan,2011,New Harmony (unincorporated),raw/community_new_harmony.pdf,text/community_new_harmony.txt,pdf,https://www.washco.utah.gov/wp-content/uploads/cdev/pdf/cgp/community-new-harmony.pdf,Community general plan (2010-2011 series).
community_plan,Pine Valley Community Plan,2011,Pine Valley (unincorporated),raw/community_pine_valley.pdf,text/community_pine_valley.txt,pdf,https://www.washco.utah.gov/wp-content/uploads/cdev/pdf/cgp/community-pine-valley.pdf,Community general plan (2010-2011 series).
community_plan,Pintura Community Plan,2012-01-10,Pintura (unincorporated),raw/community_pintura_2012.pdf,text/community_pintura_2012.txt,pdf,https://www.washco.utah.gov/wp-content/uploads/cdev/pdf/cgp/community-pintura.pdf,"Community general plan, adopted 2012-01-10."
community_plan,Veyo Community Plan,2011,Veyo (unincorporated),raw/community_veyo.pdf,text/community_veyo.txt,pdf,https://www.washco.utah.gov/wp-content/uploads/cdev/pdf/cgp/community-veyo.pdf,Community general plan (2010-2011 series).
community_plan,Winchester Hills Community Plan,2011,Winchester Hills (unincorporated),raw/community_winchester_hills.pdf,text/community_winchester_hills.txt,pdf,https://www.washco.utah.gov/wp-content/uploads/cdev/pdf/cgp/community-winchester-hills.pdf,Community general plan (2010-2011 series).
resource_management_plan,Washington County Resource Management Plan,2017,Washington County,,,interactive_app,https://outpost.washco.utah.gov/apps/community-development/resource-management-plan/,"State-mandated (HB 323, 2015) county Resource Management Plan. Published ONLY as an interactive web app (ArcGIS/outpost) - no downloadable PDF located; text NOT extractable. Honest gap: catalog-link only."
general_plan_element,Water Use and Preservation Element,,Washington County,,,arcgis_experience,https://agisprodvm.washco.utah.gov/portal/apps/experiencebuilder/experience/?id=5fafad61dc5948c2a4949b7db1bfedc6,"General plan water element published as an ArcGIS Experience Builder app; interactive-only, text not extractable. Catalog-link."
overlay_zone,Pine Valley Overlay Zone,,Unincorporated Washington County,raw/overlay_pine_valley_overlay_zone.pdf,text/overlay_pine_valley_overlay_zone.txt,pdf,https://www.washco.utah.gov/wp-content/uploads/2024/04/comdev-general-plan-pine-valley-overlay-zone.pdf,Zoning overlay-zone regulation/plan (general-plan series). Born-digital.
overlay_zone,Scenic Byway Overlay Zone,,Unincorporated Washington County,raw/overlay_scenic_byway_overlay_zone.pdf,text/overlay_scenic_byway_overlay_zone.txt,pdf,https://www.washco.utah.gov/wp-content/uploads/2024/04/comdev-general-plan-scenic-byway-overlay-zone.pdf,Zoning overlay-zone regulation/plan (general-plan series). Born-digital.
overlay_zone,New Harmony Overlay Zone,,Unincorporated Washington County,raw/overlay_new_harmony_overlay_zone.pdf,text/overlay_new_harmony_overlay_zone.txt,pdf,https://www.washco.utah.gov/wp-content/uploads/2024/04/comdev-general-plan-new-harmony-overlay-zone.pdf,Zoning overlay-zone regulation/plan (general-plan series). Born-digital.
