ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,matter_id,matter_file,matter_status,adopted,legistar_matter_url,signed_pdf_url,linkage_note
,,2020-12-03,Bell Canyon Preservation Rezone  South corner at Wasatch Blvd. and Little Cottonwood Rd. (12 parcels)  [Community #30 - Granite],https://sandyutah.legistar.com/LegislationDetail.aspx?ID=4172&GUID=567F77E9-0F2D-47BC-A5B9-E25587449DD2,2026-07-05,json,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/api/matters_ordinances.json,yes,,,,none,4172,ZONE-11-20-5944(PC),approved (Planning Commission),no,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=4172&GUID=567F77E9-0F2D-47BC-A5B9-E25587449DD2,,not adopted by City Council; last action: approved (Planning Commission)
20-15,2020-12-08,2020-12-08,Community Development Department presenting a general plan amendment (File #GPA-11-20-5938) to add an Active Transportation Plan.,https://sandyutah.legistar1.com/sandyutah/attachments/bd367d79-1897-401e-9911-aa273410bcee.pdf,2026-07-05,text,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/ordinances/2020-12-08_20-15.pdf,yes,,2020-12-08,1,low,4143,GPA-11-20-5938 (CC),adopted,yes,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=4143&GUID=C46E5405-E3CE-43B8-A2DF-7AF3F2090E1D,https://sandyutah.legistar1.com/sandyutah/attachments/bd367d79-1897-401e-9911-aa273410bcee.pdf,adoption meeting held; likely adopted on the Consent Calendar / no standalone numbered ordinance motion
21-01,2021-01-05,2021-01-05,"Community Development Department presenting a rezone application (File #ZONE-11-20-5944, Bell Canyon Preservation) on behalf of the Sandy City Parks and Recreation Department, requesting that 8.1 acres located at the south corner of the intersection of Wasatch Boulevard and Little Cottonwood Road.",https://sandyutah.legistar1.com/sandyutah/attachments/e4d8d718-70f3-4300-a92e-567e4cae96ac.pdf,2026-07-05,text,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/ordinances/2021-01-05_21-01.pdf,yes,,2021-01-05,2,high,4175,ZONE-11-20-5944(CC),adopted,yes,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=4175&GUID=207A6471-6E69-4BCD-A435-210528BBCF6E,https://sandyutah.legistar1.com/sandyutah/attachments/e4d8d718-70f3-4300-a92e-567e4cae96ac.pdf,exact ordinance number cited in the adopting motion on the adoption date
,,2021-01-21,Transportation Master Plan - General Plan Amendment,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=4240&GUID=1B78666D-60BF-489C-9836-E3BC4C9C28BB,2026-07-05,json,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/api/matters_ordinances.json,yes,,,,none,4240,GPA-12-20-5972(PC),recommended for approval (Planning Commission),no,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=4240&GUID=1B78666D-60BF-489C-9836-E3BC4C9C28BB,,not adopted by City Council; last action: recommended for approval (Planning Commission)
,,2021-01-23,Community Development Department Recommending the Council Rezone approximately... *TEST ITEM*,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=4250&GUID=7F1E5541-ABA6-479A-8094-F3824569823B,2026-07-05,json,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/api/matters_ordinances.json,yes,,,,none,4250,21-028,no recorded action,no,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=4250&GUID=7F1E5541-ABA6-479A-8094-F3824569823B,,not adopted by City Council; no history recorded
21-02,,2021-01-26,City Attorney presenting draft ordinance establishing campaign contributions limits as directed by the City Council.,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=4256&GUID=8012BC23-A53D-40F8-841D-262259D31300,2026-07-05,json,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/api/matters_ordinances.json,no,,,,none,4256,21-034,adopted (City Council),no,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=4256&GUID=8012BC23-A53D-40F8-841D-262259D31300,,not adopted by City Council; last action: adopted (City Council)
21-03,2021-02-02,2021-02-02,City Attorney presenting Ordinance 21-03 as requested by the City Council revising campaign contribution disclosure deadlines.,https://sandyutah.legistar1.com/sandyutah/attachments/e7398dc2-af9a-4427-b963-c952b59bb935.pdf,2026-07-05,text,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/ordinances/2021-02-02_21-03.pdf,no,,2021-02-02,3,high,4266,21-044,adopted,yes,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=4266&GUID=56255C4E-DFFF-4E95-B8A8-8EFDF779A4AD,https://sandyutah.legistar1.com/sandyutah/attachments/e7398dc2-af9a-4427-b963-c952b59bb935.pdf,exact ordinance number cited in the adopting motion on the adoption date
21-04,,2021-02-16,Community Development Department presenting a general plan amendment (File #GPA-12-20-5972) to adopt an update to the Transportation Master Plan.,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=4275&GUID=B1E45304-BE2F-4A46-BEE5-8E86D32A0676,2026-07-05,json,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/api/matters_ordinances.json,yes,,,,none,4275,GPA-12-20-5972(CC),no recorded action,no,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=4275&GUID=B1E45304-BE2F-4A46-BEE5-8E86D32A0676,,not adopted by City Council; no history recorded
21-07,,2021-03-09,"Community Development Department presenting a rezone application (File #ZONE-01-21-5975, Coppercreek Rezone) submitted by Utah Development Group, requesting that 0.62 acres of a 1.02 acre parcel located at 1368 E. Coppercreek Road be rezoned to the RM(10) Zone.",https://sandyutah.legistar.com/LegislationDetail.aspx?ID=4284&GUID=C0CA9742-BB1A-4BF5-9B78-E2F599ECF4F1,2026-07-05,json,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/api/matters_ordinances.json,yes,,,,none,4284,ZONE-01-21-5975(CC),denied (City Council),no,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=4284&GUID=C0CA9742-BB1A-4BF5-9B78-E2F599ECF4F1,,not adopted by City Council; last action: denied (City Council)
,,2021-05-06,"Crescent View Peaks Rezone - R-1-40A to R-1-20A 137 E. 11000 S. [Community #11, Crescent]",https://sandyutah.legistar.com/LegislationDetail.aspx?ID=4378&GUID=401AC237-F7BD-49C8-8AF8-4012CB8811D4,2026-07-05,json,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/api/matters_ordinances.json,yes,,,,none,4378,ZONE-04-21-6018(PC),recommended for approval (Planning Commission),no,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=4378&GUID=401AC237-F7BD-49C8-8AF8-4012CB8811D4,,not adopted by City Council; last action: recommended for approval (Planning Commission)
,,2021-05-06,9270 S. Realignment  Intersection of 9270 S. and Benson Way from PO to R-1-8  [Community #4 - Historic Sandy],https://sandyutah.legistar.com/LegislationDetail.aspx?ID=4379&GUID=6CC9B9E9-180D-47F0-8BF0-41814D92E89A,2026-07-05,json,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/api/matters_ordinances.json,yes,,,,none,4379,ZONE-03-21-6014(PC),recommended for approval (Planning Commission),no,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=4379&GUID=6CC9B9E9-180D-47F0-8BF0-41814D92E89A,,not adopted by City Council; last action: recommended for approval (Planning Commission)
21-15,2021-05-18,2021-05-18,Sandy City Fire Department recommends that City Council adopts the proposed fireworks restriction map to include recently annexed areas.,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=4416&GUID=B7773340-95A8-48D5-880D-820D79DA516A,2026-07-05,json,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/api/matters_ordinances.json,no,,2021-05-18,2,high,4416,21-194,adopted,yes,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=4416&GUID=B7773340-95A8-48D5-880D-820D79DA516A,,exact ordinance number cited in the adopting motion on the adoption date
,,2021-05-20,Coppercreek Rezone  1368 E. Coppercreek Road from CN to R-1-8  [Community #16 - Falcon Park],https://sandyutah.legistar.com/LegislationDetail.aspx?ID=4412&GUID=5F922F04-BDB7-4745-9A15-B9269B05D5A3,2026-07-05,json,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/api/matters_ordinances.json,yes,,,,none,4412,REZ04192021-6030(PC),recommended for approval (Planning Commission),no,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=4412&GUID=5F922F04-BDB7-4745-9A15-B9269B05D5A3,,not adopted by City Council; last action: recommended for approval (Planning Commission)
21-17,2021-06-01,2021-06-01,"Community Development Department presenting a rezone application (File #ZONE-04-21-6018, Crescent View Peaks) submitted by Stonybrook Building Company, requesting that 1.0 acre addressed as 137 E. 11000 S. be rezoned to the R-1-20A Zone.",https://sandyutah.legistar1.com/sandyutah/attachments/0073ec2f-4fba-40b9-9353-16b9ec10e16f.pdf,2026-07-05,text,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/ordinances/2021-06-01_21-17.pdf,yes,,2021-06-01,3,high,4380,ZONE-04-21-6018(CC),adopted,yes,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=4380&GUID=2177BF55-51CB-4ADF-9267-81244AA3A701,https://sandyutah.legistar1.com/sandyutah/attachments/0073ec2f-4fba-40b9-9353-16b9ec10e16f.pdf,exact ordinance number cited in the adopting motion on the adoption date
21-16,2021-06-01,2021-06-01,"Community Development Department presenting a rezone application (File #ZONE-03-21-6014, 9270 S. Realignment) submitted by the Sandy City Public Works Department, requesting that 0.09 acres located at 9262 S. Benson Way be rezoned to the R-1-8 Zone.",https://sandyutah.legistar1.com/sandyutah/attachments/dd06717f-3e07-47d2-bc39-53c80798615d.pdf,2026-07-05,text,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/ordinances/2021-06-01_21-16.pdf,yes,,2021-06-01,2,high,4381,ZONE-03-21-6014(CC),adopted,yes,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=4381&GUID=B7E2F6B4-85D7-4015-9495-E5189D6ACFCA,https://sandyutah.legistar1.com/sandyutah/attachments/dd06717f-3e07-47d2-bc39-53c80798615d.pdf,exact ordinance number cited in the adopting motion on the adoption date
,2021-06-01,2021-06-01,"Community Development Department presenting, and recommending approval of, the third amendment to the 2019 Annual Action Plan for the use of the remaining Community Development Block Grant funds awarded in the third round of HUD's distribution of it's CARES Act allocation.",https://sandyutah.legistar1.com/sandyutah/attachments/c56a7a7a-3395-4338-8855-2e538a33704f.pdf,2026-07-05,text,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/ordinances/2021-06-01_21-159.pdf,no,,2021-06-01,2,medium,4382,21-159,adopted (approved),yes,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=4382&GUID=28C92A19-F7EB-4C53-AC75-935F1ACB3F03,https://sandyutah.legistar1.com/sandyutah/attachments/c56a7a7a-3395-4338-8855-2e538a33704f.pdf,date match; ordinance motion present; matter enacted as a resolution (no ordinance number)
21-19,2021-06-15,2021-06-15,"Community Development Department presenting a zone change application (File #REZ04192021-6030, Coppercreek Residences) submitted by Utah Development Group, requesting that 0.55 acres addressed as 1368 E. Coppercreek Road be rezoned to the R-1-8 Zone.",https://sandyutah.legistar1.com/sandyutah/attachments/ae8332a5-c163-48ba-972c-07c1a8403d91.pdf,2026-07-05,text,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/ordinances/2021-06-15_21-19.pdf,yes,,2021-06-15,2,high,4447,REZ04192021-6030(CC),adopted,yes,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=4447&GUID=DBC9D24F-F48B-4620-847F-C93732757E72,https://sandyutah.legistar1.com/sandyutah/attachments/ae8332a5-c163-48ba-972c-07c1a8403d91.pdf,exact ordinance number cited in the adopting motion on the adoption date
21-22,2021-07-20,2021-07-20,City Attorney recommending adoption of Ordinance 21-22 clarifying when the City Recorder provides notice to candidates to file campaign finance disclosure reports.,https://sandyutah.legistar1.com/sandyutah/attachments/2948e545-619f-4f1b-9ac4-a2bfcb0e79fd.pdf,2026-07-05,text,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/ordinances/2021-07-20_21-22.pdf,no,,2021-07-20,2,high,4505,21-283,adopted,yes,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=4505&GUID=299AA0F1-0B3C-4792-BD9E-7860F0E705C2,https://sandyutah.legistar1.com/sandyutah/attachments/2948e545-619f-4f1b-9ac4-a2bfcb0e79fd.pdf,exact ordinance number cited in the adopting motion on the adoption date
21-30,2021-10-05,2021-10-05,The Orchard at Farnsworth Farms 11237 S. 700 East [Community #11 - Crescent],https://sandyutah.legistar1.com/sandyutah/attachments/8762905a-731f-489c-9531-1210b6cd8075.pdf,2026-07-05,text,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/ordinances/2021-10-05_21-30.pdf,yes,,2021-10-05,2,high,4592,SPR06282021-006089 (CC2),adopted,yes,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=4592&GUID=B0B7D08E-D3D6-4AB5-AECC-A8792DC17832,https://sandyutah.legistar1.com/sandyutah/attachments/8762905a-731f-489c-9531-1210b6cd8075.pdf,exact ordinance number cited in the adopting motion on the adoption date
,,2021-10-21,Monte Cristo at LaCaille Subdivision (Preliminary Review)  9701 S. 3775 E.  [Community #30 - Granite],https://sandyutah.legistar.com/LegislationDetail.aspx?ID=4623&GUID=50EE9E81-803C-4E67-9FAF-29374B42AC88,2026-07-05,json,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/api/matters_ordinances.json,yes,,,,none,4623,SUB04262021-006034,approved (Planning Commission),no,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=4623&GUID=50EE9E81-803C-4E67-9FAF-29374B42AC88,,not adopted by City Council; last action: approved (Planning Commission)
21-31,,2021-12-07,Parks and Recreation Department recommending the Council amend the prohibited activities section of Chapter 13-11 of the Sandy City Municipal Code,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=4662&GUID=82997FD5-2811-4A12-B7F3-934D2FF0270A,2026-07-05,json,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/api/matters_ordinances.json,no,,,,none,4662,21-440,no recorded action,no,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=4662&GUID=82997FD5-2811-4A12-B7F3-934D2FF0270A,,not adopted by City Council; no history recorded
22-01,2022-02-01,2022-02-01,"The City Council office recommending that the Council consider the adoption of Ordinance 22-01, an ordinance amending Sandy City Code Chapter 19-4 to include a new section 19-4-11: Sandy City bulk waste clean-up regulations",https://sandyutah.legistar1.com/sandyutah/attachments/dcf49402-a6a8-4c21-ab26-f39748c1acb1.pdf,2026-07-05,text,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/ordinances/2022-02-01_22-01.pdf,no,,2022-02-01,2,high,4751,22-008,adopted (approved),yes,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=4751&GUID=F72BCC57-BDC2-4368-AF41-7888B9AD62BA,https://sandyutah.legistar1.com/sandyutah/attachments/dcf49402-a6a8-4c21-ab26-f39748c1acb1.pdf,exact ordinance number cited in the adopting motion on the adoption date
,,2022-04-21,"Sugarcreek Rezone  8968 S. 1300 E. from A-1, R-1-8, R-1-20A to R-1-10  [Community #7 - Quarry Bend]",https://sandyutah.legistar.com/LegislationDetail.aspx?ID=4863&GUID=B6087ABE-025C-48CE-8F35-7FC9E0B31F7A,2026-07-05,json,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/api/matters_ordinances.json,yes,,,,none,4863,REZ01192022-6257 (PC),no recorded action,no,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=4863&GUID=B6087ABE-025C-48CE-8F35-7FC9E0B31F7A,,not adopted by City Council; no history recorded
,,2022-04-21,Sunrise Ridge Rezone  348 E. 8000 S. from IC to RM(12)  [Community #3 - Sandy Woods],https://sandyutah.legistar.com/LegislationDetail.aspx?ID=4864&GUID=AAB2C237-88B1-403A-9698-82BAB333A9A9,2026-07-05,json,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/api/matters_ordinances.json,yes,,,,none,4864,REZ03082022-6278 (PC),no recorded action,no,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=4864&GUID=AAB2C237-88B1-403A-9698-82BAB333A9A9,,not adopted by City Council; no history recorded
22-02,2022-05-03,2022-05-03,The Sandy City Fire Department recommending the City Council adopt Ordinance 22-2 amending Title 20 Chapter 6 Section 4 of the Sandy City Code and updating the Firework Restrictions Map.,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=4876&GUID=856F03EA-4DB9-42EB-BDED-BAC7ABEF4509,2026-07-05,json,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/api/matters_ordinances.json,no,,2022-05-03,4,high,4876,22-134,adopted (approved),yes,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=4876&GUID=856F03EA-4DB9-42EB-BDED-BAC7ABEF4509,,exact ordinance number cited in the adopting motion on the adoption date
22-03,,2022-05-17,"Community Development Department requesting Council action regarding a zone change application (File #REZ01192022-6257, Sugarcreek) submitted by Plumb Holdings LLC, proposing that 66.5 acres at 8968 S. 1300 E. be rezoned to the R-1-10 Zone.",https://sandyutah.legistar.com/LegislationDetail.aspx?ID=4873&GUID=5997E4D8-CDF9-4F8E-8DFB-0CB64779617B,2026-07-05,json,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/api/matters_ordinances.json,yes,,,,none,4873,REZ01192022-6257 (CC Ord),no recorded action,no,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=4873&GUID=5997E4D8-CDF9-4F8E-8DFB-0CB64779617B,,not adopted by City Council; no history recorded
,,2022-06-07,"Community Development Department requesting Council action regarding a zone change application (File #REZ01192022-6257, Sugarcreek) submitted by Plumb Holdings LLC, proposing that 66.5 acres at 8968 S. 1300 E. be rezoned to the R-1-10 Zone.",https://sandyutah.legistar.com/LegislationDetail.aspx?ID=4929&GUID=2F391EEE-951B-48E3-A3B2-C4DC0A3A6DBC,2026-07-05,json,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/api/matters_ordinances.json,yes,,,,none,4929,REZ01192022-6257 (CC Ord-2),no recorded action,no,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=4929&GUID=2F391EEE-951B-48E3-A3B2-C4DC0A3A6DBC,,not adopted by City Council; no history recorded
22-06,2022-06-07,2022-06-07,"Community Development Department requesting City Council action for a zone change application (File #REZ03082022-6278, Sunrise Ridge) submitted by Adam Nash, requesting that 2.5 acres at 348 E. 8000 S. be rezoned to the RM (12) Zone.",https://sandyutah.legistar1.com/sandyutah/attachments/0be0afa0-ecf7-4bc1-9557-45e50fe8e766.pdf,2026-07-05,text,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/ordinances/2022-06-07_22-06.pdf,yes,,2022-06-07,2,high,4935,REZ03082022-6278 (CC Ord),adopted (approved),yes,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=4935&GUID=7B310F2B-333D-4E57-A60C-2CC5AD3597E6,https://sandyutah.legistar1.com/sandyutah/attachments/0be0afa0-ecf7-4bc1-9557-45e50fe8e766.pdf,exact ordinance number cited in the adopting motion on the adoption date
,,2022-06-16,Brand Estates Rezone  285 E. 11000 S. from R-1-40A to R-1-10 and R-1-15  [Community #11 - Crescent],https://sandyutah.legistar.com/LegislationDetail.aspx?ID=4937&GUID=5E61064C-2261-43AC-AD5B-59C000005BCD,2026-07-05,json,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/api/matters_ordinances.json,yes,,,,none,4937,REZ05042022-6315 (PC),approved (Planning Commission),no,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=4937&GUID=5E61064C-2261-43AC-AD5B-59C000005BCD,,not adopted by City Council; last action: approved (Planning Commission)
22-07,2022-08-16,2022-08-16,"Council considering adoption of Ordinance 22-07, an Ordinance amending Title 2 ""Elections"" of the Sandy City Code by amending Section 2-1-1 ""Filing Fee.""",https://sandyutah.legistar1.com/sandyutah/attachments/1cbfb983-aa8d-4ac2-8777-2ad48eea36e5.pdf,2026-07-05,text,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/ordinances/2022-08-16_22-07.pdf,no,,2022-08-16,3,medium,5025,22-286,adopted,yes,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=5025&GUID=A880B0F8-AC30-4B30-B7A7-A71BE1D4F149,https://sandyutah.legistar1.com/sandyutah/attachments/1cbfb983-aa8d-4ac2-8777-2ad48eea36e5.pdf,"date+subject match; Legistar enacted ordinance is #22-07 but the meeting's ordinance motion in all_votes.csv cites #22-08 — number differs (possible minutes typo/OCR, or a sibling ordinance adopted the same meeting); spot-check"
