date,title,body,meeting_type,packet_kind,source_url,retrieved_date,format,extraction_method,path,source,content_length_bytes,size_mb,stored_locally,pmn_notice_id,pmn_filename,doc_class,fetch_status,sha256,text_path,text_chars,parent_path,section_seq,case_key
2020-01-28,Council Meeting,Council,regular,agenda_packet,https://www.utah.gov/pmn/files/568811.pdf,2026-07-14,text,pdftotext-layout,raw/2020-01-28/568811.pdf,pmn,210228,0.21,yes,584299,01-28-2020 Council Agenda.pdf,,,,,,,,
2020-02-11,Agenda,Council,regular,agenda_packet,https://www.utah.gov/pmn/files/573351.pdf,2026-07-14,text,pdftotext-layout,raw/2020-02-11/573351.pdf,pmn,208424,0.21,yes,587217,02-11-2020 Council Agenda.pdf,,,,,,,,
2020-03-10,Agenda,Council,regular,full_packet,https://www.utah.gov/pmn/files/582765.pdf,2026-07-14,text,pdftotext-layout,raw/2020-03-10/582765.pdf,pmn,7456685,7.46,yes,593247,Public Item #6.1 - Application 31112_TCPacket_Rezone RTKC.pdf,,,,,,,,
2020-04-14,Agenda,Council,regular,agenda_packet,https://www.utah.gov/pmn/files/591399.pdf,2026-07-14,text,pdftotext-layout,raw/2020-04-14/591399.pdf,pmn,213351,0.21,yes,599179,04-14-2020 Council Agenda.pdf,,,,,,,,
2020-04-28,Council Meeting - Electronic Only,Council,regular,agenda_packet,https://www.utah.gov/pmn/files/595395.pdf,2026-07-14,text,pdftotext-layout,raw/2020-04-28/595395.pdf,pmn,209198,0.21,yes,601467,04-28-2020 Council Agenda.pdf,,,,,,,,
2020-05-26,Notice of Public Hearing - Rezone,Council,regular,full_packet,https://www.utah.gov/pmn/files/600143.pdf,2026-07-14,text,pdftotext-layout,raw/2020-05-26/600143.pdf,pmn,2949348,2.95,yes,604689,31132_TCPacket_Basmenji.pdf,,,,,,,,
2020-05-26,Agenda,Council,regular,full_packet,https://www.utah.gov/pmn/files/603827.pdf,2026-07-14,text,pdftotext-layout,raw/2020-05-26/603827.pdf,pmn,372658,0.37,yes,606917,Public Item #16.1 - 31120_TCPacket_Li.pdf,,,,,,,,
2020-06-09,Notice of Public Hearing - Rezone,Council,regular,full_packet,https://www.utah.gov/pmn/files/605249.pdf,2026-07-14,text,pdftotext-layout,raw/2020-06-09/605249.pdf,pmn,372647,0.37,yes,607977,31120_TCPacket_Li.pdf,,,,,,,,
2020-06-09,Notice of Public Hearing - Rezone,Council,regular,full_packet,https://www.utah.gov/pmn/files/605257.pdf,2026-07-14,text,pdftotext-layout,raw/2020-06-09/605257.pdf,pmn,1936446,1.94,yes,607983,31117_StaffReport_Munevar_TCRevised.pdf,,,,,,,,
2020-06-09,Agenda,Council,regular,full_packet,https://www.utah.gov/pmn/files/608057.pdf,2026-07-14,text,pdftotext-layout,raw/2020-06-09/608057.pdf,pmn,372658,0.37,yes,609673,Public Item #6.1 - 31120_TCPacket_Li.pdf,,,,,,,,
2020-07-14,Notice of Public Hearing - Rezone,Council,regular,full_packet,https://www.utah.gov/pmn/files/615597.pdf,2026-07-14,text,pdftotext-layout,raw/2020-07-14/615597.pdf,pmn,1871913,1.87,yes,614599,31170_TCPacket_Pack.pdf,,,,,,,,
2020-07-14,Agenda,Council,regular,full_packet,https://www.utah.gov/pmn/files/619141.pdf,2026-07-14,text,pdftotext-layout,raw/2020-07-14/619141.pdf,pmn,4550505,4.55,yes,616745,Combined packet.pdf,,,,,,,,
2020-08-11,Agenda,Council,regular,agenda_packet,https://www.utah.gov/pmn/files/626971.pdf,2026-07-14,text,pdftotext-layout,raw/2020-08-11/626971.pdf,pmn,215706,0.22,yes,621657,08-11-2020 Council Agenda.pdf,,,,,,,,
2020-09-08,Agenda,Council,regular,agenda_packet,https://www.utah.gov/pmn/files/636159.pdf,2026-07-14,text,pdftotext-layout,raw/2020-09-08/636159.pdf,pmn,221193,0.22,yes,627445,09-08-2020 Council Agenda.pdf,,,,,,,,
2020-11-10,Agenda,Council,regular,full_packet,https://www.utah.gov/pmn/files/655879.pdf,2026-07-14,text,pdftotext-layout,raw/2020-11-10/655879.pdf,pmn,8360690,8.36,yes,639279,Total packet.pdf,,,,,,,,
2020-12-08,Council Meeting - ELECTRONIC MEETING ONLY,Council,regular,agenda_packet,https://www.utah.gov/pmn/files/664933.pdf,2026-07-14,text,pdftotext-layout,raw/2020-12-08/664933.pdf,pmn,218204,0.22,yes,644801,12-08-2020 Council Agenda.pdf,,,,,,,,
2021-01-26,Agenda,Council,regular,agenda_packet,https://www.utah.gov/pmn/files/678743.pdf,2026-07-14,text,pdftotext-layout,raw/2021-01-26/678743.pdf,pmn,220594,0.22,yes,653415,01-26-2021 Council Agenda.pdf,,,,,,,,
2021-04-27,Notice of Public Hearing - Rezone,Council,regular,full_packet,https://www.utah.gov/pmn/files/709677.pdf,2026-07-14,text,pdftotext-layout,raw/2021-04-27/709677.pdf,pmn,12380861,12.38,yes,670671,Ivory Homes REZ2021-000256 Reduced MC A20 to PC- Final Packet.pdf,,,,,,,,
2021-05-11,Agenda,Council,regular,agenda_packet,https://www.utah.gov/pmn/files/715819.pdf,2026-07-14,text,pdftotext-layout,raw/2021-05-11/715819.pdf,pmn,225704,0.23,yes,675393,05-11-2021 Council Agenda.pdf,,,,,,,,
2021-05-25,Agenda,Council,regular,agenda_packet,https://www.utah.gov/pmn/files/721431.pdf,2026-07-14,text,pdftotext-layout,raw/2021-05-25/721431.pdf,pmn,221177,0.22,yes,679049,05-25-2021 Council Agenda.pdf,,,,,,,,
2021-06-08,Agenda,Council,regular,agenda_packet,https://www.utah.gov/pmn/files/726631.pdf,2026-07-14,text,pdftotext-layout,raw/2021-06-08/726631.pdf,pmn,217565,0.22,yes,682109,06-08-2021 Council Agenda.pdf,,,,,,,,
2021-06-22,Agenda,Council,regular,agenda_packet,https://www.utah.gov/pmn/files/732337.pdf,2026-07-14,text,pdftotext-layout,raw/2021-06-22/732337.pdf,pmn,222515,0.22,yes,685861,06-22-2021 Council Agenda.pdf,,,,,,,,
2021-07-13,Agenda,Council,regular,full_packet,https://www.utah.gov/pmn/files/739019.pdf,2026-07-14,text,pdftotext-layout,raw/2021-07-13/739019.pdf,pmn,618704,0.62,yes,689905,Magna Council Packet 7-13-2021.pdf,,,,,,,,
2021-07-27,Agenda,Council,regular,full_packet,https://www.utah.gov/pmn/files/743077.pdf,2026-07-14,text,pdftotext-layout,raw/2021-07-27/743077.pdf,pmn,10547412,10.55,yes,692597,7-27-2021 Council Packet.pdf,,,,,,,,
2021-08-24,Agenda,Council,regular,full_packet,https://www.utah.gov/pmn/files/752511.pdf,2026-07-14,text,pdftotext-layout,raw/2021-08-24/752511.pdf,pmn,3051281,3.05,yes,698305,8-24-2021 Council Packet.pdf,,,,,,,,
2021-09-14,Agenda,Council,regular,full_packet,https://www.utah.gov/pmn/files/759589.pdf,2026-07-14,text,pdftotext-layout,raw/2021-09-14/759589.pdf,pmn,4654766,4.65,yes,702541,9-14-2021 Meeting Packet.pdf,,,,,,,,
2021-09-28,Agenda,Council,regular,full_packet,https://www.utah.gov/pmn/files/764257.pdf,2026-07-14,text,pdftotext-layout,raw/2021-09-28/764257.pdf,pmn,55121144,55.12,yes,705427,9-28-2021 Magna Council Packet.pdf,,,,,,,,
2021-10-11,Agenda,Council,regular,full_packet,https://www.utah.gov/pmn/files/769385.pdf,2026-07-14,text,pdftotext-layout,raw/2021-10-11/769385.pdf,pmn,390126,0.39,yes,708513,10-12-2021 Council Packet.pdf,,,,,,,,
2021-10-26,Agenda,Council,regular,full_packet,https://www.utah.gov/pmn/files/774743.pdf,2026-07-14,text,pdftotext-layout,raw/2021-10-26/774743.pdf,pmn,10196924,10.2,yes,711783,10-26-2021 Council Packet.pdf,,,,,,,,
2021-11-09,Agenda,Council,regular,full_packet,https://www.utah.gov/pmn/files/779635.pdf,2026-07-14,text,pdftotext-layout,raw/2021-11-09/779635.pdf,pmn,1901194,1.9,yes,714961,11-09-2021 Magna Council Packet.pdf,,,,,,,,
2021-11-16,Agenda,Council,regular,full_packet,https://www.utah.gov/pmn/files/782757.pdf,2026-07-14,text,pdftotext-layout,raw/2021-11-16/782757.pdf,pmn,13032287,13.03,yes,716505,11-16-2021 Council Packet.pdf,,,,,,,,
2021-12-14,Agenda,Council,regular,full_packet,https://www.utah.gov/pmn/files/792299.pdf,2026-07-14,text,pdftotext-layout,raw/2021-12-14/792299.pdf,pmn,2048019,2.05,yes,722559,CC Packet 12-14-2021.pdf,,,,,,,,
2022-01-11,City Council Regular Meeting Agenda January 11 2022 (PDF),Council,regular,full_packet,https://magna.utah.gov/AgendaCenter/ViewFile/Agenda/_01112022-88?packet=true,2026-07-14,text,pdftotext-layout,raw/2022-01-11/01112022-88.pdf,civicplus,247370,0.25,yes,,,,,,,,,,
2022-01-25,City Council Regular Meeting Agenda January 25 2022 (PDF),Council,regular,full_packet,https://magna.utah.gov/AgendaCenter/ViewFile/Agenda/_01252022-80?packet=true,2026-07-14,text,pdftotext-layout,raw/2022-01-25/01252022-80.pdf,civicplus,270212,0.27,yes,,,,,,,,,,
2022-02-08,City Council Regular Meeting Agenda February 8 2022 (PDF),Council,regular,full_packet,https://magna.utah.gov/AgendaCenter/ViewFile/Agenda/_02082022-74?packet=true,2026-07-14,text,pdftotext-layout,raw/2022-02-08/02082022-74.pdf,civicplus,253617,0.25,yes,,,,,,,,,,
2022-02-22,City Council Regular Meeting Agenda February 22 2022 (PDF),Council,regular,full_packet,https://magna.utah.gov/AgendaCenter/ViewFile/Agenda/_02222022-85?packet=true,2026-07-14,text,pdftotext-layout,raw/2022-02-22/02222022-85.pdf,civicplus,261648,0.26,yes,,,,,,,,,,
2022-03-08,City Council Regular Meeting Agenda March 8 2022 (PDF),Council,regular,full_packet,https://magna.utah.gov/AgendaCenter/ViewFile/Agenda/_03082022-94?packet=true,2026-07-14,text,pdftotext-layout,raw/2022-03-08/03082022-94.pdf,civicplus,335438,0.34,yes,,,,,,,,,,
2022-03-22,City Council Regular Meeting Agenda March 22 2022 (PDF),Council,regular,full_packet,https://magna.utah.gov/AgendaCenter/ViewFile/Agenda/_03222022-96?packet=true,2026-07-14,text,pdftotext-layout,raw/2022-03-22/03222022-96.pdf,civicplus,275176,0.28,yes,,,,,,,,,,
2022-04-12,City Council Regular Meeting Agenda April 12 2022 (PDF),Council,regular,full_packet,https://magna.utah.gov/AgendaCenter/ViewFile/Agenda/_04122022-78?packet=true,2026-07-14,text,pdftotext-layout,raw/2022-04-12/04122022-78.pdf,civicplus,255163,0.26,yes,,,,,,,,,,
2022-04-26,Magna Workshop Agenda April 26 2022 (PDF),Council,work,full_packet,https://magna.utah.gov/AgendaCenter/ViewFile/Agenda/_04262022-100?packet=true,2026-07-14,text,pdftotext-layout,raw/2022-04-26/04262022-100.pdf,civicplus,189462,0.19,yes,,,,,,,,,,
2022-04-26,City Council Regular Meeting Agenda April 26 2022 (PDF),Council,regular,full_packet,https://magna.utah.gov/AgendaCenter/ViewFile/Agenda/_04262022-70?packet=true,2026-07-14,text,pdftotext-layout,raw/2022-04-26/04262022-70.pdf,civicplus,273037,0.27,yes,,,,,,,,,,
2022-05-10,City Council Regular Meeting Agenda May 10 2022 (PDF),Council,regular,full_packet,https://magna.utah.gov/AgendaCenter/ViewFile/Agenda/_05102022-98?packet=true,2026-07-14,text,pdftotext-layout,raw/2022-05-10/05102022-98.pdf,civicplus,255159,0.26,yes,,,,,,,,,,
2022-05-24,City Council Regular Meeting Agenda May 24 2022 (PDF),Council,regular,full_packet,https://magna.utah.gov/AgendaCenter/ViewFile/Agenda/_05242022-99?packet=true,2026-07-14,text,pdftotext-layout,raw/2022-05-24/05242022-99.pdf,civicplus,250339,0.25,yes,,,,,,,,,,
2022-06-14,City Council Regular Meeting Agenda June 14 2022 (PDF),Council,regular,full_packet,https://magna.utah.gov/AgendaCenter/ViewFile/Agenda/_06142022-83?packet=true,2026-07-14,text,pdftotext-layout,raw/2022-06-14/06142022-83.pdf,civicplus,282282,0.28,yes,,,,,,,,,,
2022-06-28,City Council Regular Meeting Agenda June 28 2022 (PDF),Council,regular,full_packet,https://magna.utah.gov/AgendaCenter/ViewFile/Agenda/_06282022-84?packet=true,2026-07-14,text,pdftotext-layout,raw/2022-06-28/06282022-84.pdf,civicplus,275579,0.28,yes,,,,,,,,,,
2022-07-12,City Council Special Budget Workshop Minutes July 12 2022,Council,work,full_packet,https://magna.utah.gov/AgendaCenter/ViewFile/Agenda/_07122022-101?packet=true,2026-07-14,text,pdftotext-layout,raw/2022-07-12/07122022-101.pdf,civicplus,241625,0.24,yes,,,,,,,,,,
2022-07-12,City Council Regular Meeting Agenda July 12 2022 (PDF),Council,regular,full_packet,https://magna.utah.gov/AgendaCenter/ViewFile/Agenda/_07122022-81?packet=true,2026-07-14,text,pdftotext-layout,raw/2022-07-12/07122022-81.pdf,civicplus,268960,0.27,yes,,,,,,,,,,
2022-07-26,City Council Regular Meeting Agenda July 26 2022 (PDF),Council,regular,full_packet,https://magna.utah.gov/AgendaCenter/ViewFile/Agenda/_07262022-82?packet=true,2026-07-14,text,pdftotext-layout,raw/2022-07-26/07262022-82.pdf,civicplus,275372,0.28,yes,,,,,,,,,,
2022-08-09,City Council Regular Meeting Agenda August 9 2022 (PDF),Council,regular,full_packet,https://magna.utah.gov/AgendaCenter/ViewFile/Agenda/_08092022-71?packet=true,2026-07-14,text,pdftotext-layout,raw/2022-08-09/08092022-71.pdf,civicplus,229929,0.23,yes,,,,,,,,,,
2022-08-16,City Council Special Workshop Agenda August 16 2022,Council,work,full_packet,https://magna.utah.gov/AgendaCenter/ViewFile/Agenda/_08162022-102?packet=true,2026-07-14,text,pdftotext-layout,raw/2022-08-16/08162022-102.pdf,civicplus,3010931,3.01,yes,,,,,,,,,,
2022-08-23,City Council Regular Meeting Agenda August 23 2022 (PDF),Council,regular,full_packet,https://magna.utah.gov/AgendaCenter/ViewFile/Agenda/_08232022-72?packet=true,2026-07-14,text,pdftotext-layout,raw/2022-08-23/08232022-72.pdf,civicplus,269879,0.27,yes,,,,,,,,,,
2022-09-13,City Council Regular Meeting Agenda September 13 2022 (PDF),Council,regular,full_packet,https://magna.utah.gov/AgendaCenter/ViewFile/Agenda/_09132022-92?packet=true,2026-07-14,text,pdftotext-layout,raw/2022-09-13/09132022-92.pdf,civicplus,232744,0.23,yes,,,,,,,,,,
2022-09-27,City Council Regular Meeting Agenda September 27 2022 (PDF),Council,regular,full_packet,https://magna.utah.gov/AgendaCenter/ViewFile/Agenda/_09272022-93?packet=true,2026-07-14,text,pdftotext-layout,raw/2022-09-27/09272022-93.pdf,civicplus,258857,0.26,yes,,,,,,,,,,
2022-10-11,City Council Regular Meeting Agenda October 11 2022 (PDF),Council,regular,full_packet,https://magna.utah.gov/AgendaCenter/ViewFile/Agenda/_10112022-90?packet=true,2026-07-14,text,pdftotext-layout,raw/2022-10-11/10112022-90.pdf,civicplus,233343,0.23,yes,,,,,,,,,,
2022-10-25,City Council Regular Meeting Agenda October 25 2022 (PDF),Council,regular,full_packet,https://magna.utah.gov/AgendaCenter/ViewFile/Agenda/_10252022-91?packet=true,2026-07-14,text,pdftotext-layout,raw/2022-10-25/10252022-91.pdf,civicplus,260542,0.26,yes,,,,,,,,,,
2022-11-22,City Council Regular Meeting Agenda November 22 2022 (PDF),Council,regular,full_packet,https://magna.utah.gov/AgendaCenter/ViewFile/Agenda/_11222022-89?packet=true,2026-07-14,text,pdftotext-layout,raw/2022-11-22/11222022-89.pdf,civicplus,275380,0.28,yes,,,,,,,,,,
2022-12-13,City Council Regular Meeting Agenda December 13 2022 (PDF),Council,regular,full_packet,https://magna.utah.gov/AgendaCenter/ViewFile/Agenda/_12132022-73?packet=true,2026-07-14,text,pdftotext-layout,raw/2022-12-13/12132022-73.pdf,civicplus,258117,0.26,yes,,,,,,,,,,
2023-01-10,City Council Regular Meeting Agenda January 10 2023 (PDF),Council,regular,full_packet,https://magna.utah.gov/AgendaCenter/ViewFile/Agenda/_01102023-87?packet=true,2026-07-14,text,pdftotext-layout,raw/2023-01-10/01102023-87.pdf,civicplus,237666,0.24,yes,,,,,,,,,,
2023-01-24,City Council Regular Meeting Agenda January 24 2023 (PDF),Council,regular,full_packet,https://magna.utah.gov/AgendaCenter/ViewFile/Agenda/_01242023-79?packet=true,2026-07-14,text,pdftotext-layout,raw/2023-01-24/01242023-79.pdf,civicplus,257273,0.26,yes,,,,,,,,,,
2023-02-13,City Council Regular Meeting Agenda February 13 2024 (PDF),Council,regular,full_packet,https://magna.utah.gov/AgendaCenter/ViewFile/Agenda/_02132023-46?packet=true,2026-07-14,text,pdftotext-layout,raw/2023-02-13/02132023-46.pdf,civicplus,247109,0.25,yes,,,,,,,,,,
2023-02-14,City Council Regular Meeting Agenda February 14 2023 (PDF),Council,regular,full_packet,https://magna.utah.gov/AgendaCenter/ViewFile/Agenda/_02142023-75?packet=true,2026-07-14,text,pdftotext-layout,raw/2023-02-14/02142023-75.pdf,civicplus,262710,0.26,yes,,,,,,,,,,
2023-02-27,City Council Regular Meeting Agenda February 27 2024 (PDF),Council,regular,full_packet,https://magna.utah.gov/AgendaCenter/ViewFile/Agenda/_02272023-47?packet=true,2026-07-14,text,pdftotext-layout,raw/2023-02-27/02272023-47.pdf,civicplus,251466,0.25,yes,,,,,,,,,,
2023-02-28,City Council Regular Meeting Agenda February 28 2023 (PDF),Council,regular,full_packet,https://magna.utah.gov/AgendaCenter/ViewFile/Agenda/_02282023-86?packet=true,2026-07-14,text,pdftotext-layout,raw/2023-02-28/02282023-86.pdf,civicplus,303163,0.3,yes,,,,,,,,,,
2023-03-14,City Council Regular Meeting Agenda March 14 2023 (PDF),Council,regular,full_packet,https://magna.utah.gov/AgendaCenter/ViewFile/Agenda/_03142023-95?packet=true,2026-07-14,text,pdftotext-layout,raw/2023-03-14/03142023-95.pdf,civicplus,248393,0.25,yes,,,,,,,,,,
2023-03-28,City Council Regular Meeting Agenda March 28 2023 (PDF),Council,regular,full_packet,https://magna.utah.gov/AgendaCenter/ViewFile/Agenda/_03282023-97?packet=true,2026-07-14,text,pdftotext-layout,raw/2023-03-28/03282023-97.pdf,civicplus,258091,0.26,yes,,,,,,,,,,
2023-04-11,City Council Regular Meeting Agenda Amended April 11 2023 (PDF),Council,regular,full_packet,https://magna.utah.gov/AgendaCenter/ViewFile/Agenda/_04112023-76?packet=true,2026-07-14,text,pdftotext-layout,raw/2023-04-11/04112023-76.pdf,civicplus,249195,0.25,yes,,,,,,,,,,
2023-04-25,City Council Regular Meeting Agenda April 25 2023 (PDF),Council,regular,full_packet,https://magna.utah.gov/AgendaCenter/ViewFile/Agenda/_04252023-69?packet=true,2026-07-14,text,pdftotext-layout,raw/2023-04-25/04252023-69.pdf,civicplus,257316,0.26,yes,,,,,,,,,,
2023-05-09,City Council Regular Meeting Agenda Amended May 9 2023 (PDF),Council,regular,full_packet,https://magna.utah.gov/AgendaCenter/ViewFile/Agenda/_05092023-49?packet=true,2026-07-14,text,pdftotext-layout,raw/2023-05-09/05092023-49.pdf,civicplus,267435,0.27,yes,,,,,,,,,,
2023-05-09,City Council Regular Meeting Agenda Amended May 9 2023 (PDF),Council,regular,full_packet,https://magna.utah.gov/AgendaCenter/ViewFile/Agenda/_05092023-77?packet=true,2026-07-14,text,pdftotext-layout,raw/2023-05-09/05092023-77.pdf,civicplus,267435,0.27,yes,,,,,,,,,,
2023-05-23,City Council Regular Meeting Agenda May 23 2023 (PDF),Council,regular,full_packet,https://magna.utah.gov/AgendaCenter/ViewFile/Agenda/_05232023-56?packet=true,2026-07-14,text,pdftotext-layout,raw/2023-05-23/05232023-56.pdf,civicplus,255700,0.26,yes,,,,,,,,,,
2023-06-13,City Council Regular Meeting Agenda June 13 2023 (PDF),Council,regular,full_packet,https://magna.utah.gov/AgendaCenter/ViewFile/Agenda/_06132023-62?packet=true,2026-07-14,text,pdftotext-layout,raw/2023-06-13/06132023-62.pdf,civicplus,249403,0.25,yes,,,,,,,,,,
