date,title,body,meeting_type,packet_kind,source_url,source,reason,http_status,pmn_notice_id,pmn_filename
2018-02-22,Magna Metro Township Planning Commission Meeting,PC,regular,agenda_packet,https://www.utah.gov/pmn/files/371747.pdf,pmn,pmn_purged_404,404,447699,180222_MagnaTPC_Agenda.pdf
2018-03-06,Magna Metro Township General Plan Steering Committee,PC,work,agenda_packet,https://www.utah.gov/pmn/files/376447.pdf,pmn,pmn_purged_404,404,450809,Work Session Agenda-March_6_2018.pdf
2018-03-08,Magna Metro Township Planning Commission Meeting,PC,regular,full_packet,https://www.utah.gov/pmn/files/376361.pdf,pmn,pmn_purged_404,404,449431,180308_MagnaTPC_Packet.pdf
2018-03-20,Magna Metro Township General Plan Steerning Committee,PC,work,agenda_packet,https://www.utah.gov/pmn/files/380631.pdf,pmn,pmn_purged_404,404,453663,Work Session Agenda-March_20_2018.pdf
2018-04-12,Magna Metro Township Planning Commission,PC,regular,full_packet,https://www.utah.gov/pmn/files/386185.pdf,pmn,pmn_purged_404,404,455341,180412_MagnaTPC_PacketAmended.pdf
2018-04-17,Magna Metro Township General Plan Steering Committee,PC,work,agenda_packet,https://www.utah.gov/pmn/files/386625.pdf,pmn,pmn_purged_404,404,457719,Work Session Agenda-April_17_2018.pdf
2018-05-01,Magna Metro Township Planning Commission,PC,work,agenda_packet,https://www.utah.gov/pmn/files/391899.pdf,pmn,pmn_purged_404,404,461487,Work Session Agenda-May_1_2018.pdf
2018-05-10,Magna Metro Township Planning Commission,PC,regular,full_packet,https://www.utah.gov/pmn/files/394107.pdf,pmn,pmn_purged_404,404,461143,180510_MagnaTPC_Packet.pdf
2018-05-15,Magna Metro Township General Plan Steering Committee,PC,work,agenda_packet,https://www.utah.gov/pmn/files/396377.pdf,pmn,pmn_purged_404,404,464783,Work Session Agenda-May_15_2018.pdf
2018-06-05,Magna Metro Township General Plan Steering Committee,PC,work,agenda_packet,https://www.utah.gov/pmn/files/401337.pdf,pmn,pmn_purged_404,404,468275,Work Session Agenda-June_5_2018.pdf
2018-06-14,Magna Metro Township Planning Commission,PC,regular,full_packet,https://www.utah.gov/pmn/files/403691.pdf,pmn,pmn_purged_404,404,468299,180614_MagnaTPC_Packet.pdf
2018-06-19,Magna Metro Township Planning Commission,PC,work,agenda_packet,https://www.utah.gov/pmn/files/405951.pdf,pmn,pmn_purged_404,404,471617,Work Session Agenda-June_19_2018.pdf
2018-08-07,Magna Metro Township General Plan Steering Committee,PC,work,agenda_packet,https://www.utah.gov/pmn/files/417303.pdf,pmn,pmn_purged_404,404,479751,Work Session Agenda-August_7_2018.pdf
2018-08-09,Magna Metro Township Planning Commission,PC,regular,full_packet,https://www.utah.gov/pmn/files/417549.pdf,pmn,pmn_purged_404,404,478521,180809_MagnaTPC_Packet.pdf
2018-08-14,Magna Metro Township Land Use Hearing Officer,PC,regular,full_packet,https://www.utah.gov/pmn/files/418563.pdf,pmn,pmn_purged_404,404,478651,180814_MagnaLHO_Packet.pdf
2018-09-04,Magna Metro Township General Plan Steering Committee,PC,work,agenda_packet,https://www.utah.gov/pmn/files/424519.pdf,pmn,pmn_purged_404,404,484289,Work Session Agenda-September_4_2018Cancelled.pdf
2018-09-13,Magna Metro Township Planning Commission,PC,regular,full_packet,https://www.utah.gov/pmn/files/426327.pdf,pmn,pmn_purged_404,404,484255,180913_MagnaTPC_Packet.pdf
2018-09-13,Magna Metro Township General Plan Steering Committee,PC,work,agenda_packet,https://www.utah.gov/pmn/files/426331.pdf,pmn,pmn_purged_404,404,485869,Work Session Agenda-September_13_2018Amended.pdf
2018-10-11,Magna Metro Township Planning Commission,PC,regular,full_packet,https://www.utah.gov/pmn/files/432957.pdf,pmn,pmn_purged_404,404,489923,181011_MagnaTPC_Packet.pdf
2018-10-20,Magna Metro Township Planning Commission,PC,regular,agenda_packet,https://www.utah.gov/pmn/files/436281.pdf,pmn,pmn_purged_404,,493133,181020_MagnaTPC_Agenda.pdf
2018-11-08,Magna Metro Township Planning Commission,PC,regular,agenda_packet,https://www.utah.gov/pmn/files/440335.pdf,pmn,pmn_purged_404,404,495021,181108_MagnaTPC_AgendaAmendedv2.pdf
2018-12-04,Magna Metro Township General Plan Steering Committee,PC,work,agenda_packet,https://www.utah.gov/pmn/files/448403.pdf,pmn,pmn_purged_404,404,501579,Work Session Agenda-December_4_2018a.pdf
2018-12-13,Magna Metro Township Planning Commission,PC,regular,full_packet,https://www.utah.gov/pmn/files/451093.pdf,pmn,pmn_purged_404,404,502191,181213_MagnaTPC_PacketAmended.pdf
