date,title,body,meeting_type,packet_kind,source_url,retrieved_date,format,extraction_method,path,event_id,file_id,size_mb,stored_locally
2020-02-06,City Council,Council,City Council,agenda_packet,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=3927,plainText=false)",2026-07-05,na,civicclerk_odata,,2004,3927,18.779,no
2020-02-12,Planning Commission,PlanningCommission,Planning Commission,agenda,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=3830,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2020-02-12/PlanningCommission_e1961_agenda.pdf,1961,3830,0.112,yes
2020-02-12,Planning Commission,PlanningCommission,Planning Commission,agenda_packet,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=3831,plainText=false)",2026-07-05,na,civicclerk_odata,,1961,3831,69.741,no
2020-02-13,City Council,Council,City Council,agenda,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=3815,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2020-02-13/Council_e1955_agenda.pdf,1955,3815,0.027,yes
2020-02-13,City Council,Council,City Council,agenda_packet,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=3816,plainText=false)",2026-07-05,na,civicclerk_odata,,1955,3816,20.823,no
2020-02-14,City Council,Council,City Council,agenda,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=3799,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2020-02-14/Council_e1949_agenda.pdf,1949,3799,0.026,yes
2020-02-14,City Council,Council,City Council,agenda_packet,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=3800,plainText=false)",2026-07-05,na,civicclerk_odata,,1949,3800,0.115,no
2020-02-26,Planning Commission,PlanningCommission,Planning Commission,agenda,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=3684,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2020-02-26/PlanningCommission_e1896_agenda.pdf,1896,3684,0.128,yes
2020-02-26,Planning Commission,PlanningCommission,Planning Commission,agenda_packet,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=3685,plainText=false)",2026-07-05,na,civicclerk_odata,,1896,3685,1.539,no
2020-02-27,City Council,Council,City Council,agenda,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=3669,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2020-02-27/Council_e1889_agenda.pdf,1889,3669,0.07,yes
2020-02-27,City Council,Council,City Council,agenda_packet,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=3670,plainText=false)",2026-07-05,na,civicclerk_odata,,1889,3670,61.577,no
2020-03-04,Historic Preservation Board,HistoricPreservationBoard,Historic Preservation Board,agenda,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=3581,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2020-03-04/HistoricPreservationBoard_e1850_agenda.pdf,1850,3581,0.077,yes
2020-03-04,Historic Preservation Board,HistoricPreservationBoard,Historic Preservation Board,agenda_packet,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=3582,plainText=false)",2026-07-05,na,civicclerk_odata,,1850,3582,38.804,no
2020-03-05,City Council,Council,City Council,agenda,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=3567,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2020-03-05/Council_e1844_agenda.pdf,1844,3567,0.118,yes
2020-03-05,City Council,Council,City Council,agenda_packet,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=3568,plainText=false)",2026-07-05,na,civicclerk_odata,,1844,3568,4.918,no
2020-03-11,Planning Commission,PlanningCommission,Planning Commission,agenda,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=3489,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2020-03-11/PlanningCommission_e1810_agenda.pdf,1810,3489,0.153,yes
2020-03-11,Planning Commission,PlanningCommission,Planning Commission,agenda_packet,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=3490,plainText=false)",2026-07-05,na,civicclerk_odata,,1810,3490,56.358,no
2020-03-13,City Council,Council,City Council,agenda,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=3465,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2020-03-13/Council_e1799_agenda.pdf,1799,3465,0.024,yes
2020-03-19,City Council,Council,City Council,agenda,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=3400,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2020-03-19/Council_e1770_agenda.pdf,1770,3400,0.063,yes
2020-03-19,City Council,Council,City Council,agenda_packet,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=3401,plainText=false)",2026-07-05,na,civicclerk_odata,,1770,3401,25.55,no
2020-04-09,City Council,Council,City Council,agenda,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=3163,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2020-04-09/Council_e1673_agenda.pdf,1673,3163,0.025,yes
2020-04-09,City Council,Council,City Council,agenda_packet,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=3164,plainText=false)",2026-07-05,na,civicclerk_odata,,1673,3164,1.853,no
2020-04-16,City Council,Council,City Council,agenda,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=3100,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2020-04-16/Council_e1644_agenda.pdf,1644,3100,0.115,yes
2020-04-16,City Council,Council,City Council,agenda_packet,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=3101,plainText=false)",2026-07-05,na,civicclerk_odata,,1644,3101,30.005,no
2020-04-22,Planning Commission,PlanningCommission,Planning Commission,agenda,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=3026,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2020-04-22/PlanningCommission_e1611_agenda.pdf,1611,3026,0.155,yes
2020-04-22,Planning Commission,PlanningCommission,Planning Commission,agenda_packet,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=3027,plainText=false)",2026-07-05,na,civicclerk_odata,,1611,3027,26.613,no
2020-04-30,City Council,Council,City Council,agenda,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=2923,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2020-04-30/Council_e1569_agenda.pdf,1569,2923,0.062,yes
2020-04-30,City Council,Council,City Council,agenda_packet,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=2924,plainText=false)",2026-07-05,na,civicclerk_odata,,1569,2924,4.784,no
2020-05-13,Planning Commission,PlanningCommission,Planning Commission,agenda,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=2763,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2020-05-13/PlanningCommission_e1499_agenda.pdf,1499,2763,0.153,yes
2020-05-13,Planning Commission,PlanningCommission,Planning Commission,agenda_packet,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=2764,plainText=false)",2026-07-05,na,civicclerk_odata,,1499,2764,30.877,no
2020-05-14,City Council,Council,City Council,agenda,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=2749,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2020-05-14/Council_e1494_agenda.pdf,1494,2749,0.114,yes
2020-05-14,City Council,Council,City Council,agenda_packet,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=2750,plainText=false)",2026-07-05,na,civicclerk_odata,,1494,2750,17.432,no
2020-05-21,City Council,Council,City Council,agenda,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=2677,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2020-05-21/Council_e1460_agenda.pdf,1460,2677,0.115,yes
2020-05-21,City Council,Council,City Council,agenda_packet,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=2678,plainText=false)",2026-07-05,na,civicclerk_odata,,1460,2678,17.07,no
2020-05-27,Planning Commission,PlanningCommission,Planning Commission,agenda,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=2596,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2020-05-27/PlanningCommission_e1427_agenda.pdf,1427,2596,0.16,yes
2020-05-27,Planning Commission,PlanningCommission,Planning Commission,agenda_packet,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=2597,plainText=false)",2026-07-05,na,civicclerk_odata,,1427,2597,301.064,no
2020-05-28,City Council,Council,City Council,agenda,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=2579,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2020-05-28/Council_e1421_agenda.pdf,1421,2579,0.075,yes
2020-05-28,City Council,Council,City Council,agenda_packet,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=2580,plainText=false)",2026-07-05,na,civicclerk_odata,,1421,2580,1.629,no
2020-06-03,Historic Preservation Board,HistoricPreservationBoard,Historic Preservation Board,agenda,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=2509,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2020-06-03/HistoricPreservationBoard_e1392_agenda.pdf,1392,2509,0.133,yes
2020-06-03,Historic Preservation Board,HistoricPreservationBoard,Historic Preservation Board,agenda_packet,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=2510,plainText=false)",2026-07-05,na,civicclerk_odata,,1392,2510,70.264,no
2020-06-10,Planning Commission,PlanningCommission,Planning Commission,agenda,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=2420,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2020-06-10/PlanningCommission_e1355_agenda.pdf,1355,2420,0.123,yes
2020-06-10,Planning Commission,PlanningCommission,Planning Commission,agenda_packet,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=4787,plainText=false)",2026-07-05,na,civicclerk_odata,,1355,4787,197.45,no
2020-06-11,City Council,Council,City Council,agenda,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=2405,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2020-06-11/Council_e1349_agenda.pdf,1349,2405,0.124,yes
2020-06-11,City Council,Council,City Council,agenda_packet,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=2406,plainText=false)",2026-07-05,na,civicclerk_odata,,1349,2406,61.36,no
2020-06-18,City Council,Council,City Council,agenda,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=2313,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2020-06-18/Council_e1311_agenda.pdf,1311,2313,0.067,yes
2020-06-18,City Council,Council,City Council,agenda_packet,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=2314,plainText=false)",2026-07-05,na,civicclerk_odata,,1311,2314,26.131,no
2020-06-24,Planning Commission,PlanningCommission,Planning Commission,agenda,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=2241,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2020-06-24/PlanningCommission_e1280_agenda.pdf,1280,2241,0.139,yes
2020-06-24,Planning Commission,PlanningCommission,Planning Commission,agenda_packet,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=4786,plainText=false)",2026-07-05,na,civicclerk_odata,,1280,4786,60.416,no
2020-06-25,City Council,Council,City Council,agenda,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=2223,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2020-06-25/Council_e1272_agenda.pdf,1272,2223,0.118,yes
2020-06-25,City Council,Council,City Council,agenda_packet,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=2224,plainText=false)",2026-07-05,na,civicclerk_odata,,1272,2224,48.044,no
2020-07-01,Historic Preservation Board,HistoricPreservationBoard,Historic Preservation Board,agenda,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=2146,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2020-07-01/HistoricPreservationBoard_e1242_agenda.pdf,1242,2146,0.109,yes
2020-07-01,Historic Preservation Board,HistoricPreservationBoard,Historic Preservation Board,agenda_packet,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=2147,plainText=false)",2026-07-05,na,civicclerk_odata,,1242,2147,43.842,no
2020-07-08,Planning Commission,PlanningCommission,Planning Commission,agenda,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=2108,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2020-07-08/PlanningCommission_e1221_agenda.pdf,1221,2108,0.152,yes
2020-07-08,Planning Commission,PlanningCommission,Planning Commission,agenda_packet,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=4785,plainText=false)",2026-07-05,na,civicclerk_odata,,1221,4785,32.887,no
2020-07-09,City Council,Council,City Council,agenda,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=2094,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2020-07-09/Council_e1216_agenda.pdf,1216,2094,0.162,yes
2020-07-09,City Council,Council,City Council,agenda_packet,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=2095,plainText=false)",2026-07-05,na,civicclerk_odata,,1216,2095,90.911,no
2020-07-16,City Council,Council,City Council,agenda,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=1991,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2020-07-16/Council_e1173_agenda.pdf,1173,1991,0.116,yes
2020-07-16,City Council,Council,City Council,agenda_packet,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=1992,plainText=false)",2026-07-05,na,civicclerk_odata,,1173,1992,43.448,no
2020-07-22,Planning Commission,PlanningCommission,Planning Commission,agenda,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=1920,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2020-07-22/PlanningCommission_e1144_agenda.pdf,1144,1920,0.144,yes
2020-07-22,Planning Commission,PlanningCommission,Planning Commission,agenda_packet,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=4784,plainText=false)",2026-07-05,na,civicclerk_odata,,1144,4784,12.026,no
2020-07-29,City Council,Council,City Council,agenda,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=1865,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2020-07-29/Council_e1119_agenda.pdf,1119,1865,0.076,yes
2020-07-29,City Council,Council,City Council,agenda_packet,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=1866,plainText=false)",2026-07-05,na,civicclerk_odata,,1119,1866,4.698,no
2020-07-30,City Council,Council,City Council,agenda,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=1856,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2020-07-30/Council_e1116_agenda.pdf,1116,1856,0.125,yes
2020-07-30,City Council,Council,City Council,agenda_packet,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=1857,plainText=false)",2026-07-05,na,civicclerk_odata,,1116,1857,36.737,no
2020-08-04,City Council,Council,City Council,agenda,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=1790,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2020-08-04/Council_e1090_agenda.pdf,1090,1790,0.124,yes
2020-08-04,City Council,Council,City Council,agenda_packet,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=1791,plainText=false)",2026-07-05,na,civicclerk_odata,,1090,1791,26.706,no
2020-08-05,Historic Preservation Board,HistoricPreservationBoard,Historic Preservation Board,agenda,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=1776,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2020-08-05/HistoricPreservationBoard_e1084_agenda.pdf,1084,1776,0.11,yes
2020-08-05,Historic Preservation Board,HistoricPreservationBoard,Historic Preservation Board,agenda_packet,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=1777,plainText=false)",2026-07-05,na,civicclerk_odata,,1084,1777,44.391,no
2020-08-26,Planning Commission,PlanningCommission,Planning Commission,agenda,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=1576,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2020-08-26/PlanningCommission_e994_agenda.pdf,994,1576,0.115,yes
2020-08-26,Planning Commission,PlanningCommission,Planning Commission,agenda_packet,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=4783,plainText=false)",2026-07-05,na,civicclerk_odata,,994,4783,48.525,no
2020-08-31,City Council,Council,City Council,agenda,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=1522,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2020-08-31/Council_e972_agenda.pdf,972,1522,0.075,yes
2020-09-02,Historic Preservation Board,HistoricPreservationBoard,Historic Preservation Board,agenda,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=1494,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2020-09-02/HistoricPreservationBoard_e960_agenda.pdf,960,1494,0.165,yes
2020-09-02,Historic Preservation Board,HistoricPreservationBoard,Historic Preservation Board,agenda_packet,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=1495,plainText=false)",2026-07-05,na,civicclerk_odata,,960,1495,70.885,no
2020-09-09,Planning Commission,PlanningCommission,Planning Commission,agenda,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=1444,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2020-09-09/PlanningCommission_e937_agenda.pdf,937,1444,0.144,yes
2020-09-09,Planning Commission,PlanningCommission,Planning Commission,agenda_packet,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=4782,plainText=false)",2026-07-05,na,civicclerk_odata,,937,4782,3.019,no
2020-09-17,City Council,Council,City Council,agenda,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=1349,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2020-09-17/Council_e899_agenda.pdf,899,1349,0.126,yes
2020-09-17,City Council,Council,City Council,agenda_packet,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=1350,plainText=false)",2026-07-05,na,civicclerk_odata,,899,1350,31.853,no
2020-09-22,City Council,Council,City Council,agenda,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=1303,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2020-09-22/Council_e880_agenda.pdf,880,1303,0.115,yes
2020-09-22,City Council,Council,City Council,agenda_packet,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=1304,plainText=false)",2026-07-05,na,civicclerk_odata,,880,1304,7.827,no
2020-09-23,Planning Commission,PlanningCommission,Planning Commission,agenda,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=1286,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2020-09-23/PlanningCommission_e873_agenda.pdf,873,1286,0.152,yes
2020-09-23,Planning Commission,PlanningCommission,Planning Commission,agenda_packet,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=4781,plainText=false)",2026-07-05,na,civicclerk_odata,,873,4781,161.949,no
2020-10-01,City Council,Council,City Council,agenda,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=1206,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2020-10-01/Council_e842_agenda.pdf,842,1206,0.112,yes
2020-10-01,City Council,Council,City Council,agenda_packet,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=1207,plainText=false)",2026-07-05,na,civicclerk_odata,,842,1207,12.866,no
2020-10-07,Historic Preservation Board,HistoricPreservationBoard,Historic Preservation Board,agenda,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=1138,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2020-10-07/HistoricPreservationBoard_e812_agenda.pdf,812,1138,0.137,yes
2020-10-07,Historic Preservation Board,HistoricPreservationBoard,Historic Preservation Board,agenda_packet,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=1139,plainText=false)",2026-07-05,na,civicclerk_odata,,812,1139,79.643,no
2020-10-13,City Council,Council,City Council,agenda,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=1055,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2020-10-13/Council_e777_agenda.pdf,777,1055,0.12,yes
2020-10-13,City Council,Council,City Council,agenda_packet,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=1056,plainText=false)",2026-07-05,na,civicclerk_odata,,777,1056,21.979,no
2020-10-14,Planning Commission,PlanningCommission,Planning Commission,agenda,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=1040,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2020-10-14/PlanningCommission_e771_agenda.pdf,771,1040,0.144,yes
2020-10-14,Planning Commission,PlanningCommission,Planning Commission,agenda_packet,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=4780,plainText=false)",2026-07-05,na,civicclerk_odata,,771,4780,2.453,no
2020-10-23,City Council,Council,City Council,agenda,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=953,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2020-10-23/Council_e734_agenda.pdf,734,953,0.11,yes
2020-10-23,City Council,Council,City Council,agenda_packet,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=954,plainText=false)",2026-07-05,na,civicclerk_odata,,734,954,1.77,no
2020-10-28,Planning Commission,PlanningCommission,Planning Commission,agenda,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=902,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2020-10-28/PlanningCommission_e712_agenda.pdf,712,902,0.161,yes
2020-10-28,Planning Commission,PlanningCommission,Planning Commission,agenda_packet,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=4779,plainText=false)",2026-07-05,na,civicclerk_odata,,712,4779,92.126,no
2020-10-29,City Council,Council,City Council,agenda,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=887,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2020-10-29/Council_e706_agenda.pdf,706,887,0.123,yes
2020-10-29,City Council,Council,City Council,agenda_packet,"https://parkcityut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=888,plainText=false)",2026-07-05,na,civicclerk_odata,,706,888,69.625,no
