ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,date_precision,adoption_date_source,pdf_month_year,note
17-23,,2017-05-08,AN ORDINANCE AMENDING MILLCREEK’S LAND USE ORDINANCES BY REPEALING THE MD-1 ZONE (MIXED DEVELOPMENT-1 ZONE),https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/ordinances/documents/ord-17-23-repealing-md-1-zone.pdf,2026-07-06,scanned,ocr+ocrAll,raw/17-23.pdf,yes,,,,none,day,pdf,2017-05,
17-24,,2017-05-08,,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2017-24.pdf,2026-07-06,scanned,ocr+ocrAll,raw/17-24.pdf,no,,,,none,day,pdf,2017-05,
17-25,,2017-06-05,AN ORDINANCE OF THE MILLCREEK COUNCIL BANNING THE USE OF FIREWORKS AND ANY OPEN FLAME FIRES WITHIN CERTAIN AREAS OF THE CITY,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2017-25.pdf,2026-07-06,scanned,ocr,raw/17-25.pdf,no,,,,none,day,pdf,2017-06,
17-26,,2017-06,AN ORDINANCE OF THE MILLCREEK COUNCIL AMENDING MILLCREEK’S LAND USE ORDINANCE BY ADDING VARIOUS DEFINITIONS TO TITLE 19 CHAPTER 19.04 ENTITLED DEFINITIONS,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/ordinances/documents/ord-17-26-adding-definitions.pdf,2026-07-06,text,pdftext,raw/17-26.pdf,yes,,,,none,month,pdf,2017-06,
17-27,,2017-06-12,"AN ORDINANCE AMENDING TITLE 19, ENTITLED ""ZONING"", OF THE",https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2017-27.pdf,2026-07-06,scanned,ocr+ocrL,raw/17-27.pdf,yes,,,,none,day,pdf,2017-06,
17-28,,2017-06,AN ORDINANCE OF MILLCREEK ADOPTING A FINAL BUDGET,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/ordinances/documents/ord-17-28-adopting-budget-2017-18.pdf,2026-07-06,scanned,pdftext+ocrAll,raw/17-28.pdf,no,,,,none,month,pdf,2017-06,
17-29,,2017-06-12,,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/ordinances/documents/ord-17-29-fcoz-revision.pdf,2026-07-06,scanned,pdftext+ocrAll,raw/17-29.pdf,no,,,,none,day,pdf,2017-06,
17-30,,2017-06-26,,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/ordinances/documents/ord-17-30-conditional-uses.pdf,2026-07-06,scanned,pdftext+ocrAll,raw/17-30.pdf,no,,,,none,day,pdf,2017-06,
17-31,,2017-07-10,AN ORDINANCE OF THE MILLCREEK COUNCIL ADDING ADDITIONAL AREAS SUBJECT TO THE BAN ON THE USE OF FIREWORKS AND ANY OPEN FLAME FIRES WITHIN CERTAIN AREAS OF MILLCREEK,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2017-31.pdf,2026-07-06,scanned,ocr+ocrAll,raw/17-31.pdf,no,,,,none,day,pdf,2017-07,
17-32,,2017-07-10,AN ORDINANCE GRANTING AN ELECTRIC UTILITY FRANCHISE AND GENERAL UTILITY EASEMENT TO ROCKY MOUNTAIN POWER,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2017-32.pdf,2026-07-06,scanned,ocr+ocrAll,raw/17-32.pdf,no,,,,none,day,pdf,2017-07,
17-33,,2017-07,,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2017-33.pdf,2026-07-06,scanned,ocr+ocrL,raw/17-33.pdf,no,,,,none,month,pdf,2017-07,
17-34,,2017-07,"AN ORDINANCE OF MILLCREEK CITY AMENDING THE A FINANCIAL AND ADMINISTRATIVE ORDINANCE REGARDING PROCUREMENT OF SERVICES, SUPPLIES AND EQUIPMENT FOR MILLCREEK CITY AND OTHER RELATED MATTERS",https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2017-34.pdf,2026-07-06,scanned,ocr+ocrAll,raw/17-34.pdf,no,,,,none,month,pdf,2017-07,
17-35,,2017-07-10,AN ORDINANCE AMENDING TITLE 19 OF THE MILLCREEK CODE OF ORDINANCES,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2017-35.pdf,2026-07-06,scanned,ocr,raw/17-35.pdf,yes,,,,none,day,pdf,2017-07,
17-36,,2017-07,AN ORDINANCE APPROVING COMPENSATION AND BENEFITS FOR THE MAYOR AND MEMBERS OF THE COUNCIL,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2017-36.pdf,2026-07-06,scanned,ocr+ocrL,raw/17-36.pdf,no,,,,none,month,pdf,2017-07,
17-37,,2017-07,"AN ORDINANCE AMENDING TITLE 14 - HIGHWAYS, SIDEWALKS AND PUBLIC PLACES OF THE MILLCREEK CODE OF ORDINANCES BY ADDING SECTION 14.16.120 ENTITLED RESTORATION OF SURFACE-REQUIRED",https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2017-37.pdf,2026-07-06,scanned,ocr+ocrL,raw/17-37.pdf,no,,,,none,month,pdf,2017-07,
17-38,,2017-08-07,"AN ORDINANCE AMENDING SECTIONS 19.04.095, 19.76.190, AND 19.76.200 REGARDING THE DEFINITION OF “HEIGHT OF BUILDING”",https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2017-38.pdf,2026-07-06,scanned,ocr,raw/17-38.pdf,no,,,,none,day,pdf,2017-08,
17-39,,2017-08-07,AN ORDINANCE AMENDING SECTION 14.12.020 OF THE MILLCREEK CODE OF ORDINANCES ADDING NEW ROADWAY STANDARDS,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/ordinances/documents/ord-17-39-adding-new-roadway-standards.pdf,2026-07-06,scanned,ocr+ocrL,raw/17-39.pdf,no,,,,none,day,pdf,2017-08,
17-40,,2017-08-07,AN ORDINANCE AMENDING SECTION 14.12.025 OF THE MILLCREEK CODE OF ORDINANCES ADOPTING,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2017-40.pdf,2026-07-06,scanned,ocr+ocrL,raw/17-40.pdf,no,,,,none,day,pdf,2017-08,
17-41,,2017-08-01,AN ORDINANCE ADOPTING A TELECOMMUNICATIONS RIGHT-OF-WAY,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2017-41.pdf,2026-07-06,scanned,ocr+ocrL,raw/17-41.pdf,no,,,,none,day,pdf,2017-08,
17-42,,2017-08-14,AN ORDINANCE ADOPTING A GOVERNMENT RECORDS ACCESS AND MANAGEMENT ACT RECORD REQUEST FEE AND SERVICE CHARGE SCHEDULE,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2017-42.pdf,2026-07-06,scanned,ocr+ocrL,raw/17-42.pdf,no,,,,none,day,pdf,2017-08,
17-43,,2017-09,AN ORDINANCE CREATING THE OFFICE OF DEPUTY CITY RECORDER,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2017-43.pdf,2026-07-06,scanned,ocr,raw/17-43.pdf,no,,,,none,month,pdf,2017-09,
17-44,,2017-09-25,City Council Agenda,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2017-44.pdf,2026-07-06,scanned,ocr+ocrL,raw/17-44.pdf,no,,2017-09-25,4,high,day,motion,2017-09,
17-45,,2017-08-28,AN ORDINANCE FORMALLY ADOPTING THE MILLCREEK MISSION STATEMENT AND MILLCREEK VISION STATEMENT,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2017-45.pdf,2026-07-06,scanned,ocr,raw/17-45.pdf,no,,,,none,day,pdf,2017-08,
17-46,,2017-10-23,"AN ORDINANCE AMENDING TITLE 10 OF THE MILLCREEK CODE OF ORDINANCES REGARDING CAMPING ON PUBLIC GROUNDS, STREET, PARKS, AND PLAYGROUNDS",https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/ordinances/documents/ORD%2017-46.PDF,2026-07-06,scanned,ocr,raw/17-46.pdf,no,,2017-10-23,4,medium,day,motion,,
17-47,,2017-11-13,AN ORDINANCE OF THE MILLCREEK CITY COUNCIL REPEALING ORDINANCE,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2017-47.pdf,2026-07-06,scanned,ocr,raw/17-47.pdf,no,,,,none,day,pdf,2017-11,
17-48,,2017-10-23,"AN ORDINANCE APPROVING AND APPROPRIATING A MONETARY CONTRIBUTION TO UTAH VENTURE OUTDOORS OF AN AMOUNT NOT TO EXCEED $55,000",https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2017-48.PDF,2026-07-06,scanned,ocr,raw/17-48.pdf,no,,2017-10-23,2,medium,day,motion,,
17-49,,2017-10,AN ORDINANCE REZONING CERTAIN PROPERTY LOCATED AT APPROXIMATELY 784 EAST 4500 SOUTH FROM THE R-2-10 ZONE (MEDIUM DENSITY RESIDENTIAL) TO THE C-2 ZONE (COMMERCIAL ZONE),https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2017-49.pdf,2026-07-06,scanned,ocr+ocrL,raw/17-49.pdf,yes,,,,none,month,pdf,2017-10,
17-50,,2017-12-11,AN ORDINANCE REZONING CERTAIN PROPERTY LOCATED AT APPROXIMATELY 2048 EAST 3035 SOUTH FROM THE A-1 ZONE (AGRICULTURAL) TO THE R-1-8 ZONE (SINGLE FAMILY RESIDENTIAL),https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2017-50.pdf,2026-07-06,scanned,ocr,raw/17-50.pdf,yes,,2017-12-11,2,medium,day,motion,,
17-51,,2017-12,AN ORDINANCE REZONING CERTAIN PROPERTY LOCATED AT APPROXIMATELY 3429-3437 SOUTH 1300 EAST FROM THE R-1-8 ZONE (SINGLE FAMILY RESIDENTIAL) TO THE R-2-8 ZONE (MEDIUM DENSITY RESIDENTIAL),https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2017-51.pdf,2026-07-06,scanned,ocr+ocrL,raw/17-51.pdf,yes,,,,none,month,pdf,2017-12,
17-52,,2017-12,AN ORDINANCE OF THE MILLCREEK COUNCIL APPROVING A DEVELOPMENT AGREEMENT FOR A PROPOSED SUBDIVISION OF TWIN HOMES AND A SINGLE FAMILY HOME WITH RESPECT TO APPROXIMATELY 1.08 ACRES OF REAL PROPERTY LOCA,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2017-52.pdf,2026-07-06,scanned,ocr,raw/17-52.pdf,yes,,,,none,month,pdf,2017-12,
17-53,,2017-12-11,AN ORDINANCE REZONING CERTAIN PROPERTY LOCATED AT APPROXIMATELY 4142- 4180 SOUTH MAIN ST. FROM THE M-1 (MANUFACTURING) TO THE MD (MIXED DEVELOPMENT) ZONE,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2017-53.pdf,2026-07-06,scanned,ocr,raw/17-53.pdf,yes,,2017-12-11,5,medium,day,motion,,
17-54,,2017-12-11,AN ORDINANCE OF THE MILLCREEK COUNCIL APPROVING A DEVELOPMENT AGREEMENT FOR A MIXED USE DEVELOPMENT INCLUDING A FITNESS FACILITY WITH RESPECT TO APPROXIMATELY 2.06 ACRES OF REAL PROPERTY LOCATED AT 41,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2017-54.pdf,2026-07-06,scanned,ocr,raw/17-54.pdf,yes,,2017-12-11,5,high,day,motion,2017-12,
17-55,,2017-12,AN ORDINANCE REZONING CERTAIN PROPERTY LOCATED AT APPROXIMATELY 1253-1257 EAST ELGIN AVENUE FROM THE R-2-6.5 ZONE (MEDIUM DENSITY RESIDENTIAL) TO THE RM ZONE (MULTIFAMILY RESIDENTIAL),https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2017-55.pdf,2026-07-06,scanned,ocr+ocrAll,raw/17-55.pdf,yes,,,,none,month,pdf,2017-12,
17-56,,2017-12-11,AN ORDINANCE OF THE MILLCREEK COUNCIL APPROVING A DEVELOPMENT AGREEMENT FOR A PROPOSED TOWNHOME PLANNED UNIT DEVELOPMENT WITH RESPECT TO APPROXIMATELY 0.62 ACRES OF REAL PROPERTY LOCATED AT 1253-1257,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2017-56.pdf,2026-07-06,scanned,ocr,raw/17-56.pdf,yes,,,,none,day,pdf,2017-12,
17-99,,2017-12-30,MILLCREEK ORDINANCE 2017-99 FIREARMS WITHIN THE CITY,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/ordinances/pdf/Ord_2017-99.pdf,2026-07-06,scanned,vision,raw/17-99.pdf,no,,,,none,day,pdf,2017-12,"APPARENT TEST/TEMPLATE DOC on code host: 'John Doe/Jane Doe/Betsy Ross' voters, '(joke)' text, fictitious U.C.A. cite - NOT an authentic adopted ordinance"
18-01,,2018-01-08,City Council Agenda,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/ordinances/documents/ORD%2018-01.pdf,2026-07-06,text,pdftext,raw/18-01.pdf,yes,,2018-01-08,7,medium,day,motion,,
18-02,,2018-01-08,AN ORDINANCE OF MILLCREEK AMENDING AUTHORITY TO CONDUCT ELECTRONIC MEETINGS AND PROVIDING PROCEDURES FOR PARTICIPATION IN ELECTRONIC MEETINGS OF THE COUNCIL,https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/ordinances/documents/ORD%2018-02.pdf,2026-07-06,scanned,ocr,raw/18-02.pdf,no,,,,none,day,pdf,2018-01,
18-03,,2018-01-08,AN ORDINANCE REPEALING ORDINANCE 17-2 (AN ORDINANCE CREATING THE MILLCREEK ENVISION COMMITTEE) AND ORDINANCE 17-21 (AN ORDINANCE CREATING THE MILLCREEK COMMUNITY EVENTS COMMITTEE),https://s3.us-west-2.amazonaws.com/municipalcodeonline.com-new/millcreek/orddoc/documents/ORD%2018-03.pdf,2026-07-06,scanned,ocr,raw/18-03.pdf,no,,2018-01-08,13,high,day,motion,2018-01,
