ordinance_no,adoption_date,month_year,date_kind,method,title,note
17-11,2017-02-06,2017-02,passed,vision,AN ORDINANCE OF MILLCREEK IMPLEMENTING AUTHORITY (Certificate: passed by Council Feb 6 2017),date from Certificate of City Recorder
17-12,,2017-02,monthyear_garbled,ocr+ocrL,AN ORDINANCE AMENDING |,
17-13,2017-02-28,2017-02,passed,ocr+ocrL,AN ORDINANCE OF THE MILLCREEK COUNCIL ! AMENDING THE ORDINANCE THAT CREATES AN APPEAL AUTHORITY IN ORDER TO PROVIDE FOR A STAY,
17-14,2017-03-06,2017-03,passed,ocr+ocrAll,AN ORDINANCE AMENDING SECTIONS 5.21 OF THE MILLCREEK CODE : OF ORDINANCES RELATED TO BUSINESS LICENSING OF TOBACCO SPECIALITY BUSINESS,
17-15,,2017-03,passed,ocr+ocrAll,AN ORDINANCE NOTIFYING THE PUBLIC OF A PENDING ORDINANCE REGARDING OFF-PREMISE SIGNS AND THE DEFINITION OF EXISTING OFF- PREMISE SIGNS THAT AFFECTS AMONG OTHER THINGS THE OFF-PREMISE SIGN BANK AND THE,
17-16,,2017-03,passed,ocr,AN ORDINANCE AMENDING TITLE 2 OF THE MILLCREEK CODE OF ORDINANCES BY ADDING CHAPTER 2.49 ENTITLED- STREET ADDRESSING AND PROPERTY IDENTIFICATION- AND TITLE 3 OF THE MILLCREEK CODE OF ORDINANCES BY ADD,
17-17,2017-04-10,2017-04,passed,ocr+ocrL,"AN ORDINANCE NOTIFYING THE PUBLIC OF A PENDING ORDINANCE REGARDING CHANGES TO THE COMMERICAL ZONE TO LIMIT/PROHIBIT SELF STORAGE UNITS, RESIDENTIAL USES, PAWN SHOPS, CHECK CASHING BUSINESS , TOBACCO S",
17-18,2017-04-17,2017-04,passed,ocr+ocrL,AN ORDINANCE AMENDING TITLE 19 OF THE MILLCREEK CODE OF ORDINANCES TO ADD A NEW MIXED DEVELOPMENT (“MD”) ZONE,
17-19,2017-04-17,2017-04,monthyear,ocr+ocrL,"AN ORDINANCE OF THE MILLCREEK COUNCIL APPROVING A RESIDENTIAL PARKING PERMIT PROGRAM FOR THE NEIGHBORHOOD ON WARR ROAD, CASCADE CIRCLE, AND A PORTION OF CASCADE WAY, NEAR THE GRANDEUR PEAK TRAILHEAD",
17-20,,2017-02,monthyear_garbled,pdftext+ocrL,"AN ORDINANCE pertaining to the M-1, M-2, MD-1, MD-3, and Foothill and Canyon Overlay Zones is within a period of one hundred eighty (180) days",
17-21,2017-01-23,2017-01,passed,ocr+ocrL,AN ORDINANCE CREATING THE MILLCREEK COMMUNITY EVENTS COMMITTEE,
17-22,2017-05-01,2017-05,passed,ocr+ocrAll,"AN ORDINANCE OF THE MILLCREEK COUNCIL , APPROVING THE APPROPRIATION OF FUNDS TO THE MT. OLYMPUS COMMUNITY COUNCIL, CANYON RIM COMMUNITY COUNCIL, EAST MILL CREEK COMMUNITY COUNCIL AND MILLCREEK COMMUNI",
17-23,2017-05-08,2017-05,passed,ocr+ocrAll,AN ORDINANCE AMENDING MILLCREEK’S LAND USE ORDINANCES BY REPEALING THE MD-1 ZONE (MIXED DEVELOPMENT-1 ZONE),
17-24,2017-05-08,2017-05,passed,ocr+ocrAll,,
17-25,2017-06-05,2017-06,passed,ocr,AN ORDINANCE OF THE MILLCREEK COUNCIL BANNING THE USE OF FIREWORKS AND ANY OPEN FLAME FIRES WITHIN CERTAIN AREAS OF THE CITY,
17-26,,2017-06,passed,pdftext,AN ORDINANCE OF THE MILLCREEK COUNCIL AMENDING MILLCREEK’S LAND USE ORDINANCE BY ADDING VARIOUS DEFINITIONS TO TITLE 19 CHAPTER 19.04 ENTITLED DEFINITIONS,
17-27,2017-06-12,2017-06,passed,ocr+ocrL,"AN ORDINANCE AMENDING TITLE 19, ENTITLED ""ZONING"", OF THE",
17-28,,2017-06,monthyear_garbled,pdftext+ocrAll,AN ORDINANCE OF MILLCREEK ADOPTING A FINAL BUDGET,
17-29,2017-06-12,2017-06,passed,pdftext+ocrAll,,
17-30,2017-06-26,2017-06,passed,pdftext+ocrAll,,
17-31,2017-07-10,2017-07,passed,ocr+ocrAll,AN ORDINANCE OF THE MILLCREEK COUNCIL ADDING ADDITIONAL AREAS SUBJECT TO THE BAN ON THE USE OF FIREWORKS AND ANY OPEN FLAME FIRES WITHIN CERTAIN AREAS OF MILLCREEK,
17-32,2017-07-10,2017-07,monthyear,ocr+ocrAll,AN ORDINANCE GRANTING AN ELECTRIC UTILITY FRANCHISE AND GENERAL UTILITY EASEMENT TO ROCKY MOUNTAIN POWER,
17-33,,2017-07,monthyear,ocr+ocrL,,
17-34,,2017-07,passed,ocr+ocrAll,"AN ORDINANCE OF MILLCREEK CITY AMENDING THE A FINANCIAL AND ADMINISTRATIVE ORDINANCE REGARDING PROCUREMENT OF SERVICES, SUPPLIES AND EQUIPMENT FOR MILLCREEK CITY AND OTHER RELATED MATTERS",
17-35,2017-07-10,2017-07,passed,ocr,AN ORDINANCE AMENDING TITLE 19 OF THE MILLCREEK CODE OF ORDINANCES,
17-36,,2017-07,monthyear,ocr+ocrL,AN ORDINANCE APPROVING COMPENSATION AND BENEFITS FOR THE MAYOR AND MEMBERS OF THE COUNCIL,
17-37,,2017-07,monthyear_garbled,ocr+ocrL,"AN ORDINANCE AMENDING TITLE 14 - HIGHWAYS, SIDEWALKS AND PUBLIC PLACES OF THE MILLCREEK CODE OF ORDINANCES BY ADDING SECTION 14.16.120 ENTITLED RESTORATION OF SURFACE-REQUIRED",
17-38,2017-08-07,2017-08,passed,ocr,"AN ORDINANCE AMENDING SECTIONS 19.04.095, 19.76.190, AND 19.76.200 REGARDING THE DEFINITION OF “HEIGHT OF BUILDING”",
17-39,2017-08-07,2017-08,passed,ocr+ocrL,AN ORDINANCE AMENDING SECTION 14.12.020 OF THE MILLCREEK CODE OF ORDINANCES ADDING NEW ROADWAY STANDARDS,
17-40,2017-08-07,2017-08,passed,ocr+ocrL,AN ORDINANCE AMENDING SECTION 14.12.025 OF THE MILLCREEK CODE OF ORDINANCES ADOPTING,
17-41,2017-08-01,2017-08,monthyear,ocr+ocrL,AN ORDINANCE ADOPTING A TELECOMMUNICATIONS RIGHT-OF-WAY,
17-42,2017-08-14,2017-08,monthyear,ocr+ocrL,AN ORDINANCE ADOPTING A GOVERNMENT RECORDS ACCESS AND MANAGEMENT ACT RECORD REQUEST FEE AND SERVICE CHARGE SCHEDULE,
17-43,,2017-09,monthyear_garbled,ocr,AN ORDINANCE CREATING THE OFFICE OF DEPUTY CITY RECORDER,
17-44,,2017-09,passed,ocr+ocrL,,
17-45,2017-08-28,2017-08,passed,ocr,AN ORDINANCE FORMALLY ADOPTING THE MILLCREEK MISSION STATEMENT AND MILLCREEK VISION STATEMENT,
17-46,,,,ocr,"AN ORDINANCE AMENDING TITLE 10 OF THE MILLCREEK CODE OF ORDINANCES REGARDING CAMPING ON PUBLIC GROUNDS, STREET, PARKS, AND PLAYGROUNDS",
17-47,2017-11-13,2017-11,passed,ocr,AN ORDINANCE OF THE MILLCREEK CITY COUNCIL REPEALING ORDINANCE,
17-48,,,,ocr,"AN ORDINANCE APPROVING AND APPROPRIATING A MONETARY CONTRIBUTION TO UTAH VENTURE OUTDOORS OF AN AMOUNT NOT TO EXCEED $55,000",
17-49,,2017-10,monthyear_garbled,ocr+ocrL,AN ORDINANCE REZONING CERTAIN PROPERTY LOCATED AT APPROXIMATELY 784 EAST 4500 SOUTH FROM THE R-2-10 ZONE (MEDIUM DENSITY RESIDENTIAL) TO THE C-2 ZONE (COMMERCIAL ZONE),
17-50,,,,ocr,AN ORDINANCE REZONING CERTAIN PROPERTY LOCATED AT APPROXIMATELY 2048 EAST 3035 SOUTH FROM THE A-1 ZONE (AGRICULTURAL) TO THE R-1-8 ZONE (SINGLE FAMILY RESIDENTIAL),
17-51,,2017-12,passed,ocr+ocrL,AN ORDINANCE REZONING CERTAIN PROPERTY LOCATED AT APPROXIMATELY 3429-3437 SOUTH 1300 EAST FROM THE R-1-8 ZONE (SINGLE FAMILY RESIDENTIAL) TO THE R-2-8 ZONE (MEDIUM DENSITY RESIDENTIAL),
17-52,,2017-12,monthyear,ocr,AN ORDINANCE OF THE MILLCREEK COUNCIL APPROVING A DEVELOPMENT AGREEMENT FOR A PROPOSED SUBDIVISION OF TWIN HOMES AND A SINGLE FAMILY HOME WITH RESPECT TO APPROXIMATELY 1.08 ACRES OF REAL PROPERTY LOCA,
17-53,,,,ocr,AN ORDINANCE REZONING CERTAIN PROPERTY LOCATED AT APPROXIMATELY 4142- 4180 SOUTH MAIN ST. FROM THE M-1 (MANUFACTURING) TO THE MD (MIXED DEVELOPMENT) ZONE,
17-54,2017-12-11,2017-12,passed,ocr,AN ORDINANCE OF THE MILLCREEK COUNCIL APPROVING A DEVELOPMENT AGREEMENT FOR A MIXED USE DEVELOPMENT INCLUDING A FITNESS FACILITY WITH RESPECT TO APPROXIMATELY 2.06 ACRES OF REAL PROPERTY LOCATED AT 41,
17-55,,2017-12,monthyear,ocr+ocrAll,AN ORDINANCE REZONING CERTAIN PROPERTY LOCATED AT APPROXIMATELY 1253-1257 EAST ELGIN AVENUE FROM THE R-2-6.5 ZONE (MEDIUM DENSITY RESIDENTIAL) TO THE RM ZONE (MULTIFAMILY RESIDENTIAL),
17-56,2017-12-11,2017-12,passed,ocr,AN ORDINANCE OF THE MILLCREEK COUNCIL APPROVING A DEVELOPMENT AGREEMENT FOR A PROPOSED TOWNHOME PLANNED UNIT DEVELOPMENT WITH RESPECT TO APPROXIMATELY 0.62 ACRES OF REAL PROPERTY LOCATED AT 1253-1257 ,
17-99,2017-12-30,2017-12,passed,vision,MILLCREEK ORDINANCE 2017-99 FIREARMS WITHIN THE CITY,"APPARENT TEST/TEMPLATE DOC on code host: 'John Doe/Jane Doe/Betsy Ross' voters, '(joke)' text, fictitious U.C.A. cite - NOT an authentic adopted ordinance"
18-01,,,,pdftext,,
18-02,2018-01-08,2018-01,meeting,ocr,AN ORDINANCE OF MILLCREEK AMENDING AUTHORITY TO CONDUCT ELECTRONIC MEETINGS AND PROVIDING PROCEDURES FOR PARTICIPATION IN ELECTRONIC MEETINGS OF THE COUNCIL,
18-03,,2018-01,passed,ocr,AN ORDINANCE REPEALING ORDINANCE 17-2 (AN ORDINANCE CREATING THE MILLCREEK ENVISION COMMITTEE) AND ORDINANCE 17-21 (AN ORDINANCE CREATING THE MILLCREEK COMMUNITY EVENTS COMMITTEE),
18-04,,,,ocr,AN ORDINANCE OF MILLCREEK AMENDING THE FLOOD DAMAGE PREVENTION ORDINANCE,
18-05,2018-01-11,2018-01,monthyear,ocr+ocrL,AN ORDINANCE REZONING CERTAIN PROPERTY LOCATED AT APPROXIMATELY 3350 S 1100 E FROM THE R-1-8 ZONE (RESIDENTIAL) TO THE R-1-5 ZONE (RESIDENTIAL),
18-06,,,,ocr,AN ORDINANCE REZONING CERTAIN PROPERTY LOCATED AT APPROXIMATELY 3249 AND 3311 SOUTH TETON DRIVE FROM THE FR-5 ZONE (FORESTRY AND RECREATION — MINUMUM 5 ACRE LOT AREA) TO THE FR-10 ZONE (FORESTRY AND R,
18-07,,2018-01,passed,ocr+ocrAll,AN ORDINANCE REZONING CERTAIN PROPERTY LOCATED AT APPROXIMATELY 4186 SOUTH MAIN STREET FROM THE M-1 AND M-2 ZONES (MANUFACTURING) TO THE MD ZONE (MIXED DEVELOPMENT),
18-08,2018-01-08,2018-01,passed,ocr,AN ORDINANCE OF THE MILLCREEK COUNCIL APPROVING A DEVELOPMENT AGREEMENT FOR A MULTIFAMILY MIXED USE DEVELOPMENT WITH RESPECT TO APPROXIMATELY 7.05 ACRES OF REAL PROPERTY LOCATED AT 4186 SOUTH MAIN STR,
18-09,,,,ocr,"AN ORDINANCE AMENDING TITLE 19 OF THE MILLCREEK CODE OF ORDINANCES BY REPEALING THE M-1 AND M-2 (MANUFACTURING) ZONES, ADOPTING A NEW M (MANUFACTURING) ZONE, AND REZONING ALL PROPERTIES IN MILLCREEK C",
18-10,2018-01-22,2018-01,meeting,ocr,AN ORDINANCE TO AMEND THE 2017-2018 FISCAL YEAR BUDGET,
18-11,,,,ocr,"AN ORDINANCE NOTIFYING THE PUBLIC OF A PENDING ORDINANCE REGARDING ESTABLISHING A TOWN CENTER OVERLAY ZONE FOR PROPERTIES LOCATED APPROXIMATELY BETWEEN HIGHLAND DRIVE AND 1300 EAST, AND 3000 SOUTH AND",
18-12,2018-02-12,2018-02,passed,ocr+ocrAll,AN ORDINANCE REZONING CERTAIN PROPERTY LOCATED AT APPROXIMATELY 3826 SOUTH 2300 EAST FROM THE R-M ZONE,
18-13,2018-02-12,2018-02,monthyear,ocr,AN ORDINANCE OF THE MILLCREEK COUNCIL APPROVING A DEVELOPMENT AGREEMENT FOR THE CONSTRUCTION AND OPERATION OF A GROUND SIGN ASSOCIATED WITH A BANK LOCATED ON APPROXIMATELY 1.23 ACRES OF REAL PROPERTY ,
18-14,,,,ocr,AN ORDINANCE REZONING CERTAIN PROPERTY LOCATED AT APPROXIMATELY 1648 EAST 3300 SOUTH FROM THE C-1/ZC (COMMERCIAL) TO RM (RESIDENTIAL MULTI FAMILY),
18-15,2018-02-12,2018-02,passed,ocr,AN ORDINANCE OF THE MILLCREEK COUNCIL APPROVING A DEVELOPMENT AGREEMENT FOR A TOWNHOME DEVELOPMENT LOCATED ON APPROXIMATELY .24 ACRES OF REAL PROPERTY LOCATED AT 1648 EAST 3300 SOUTH,
18-16,2018-02-12,2018-02,passed,ocr,AN ORDINANCE APPROVING A FRANCHISE AGREEMENT WITH MCIMETRO ACCESS TRANSMISSION SERVICES CORP. D/B/A VERIZON ACCESS TRANSMISSION SERVICES,
18-17,,,,pdftext,,
18-18,,2018-03,monthyear,ocr+ocrL,AN ORDINANCE REZONING CERTAIN PROPERTY LOCATED AT APPROXIMATELY 911 EAST FAIRCLOUGH DRIVE FROM THE R-1-8 ZONE (SINGLE FAMILY RESIDENTIAL) TO THE R-1-4 ZONE (SINGLE FAMILY RESIDENTIAL),
18-19,2018-03-26,2018-03,monthyear,ocr+ocrL,AN ORDINANCE CREATING THE MILLCREEK COMMUNITY REINVESTMENT AGENCY,
18-20,2018-04-09,2018-04,meeting,ocr,AN ORDINANCE OF MILLCREEK MAKING A GLOBAL CHANGE TO ALL ORDINANCES AND CODE PROVISIONS THAT MAKE REFERENCE TO SALT LAKE COUNTY WHEN PROVIDING SERVICES FOR THE CITY OR SIMILAR REFERENCES OR PROVISIONS ,
18-21,,2018-04,passed,ocr,AN ORDINANCE OF THE MILLCREEK COUNCIL APPROVING A DEVELOPMENT AGREEMENT FOR A 22-UNIT TOWNHOME PLANNED UNIT DEVELOPMENT WITH RESPECT TO APPROXIMATELY 1.63ACRES OF REAL PROPERTY LOCATED AT APPROXIMATEL,
18-22,,2018-04,passed,ocr+ocrL,,
18-23,,,,ocr,"AN ORDINANCE REZONING CERTAIN REAL PROPERTY LOCATED AT APPROXIMATELY 3821 SOUTH PARKVIEW DRIVE FROM THE R-1-21 ZONE (SINGLE FAMILY RESIDENTIAL — MINIMUM LOT SIZE 21,000 SQUARE FEET) TO THE R-1-15 ZONE",
18-24,,2018-04,passed,ocr,AN ORDINANCE OF THE MILLCREEK COUNCIL APPROVING A DEVELOPMENT AGREEMENT FOR A TWO-LOT SUBDIVISION WITH RESPECT TO APPROXIMATELY 0.92 ACRES OF REAL PROPERTY LOCATED AT APPROXIMATELY 3821 SOUTH PARKVIEW,
18-25,2018-04-23,2018-04,meeting,ocr,AN ORDINANCE OF MILLCREEK AMENDING MILLCREEK CODE OF ORDINANCES CHAPTER 2.56 COMMUNITY DISTRICTS AND COMMUNITY COUNCILS,
18-26,,,,ocr,"AN ORDINANCE OF THE MILLCREEK CITY COUNCIL REGULATING, PREVENTING, AND BANNING THE DISCHARGE OF FIREWORKS OR USE ANY IGNITION SOURCE INCLUDING LIGHTERS, MATCHES, SKY LANTERNS, AND SMOKING MATERIALS WI",
18-27,,,,ocr,"AN ORDINANCE TO APPROVE A MONETARY CONTRIBUTION OF $29,000 TO THE COMMUNITY COUNCILS ($5,000 TO THE EAST MILL CREEK COUNCIL, $6,000 TO THE CANYON RIM ASSOCIATION, TO $15,000 TO THE MILLCREEK COMMUNITY",
18-31,2018-06-11,2018-06,passed,ocr+ocrL,AN ORDINANCE REZONING CERTAIN PROPERTY LOCATED AT APPROXIMATELY 4572 — 4600 SOUTH 900 EAST FROM THE R-1-10 ZONE (RESIDENTIAL) TO THE C-2 ZONE (COMMERCIAL),
18-32,2018-06-11,2018-06,passed,ocr,"AN ORDINANCE OF THE MILLCREEK COUNCIL APPROVING A DEVELOPMENT AGREEMENT FOR A MIXED USE MULTIFAMILY BUILDING WITH 3,850 SF OF COMMERCIAL SPACE AND EIGHTEEN RESIDENTIAL UNITS WITH RESPECT TO APPROXIMAT",
18-33,2018-06-25,2018-06,passed,ocr,AN ORDINANCE TO AMEND THE 2017-2018 FISCAL YEAR BUDGET,
18-34,2018-05-29,2018-05,meeting,ocr,AN ORDINANCE OF MILLCREEK AMENDING MILLCREEK CODE OF ORDINANCES SECTION 14.16.030 REGARDING EXCAVATION APPLICATION PERMIT REQUIRING THE USE OF THE CITY’S ONLINE SYSTEM AND ASSESSING AN ADMINISTRATIVE ,
18-35,,,,pdftext,,
18-36,2018-06-11,2018-06,meeting,ocr,"AN ORDINANCE OF MILLCREEK TO APPROVE A MONETARY CONTRIBUTION OF $10,000 TO UTAH VENTURE OUTDOORS AND $2,000 TO THE MILLCREEK ARTS COUNCIL",
18-37,2018-06-11,2018-06,meeting,ocr,"AN ORDINANCE OF MILLCREEK TO APPROVE A MONETARY CONTRIBUTION OF $45,000 TO COMMUNITY COUNCILS AND $5,000 TO RAIN BARREL PROGRAM (PARTNERING WITH UTAH RIVERS COUNCIL TO PROVIDE SUBSIDIZED WATER BARRELS",
18-38,2018-06-11,2018-06,monthyear,ocr+ocrL,"AN ORDINANCE REZONING CERTAIN PROPERTY LOCATED AT APPROXIMATELY 2217 EAST EVERGREEN AVENUE FROM THE R-1-10 ZONE (SINGLE-FAMILY RESIDENTIAL — MINIMUM LOT SIZE 10,000 SQUARE FEET) TO THE R-1-8 ZONE (SIN",
18-39,2018-06-25,2018-06,passed,ocr,AN ORDINANCE OF THE MILLCREEK COUNCIL APPROVING A DEVELOPMENT AGREEMENT FOR A TWO-LOT SUBDIVISION WITH RESPECT TO APPROXIMATELY 0.48 ACRES OF REAL PROPERTY LOCATED AT APPROXIMATELY 2217 EAST EVERGREEN,
18-40,2018-07-09,2018-07,passed,ocr,AN ORDINANCE AMENDING MILLCREEK CODE OF ORDINANCES 1.01.060 AND ADOPTING A NEW FORMAL SEAL,
18-41,,,,pdftext,,
18-42,,,,ocr,AN ORDINANCE ESTABLISHING A TOWN CENTER OVERLAY ZONE OVER CERTAIN PROPERTY LOCATED APPROXIMATELY BETWEEN 3000 SOUTH AND 3300 SOUTH AND HIGHLAND DRIVE AND 1300 EAST,
18-43,,,,pdftext,,
18-44,2018-08-27,2018-08,passed,ocr+ocrAll,AN ORDINANCE ADDING CHAPTER 20 TO TITLE 16 OF THE MILLCREEK CODE OF ORDINANCES REGARDING SMALL WIRELESS FACILITIES DEPLOYMENT,
18-45,,,,pdftext,,
18-46,,,,pdftext,,
18-47,,,,ocr,AN ORDINANCE NOTIFYING THE PUBLIC OF A PENDING ORDINANCE LIMITING THE SIZE OF OFF-PREMISE SIGNS TO THREE HUNDRED SQUARE FEET IN THE TOWN CENTER OVERLAY ZONE,
18-48,2018-08-27,2018-08,passed,ocr+ocrAll,AN ORDINANCE REZONING CERTAIN PROPERTY LOCATED AT APPROXIMATELY 2780 EAST 3300 SOUTH FROM THE R-M ZONE (MULTIFAMILY RESIDENTIAL) TO THE C-2 ZONE (COMMERCIAL),
18-49,2018-08-27,2018-08,passed,ocr,AN ORDINANCE OF THE MILLCREEK COUNCIL APPROVING A DEVELOPMENT AGREEMENT FOR AN EIGHT UNIT MIXED USE MULTIFAMILY DEVELOPMENT WITH RESPECT TO APPROXIMATELY 0.3 ACRES OF REAL PROPERTY LOCATED AT APPROXIM,
18-50,2018-08-27,2018-08,passed,ocr,AN ORDINANCE AMENDING CHAPTER 19.05 CHANGING THE NUMBER OF PLANNING COMMISSIONERS FROM SEVEN TO NINE,
18-51,2018-08-27,2018-08,passed,ocr,AN ORDINANCE OF MILLCREEK ENACTING NEW CODE SECTION 2.22.180 REGARDING SURPLUS OF REAL PROPERTY,
18-52,2018-09-10,2018-09,meeting,ocr,,
18-53,2018-09-24,2018-09,meeting,ocr,"AN ORDINANCE OF MILLCREEK AMENDING THE MILLCREEK CODE OF ORDINANCES CHAPTERS 5.01, 5.02, AND 5.22 TO PROVIDE THAT RENTAL OF ONE OR MORE RESIDENTIAL DWELLINGS IS INCLUDED IN THE DEFINITION OF BUSINESS ",
18-54,,,,ocr,AN ORDINANCE APPROVING A PLAT VACATING A PLATTED CUL-DE-SAC AT APPROXIMATELY 945 EAST SAGEHILL DRIVE,
18-55,,,,ocr,AN ORDINANCE OF MILLCREEK VACATING A PORTION OF DEDICATED RIGHT-OF-WAY AT APPROXIMATELY 1612 EAST 3300 SOUTH,
18-56,,,,ocr,"AN ORDINANCE REZONING CERTAIN PROPERTY LOCATED AT APPROXIMATELY 3360 SOUTH ARARAT DRIVE FROM THE R-1-6 ZONE (SINGLE- FAMILY RESIDENTIAL) TO THE RM ZONE (MULTIFAMILY RESIDENTIAL), SUBJECT TO A DEVELOPM",
18-57,,2018-10,passed,ocr,AN ORDINANCE OF THE MILLCREEK COUNCIL APPROVING A DEVELOPMENT,
18-58,,2018-10,passed,ocr,AN ORDINANCE APPOINTING A MUNICIPAL INSPECTOR,
18-59,2018-10-08,2018-10,passed,ocr,AN ORDINANCE OF MILLCREEK AMENDING MILLCREEK CODE OF ORDINANCES SECTION 14.12.050 REGARDING LANDSCAPING OVERHANGING STREET PAVEMENT,
18-60,,,,ocr,AN ORDINANCE OF MILLCREEK AMENDING MILLCREEK CODE OF ORDINANCES CHAPTER 19.73 REGARDING THE TOWN CENTER OVERLAY ZONE,
18-61,,2018-10,monthyear_garbled,ocr,AN ORDINANCE TO AMEND THE 2018-2019 FISCAL YEAR BUDGET,
18-62,,,,pdftext,,
18-64,2018-11-13,2018-11,passed,pdftext+ocrAll,,
18-65,2018-11-26,2018-11,meeting,ocr,AN ORDINANCE APPROVING THE ADOPTION AND IMPLEMENTATION OF THE NATIONAL INCIDENT MANAGEMENT SYSTEM,
18-66,2018-11-26,2018-11,meeting,ocr,AN ORDINANCE OF MILLCREEK AMENDING VARIOUS PROVISIONS OF THE MILLCREEK CODE OF ORDINANCES REGARDING IMPROVEMENT COMPLETION ASSURANCES/BONDS,
18-68,2018-11-26,2018-11,passed,ocr,AN ORDINANCE AMENDING MILLCREEK CODE OF ORDINANCES SECTION 14.32.010 EXPANDING THE DUTY OF ABUTTING PROPERTY OWNERS TO INCLUDE LANDSCAPING AND PARK STRIPS,
18-69,2018-11-26,2018-11,passed,ocr+ocrL,"AN ORDINANCE AMENDING THE ZONE CONDITION FOR CERTAIN PROPERTY LOCATED AT APPROXIMATELY 784 EAST 4500 SOUTH, LOCATED IN THE C-2 COMMERCIAL ZONE",
18-70,2018-11-26,2018-11,passed,ocr,AN ORDINANCE OF THE MILLCREEK COUNCIL APPROVING A DEVELOPMENT AGREEMENT FOR CYPRUS FEDERAL CREDIT UNION WITH RESPECT TO APPROXIMATELY 1.77 ACRES OF REAL PROPERTY LOCATED AT APPROXIMATELY 780 EAST 4500,
18-71,,2018-12,monthyear_garbled,ocr,"AN ORDINANCE OF THE MILLCREEK CITY COUNCIL ADOPTING AN OFFICIAL PLAN FOR THE CANYON RIM COMMONS COMMUNITY REINVESTMENT PROJECT AREA, AS APPROVED BY THE MILLCREEK COMMUNITY REINVESTMENT AGENCY AND DIRE",
