key,cycle,candidate,office,document_id,doc_name,date_submitted,pages,path,filing_class,doc_kind,c_state,c_rows,c_count_basis,c_layout,e_state,e_rows,e_count_basis,e_layout,ruled,subtotals,handwriting,redaction,stated_contrib,stated_expend,stated_source,contradiction,pages_with_detail,notes
Chapman-Lannie__9B527F07,2022,"Chapman, Lannie",Clerk,9B527F07-0B5D-40A3-B680-D5C64BB93EA7,"June 21, 2022",06/21/22,23,raw/easyvote/Chapman-Lannie__9B527F07.pdf,has-attachment-detail,standard-report,has-detail,280,approx,county-form,has-detail,22,counted,county-form,1,1,0,address-only; the whole Complete Mailing Address column is blacked so donor city/state/zip do NOT survive; name/occupation/amount readable,"$78,761.02","$10,493.88",vision-2026-08-02-cache + re-read 2026-08-20 (agree),0,3-23,form header reads 2020 Financial Disclosure Report though the report date is 06/21/22; Schedule A pages 3-20 each hold a full 15-row grid and page 21 holds 10 - I enumerated pages 3 4 5 13 17 21 and inferred 15 for the rest so the 280 is approx; Schedule A printed TOTAL is $78429.94 vs Summary line 1 $78761.02; Schedule B printed TOTAL is $11103.74 vs Summary line 2 $10493.88 - both filer-arithmetic deltas retained verbatim; the first Schedule A row is a carryover balance of $13445.51 not a donor; several rows are marked In-Kind inside the Amount cell
Chapman-Lannie__592A9542,2022,"Chapman, Lannie",Clerk,592A9542-B143-46C8-9699-854E1EF9F145,June 21 Amendment,06/22/22,23,raw/easyvote/Chapman-Lannie__592A9542.pdf,has-attachment-detail,standard-report,has-detail,281,counted,county-form,has-detail,23,counted,county-form,1,1,0,address-only,"$82,103.17","$13,970.89",vision-2026-08-02-cache + re-read 2026-08-20 (agree),0,3-23,amendment dated 2022-06-22; 19 Schedule A pages (p3-21) + 2 Schedule B pages (p22-23); largest filing in this batch; Schedule A prints TOTAL $78429.94 against Summary line 1 $82103.17 - a $3673.23 filer gap; Schedule B total $13970.89 ties to line 2; the first Schedule A line on p3 is a 'Carryover balance' entry not a donor; last Schedule A page (p21) holds 11 rows; black bar hides city/state/zip
Chapman-Lannie__77B02272,2022,"Chapman, Lannie",Clerk,77B02272-21BC-4244-8BBE-74EF8C6D21F2,"September 15, 2022",09/15/22,29,raw/easyvote/Chapman-Lannie__77B02272.pdf,has-attachment-detail,standard-report,has-detail,375,counted,county-form,has-detail,28,counted,county-form,1,1,0,address-only,"$52,759.89","$26,007.38",vision-2026-08-02-cache + re-read 2026-08-20 (agree),0,3-29,Schedule A is p3-p27 at a fixed 15 rows per page; Schedule B is p28-p29 at 14 rows each; typed onto the county grid; the county grid has NO separate city column so the black bar over Complete Mailing Address removes donor city/state/zip entirely; Schedule A's printed TOTAL CONTRIBUTIONS RECEIVED is $52314.86 which disagrees with Summary line 1 Column A $52759.89 by $445.03 - filer arithmetic retained verbatim; Schedule B subtotals ($11513.80 + $14493.58) reconcile EXACTLY to $26007.38; cover is the 2020 form vintage used for a 09/15/22 report
Chapman-Lannie__6828CF7D,2022,"Chapman, Lannie",Clerk,6828CF7D-F2CD-4596-9E2C-7AF2C49D0B0E,June 21 Amendment,09/15/22,23,raw/easyvote/Chapman-Lannie__6828CF7D.pdf,has-attachment-detail,standard-report,has-detail,280,counted,county-form,has-detail,23,counted,county-form,1,1,0,address-only,"$68,657.66","$13,970.89",vision-2026-08-02-cache + re-read 2026-08-20 (agree),0,3-23,June 21 amendment (7 days before primary; amendment date 2022-06-22) on the 2020 form; Schedule A p3-p21 (15 rows/page x 18 pages + 10 on p21); Schedule B p22-p23 (14+9); every page prints its own SUBTOTAL and a repeated grand total; INTERNAL DISCREPANCY: Schedule A pages all print TOTAL CONTRIBUTIONS RECEIVED $64984.43 while Summary line 1 Column A reads $68657.66 (a $3673.23 gap); Schedule B total $13970.89 agrees with Summary line 2; the black bar covers the whole Complete Mailing Address column so donor city/state/zip do NOT survive it; occupation/employer survives.
Chapman-Lannie__AD0AB4D7,2022,"Chapman, Lannie",Clerk,AD0AB4D7-BC2B-42B6-9B72-196705A74577,November 1 Interim Report,11/01/22,41,raw/easyvote/Chapman-Lannie__AD0AB4D7.pdf,has-attachment-detail,standard-report,has-detail,539,counted,county-form,has-detail,31,counted,county-form,1,1,0,address-block-incl-city-state-zip,"$92,608.83","$120,626.63",vision-2026-08-02-cache + re-read 2026-08-20 (agree),0,3-41,Largest filing in batch; Sched A occupies p3-p38 at a uniform 15 rows/page (p38 has 14); Sched B p39-41 (14+14+3); MISLABEL - the cover page is titled '2020 Financial Disclosure Report' although every page is dated 11/01/22 (flagged not relabeled); FILER-ARITHMETIC DELTA - Schedule A's printed TOTAL CONTRIBUTIONS RECEIVED is $91961.35 but Summary line 1 Column A is $92608.83 (delta $647.48); Schedule B total $120626.63 reconciles exactly to the Summary
Committee-to-Elect-Sheldon-Stewart__C2C645F2,2022,Committee to Elect Sheldon Stewart,County Council,C2C645F2-22B7-49A1-BE7F-18248CF59BC3,Interim Financial Disclosure Through 03312022,04/01/22,5,raw/easyvote/Committee-to-Elect-Sheldon-Stewart__C2C645F2.pdf,has-attachment-detail,standard-report,has-detail,6,counted,county-form,has-detail,16,counted,county-form,1,1,0,address-only,"$6,834.51","$6,380.61",vision-2026-08-02-cache + re-read 2026-08-20 (agree),0,3-5,p1 cover p2 Summary p3 SchedA p4-5 SchedB; matches batch vision values; Schedule A page prints TOTAL CONTRIBUTIONS RECEIVED $5884.51 which EXCLUDES the $950.00 In-Kind row while Summary line 1 states $6834.51 = sum of all 6 rows; black bar covers the WHOLE Complete Mailing Address cell so donor city/state do NOT survive; form title reads 2020 Financial Disclosure Report though report date is 04/01/22
Committee-to-Elect-Sheldon-Stewart__4980A11A,2022,Committee to Elect Sheldon Stewart,County Council,4980A11A-3749-4325-8CEF-00F524BC0DEF,9/10/2022 Financial Report,09/12/22,4,raw/easyvote/Committee-to-Elect-Sheldon-Stewart__4980A11A.pdf,has-attachment-detail,standard-report,has-detail,3,counted,county-form,has-detail,9,counted,county-form,1,1,0,address-only,"$9,179.80","$6,357.17",vision-2026-08-02-cache + re-read 2026-08-20 (agree),0,3-4,p1 cover p2 Summary p3 Sch A p4 Sch B; both schedule page subtotals tie EXACTLY to the Summary stated totals; form masthead reads 2020 Financial Disclosure Report though report date is 09/12/22 (form vintage not a mislabel); the county bar blacks the entire Complete Mailing Address cell so donor city/state/zip do NOT survive; matches the prior vision-read values
Committee-to-Elect-Sheldon-Stewart__A304DB4C,2022,Committee to Elect Sheldon Stewart,County Council,A304DB4C-8C19-4C02-88CF-2FEE6A8E1A87,11/1/2022 Financial Report,10/31/22,4,raw/easyvote/Committee-to-Elect-Sheldon-Stewart__A304DB4C.pdf,has-attachment-detail,standard-report,has-detail,1,counted,county-form,has-detail,2,counted,county-form,1,1,0,address-only-incl-city-state-zip,"$2,822.63",$196.53,vision-2026-08-02-cache + re-read 2026-08-20 (agree),0,3-4,cover is the 2020 form version though this is a 2022 seven-days-before-general filing signed 10/31/22; the sole Schedule A line is a report-carryover entry not a donor gift
Cox-Fred__41145539,2022,"Cox, Fred",County Council,41145539-D2DB-4CF8-BFE8-51050428F705,fcc26Jan2023,01/26/23,2,raw/easyvote/Cox-Fred__41145539.pdf,no-schedule-page,standard-report,no-schedule-page,,,,no-schedule-page,,,,,,0,none,$0.00,$0.00,vision-2026-08-02-cache + re-read 2026-08-20 (agree),0,,2-page filing: p1 cover + p2 Summary Page only; no Schedule A/B pages exist; year-end 01/26/23; all-zero activity with $12.16 carried balance
Creno-Tracey__5D27CB0A,2022,"Creno, Tracey",Sheriff,5D27CB0A-7351-4BF1-A0A7-4B128E17CE8A,April 5 ,04/05/22,4,raw/easyvote/Creno-Tracey__5D27CB0A.pdf,has-attachment-detail,standard-report,has-detail,1,counted,county-form,has-detail,8,counted,county-form,1,1,0,address-block-incl-city-state-zip,"5,046.08","3,546.08",vision-2026-08-02-cache + re-read 2026-08-20 (agree),0,3-4,Typed on-form; the single Schedule A line is the candidate's own contribution; Schedule A/B per-page SUBTOTAL cells are left blank but the TOTAL lines are filled (Sched B total is handwritten over the typed form)
Cushing-K__60485F52,2022,"Cushing, K.",Treasurer,60485F52-91D8-4B5C-8FA6-936B6335D792,K. Wayne Cushing- Dissolution,01/24/23,7,raw/easyvote/Cushing-K__60485F52.pdf,empty-schedule,standard-report,empty-schedule,0,counted,county-form,empty-schedule,0,counted,county-form,1,0,0,none,0.00,0.00,vision-2026-08-02-cache + re-read 2026-08-20 (agree),0,,doc_name says Dissolution but the document is the full 2022 standard report with BOTH Year-End and Final/Dissolution boxes checked; p3 Schedule A and p4 Schedule B are printed but entirely blank; p5-p7 are the Other Campaign Accounts summary + its two itemized pages; also blank; no page-number boxes filled in
DeBry-Steve__D59C4C61,2022,"DeBry, Steve",County Council,D59C4C61-AED7-4A18-9527-61559328C7A2,"April 5, 2022",04/04/22,4,raw/easyvote/DeBry-Steve__D59C4C61.pdf,has-attachment-detail,standard-report,has-detail,10,counted,county-form,has-detail,14,counted,county-form,1,1,1,address-only,"$72,243.50","$25,627.16",vision-2026-08-02-cache + re-read 2026-08-20 (agree),0,3-4,Handwritten on the county grid; the Complete Mailing Address bar removes city/state/zip too; INTERNAL FILER INCONSISTENCY - Summary line 1 Column A reads $72243.50 but its own line 4 (From Line 1 Column A) reads $25500.00 and the Schedule A page subtotal is $25500.00 while Schedule A's TOTAL prints $97743.50 (the Column B aggregate); likewise line 2 Column A $25627.16 vs line 6 $18421.88 and Schedule B subtotal $18421.88; recorded verbatim as printed
DeBry-Steve__CCE01F02,2022,"DeBry, Steve",County Council,CCE01F02-EE24-4D7F-9B7D-168C5104E084,"June 21, 2022",06/21/22,7,raw/easyvote/DeBry-Steve__CCE01F02.pdf,has-attachment-detail,standard-report,has-detail,16,counted,county-form,has-detail,30,counted,county-form,1,1,1,address-only,"$97,743.50","$44,049.04",vision-2026-08-02-cache + re-read 2026-08-20 (agree),0,3-7,entirely HANDWRITTEN; older 'SHERRIE SWENSEN' cover variant of the form; Summary Page is internally inconsistent - line 1 ColA $97743.50 and line 2 ColA $44049.04 but line 4 (declared 'From Line 1 Column A') reads $12625.40 and line 6 (declared 'From Line 2 Column A') reads $51389.88; the schedules support lines 4/6 not lines 1/2 - Schedule A subtotals 10780.04+1845.00=12625.04 and Schedule B subtotals 4501.15+45013.08+1875.65=51389.88; filer hand-wrote '*Total for pages' annotations into the subtotal cells; the Schedule TOTAL cells carry the Column B aggregate figures ($110368.90 / $95438.92) not the period figure; recorded stated_* verbatim from line 1/line 2 Column A per the brief - agrees with the prior vision read
DeBry-Steve__530CCB32,2022,"DeBry, Steve",County Council,530CCB32-214F-4E57-A22B-0CEA77A51BC2,"September 15, 2022",09/14/22,4,raw/easyvote/DeBry-Steve__530CCB32.pdf,has-attachment-detail,standard-report,has-detail,6,counted,county-form,has-detail,4,counted,county-form,1,1,1,address-only,"$110,368.90","$95,438.92",vision-2026-08-02-cache + re-read 2026-08-20 (agree),0,3-4,Entirely handwritten; INTERNAL INCONSISTENCY - Summary line 1 Column A reads $110368.90 but line 4 (which the form says comes FROM line 1 Column A) reads $8900.00 and the SchedA page subtotal is $8900.00; same pattern on the expenditure side ($95438.92 vs line 6 $7562.57 = SchedB subtotal); filer appears to have put a cycle-cumulative figure in Column A; verified at 150dpi on p2; recorded stated_* as printed per the brief
DeBry-Steve__A5B263EE,2022,"DeBry, Steve",County Council,A5B263EE-D8EC-49B9-A4D8-122C554189B2,DeBry Final/ Dissolution Report,12/14/22,5,raw/easyvote/DeBry-Steve__A5B263EE.pdf,empty-schedule,standard-report,empty-schedule,0,counted,county-form,empty-schedule,0,counted,county-form,1,1,1,none on the schedules - grids are blank; the cover page street-address block is blacked,0,0,vision-2026-08-02-cache + re-read 2026-08-20 (agree),0,,page 1 is a separate Dissolution of a Candidate Campaign Committee notice and pages 2-5 are the standard report numbered 1-4 of 4; Summary Column A lines 1 and 2 are both 0; Column B aggregates are $119268.90 and $103001.49 - lifetime figures not this period; both blank schedules print a SUBTOTAL of 0 yet carry those aggregates on the TOTAL line; handwritten entries throughout
Gill-Sim__DA8E8A75,2022,"Gill, Sim",District Attorney,DA8E8A75-7261-4EB4-8BC7-D9701944ED8D,"financial disclosure_January 31, 2023_signed.pdf",01/31/23,6,raw/easyvote/Gill-Sim__DA8E8A75.pdf,has-attachment-detail,standard-report,has-detail,33,counted,attach-landscape-date-first-last-address-city-state-zip-occupation-employer-amount,has-detail,18,counted,attach-date-recipient-purpose-amount,1,1,0,address-city-state-zip,"$ 9,403.24","$ 44,412.22",vision-2026-08-02-cache + re-read 2026-08-20 (agree),0,"4,6",Year-end report dated 1/31/23 on the 2022 form; Schedule A (p3) and Schedule B (p5) are BLANK STUBS reading 'See Attached'; contributions attachment p4 (33 rows) and expenditures attachment p6 (18 rows); both attachment totals agree with the Summary; DOCUMENT-INTERNAL MISLABEL: the contributions attachment is headed 'Contributions for Period Ending October 31 2022' but its own total line reads 'Period Ending 12/31/22' and its rows run to 12/18/2022 - flagged not relabelled; same layout family as the filer's September filing; bar covers Address/City/State/Zip.
Gill-Sim__CD02CB2C,2022,"Gill, Sim",District Attorney,CD02CB2C-40E3-4190-B2D7-D0CA6F53E1CB,"financial disclosure_March 31, 2022.pdf",04/04/22,8,raw/easyvote/Gill-Sim__CD02CB2C.pdf,has-attachment-detail,standard-report,has-detail,27,counted,attach-date-first-last-address-city-state-zip-occupation-employer-amount,has-detail,12,counted,attach-date-recipient-purpose-amount,1,1,0,address-and-city-and-state-and-zip,"$ 67,863.19","$ 2,688.04",vision-2026-08-02-cache + re-read 2026-08-20 (agree),0,"4,6",county Schedule A p3 and Schedule B p5 are blank stubs reading See Attached; real lines are on the filer spreadsheet pages 4 and 6; both attachment tables print their own Total line and both match the Summary Page exactly; p7 and p8 are the Other Campaign Accounts itemized pages marked NONE with 0.00 totals; the black bar spans the Address and City and State and Zip columns so donor city and state do NOT survive
Gill-Sim__E502D025,2022,"Gill, Sim",District Attorney,E502D025-EB58-4DEC-8A03-2787E782A952,"financial disclosure_June 21, 2022_signed",06/21/22,6,raw/easyvote/Gill-Sim__E502D025.pdf,has-attachment-detail,standard-report,has-detail,40,counted,attach-date-first-last-address-city-state-zip-occupation-employer-amount,has-detail,25,counted,attach-date-recipient-purpose-amount,1,1,0,address-and-city; the black bar spans Address+City+State+Zip so donor city/state/zip do NOT survive; expenditure attachment unredacted,"$ 80,373.62","$ 18,027.93",vision-2026-08-02-cache + re-read 2026-08-20 (agree),0,"4,6",county Schedule A/B pages (p3/p5) are blank stubs reading See Attached; the real lines are the filer's Excel-style Contributions/Expenditures for Period Ending sheets; each attachment prints its own grand total matching the Summary Page exactly
Gill-Sim__C6DFD0E4,2022,"Gill, Sim",District Attorney,C6DFD0E4-411B-408E-97CC-7C46D430173F,"financial disclosure_September 15, 2022_signed",09/15/22,7,raw/easyvote/Gill-Sim__C6DFD0E4.pdf,has-attachment-detail,standard-report,has-detail,70,counted,attach-landscape-date-first-last-address-city-state-zip-occupation-employer-amount,has-detail,19,counted,attach-date-recipient-purpose-amount,1,1,0,address-city-state-zip,"$ 47,909.90","$ 19,709.10",vision-2026-08-02-cache + re-read 2026-08-20 (agree),0,"4-5,7",September 15 interim on the 2022 form; county Schedule A (p3) and Schedule B (p6) are BLANK STUBS reading 'See Attached'; the real lines are the filer's own ruled spreadsheet exports: contributions p4 (44 rows) + p5 (26 rows) ending 'Total Contributions - Period Ending 9/10/22 $47909.90'; expenditures p7 (19 rows) ending 'Total Expenses - Period Ending 9/10/22 $19709.10'; both agree exactly with the Summary; the black bar spans Address AND City AND State AND Zip so no geography survives; matches the CSV vision values.
Gill-Sim__7DD7DCA8,2022,"Gill, Sim",District Attorney,7DD7DCA8-E1B0-4DD0-9CCA-9865BBFA3D2C,"financial disclosure_November 1, 2022_signed",11/01/22,8,raw/easyvote/Gill-Sim__7DD7DCA8.pdf,has-attachment-detail,standard-report,has-detail,115,counted,attach-date-first-last-address-city-state-zip-occupation-employer-amount,has-detail,20,counted,attach-date-recipient-purpose-amount,1,1,0,address-and-city,"$ 97,272.77","$ 262,404.26",vision-2026-08-02-cache + re-read 2026-08-20 (agree),0,"4-6,8","County Schedule A p3 and Schedule B p7 are BLANK STUBS reading ""See Attached"" with the county TOTAL fields filled in; detail is on filer spreadsheet pages 4-6 (40 + 40 + 35 rows) and p8 (20 rows); the black bar spans Address through Zip Code so donor city/state do NOT survive; attachment totals ""Total Contributions - Period Ending 10/31/22 $97272.77"" and ""Total Expenses - Period Ending 10/31/22 $262404.26"" match Summary Column A exactly"
Goodfellow-Brent__F1C0D6C1,2022,"Goodfellow, Brent",County Council,F1C0D6C1-0BD3-4274-93E0-4E56E58ABC01,Final/ Dissolution Report,02/02/23,3,raw/easyvote/Goodfellow-Brent__F1C0D6C1.pdf,has-attachment-detail,standard-report,no-schedule-page,,,,has-detail,1,counted,county-form,1,1,1,none,,1736.34,vision-2026-08-02-cache + re-read 2026-08-20 (agree),0,3,Final/Dissolution box checked but the document is the full 3-page report form not a one-page notice; document contains NO Schedule A page at all - only cover + Summary + Schedule B; Summary line 1 Column A is BLANK while line 4 prints 0 so there is no non-zero contribution total to contradict; entirely handwritten; Sch B subtotal 1736.34 ties to the stated expenditure total; black bars appear only on the cover address/phone block not on the itemized row
Granato-Ann__A6C54095,2022,"Granato, Ann",County Council,A6C54095-F2C5-499A-8452-CEBDDB35CF0E,Ann Granato- Year-End Report,01/24/23,7,raw/easyvote/Granato-Ann__A6C54095.pdf,has-attachment-detail,standard-report,empty-schedule,0,counted,county-form,has-detail,10,counted,county-form,1,1,0,none,0.00,2297.49,vision-2026-08-02-cache + re-read 2026-08-20 (agree),0,4,Schedule A printed and blank (a real zero-contribution period); Schedule B has 10 typed on-form rows summing exactly to 2297.49; p5-p7 Other Campaign Accounts section present and all-zero
