EventItemId,EventItemEventId,_body_id,EventItemTitle,EventItemMatterId,EventItemMatterName,EventItemMatterType,EventItemMover,EventItemSeconder,EventItemPassedFlagName,EventItemActionName,EventItemAgendaSequence,EventItemMinutesSequence
36207,3094,265,"Budget Adjustment: Facilities Request for $18,000 Balance Sheet Purchase for Two Mowers for Grounds Maintenance at the Government Center",6208,,Discussion Items,Aimee Winder Newton,Jim Bradley,Pass,approved and forwarded,8,6
36208,3094,265,"Budget Adjustment: Health Department’s Request to Recognize a Grant from the Utah Department of Health for COVID Vaccine and Outreach ($4,401,526 in Revenue and $495,000 in Expense)",6209,,Discussion Items,Arlyn Bradshaw,Aimee Winder Newton,Pass,approved and forwarded,9,8
36209,3094,265,A Resolution of the Salt Lake County Council Approving the Grant of an Easement to Magna Metro Township for Storm Water Runoff and Further Approving the Grant of Easements to Magna Water District for Sewer and Water,6211,,Consent Item,,,,,27,34
36210,3094,265,Proposed Hire Report,6213,,Discussion Items,,,,,7,5
36211,3094,265,"Board Appointments: Community & Support Services Advisory Council (CSSAC)

Laurie Roderick - 10/01/2020 through 09/30/2022 - District 2
Karla Klingenberg - 10/01/2020 through 09/30/2022 - District 4",6217,,Consent Item,,,,,28,35
36212,3094,265,"Board Appointment: Animal Services Advisory Committee

Corey Rushton - 03/09/2021 through 12/31/2024 - District 1",6218,,Consent Item,,,,,29,36
36213,3094,265,"Board reappointment: Behavioral Health Services Advisory Council

Rob Wesemann - Second Term - 03/01/2021 - 02/29/2024 - District 6",6219,,Consent Item,,,,,30,37
36214,3094,265,Overview of COVID-19 Expenditures and Resources Utilized and County Revenue Update,6221,,Discussion Items,,,,,16,21
36215,3094,265,Statement of Council Chair Steve DeBry Concerning the Temporary Conduct of Electronic Meetings of the Council Consistent with the Utah Open and Public Meetings Act,6224,,Discussion Items,,,,,4,2
36216,3094,265,Herriman Innovation District Redevelopment,6230,,Discussion Items,,,,,17,22
36217,3094,265,CONSENT ITEMS:,,,,Arlyn Bradshaw,Richard Snelgrove,Pass,approved and forwarded,22,28
36218,3094,265,ITEMS FROM COUNCIL MEMBERS,,,,,,,,31,38
36219,3094,265,Internal Business,,,,,,,,32,39
36220,3094,265,APPROVAL OF MINUTES,,,,,,,,33,40
36221,3094,265,"Approval of March 16, 2021; March 23, 2021; and March 30, 2021 Committee of the Whole Meeting Minutes",6192,,Minutes,Arlyn Bradshaw,Richard Snelgrove,Pass,approved,34,41
36222,3094,265,ADJOURN 3:45 PM for Board of Equalization,,,,,,,,35,43
36223,3094,265,"* Times are approximate and the order of agenda items is subject to change except for matters that are designated for time certain.

** Interested parties should call the Council Office (385-468-7500) or check the Council's website: slco.legistar.com for changes. The public is invited to electronically attend, but comments from the public are at the discretion of the Council. Public comments are welcome in the 4:00 PM Council Meeting.
",,,,,,,,36,
36224,3094,265,"Update on Salt Lake County’s Coordinated Response to COVID-19

The Council may take action, including votes on any necessary legislative matters related to the ongoing State of Emergency.",6216,,Discussion Items,,,,,15,20
36226,3094,265,"Budget Adjustment: Human Resources and Health Department’s Request to Transfer $203,800 from the Health Department to Human Resource to Hire Three Temporary Employees (One Recruiter and Two Support Staff) for the On-Boarding of Volunteers Assisting with COVID Vaccinations",6210,,Discussion Items,Arlyn Bradshaw,Aimee Winder Newton,Pass,approved and forwarded,14,18
36227,3094,265,"Budget Adjustment: Office of Regional Economic Development Request to Recognize A Grant from the Wasatch Front Economic Development District to Provide Business Recovery Assistance ($50,000 in Revenue and Expense)",6212,,Discussion Items,Arlyn Bradshaw,Aimee Winder Newton,Pass,approved and forwarded,10,10
36228,3094,265,"Budget Adjustment: Sheriff’s Office Request to Purchase an Aluminum Trailer with Bathroom and Heater and a Portable Remote Communication System for Use in Search and Rescue in Remote Areas ($86,200 in Expense)",6214,,Discussion Items,Arlyn Bradshaw,Aimee Winder Newton,Pass,approved and forwarded,11,12
36229,3094,265,"Budget Adjustment: Capital Improvement Request to Replace the Main Heat Exchanger at the Sunday Anderson Westside Senior Center ($30,000 in Expense from Capital Improvement Contingency)",6215,,Discussion Items,Arlyn Bradshaw,Aimee Winder Newton,Pass,approved and forwarded,12,14
36230,3094,265,"Budget Adjustment: Sheriff’s Request to Recognize $10,678 in Revenue and Expense for the Installation of a Concrete Pad for Training Purposes at the Range",6223,,Discussion Items,Arlyn Bradshaw,Aimee Winder Newton,Pass,approved and forwarded,13,16
36231,3094,265,Friends of Children’s Justice Center Donation to Salt Lake County CJC,6195,,Consent Item,,,,,24,31
36327,3094,265,"Adopt Budget Calendar for the June Budget Process and Set a Hearing on June 22, 2021 at 6:00 PM to Adopt 2021 Final Tax Rates and Make Adjustments to the 2021 Budget",6231,,Consent Item,,,,,23,30
36330,3094,265,Update on 2021 Online Tax Sale,6233,,Discussion Items,,,,,18,23
36331,3094,265,,,,,,,,,,27
36332,3094,265,,,,,,,,,,29
36333,3094,265,,,,,,,,,,42
36334,3094,265,,,,,,,,,,7
36335,3094,265,,,,,,,,,,9
36336,3094,265,,,,,,,,,,11
36337,3094,265,,,,,,,,,,13
36338,3094,265,,,,,,,,,,15
36339,3094,265,,,,,,,,,,17
36340,3094,265,,,,,,,,,,19
36341,3095,265,"Upon request and with three working days’ notice, Salt Lake County will provide free auxiliary aids and services to qualified individuals (including sign language interpreters, alternative formats, etc.). For assistance, please call (385) 468-7500 – TTY 711. 

Members of the Council may participate electronically. Meetings may be closed for reasons allowed by statute. Motions relating to any of the items listed below, including final action, may be taken.

Consistent with provisions of the Utah Open and Public Meetings Act, Utah Code Ann. § 52-4-207(4), the Salt Lake County Council Chair has issued written determinations supporting Salt Lake County Council’s decision to convene electronic meetings of the Council without a physical anchor location. Due to the health and safety risks related to the ongoing COVID-19 pandemic and considering public health orders limiting in-person gatherings, members of the public should not attend Council meetings in person. However, members of the public are invited and encouraged to view and participate in the Council’s electronic meetings as described below.",,,,,,,,1,
36355,3095,265,"This meeting will be conducted electronically via Webex Events. Agendas, audio live-streams and recordings, and meeting minutes can be accessed at slco.legistar.com. The Council will also broadcast live-streams of its meetings on Facebook Live, which may be accessed at http://www.facebook.com/slcocouncil/, and through Cisco Webex, which may be accessed at: 

https://slco.webex.com/slco/onstage/g.php?MTID=eedbf23b8b3f3de4c728faab00324f5a0

Individuals wishing to comment must access the meeting using the Webex link above by the beginning of the “Citizen Public Input” portion of the meeting. Comments will be limited to three minutes per individual unless otherwise approved by the Council. If an individual is unable to attend the meeting via Webex, they may email their comments to councilwebex@slco.org by 10:00 AM the day of the meeting to have those comments distributed to the Council and read into the record at the appropriate time.  

The first time you join via the link may take longer to get through the set-up steps. Please plan accordingly. Mobile phones must choose “Call-in” as the audio connection to support the Webex Event format. 

Please include ""Resident"" ahead of your first name when you join the meeting or you will not be identified as wanting to give comment. 


This website has helpful tips for using Webex for Events: https://help.webex.com/ld-7srxjs-CiscoWebexEvents/Webex-Events",,,,,,,,2,
36356,3095,265,CALL TO ORDER,,,,,,,,3,1
36357,3095,265,CITIZEN PUBLIC INPUT ,,,,,,,,5,3
36358,3095,265,DISCUSSION ITEMS:,,,,,,,,6,4
36361,3095,265,Approval of Two Monetary Donations and Six In-kind Donations to Salt Lake County Animal Services,6238,,Discussion Items,,,,,15,19
36362,3095,265,A Resolution of the Salt Lake County Council Approving Execution of an Amendment to an Interlocal Cooperation Agreement with the Wasatch Front Waste and Recycling District,6239,,Discussion Items,Arlyn Bradshaw,Aimee Winder Newton,Pass,approved and forwarded,13,15
36364,3095,265,Proposed Hire Report,6241,,Discussion Items,,,,,7,5
36366,3095,265,"Update on Salt Lake County’s Coordinated Response to COVID-19

The Council may take action, including votes, on any necessary legislation matters related to the State of Emergency",6246,,Discussion Items,,,,,10,10
36367,3095,265,Approval of Electric Bus Air Quality Monitoring Interlocal Agreement,6247,,Discussion Items,Arlyn Bradshaw,Jim Bradley,Pass,approved and forwarded,12,13
36368,3095,265,"Budget Adjustment: Arts and Culture’s Request for $126,000 for HVAC, Frequency Drive, and Flooring Repairs",6248,,Discussion Items,Arlyn Bradshaw,Aimee Winder Newton,Pass,approved and forwarded,9,8
36369,3095,265,Statement of Council Chair Steve DeBry Concerning the Temporary Conduct of Electronic Meetings of the Council Consistent with the Utah Open and Public Meetings Act,6249,,Discussion Items,,,,,4,2
36370,3095,265,"Budget Adjustment: Parks and Recreation’s Request for $73,500 to Begin Phase 1 of the Butterfield Canyon Trail System",6250,,Discussion Items,Arlyn Bradshaw,Aimee Winder Newton,Pass,approved and forwarded,8,6
36371,3095,265,An Ordinance of the Salt Lake County Council Amending the Boundaries of the Mountainous Planning District and the Membership Requirements of the Mountainous Planning District Planning Commission; and Making Other Related Changes,6251,,Discussion Items,Arlyn Bradshaw,Aimee Winder Newton,Pass,approved and forwarded,11,11
36372,3095,265,CONSENT ITEMS:,,,,Arlyn Bradshaw,Richard Snelgrove,Pass,that the consent agenda be approved and forwarded to the 4:00 p.m. Council meeting for ratification. ,14,17
36373,3095,265,ITEMS FROM COUNCIL MEMBERS,,,,,,,,17,21
36374,3095,265,Internal Business,,,,,,,,18,22
36375,3095,265,APPROVAL OF MINUTES,,,,,,,,19,23
36376,3095,265,ADJOURN 3:00 PM for Board of Equalization Exemption Hearing,,,,,,,,20,24
36377,3095,265,"* Times are approximate and the order of agenda items is subject to change except for matters that are designated for time certain.

** Interested parties should call the Council Office (385-468-7500) or check the Council's website: slco.legistar.com for changes. The public is invited to electronically attend, but comments from the public are at the discretion of the Council. Public comments are welcome in the 4:00 PM Council Meeting.
",,,,,,,,21,
36474,3095,265,"A Resolution of the Salt Lake County Council Declaring Surplus Real Property and Approving the Conveyance of the Same by Quit-Claim Deed to SLC Innovation District II, LLC",6244,,Discussion Items,,,,,16,20
36476,3095,265,,,,,,,,,,7
36477,3095,265,,,,,,,,,,9
36478,3095,265,,,,,,,,,,12
36479,3095,265,,,,,,,,,,14
36480,3095,265,,,,,,,,,,16
36481,3095,265,,,,,,,,,,18
36530,3096,265,"Upon request and with three working days’ notice, Salt Lake County will provide free auxiliary aids and services to qualified individuals (including sign language interpreters, alternative formats, etc.). For assistance, please call (385) 468-7500 – TTY 711. 

Members of the Council may participate electronically. Meetings may be closed for reasons allowed by statute. Motions relating to any of the items listed below, including final action, may be taken.

Consistent with provisions of the Utah Open and Public Meetings Act, Utah Code Ann. § 52-4-207(4), the Salt Lake County Council Chair has issued written determinations supporting Salt Lake County Council’s decision to convene electronic meetings of the Council without a physical anchor location. Due to the health and safety risks related to the ongoing COVID-19 pandemic and considering public health orders limiting in-person gatherings, members of the public should not attend Council meetings in person. However, members of the public are invited and encouraged to view and participate in the Council’s electronic meetings as described below.",,,,,,,,1,
36543,3096,265,"This meeting will be conducted electronically via Webex Events. Agendas, audio live-streams and recordings, and meeting minutes can be accessed at slco.legistar.com. The Council will also broadcast live-streams of its meetings on Facebook Live, which may be accessed at http://www.facebook.com/slcocouncil/, and through Cisco Webex, which may be accessed at: 

https://slco.webex.com/slco/onstage/g.php?MTID=e978ceeb80941036b21740906fe754ee7

Individuals wishing to comment must access the meeting using the Webex link above by the beginning of the “Citizen Public Input” portion of the meeting. Comments will be limited to three minutes per individual unless otherwise approved by the Council. If an individual is unable to attend the meeting via Webex, they may email their comments to councilwebex@slco.org by 10:00 AM the day of the meeting to have those comments distributed to the Council and read into the record at the appropriate time.  

The first time you join via the link may take longer to get through the set-up steps. Please plan accordingly. Mobile phones must choose “Call-in” as the audio connection to support the Webex Event format. 

Please include ""Resident"" ahead of your first name when you join the meeting or you will not be identified as wanting to give comment. 


This website has helpful tips for using Webex for Events: https://help.webex.com/ld-7srxjs-CiscoWebexEvents/Webex-Events",,,,,,,,2,
36544,3096,265,CALL TO ORDER,,,,,,,,3,1
36545,3096,265,CITIZEN PUBLIC INPUT ,,,,,,,,5,3
36546,3096,265,DISCUSSION ITEMS:,,,,,,,,6,4
36547,3096,265,"Acceptance of a Cash Contribution of $11,500 to Ballet West to Replace Studio Flooring",6236,,Discussion Items,,,,,21,28
36548,3096,265,Salt Lake County COVID Economic Recovery Update: Y2 2021 Audience Sentiment Survey - Returning after COVID 2019,6260,,Discussion Items,,,,,17,21
36549,3096,265,Approval of an In-Kind Donation from Trails Utah to Parks and Recreation of Trail Construction and Maintenance of the Bonneville Shoreline Trail,6261,,Discussion Items,,,,,22,29
36550,3096,265,Proposed Hire Report,6262,,Discussion Items,,,,,7,5
36551,3096,265,"Closed Session for Discussion Regarding Deployment of Security Personnel, Devices, or Systems",6263,,Discussion Items,Arlyn Bradshaw,Aimee Winder Newton,,to close the Committee of the Whole meeting to discuss [insert reason]. ,18,22
36552,3096,265,Statement of Council Chair Steve DeBry Concerning the Temporary Conduct of Electronic Meetings of the Council Consistent with the Utah Open and Public Meetings Act,6265,,Discussion Items,,,,,4,2
36553,3096,265,"A Resolution of the Salt Lake County Council Authorizing the Execution of a Real Estate Purchase Contract and Settlement Agreement Between Magna Metro Township, Salt Lake County, And Sego Properties, LLC, Including the Release of a Portion of an Easement Over Certain Related Real Property Located Magna, Utah",6266,,Discussion Items,,,,,23,30
36554,3096,265,A Resolution of the Salt Lake County Council Approving an Easement Purchase Agreement and Authorizing the Grant of a Waterline Easement and a Temporary Construction Easement to Granger Hunter Improvement District,6271,,Discussion Items,,,,,24,31
36555,3096,265,"Closed Session for Discussion Regarding Deployment of Security Personnel, Devices, or Systems",6274,,Discussion Items,Arlyn Bradshaw,Aimee Winder Newton,Pass,to close the Committee of the Whole meeting to discuss [insert reason]. ,19,24
36557,3096,265,"Update on Salt Lake County’s Coordinated Response to COVID-19

The Council may Take Action, Including Votes on any Necessary Legislative Matters Related to the Ongoing State of Emergency",6276,,Discussion Items,,,,,15,19
36558,3096,265,CONSENT ITEMS:,,,,Arlyn Bradshaw,Aimee Winder Newton,Pass,approved and forwarded,20,26
36559,3096,265,ITEMS FROM COUNCIL MEMBERS,,,,,,,,25,32
36560,3096,265,Internal Business,,,,,,,,26,33
36561,3096,265,APPROVAL OF MINUTES,,,,,,,,27,34
36562,3096,265,"Approval of Council Work Session Minutes for April 13, 2021 and April 20, 2021",6254,,Minutes,Arlyn Bradshaw,Aimee Winder Newton,Pass,approved,28,35
36563,3096,265,ADJOURN,,,,,,,,29,37
36564,3096,265,"* Times are approximate and the order of agenda items is subject to change except for matters that are designated for time certain.

** Interested parties should call the Council Office (385-468-7500) or check the Council's website: slco.legistar.com for changes. The public is invited to electronically attend, but comments from the public are at the discretion of the Council. Public comments are welcome in the 4:00 PM Council Meeting.
",,,,,,,,30,
36566,3096,265,"Budget Adjustment: Mountain America Expo Center’s Request to Transfer $51,800 between Capital Projects (from Concrete Patch Repair to Door Frame Replacement)",6255,,Discussion Items,Aimee Winder Newton,Arlyn Bradshaw,Pass,approved and forwarded,8,6
36567,3096,265,"Budget Adjustment: Salt Palace Convention Center’s Request for New Capital Project - Replace Kitchen Dishwasher (Budget Neutral Transfer $200,000 from Operations to Capital)",6267,,Discussion Items,Laurie Stringham,Dea Theodore,Pass,approved and forwarded,10,10
36568,3096,265,"Budget Adjustment: Salt Palace Convention Center’s Request for New Capital Project - Heat Exchanger Maintenance (Budget Neutral Transfer $30,000 from Operations to Capital)",6268,,Discussion Items,Arlyn Bradshaw,Aimee Winder Newton,Pass,approved and forwarded,11,12
36569,3096,265,"Budget Adjustment: Regional Development’s Request to Recognize $134,990 in Revenue and Expense Related to the E-Bus Air Quality Monitoring Project",6270,,Discussion Items,Arlyn Bradshaw,Laurie Stringham,Pass,approved and forwarded,12,14
36570,3096,265,"Budget Adjustment: Mountain America Expo’s Request to Transfer $58,500 between Capital Projects (From Expansion Joint Repairs to Parking Lot Sink Hole)",6272,,Discussion Items,Arlyn Bradshaw,Aimee Winder Newton,Pass,approved and forwarded,9,8
36571,3096,265,"An Ordinance of the Legislative Body of Salt Lake County, Utah, Amending Section 2.06A.020 of the Salt Lake County Code of Ordinances, 2001, Entitled “Deputy Mayors, Associate Deputy Mayors and Department Directors” to Allow Delegations of Authority by the Salt Lake County Mayor to Deputy Mayors, Associate Deputy Mayors, and Department Directors in a Manner Consistent with Salt Lake County Ordinance",6280,,Discussion Items,,,,,13,16
36572,3096,265,"A Resolution of the Salt Lake County Council Directing the Salt Lake County Auditor to Provide Performance Auditing Services Related to Outcomes and Indicators for Various Salt Lake County Offices, Departments, Divisions, and their Respective Programs",6281,,Discussion Items,Aimee Winder Newton,Dave Alvord,Pass,approved and forwarded,14,17
36659,3096,265,Time Certain 2:30 PM,,,,,,,,16,20
36835,3096,265,,,,,,,,,,7
36836,3096,265,,,,,,,,,,9
36837,3096,265,,,,,,,,,,11
36838,3096,265,,,,,,,,,,13
36839,3096,265,,,,,,,,,,15
36840,3096,265,,,,,,,,,,18
36841,3096,265,,,,,,,,,,23
36842,3096,265,,,,,,,,,,25
36843,3096,265,,,,,,,,,,27
36844,3096,265,,,,,,,,,,36
36685,3106,265,"Upon request and with three working days’ notice, Salt Lake County will provide free auxiliary aids and services to qualified individuals (including sign language interpreters, alternative formats, etc.). For assistance, please call (385) 468-7500 – TTY 711. 

Members of the Council may participate electronically. Meetings may be closed for reasons allowed by statute. Motions relating to any of the items listed below, including final action, may be taken.

Consistent with provisions of the Utah Open and Public Meetings Act, Utah Code Ann. § 52-4-207(4), the Salt Lake County Council Chair has issued written determinations allowing the Salt Lake County Council to convene electronic meetings of the Council without a physical anchor location. 

During the current phase of COVID-19 response and recovery, members of the public may attend the Council’s meetings in person on a limited basis. Members of the public who visit the Salt Lake County Government Center are subject to social distancing and mask wearing requirements ordered by the Salt Lake County Mayor. Members of the public may also participate in Council meetings electronically as described below.  
",,,,,,,,1,
36698,3106,265,"This meeting will be simulcast electronically via Webex Events. Agendas, audio live-streams and recordings, and meeting minutes can be accessed at slco.legistar.com. The Council will also broadcast live-streams of its meetings on Facebook Live, which may be accessed at http://www.facebook.com/slcocouncil/, and through Cisco Webex, which may be accessed at:

https://slco.webex.com/slco/onstage/g.php?MTID=e207e3a3b25cd7d25f757f0a06b3d16d3

Individuals wishing to comment electronically must access the meeting using the Webex link above by the  beginning of the “Citizen Public Input” portion of the meeting. Comments will be limited to three minutes per individual unless otherwise approved by the Council. If an individual is unable to attend the meeting, they may also email their comments to councilwebex@slco.org by 10:00 AM the day of the meeting to have those comments distributed to the Council and read into the record at the appropriate time.

The first time you join via the link may take longer to get through the set-up steps. Please plan accordingly. Mobile phones must choose “Call-in” as the audio connection to support the Webex Event format.

Please include ""Resident"" ahead of your first name when you join the meeting or you will not be identified as wanting to give comment.

This website has helpful tips for using Webex for Events:
https://help.webex.com/ld-7srxjs-CiscoWebexEvents/Webex-Events",,,,,,,,2,
36699,3106,265,CALL TO ORDER,,,,,,,,3,1
36700,3106,265,CITIZEN PUBLIC INPUT ,,,,,,,,5,3
36701,3106,265,DISCUSSION ITEMS:,,,,,,,,6,4
36702,3106,265,Discussion and Approval of Animal Services Patrol Request,6282,,Discussion Items,Laurie Stringham,Arlyn Bradshaw,Pass,tabled,22,34
36703,3106,265,Special Operations Presentation,6293,,Discussion Items,,,,,24,38
36704,3106,265,A Resolution of the Salt Lake County Council Authorizing Execution and Delivery of a Right of Way Contract with Draper City and a Related Quitclaim Deed Affecting Property Located at Approximately 657 Vestry Road in Draper City,6294,,Consent Item,,,,,28,43
36705,3106,265,"A Resolution of the Salt Lake County Council Authorizing Execution of a Boundary Line Agreement with Maxfield Beardsley, LLC, Regarding Certain Real Property Located Adjacent to the Surplus Canal",6295,,Consent Item,,,,,29,44
36706,3106,265,A Resolution of the Salt Lake County Council Authorizing Execution of an Interlocal Cooperation Agreement with Murray City Corporation and a Related Quitclaim Deed Conveying Real Property,6296,,Consent Item,,,,,30,45
36707,3106,265,A Solution to a Sustainable Climate Future Presentation,6297,,Discussion Items,,,,,26,40
36708,3106,265,Proposed Hire Report,6298,,Discussion Items,,,,,7,5
36709,3106,265,"Update on Salt Lake County’s Coordinated Response to COVID-19

The Council may take action, including votes, on any necessary legislative matters related to the ongoing State of Emergency",6299,,Discussion Items,,,,,21,32
36710,3106,265,Policy Updates to 1400 (County Information Technology Policies and Standards) and 1400-1 (Acceptable Use of Technology),6300,,Discussion Items,Aimee Winder Newton,Arlyn Bradshaw,Pass,approved and forwarded,23,36
36712,3106,265,"Salt Lake County Resolution: 

Extension of the Public Health Emergency Declared by the Salt Lake County Mayor and the Executive Director of the Salt Lake County Health Department COVID-19 Pandemic",6316,,Discussion Items,Arlyn Bradshaw,Aimee Winder Newton,Pass,approved and forwarded,20,30
36713,3106,265,CONSENT ITEMS:,,,,Arlyn Bradshaw,Aimee Winder Newton,Pass,approved and forwarded,27,41
36714,3106,265,ITEMS FROM COUNCIL MEMBERS,,,,,,,,31,46
36715,3106,265,Internal Business,,,,,,,,32,47
36716,3106,265,APPROVAL OF MINUTES,,,,,,,,33,48
36717,3106,265,ADJOURN 3:45 PM for Board of Equalization,,,,,,,,34,49
36718,3106,265,"* Times are approximate and the order of agenda items is subject to change except for matters that are designated for time certain.

** Interested parties should call the Council Office (385-468-7500) or check the Council's website: slco.legistar.com for changes. The public is invited to electronically attend, but comments from the public are at the discretion of the Council. Public comments are welcome in the 4:00 PM Council Meeting.
",,,,,,,,35,
36719,3106,265,"Budget Adjustment: Parks and Recreation’s Request to Transfer $419,465 between Capital Projects - $419,465 from Mt Olympus Trailhead, $200,000 to Parleys Trail, $181,465 to Rose & Yellowfork Canyon Trails, $38,000 to Lodestone Playground Turf",6302,,Discussion Items,Richard Snelgrove,Arlyn Bradshaw,Pass,approved and forwarded,13,16
36720,3106,265,"Budget Adjustment: Parks and Recreation’s Request to Rebudget $44,205 for the Wheeler Farm Outdoor Education Center’s Sidewalk Project",6304,,Discussion Items,Aimee Winder Newton,Arlyn Bradshaw,Pass,approved and forwarded,15,20
36721,3106,265,"Budget Adjustment: Parks and Recreation’s Request to Rebudget $1,352,406 for the Wheeler Farm Outdoor Education Center",6305,,Discussion Items,Aimee Winder Newton,Arlyn Bradshaw,Pass,approved and forwarded,14,18
36722,3106,265,"Budget Adjustment: Public Works’ Request to Transfer $2,188,591 from Public Works Operations to Public Works Engineering Capital Projects",6306,,Discussion Items,Laurie Stringham,Arlyn Bradshaw,Pass,approved and forwarded,8,6
36723,3106,265,"Budget Adjustment: Public Works’ Request to Reduce $73,345 in Revenue and Expense Related to Greater Salt Municipal Services District Capital Projects",6307,,Discussion Items,Laurie Stringham,Arlyn Bradshaw,Pass,approved and forwarded,9,8
36724,3106,265,"Budget Adjustment: Public Works’ Request Recognize $180,391 in Revenue and Expense from the State and Greater Salt Lake Municipal Services District for a Capital Project",6308,,Discussion Items,Arlyn Bradshaw,Laurie Stringham,Pass,approved and forwarded,10,10
36725,3106,265,"Budget Adjustment: Public Works’ Request to Reduce $14,000 in Revenue and Expense Related to Greater Salt Lake Municipal Services District Capital Projects",6309,,Discussion Items,Laurie Stringham,Arlyn Bradshaw,Pass,approved and forwarded,11,12
36726,3106,265,"Budget Adjustment: Public Works’ Request to Recognize $31,165 in Revenue and Expense Related to Greater Salt Lake Municipal Services District Capital Project",6310,,Discussion Items,Laurie Stringham,Arlyn Bradshaw,Pass,approved and forwarded,12,14
36727,3106,265,"Budget Adjustment: Mountain America Expo Center’s Request for Technical Budget Adjustment to Correct Budgeted Revenue add $1,350,000",6311,,Discussion Items,Laurie Stringham,Richard Snelgrove,Pass,approved and forwarded,16,22
36728,3106,265,"Budget Adjustment: Library’s Request to True-up the Granite Library Capital Project Budget $6,293,488 in Expense",6312,,Discussion Items,Arlyn Bradshaw,Laurie Stringham,Pass,approved and forwarded,17,24
36729,3106,265,"Budget Adjustment: Library’s Request for $1,727,975 in Additional Funds for the Daybreak Library",6313,,Discussion Items,Arlyn Bradshaw,Laurie Stringham,Pass,approved and forwarded,18,26
36730,3106,265,"Budget Adjustment: Library’s Request for $1,451,031 in Additional Funds for the Granite Library",6314,,Discussion Items,Arlyn Bradshaw,Laurie Stringham,Pass,approved and forwarded,19,28
36736,3106,265,TIME CERTAIN 15:25,,,,,,,,25,39
36824,3106,265,Statement of Council Chair Steve DeBry Concerning the Temporary Conduct of Electronic Meetings of the Council Consistent with the Utah Open and Public Meetings Act,6317,,Discussion Items,,,,,4,2
36845,3106,265,,,,,,,,,,7
36846,3106,265,,,,,,,,,,9
36847,3106,265,,,,,,,,,,11
