n,candidate,office,source_filing,document_id,side,n_rows,itemized_sum,stated_total,reconciles,recon_delta,withheld_reason,pages_read,escalations_used,notes
10,Joe Hatch,Council,raw/clerk_legacy/hatch_january312005.pdf,289fef21,contributions,15,6700.00,6700.00,True,+0.00,,"1,3",none,"Exact reconciliation. 22-page PDF; remaining pages beyond 5 are bank-statement attachments, not itemized schedule rows (not itemized here)."
10,Joe Hatch,Council,raw/clerk_legacy/hatch_january312005.pdf,289fef21,expenditures,20,7268.73,7268.73,True,+0.00,,"1,4,5",none,"Spans 2 Schedule B pages (subtotal $5,742.49 + $1,526.24). Exact reconciliation."
11,Jeff S. Allen,Council,raw/clerk_legacy/20_june_allen_jeff06.pdf,f8e1c223,contributions,11,9075.00,9075.00,True,+0.00,,"1,3",none,Exact reconciliation.
11,Jeff S. Allen,Council,raw/clerk_legacy/20_june_allen_jeff06.pdf,f8e1c223,expenditures,28,4048.10,3998.05,False,+50.05,,"1,4,5",300dpi re-render,"First 150dpi/200dpi pass misread page-4's own subtotal leading digit ('1,474.27' read as '1,974.27'); corrected at 300dpi and page-4's 14 rows now sum exactly to its own printed subtotal ($1,474.27). Page-5's 14 rows (also re-rendered at 300dpi) sum to $2,573.83 against a printed page-5 subtotal of $2,523.78 — a $50.05 residual delta not resolved within this pass (candidate misread: 'Universal Signs Banner' cell). Kept verbatim; recon_delta recorded rather than adjusted."
12,Jim Bradley,Council,raw/clerk_legacy/08_jbradley_jan31.pdf,1d733db5,contributions,12,4052.39,4052.39,True,+0.00,,"1,5",250dpi rotation,First read misread row6 ($0.39 as $3.39) causing a $97 mismatch; corrected on re-render. Exact reconciliation after correction.
12,Jim Bradley,Council,raw/clerk_legacy/08_jbradley_jan31.pdf,1d733db5,expenditures,21,6838.20,6838.20,True,+0.00,,"1,6",250dpi rotation,Exact reconciliation.
13,Calvin J. Noyce,Council,raw/clerk_legacy/CNoyce_12_Final_CntyCncl1_Redacted.pdf,aa64824e,contributions,13,520.00,520.00,True,+0.00,,"1,3",none,Exact reconciliation (12 x $35 in-kind + $100 cash).
13,Calvin J. Noyce,Council,raw/clerk_legacy/CNoyce_12_Final_CntyCncl1_Redacted.pdf,aa64824e,expenditures,13,461.17,461.17,True,+0.00,,"1,4",none,Last row's cents digit is ambiguous in the source (reads 5 or 7); resolved to .17 by reconciliation against the printed total (420.00 + X = 461.17). needs_review=1 on that row.
14,Jim Bradley,Council,raw/clerk_legacy/Bradley_J_12_April_Interim_CntyCncl_AtLrgC_Redacte.pdf,c7c7567e,contributions,2,3000.00,3000.00,True,+0.00,,"1,3",none,Exact reconciliation; identical figures to the amended re-file (filing #6).
14,Jim Bradley,Council,raw/clerk_legacy/Bradley_J_12_April_Interim_CntyCncl_AtLrgC_Redacte.pdf,c7c7567e,expenditures,0,0.00,0.00,True,+0.00,,"1,4",none,Schedule B is struck through with a diagonal line and the total cell carries a slashed zero (Ø) — zero-glyph ruling: promotes to 0.00. No itemized rows exist.
15,Mary Bishop,Recorder,raw/clerk_legacy/Bishop_M_Recorder_June14.pdf,39998d1a,contributions,12,1450.00,1450.00,True,+0.00,,"1,4",250dpi rotation,Exact reconciliation.
15,Mary Bishop,Recorder,raw/clerk_legacy/Bishop_M_Recorder_June14.pdf,39998d1a,expenditures,3,366.04,366.04,True,-0.00,,"1,5",250dpi rotation,Exact reconciliation.
16,Rob Latham,District Attorney,raw/clerk_legacy/rlatham_june202006amend.pdf,6edc810e,contributions,11,865.82,865.82,True,+0.00,,"1,3",none,Exact reconciliation.
16,Rob Latham,District Attorney,raw/clerk_legacy/rlatham_june202006amend.pdf,6edc810e,expenditures,10,985.27,985.27,True,+0.00,,"1,4",none,Exact reconciliation.
17,Joe Hatch,Council,raw/clerk_legacy/joehatch_april506amendment.pdf,b66d9548,contributions,23,5725.00,5725.00,True,+0.00,,"1,3,4",none,Spans 2 Schedule-A pages (2775+2950). Exact reconciliation.
17,Joe Hatch,Council,raw/clerk_legacy/joehatch_april506amendment.pdf,b66d9548,expenditures,7,1275.68,1275.68,True,+0.00,,"1,5",none,Exact reconciliation.
18,Michael Jensen,Council,raw/clerk_legacy/jensen_january312005.pdf,2145469a,contributions,3,1400.00,1400.00,True,+0.00,,"1,4",none,"Exact reconciliation. 11-page PDF; remaining pages are bank-statement attachments, not itemized further here."
18,Michael Jensen,Council,raw/clerk_legacy/jensen_january312005.pdf,2145469a,expenditures,0,,2043.85,,,Schedule B/attachment page not located within this pass's page range for this 11-page bundle; WITHHELD rather than guessed.,1,none,
19,Janice Auger,Council,raw/clerk_legacy/20_june_auger_janice06.pdf,3d07b3af,contributions,37,19875.85,19875.85,True,+0.00,,"1,3",none,Also the calibration-suite slco-superscript-cents specimen source. Typed born-digital sheet. Exact reconciliation.
19,Janice Auger,Council,raw/clerk_legacy/20_june_auger_janice06.pdf,3d07b3af,expenditures,18,19435.13,19435.13,True,+0.00,,"1,4",none,"Exact reconciliation. Date '2006-05-53' printed verbatim (invalid day, filer typo — not corrected)."
20,Jani Iwamoto,Council,raw/clerk_legacy/08_jiwamoto_april7.pdf,ee991932,contributions,17,8071.10,10070.00,False,-1998.90,,"1,4",250dpi rotation,"Names/rows LOW confidence — dense typed spreadsheet, small font, some cells partially illegible even at 250dpi (row order/exact spelling uncertain on ~6 of 17 rows). Printed page total ($10,070.00) independently legible and confirmed; itemized rows kept but flagged needs_review=1, verified=0 pending a further escalation pass."
20,Jani Iwamoto,Council,raw/clerk_legacy/08_jiwamoto_april7.pdf,ee991932,expenditures,8,271.28,271.28,True,+0.00,,"1,5",none,Exact reconciliation.
21,Sim Gill,District Attorney,raw/clerk_legacy/Gill_S_10_Sept_DA_Redacted.pdf,cc04f0b6,contributions,0,,65325.11,,,"~220 rows across 4 dense landscape spreadsheet pages (redacted addresses); full per-row transcription with bounding-box verification exceeds this pass's scope. Printed grand total ($65,325.11) independently legible and confirmed at the foot of page 8; itemized rows NOT transcribed.","4,5,6,7,8",none,
21,Sim Gill,District Attorney,raw/clerk_legacy/Gill_S_10_Sept_DA_Redacted.pdf,cc04f0b6,expenditures,58,73782.12,73782.12,True,+0.00,,"1,10",none,"Single dense typed page, high confidence. Exact reconciliation across 58 rows."
22,Jim Bradley,Council,raw/clerk_legacy/Bradley_J_12_Final_CouncilC_Redacted.pdf,622005c3,contributions,14,6250.00,6350.00,False,-100.00,,"1,4",none,"One row corrected on review ('Pett, Robert' misread as $100, corrected to $150). A $100 residual delta remains against the printed total after correction (candidate misread: 'My Apple Core Company' cell, plausibly $200 not $100) — not resolved within this pass. Kept as read; recon_delta recorded honestly rather than forced to match."
22,Jim Bradley,Council,raw/clerk_legacy/Bradley_J_12_Final_CouncilC_Redacted.pdf,622005c3,expenditures,0,,13514.52,,,Schedule B attachment page not located within this pass's page range for this 9-page bundle; WITHHELD rather than guessed.,1,none,
23,Mary Bishop,Recorder,raw/clerk_legacy/Bishop_Mary_Recorder_Oct14.pdf,dbbf9294,contributions,4,1875.00,1875.00,True,+0.00,,"1,3",none,Exact reconciliation.
23,Mary Bishop,Recorder,raw/clerk_legacy/Bishop_Mary_Recorder_Oct14.pdf,dbbf9294,expenditures,4,1855.36,1855.36,True,+0.00,,"1,4",none,Exact reconciliation (first digit of row1 amount confirmed '30.26' not '3D.26' via reconciliation).
24,Joe Hatch,Council,raw/clerk_legacy/joehatch_september1506amendment.pdf,c50cce42,contributions,31,7175.00,7175.00,True,+0.00,,"1,3,4,5",none,Spans 3 Schedule-A pages (5680+1445+50). Exact reconciliation.
24,Joe Hatch,Council,raw/clerk_legacy/joehatch_september1506amendment.pdf,c50cce42,expenditures,11,1906.00,1906.00,True,+0.00,,"1,6",none,First read of the Wells-Fargo bank-charge row was ambiguous ('$48' vs '$8'); resolved to $8.00 by reconciliation. Exact match.
25,Jennifer Wilson,Council,raw/clerk_legacy/jwilson_january312005.pdf,ca6e1fd8,contributions,22,9695.00,9695.00,True,+0.00,,"1,3",none,Single-page typed born-digital Schedule A ('Page 3 of 4' internal numbering). Exact reconciliation.
25,Jennifer Wilson,Council,raw/clerk_legacy/jwilson_january312005.pdf,ca6e1fd8,expenditures,33,18363.81,18363.81,True,+0.00,,"1,4",none,Exact reconciliation.
26,Jim Bradley,Council,raw/clerk_legacy/20_june_bradley_jim06.pdf,adfcf1a3,contributions,0,,14691.51,,,"~130 rows across 2 dense landscape typed pages; full per-row transcription with bounding-box verification exceeds this pass's scope. Printed total ($14,691.51) independently legible and confirmed at foot of page 5; itemized rows NOT transcribed.","4,5",none,
26,Jim Bradley,Council,raw/clerk_legacy/20_june_bradley_jim06.pdf,adfcf1a3,expenditures,13,2323.06,2323.06,True,+0.00,,"1,7",none,"Single clean typed page. Exact reconciliation (13 rows incl. 2 identical-vendor 'Community, Inc.' rows, kept distinct as printed)."
27,Jani Iwamoto,Council,raw/clerk_legacy/08_jiwamoto_cojunereport.pdf,0d921dc1,contributions,0,,24742.77,,,"~180 rows across at least 4 dense landscape typed pages; full per-row transcription with bounding-box verification exceeds this pass's scope. Printed grand total ($24,742.77) independently legible and confirmed at foot of page 7; itemized rows NOT transcribed.","4,5,6,7",none,
27,Jani Iwamoto,Council,raw/clerk_legacy/08_jiwamoto_cojunereport.pdf,0d921dc1,expenditures,39,20201.22,20201.22,True,+0.00,,"1,9",none,Single dense typed page. Exact reconciliation.
28,Randy Horiuchi,Council,raw/clerk_legacy/Horiuchi_R_10_Final_Amended_Redacted.pdf,f47866a4,contributions,6,5500.00,5500.00,True,+0.00,,"1,3,4",250dpi rotation,"Page 3 (handwritten cover Schedule A) carries a 2-row summary ('Randy Horiuchi $1,500 / Studsvik Inc $4,000') that also sums to $5,500 and appears to be a filer's own shorthand duplicate of the 6-row typed attachment on page 4, not additional distinct contributions — the typed attachment (unambiguous, exact reconciliation on its own) was used as canonical and page-3's handwritten summary was NOT separately counted, to avoid double-counting. Flagged as a genuine source ambiguity worth a second look."
28,Randy Horiuchi,Council,raw/clerk_legacy/Horiuchi_R_10_Final_Amended_Redacted.pdf,f47866a4,expenditures,7,6400.00,6400.00,True,+0.00,,"1,5",none,"Exact reconciliation (subtotal cell only; 'TOTAL EXPENDITURES MADE' cell left blank by filer, subtotal used)."
29,Jim Bradley,Council,raw/clerk_legacy/Bradley_J_12_June_Interim_CntyCncl_AtLrgC_Redacted.pdf,b6859fae,contributions,7,2364.00,2364.00,True,+0.00,,"1,4",none,Exact reconciliation.
29,Jim Bradley,Council,raw/clerk_legacy/Bradley_J_12_June_Interim_CntyCncl_AtLrgC_Redacted.pdf,b6859fae,expenditures,15,3988.29,4117.35,False,-129.06,,"1,6",none,"Computed sum is $129.06 short of the printed total. All 15 visible rows transcribed and cross-read at 250dpi; no additional row was found on the page, so either one amount cell is misread or a 16th row was missed in the dense rotated layout. Kept as read rather than padded to force a match; recon_delta recorded honestly."
30,Mary Bishop,Recorder,raw/clerk_legacy/Bishop_Mary_Recorder_Sept.pdf,a5e8390c,contributions,12,3675.00,3675.00,True,+0.00,,"1,5",250dpi rotation,Exact reconciliation.
30,Mary Bishop,Recorder,raw/clerk_legacy/Bishop_Mary_Recorder_Sept.pdf,a5e8390c,expenditures,13,5345.16,5345.16,True,+0.00,,"1,4",250dpi rotation,"First pass dropped a 'Draper Arts Council / Booth fee / $80.00' row, producing a $80 shortfall; recovered on re-check. Exact reconciliation across 13 rows once complete. The recovered row's date is illegible on the source (kept blank, needs_review=1 on that single row)."
