layer,description,publisher,url,api_endpoint,format,vintage,license,growth_relevance,notes
Eligible Opportunity Zones,Census tracts eligible/designated for the federal Opportunity Zone development-incentive program.,UGRC / Utah SGID,https://opendata.gis.utah.gov,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/Eligible_Opportunity_Zones/FeatureServer/0,ArcGIS FeatureServer,Federal OZ designation,CC BY 4.0 (UGRC/SGID),low,"156 eligible tracts in Utah County (filter COUNTYF='049'); 716 statewide. Development-incentive overlay (eligible/candidate tracts, not all federally designated)."
Enterprise Zones,Utah Enterprise Zone boundaries (state tax-credit economic-development areas).,UGRC / Utah SGID,https://opendata.gis.utah.gov,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/EnterpriseZones/FeatureServer/0,ArcGIS FeatureServer,Live service,CC BY 4.0 (UGRC/SGID),low,109 polygons statewide (rural + targeted areas); economic-development overlay.
Water-Related Land Use,Agricultural/water-related land-use and crop-type polygons in and around Utah (has a County field).,UGRC / Utah SGID (DWRe),https://gis.utah.gov,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/WaterRelatedLandUse/FeatureServer/0,ArcGIS FeatureServer,2021 edition,CC BY 4.0 (UGRC/SGID),low,Agricultural land use only (NOT urban zoning); filter County='UTAH'. Useful for ag-to-urban conversion questions along the Utah County urban fringe.
Utah County Municipal Boundaries,"County-maintained municipal (city/town) boundary polygons with NAME, TYPE, local FIPS, acreage, and per-feature data source.",Utah County GIS,https://utah-county-gis-maps-and-data-utahcounty.hub.arcgis.com/,https://services1.arcgis.com/9DapJHuwsEakbYuW/arcgis/rest/services/City_Boundaries/FeatureServer/0,ArcGIS FeatureServer,Layer last-edited 2025-03-18,Public -- Utah County GIS open data (no explicit license; attribute source),high,"26 municipal polygons, county-maintained. County twin of the SGID UtahMunicipalBoundaries; use whichever schema fits (SGID carries population)."
Utah County Cities (points),City label points (name only) for Utah County municipalities.,Utah County GIS,https://utah-county-gis-maps-and-data-utahcounty.hub.arcgis.com/,https://services1.arcgis.com/9DapJHuwsEakbYuW/arcgis/rest/services/cities/FeatureServer/0,ArcGIS FeatureServer,Layer last-edited 2022-03-07,Public -- Utah County GIS open data,low,28 city points; cartographic label layer only (Name field). Use City_Boundaries for polygons.
Utah County County Boundaries,Statewide county boundary polygons as maintained/hosted by Utah County GIS.,Utah County GIS,https://utah-county-gis-maps-and-data-utahcounty.hub.arcgis.com/,https://services1.arcgis.com/9DapJHuwsEakbYuW/arcgis/rest/services/CountyBoundaries/FeatureServer/0,ArcGIS FeatureServer,Layer last-edited 2021-09-17,Public -- Utah County GIS open data,low,29 county polygons (statewide copy); prefer SGID UtahCountyBoundaries. County extent for clipping.
Utah County City Blocks (plats),"Recorded subdivision/plat BLOCK polygons countywide (survey, plat, block, book/page references).",Utah County GIS (Recorder/Surveyor),https://utah-county-gis-maps-and-data-utahcounty.hub.arcgis.com/,https://services1.arcgis.com/9DapJHuwsEakbYuW/arcgis/rest/services/City_Blocks/FeatureServer/0,ArcGIS FeatureServer,Layer last-edited 2019-12-23,Public -- Utah County GIS open data,medium,"1,240 plat-block polygons (CITY_NAME, SURVEY_NAM, PLAT, BLOCK, BOOK/PAGE). Recorded-plat fabric -- a proxy for platted/subdivided land; NOT a live subdivision-application layer."
Utah County City Lots (plats),Recorded subdivision/plat LOT polygons countywide.,Utah County GIS (Recorder/Surveyor),https://utah-county-gis-maps-and-data-utahcounty.hub.arcgis.com/,https://services1.arcgis.com/9DapJHuwsEakbYuW/arcgis/rest/services/City_Lots/FeatureServer/0,ArcGIS FeatureServer,Layer last-edited 2019-12-23,Public -- Utah County GIS open data,medium,"7,852 plat-lot polygons (CITY_NAME, PLAT, BLOCK, LOT, BOOK/PAGE). Closest county-hosted proxy for subdivision/lot activity; the county publishes NO harmonized subdivision-boundary layer."
Utah County Redevelopment / CDA Areas,"Redevelopment Agency, Community Development, and tax-increment project-area boundaries countywide, with project name, town, tax district, inception and end year.",Utah County GIS,https://utah-county-gis-maps-and-data-utahcounty.hub.arcgis.com/,https://services1.arcgis.com/9DapJHuwsEakbYuW/arcgis/rest/services/Redevelopment_new/FeatureServer/0,ArcGIS FeatureServer,Layer last-edited 2026-02-02,Public -- Utah County GIS open data,high,"41 project areas (REDEV name, TOWN, YEAR_/LAST_YEAR tax-increment window). Development-incentive/tax-increment overlay -- a direct signal of subsidized growth by municipality."
Utah County Roads,County road network polylines.,Utah County GIS,https://utah-county-gis-maps-and-data-utahcounty.hub.arcgis.com/,https://services1.arcgis.com/9DapJHuwsEakbYuW/arcgis/rest/services/Utah_County_Roads/FeatureServer/0,ArcGIS FeatureServer,Continuously maintained,Public -- Utah County GIS open data,low,"923 road polylines; transportation frame (county-maintained roads, not a full address-range centerline)."
Utah County Townships (PLSS),Public Land Survey System township polygons for Utah County (township/range/base-meridian).,Utah County GIS,https://utah-county-gis-maps-and-data-utahcounty.hub.arcgis.com/,https://services1.arcgis.com/9DapJHuwsEakbYuW/arcgis/rest/services/Utah_County_Townships/FeatureServer/0,ArcGIS FeatureServer,Layer last-edited 2024-09-16,Public -- Utah County GIS open data,low,"100 PLSS townships (TOWNSHIP/RANGE/BASEMERIDIAN). Cadastral survey reference, not unincorporated municipal 'townships'."
Utah County PLSS Sections,Public Land Survey System section polygons countywide.,Utah County GIS,https://utah-county-gis-maps-and-data-utahcounty.hub.arcgis.com/,https://services1.arcgis.com/9DapJHuwsEakbYuW/arcgis/rest/services/PLSSSection/FeatureServer/0,ArcGIS FeatureServer,Continuously maintained,Public -- Utah County GIS open data,low,"2,297 PLSS sections; cadastral survey reference grid."
Utah County Travel Demand Model (2050),"Modeled roadway-segment results with lanes, volume, capacity, volume/capacity ratio and level-of-service for build and no-build 2050 scenarios (Transportation Master Plan travel-demand model).",Utah County GIS (Transportation Master Plan),https://utah-county-gis-maps-and-data-utahcounty.hub.arcgis.com/,https://services1.arcgis.com/9DapJHuwsEakbYuW/arcgis/rest/services/Travel_Demand_Model_Results/FeatureServer/0,ArcGIS FeatureServer,2050 model run (results dated 2026-06-19),Public -- Utah County GIS open data,medium,"28,010 roadway segments (vol_b50/cap_b50/los_b50 build vs vol_nb50 no-build). Future roadway loading tied to growth -- the closest county-published growth-projection GIS layer."
