specimen_id,entity,source_ref,page,what_it_tests,expected_json,evidence
washco-wrapped-ledger,washington_county,Lin Alder October 28 2008 ledger (raw/wayback_clerkpdf2008/),ledger,COMPLETENESS GATE negative control: wrapped rows + 'Various' dates — CORRECT ANSWER IS WITHHOLD (no counted sum) unless every money token provably consumed,"{""counted_sum"": ""WITHHELD"", ""reason"": ""completeness not provable""}","washington AVAILABILITY.md §completeness gate (:181,:195)"
utah-malformed-decimal,utah_county,"Ioannides-style malformed decimals ('23,744,71' / '23.744.71') — summit 24231 has the documented case",cover,"malformed decimal point = UNPARSEABLE-BLANK, never silently repaired (contrast the whitelisted comma repair)","{""value"": """", ""note"": ""unparseable, not repaired""}",summit CLAUDE.md filer-arithmetic section
utah-colAB-regime,utah_county,any legacy Column A/B filing,cover,"REGIME anchor: Column A = this period (promote), Column B = cumulative (keep as ytd_*, NEVER summed as increments)","{""promoted_column"": ""A""}",utah vision report 2026-08-02; utah CLAUDE.md
wasatch-field-shift,wasatch_county,"Woodard 2026-03 / Kellogg 2026-03 / Vance 2026-06 Table A (dates written '17 Jan 2026', '1.2.26', '5May26')",ledger,FIELD SHIFT: unusual date formats push the date token into the NAME column while amounts still sum EXACTLY to the printed total — reconciliation alone CANNOT catch it; the configuration must either assign columns correctly or WITHHOLD the side (>=50% shifted rows = withhold),"{""donor_raw_must_not_be"": [""17 Jan 2026"", ""1.2.26"", ""5May26""], ""acceptable"": ""correct columns OR withheld side""}",wasatch_county/campaign_finance/CLAUDE.md §born-digital itemized layer (Phase A sweep finding 2026-08-02)
summit-specimen-row,summit_county,raw/2022/20765_Langston-Post-Election-2022.pdf (contribution ledger),3,"TEMPLATE SPECIMEN ROW: the blank form ships a printed example contribution (Jon and Jane Doe, PO Box 128 Coalville, $435.00, dated 8/25/10 ON A 2022 FORM) and filers leave it in place -- here highlighted YELLOW by the filer. It is NOT a transaction. The correct answer is DROP, and the PROOF is arithmetic, not the highlight: the nine real rows sum to exactly 503.00 = the cover's Current Report contributions, while including the specimen gives 938.00. Also tests that a BLANK interleaved page (p2, p4, p6 carry no text and render blank) is not mistaken for a missing schedule","{""drop_row"": ""Jon and Jane Doe 435.00"", ""counted_sum"": ""503.00"", ""must_not_produce"": ""938.00"", ""proof"": ""the printed total closes ONLY without the specimen row""}",summit_county/campaign_finance/CLAUDE.md:415-418; page read + arithmetic 2026-08-18 (utah pre-flight suite growth)
utah-underline-band-offset,utah_county,raw/2014/2014_10-14Graves.pdf Schedule A (record _itemized_records/40bd7997.json),3,"GEOMETRY INDEXING on an UNDERLINE form (utah legacy_colAB): the writing sits ABOVE its printed rule, so data row N spans [rule N-1, rule N] and row 1 has NO rule above it (its band is extrapolated one pitch up). A frame that indexes row N to the band BELOW rule N points every row one row early -- a wrong pointer that no sum-level gate can see. Passing requires the two-crop proof, not a plausible band list","{""row1_band_pct"": ""16.02-20.07"", ""row1_crop_renders"": ""745.00"", ""row4_crop_renders"": ""180.75"", ""must_not_produce"": ""row 1 pointing at 300.00""}",utah_county Phase B wave 2026-08-18; two-crop proof at 500 dpi recorded in the frame measure_note of _itemized_records/40bd7997.json
utah-template-vintage-year,utah_county,"raw/2018/2018_COMA.Sakievich.pdf, 2018_Mccullough.pdf, 2018_SheriffDurfey.pdf",any,"NEGATIVE CONTROL against inferring a bound-in prior report from a year token: these 2018 filings are filed on a blank whose printed header reads '2016 County & Local School Board Candidates'. The form's printed year is the TEMPLATE VINTAGE, not the report's cycle. A configuration that reclassifies the cycle, or reports a bound-in 2016 report, FAILS","{""election_year"": ""2018"", ""bound_in_prior_report"": false, ""note"": ""form header year is the template vintage""}",utah_county corpus sweep 2026-08-18 (OCR sidecars + page read); same class as the weber stale-2022-template finding in LEADS.md
weber-wrong-column-pointer,weber_county,"the 4 records withdrawn by the 2026-08-17 resume audit (611f381e, a4ef7bda, b687614d, 44a69eb1)",ledger,"GEOMETRY NEGATIVE CONTROL: a frame whose `cell` band is the NAME column instead of the AMOUNT column. Every amount still sums EXACTLY to the printed anchor, so no arithmetic gate can see it, but every published pct: pointer aims at the donor name. Only a render-back of the stored box catches it. Correct answer: the two-crop proof FAILS and the frame is fixed or the geometry withheld -- never published","{""detect"": true, ""how"": ""render-back of the stored box shows the donor name, not the amount"", ""acceptable"": ""frame corrected OR geometry withheld""}",_backups/2026-08-14-weber-cf/workdir/CHUNK_BRIEF_ADDENDUM_2026-08-17.md sec A1; TODO [DEBT] rowbands entry
weber-swapped-cover-pair,weber_county,Katrina C. Gibson 2026 keys 76c91f61 / 8a163a02 (corrected at source 2026-08-17),cover,"CROSS-FILING CHAIN: two covers of the same filer in one cycle were transcribed under SWAPPED keys. Both were internally consistent, so NO arithmetic gate on either page could see it. Detection requires chaining Last-Report against the prior filing's Cumulative across a candidate's consecutive filings. Tests that a configuration checks the chain, not just the page","{""detect"": true, ""how"": ""Last-Report vs prior filing Cumulative chain break"", ""must_not_rely_on"": ""single-page arithmetic""}",_backups/2026-08-14-weber-cf/workdir/CHUNK_BRIEF_ADDENDUM_2026-08-17.md sec D; LEADS.md cross-county cover-chain sweep
weber-rtl-rows,weber_county,"weber rotated landscape Form A sheets (e.g. _remeasure/2613aa33.json, 4acceac4.json)",2-3,"ROTATED SHEET, ROWS RUNNING RIGHT-TO-LEFT: a landscape sheet rendered portrait with the rotation REVERSED -- columns run Date(top)/Name/Address/Amount(bottom) in rendered y, and rows advance along x in DESCENDING order, so a naive ascending band list reverses the ledger. Amounts still sum exactly. Tests axis handling and band ORDER","{""axis"": ""x"", ""band_order"": ""descending"", ""acceptable"": ""correct order OR geometry withheld""}","weber_county/campaign_finance/_remeasure/*.json measure_notes, 2026-08-18 lane G"
summit-swapped-pages,summit_county,"summit filings 1059, 23013, 24377",2-3,"PAGE POSITION IS NOT A CLASSIFIER: the EXPENSE schedule is bound on page 2 and the CONTRIBUTION schedule on page 3, the reverse of the family default. A configuration that assigns sides by page ordinal swaps the two ledgers wholesale","{""page2"": ""expenditures"", ""page3"": ""contributions"", ""rule"": ""classify each page from its own printed header""}",summit_county/campaign_finance/CLAUDE.md:419-420
