date,title,body,video_url,video_id,caption_type,source_url,retrieved_date,format,extraction_method,path,minutes_match,text_path
2020-01-06,"Vineyard City Council Swearing-in Ceremony January 6, 2020",city_council,https://www.youtube.com/watch?v=tKBfL9IelVM,tKBfL9IelVM,asr,https://www.youtube.com/watch?v=tKBfL9IelVM,2026-07-05,na,yt-dlp --flat-playlist channel enumeration; caption not downloaded (sample-only policy),,no,
2020-01-08,"January 8, 2020 Vineyard City Council Meeting",city_council,https://www.youtube.com/watch?v=uGFfkRqq4es,uGFfkRqq4es,asr,https://www.youtube.com/watch?v=uGFfkRqq4es,2026-07-05,caption,yt-dlp --write-auto-sub --sub-langs en (YouTube ASR),raw/2020-01-08.vtt,yes,text/2020-01-08.md
2020-01-08,"January 8, 2020 Vineyard Redevelopment Agency Board Meeting",rda,https://www.youtube.com/watch?v=wCcgRXR-IWs,wCcgRXR-IWs,asr,https://www.youtube.com/watch?v=wCcgRXR-IWs,2026-07-05,na,yt-dlp --flat-playlist channel enumeration; caption not downloaded (sample-only policy),,yes,
2020-01-15,"Planning Commission January 15, 2020",planning_commission,https://www.youtube.com/watch?v=lQnRTGEzplc,lQnRTGEzplc,asr,https://www.youtube.com/watch?v=lQnRTGEzplc,2026-07-05,na,yt-dlp --flat-playlist channel enumeration; caption not downloaded (sample-only policy),,no,
2020-02-12,"February 12, 2020 City Council Meeting",city_council,https://www.youtube.com/watch?v=zVyeiA2bw_0,zVyeiA2bw_0,asr,https://www.youtube.com/watch?v=zVyeiA2bw_0,2026-07-05,caption,yt-dlp --write-auto-sub --sub-langs en (YouTube ASR),raw/2020-02-12.vtt,yes,text/2020-02-12.md
2020-02-24,"February 24, 2020 Vineyard Planning Commission",planning_commission,https://www.youtube.com/watch?v=k5ILbMsCjFQ,k5ILbMsCjFQ,asr,https://www.youtube.com/watch?v=k5ILbMsCjFQ,2026-07-05,na,yt-dlp --flat-playlist channel enumeration; caption not downloaded (sample-only policy),,yes,
2020-03-04,"March 4, 2020 Vineyard Planning Commission",planning_commission,https://www.youtube.com/watch?v=jTx0NiBGM6w,jTx0NiBGM6w,asr,https://www.youtube.com/watch?v=jTx0NiBGM6w,2026-07-05,na,yt-dlp --flat-playlist channel enumeration; caption not downloaded (sample-only policy),,no,
2020-03-11,"March 11, 2020 Vineyard City Council",city_council,https://www.youtube.com/watch?v=5Zsn7plHBPM,5Zsn7plHBPM,asr,https://www.youtube.com/watch?v=5Zsn7plHBPM,2026-07-05,caption,yt-dlp --write-auto-sub --sub-langs en (YouTube ASR),raw/2020-03-11.vtt,yes,text/2020-03-11.md
2020-04-01,"April 1, 2020 Joint City Council and Planning Commission Meeting",joint_pc_council,https://www.youtube.com/watch?v=SobmGviO-Bo,SobmGviO-Bo,asr,https://www.youtube.com/watch?v=SobmGviO-Bo,2026-07-05,na,yt-dlp --flat-playlist channel enumeration; caption not downloaded (sample-only policy),,yes,
2020-04-08,"April 8, 2020 Vineyard City Council Meeting via Zoom",city_council,https://www.youtube.com/watch?v=9gV1Dm7XuuE,9gV1Dm7XuuE,asr,https://www.youtube.com/watch?v=9gV1Dm7XuuE,2026-07-05,caption,yt-dlp --write-auto-sub --sub-langs en (YouTube ASR),raw/2020-04-08.vtt,yes,text/2020-04-08.md
2020-08-26,"Vineyard City Council August 26, 2020",city_council,https://www.youtube.com/watch?v=A0vuuhMx8GE,A0vuuhMx8GE,asr,https://www.youtube.com/watch?v=A0vuuhMx8GE,2026-07-05,caption,yt-dlp --write-auto-sub --sub-langs en (YouTube ASR),raw/2020-08-26.vtt,yes,text/2020-08-26.md
2020-09-09,"Vineyard City Council September 9, 2020",city_council,https://www.youtube.com/watch?v=U_XLg8oHRj8,U_XLg8oHRj8,asr,https://www.youtube.com/watch?v=U_XLg8oHRj8,2026-07-05,caption,yt-dlp --write-auto-sub --sub-langs en (YouTube ASR),raw/2020-09-09.vtt,yes,text/2020-09-09.md
2020-09-16,"Vineyard Planning Commission Meeting September 16, 2020",planning_commission,https://www.youtube.com/watch?v=nZAV8xqdHgg,nZAV8xqdHgg,asr,https://www.youtube.com/watch?v=nZAV8xqdHgg,2026-07-05,na,yt-dlp --flat-playlist channel enumeration; caption not downloaded (sample-only policy),,no,
2020-09-23,"Vineyard City Council Meeting September 23, 2020",city_council,https://www.youtube.com/watch?v=g1HO_0BPXsA,g1HO_0BPXsA,asr,https://www.youtube.com/watch?v=g1HO_0BPXsA,2026-07-05,caption,yt-dlp --write-auto-sub --sub-langs en (YouTube ASR),raw/2020-09-23.vtt,yes,text/2020-09-23.md
2020-10-14,"Vineyard City Council Meeting October 14, 2020",city_council,https://www.youtube.com/watch?v=PbyhvOrAhjE,PbyhvOrAhjE,asr,https://www.youtube.com/watch?v=PbyhvOrAhjE,2026-07-05,caption,yt-dlp --write-auto-sub --sub-langs en (YouTube ASR),raw/2020-10-14.vtt,yes,text/2020-10-14.md
2020-10-21,"Vineyard City Planning Commission Meeting October 21, 2020",planning_commission,https://www.youtube.com/watch?v=bV6lmuEM5es,bV6lmuEM5es,asr,https://www.youtube.com/watch?v=bV6lmuEM5es,2026-07-05,na,yt-dlp --flat-playlist channel enumeration; caption not downloaded (sample-only policy),,no,
2020-10-28,"Vineyard City Council Meeting October 28, 2020",city_council,https://www.youtube.com/watch?v=UL0Sg86MoPQ,UL0Sg86MoPQ,asr,https://www.youtube.com/watch?v=UL0Sg86MoPQ,2026-07-05,caption,yt-dlp --write-auto-sub --sub-langs en (YouTube ASR),raw/2020-10-28.vtt,yes,text/2020-10-28.md
2020-11-04,"Vineyard City Planning Commission Meeting November 4, 2020",planning_commission,https://www.youtube.com/watch?v=R4N7jdJtw6U,R4N7jdJtw6U,asr,https://www.youtube.com/watch?v=R4N7jdJtw6U,2026-07-05,na,yt-dlp --flat-playlist channel enumeration; caption not downloaded (sample-only policy),,no,
2020-11-11,"Vineyard City City Council November 11, 2020",city_council,https://www.youtube.com/watch?v=92QKQeNPnS8,92QKQeNPnS8,asr,https://www.youtube.com/watch?v=92QKQeNPnS8,2026-07-05,na,yt-dlp --flat-playlist channel enumeration; caption not downloaded (sample-only policy),,yes,
2020-11-11,"Vineyard City City Council November 11, 2020",city_council,https://www.youtube.com/watch?v=Ord5_JprWOE,Ord5_JprWOE,asr,https://www.youtube.com/watch?v=Ord5_JprWOE,2026-07-05,na,yt-dlp --flat-playlist channel enumeration; caption not downloaded (sample-only policy),,yes,
2020-11-24,"Vineyard City City Council November 24, 2020",city_council,https://www.youtube.com/watch?v=WOQmXEW__Uo,WOQmXEW__Uo,asr,https://www.youtube.com/watch?v=WOQmXEW__Uo,2026-07-05,na,yt-dlp --flat-playlist channel enumeration; caption not downloaded (sample-only policy),,yes,
2020-12-02,"Vineyard City Planning Commission December 2, 2020",planning_commission,https://www.youtube.com/watch?v=heTsHFDunCM,heTsHFDunCM,asr,https://www.youtube.com/watch?v=heTsHFDunCM,2026-07-05,na,yt-dlp --flat-playlist channel enumeration; caption not downloaded (sample-only policy),,no,
2020-12-09,Vineyard City Council 12/9/2020,city_council,https://www.youtube.com/watch?v=aKJbZe6yZI4,aKJbZe6yZI4,asr,https://www.youtube.com/watch?v=aKJbZe6yZI4,2026-07-05,na,yt-dlp --flat-playlist channel enumeration; caption not downloaded (sample-only policy),,yes,
2020-12-09,Vineyard RDA 12/9/2020,rda,https://www.youtube.com/watch?v=tm5SBeHZJS0,tm5SBeHZJS0,asr,https://www.youtube.com/watch?v=tm5SBeHZJS0,2026-07-05,na,yt-dlp --flat-playlist channel enumeration; caption not downloaded (sample-only policy),,yes,
