title,chapter,chapter_title,section,heading,path,source_url,chapter_xml_url,retrieved_date,doc_class
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-208,Hearing and notice for petition to vacate a public street.,text/10-20/10-20-208.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S208.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-209,Notice challenge.,text/10-20/10-20-209.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S209.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-210,Notice to municipality when a private institution of higher education is constructing student housing.,text/10-20/10-20-210.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S210.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-211,Canal owner or operator -- Notice to municipality.,text/10-20/10-20-211.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S211.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-212,Notice for an amendment to public improvements in a subdivision or development.,text/10-20/10-20-212.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S212.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-213,Hearing and notice procedures for modifying sign regulations.,text/10-20/10-20-213.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S213.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-214,Notice of significant private airports.,text/10-20/10-20-214.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S214.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-301,Ordinance establishing planning commission required -- Ordinance requirements -- Compensation.,text/10-20/10-20-301.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S301.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-302,Planning commission powers and duties -- Training requirements.,text/10-20/10-20-302.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S302.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-303,Entrance upon land.,text/10-20/10-20-303.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S303.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-304,Political subdivisions required to conform to municipality's land use ordinances -- Exceptions.,text/10-20/10-20-304.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S304.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-305,State and federal property.,text/10-20/10-20-305.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S305.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-401,General plan required -- Content.,text/10-20/10-20-401.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S401.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-402,Information and technical assistance from the state.,text/10-20/10-20-402.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S402.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-403,Specific provisions for general plan -- Moderate income housing plan.,text/10-20/10-20-403.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S403.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-404,General plan preparation.,text/10-20/10-20-404.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S404.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-405,Public hearing by planning commission on proposed general plan or amendment -- Notice -- Revisions to general plan or amendment -- Adoption or rejection by legislative body.,text/10-20/10-20-405.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S405.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-406,Effect of general plan.,text/10-20/10-20-406.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S406.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-407,Public uses to conform to general plan.,text/10-20/10-20-407.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S407.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-408,Effect of official maps.,text/10-20/10-20-408.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S408.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-501,"Enactment of land use regulation, land use decision, or development agreement.",text/10-20/10-20-501.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S501.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-502,Preparation and adoption of land use regulation.,text/10-20/10-20-502.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S502.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-503,Land use ordinance or zoning map amendments.,text/10-20/10-20-503.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S503.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-504,Temporary land use regulations.,text/10-20/10-20-504.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S504.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-505,Zoning districts.,text/10-20/10-20-505.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S505.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-506,Conditional uses.,text/10-20/10-20-506.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S506.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-507,Classification of new and unlisted business uses.,text/10-20/10-20-507.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S507.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-508,Development agreements.,text/10-20/10-20-508.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S508.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-601,Local historic district or area.,text/10-20/10-20-601.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S601.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-602,Limit on single family designation.,text/10-20/10-20-602.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S602.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-603,Regulating annexed territory.,text/10-20/10-20-603.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S603.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-604,Private maintenance of public access amenities prohibited.,text/10-20/10-20-604.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S604.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-605,Transferable development rights.,text/10-20/10-20-605.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S605.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-606,Changes to rental dwelling units-- Egress windows.,text/10-20/10-20-606.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S606.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-607,Termination of a billboard and associated rights.,text/10-20/10-20-607.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S607.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-608,Municipality's acquisition of billboard by eminent domain -- Removal without providing compensation -- Limit on allowing nonconforming billboards to be rebuilt or replaced -- Validity of municipal permit after issuance of state permit.,text/10-20/10-20-608.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S608.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-609,Regulation of amateur radio antennas.,text/10-20/10-20-609.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S609.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-610,Regulation and licensing of residential facilities for persons with disabilities.,text/10-20/10-20-610.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S610.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-611,Wetlands.,text/10-20/10-20-611.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S611.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-612,Refineries.,text/10-20/10-20-612.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S612.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-613,High tunnels -- Exemption from municipal regulation.,text/10-20/10-20-613.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S613.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-614,"Cannabis production establishments, medical cannabis pharmacies, and industrial hemp producer licensee.",text/10-20/10-20-614.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S614.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-615,Specified public utility located in a municipal utility easement.,text/10-20/10-20-615.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S615.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-616,Utility service connections.,text/10-20/10-20-616.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S616.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-617,Infrastructure improvements involving roadways.,text/10-20/10-20-617.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S617.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-618,Regulation of building design elements prohibited -- Regulation of parking spaces prohibited -- Exceptions.,text/10-20/10-20-618.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S618.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-619,Water wise landscaping -- Municipal landscaping regulations.,text/10-20/10-20-619.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S619.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-620,Land use compatibility with military use.,text/10-20/10-20-620.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S620.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-621,Modular building.,text/10-20/10-20-621.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S621.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-622,Operation of a tower crane.,text/10-20/10-20-622.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S622.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-623,Residential rear setback limitations.,text/10-20/10-20-623.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S623.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-624,Digital asset mining -- Zoning restrictions.,text/10-20/10-20-624.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S624.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-625,Model homes and open houses.,text/10-20/10-20-625.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S625.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-626,Structure height.,text/10-20/10-20-626.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S626.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-701,Definitions.,text/10-20/10-20-701.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S701.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-702,Vested critical infrastructure materials use -- Presumption.,text/10-20/10-20-702.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S702.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-703,Rights of a critical infrastructure materials operator with a vested critical infrastructure materials use.,text/10-20/10-20-703.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S703.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-704,Abandonment of a vested critical infrastructure materials use.,text/10-20/10-20-704.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S704.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-801,Enactment of subdivision ordinance.,text/10-20/10-20-801.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S801.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-802,Planning commission preparation and recommendation of subdivision ordinance -- Adoption or rejection by legislative body.,text/10-20/10-20-802.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S802.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-803,"Plat required when land is subdivided -- Approval of plat -- Owner acknowledgment, surveyor certification, and underground utility facility owner verification of plat -- Recording plat.",text/10-20/10-20-803.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S803.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-804,Subdivision plat approval procedure -- Effect of not complying.,text/10-20/10-20-804.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S804.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-805,Process for subdivision review and approval.,text/10-20/10-20-805.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S805.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-806,Review of subdivision applications and subdivision improvement plans.,text/10-20/10-20-806.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S806.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-807,Subdivision plat recording or development activity before required landscaping or infrastructure is completed -- Improvement completion assurance -- Improvement warranty.,text/10-20/10-20-807.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S807.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-808,Exemptions from plat requirement.,text/10-20/10-20-808.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S808.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-809,Common area parcels on a plat -- No separate ownership -- Ownership interest equally divided among other parcels on plat and included in description of other parcels.,text/10-20/10-20-809.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S809.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-810,Dedication by plat of public streets and other public places.,text/10-20/10-20-810.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S810.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-811,Subdivision amendments.,text/10-20/10-20-811.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S811.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-812,Land use authority approval of vacation or amendment of plat -- Recording the amended plat.,text/10-20/10-20-812.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S812.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-813,Petition to vacate a public street.,text/10-20/10-20-813.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S813.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-814,Restrictions for solar and other energy devices.,text/10-20/10-20-814.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S814.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-815,Prohibited acts regarding subdivisions.,text/10-20/10-20-815.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S815.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-816,Notice of subdivision located near vested critical infrastructure materials operation.,text/10-20/10-20-816.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S816.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-901,Land use authority requirements -- Nature of land use decision.,text/10-20/10-20-901.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S901.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-902,Applicant's entitlement to land use application approval -- Municipality's requirements and limitations -- Vesting upon submission of development plan and schedule.,text/10-20/10-20-902.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S902.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-903,Historic preservation authority.,text/10-20/10-20-903.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S903.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-904,Limit on fees -- Requirement to itemize fees -- Appeal of fee -- Provider of culinary or secondary water.,text/10-20/10-20-904.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S904.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-905,Review for application completeness -- Substantive application review -- Reasonable diligence required for determination of whether improvements or warranty work meets standards -- Money damages claim prohibited.,text/10-20/10-20-905.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S905.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-906,Simple boundary adjustment -- Full boundary adjustment -- Process -- Review by land use authority.,text/10-20/10-20-906.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S906.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-907,Boundary establishment -- Process -- Boundary agreement not subject to review by land use authority -- Prohibitions.,text/10-20/10-20-907.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S907.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
