clip_id,motion_no,member,vote_value
100064,1,Collins,Nay
100064,2,DeFord,Abstain
100068,3,Ure,Abstain
100069,3,DeFord,Abstain
100070,5,Wharton,Abstain
100072,2,Lawson,Nay
100073,3,Ure,Abstain
100073,4,Ure,Abstain
100075,3,Clyde,Abstain
100076,2,Klingenstein,Abstain
100077,5,Clyde,Nay
100077,5,Ure,Nay
100078,2,Ure,Nay
100078,3,Wharton,Abstain
100078,5,Ure,Nay
100079,1,Lawson,Nay
100080,2,Hanson,Nay
100084,1,Cooke,Abstain
100085,2,Sargent,Abstain
100085,3,Sargent,Abstain
100086,3,Stevens,Abstain
100086,4,Stevens,Abstain
100092,1,Peck,Nay
100092,1,Harte,Nay
100099,1,Klingenstein,Nay
100103,6,Stevens,Abstain
100108,1,Harte,Aye
100108,1,Fine,Aye
100108,1,Klingenstein,Aye
100109,1,Clyde,Nay
100110,2,Cooke,Nay
100112,5,Stevens,Abstain
100116,1,Willoughby,Nay
100120,1,Klingenstein,Nay
100128,2,Dickey,Abstain
100129,2,Wheaton,Nay
100129,2,Clyde,Nay
100129,7,Wheaton,Nay
100129,8,Wheaton,Nay
100129,9,Wheaton,Nay
100129,10,Sonntag,Nay
100130,4,Wheaton,Abstain
100130,7,Clyde,Nay
100132,1,Clyde,Nay
100135,1,Dickey,Nay
100137,2,Harte,Nay
100137,2,Fine,Nay
100137,3,Harte,Nay
100137,3,Fine,Nay
100143,4,Hanson,Abstain
100144,4,Harte,Abstain
100145,1,Clyde,Nay
100147,3,Rydalch,Abstain
100151,2,Sargent,Abstain
100152,2,Cooke,Nay
100152,2,Fine,Nay
100152,3,Peck,Nay
100152,4,Cooke,Nay
100152,6,Peck,Abstain
100154,1,Clyde,Nay
100154,3,Wheaton,Nay
100156,4,Sargent,Nay
100158,1,Sonntag,Abstain
100158,2,Clyde,Abstain
100164,7,Benson,Abstain
100164,8,Benson,Abstain
100171,1,Sonntag,Abstain
100174,4,Wheaton,Nay
100179,2,Sonntag,Abstain
100190,1,Sargent,Abstain
100190,3,Wilde,Abstain
100191,3,Fine,Abstain
100191,4,Fine,Abstain
100194,1,Clyde,Nay
100196,5,Wheaton,Abstain
100199,1,Stevens,Nay
100199,1,Cooke,Nay
100199,1,Simons,Aye
100199,1,Kucera,Nay
100199,1,Harte,Nay
100199,1,Dickey,Nay
100199,1,Fine,Nay
100199,2,Stevens,Aye
100199,2,Fine,Aye
100199,2,Simons,Nay
100199,2,Cooke,Aye
100199,2,Harte,Aye
100199,2,Dickey,Aye
100199,2,Kucera,Aye
100201,3,Benson,Nay
100201,3,Sonntag,Abstain
100203,5,Sargent,Abstain
100204,5,Dickey,Abstain
100205,11,Cooke,Abstain
100216,2,Conabee,Abstain
100216,3,Conabee,Abstain
100219,2,Conabee,Abstain
100224,9,Conabee,Nay
100227,3,Clyde,Nay
100229,3,Peterson,Abstain
100229,4,Peterson,Abstain
100230,1,Peterson,Abstain
100232,1,Clyde,Nay
100236,2,Peterson,Abstain
100241,2,Hubler,Abstain
100242,4,Cooke,Nay
100242,7,Cooke,Abstain
100242,11,Hubler,Abstain
100244,5,Conabee,Abstain
100246,1,Cooke,Aye
100246,1,Mooney,Aye
100246,1,Conabee,Aye
100246,1,Fine,Nay
100246,2,Cooke,Aye
100246,2,Mooney,Aye
100246,2,Hubler,Aye
100246,2,Fine,Aye
100246,2,Conabee,Aye
100246,2,Kucera,Nay
100250,2,Benson,Aye
100250,2,Clyde,Aye
100250,2,Wheaton,Aye
100250,2,Sargent,Nay
100251,2,John Kucera,Aye
100251,2,Bruce Carmichael,Aye
100251,2,Chris Conabee,Aye
100251,2,Thomas Cooke,Nay
100251,2,Joel Fine,Nay
100251,2,DJ Hubler,Nay
100251,3,Thomas Cooke,Aye
100251,3,DJ Hubler,Aye
100251,3,Tyann Mooney,Aye
100251,3,John Kucera,Nay
100251,3,Bruce Carmichael,Nay
100251,3,Chris Conabee,Nay
100251,4,Thomas Cooke,Aye
100251,4,Joel Fine,Aye
100251,4,John Kucera,Nay
100251,4,Bruce Carmichael,Nay
100251,4,Chris Conabee,Nay
100251,4,DJ Hubler,Nay
100251,5,John Kucera,Aye
100251,5,Bruce Carmichael,Aye
100251,5,Chris Conabee,Aye
100251,5,DJ Hubler,Aye
100251,5,Tyann Mooney,Aye
100251,5,Thomas Cooke,Nay
100251,5,Joel Fine,Nay
100254,3,Don Sargent,Abstain
100254,4,Don Sargent,Abstain
100259,1,Alex Peterson,Abstain
100260,4,Thomas Cooke,Abstain
100261,1,Clint Benson,Abstain
100261,2,Clint Benson,Abstain
100261,3,Clint Benson,Abstain
100261,4,Clint Benson,Abstain
100261,5,Rich Sonntag,Abstain
100261,6,Darcey,Abstain
100261,6,Clint Benson,Abstain
100261,7,Sargent,Abstain
100261,7,Clint Benson,Abstain
100262,2,John Kucera,Abstain
100264,1,Bill Wilde,Abstain
100264,3,Wheaton,Abstain
100264,3,Marion Wheaton,Abstain
100265,2,Makena Hawley,Abstain
100265,3,Christopher Conabee,Abstain
100267,3,Tyann Mooney,Abstain
100268,3,John Kucera,Abstain
100269,1,David Darcey,Abstain
100271,1,Wilde,Abstain
100271,1,David Darcey,Abstain
100272,2,Thomas Cooke,Abstain
100272,3,DJ Hubler,Abstain
100274,3,Tyann Mooney,Aye
100274,3,John Kucera,Aye
100274,3,Makena Hawley,Aye
100274,3,Bruce Carmichael,Aye
100274,3,Thomas Cooke,Aye
100274,3,DJ Hubler,Nay
100275,2,Sargent,Abstain
100275,2,Don Sargent,Abstain
100278,1,Christopher Conabee,Abstain
100281,2,Benson,Abstain
100281,2,Clinton Benson,Abstain
100282,2,Sargent,Abstain
100282,2,Don Sargent,Abstain
100283,3,Christopher Conabee,Abstain
100283,4,Thomas Cooke,Abstain
100283,5,Christopher Conabee,Abstain
100286,9,Makena Hawley,Abstain
100287,3,Rich Sonntag,Abstain
100289,1,Rich Sonntag,Abstain
100289,4,Don Sargent,Abstain
100292,5,Makena Hawley,Aye
100292,5,DJ Hubler,Aye
100292,5,Tyann Mooney,Nay
100292,5,John Kucera,Nay
100292,5,Bruce Carmichael,Nay
100292,5,Christopher Conabee,Nay
100292,5,Thomas Cooke,Nay
100302,3,Tyann Mooney,Abstain
100304,4,Makena Hawley,Abstain
100304,5,Matthew Nagie,Abstain
100307,4,Tyann Mooney,Aye
100307,4,Makena Hawley,Aye
100307,4,Bruce Carmichael,Aye
100307,4,Christopher Conabee,Aye
100307,4,Thomas Cooke,Nay
100308,2,Rich Sonntag,Abstain
100308,7,Alex Peterson,Abstain
100309,2,Tyann Mooney,Aye
100309,2,Makena Hawley,Aye
100309,2,Bruce Carmichael,Aye
100309,2,Thomas Cooke,Aye
100309,2,DJ Hubler,Aye
100309,2,Matthew Nagie,Aye
100309,2,Christopher Conabee,Nay
100311,4,DJ Hubler,Abstain
100313,8,Matthew Nagie,Abstain
100313,9,Thomas Cooke,Abstain
100313,10,Bruce Carmichael,Abstain
100314,2,Bill Wilde,Aye
100314,2,Rich Sonntag,Aye
100314,2,David Darcey,Aye
100314,2,Marion Wheaton,Aye
100314,2,Clinton Benson,Nay
100316,1,Tyann Mooney,Abstain
100318,1,Tyann Mooney,Aye
100318,1,Bruce Carmichael,Aye
100318,1,Christopher Conabee,Aye
100318,1,Matthew Nagie,Aye
100318,1,Makena Hawley,Nay
100318,1,Thomas Cooke,Nay
100318,1,Megan Recher,Nay
100318,2,Matthew Nagie,Abstain
100318,4,Tyann Mooney,Aye
100318,4,Makena Hawley,Aye
100318,4,Bruce Carmichael,Aye
100318,4,Christopher Conabee,Aye
100318,4,Matthew Nagie,Aye
100318,4,Megan Recher,Aye
100318,4,Thomas Cooke,Nay
100319,3,Matthew Nagie,Abstain
100321,2,Don Sargent,Abstain
100321,3,Don Sargent,Abstain
100321,4,Rich Sonntag,Abstain
100322,1,Makena Hawley,Aye
100322,1,Megan Recher,Aye
100322,1,Tyann Mooney,Nay
100322,1,Thomas Cooke,Nay
100322,1,Matthew Nagie,Nay
100322,5,Bruce Carmichael,Abstain
100322,6,Bruce Carmichael,Abstain
100322,7,Tyann Mooney,Abstain
100322,8,Makena Hawley,Abstain
100322,9,Thomas Cooke,Abstain
100322,10,Thomas Cooke,Abstain
100324,3,Bruce Carmichael,Abstain
100325,4,Bill Wilde,Abstain
100327,1,Bruce Carmichael,Abstain
100327,4,Tyann Mooney,Abstain
100328,1,Clinton Benson,Abstain
100331,3,Tyann Mooney,Abstain
100332,2,David Darcey,Aye
100332,2,Marion Wheaton,Aye
100332,2,Bridget Hayes,Aye
100332,2,Bill Wilde,Nay
100332,3,Bridget Hayes,Abstain
100333,4,Heather Peteroy,Abstain
100336,4,Alex Peterson,Abstain
100339,1,Tyann Mooney,Aye
100339,1,Makena Hawley,Aye
100339,1,Matthew Nagie,Aye
100339,1,Spencer Young,Aye
100339,1,Heather Peteroy,Aye
100339,1,Eric Sagerman,Aye
100339,1,Tim Jeffrey,Nay
100339,4,Tyann Mooney,Abstain
100340,5,Bill Wilde,Aye
100340,5,David Darcey,Aye
100340,5,Alex Peterson,Aye
100340,5,Seth Bowen,Aye
100340,5,Bridget Hayes,Nay
100340,6,David Darcey,Abstain
100340,7,Alex Peterson,Abstain
100342,3,Matthew Nagie,Abstain
100342,5,Makena Hawley,Abstain
100343,3,Heather Peteroy,Abstain
100344,5,Marion Wheaton,Abstain
100345,1,David Darcey,Aye
100345,1,Bridget Hayes,Aye
100345,1,Bill Wilde,Nay
100345,1,Marion Wheaton,Nay
100345,1,Seth Bowen,Nay
100345,2,Bill Wilde,Aye
100345,2,David Darcey,Aye
100345,2,Marion Wheaton,Aye
100345,2,Bridget Hayes,Aye
100345,2,Seth Bowen,Nay
100349,2,Alex Peterson,Aye
100349,2,Bille Wilde,Aye
100349,2,Don Sargent,Aye
100349,2,Seth Bowen,Aye
100349,2,David Darcey,Nay
100352,3,Makena Hawley,Abstain
100353,4,Bill Wilde,Aye
100353,4,Alex Peterson,Aye
100353,4,Bridget Hayes,Aye
100353,4,David Darcey,Nay
100353,4,Marion Wheaton,Nay
100353,5,Alex Peterson,Abstain
100353,6,Wheaton,Abstain
100354,3,Tyann Mooney,Abstain
100357,2,Tyann Mooney,Aye
100357,2,Makena Hawley,Aye
100357,2,Spencer Young,Aye
100357,2,Tim Jeffrey,Aye
100357,2,Heather Peteroy,Aye
100357,2,Matthew Nagie,Nay
100358,1,Makena Hawley,Aye
100358,1,Spencer Young,Aye
100358,1,Tim Jeffrey,Aye
100358,1,Heather Peteroy,Aye
100358,1,Tyann Mooney,Nay
100358,1,Eric Sagerman,Nay
100358,5,Tim Jeffrey,Abstain
100360,4,Tim Jeffrey,Abstain
100360,5,Matthew Nagie,Abstain
100361,5,Don Sargent,Abstain
100364,1,Eric Sagerman,Abstain
100364,3,Makena Hawley,Abstain
100366,2,Heather Peteroy,Aye
100366,2,Makena Hawley,Aye
100366,2,Eric Sagerman,Aye
100366,2,Spencer Young,Aye
100366,2,Matthew Nagie,Aye
100366,2,Tyann Mooney,Aye
100366,2,Tim Jeffrey,Nay
100367,2,Don Sargent,Abstain
100373,1,Don Sargent,Aye
100373,1,Alex Peterson,Aye
100373,1,Bridget Hayes,Aye
100373,1,Paul Wells,Aye
100373,1,David Darcey,Nay
100375,2,David Darcey,Aye
100375,2,Alex Peterson,Aye
100375,2,Paul Weller,Aye
100375,2,Bridget Hayes,Nay
