clip_id,date,body,motion_no,motion_text,motion_type,result_raw,outcome,mover,seconder,aye,nay,names_recorded,source_file
100006,2015-02-05,Eastern Summit County Planning Commission,7,adjourn,,(7 – 0),Pass,Hanson,,7,0,0,land_use/minutes/2015/2015-02-05_eastern_summit_pc.md
100007,2015-02-10,Snyderville Basin Planning Commission,1,"approve the Conditional Use Permit for the proposed accessory building at 1495 Red Hawk Trail with the following findings of fact, conclusions of law, and conditions of approval as shown in the staff report, with the addition of a condition that no commercial operation shall occur in the arena: Findings of Fact: 1",,,,Franklin,Klingenstein,,,0,land_use/minutes/2015/2015-02-10_snyderville_basin_pc.md
100007,2015-02-10,Snyderville Basin Planning Commission,2,"approve the interconnect gondola lift with related ski improvements with the following findings of fact, conclusions of law, and conditions of approval outlined in the staff report dated February 10, 2105, with the addition of two conditions stating that cabins, towers, assemblies, and all three terminals shall be in the colors and galvanized finish and non-reflective tinted glass materials as described in this meeting and that approval by Park City Municipal Corporation that would substantially modify the County’s approval as determined by the Community Development Director may require follow-up review and approval by the Snyderville Basin Planning Commission: Findings of Fact: 1",,,,Klingenstein,Franklin,,,0,land_use/minutes/2015/2015-02-10_snyderville_basin_pc.md
100007,2015-02-10,Snyderville Basin Planning Commission,3,"forward a positive recommendation on the Snyderville Basin General Plan, Phase II, to the Summit County Council",,,Pass,Franklin,Klingenstein,,,0,land_use/minutes/2015/2015-02-10_snyderville_basin_pc.md
100007,2015-02-10,Snyderville Basin Planning Commission,4,continue with the rest of the agenda since it is past 10:00 p.m,,,,Franklin,,,,0,land_use/minutes/2015/2015-02-10_snyderville_basin_pc.md
100007,2015-02-10,Snyderville Basin Planning Commission,5,"approve the minutes of the December 16, 2014, Snyderville Basin Planning Commission meeting as written",,,,Franklin,Barnes,,,0,land_use/minutes/2015/2015-02-10_snyderville_basin_pc.md
100008,2015-02-19,Eastern Summit County Planning Commission,1,"approve the CUP for Rocky Mountain Power from Croyden to Pole 3.1 with the Findings of Fact, Conditions of Approval, and Conclusions of Law as stated in the Staff Report",,(7 – 0),Pass,Ure,Clyde,7,0,0,land_use/minutes/2015/2015-02-19_eastern_summit_pc.md
100008,2015-02-19,Eastern Summit County Planning Commission,2,,,,Pass,,Wharton,,,0,land_use/minutes/2015/2015-02-19_eastern_summit_pc.md
100008,2015-02-19,Eastern Summit County Planning Commission,3,,,,Pass,,Wharton,,,0,land_use/minutes/2015/2015-02-19_eastern_summit_pc.md
100008,2015-02-19,Eastern Summit County Planning Commission,4,adjourn,,,Pass,Wharton,,,,0,land_use/minutes/2015/2015-02-19_eastern_summit_pc.md
100009,2015-03-03,Snyderville Basin Planning Commission,1,"forward a positive recommendation to the Summit County Council pursuant to the following findings of fact and conclusions of law found in the staff report dated March 3, 2015: Findings of Fact : 1",,,Pass,Peck,Barnes,,,0,land_use/minutes/2015/2015-03-03_snyderville_basin_pc.md
100009,2015-03-03,Snyderville Basin Planning Commission,2,"approve the minutes of the January 13, 2015, Snyderville Basin Planning Commission meeting as written",,,Pass,Lawson,Peck,,,1,land_use/minutes/2015/2015-03-03_snyderville_basin_pc.md
100009,2015-03-03,Snyderville Basin Planning Commission,3,"approve the minutes of the January 27, 2015, Snyderville Basin Planning Commission meeting as written",,,,Lawson,Barnes,,,0,land_use/minutes/2015/2015-03-03_snyderville_basin_pc.md
100010,2015-03-05,Eastern Summit County Planning Commission,1,approve the minutes as corrected,,(6 - 0),Pass,Wharton,,6,0,0,land_use/minutes/2015/2015-03-05_eastern_summit_pc.md
100010,2015-03-05,Eastern Summit County Planning Commission,2,approve the minutes as written,,(5 - 0),Pass,Hanson,,5,0,1,land_use/minutes/2015/2015-03-05_eastern_summit_pc.md
100010,2015-03-05,Eastern Summit County Planning Commission,3,adjourn,,(6 – 0),Pass,Clyde,,6,0,0,land_use/minutes/2015/2015-03-05_eastern_summit_pc.md
100012,2015-03-19,Eastern Summit County Planning Commission,1,approve the minutes as corrected,,(5 – 0),Pass,Ure,Clyde,5,0,1,land_use/minutes/2015/2015-03-19_eastern_summit_pc.md
100012,2015-03-19,Eastern Summit County Planning Commission,2,adjourn,,,Pass,Ure,,,,0,land_use/minutes/2015/2015-03-19_eastern_summit_pc.md
100013,2015-03-24,Snyderville Basin Planning Commission,1,continue the public hearing and possible action regarding a plat amendment to combine two parcels in Silver Creek to a date uncertain,,,Pass,Franklin,,,,0,land_use/minutes/2015/2015-03-24_snyderville_basin_pc.md
100013,2015-03-24,Snyderville Basin Planning Commission,2,"forward a positive recommendation to the Summit County Council for the proposed plat amendment to realign Oakridge Drive, 1682 East Oakridge Drive, Parcel SL-A-31, with the Snyderville Basin Planning Commission Regular Meeting March 24, 2015 Page 4 of 7 following findings of fact, conclusions of law, and conditions of approval contained in the staff report: Findings of Fact: 1",,,Pass,Lawson,Barnes,,,0,land_use/minutes/2015/2015-03-24_snyderville_basin_pc.md
100014,2015-04-02,Eastern Summit County Planning Commission,1,elect Chris Ure as Chair,,(7-0),Pass,Clyde,Hanson,7,0,0,land_use/minutes/2015/2015-04-02_eastern_summit_pc.md
100014,2015-04-02,Eastern Summit County Planning Commission,2,elect Tonja Hanson as Vice Chair,,(7-0),Pass,Vernon,Henrie,7,0,0,land_use/minutes/2015/2015-04-02_eastern_summit_pc.md
100014,2015-04-02,Eastern Summit County Planning Commission,3,send a positive recommendation to the County Council that they approve amendment 11-7-5.1 as outlined and d-1 as outlined,,(2 - 5),Fail,Hanson,Clyde,2,5,1,land_use/minutes/2015/2015-04-02_eastern_summit_pc.md
100014,2015-04-02,Eastern Summit County Planning Commission,4,reopen the public hearing to be rescheduled for the next meeting,,(7 – 0),Pass,Wharton,Willoughby,7,0,0,land_use/minutes/2015/2015-04-02_eastern_summit_pc.md
100014,2015-04-02,Eastern Summit County Planning Commission,5,this area two years ago,,,,,,,,0,land_use/minutes/2015/2015-04-02_eastern_summit_pc.md
100014,2015-04-02,Eastern Summit County Planning Commission,6,approve this application because: 1,,(6 – 1),Pass,Henrie,Wharton,6,1,1,land_use/minutes/2015/2015-04-02_eastern_summit_pc.md
100014,2015-04-02,Eastern Summit County Planning Commission,7,approve the minutes as corrected,,(5 - 0),Pass,Hanson,Clyde,5,0,1,land_use/minutes/2015/2015-04-02_eastern_summit_pc.md
100014,2015-04-02,Eastern Summit County Planning Commission,8,approve the minutes as corrected,,(5 - 0),Pass,Vernon,Wharton,5,0,1,land_use/minutes/2015/2015-04-02_eastern_summit_pc.md
100014,2015-04-02,Eastern Summit County Planning Commission,9,adjourn,,,Pass,Hanson,,,,0,land_use/minutes/2015/2015-04-02_eastern_summit_pc.md
100015,2015-04-28,Snyderville Basin Planning Commission,1,,,,Pass,,Barnes,,,0,land_use/minutes/2015/2015-04-28_snyderville_basin_pc.md
100015,2015-04-28,Snyderville Basin Planning Commission,2,"approve the Conditional Use Permit for an addition to an existing school at 3120 Pinebrook Road with the following Findings of Fact, Conclusions of Law, and Conditions of Approval shown in the staff report: 1",,,Pass,Harte,Peck,,,0,land_use/minutes/2015/2015-04-28_snyderville_basin_pc.md
100015,2015-04-28,Snyderville Basin Planning Commission,3,"approve the minutes of the March 3, 2015, Snyderville Basin Planning Commission meeting as written",,,,Lawson,Peck,,,1,land_use/minutes/2015/2015-04-28_snyderville_basin_pc.md
100015,2015-04-28,Snyderville Basin Planning Commission,4,"approve the minutes of the March 10, 2015, Snyderville Basin Planning Commission meeting as written",,,Pass,Peck,Harte,,,1,land_use/minutes/2015/2015-04-28_snyderville_basin_pc.md
100016,2015-05-07,Eastern Summit County Planning Commission,1,"amend the proposed Ordinance 11.7.5 Section A.1 with the following changes: Insert the word ""not"" so that it would read: ""...inclusive of the whole of the county and not encompassing the municipalities of..."" In regards to Section D.1 which addresses membership and eligibility, he would like that to read as ""...no more than two of which may be residents of the municipalities of Henefer, Coalville, Oakley, Kamas, and Francis."" Planner Strader said a change to Letter C would be required in order for this motion to be consistent with the other language",,(4 - 2),Pass,Wharton,Henrie,4,2,1,land_use/minutes/2015/2015-05-07_eastern_summit_pc.md
100016,2015-05-07,Eastern Summit County Planning Commission,2,"approve the Chandler Barn Conditional Use Permit based on the Findings of Fact, Conclusions of Law, and subject to the Conditions of Approval as outlined in the Staff Report",,(5 - 0),Pass,Henrie,Willoughby,5,0,1,land_use/minutes/2015/2015-05-07_eastern_summit_pc.md
100016,2015-05-07,Eastern Summit County Planning Commission,3,"approve the Bobrowsky conditional use permit according to the findings of facts, conclusions of law, and conditions of approval as outlined in the Staff Report, with the additional condition that the driveway to the barn must meet Summit County Engineering Department's approval",,(6 - 0),Pass,Henrie,Vernon,6,0,0,land_use/minutes/2015/2015-05-07_eastern_summit_pc.md
100016,2015-05-07,Eastern Summit County Planning Commission,4,"send a positive recommendation to the Community Development Director for the Winters Minor Subdivision with the findings of fact, conclusions of law, and conditions of approval with Condition #3 being amended to say ""The remaining 8.84 acres is not within the subdivision plat",,(6 - 0),Pass,Willoughby,Henrie,6,0,0,land_use/minutes/2015/2015-05-07_eastern_summit_pc.md
100016,2015-05-07,Eastern Summit County Planning Commission,5,approve the minutes as corrected,,(5 - 0),Pass,Vernon,Wharton,5,0,1,land_use/minutes/2015/2015-05-07_eastern_summit_pc.md
100016,2015-05-07,Eastern Summit County Planning Commission,6,approve the minutes as written,,(5 - 0),Pass,Wharton,Clyde,5,0,1,land_use/minutes/2015/2015-05-07_eastern_summit_pc.md
100016,2015-05-07,Eastern Summit County Planning Commission,7,adjourn,,,Pass,Clyde,,,,0,land_use/minutes/2015/2015-05-07_eastern_summit_pc.md
100017,2015-05-12,Snyderville Basin Planning Commission,1,"approve the minutes of the February 10, 2015, Snyderville Basin Planning Commission meeting as written",,,,Klingenstein,DeFord,,,0,land_use/minutes/2015/2015-05-12_snyderville_basin_pc.md
100017,2015-05-12,Snyderville Basin Planning Commission,2,"approve the minutes of the March 24, 2015, Snyderville Basin Planning Commission meeting as written",,,Pass,DeFord,Lawson,,,0,land_use/minutes/2015/2015-05-12_snyderville_basin_pc.md
100018,2015-05-21,Eastern Summit County Planning Commission,1,approve the minutes as corrected,,(5 – 0),Pass,Hanson,Henrie,5,0,1,land_use/minutes/2015/2015-05-21_eastern_summit_pc.md
100018,2015-05-21,Eastern Summit County Planning Commission,2,approve the minutes as corrected,,(4 – 0),Pass,Henrie,Wharton,4,0,1,land_use/minutes/2015/2015-05-21_eastern_summit_pc.md
100018,2015-05-21,Eastern Summit County Planning Commission,3,adjourn,,(6-0),Pass,Hanson,,6,0,0,land_use/minutes/2015/2015-05-21_eastern_summit_pc.md
100019,2015-05-26,Snyderville Basin Planning Commission,1,"approve the minutes of the April 28, 2015, Snyderville Basin Planning Commission meeting as written",,,Pass,Peck,Harte,,,1,land_use/minutes/2015/2015-05-26_snyderville_basin_pc.md
100020,2015-06-04,Eastern Summit County Planning Commission,1,approve the minutes as corrected,,(5 – 0),Pass,Hanson,Willoughby,5,0,0,land_use/minutes/2015/2015-06-04_eastern_summit_pc.md
100020,2015-06-04,Eastern Summit County Planning Commission,2,adjourn,,,Pass,Hanson,,,,0,land_use/minutes/2015/2015-06-04_eastern_summit_pc.md
100021,2015-06-09,Snyderville Basin Planning Commission,1,"approve the Colony at White Pine Canyon Phase 4C Lower West Monitor Subdivision Plat with the following findings of fact, conclusions of law, and conditions of approval outlined in the staff report: Findings of Fact: 1",,,,Harte,Klingenstein,,,0,land_use/minutes/2015/2015-06-09_snyderville_basin_pc.md
100021,2015-06-09,Snyderville Basin Planning Commission,2,"approve the Colony at White Pine Canyon Phase 4C Upper West Monitor Final Subdivision Plat with the following findings of fact, conclusions of law, and conditions of approval outlined in the staff report: Findings of Fact: 1",,,Pass,Harte,Barnes,,,0,land_use/minutes/2015/2015-06-09_snyderville_basin_pc.md
100022,2015-06-18,Eastern Summit County Planning Commission,1,"approve the Rees barn conditional use permit with the findings of fact and conclusions of law as was stated in the Staff Report and with Eastern Summit County Planning Commission Regular Meeting June 18, 2015 Page 4 of 23 the conditions of approval as amended",,(7 – 0),Pass,Ure,Wharton,7,0,0,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
100022,2015-06-18,Eastern Summit County Planning Commission,2,"approve the conditional use permit with the findings of fact, conclusions of law, and conditions of approval as outlined in the Eastern Summit County Planning Commission Regular Meeting June 18, 2015 Page 7 of 23 Staff Report, but adding a fourth condition that whenever possible “Summit County Animal Control will use secondary water to clean the kennels and maintain the facility for the animals.”",,(7 – 0),Pass,Hanson,Wharton,7,0,0,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
100022,2015-06-18,Eastern Summit County Planning Commission,3,approve the minutes as corrected,,(6 -0),Pass,Willoughby,Clyde,6,0,0,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
100022,2015-06-18,Eastern Summit County Planning Commission,4,East Canyon Road from Henefer Township to the Summit County line be mapped as AG-1,,(3-4),Fail,Vernon,,3,4,1,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
100022,2015-06-18,Eastern Summit County Planning Commission,5,East Canyon Road from Henefer Township to the Summit County line be mapped AG-1 at 250 feet wide,,,,Wharton,,,,0,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
100022,2015-06-18,Eastern Summit County Planning Commission,6,East Canyon Road should be mapped in the AG-40 zone as currently designated,,(3-4),Fail,Hanson,Clyde,3,4,1,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
100022,2015-06-18,Eastern Summit County Planning Commission,7,East Canyon Road from the Henefer ADA to the Summit County line be mapped in AG-1 zone,,(5-2),Pass,Vernon,Henrie,5,2,1,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
100022,2015-06-18,Eastern Summit County Planning Commission,8,"the AG-1 zone will be 500 feet from the centerline of the road, throughout Eastern Summit County",,(5-2),Pass,Vernon,Willoughby,5,2,0,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
100022,2015-06-18,Eastern Summit County Planning Commission,9,the road from Henefer to the Echo corner be mapped as AG-1,,(5-2),Pass,Willoughby,Vernon,5,2,1,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
100022,2015-06-18,Eastern Summit County Planning Commission,10,the balance of all roads in Henefer be mapped as AG-1,,(5-2),Pass,Clyde,Wharton,5,2,1,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
100022,2015-06-18,Eastern Summit County Planning Commission,11,map the AG-6 zone in the ADA of Henefer excluding the riparian river bottom land,,(3-4),Fail,Hanson,Wharton,3,4,0,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
100022,2015-06-18,Eastern Summit County Planning Commission,12,map the entire Henefer ADA in AG-6 that is not in the AG-1,,(3-4),Fail,Vernon,Willoughby,3,4,0,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
100022,2015-06-18,Eastern Summit County Planning Commission,13,delay deciding about the river areas,,,,Willoughby,,,,0,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
100022,2015-06-18,Eastern Summit County Planning Commission,14,"everything north of the freeway, within Henefer Town’s ADA, be mapped as AG-6",,(4-3),Pass,Willoughby,,4,3,1,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
100022,2015-06-18,Eastern Summit County Planning Commission,15,map the “triangle area” of Henefer as AG-6,,(5-2),Pass,Henrie,Willoughby,5,2,1,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
100022,2015-06-18,Eastern Summit County Planning Commission,16,map everything within the ADA to the north of Henefer and to the south of the County road as AG-6,,(5-2),Pass,Wharton,Willoughby,5,2,1,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
100022,2015-06-18,Eastern Summit County Planning Commission,17,everything to the south of the freeway be mapped as AG-20,,(6-1),Pass,Wharton,Willoughby,6,1,1,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
100022,2015-06-18,Eastern Summit County Planning Commission,18,map AG-20 zoning from the lake edge to the line of the ADA,,(3-4),Fail,Hanson,Clyde,3,4,1,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
100022,2015-06-18,Eastern Summit County Planning Commission,19,map the AG-1 zone along the County road from the lake front to the dotted line on Staff’s map and to the Coalville City limits,,(5-2),Pass,Wharton,,5,2,1,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
100022,2015-06-18,Eastern Summit County Planning Commission,20,map the Coalville ADA as AG-6 and all other roads from Echo to Coalville (not designated to be mapped as AG-1) to be mapped as AG-20,,(6-1),Pass,Wharton,,6,1,1,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
100022,2015-06-18,Eastern Summit County Planning Commission,21,map Chalk Creek Road and Border Station up to the narrows as AG-1 at 500 feet,,(6-1),Pass,Vernon,Henrie,6,1,1,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
100022,2015-06-18,Eastern Summit County Planning Commission,22,,,(6 – 1),Pass,,Henrie,6,1,1,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
100022,2015-06-18,Eastern Summit County Planning Commission,23,leave the remainder of Chalk Creek unchanged from what it is now (AP-40) from the narrows to the State Line,,(2-5),Fail,Clyde,,2,5,1,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
100022,2015-06-18,Eastern Summit County Planning Commission,24,map Chalk Creek Road from the narrows to the Jacobson’s place as AG-20,,(6-1),Pass,Wharton,Hanson,6,1,1,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
100022,2015-06-18,Eastern Summit County Planning Commission,25,the East Hoytsville Road would be mapped as AG-1 as noted on the citizen’s map,,(6-1),Pass,Vernon,Henrie,6,1,1,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
100022,2015-06-18,Eastern Summit County Planning Commission,26,map an overlay of the RS zone on everything from the East Hoytsville Road to the foothills that is currently mapped AP-40,,,,Clyde,,,,0,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
100022,2015-06-18,Eastern Summit County Planning Commission,27,extend the meeting until 9:30 p.m,,,,Wharton,,,,0,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
100022,2015-06-18,Eastern Summit County Planning Commission,28,map the AG-6 on the inside of Coalville City’s ADA line and the AG-20 on the other side,,(6-0),Pass,Henrie,Wharton,6,0,0,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
100022,2015-06-18,Eastern Summit County Planning Commission,29,map the AG-20 as marked on Staff’s map and extend it to where it ended before,,(5-1),Pass,Vernon,Henrie,5,1,1,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
100022,2015-06-18,Eastern Summit County Planning Commission,30,leave this land at AG-40,,(5-1),Pass,Henrie,Wharton,5,1,1,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
100022,2015-06-18,Eastern Summit County Planning Commission,31,adjourn,,(6-0),Pass,Hanson,,6,0,0,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
100023,2015-06-23,Snyderville Basin Planning Commission,1,"approve the Verizon Wireless “KayJay” “monopole” style wireless telecommunications tower based upon the following findings of fact, conclusions of law, and conditions of approval as shown in the staff report: Findings of Fact: 1",,,Pass,Barnes,Lawson,,,0,land_use/minutes/2015/2015-06-23_snyderville_basin_pc.md
100023,2015-06-23,Snyderville Basin Planning Commission,2,"approve the minutes of the May 12, 2015, Snyderville Basin Planning Commission meeting as corrected",,,Pass,Klingenstein,Peck,,,1,land_use/minutes/2015/2015-06-23_snyderville_basin_pc.md
100023,2015-06-23,Snyderville Basin Planning Commission,3,"approve the minutes of the May 26, 2015, Snyderville Basin Planning Commission meeting as corrected",,,Pass,Klingenstein,Peck,,,1,land_use/minutes/2015/2015-06-23_snyderville_basin_pc.md
100024,2015-07-09,Eastern Summit County Planning Commission,1,"approve the proposed plat amendment to create two 1-acre lots with a remainder parcel at 2170 North State Road 32 per the findings of fact, conclusions of law, and conditions of approval as found in the Staff Report",,(5-0),Pass,Hanson,Wharton,5,0,0,land_use/minutes/2015/2015-07-09_eastern_summit_pc.md
100024,2015-07-09,Eastern Summit County Planning Commission,2,approve the minutes as corrected,,(5 - 0),Pass,Wharton,Hanson,5,0,1,land_use/minutes/2015/2015-07-09_eastern_summit_pc.md
100024,2015-07-09,Eastern Summit County Planning Commission,3,the areas indicated on the maps as AG-40 in the Wanship area be changed to AG-20,,(3-2),Pass,Wharton,Hanson,3,2,1,land_use/minutes/2015/2015-07-09_eastern_summit_pc.md
100024,2015-07-09,Eastern Summit County Planning Commission,4,map the AG-1 zone where the original HC zone existed on Brown’s Canyon Road,,(5-1),Pass,Wharton,Willoughby,5,1,1,land_use/minutes/2015/2015-07-09_eastern_summit_pc.md
100024,2015-07-09,Eastern Summit County Planning Commission,5,adjourn,,(6-0),Pass,Hanson,,6,0,0,land_use/minutes/2015/2015-07-09_eastern_summit_pc.md
100025,2015-07-14,Snyderville Basin Planning Commission,1,"forward a positive recommendation to the Summit County Manager for the proposed Newpark Terrace plat amendment based on the following findings of fact, conclusions of law, and conditions of approval found in the staff report dated July 14, 2015: Findings of Fact: 1",,,Pass,Peck,Barnes,,,0,land_use/minutes/2015/2015-07-14_snyderville_basin_pc.md
100025,2015-07-14,Snyderville Basin Planning Commission,2,"forward a positive recommendation to the Summit County Manager for the proposed Newpark Terrace final site plan amendment based on the following findings of fact, conclusions of law, and conditions of approval found in the staff report dated July 14, 2015: Findings of Fact: 1",,,Pass,Peck,Barnes,,,0,land_use/minutes/2015/2015-07-14_snyderville_basin_pc.md
100025,2015-07-14,Snyderville Basin Planning Commission,3,"continue this item to July 28, 2015, to allow Staff and the developer to come back with a development agreement that is fully developed",,,Pass,DeFord,Peck,,,0,land_use/minutes/2015/2015-07-14_snyderville_basin_pc.md
100025,2015-07-14,Snyderville Basin Planning Commission,4,"forward a positive recommendation to the County Council for the amendment to the Canyons SPA Development Agreement with the following findings of fact and conclusions of law as shown in the staff report dated July 14, 2015: Findings of Fact: 1",,,Pass,DeFord,Harte,,,0,land_use/minutes/2015/2015-07-14_snyderville_basin_pc.md
100025,2015-07-14,Snyderville Basin Planning Commission,5,"forward a positive recommendation to the County Manager for the final site plan for a ski maintenance building located in the Canyons, WWD4, with the following findings of fact and conclusions of law in the staff report dated July 14, 2015, with the addition of a condition of approval that the County will review the property a year from Snyderville Basin Planning Commission Regular Meeting July 14, 2015 Page 20 of 38 the issuance of the Certificate of Occupancy to be sure there is adequate screening from Hole 1: Findings of Fact: 1",,,Pass,DeFord,Peck,,,0,land_use/minutes/2015/2015-07-14_snyderville_basin_pc.md
100025,2015-07-14,Snyderville Basin Planning Commission,6,"approve the Conditional Use Permit for a transit center located on Lot 6 of the Park City Tech Center Subdivision based on the following Findings of Fact, Conclusions of Law, and Conditions of Approval contained in the staff report dated July 14, 2015: Findings of Fact: 1",,,,Harte,Lawson,,,0,land_use/minutes/2015/2015-07-14_snyderville_basin_pc.md
