date,candidate,office,council_seat,election_year,filing_type,reporting_period,title,source_url,retrieved_date,format,extraction_method,path,text_path,channel,wayback_url,listing_page,listing_posted_date,form_family,office_stated,candidate_stated,office_basis,office_evidence,vision_key,cycle_parity,date_precision,date_source,bytes,sha256,text_chars,fetched_utc,scope_status,needs_review,notes
2008-12-04,Cory Yeates,County Council,Logan Seat # 1,2008,c_and_e_report,Final / Year-End Summary,Cory Yeates — Cache County candidate financial campaign report (2008),http://www.cachecounty.org/docs/elections/disclosures/cyeates1204.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 250dpi),raw/2008/2008_wb_cyeates1204.pdf,text/2008_wb_cyeates1204.txt,wayback_cachecounty_org,http://web.archive.org/web/2id_/http://www.cachecounty.org/docs/elections/disclosures/cyeates1204.pdf,http://web.archive.org/web/20081207055606/http://www.cachecounty.org/elections/disclosures.php,,carr_county,,,vision_form_field (office line read from the rendered page image; confidence high),page 1 'Name of Office' reads 'Cache County Council'; 'Office District' reads 'Logan Seat # 1',a6e24167,even,exact,archived_listing_row,38478,306ddb0fdacd89f64a15e75704be7c5477a65546b6479dfb30b38a786bec54a2,1106,2026-08-01T00:00:00Z,county_confirmed,0,
2010-10-13,G. Lynn Nelson,Sheriff,,2010,c_and_e_report,Pre-General,G. Lynn Nelson — Cache County candidate financial campaign report (2010),http://www.cachecounty.org/docs/elections/disclosures/2010/lnelson.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 250dpi),raw/2010/2010_wb_lnelson.pdf,text/2010_wb_lnelson.txt,wayback_cachecounty_org,http://web.archive.org/web/2id_/http://www.cachecounty.org/docs/elections/disclosures/2010/lnelson.pdf,http://web.archive.org/web/20101108181727/http://www.cachecounty.org/elections/disclosures/2010.php,,carr_county,,,vision_form_field (office line read from the rendered page image; confidence high),page 1 'Name of Office' reads 'Sheriff'; 'Political Party' reads 'Republican',5f7193c8,even,exact,archived_listing_row,81144,83972c46db4af131aa8da9441e3072e8bfd29b7bb7307808ad1ea5c0f95a4612,2058,2026-08-01T00:00:00Z,county_confirmed,0,
2010-10-13,Gordon Zilles,County Council,South EAST,2010,c_and_e_report,Pre-General,Gordon Zilles — Cache County candidate financial campaign report (2010),http://www.cachecounty.org/docs/elections/disclosures/2010/gzilles.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 250dpi),raw/2010/2010_wb_gzilles.pdf,text/2010_wb_gzilles.txt,wayback_cachecounty_org,http://web.archive.org/web/2id_/http://www.cachecounty.org/docs/elections/disclosures/2010/gzilles.pdf,http://web.archive.org/web/20101108181727/http://www.cachecounty.org/elections/disclosures/2010.php,,carr_county,,,vision_form_field (office line read from the rendered page image; confidence high),page 1 'Name of Office' reads 'County Council'; 'Office District' reads 'South EAST'; 'Political Party' reads 'Rep.',faa0ced4,even,exact,archived_listing_row,36283,5df57b728d714369ac2a5d7f802f33fce54cc4248a62f4fb60547d2401f64118,1055,2026-08-01T00:00:00Z,county_confirmed,0,
2010-10-13,H. Craig Petersen,County Council,3,2010,c_and_e_report,Pre-General,H. Craig Petersen — Cache County candidate financial campaign report (2010),http://www.cachecounty.org/docs/elections/disclosures/2010/hcpetersen.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 250dpi),raw/2010/2010_wb_hcpetersen.pdf,text/2010_wb_hcpetersen.txt,wayback_cachecounty_org,http://web.archive.org/web/2id_/http://www.cachecounty.org/docs/elections/disclosures/2010/hcpetersen.pdf,http://web.archive.org/web/20101108181727/http://www.cachecounty.org/elections/disclosures/2010.php,,carr_county,,,vision_form_field (office line read from the rendered page image; confidence high),page 1 'Name of Office' reads 'County Council'; 'Office District' reads '3'; 'Political Party' reads 'Republican',2e504fc5,even,exact,archived_listing_row,36772,93c340da9eda567a1e531aacf2e4d6a4d9615b3c43811586d7ac0dfdc66beeac,1043,2026-08-01T00:00:00Z,county_confirmed,0,
2010-10-13,Jill N. Zollinger,Clerk/Auditor,,2010,c_and_e_report,Pre-General,Jill N. Zollinger — Cache County candidate financial campaign report (2010),http://www.cachecounty.org/docs/elections/disclosures/2010/jzollinger.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 250dpi),raw/2010/2010_wb_jzollinger.pdf,text/2010_wb_jzollinger.txt,wayback_cachecounty_org,http://web.archive.org/web/2id_/http://www.cachecounty.org/docs/elections/disclosures/2010/jzollinger.pdf,http://web.archive.org/web/20101108181727/http://www.cachecounty.org/elections/disclosures/2010.php,,carr_county,,,vision_form_field (office line read from the rendered page image; confidence high),page 1 'Name of Office' reads 'Cache County Clerk'; 'Political Party' reads 'Republican',a78320d1,even,exact,archived_listing_row,66408,e5f921e323ef9c6e9fcc29c61b7f3ebae24607d1149681ecbf825d2d230ec1d9,1655,2026-08-01T00:00:00Z,county_confirmed,0,
2010-10-13,Kathleen Howell,Assessor,,2010,c_and_e_report,Pre-General,Kathleen Howell — Cache County candidate financial campaign report (2010),http://www.cachecounty.org/docs/elections/disclosures/2010/khowell.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 250dpi),raw/2010/2010_wb_khowell.pdf,text/2010_wb_khowell.txt,wayback_cachecounty_org,http://web.archive.org/web/2id_/http://www.cachecounty.org/docs/elections/disclosures/2010/khowell.pdf,http://web.archive.org/web/20101108181727/http://www.cachecounty.org/elections/disclosures/2010.php,,carr_county,,,vision_form_field (office line read from the rendered page image; confidence high),page 1 'Name of Office' reads 'Cache County Assessor'; 'Political Party' reads 'Republican',1cc2b7a6,even,exact,archived_listing_row,72893,a0b4a2a456185bc894552511e3dc38f4c99c0ad4c1f4b75e6a1f57744fbe6e3c,1771,2026-08-01T00:00:00Z,county_confirmed,0,
2010-10-13,M. Lynn Lemon,County Executive,,2010,c_and_e_report,Pre-General,M. Lynn Lemon — Cache County candidate financial campaign report (2010),http://www.cachecounty.org/docs/elections/disclosures/2010/mllemon.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 250dpi),raw/2010/2010_wb_mllemon.pdf,text/2010_wb_mllemon.txt,wayback_cachecounty_org,http://web.archive.org/web/2id_/http://www.cachecounty.org/docs/elections/disclosures/2010/mllemon.pdf,http://web.archive.org/web/20101108181727/http://www.cachecounty.org/elections/disclosures/2010.php,,carr_county,,,vision_form_field (office line read from the rendered page image; confidence medium),page 1 'Name of Office' reads 'CACHE COUNTY EXECUTIVE/SURVEYOR' — a single hand-written line naming both offices; 'Political Party' reads 'REPUBLICAN',85d0094e,even,exact,archived_listing_row,39524,53a9f9cba53065ebaccff7a60ae925769732191e093983be679ff10877a0fcad,1105,2026-08-01T00:00:00Z,county_confirmed,0,
2010-10-19,Michael Gleed,Recorder,,2010,c_and_e_report,Pre-General,Michael Gleed — Cache County candidate financial campaign report (2010),http://www.cachecounty.org/docs/elections/disclosures/2010/mgleed.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 250dpi),raw/2010/2010_wb_mgleed.pdf,text/2010_wb_mgleed.txt,wayback_cachecounty_org,http://web.archive.org/web/2id_/http://www.cachecounty.org/docs/elections/disclosures/2010/mgleed.pdf,http://web.archive.org/web/20101108181727/http://www.cachecounty.org/elections/disclosures/2010.php,,carr_county,,,vision_form_field (office line read from the rendered page image; confidence high),page 1 'Name of Office' reads 'Cache County Recorder'; 'Political Party' reads 'Republican',1acb3482,even,exact,archived_listing_row,118233,280bf335c594333538731b90447b6c9c71b0f31b602c056489b422fdf23cb8be,2683,2026-08-01T00:00:00Z,county_confirmed,0,
2010-10-21,Val Potter,County Council,Northeast District,2010,c_and_e_report,Pre-General,Val Potter — Cache County candidate financial campaign report (2010),http://www.cachecounty.org/docs/elections/disclosures/2010/vpotter.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 250dpi),raw/2010/2010_wb_vpotter.pdf,text/2010_wb_vpotter.txt,wayback_cachecounty_org,http://web.archive.org/web/2id_/http://www.cachecounty.org/docs/elections/disclosures/2010/vpotter.pdf,http://web.archive.org/web/20101108181727/http://www.cachecounty.org/elections/disclosures/2010.php,,carr_county,,,vision_form_field (office line read from the rendered page image; confidence high),page 1 'Name of Office' reads 'Cache County Council'; 'Office District' reads 'Northeast District',8d4a2f49,even,exact,archived_listing_row,94904,189b697286d4f921356655c0cb4b68cae56573c17d36ed5fad377d9da9d231a2,2253,2026-08-01T00:00:00Z,county_confirmed,0,
2010-10-25,James Swink,County Attorney,,2010,c_and_e_report,Pre-General,James Swink — Cache County candidate financial campaign report (2010),http://www.cachecounty.org/docs/elections/disclosures/2010/jswink.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 250dpi),raw/2010/2010_wb_jswink.pdf,text/2010_wb_jswink.txt,wayback_cachecounty_org,http://web.archive.org/web/2id_/http://www.cachecounty.org/docs/elections/disclosures/2010/jswink.pdf,http://web.archive.org/web/20101108181727/http://www.cachecounty.org/elections/disclosures/2010.php,,carr_county,,,vision_form_field (office line read from the rendered page image; confidence high),page 1 'Name of Office' reads 'CACHE COUNTY ATTORNEY'; 'Office District' reads '1st DISTRICT (CACHE COUNTY)',c5816467,even,exact,archived_listing_row,72216,873124d9bb1377e674d9a92c8c8d8157fd852c761ac36b1acf0b616f35bd2f50,1728,2026-08-01T00:00:00Z,county_confirmed,0,
2010-10-25,Karen Jeppesen,Treasurer,,2010,c_and_e_report,Pre-General,Karen Jeppesen — Cache County candidate financial campaign report (2010),http://www.cachecounty.org/docs/elections/disclosures/2010/kjeppesen.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 250dpi),raw/2010/2010_wb_kjeppesen.pdf,text/2010_wb_kjeppesen.txt,wayback_cachecounty_org,http://web.archive.org/web/2id_/http://www.cachecounty.org/docs/elections/disclosures/2010/kjeppesen.pdf,http://web.archive.org/web/20101108181727/http://www.cachecounty.org/elections/disclosures/2010.php,,carr_county,,,vision_form_field (office line read from the rendered page image; confidence high),page 1 'Name of Office' reads 'Cache County Treasurer'; 'Office District' reads 'Cache County',bcbae42b,even,exact,archived_listing_row,73976,f13785b91dfc14f87c3388383f53bcbf991bff4a1282397ca8dd70d8fc257470,1826,2026-08-01T00:00:00Z,county_confirmed,0,
2010-10-25,Tamra Stones,Clerk/Auditor,,2010,c_and_e_report,Pre-General,Tamra Stones — Cache County candidate financial campaign report (2010),http://www.cachecounty.org/docs/elections/disclosures/2010/tstones.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 250dpi),raw/2010/2010_wb_tstones.pdf,text/2010_wb_tstones.txt,wayback_cachecounty_org,http://web.archive.org/web/2id_/http://www.cachecounty.org/docs/elections/disclosures/2010/tstones.pdf,http://web.archive.org/web/20101108181727/http://www.cachecounty.org/elections/disclosures/2010.php,,carr_county,,,vision_form_field (office line read from the rendered page image; confidence high),page 1 'Name of Office' reads 'Cache County Auditor'; 'Office District' reads 'Cache County',04075efc,even,exact,archived_listing_row,76824,e4bbe3fdefde319ad425adcae0bd46811167d17ee1598c0f3c84b19462599d45,1700,2026-08-01T19:09:50Z,county_confirmed,0,
2010-10-26,Mark Daines,County Council,North East,2010,c_and_e_report,Pre-General,Mark Daines — Cache County candidate financial campaign report (2010),http://www.cachecounty.org/docs/elections/disclosures/2010/mdaines.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 250dpi),raw/2010/2010_wb_mdaines.pdf,text/2010_wb_mdaines.txt,wayback_cachecounty_org,http://web.archive.org/web/2id_/http://www.cachecounty.org/docs/elections/disclosures/2010/mdaines.pdf,http://web.archive.org/web/20101108181727/http://www.cachecounty.org/elections/disclosures/2010.php,,carr_county,,,vision_form_field (office line read from the rendered page image; confidence high),page 1 'Name of Office' reads 'County Council  NE District'; 'Office District' reads 'North East'; 'Political Party' reads 'Democrat',7f5a2c8c,even,exact,archived_listing_row,83048,ba3996102ebeb505cce289a830f6c0234b0b8efb55875ca23ab8513a09e1f463,2068,2026-08-01T00:00:00Z,county_confirmed,0,
2012-06,collins,County Council,LOGAN DISTRICT #1,2012,c_and_e_report,Pre-Primary,collins — Cache County candidate financial campaign report (2012),https://www.cachecounty.gov/assets/department/clerk/elections/financialDisclosures/2012/June/collins-finance campaign.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 250dpi),raw/2012/2012_cc_collins_finance_campaign.pdf,text/2012_cc_collins_finance_campaign.txt,county_site,,https://www.cachecounty.gov/elections/financial-disclosures/2012-candidate-financial-disclosures.html,07-16-2012,carr_county,,,vision_form_field (office line read from the rendered page image; confidence high),page 1 'Name of Office' reads 'CACHE COUNTY COUNCIL SEAT #1'; 'Office District' reads 'LOGAN DISTRICT #1',7ddace4b,even,month,source_folder,114297,4527dd0638b41e28e1f22a9047a899286411a751dfba8e196140c09b87ded264,2376,2026-08-01T00:00:00Z,county_confirmed,0,
2012-07-16,Eric Todd Collins,County Council,LOGAN DISTRICT #1,2012,c_and_e_report,Pre-Primary,Eric Todd Collins — Cache County candidate financial campaign report (2012),http://municipal.utah.gov/cache/2012%20Primary/Eric%20Todd%20Collins%207-16-12%20Primary.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 250dpi),raw/2012/2012_st_Eric_Todd_Collins_7_16_12_Primary.pdf,text/2012_st_Eric_Todd_Collins_7_16_12_Primary.txt,state_disclosures,,https://disclosures.utah.gov/Municipal/cache_2012%20Primary,,carr_county,,,vision_form_field (office line read from the rendered page image; confidence high),page 1 'Name of Office' reads 'CACHE COUNTY COUNCIL SEAT #1'; 'Office District' reads 'LOGAN DISTRICT #1',02940392,even,exact,filename,118367,c22c1f993a85509a410f7699d493bd4f02ef4db66e6a1269cef5b63410921d81,2376,2026-08-01T00:00:00Z,county_confirmed,0,
2012-10,B Franklin,County Council,"District 1, Logan",2012,c_and_e_report,Pre-General,B Franklin — Cache County candidate financial campaign report (2012),https://www.cachecounty.gov/assets/department/clerk/elections/financialDisclosures/2012/October/B Franklin campaign finance.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 250dpi),raw/2012/2012_cc_B_Franklin_campaign_finance.pdf,text/2012_cc_B_Franklin_campaign_finance.txt,county_site,,https://www.cachecounty.gov/elections/financial-disclosures/2012-candidate-financial-disclosures.html,10-29-2012,carr_county,,,vision_form_field (office line read from the rendered page image; confidence high),"page 1 'Name of Office' reads 'County Council'; 'Office District' reads 'District 1, Logan'; 'Political Party' reads 'Democratic Party'",32df275d,even,month,source_folder,206480,2a94d7b6998d2b526b33a7031b208247e41eb7a1785d250a10f846f9ee81e705,8166,2026-08-01T00:00:00Z,county_confirmed,0,
2012-10,C Buttars,County Council,North,2012,c_and_e_report,Pre-General,C Buttars — Cache County candidate financial campaign report (2012),https://www.cachecounty.gov/assets/department/clerk/elections/financialDisclosures/2012/October/C Buttars finance campaign.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 250dpi),raw/2012/2012_cc_C_Buttars_finance_campaign.pdf,text/2012_cc_C_Buttars_finance_campaign.txt,county_site,,https://www.cachecounty.gov/elections/financial-disclosures/2012-candidate-financial-disclosures.html,10-30-2012,carr_county,,,vision_form_field (office line read from the rendered page image; confidence high),page 1 'Name of Office' reads 'Cache County Council'; 'Office District' reads 'North'; 'Political Party' reads 'Republican',520523ec,even,month,source_folder,258176,19a2961eb21798320d2a59d27bb3b31f088adb9abd48c0da2472df798d54e043,8686,2026-08-01T00:00:00Z,county_confirmed,0,
2012-10,C Yeates,County Council,Logan Seat # 1,2012,c_and_e_report,Pre-General,C Yeates — Cache County candidate financial campaign report (2012),https://www.cachecounty.gov/assets/department/clerk/elections/financialDisclosures/2012/October/C Yeates finance campaign.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 250dpi),raw/2012/2012_cc_C_Yeates_finance_campaign.pdf,text/2012_cc_C_Yeates_finance_campaign.txt,county_site,,https://www.cachecounty.gov/elections/financial-disclosures/2012-candidate-financial-disclosures.html,10-30-2012,carr_county,,,vision_form_field (office line read from the rendered page image; confidence high),page 1 'Name of Office' reads 'Cache County Council  Logan Seat # 1'; 'Political Party' reads 'Republican',eee08fe2,even,month,source_folder,103625,efe473afb7442edf6d577eb806a3132152ec0213375935b07d65ba9c80a03272,1828,2026-08-01T00:00:00Z,county_confirmed,0,
2012-10,Kathy Robison,County Council,Logan #2,2012,c_and_e_report,Pre-General,Kathy Robison — Cache County candidate financial campaign report (2012),https://www.cachecounty.gov/assets/department/clerk/elections/financialDisclosures/2012/October/Kathy Robison finance campaign.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 250dpi),raw/2012/2012_cc_Kathy_Robison_finance_campaign.pdf,text/2012_cc_Kathy_Robison_finance_campaign.txt,county_site,,https://www.cachecounty.gov/elections/financial-disclosures/2012-candidate-financial-disclosures.html,10-15-2012,carr_county,,,vision_form_field (office line read from the rendered page image; confidence high),page 1 'Name of Office' reads 'Cache County Council member'; 'Office District' reads 'Logan #2',e253d0aa,even,month,source_folder,211760,611362281ba87ea0c505f5d699c084606e37af4f5599056906028261989333af,8134,2026-08-01T00:00:00Z,county_confirmed,0,
2012-10-15,Kathleen Ann Robison,County Council,Logan #2,2012,c_and_e_report,Pre-General,Kathleen Ann Robison — Cache County candidate financial campaign report (2012),http://municipal.utah.gov/cache/2012%20General/Kathleen%20Ann%20Robison%2010-15-12%20general.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 250dpi),raw/2012/2012_st_Kathleen_Ann_Robison_10_15_12_general.pdf,text/2012_st_Kathleen_Ann_Robison_10_15_12_general.txt,state_disclosures,,https://disclosures.utah.gov/Municipal/cache_2012%20General,,carr_county,,,vision_form_field (office line read from the rendered page image; confidence high),page 1 'Name of Office' reads 'Cache County Council member'; 'Office District' reads 'Logan #2',3bcc2acf,even,exact,filename,215797,08c43519b76e41f32c65c36ffbc99c44c3d020fd0f9f91019274326d963331a1,8134,2026-08-01T00:00:00Z,county_confirmed,0,
2012-10-16,Barnard Jon White,County Council,,2012,c_and_e_report,Pre-General,Barnard Jon White — Cache County candidate financial campaign report (2012),http://municipal.utah.gov/cache/2012%20General/Barnard%20Jon%20White%2010-16-12%20general.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 250dpi),raw/2012/2012_st_Barnard_Jon_White_10_16_12_general.pdf,text/2012_st_Barnard_Jon_White_10_16_12_general.txt,state_disclosures,,https://disclosures.utah.gov/Municipal/cache_2012%20General,,carr_county,,,vision_form_field (office line read from the rendered page image; confidence high),page 1 'Name of Office' reads 'County Council'; 'Political Party' reads 'Republican',fc127b71,even,exact,filename,210374,8b3d3cb7f4bc6c18dcd90959a649f77103b3a4d8bfc2e4f4691b9525d4f68324,8116,2026-08-01T00:00:00Z,county_confirmed,0,
