candidate,office,election_year,filing_date,reporting_period,filing_type,stated_total_contributions,stated_total_expenditures,stated_beginning_balance,stated_ending_balance,itemized_contrib_sum,itemized_expend_sum,reconciles_contrib,reconciles_expend,recon_delta_contrib,recon_delta_expend,self_funded_amount,n_contrib_rows,n_expend_rows,source_filing,document_id,extraction_confidence,notes
Barnard Jon White,County Council,2008,2008-10-22,Pre-General,c_and_e_report,922,922,,0,,,,,,,,0,0,raw/2008/2008_wb_bjwhite.pdf,cache_county|37f2239268f3|raw/2008/2008_wb_bjwhite.pdf,high,'TOTALS FROM LAST REPORT' column left entirely blank.
C Yeates,County Council,2012,2012-12-06,Final / Year-End Summary,c_and_e_report,825.00,1239.00,,-414,,,,,,,,0,0,raw/2012/2012_cc_C_Yeates_finance_campaign_12_6_12.pdf,cache_county|cb3d4768b05d|raw/2012/2012_cc_C_Yeates_finance_campaign_12_6_12.pdf,high,Cents written as superscript '00' / trailing dash. LAST-REPORT column blank on every line.; one transcription applied to 2 index rows (identical bytes)
Cory Yeates,County Council,2012,2012-10-30,Pre-General,c_and_e_report,825.00,1239.00,,-414,,,,,,,,0,0,raw/2012/2012_st_Cory_Yeates_10_30_12_general.pdf,cache_county|01963cbdaec3|raw/2012/2012_st_Cory_Yeates_10_30_12_general.pdf,medium,State-disclosures copy of the same filing as 2012_cc_C_Yeates_finance_campaign.pdf. Line 1 LAST-REPORT box holds a struck-through '700.00' — recorded blank.
Cory Yeates,County Council,2012,2012-12-04,Pre-General,c_and_e_report,825.00,1239.00,,-414,,,,,,,,0,0,raw/2012/2012_st_Cory_Yeates_12_4_12_General.pdf,cache_county|cb3d4768b05d|raw/2012/2012_st_Cory_Yeates_12_4_12_General.pdf,high,Cents written as superscript '00' / trailing dash. LAST-REPORT column blank on every line.; cross-channel byte-identical duplicate — group on sha256 before summing; one transcription applied to 2 index rows (identical bytes)
Craig W Buttars,County Council,2012,2012-10-30,Pre-General,c_and_e_report,,,,,,,,,,,,0,0,raw/2012/2012_st_Craig_W_Buttars_10_30_12_general.pdf,cache_county|de50eaa56ba8|raw/2012/2012_st_Craig_W_Buttars_10_30_12_general.pdf,high,contributions >$50 cumulative printed as '1521.' (not a number) — stated total omits it; State-disclosures copy of the same filing as 2012_cc_C_Buttars_finance_campaign.pdf.
Craig W Buttars,County Council,2012,2012-12-05,Pre-General,c_and_e_report,,,,,,,,,,,,0,0,raw/2012/2012_st_Craig_W_Buttars_12_5_12_General.pdf,cache_county|83be948a9aa3|raw/2012/2012_st_Craig_W_Buttars_12_5_12_General.pdf,high,contributions >$50 cumulative printed as '1521.' (not a number) — stated total omits it; December re-filing of the same figures as the October report. Line 2 carries dashes (recorded blank).; cross-channel byte-identical duplicate — group on sha256 before summing; one transcription applied to 2 index rows (identical bytes)
Eric Todd Collins,County Council,2012,2012-07-16,Pre-Primary,c_and_e_report,420.00,1183.05,,-763.05,,,,,,,,0,0,raw/2012/2012_st_Eric_Todd_Collins_7_16_12_Primary.pdf,cache_county|c22c1f993a85|raw/2012/2012_st_Eric_Todd_Collins_7_16_12_Primary.pdf,high,Same filing as the county-site copy (2012_cc_collins_finance_campaign.pdf) served by the state disclosures channel; the two scans differ in bytes so each is transcribed separately.
J White,County Council,2012,2012-12-06,Final / Year-End Summary,c_and_e_report,,,,,,,,,,,,0,0,raw/2012/2012_cc_J_White_campaign_finance_12_6_12.pdf,cache_county|5398dd079ffe|raw/2012/2012_cc_J_White_campaign_finance_12_6_12.pdf,high,"All twelve boxes carry a horizontal DASH, not a digit — recorded blank throughout, never read as zero.; one transcription applied to 2 index rows (identical bytes)"
K Robison,County Council,2012,2012-12-06,Final / Year-End Summary,c_and_e_report,0,129.00,,129.00,,,,,,,,0,0,raw/2012/2012_cc_K_Robison_campaign_finance_12_6_12.pdf,cache_county|14c9ab7f8d7d|raw/2012/2012_cc_K_Robison_campaign_finance_12_6_12.pdf,medium,Zeros are hand-drawn open-O glyphs.; one transcription applied to 2 index rows (identical bytes)
Kathleen Ann Robison,County Council,2012,2012-10-15,Pre-General,c_and_e_report,0,129.00,,129.00,,,,,,,,0,0,raw/2012/2012_st_Kathleen_Ann_Robison_10_15_12_general.pdf,cache_county|08c43519b76e|raw/2012/2012_st_Kathleen_Ann_Robison_10_15_12_general.pdf,medium,State-disclosures copy of the same filing as 2012_cc_Kathy_Robison_finance_campaign.pdf.
Kathleen Ann Robison,County Council,2012,2012-12-11,Pre-General,c_and_e_report,0,129.00,,129.00,,,,,,,,0,0,raw/2012/2012_st_Kathleen_Ann_Robison_12_11_12_General.pdf,cache_county|14c9ab7f8d7d|raw/2012/2012_st_Kathleen_Ann_Robison_12_11_12_General.pdf,medium,Zeros are hand-drawn open-O glyphs.; cross-channel byte-identical duplicate — group on sha256 before summing; one transcription applied to 2 index rows (identical bytes)
Kathy Robison,County Council,2012,2012-10,Pre-General,c_and_e_report,0,129.00,,129.00,,,,,,,,0,0,raw/2012/2012_cc_Kathy_Robison_finance_campaign.pdf,cache_county|611362281ba8|raw/2012/2012_cc_Kathy_Robison_finance_campaign.pdf,medium,Zeros are hand-drawn open-O glyphs.
collins,County Council,2012,2012-06,Pre-Primary,c_and_e_report,420.00,1183.05,,-763.05,,,,,,,,0,0,raw/2012/2012_cc_collins_finance_campaign.pdf,cache_county|4527dd0638b4|raw/2012/2012_cc_collins_finance_campaign.pdf,high,LAST-REPORT column carries dashes (recorded blank). Cents written as superscript.
Howell,Assessor,2014,2014-12-04,Final / Year-End Summary,c_and_e_report,0,618.00,,618.00,,,,,,,,0,0,raw/2014/2014_cc_Howell_Dec_4_2014_campaign_finance.pdf,cache_county|58aaacf46f16|raw/2014/2014_cc_Howell_Dec_4_2014_campaign_finance.pdf,medium,"Line 4 LAST/THIS boxes are blank; only the CUMULATIVE box is filled (618.00, printed without a minus sign even though the expenses exceed contributions — retained as filed)."
Howell,Assessor,2014,2014-10-28,Pre-General,c_and_e_report,0,618.00,,-618.00,,,,,,,,0,0,raw/2014/2014_cc_Howell_Oct_28_14_campaign_finance.pdf,cache_county|78e009070c3b|raw/2014/2014_cc_Howell_Oct_28_14_campaign_finance.pdf,medium,Zeros on lines 1-2 are hand-drawn open-O glyphs.
Zollinger,Clerk/Auditor,2014,2014-12-04,Final / Year-End Summary,c_and_e_report,0,0,,0,,,,,,,,0,0,raw/2014/2014_cc_Zollinger_Dec_4_2014_campaign_finance_2a24cd.pdf,cache_county|6d6c44f351a5|raw/2014/2014_cc_Zollinger_Dec_4_2014_campaign_finance_2a24cd.pdf,medium,"All twelve boxes carry a hand-drawn slashed-O zero glyph.; BOOKKEEPING REPAIR 2026-08-02 (resumed session): applies_to named only one of the two byte-identical index paths (sha256 6d6c44f3…, verified by shasum); the second was added so the one transcription covers both rows. The transcribed VALUES are unchanged.; one transcription applied to 2 index rows (identical bytes)"
Zollinger,Clerk/Auditor,2014,2014-12-04,Final / Year-End Summary,c_and_e_report,0,0,,0,,,,,,,,0,0,raw/2014/2014_cc_Zollinger_Dec_4_2014_campaign_finance_fd5839.pdf,cache_county|6d6c44f351a5|raw/2014/2014_cc_Zollinger_Dec_4_2014_campaign_finance_fd5839.pdf,medium,"All twelve boxes carry a hand-drawn slashed-O zero glyph.; BOOKKEEPING REPAIR 2026-08-02 (resumed session): applies_to named only one of the two byte-identical index paths (sha256 6d6c44f3…, verified by shasum); the second was added so the one transcription covers both rows. The transcribed VALUES are unchanged.; cross-channel byte-identical duplicate — group on sha256 before summing; one transcription applied to 2 index rows (identical bytes)"
Zollinger camp,Clerk/Auditor,2014,2014-10-28,Pre-General,c_and_e_report,429.00,429.00,,0,,,,,,,,0,0,raw/2014/2014_cc_Zollinger_Oct_28_14_camp_finance.pdf,cache_county|c077676c657e|raw/2014/2014_cc_Zollinger_Oct_28_14_camp_finance.pdf,high,TYPEWRITTEN filing. Zeros are written '-0-'.
Daines,County Attorney,2014,2014-10-28,Pre-General,c_and_e_report,6730.00,6309.26,,420.74,,,,,,,,0,0,raw/2014/2014_cc_Daines_10_28_14_campaign_finance.pdf,cache_county|4b96fe899231|raw/2014/2014_cc_Daines_10_28_14_campaign_finance.pdf,high,Cents written as superscript. LAST-REPORT column blank throughout.
Daines,County Attorney,2014,2014-11-17,Post-General,c_and_e_report,6329.57,6329.57,,0,,,,,,,,0,0,raw/2014/2014_cc_Daines_Dec_2014_campaign_finance.pdf,cache_county|aae9420ebff3|raw/2014/2014_cc_Daines_Dec_2014_campaign_finance.pdf,high,"Line 1 THIS-REPORT is a NEGATIVE contribution figure (-400.43), as written. Cents are superscript throughout."
Swink,County Attorney,2014,2014-10-28,Pre-General,c_and_e_report,14393.74,14368.74,,,,,,,,,,0,0,raw/2014/2014_cc_Swink_10_28_14_campaign_finance.pdf,cache_county|61bb37722dbc|raw/2014/2014_cc_Swink_10_28_14_campaign_finance.pdf,high,Line 4 carries a dash in all three columns (recorded blank). '25' on line 2 is written with a trailing dash for the cents position.
Swink,County Attorney,2014,2014-12-04,Final / Year-End Summary,c_and_e_report,16499.41,16499.41,,,,,,,,,,0,0,raw/2014/2014_cc_Swink_Dec_4_2014_campaign_finance.pdf,cache_county|74707c82d4c0|raw/2014/2014_cc_Swink_Dec_4_2014_campaign_finance.pdf,high,Line 4 carries a dash in all three columns (recorded blank). Line 2 figures written with a trailing dash for the cents position.
Merrill,County Council,2014,2014-12-04,Final / Year-End Summary,c_and_e_report,0,200,,-200,,,,,,,,0,0,raw/2014/2014_cc_Merrill_Dec_4_2014_campaign_finance.pdf,cache_county|6f7de700dd39|raw/2014/2014_cc_Merrill_Dec_4_2014_campaign_finance.pdf,medium,Line 4 CUMULATIVE written '(200)' in accounting parentheses; LAST/THIS boxes on that line are blank.
Merrill,County Council,2014,2014-10-28,Pre-General,c_and_e_report,0,200,,-200,,,,,,,,0,0,raw/2014/2014_cc_Merrill_Oct_28_14_campaign_finance.pdf,cache_county|8312d25b222d|raw/2014/2014_cc_Merrill_Oct_28_14_campaign_finance.pdf,medium,Line 4 THIS-REPORT carries a dash (recorded blank); CUMULATIVE written '(200)' in accounting parentheses.
Potter,County Council,2014,2014-12-04,Final / Year-End Summary,c_and_e_report,0,199.00,,-199.00,,,,,,,,0,0,raw/2014/2014_cc_Potter_Dec_4_2014_campaign_finance.pdf,cache_county|12752afb0273|raw/2014/2014_cc_Potter_Dec_4_2014_campaign_finance.pdf,medium,Zeros are hand-drawn open-O glyphs; cents on lines 3-4 are superscript.
Potter,County Council,2014,2014-10-28,Pre-General,c_and_e_report,0,199.00,,-199.00,,,,,,,,0,0,raw/2014/2014_cc_Potter_Oct_28_14_campaign_finance.pdf,cache_county|0ca21c719d7c|raw/2014/2014_cc_Potter_Oct_28_14_campaign_finance.pdf,high,Cents on lines 3-4 are superscript '00'.
Robison,County Council,2014,2014-12-04,Final / Year-End Summary,c_and_e_report,0,0,,0,,,,,,,,0,0,raw/2014/2014_cc_Robison_Dec_4_2014_campaign_finance.pdf,cache_county|ea5807ce6d9f|raw/2014/2014_cc_Robison_Dec_4_2014_campaign_finance.pdf,medium,All twelve boxes carry a hand-drawn open-O zero glyph — a zero-activity report.
White,County Council,2014,2014-12-04,Final / Year-End Summary,c_and_e_report,0,0,,0,,,,,,,,0,0,raw/2014/2014_cc_White_Dec_4_2014_campaign_finance.pdf,cache_county|b20912b648ed|raw/2014/2014_cc_White_Dec_4_2014_campaign_finance.pdf,medium,"Only the CUMULATIVE column is filled, each box a hand-drawn zero glyph; LAST-REPORT and THIS-REPORT are blank."
Yeates,County Council,2014,2014-12-04,Final / Year-End Summary,c_and_e_report,,0,,0,,,,,,,,0,0,raw/2014/2014_cc_Yeates_Dec_4_2014_campaign_finance.pdf,cache_county|777c2c81f77a|raw/2014/2014_cc_Yeates_Dec_4_2014_campaign_finance.pdf,medium,Lines 1-2 carry dashes in all three columns (recorded blank); lines 3-4 carry hand-drawn zero glyphs.
Zilles,County Council,2014,2014-12-04,Final / Year-End Summary,c_and_e_report,90.00,454.72,,364.72,,,,,,,,0,0,raw/2014/2014_cc_Zilles_Dec_4_2014_campaign_finance.pdf,cache_county|ef0f1fed2387|raw/2014/2014_cc_Zilles_Dec_4_2014_campaign_finance.pdf,high,Line 2 is entirely blank.
Zilles,County Council,2014,2014-10-28,Pre-General,c_and_e_report,,,,364.72,,,,,,,,0,0,raw/2014/2014_cc_Zilles_Oct_28_2014_campaign_finance.pdf,cache_county|97d14bd9d717|raw/2014/2014_cc_Zilles_Oct_28_2014_campaign_finance.pdf,high,Lines 1 and 3 are filled only in the THIS-REPORT column; the CUMULATIVE boxes on those lines are blank. Line 3's figure is written over a struck-through digit.
Buttars,County Executive,2014,2014-10-28,Pre-General,c_and_e_report,220,9619.85,,0,,,,,,,,0,0,raw/2014/2014_cc_Buttars_10_28_14_campaign_finance.pdf,cache_county|e806e2c473a9|raw/2014/2014_cc_Buttars_10_28_14_campaign_finance.pdf,high,"contributions >$50 cumulative printed as '2,630.' (not a number) — stated total omits it; 2014 is the first vintage whose printed citation is Cache County Code 2.21 rather than Utah Code 17-16-6.5. LAST-REPORT column blank throughout; line 4 filled only in the CUMULATIVE column."
Buttars,County Executive,2014,2014-12-04,Final / Year-End Summary,c_and_e_report,2850.00,9619.85,,0,,,,,,,,0,0,raw/2014/2014_cc_Buttars_Dec_4_2014_campaign_finance.pdf,cache_county|f4e68b46ad3b|raw/2014/2014_cc_Buttars_Dec_4_2014_campaign_finance.pdf,high,Post-general report restating the October figures. Line 4 THIS-REPORT box is blank.
Lemon,County Executive,2014,2014-12-04,Final / Year-End Summary,c_and_e_report,,,,,,,,,,,,0,0,raw/2014/2014_cc_Lemon_Dec_4_2014_campaign_finance.pdf,cache_county|a4f978dfd6c2|raw/2014/2014_cc_Lemon_Dec_4_2014_campaign_finance.pdf,high,"contributions >$50 cumulative printed as '.00' (not a number) — stated total omits it; contributions <=$50 cumulative printed as '.00' (not a number) — stated total omits it; ⚠ The office line names TWO offices ('EXECUTIVE/SURVEYOR'), as this filer's 2010 report also did; office_std records the first-named County Executive and the verbatim string is retained. Only the CUMULATIVE column is filled, each box written '.00'."
Pugmire,County Executive,2014,2014-07-25,Pre-Primary,c_and_e_report,6699.67,6699.67,,0,,,,,,,,0,0,raw/2014/2014_cc_Pugmire_July_campaign_finance.pdf,cache_county|50a22d08514d|raw/2014/2014_cc_Pugmire_July_campaign_finance.pdf,high,⚠ The office line names TWO offices ('CACHE COUNTY EXECUTIVE /SURVEYOR') — the same combined wording M. Lynn Lemon used; office_std records the first-named County Executive and the verbatim string is retained. LAST-REPORT column written 'N/A' throughout.
Gleed,Recorder,2014,2014-11-07,Post-General,c_and_e_report,2482.40,2482.40,,0,,,,,,,,0,0,raw/2014/2014_cc_Gleed_Dec_2014_campaign_finance_report.pdf,cache_county|67b151a02dc2|raw/2014/2014_cc_Gleed_Dec_2014_campaign_finance_report.pdf,medium,Faint scan. Line 2 reads '164.40' on both boxes (the digit group is soft). Line 4 carries a small hand-drawn zero glyph. LAST-REPORT column written 'N/A' throughout.
Gleed,Recorder,2014,2014-10-28,Pre-General,c_and_e_report,2482.40,2482.40,,0,,,,,,,,0,0,raw/2014/2014_cc_Gleed_Oct_28_14_campaign_finance.pdf,cache_county|d732a9d9ebcc|raw/2014/2014_cc_Gleed_Oct_28_14_campaign_finance.pdf,medium,Faint scan; same figures as the filer's 5 Nov 2014 report. LAST-REPORT column written 'N/A' throughout.
White,Recorder,2014,2014-07-25,Pre-Primary,c_and_e_report,1700.00,2058.85,,-358.85,,,,,,,,0,0,raw/2014/2014_cc_White_July_campaign_finance.pdf,cache_county|22562a76e92a|raw/2014/2014_cc_White_July_campaign_finance.pdf,high,Line 3 figure is written over a struck-through digit ('2058.85' over what looks like '2088.85') — the corrected value 2058.85 is what the filer left standing on both boxes. Line 2 carries dashes (blank). The received stamp is rotated and only partly legible.
