project,spans_both_bodies,date,body,stage,result,dissenters,motion,source
Eagle Way,yes,2023-05-10,PlanningCommission,PC recommendation,Positive recommendation unanimous,,"forward a POSITIVE recommendation for City Council’s consideration on June 15, 2023, for the Eagle Way Plat Amendment, Second Amended, as amended, based on the ",
Eagle Way,yes,2023-06-15,Council,Council vote,5-0 Pass,,"Council Member Rubell moved to approve Ordinance No. 2023-29, an ordinance approving the Eagle Way Second Amended Plat Amendment, located at 1460 Eagle Way, Par",
Eagle Way,yes,2024-01-10,PlanningCommission,PC recommendation,Positive recommendation unanimous,,"forward a POSITIVE recommendation for the City Council’s consideration on February 1, 2024, for 1460 Eagle Way – Zone Change for Lot B of the Eagle Way Second A",
Empire Avenue,yes,2020-01-08,PlanningCommission,PC continued,Continued unanimous,,"CONTINUE the 802 Empire Avenue Subdivision to February 12, 2020",
Empire Avenue,yes,2020-02-12,PlanningCommission,PC continued,Continued unanimous,,"CONTINUE the 802 Empire Avenue Subdivision to April 8, 2020",
Empire Avenue,yes,2020-05-13,PlanningCommission,PC continued,Continued unanimous,,"CONTINUE the 802 Empire Avenue subdivision to June 10, 2020",
Empire Avenue,yes,2020-07-09,Council,Council vote,5-0 Pass,,"Council Member Joyce moved to approve Ordinance 2020-32, an ordinance approving the 802 Empire Avenue Subdivision, located at 802 Empire Avenue, Park City, Utah",
Empire Avenue,yes,2021-06-09,PlanningCommission,PC recommendation,Positive recommendation unanimous,,"forward a positive recommendation for the City Council’s consideration on July 1, 2021, for the 917 Empire Avenue Plat Amendment, as amended based on the follow",
Empire Avenue,yes,2021-07-01,Council,Council vote,5-0 Pass,,"Council Member Joyce moved to approve Ordinance No. 2021-31, an ordinance approving the 917 Empire Avenue Plat Amendment, located at 917 Empire Avenue",
Empire Avenue,yes,2022-04-13,PlanningCommission,PC continued,Continued unanimous,,"continue the 949 Empire Avenue Plat Amendment to the Planning Commission meeting on June 22, 2022",
Empire Avenue,yes,2022-07-21,Council,Council vote,4-0 Pass,Toly,"Council Member Gerber moved to approve Ordinance No. 2022-26, an ordinance approving the 949 Empire Avenue Plat Amendment, located at 949 Empire Avenue",
Empire Avenue,yes,2023-02-22,PlanningCommission,PC continued,Continued unanimous,,"CONTINUE the 1325 Empire Avenue Plat Amendment to April 12, 2023",
Empire Avenue,yes,2023-06-15,Council,Council vote,5-0 Pass,,"Council Member Dickey moved to approve Ordinance 2023-28, an ordinance approving the 1120 Empire Avenue Plat Amendment, located at 1120 Empire Avenue, Park City",
Empire Avenue,yes,2023-07-27,Council,Council vote,4-0 Pass,,"Council Member Gerber moved to approve Ordinance No. 2023-37, an ordinance approving an extension of City Council's July 21, 2022 approval of Ordinance No. 2022",
Fairway Meadows,yes,2020-01-16,Council,Council vote,5-0 Pass,,"Council Member Joyce moved to approve Ordinance 2020-05, an ordinance approving the Fairway Meadows Subdivision Lot 11 Amended Plat, located at 2784 American Sa",
Fairway Meadows,yes,2021-03-24,PlanningCommission,PC recommendation,Positive recommendation unanimous,,"forward a POSITIVE recommendation to the City Council for their consideration on April 15, 2021 to prohibit nightly rentals in the Fairway Meadows Subdivision",
Founders Place,yes,2021-12-08,PlanningCommission,PC continued,Continued unanimous,,"CONTINUE the Founders Place Subdivision and Phase 1 Condominium Plat to January 12, 2022",
Founders Place,yes,2022-01-27,Council,Council vote,2-3 Fail,"Dickey,Rubell,Toly","Council Member Doilney moved to approve Ordinance No. 2022-03, an ordinance approving the Founders Place Subdivision located at 3267 West Deer Hollow Road, Parc",
Founders Place,yes,2022-01-27,Council,Council vote,4-1 Pass,Rubell,"Council Member Gerber moved to approve Ordinance No. 2022-03, an ordinance approving the Founders Place Subdivision located at 3267 West Deer Hollow Road, Parce",
Founders Place,yes,2022-01-27,Council,Council vote,4-1 Pass,Rubell,"Council Member Gerber moved to approve Ordinance No. 2022-04, an ordinance approving the Founders Place Phase I Condominium Plat located at 3267 West Deer Hollo",
Founders Place,yes,2023-06-14,PlanningCommission,PC recommendation,Positive recommendation unanimous,,"forward a POSITIVE recommendation for the City Council’s consideration on July 6, 2023, for 3267 West Deer Hollow – Founders Place Phase II Condominium Plat, ba",
Founders Place,yes,2023-07-06,Council,Council vote,5-0 Pass,,"Council Member Dickey moved to approve Ordinance 2023-34, an ordinance approving the Founders Place Condominiums - Phase II Plat, located at 3267 West Deer Holl",
Fox Tail Trail,yes,2021-10-13,PlanningCommission,PC continued,Continued 4-0,,"continue the 3805 Fox Tail Trail Subdivision Application to December 8, 2021",
Fox Tail Trail,yes,2021-12-08,PlanningCommission,PC continued,Continued unanimous,,continue the 3805 Fox Tail Trail Subdivision to a date uncertain,
Fox Tail Trail,yes,2022-03-09,PlanningCommission,PC continued,Continued unanimous,,"continue PL-21-04826, 3805 Fox Tail Trail Plat Amendment, to May 11, 2022",
Fox Tail Trail,yes,2022-06-22,PlanningCommission,PC recommendation,Positive recommendation 4-1,Kenworthy,"forward a positive recommendation for City Council’s consideration on July 21, 2022 for the Fox Tail Trail Subdivision, based on the Findings of Fact, Conclusio",
Fox Tail Trail,yes,2022-07-21,Council,Council vote,5-0 Continued,,"Council Member Toly moved to continue Ordinance 2022-25, an ordinance approving the Fox Tail Trail Subdivision, located at 3805 Fox Tail Trail, Park City, Utah ",
Fox Tail Trail,yes,2022-09-01,Council,Council vote,4-0 Pass,,"Council Member Doilney moved to approve Ordinance 2022-25, an ordinance approving the Fox Tail Trail Subdivision, located at 3805 Fox Tail Trail, Park City, Uta",
Gasparac,yes,2021-04-28,PlanningCommission,PC recommendation,Positive recommendation unanimous,,"forward a POSITIVE recommendation to the City Council for their consideration on May 13, 2020 for the Gasparac plat amendment at 1060 Park Avenue, based on the ",
Gasparac,yes,2021-05-13,Council,Council vote,5-0 Pass,,"Council Member Henney moved to approve Ordinance No. 2021-22, an ordinance 2 approving the Gasparac Plat Amendment, located at 1060 Park Avenue, Park City, 3 Ut",
Huntsman Estates,no,2020-06-25,Council,Council vote,2-3 Fail,"Gerber,Henney","Council Member Joyce moved to approve Ordinance 2020-31, an ordinance approving the Huntsman Estates Subdivision Plat located at 5000 Royal Street, Park City, U",
Huntsman Estates,no,2020-06-25,Council,Council vote,3-1 Continued,Joyce,"Council Member Gerber moved to continue Ordinance 2020-31, an ordinance approving the Huntsman Estates Subdivision Plat located at 5000 Royal Street, Park City,",
Huntsman Estates,no,2020-07-09,Council,Council vote,4-1 Pass,Gerber,"Council Member Worel moved to approve Ordinance 2020-31, an ordinance approving the Huntsman Estates Subdivision Plat located at 5000 Royal Street, Park City, U",
Huntsman Estates,no,2023-07-13,Council,Council vote,4-0 Pass,,"Council Member Toly moved to approve Ordinance 2023-35, an ordinance approving the Huntsman Estates First Amended Plat, located at 5000 Royal Street, Park City ",
Industrial Zoning District,no,2023-04-27,Council,Council vote,5-0 Continued,,"Council Member Dickey moved to continue Ordinance No. 2023-17, an ordinance amending Land Management Code Section 15-6-8 Unit Equivalents Regarding Support Comm",
Industrial Zoning District,no,2023-09-28,Council,Council vote,5-0 Fail,,"Council Member Doilney moved to deny Ordinance No. 2023-17, an ordinance amending Land Management Code Section 15-6-8 Unit Equivalents and Section 15-15- 1 Defi",
Iron Canyon,yes,2022-07-13,PlanningCommission,PC continued,Continued unanimous,,"CONTINUE 14 Iron Canyon Subdivision, Lot 33 Building Pad Amendment, to July 27, 2022",
Iron Canyon,yes,2022-07-27,PlanningCommission,PC recommendation,Positive recommendation unanimous,,"forward a positive recommendation for the City Council’s 4. consideration on September 1, 2022, for Iron Canyon Subdivision Lot 33 Plat Amendment based on the F",
Iron Canyon,yes,2022-09-01,Council,Council vote,4-0 Pass,,"Council Member Dickey moved to approve Ordinance 2022-34, an ordinance approving Iron Canyon Subdivision Lot 33 - Building Pad Adjustment Plat Amendment, locate",
Iron Canyon,yes,2023-10-05,Council,Council vote,5-0 Pass,,"Council Member Dickey moved to approve Ordinance No. 2023-48, an ordinance approving Iron Canyon Subdivision Lot 41 - Building Pad Adjustment Plat Amendment, lo",
King Road,yes,2021-09-08,PlanningCommission,PC recommendation,Positive recommendation unanimous,,"forward a positive recommendation to the City Council for the 91 and 95 King Road Plat Amendment, according to the Findings of Fact and Conclusions of Law and A",
King Road,yes,2021-10-07,Council,Council vote,5-0 Pass,,"Council Member Joyce moved to approve Ordinance No. 2021-39, an ordinance approving the 91 and 95 King Road Plat Amendment, located at 91 King Road and 95 King ",
King's Crown,yes,2020-09-23,PlanningCommission,PC final action,Approved,,"APPROVE the modifications to the King’s Crown Master Planned Development Conditional Use Permit and Development Agreement, based upon the amended Findings of Fa",
King's Crown,yes,2020-12-09,PlanningCommission,PC recommendation,Positive recommendation unanimous,,"forward a POSITIVE recommendation to the City Council to combine single family lots 27, 28, and 29 of the King’s Crown Subdivision into two lots in accordance w",
King's Crown,yes,2021-01-07,Council,Council vote,5-0 Pass,,"Council Member Henney moved to approve Ordinance No. 2021-03, an ordinance approving the King’s Crown Re-Subdivision Second Amended Lot Line Adjustment Plat, am",
King's Crown,yes,2021-02-10,PlanningCommission,PC final action,Approved unanimous,,APPROVE the King’s Crown Master Planned Development amended MPD to amend Findings of Fact #112 and #113 as reflected in the Staff report,
King's Crown,yes,2021-02-10,PlanningCommission,PC recommendation,Positive recommendation unanimous,,"forward a POSITIVE recommendation to the City Council for the King’s Crown Condominiums Plat Amendment for the City Council’s consideration on February 25, 2021",
King's Crown,yes,2021-02-25,Council,Council vote,4-0 Pass,,"Council Member Doilney moved to approve Ordinance No. 2021-11, an ordinance approving the King's Crown Condominiums First Amended Condominium Plat located in",
Kings Crown,no,2022-04-28,Council,Council vote,4-0 Pass,,"Council Member Gerber moved to approve Ordinance No. 2022-09, an ordinance approving the Kings Crown Re-Subdivision Third Amended Lot Combination Plat, located ",
Kings Crown,no,2023-04-27,Council,Council vote,5-0 Pass,,"Council Member Gerber moved to approve Ordinance 2023-22, an ordinance approving the Kings Crown Condominiums, Second Amended combining Units B302 & B401, locat",
Lilac Hill,no,2020-01-09,Council,Council vote,5-0 Pass,,"Council Member Joyce moved to approve Ordinance 2020-02, an ordinance approving the Lilac Hill Subdivision located at 729, 741, 747, 751, 755 Rossie Hill Drive",
Lilac Hill,no,2021-02-04,Council,Council vote,5-0 Pass,,"Council Member Joyce moved to grant the following easements, in a form approved by the City Attorney, across City-owned property to the Snyderville Basin Water ",
Lilac Hill,no,2021-02-25,Council,Council vote,4-0 Pass,,"Council Member Gerber moved to approve Ordinance 2021-09, an ordinance approving an extension of the Lilac Hill East Subdivision located at 729, 741, 747, 751, ",
Lowell Avenue,no,2021-03-10,PlanningCommission,PC continued,Continued unanimous,,"CONTINUE 1049 Lowell Avenue Plat Amendment to April 14, 2021",
Lowell Avenue,no,2021-04-14,PlanningCommission,PC recommendation,Positive recommendation unanimous,,"forward a POSITIVE recommendation to the City Council for the 1049 Lowell Avenue plat amendment adjusting the lot line between Lots 2 and 3, based on the amende",
Lowell Avenue,no,2021-05-12,PlanningCommission,PC recommendation,Positive recommendation unanimous,,"forward a positive recommendation for the City Council’s consideration on May 27, 2021, for the 1115 and 1117 Lowell Avenue Plat Amendment subject to the follow",
Lowell Avenue,no,2024-05-22,PlanningCommission,PC final action,Approved unanimous,,"APPROVE the 1061 and 1063 Lowell Avenue Condominium Plat, according to the Findings of Fact, Conclusions of Law, and amended Conditions of Approval, as follows:",
Lowell Avenue Northstar,no,2023-03-22,PlanningCommission,PC final action,Approved unanimous,,"APPROVE the Conditional Use Permit for 1061 Lowell Avenue, based on the Findings of Fact, Conclusions of Law and Conditions of Approval, as amended in the Final",
Lowell Avenue Northstar,no,2023-03-22,PlanningCommission,PC final action,Approved unanimous,,"APPROVE the Conditional Use Permit for 1063 Lowell Avenue, based on the Findings of Fact, Conclusions of Law and Conditions of Approval, in the Final Action Let",
McHenry Avenue,yes,2020-10-28,PlanningCommission,PC recommendation,Positive recommendation unanimous,,"forward a POSITIVE recommendation to the City Council for their consideration on November 19, 2020 for the 331 McHenry Avenue Subdivision, first amended plat am",
McHenry Avenue,yes,2020-11-19,Council,Council vote,5-0 Pass,,"Council Member Doilney moved to approve Ordinance 2020-50, an ordinance approving the 331 McHenry Avenue Subdivision - First Amended Located at 327 McHenry Aven",
Mountain Ridge,yes,2022-02-09,PlanningCommission,PC recommendation,Negative recommendation 3-2,"Dine,Hall","forward a NEGATIVE recommendation to the City Council for consideration on March 3, 2022, for PL-21-04950, .1 Mountain Ridge Subdivision, Lot 13 Plat Amendment ",
Mountain Ridge,yes,2022-03-03,Council,Council vote,5-0 Fail,,"Council Member Gerber moved to deny Ordinance No. 2022-05, an ordinance approving the Mountain Ridge Subdivision, Lot 13, Plat Amendment, located at 3099 Mounta",
Mountain Ridge,yes,2022-03-31,Council,Council vote,5-0 Pass,,"Council Member Gerber moved to approve Ordinance No. 2022-05, an ordinance denying the Mountain Ridge Subdivision, Lot 13, Plat Amendment, located at 3099 Mount",
Norfolk,no,2023-11-16,Council,Council vote,5-0 Pass,,"Council Member Doilney moved to approve Ordinance No. 2023-54, an ordinance approving the North Norfolk Plat Amendment amending the Knudson Subdivision and Parc",
Norfolk,no,2023-11-30,Council,Council vote,5-0 Pass,,"Council Member Dickey moved to re-open a public hearing on December 14, 2023 for the North Norfolk Plat Amendment - Ordinance No. 2023-54, an ordinance approvin",
Norfolk,no,2023-12-14,Council,Council vote,5-0 Pass,,"Council Member Gerber moved to approve Ordinance No. 2023-54, an ordinance approving the North Norfolk Plat Amendment amending the Knudson Subdivision Parcel C ",
Norfolk Avenue,yes,2020-05-13,PlanningCommission,PC recommendation,Positive recommendation unanimous,,"forward a POSITIVE recommendation to the City Council for the 1121 Norfolk Avenue Plat Amendment based on the Findings of Fact, Conclusions of Law, and Conditio",
Norfolk Avenue,yes,2020-06-11,Council,Council vote,5-0 Pass,,"Council Member Joyce moved to approve Ordinance 2020-24, an ordinance approving the 1121 Norfolk Avenue Plat Amendment, located at 1121 Norfolk Avenue, Park Cit",
Norfolk Avenue,yes,2021-09-02,Council,Council vote,5-0 Pass,,"Council Member Joyce moved to approve Ordinance 2021-34, an ordinance approving the 1003 Norfolk Avenue Amended Plat, Lot 1 and Lot 2 in Block 16 of Snyder's Ad",
Northstar,yes,2021-04-29,Council,Council vote,5-0 Pass,,"Council Member Joyce moved to approve Ordinance 2021-19, an ordinance approving the Northstar Subdivision Lot 2 & 3 Lot Line Adjustment, located at 1049 and 102",
Northstar,yes,2021-09-22,PlanningCommission,PC recommendation,Positive recommendation unanimous,,"forward a positive recommendation to the City Council for consideration on October 28, 2021, for the Northstar Subdivision – Lot 1 Plat Amendment, subject to th",
Northstar,yes,2021-10-28,Council,Council vote,5-0 Pass,,"Council Member Doilney moved to approve Ordinance 2021-42, an ordinance approving The Northstar Subdivision - Lot 1 Amended plat, located at 1061 and 1063 Lowel",
Oaks Deer Valley,yes,2021-11-10,PlanningCommission,PC recommendation,Positive recommendation 5-0,,"forward a positive recommendation to the City Council for consideration on December 16, 2021, for an amendment to the Land Management Code Section 15-2.13-2 to ",
Oaks Deer Valley,yes,2021-12-16,Council,Council vote,4-0 Pass,,"Council Member Gerber moved to approve Ordinance 2021-52, an ordinance amending the Land Management Code Section 15-2.13.2 to prohibit nightly rentals in the Hi",
Ontario Avenue,no,2020-02-06,Council,Council vote,5-0 Continued,,"Council Member Worel moved to continue an ordinance approving an extension of City Council's January 2019 approval of Ordinance No. 2019-03, an ordinance approv",
Ontario Avenue,no,2021-01-07,Council,Council vote,5-0 Pass,,"Council Member Joyce moved to approve Ordinance No. 2021-02, an ordinance approving an extension of City Council’s January 15, 2019 approval of Ordinance No. 20",
Ontario Avenue,no,2023-03-09,Council,Council vote,5-0 Pass,,"Council Member Dickey moved to approve Ordinance 2023-11, an ordinance approving the 402 and 410 Ontario Avenue Plat Amendment, located at 402 and 410 Ontario A",
Park Avenue,yes,2020-01-08,PlanningCommission,PC continued,Continued unanimous,,CONTINUE 1274 Park Avenue Plat Amendment to a date uncertain,
Park Avenue,yes,2020-01-08,PlanningCommission,PC recommendation,Positive recommendation 4-1,,"forward a POSITIVE recommendation to the City Council for the 322 Park Avenue Plat Amendment based on the Findings of Fact, Conclusions of Law, and Conditions o",
Park Avenue,yes,2020-01-30,Council,Council vote,5-0 Pass,,"Council Member Henney moved to approve Ordinance 2020-06, an ordinance approving the 322 Park Avenue Plat Amendment located at 322 Park Avenue, Park City, Utah",
Park Avenue,yes,2020-04-22,PlanningCommission,PC recommendation,Positive recommendation unanimous,,"forward a POSITIVE recommendation to the City Council for the 1064 Park Avenue Plat Amendment based on the Findings of Fact, Conclusions of Law, and Conditions ",
Park Avenue,yes,2020-05-14,Council,Council vote,5-0 Pass,,"Council Member Joyce moved to approve Ordinance 2020-22, an ordinance approving the 1209 Park Avenue Plat Amendment, located at 1209 Park Avenue, Park City, Uta",
Park Avenue,yes,2020-06-18,Council,Council vote,5-0 Pass,,"Council Member Doilney moved to approve Ordinance 2020-29, an ordinance approving the 1064 Park Avenue Condominium Plat, located at 1064 Park Avenue, a conditio",
Park Avenue,yes,2020-10-28,PlanningCommission,PC recommendation,Positive recommendation unanimous,,"forward a POSITIVE recommendation to the City Council for their consideration on November 19, 2020 for the 1117 Park Avenue plat amendment, based on the Finding",
Park Avenue,yes,2020-11-19,Council,Council vote,5-0 Pass,,"Council Member Henney moved to approve Ordinance 2020-49, an ordinance approving the 1117 Park Avenue Plat Amendment located at 1117 Park Avenue, Park City, Uta",
Park Avenue,yes,2021-03-18,Council,Council vote,5-0 Pass,,"Council Member Joyce moved to approve Ordinance 2021-14, an ordinance approving the 1203 Park Avenue Plat Amendment located at 1203 Park Avenue, Park City, Utah",
Park Avenue,yes,2021-04-28,PlanningCommission,PC recommendation,Positive recommendation unanimous,,"forward a POSITIVE recommendation to the .1 City Council concerning the 1125 and 1129 Park Avenue Plat Amendment for their consideration on May 13, 2021, in acc",
Park Avenue,yes,2021-08-25,PlanningCommission,PC recommendation,Positive recommendation unanimous,,"forward a positive recommendation for the 633 Park Avenue Condominium Plat Amendment to the City Council for consideration on September 23, 2021, subject to the",
Park Avenue,yes,2021-10-13,PlanningCommission,PC recommendation,Positive recommendation 4-0,,"forward a positive recommendation on the 402 Park Avenue Plat Amendment for City Council’s consideration on November 11, 2021, subject to the following: Finding",
Park Avenue,yes,2021-11-18,Council,Council vote,4-0 Pass,,"Council Member Gerber moved to approve Ordinance No. 2021-45, an ordinance approving the 402 Park Avenue Plat Amendment located at 402 Park Avenue, Park City, U",
Park Avenue,yes,2022-03-23,PlanningCommission,PC recommendation,Positive recommendation unanimous,,"that the Commission forward a positive recommendation for City Council’s consideration on April 28, 2022, for 1304 Park Avenue Plat Amendment, based on the Find",
Park Avenue,yes,2022-04-28,Council,Council vote,4-0 Pass,,"Council Member Gerber moved to approve Ordinance 2022-10, an ordinance approving 1304 Park Avenue Plat Amendment, located at 1304 Park Avenue, Park City, Utah. ",
Park Avenue,yes,2022-08-24,PlanningCommission,PC continued,Continued unanimous,,"CONTINUE 1800 Park Avenue Master Planned Development and Affordable Master Planned Development to September 14, 2022",
Park Avenue,yes,2022-09-28,PlanningCommission,PC recommendation,Positive recommendation unanimous,,"forward a positive recommendation for City Council’s consideration on October 27, 2022, for 569 Park Avenue Plat Amendment and Conditional Use Permit, based on ",
Park Avenue,yes,2022-10-27,Council,Council vote,5-0 Pass,,"Council Member Dickey moved to approve Ordinance 2022-44, an ordinance approving the 569 Park Avenue Subdivision, located at 569 Park Avenue, Summit County, Par",
Park Avenue,yes,2022-12-08,Council,Council vote,5-0 Pass,,"Council Member Gerber moved to approve Ordinance No. 2022-46, an ordinance approving the 161 Park Avenue Plat Amendment located at 161 Park Avenue, Park City, U",
Park Avenue,yes,2023-03-09,Council,Council vote,5-0 Pass,,"Council Member Dickey moved to approve Ordinance 2023-12, an ordinance approving the 1150 Park Avenue Plat Amendment, located at 1150 Park Avenue, Park City, Ut",
Park Avenue,yes,2023-04-04,Council,Council vote,4-0 Pass,Rubell,"Council Member Dickey moved to approve Ordinance 2023-14, an ordinance approving the 1313 Park Avenue Subdivision, located at 1313 Park Avenue, Park City, Utah",
Park Avenue,yes,2023-05-11,Council,Council vote,4-0 Pass,,"Council Member Gerber moved to approve Ordinance 2023-24, an ordinance approving the 593 Park Avenue Plat Amendment, located at 593 Park Avenue, Park City, Utah",
Park Avenue,yes,2023-05-25,Council,Council vote,4-0 Pass,,"Council Member Doilney moved to approve Ordinance No. 2023-26, an ordinance approving an extension of City Council's April 28, 2021 approval of Ordinance No. 20",
Park Avenue,yes,2024-06-26,PlanningCommission,PC continued,Continued unanimous,,"CONTINUE the 1800 Park Avenue Master Planned Development and Conditional Use Permit to the August 28, 2024, Planning Commission Meeting",
Park Fire Station,yes,2022-08-24,PlanningCommission,PC recommendation,Positive recommendation unanimous,,"forward a positive recommendation for City Council’s consideration on October 6, 2022, for the Park City Fire Station Subdivision Plat, based on the Findings of",
Park Fire Station,yes,2022-10-06,Council,Council vote,5-0 Pass,,"Council Member Dickey moved to approve Ordinance No. 2022-41, an ordinance approving the Park City Fire Station Subdivision, located at 7805 Royal Street, Park ",
Park Kearns,no,2024-08-28,PlanningCommission,PC continued,Continued unanimous,,"CONTINUE 1800 Park Avenue – Park and Kearns Master Planned Development and the public hearing thereon to September 11, 2024",
Park Kearns,no,2024-09-11,PlanningCommission,PC continued,Continued unanimous,,"CONTINUE 1800 Park Avenue – Park and Kearns Master Planned Development, and the public hearing thereon, to September 25, 2024",
Park Kearns,no,2024-09-25,PlanningCommission,PC continued,Continued unanimous,,"CONTINUE the 1800 Park Avenue – Park and Kearns Master Planned Development and the Public Hearing to the Planning Commission Meeting scheduled for October 23, 2",
Parkview,no,2022-06-15,PlanningCommission,PC final action,Approved 4-1,Suesser,"APPROVE the Conditional Use Permit for 2346 Park Avenue the Peaks Hotel – PL-22-05132, based on the Findings of Fact, Conclusions of Law, and Conditions of Appr",
Parkview,no,2023-07-26,PlanningCommission,PC final action,Approved unanimous,,"APPROVE 2346 Park Avenue – Conditional Use Permit, based on the Findings of Fact, Conclusions of Law, and Conditions of Approval as amended, and outlined in the",
Payday,yes,2021-04-14,PlanningCommission,PC continued,Continued unanimous,,"CONTINUE the Payday Condominiums amended plat to April 28, 2021",
Payday,yes,2021-04-28,PlanningCommission,PC continued,Continued unanimous,,"CONTINUE Payday Condominiums Amendment Plat to May 12, 2021",
Payday,yes,2022-03-03,Council,Council vote,3-2 Pass,"Rubell,Toly","Council Member Gerber moved to approve Ordinance No. 2022-07, an ordinance approving the Payday Condominium Amended Plat, located at 1660 and 1700 Three Kings D",
RATIFY,no,2024-02-21,PlanningCommission,PC final action,Approved 4-2,,"RATIFY the Plat Amendment Final Action Letter, as approved by the majority of the Planning Commission by a 4 to 2 vote on February 14, 2024. Special Planning Co",
