date,title,body,video_url,video_id,caption_type,source_url,retrieved_date,format,extraction_method,path,date_source
2020-10-06,"City Council - Oct 6, 2020",Council,https://www.youtube.com/watch?v=J_OkQ1iWpN8,J_OkQ1iWpN8,asr,https://www.youtube.com/watch?v=J_OkQ1iWpN8,2026-07-13,na,enumerated,,title
2020-10-14,"Planning Commission Oct 14, 2020",PlanningCommission,https://www.youtube.com/watch?v=pavEzTwqgGM,pavEzTwqgGM,asr,https://www.youtube.com/watch?v=pavEzTwqgGM,2026-07-13,na,enumerated,,title
2020-10-20,"City Council Meeting October 20, 2020",Council,https://www.youtube.com/watch?v=Uf-TYNsl0WI,Uf-TYNsl0WI,asr,https://www.youtube.com/watch?v=Uf-TYNsl0WI,2026-07-13,na,enumerated,,title
2020-10-28,"Planning Commission - Oct 28, 2020",PlanningCommission,https://www.youtube.com/watch?v=IroqvI0w6qg,IroqvI0w6qg,asr,https://www.youtube.com/watch?v=IroqvI0w6qg,2026-07-13,na,enumerated,,title
2020-11-10,"City Council Meeting November 10, 2020",Council,https://www.youtube.com/watch?v=XWSnDSvLax0,XWSnDSvLax0,asr,https://www.youtube.com/watch?v=XWSnDSvLax0,2026-07-13,na,enumerated,,title
2020-11-17,"City Council Meeting November 17, 2020",Council,https://www.youtube.com/watch?v=lXuoMnOuKbo,lXuoMnOuKbo,asr,https://www.youtube.com/watch?v=lXuoMnOuKbo,2026-07-13,na,enumerated,,title
2020-11-18,"Planning Commission Meeting November 18, 2020",PlanningCommission,https://www.youtube.com/watch?v=7qC2UAmY8zQ,7qC2UAmY8zQ,asr,https://www.youtube.com/watch?v=7qC2UAmY8zQ,2026-07-13,na,enumerated,,title
2020-12-08,City Council Meeting 12/8/2020,Council,https://www.youtube.com/watch?v=IhYwYncRqIc,IhYwYncRqIc,asr,https://www.youtube.com/watch?v=IhYwYncRqIc,2026-07-13,na,enumerated,,title
2020-12-09,Planning Commission 12/9/2020,PlanningCommission,https://www.youtube.com/watch?v=OGDyCIlt35Y,OGDyCIlt35Y,asr,https://www.youtube.com/watch?v=OGDyCIlt35Y,2026-07-13,na,enumerated,,title
2021-01-05,"City Council - January 5, 2021",Council,https://www.youtube.com/watch?v=F7Lr9RfqpEY,F7Lr9RfqpEY,asr,https://www.youtube.com/watch?v=F7Lr9RfqpEY,2026-07-13,na,enumerated,,title
2021-01-13,Annual Legislative Meeting,Council,https://www.youtube.com/watch?v=4j1hGKzot-0,4j1hGKzot-0,asr,https://www.youtube.com/watch?v=4j1hGKzot-0,2026-07-13,na,enumerated,,release_timestamp
2021-01-13,Planning Commission 01/13/2021,PlanningCommission,https://www.youtube.com/watch?v=NHhQJUoQ4gw,NHhQJUoQ4gw,asr,https://www.youtube.com/watch?v=NHhQJUoQ4gw,2026-07-13,na,enumerated,,title
2021-01-19,"City Council - January 19, 2021",Council,https://www.youtube.com/watch?v=lzdJSZHI8JM,lzdJSZHI8JM,asr,https://www.youtube.com/watch?v=lzdJSZHI8JM,2026-07-13,na,enumerated,,title
2021-02-02,"City Council Meeting - February 2, 2021",Council,https://www.youtube.com/watch?v=v7gJWjxvo4E,v7gJWjxvo4E,asr,https://www.youtube.com/watch?v=v7gJWjxvo4E,2026-07-13,na,enumerated,,title
2021-02-10,"Planning Commission Meeting February 10, 2021",PlanningCommission,https://www.youtube.com/watch?v=5rMoJ8ssh84,5rMoJ8ssh84,asr,https://www.youtube.com/watch?v=5rMoJ8ssh84,2026-07-13,na,enumerated,,title
2021-02-16,"City Council Meeting February 16, 2021",Council,https://www.youtube.com/watch?v=_tfK7_O01WA,_tfK7_O01WA,asr,https://www.youtube.com/watch?v=_tfK7_O01WA,2026-07-13,na,enumerated,,title
2021-02-24,"Planning Commission Meeting February 24, 2021",PlanningCommission,https://www.youtube.com/watch?v=fgOTWbJtGrM,fgOTWbJtGrM,asr,https://www.youtube.com/watch?v=fgOTWbJtGrM,2026-07-13,na,enumerated,,title
2021-03-02,"City Council Meeting March 2, 2021",Council,https://www.youtube.com/watch?v=Yz402IJcEjA,Yz402IJcEjA,asr,https://www.youtube.com/watch?v=Yz402IJcEjA,2026-07-13,na,enumerated,,title
2021-03-10,"Planning Commission Meeting Wednesday March 10, 2021",PlanningCommission,https://www.youtube.com/watch?v=E7nHgtJqjb0,E7nHgtJqjb0,asr,https://www.youtube.com/watch?v=E7nHgtJqjb0,2026-07-13,caption,yt-dlp --write-auto-sub (en ASR),raw/2021-03-10.en.vtt,title
2021-03-16,"Midvale City Council Meeting Tuesday March 16, 2021",Council,https://www.youtube.com/watch?v=2lLERGwFl58,2lLERGwFl58,asr,https://www.youtube.com/watch?v=2lLERGwFl58,2026-07-13,na,enumerated,,title
2021-03-24,"Planning Commission Meeting Wednesday March 24, 2021",PlanningCommission,https://www.youtube.com/watch?v=EXlEJWFtZT0,EXlEJWFtZT0,asr,https://www.youtube.com/watch?v=EXlEJWFtZT0,2026-07-13,na,enumerated,,title
2021-04-06,City Council Meeting 4/6/2021,Council,https://www.youtube.com/watch?v=d3z8c9wiqZs,d3z8c9wiqZs,asr,https://www.youtube.com/watch?v=d3z8c9wiqZs,2026-07-13,na,enumerated,,title
2021-04-14,Planning Commission 4/14/21,PlanningCommission,https://www.youtube.com/watch?v=h8mJG7od8ek,h8mJG7od8ek,asr,https://www.youtube.com/watch?v=h8mJG7od8ek,2026-07-13,na,enumerated,,title
2021-04-20,City Council Meeting 4/20/2021,Council,https://www.youtube.com/watch?v=vOQl1lGOHpg,vOQl1lGOHpg,asr,https://www.youtube.com/watch?v=vOQl1lGOHpg,2026-07-13,na,enumerated,,title
2021-04-28,Planning Commission 4/28/21,PlanningCommission,https://www.youtube.com/watch?v=DGkKYwOSY5s,DGkKYwOSY5s,asr,https://www.youtube.com/watch?v=DGkKYwOSY5s,2026-07-13,na,enumerated,,title
2021-05-04,"City Council - May 4, 2021",Council,https://www.youtube.com/watch?v=hvLZnRNqwVI,hvLZnRNqwVI,asr,https://www.youtube.com/watch?v=hvLZnRNqwVI,2026-07-13,na,enumerated,,title
2021-05-18,"City Council - May 18, 2021",Council,https://www.youtube.com/watch?v=fX_puMBpRqE,fX_puMBpRqE,asr,https://www.youtube.com/watch?v=fX_puMBpRqE,2026-07-13,na,enumerated,,title
2021-05-26,"Planning Commission - May 26, 2021",PlanningCommission,https://www.youtube.com/watch?v=YWIT-7_qFTY,YWIT-7_qFTY,asr,https://www.youtube.com/watch?v=YWIT-7_qFTY,2026-07-13,na,enumerated,,title
2021-06-01,City Council Meeting 6/1/2021,Council,https://www.youtube.com/watch?v=Edg_s3EnHNA,Edg_s3EnHNA,asr,https://www.youtube.com/watch?v=Edg_s3EnHNA,2026-07-13,na,enumerated,,title
2021-06-09,"Planning Commission June 9, 2021",PlanningCommission,https://www.youtube.com/watch?v=pyxQQCyr4UQ,pyxQQCyr4UQ,asr,https://www.youtube.com/watch?v=pyxQQCyr4UQ,2026-07-13,na,enumerated,,title
2021-06-15,"City Council Meeting June 15, 2021",Council,https://www.youtube.com/watch?v=vVgZgDqUr88,vVgZgDqUr88,asr,https://www.youtube.com/watch?v=vVgZgDqUr88,2026-07-13,na,enumerated,,title
2021-06-22,"Special City Council Meeting - June 22, 2021",Council,https://www.youtube.com/watch?v=-gL1h2A784I,-gL1h2A784I,asr,https://www.youtube.com/watch?v=-gL1h2A784I,2026-07-13,na,enumerated,,title
2021-06-23,"Planning Commission June 23, 2021",PlanningCommission,https://www.youtube.com/watch?v=DOGevcP-aWI,DOGevcP-aWI,asr,https://www.youtube.com/watch?v=DOGevcP-aWI,2026-07-13,na,enumerated,,title
2021-07-06,"City Council Meeting July 6, 2021",Council,https://www.youtube.com/watch?v=rxZA6mdw-yY,rxZA6mdw-yY,asr,https://www.youtube.com/watch?v=rxZA6mdw-yY,2026-07-13,na,enumerated,,title
2021-07-14,Planning Commission 7/14/2021,PlanningCommission,https://www.youtube.com/watch?v=nfMxfZVHQh8,nfMxfZVHQh8,asr,https://www.youtube.com/watch?v=nfMxfZVHQh8,2026-07-13,na,enumerated,,title
2021-07-14,Planning Commission 7/14/2021,PlanningCommission,https://www.youtube.com/watch?v=glsAuWKu8ZI,glsAuWKu8ZI,asr,https://www.youtube.com/watch?v=glsAuWKu8ZI,2026-07-13,na,enumerated,,title
2021-07-20,City Council Meeting 7-20-2021,Council,https://www.youtube.com/watch?v=grVcw3gwvE8,grVcw3gwvE8,asr,https://www.youtube.com/watch?v=grVcw3gwvE8,2026-07-13,na,enumerated,,title
2021-08-10,City Council Meeting 8-10-2021,Council,https://www.youtube.com/watch?v=VbrfZGLBQ9w,VbrfZGLBQ9w,asr,https://www.youtube.com/watch?v=VbrfZGLBQ9w,2026-07-13,na,enumerated,,title
2021-08-24,City Council Meeting 8/24/2021,Council,https://www.youtube.com/watch?v=jlthhVwmE2s,jlthhVwmE2s,asr,https://www.youtube.com/watch?v=jlthhVwmE2s,2026-07-13,na,enumerated,,title
2021-08-25,Planning Commission 8-25-21,PlanningCommission,https://www.youtube.com/watch?v=X1HzIg3PHkA,X1HzIg3PHkA,asr,https://www.youtube.com/watch?v=X1HzIg3PHkA,2026-07-13,na,enumerated,,title
2021-09-07,"City Council - September 7, 2021",Council,https://www.youtube.com/watch?v=Fzf-yCeztNY,Fzf-yCeztNY,asr,https://www.youtube.com/watch?v=Fzf-yCeztNY,2026-07-13,na,enumerated,,title
2021-09-15,Planning Commission 9/15/2021,PlanningCommission,https://www.youtube.com/watch?v=qqZdEV1Us5o,qqZdEV1Us5o,asr,https://www.youtube.com/watch?v=qqZdEV1Us5o,2026-07-13,na,enumerated,,title
2021-09-21,City Council Meeting 9-21-2021,Council,https://www.youtube.com/watch?v=4_TLFSJkPgU,4_TLFSJkPgU,asr,https://www.youtube.com/watch?v=4_TLFSJkPgU,2026-07-13,na,enumerated,,title
2021-10-05,City Council Meeting 10/5/2021,Council,https://www.youtube.com/watch?v=55dMFpLztqo,55dMFpLztqo,asr,https://www.youtube.com/watch?v=55dMFpLztqo,2026-07-13,na,enumerated,,title
2021-10-13,Planning Commission 10/13/2021,PlanningCommission,https://www.youtube.com/watch?v=Uqs8o6LT5Go,Uqs8o6LT5Go,asr,https://www.youtube.com/watch?v=Uqs8o6LT5Go,2026-07-13,na,enumerated,,title
2021-10-19,Midvale City Council 10/19/2021,Council,https://www.youtube.com/watch?v=wbWFt5EJFHg,wbWFt5EJFHg,asr,https://www.youtube.com/watch?v=wbWFt5EJFHg,2026-07-13,na,enumerated,,title
2021-11-09,Midvale City Council 11/09/2021,Council,https://www.youtube.com/watch?v=3ZIACmcgEJU,3ZIACmcgEJU,asr,https://www.youtube.com/watch?v=3ZIACmcgEJU,2026-07-13,na,enumerated,,title
2021-11-10,Planning Commission  11/10/2021,PlanningCommission,https://www.youtube.com/watch?v=uOFmIxBLDio,uOFmIxBLDio,asr,https://www.youtube.com/watch?v=uOFmIxBLDio,2026-07-13,na,enumerated,,title
2021-11-16,Midvale City Council  11/16/2021,Council,https://www.youtube.com/watch?v=WyxQtzbPB5U,WyxQtzbPB5U,asr,https://www.youtube.com/watch?v=WyxQtzbPB5U,2026-07-13,na,enumerated,,title
2021-12-07,Midvale City Council  12/07/2021,Council,https://www.youtube.com/watch?v=0tw9ucUbzlo,0tw9ucUbzlo,asr,https://www.youtube.com/watch?v=0tw9ucUbzlo,2026-07-13,na,enumerated,,title
2021-12-08,Midvale City Planning Commission  12/08/2021,PlanningCommission,https://www.youtube.com/watch?v=S_Wq6la-Pds,S_Wq6la-Pds,asr,https://www.youtube.com/watch?v=S_Wq6la-Pds,2026-07-13,caption,yt-dlp --write-auto-sub (en ASR),raw/2021-12-08.en.vtt,title
2021-12-14,Midvale City Council 12/14/2021,Council,https://www.youtube.com/watch?v=DwPznCw4pgM,DwPznCw4pgM,asr,https://www.youtube.com/watch?v=DwPznCw4pgM,2026-07-13,na,enumerated,,title
2022-01-04,Midvale City Council Meeting 1/4/2022,Council,https://www.youtube.com/watch?v=wwhcABZrjhc,wwhcABZrjhc,asr,https://www.youtube.com/watch?v=wwhcABZrjhc,2026-07-13,na,enumerated,,title
2022-01-12,"Planning Commission Meeting - January 12, 2022",PlanningCommission,https://www.youtube.com/watch?v=_PBkxzseOO4,_PBkxzseOO4,asr,https://www.youtube.com/watch?v=_PBkxzseOO4,2026-07-13,na,enumerated,,title
2022-01-18,City Council Meeting 01-18-2022,Council,https://www.youtube.com/watch?v=AgS_1q9KLHg,AgS_1q9KLHg,asr,https://www.youtube.com/watch?v=AgS_1q9KLHg,2026-07-13,na,enumerated,,title
2022-01-26,"Planning Commission - January 26, 2022",PlanningCommission,https://www.youtube.com/watch?v=zRcZ7Czq0yg,zRcZ7Czq0yg,asr,https://www.youtube.com/watch?v=zRcZ7Czq0yg,2026-07-13,na,enumerated,,title
2022-02-01,City Council Meeting 02-01-2022,Council,https://www.youtube.com/watch?v=iHDGxy90ACo,iHDGxy90ACo,asr,https://www.youtube.com/watch?v=iHDGxy90ACo,2026-07-13,na,enumerated,,title
2022-02-09,"Planning Commission - February 9, 2022",PlanningCommission,https://www.youtube.com/watch?v=VwN08fa6Ye4,VwN08fa6Ye4,asr,https://www.youtube.com/watch?v=VwN08fa6Ye4,2026-07-13,na,enumerated,,title
2022-02-15,City Council Meeting 02-15-2022,Council,https://www.youtube.com/watch?v=6s-qbIGHfTc,6s-qbIGHfTc,asr,https://www.youtube.com/watch?v=6s-qbIGHfTc,2026-07-13,na,enumerated,,title
2022-02-23,Planning Commission Meeting 02-23-2022,PlanningCommission,https://www.youtube.com/watch?v=d3kTtL-gcTk,d3kTtL-gcTk,asr,https://www.youtube.com/watch?v=d3kTtL-gcTk,2026-07-13,na,enumerated,,title
2022-03-01,City Council Meeting 03-01-2022,Council,https://www.youtube.com/watch?v=MiKDAZkcnow,MiKDAZkcnow,asr,https://www.youtube.com/watch?v=MiKDAZkcnow,2026-07-13,na,enumerated,,title
2022-03-09,Planning Commission Meeting 03-09-2022,PlanningCommission,https://www.youtube.com/watch?v=rleSOO8bEVI,rleSOO8bEVI,asr,https://www.youtube.com/watch?v=rleSOO8bEVI,2026-07-13,na,enumerated,,title
2022-03-15,City Council Meeting 3/15/2022,Council,https://www.youtube.com/watch?v=3_4ElBDmLro,3_4ElBDmLro,asr,https://www.youtube.com/watch?v=3_4ElBDmLro,2026-07-13,na,enumerated,,title
2022-04-05,City Council Meeting 4-5-2022,Council,https://www.youtube.com/watch?v=9Ws1P96RrAE,9Ws1P96RrAE,asr,https://www.youtube.com/watch?v=9Ws1P96RrAE,2026-07-13,na,enumerated,,title
2022-04-13,Planning Commission 4-13-2022,PlanningCommission,https://www.youtube.com/watch?v=mgR6o6WpXfc,mgR6o6WpXfc,asr,https://www.youtube.com/watch?v=mgR6o6WpXfc,2026-07-13,na,enumerated,,title
2022-04-19,City Council 4-19-2022,Council,https://www.youtube.com/watch?v=e1G9oqZnc-A,e1G9oqZnc-A,asr,https://www.youtube.com/watch?v=e1G9oqZnc-A,2026-07-13,na,enumerated,,title
2022-04-27,Planning Commission 4-27-2022,PlanningCommission,https://www.youtube.com/watch?v=tRF6-WpW9kQ,tRF6-WpW9kQ,asr,https://www.youtube.com/watch?v=tRF6-WpW9kQ,2026-07-13,na,enumerated,,title
2022-05-03,Midvale City Council Meeting 05/03/2022,Council,https://www.youtube.com/watch?v=0_ebBctYApM,0_ebBctYApM,asr,https://www.youtube.com/watch?v=0_ebBctYApM,2026-07-13,na,enumerated,,title
2022-05-11,Planning Commission 5-11-2022,PlanningCommission,https://www.youtube.com/watch?v=CeoBXcwa62s,CeoBXcwa62s,asr,https://www.youtube.com/watch?v=CeoBXcwa62s,2026-07-13,na,enumerated,,title
2022-05-17,City Council Meeting 5-17-2022,Council,https://www.youtube.com/watch?v=NKIpWOec1bg,NKIpWOec1bg,asr,https://www.youtube.com/watch?v=NKIpWOec1bg,2026-07-13,na,enumerated,,title
2022-06-07,City Council 6-7-2022,Council,https://www.youtube.com/watch?v=_QdHTQW8H7c,_QdHTQW8H7c,asr,https://www.youtube.com/watch?v=_QdHTQW8H7c,2026-07-13,na,enumerated,,title
2022-06-21,City Council Meeting - 6/21/2022,Council,https://www.youtube.com/watch?v=KJqR0UYeD4Q,KJqR0UYeD4Q,asr,https://www.youtube.com/watch?v=KJqR0UYeD4Q,2026-07-13,na,enumerated,,title
2022-06-22,Planning Commission 6/22/2022,PlanningCommission,https://www.youtube.com/watch?v=HbCWdnZAnVg,HbCWdnZAnVg,asr,https://www.youtube.com/watch?v=HbCWdnZAnVg,2026-07-13,na,enumerated,,title
2022-06-22,Planning Commission 6/22/2022,PlanningCommission,https://www.youtube.com/watch?v=CiBYAK6glfA,CiBYAK6glfA,asr,https://www.youtube.com/watch?v=CiBYAK6glfA,2026-07-13,na,enumerated,,title
2022-07-19,Midvale City Council Meeting   07-19-2022,Council,https://www.youtube.com/watch?v=J4_CPGVx3eA,J4_CPGVx3eA,asr,https://www.youtube.com/watch?v=J4_CPGVx3eA,2026-07-13,na,enumerated,,title
2022-08-09,Midvale City Council Meeting   08-09-2022,Council,https://www.youtube.com/watch?v=er465GFmF-M,er465GFmF-M,asr,https://www.youtube.com/watch?v=er465GFmF-M,2026-07-13,na,enumerated,,title
2022-08-10,Midvale City Planning Commission  08-10-2022,PlanningCommission,https://www.youtube.com/watch?v=KmrikauI3c0,KmrikauI3c0,asr,https://www.youtube.com/watch?v=KmrikauI3c0,2026-07-13,na,enumerated,,title
2022-08-16,City Council Meeting 8-16-2022,Council,https://www.youtube.com/watch?v=DDiRAEeMxiY,DDiRAEeMxiY,asr,https://www.youtube.com/watch?v=DDiRAEeMxiY,2026-07-13,na,enumerated,,title
2022-08-16,City Council Meeting 8-16-2022 (Test2),Council,https://www.youtube.com/watch?v=7j_IRLzS7Oc,7j_IRLzS7Oc,asr,https://www.youtube.com/watch?v=7j_IRLzS7Oc,2026-07-13,na,enumerated,,title
2022-08-16,City Council Meeting 8-16-2022 (Test),Council,https://www.youtube.com/watch?v=BZ8sdjpxYJQ,BZ8sdjpxYJQ,asr,https://www.youtube.com/watch?v=BZ8sdjpxYJQ,2026-07-13,na,enumerated,,title
2022-08-23,Midvale City Council  08-23-2022,Council,https://www.youtube.com/watch?v=b5e5CZ3_29E,b5e5CZ3_29E,asr,https://www.youtube.com/watch?v=b5e5CZ3_29E,2026-07-13,na,enumerated,,title
2022-09-06,Midvale City Council  09-06-2022,Council,https://www.youtube.com/watch?v=kHgH2ipm9dY,kHgH2ipm9dY,asr,https://www.youtube.com/watch?v=kHgH2ipm9dY,2026-07-13,na,enumerated,,title
2022-09-14,Midvale City Planning Commission  09-14-2022,PlanningCommission,https://www.youtube.com/watch?v=EgSVpNlRI1Y,EgSVpNlRI1Y,asr,https://www.youtube.com/watch?v=EgSVpNlRI1Y,2026-07-13,na,enumerated,,title
2022-09-20,City Council Meeting  09-20-2022,Council,https://www.youtube.com/watch?v=DxlZrtmQLWU,DxlZrtmQLWU,asr,https://www.youtube.com/watch?v=DxlZrtmQLWU,2026-07-13,na,enumerated,,title
2022-09-28,Planning Commission  09-28-2022,PlanningCommission,https://www.youtube.com/watch?v=ReN0oW5WjFs,ReN0oW5WjFs,asr,https://www.youtube.com/watch?v=ReN0oW5WjFs,2026-07-13,na,enumerated,,title
2022-10-04,City Council 10-04-2022,Council,https://www.youtube.com/watch?v=10RN3ibSDm8,10RN3ibSDm8,asr,https://www.youtube.com/watch?v=10RN3ibSDm8,2026-07-13,na,enumerated,,title
2022-10-12,Planning Commission 10-12-2022,PlanningCommission,https://www.youtube.com/watch?v=UljSMyAazpo,UljSMyAazpo,asr,https://www.youtube.com/watch?v=UljSMyAazpo,2026-07-13,na,enumerated,,title
2022-10-18,City Council 10-18-2022,Council,https://www.youtube.com/watch?v=JBD9Q1M96jk,JBD9Q1M96jk,asr,https://www.youtube.com/watch?v=JBD9Q1M96jk,2026-07-13,na,enumerated,,title
2022-10-26,Planning Commission 10-26-2022,PlanningCommission,https://www.youtube.com/watch?v=NXCtN99vqYA,NXCtN99vqYA,asr,https://www.youtube.com/watch?v=NXCtN99vqYA,2026-07-13,na,enumerated,,title
2022-11-01,Midvale City Council Meeting,Council,https://www.youtube.com/watch?v=pwaBpC6n9iI,pwaBpC6n9iI,asr,https://www.youtube.com/watch?v=pwaBpC6n9iI,2026-07-13,na,enumerated,,release_timestamp
2022-12-06,Midvale City Council Meeting 12/06/2022,Council,https://www.youtube.com/watch?v=8kT99Vxv2AY,8kT99Vxv2AY,asr,https://www.youtube.com/watch?v=8kT99Vxv2AY,2026-07-13,caption,yt-dlp --write-auto-sub (en ASR),raw/2022-12-06.en.vtt,title
2022-12-14,Midvale City Planning Commission Meeting,PlanningCommission,https://www.youtube.com/watch?v=Zekg7y3xS3E,Zekg7y3xS3E,asr,https://www.youtube.com/watch?v=Zekg7y3xS3E,2026-07-13,na,enumerated,,release_timestamp
2023-01-03,City Council Meeting 1-3-2023,Council,https://www.youtube.com/watch?v=I1wFXc3qgV8,I1wFXc3qgV8,asr,https://www.youtube.com/watch?v=I1wFXc3qgV8,2026-07-13,na,enumerated,,title
2023-01-11,Planning Commission Meeting 1-11-2023,PlanningCommission,https://www.youtube.com/watch?v=Te-ctyFU0Mg,Te-ctyFU0Mg,asr,https://www.youtube.com/watch?v=Te-ctyFU0Mg,2026-07-13,na,enumerated,,title
2023-01-17,City Council Meeting 1-17-23,Council,https://www.youtube.com/watch?v=henFraEKcoc,henFraEKcoc,asr,https://www.youtube.com/watch?v=henFraEKcoc,2026-07-13,na,enumerated,,title
2023-01-25,Midvale City Planning and Zoning Meeting 1-25-23,PlanningCommission,https://www.youtube.com/watch?v=9ca738jmVU4,9ca738jmVU4,asr,https://www.youtube.com/watch?v=9ca738jmVU4,2026-07-13,na,enumerated,,title
2023-02-07,City Council 2-7-2023,Council,https://www.youtube.com/watch?v=Q5Vynj0znQM,Q5Vynj0znQM,asr,https://www.youtube.com/watch?v=Q5Vynj0znQM,2026-07-13,na,enumerated,,title
