path,pages,bytes,text_layer_fonts,pdftotext_chars,listing_candidate,listing_office,listing_label,folder_year,folder_period,n_listing_anchors,doc_kind,form_family,doc_candidate,doc_office_verbatim,doc_report_type_boxes,doc_signature_date_verbatim,index_candidate,candidate_basis,index_date,date_basis,index_office,index_seat,office_basis,index_filing_type,filing_type_basis,schedule_a_inspection,flags
raw/globalassets/forms__jim-bradley_redacted_1.pdf,6,957263,0,0,Jim Bradley,Council At-Large C,2020 Year End Report,2020,forms,1,bundle,2020,JIM BRADLEY,SLCo. Council-C,Year-End (Jan 31) AND Final/Dissolution,2/1/2021,JIM BRADLEY,"form cover 'Name of Candidate or Officeholder', verbatim (the FDR cover is NOT page 1 -- other documents are bundled in front of it)",2021-02-01,form-signature,County Council,At-Large C,document,final,checked box -- YEAR-END REPORT: Year-End (Jan 31) + FINAL / DISSOLUTION REPORT: Final/Dissolution (final/dissolution governs),not-inspected (the Schedule A page was not among the pages read),page 1 is a Dissolution notice (1/27/21) and page 2 is a near-BLANK ghost page; the FDR cover is page 3
raw/globalassets/julie-dole_redacted.pdf,4,545989,14,1451,Julie Dole,Recorder,2017 Summary Report,2017,(root),1,fdr,2016,Julie Dole,Salt Lake County Recorder,Year-End (Jan 31) AND Final/Dissolution,"December 28, 2017",Julie Dole,"form cover 'Name of Candidate or Officeholder', verbatim",2017-12-28,form-signature,Recorder,,document,final,checked box -- YEAR-END REPORT: Year-End (Jan 31) + FINAL / DISSOLUTION REPORT: Final/Dissolution (final/dissolution governs),not-inspected (the Schedule A page was not among the pages read),typed cover; form-year 2016 on a 2017 filing
raw/globalassets/kenneth-hansen_redacted.pdf,4,736644,0,0,Kenneth Hansen,Sheriff,2017 Summary Report,2017,(root),1,fdr,2017,KENNETH HANSEN,Salt Lake County Sheriff,Year-End (Jan 31) AND Final/Dissolution,01-29-2017,KENNETH HANSEN,"form cover 'Name of Candidate or Officeholder', verbatim",2018-01-30,clerk-received-stamp,Sheriff,,document,final,checked box -- YEAR-END REPORT: Year-End (Jan 31) + FINAL / DISSOLUTION REPORT: Final/Dissolution (final/dissolution governs),not-inspected (the Schedule A page was not among the pages read),"signature year 2017 contradicted by RECEIVED JAN 30 2018 - filer year typo; page 2 is Schedule A, not the Summary Page; Schedule A carries an UNREDACTED organization street address"
raw/globalassets/levi-hughes_redacted.pdf,9,960126,0,0,Levi Hughes,Sheriff,2017 Summary Report,2017,(root),1,fdr,2017,Levi Hughes,Salt Lake County Sheriff,Year-End (Jan 31) AND Final/Dissolution,1/30/2018,Levi Hughes,"form cover 'Name of Candidate or Officeholder', verbatim",2018-01-30,form-signature,Sheriff,,document,final,checked box -- YEAR-END REPORT: Year-End (Jan 31) + FINAL / DISSOLUTION REPORT: Final/Dissolution (final/dissolution governs),not-inspected (the Schedule A page was not among the pages read),
raw/globalassets/lisa-gehrke-redacted.pdf,4,4391636,0,0,Lisa Gehrke,Council 3,2019 Year End Report,2019,(root),1,fdr,2019,Lisa Gehrke,(REDACTED on the form),Year-End (Jan 31),1/31/2020,Lisa Gehrke,"form cover 'Name of Candidate or Officeholder', verbatim",2020-01-31,form-signature,County Council,District 3,"clerk listing (Office, Office Sought, District and Party are all covered by the county redaction bar)",year-end,checked box -- YEAR-END REPORT: Year-End (Jan 31),not-inspected (the Schedule A page was not among the pages read),"Office, Office Sought, District and Party cells are ALL covered by the county redaction bar - office taken from the clerk listing (Council 3)"
raw/globalassets/2015_disclosures__2015_year_end__max_burdick2015ye.pdf,4,671316,0,0,Max Burdick,Council #6,2015 Summary Report,2015,2015_year_end,1,fdr,2015,Max Burdick,Council District 6,Year-End (Jan 31),2-1-2016,Max Burdick,"form cover 'Name of Candidate or Officeholder', verbatim",2016-02-01,form-signature,County Council,District 6,document,year-end,checked box -- YEAR-END REPORT: Year-End (Jan 31),not-inspected (the Schedule A page was not among the pages read),faxed filing (fax header 'Burdick & Associates')
raw/globalassets/2016_disclosures__2016_year_end__max-burdick_redacted.pdf,4,787712,0,0,Max Burdick,Council #6,2016 Summary Report,2016,2016_year_end,1,fdr,2016,Max Burdick,Council 6,Year-End (Jan 31),1-31-17,Max Burdick,"form cover 'Name of Candidate or Officeholder', verbatim",2017-01-31,form-signature,County Council,District 6,document,year-end,checked box -- YEAR-END REPORT: Year-End (Jan 31),not-inspected (the Schedule A page was not among the pages read),
raw/globalassets/2016_disclosures__april__max-burdick_april.pdf,4,697130,0,0,Max Burdick,Council #6,April,2016,april,1,fdr,2016,Max Burdick,Council 6,April 5,4-5-2016,Max Burdick,"form cover 'Name of Candidate or Officeholder', verbatim",2016-04-05,form-signature,County Council,District 6,document,interim,checked box -- INTERIM REPORTS: April 5,not-inspected (the Schedule A page was not among the pages read),
raw/globalassets/2016_disclosures__june__max-burdick--council-6_redacted.pdf,4,570151,0,0,Max Burdick,Council #6,June,2016,june,1,fdr,2016,Max Burdick,Council 6,Seven days before a primary election,6-21-16,Max Burdick,"form cover 'Name of Candidate or Officeholder', verbatim",2016-06-21,form-signature,County Council,District 6,document,interim,checked box -- INTERIM REPORTS: Seven days before a primary election,not-inspected (the Schedule A page was not among the pages read),listing label 'June'
raw/globalassets/2016_disclosures__november__max-burdick_redacted.pdf,6,1272416,0,0,Max Burdick,Council #6,November,2016,november,1,fdr,2016,Max Burdick,Council 6,Seven days before a general election,11-1-16,Max Burdick,"form cover 'Name of Candidate or Officeholder', verbatim",2016-11-01,form-signature,County Council,District 6,document,interim,checked box -- INTERIM REPORTS: Seven days before a general election,not-inspected (the Schedule A page was not among the pages read),listing label 'November'
raw/globalassets/2016_disclosures__september__max-burdick_redacted.pdf,4,878668,0,0,Max Burdick,Council #6,September,2016,september,1,fdr,2016,Max Burdick,Council 6,September 15,9-15-16,Max Burdick,"form cover 'Name of Candidate or Officeholder', verbatim",2016-09-15,form-signature,County Council,District 6,document,interim,checked box -- INTERIM REPORTS: September 15,not-inspected (the Schedule A page was not among the pages read),
raw/globalassets/max-burdick_redacted.pdf,5,967590,0,0,Max Burdick,Council #6,2017 Summary Report,2017,(root),1,fdr,2017,Max Burdick,SLCo Council 6,Year-End (Jan 31),1-31-2018,Max Burdick,"form cover 'Name of Candidate or Officeholder', verbatim",2018-01-31,form-signature,County Council,District 6,document,year-end,checked box -- YEAR-END REPORT: Year-End (Jan 31),not-inspected (the Schedule A page was not among the pages read),
raw/globalassets/2018_disclosures__2018_year_end__max-burdick_redacted.pdf,5,649538,0,0,Max Burdick,Council #6,2018 Summary Report,2018,2018_year_end,1,fdr,2018,Max Burdick,SLCo Council 6,Year-End (Jan 31),1-31-2019,Max Burdick,"form cover 'Name of Candidate or Officeholder', verbatim",2019-01-31,form-signature,County Council,District 6,document,year-end,checked box -- YEAR-END REPORT: Year-End (Jan 31),not-inspected (the Schedule A page was not among the pages read),
raw/globalassets/max-burdick-redacted.pdf,5,885068,0,0,Max Burdick,Council #6,2019 Year End Report,2019,(root),1,fdr,2019,Max Burdick,SLCo Council 6,Year-End (Jan 31),1-31-2020,Max Burdick,"form cover 'Name of Candidate or Officeholder', verbatim",2020-01-31,form-signature,County Council,District 6,document,year-end,checked box -- YEAR-END REPORT: Year-End (Jan 31),not-inspected (the Schedule A page was not among the pages read),
raw/globalassets/2020_disclosures__april__burdick-fin-dis-4-6-20_redacted.pdf,4,2265126,0,0,Max Burdick,Council #6,April 2020,2020,april,1,fdr,2020,Max Burdick,SLCo Council D-6,April 5,4-6-20,Max Burdick,"form cover 'Name of Candidate or Officeholder', verbatim",2020-04-06,form-signature,County Council,District 6,document,interim,checked box -- INTERIM REPORTS: April 5,not-inspected (the Schedule A page was not among the pages read),
raw/globalassets/forms__burdick-2020-year-end_redacted.pdf,4,1944687,0,0,Max Burdick,Council #6,2020 Year End Report,2020,forms,1,fdr,2020,Max Burdick,Council 6,Year-End (Jan 31),1-31-21,Max Burdick,"form cover 'Name of Candidate or Officeholder', verbatim",2021-01-31,form-signature,County Council,District 6,document,year-end,checked box -- YEAR-END REPORT: Year-End (Jan 31),county-schedule-a-observed,
raw/globalassets/2020_disclosures__june__burdick-county-council-6_redacted.pdf,4,4671998,0,0,Max Burdick,Council #6,June 2020,2020,june,1,fdr,2020,Max Burdick,SLCO Council 6,Seven days before a primary election,6-23-20,Max Burdick,"form cover 'Name of Candidate or Officeholder', verbatim",2020-06-23,form-signature,County Council,District 6,document,interim,checked box -- INTERIM REPORTS: Seven days before a primary election,county-schedule-a-observed,listing label 'June 2020'
raw/globalassets/2020_disclosures__september__burdick-fin-report-3.pdf,1,603890,0,0,Max Burdick,Council #6,Sept 2020,2020,september,1,schedule-page-only,schedule-page-only,Burdick,(no cover page in this PDF),(undetermined - no cover page),9-15-20,Burdick,'Candidate or Officeholder's Last Name' in the schedule page header (the PDF holds no cover page),2020-09-15,schedule-header,County Council,District 6,clerk listing (the PDF holds no cover page),,no Type-of-Report block to read -- undetermined - no cover page,no-schedule-a-page-in-the-document,"PARTIAL FILING: a bare Schedule B page (Itemized Expenditures Made, 7 rows). No cover, no Summary Page. candidate = the page-header last name; office taken from the clerk listing"
raw/globalassets/2020_disclosures__september__amendment-burdick-fin-report-9-15-20_redacted.pdf,4,2234197,0,0,Max Burdick,Council #6,Amendment to Sept 2020,2020,september,1,fdr,2020,Max Burdick,Council D-6,September 15,9-15-20,Max Burdick,"form cover 'Name of Candidate or Officeholder', verbatim",2020-09-15,form-signature,County Council,District 6,document,interim,checked box -- INTERIM REPORTS: September 15,county-schedule-a-observed,listing says 'Amendment to Sept 2020'; the FORM does not mark itself an amendment
raw/globalassets/2015_disclosures__2015_year_end__micah_brune2015ye_dissolution.pdf,4,435461,0,0,Micah Bruner,Council At-Large A,2015 Summary Report/Dissolution,2015,2015_year_end,1,fdr,2015,MICAH BRUNER,County Council At Large A,Final / Dissolution Report,2/1/16,MICAH BRUNER,"form cover 'Name of Candidate or Officeholder', verbatim",2016-02-01,form-signature,County Council,At-Large A,document,final,checked box -- FINAL / DISSOLUTION REPORT: Final / Dissolution Report,county-schedule-a-observed,
raw/globalassets/2014_disclosures__2014_year_end__mike_fife2014ye.pdf,4,530929,0,0,Michael Fife,Treasurer,2014 Summary Report,2014,2014_year_end,1,fdr,2014,Mike Fife,Treasurer,Year-End (Jan 31) AND Final/Dissolution,2/12/2016,Mike Fife,"form cover 'Name of Candidate or Officeholder', verbatim",2016-02-12,form-signature,Treasurer,,document,final,checked box -- YEAR-END REPORT: Year-End (Jan 31) + FINAL / DISSOLUTION REPORT: Final/Dissolution (final/dissolution governs),county-schedule-a-observed,typed cover; 2014-titled form used for a filing signed Feb 2016
raw/globalassets/jensen-michael-2021ye.pdf,4,2586261,0,0,Michael Jensen,Council #2,2021 Year End Report,2021,(root),1,fdr,2021,Michael H. Jensen,County Council 2,Year-End (Jan 31),1/31/22,Michael H. Jensen,"form cover 'Name of Candidate or Officeholder', verbatim",2022-01-31,form-signature,County Council,District 2,document,year-end,checked box -- YEAR-END REPORT: Year-End (Jan 31),county-schedule-a-observed,photographed rather than scanned - lowest-contrast cover in the corpus (legible)
raw/globalassets/2016_disclosures__september__evershed-amendment-09-2018.pdf,10,938272,0,0,Nathan Evershed,District Attorney,Amendment to September,2016,september,1,fdr,2018,Nathan Evershed,Salt Lake County District Attorney,September 15 + amendment Yes (date of report 10/05/18),,Nathan Evershed,"form cover 'Name of Candidate or Officeholder', verbatim",2018-10-05,clerk-received-stamp,District Attorney,,document,interim,checked box -- INTERIM REPORTS: September 15,county-schedule-a-observed,FOLDER-YEAR LIE: a 2018 document filed under 2016_disclosures/september/; signature+date covered by the redaction bar
raw/globalassets/nathan-evershed---redacted.pdf,6,672219,0,0,Nathan Evershed,District Attorney,2017 Summary Report,2017,(root),1,fdr,2017,Nathan Evershed,SLCo District Attorney,Year-End (Jan 31),1/30/18,Nathan Evershed,"form cover 'Name of Candidate or Officeholder', verbatim",2018-01-30,form-signature,District Attorney,,document,year-end,checked box -- YEAR-END REPORT: Year-End (Jan 31),county-schedule-a-observed,Political Party cell left blank
raw/globalassets/2018_disclosures__2018_year_end__nathan-evershed_redacted.pdf,6,571555,0,0,Nathan Evershed,District Attorney,2018 Summary Report,2018,2018_year_end,1,fdr,2018,Nathan Evershed,Salt Lake County District Attorney,Year-End (Jan 31) AND Final/Dissolution,1/30/19,Nathan Evershed,"form cover 'Name of Candidate or Officeholder', verbatim",2019-01-30,form-signature,District Attorney,,document,final,checked box -- YEAR-END REPORT: Year-End (Jan 31) + FINAL / DISSOLUTION REPORT: Final/Dissolution (final/dissolution governs),county-schedule-a-observed,
raw/globalassets/2018_disclosures__april__nathan-evershed.pdf,9,866759,0,0,Nathan Evershed,District Attorney,April,2018,april,1,fdr,2018,Nathan Evershed,SLCO District Attorney,April 5,4/6/18,Nathan Evershed,"form cover 'Name of Candidate or Officeholder', verbatim",2018-04-06,form-signature,District Attorney,,document,interim,checked box -- INTERIM REPORTS: April 5,county-schedule-a-observed,
raw/globalassets/2018_disclosures__april__evershed-amendment-april.pdf,9,904485,0,0,Nathan Evershed,District Attorney,Amendment,2018,april,1,fdr,2018,Nathan Evershed,SLCO District Attorney,April 5 + amendment Yes (date of report 4/12/18),4/12/18,Nathan Evershed,"form cover 'Name of Candidate or Officeholder', verbatim",2018-04-12,form-signature,District Attorney,,document,interim,checked box -- INTERIM REPORTS: April 5,county-schedule-a-observed,
raw/globalassets/2018_disclosures__june__nathan-evershed_redacted.pdf,12,1111991,0,0,Nathan Evershed,District Attorney,June,2018,june,1,fdr,2018,Nathan Evershed,Salt Lake County District Attorney,Seven days before a primary election,6/19/18,Nathan Evershed,"form cover 'Name of Candidate or Officeholder', verbatim",2018-06-19,form-signature,District Attorney,,document,interim,checked box -- INTERIM REPORTS: Seven days before a primary election,county-schedule-a-observed,campaign email printed in the clear on the cover
raw/globalassets/2018_disclosures__october__nathan-evershed-10-30_redacted.pdf,10,856036,0,0,Nathan Evershed,District Attorney,October,2018,october,1,fdr,2018,Nathan Evershed,Salt Lake County District Attorney,Seven days before a general election,10/30/18,Nathan Evershed,"form cover 'Name of Candidate or Officeholder', verbatim",2018-10-30,form-signature,District Attorney,,document,interim,checked box -- INTERIM REPORTS: Seven days before a general election,county-schedule-a-observed,
raw/globalassets/2018_disclosures__september__evershed-nathan---d.a.1.pdf,10,972366,0,0,Nathan Evershed,District Attorney,September,2018,september,1,fdr,2018,Nathan Evershed,Salt Lake County District Attorney,September 15,9/15/18,Nathan Evershed,"form cover 'Name of Candidate or Officeholder', verbatim",2018-09-15,form-signature,District Attorney,,document,interim,checked box -- INTERIM REPORTS: September 15,county-schedule-a-observed,
raw/globalassets/paul-recanzone---redacted.pdf,4,469137,0,0,Paul Recanzone,Council #6,2017 Summary Report,2017,(root),1,fdr,2017,Paul Recanzone,County Council,Year-End (Jan 31) AND Final/Dissolution,1/17/2018,Paul Recanzone,"form cover 'Name of Candidate or Officeholder', verbatim",2018-01-17,form-signature,County Council,District 6,document (office) + clerk listing (the seat number),final,checked box -- YEAR-END REPORT: Year-End (Jan 31) + FINAL / DISSOLUTION REPORT: Final/Dissolution (final/dissolution governs),not-inspected (the Schedule A page was not among the pages read),"typed cover; Office Sought cell blank, Office cell reads County Council"
raw/globalassets/r.-fred-ross_redacted.pdf,3,503917,0,0,R. Fred Ross,Sheriff,2017 Summary Report,2017,(root),1,fdr,2017,R. FRED ROSS,SLCO SHERIFF,Year-End (Jan 31),,R. FRED ROSS,"form cover 'Name of Candidate or Officeholder', verbatim",2018-01-31,clerk-received-stamp,Sheriff,,document,year-end,checked box -- YEAR-END REPORT: Year-End (Jan 31),filer-attachment-observed (NO occupation/employer column),signature date left blank; NO county Schedule A/B page - the filer's own typed sheet IS the schedule (no Occupation/Employer column)
raw/globalassets/2016_disclosures__2016_year_end__richard-snelgrove_redacted.pdf,6,835352,0,0,Richard Snelgrove,Council At-Large B,2016 Summary Report,2016,2016_year_end,1,fdr,2016,RICHARD SNELGROVE,County Council B,Year-End (Jan 31),1-31-17,RICHARD SNELGROVE,"form cover 'Name of Candidate or Officeholder', verbatim",2017-01-31,form-signature,County Council,At-Large B,document,year-end,checked box -- YEAR-END REPORT: Year-End (Jan 31),county-schedule-a-observed,
raw/globalassets/2016_disclosures__april__richard-snelgrove-april.pdf,4,743116,0,0,Richard Snelgrove,Council At-Large B,April,2016,april,1,fdr,2016,RICHARD SNELGROVE,County Council B,April 5,4-3-16,RICHARD SNELGROVE,"form cover 'Name of Candidate or Officeholder', verbatim",2016-04-03,form-signature,County Council,At-Large B,document,interim,checked box -- INTERIM REPORTS: April 5,county-schedule-a-observed,
raw/globalassets/2016_disclosures__june__richard-snelgrove-council-b_redacted.pdf,7,1828026,0,0,Richard Snelgrove,Council At-Large B,June,2016,june,1,fdr,2016,RICHARD SNELGROVE,County Council At Large B,Seven days before a primary election,6-20-16,RICHARD SNELGROVE,"form cover 'Name of Candidate or Officeholder', verbatim",2016-06-20,form-signature,County Council,At-Large B,document,interim,checked box -- INTERIM REPORTS: Seven days before a primary election,county-schedule-a-observed,listing label 'June'
raw/globalassets/2016_disclosures__november__richard-snelgrove_redacted.pdf,11,2882149,0,0,Richard Snelgrove,Council At-Large B,November,2016,november,1,fdr,2016,RICHARD SNELGROVE,County Council At Large B,Seven days before a general election,10-30-16,RICHARD SNELGROVE,"form cover 'Name of Candidate or Officeholder', verbatim",2016-10-30,form-signature,County Council,At-Large B,document,interim,checked box -- INTERIM REPORTS: Seven days before a general election,county-schedule-a-observed,listing label 'November'
raw/globalassets/2016_disclosures__september__richard-snelgrove_redacted.pdf,9,1580516,0,0,Richard Snelgrove,Council At-Large B,September,2016,september,1,fdr,2016,RICHARD SNELGROVE,County Council At Large B,September 15,9-14-16,RICHARD SNELGROVE,"form cover 'Name of Candidate or Officeholder', verbatim",2016-09-14,form-signature,County Council,At-Large B,document,interim,checked box -- INTERIM REPORTS: September 15,county-schedule-a-observed,
raw/globalassets/2018_disclosures__2018_year_end__richard-snelgrove_redacted.pdf,3,506804,0,0,Richard Snelgrove,Council At-Large B,2017 Summary Report,2018,2018_year_end,2,fdr,2018,RICHARD SNELGROVE,Council B,Year-End (Jan 31),1-30-19,RICHARD SNELGROVE,"form cover 'Name of Candidate or Officeholder', verbatim",2019-01-30,form-signature,County Council,At-Large B,document,year-end,checked box -- YEAR-END REPORT: Year-End (Jan 31),no-schedule-a-page-in-the-document,"the same URL is listed twice, as '2017 Summary Report' and as '2018 Summary Report'; the form + stamp make it the 2018 year-end. NO Schedule A page in the document"
raw/globalassets/richard-snelgrove_redacted.pdf,3,431528,0,0,Richard Snelgrove,Council At-Large B,2019 Year End Report,2019,(root),1,fdr,2019,RICHARD SNELGROVE,Council B,Year-End (Jan 31),1-28-20,RICHARD SNELGROVE,"form cover 'Name of Candidate or Officeholder', verbatim",2020-01-28,form-signature,County Council,At-Large B,document,year-end,checked box -- YEAR-END REPORT: Year-End (Jan 31),no-schedule-a-page-in-the-document,NO Schedule A page in the document
raw/globalassets/forms__snelgrove_redacted.pdf,3,1407275,0,0,Richard Snelgrove,Council At-Large B,2020 Year End Report,2020,forms,1,fdr,2020,RICHARD SNELGROVE,Council B,Year-End (Jan 31),1-28-21,RICHARD SNELGROVE,"form cover 'Name of Candidate or Officeholder', verbatim",2021-01-28,form-signature,County Council,At-Large B,document,year-end,checked box -- YEAR-END REPORT: Year-End (Jan 31),no-schedule-a-page-in-the-document,photographed page; NO Schedule A page in the document
raw/globalassets/snelgrove-richard-2021ye.pdf,4,558990,0,0,Richard Snelgrove,Council At-Large B,2021 Year End Report,2021,(root),1,fdr,2021,RICHARD SNELGROVE,Council B,Year-End (Jan 31),1.24.22,RICHARD SNELGROVE,"form cover 'Name of Candidate or Officeholder', verbatim",2022-01-24,form-signature,County Council,At-Large B,document,year-end,checked box -- YEAR-END REPORT: Year-End (Jan 31),county-schedule-a-observed,
raw/globalassets/2018_disclosures__2018_year_end__robert-cundick_redacted.pdf,4,526948,0,0,Robert Cundick,Council 4,2018 Summary Report,2018,2018_year_end,1,fdr,2018,Robert (Robb) Cundick,SL County Council 4,Final / Dissolution Report,1/30/19,Robert (Robb) Cundick,"form cover 'Name of Candidate or Officeholder', verbatim",2019-01-30,form-signature,County Council,District 4,document,final,checked box -- FINAL / DISSOLUTION REPORT: Final / Dissolution Report,county-schedule-a-observed,
raw/globalassets/2018_disclosures__october__robert-cundick-10-30_redacted.pdf,4,447972,0,0,Robert Cundick,Council 4,October,2018,october,1,fdr,2018,Robert (Robb) Cundick,SL County Council 4,Seven days before a general election,10/30/18,Robert (Robb) Cundick,"form cover 'Name of Candidate or Officeholder', verbatim",2018-10-30,form-signature,County Council,District 4,document,interim,checked box -- INTERIM REPORTS: Seven days before a general election,county-schedule-a-observed,
raw/globalassets/2018_disclosures__september__cundick-robert--council-41.pdf,4,457125,0,0,Robert Cundick,Council 4,September,2018,september,1,fdr,2018,Robert (Robb) Cundick,SL County Council 4,September 15,9/12/18,Robert (Robb) Cundick,"form cover 'Name of Candidate or Officeholder', verbatim",2018-09-12,form-signature,County Council,District 4,document,interim,checked box -- INTERIM REPORTS: September 15,county-schedule-a-observed,
raw/globalassets/rozan-mitchell_redacted.pdf,5,685162,0,0,Rozan Mitchell,Clerk,2017 Summary Report,2017,(root),1,fdr,2017,Rozan Mitchell,County Clerk,Year-End (Jan 31),1/30/18,Rozan Mitchell,"form cover 'Name of Candidate or Officeholder', verbatim",2018-01-30,form-signature,Clerk,,document,year-end,checked box -- YEAR-END REPORT: Year-End (Jan 31),county-schedule-a-observed,
raw/globalassets/2015_disclosures__2015_year_end__sam_granato2015ye.pdf,4,677840,0,0,Sam Granato,Council #4,2015 Summary Report,2015,2015_year_end,1,fdr,2015,Samuel F. Granato,County Council 4,Year-End (Jan 31),2-1-16,Samuel F. Granato,"form cover 'Name of Candidate or Officeholder', verbatim",2016-02-01,form-signature,County Council,District 4,document,year-end,checked box -- YEAR-END REPORT: Year-End (Jan 31),county-schedule-a-observed,
raw/globalassets/2016_disclosures__2016_year_end__sam-granato_redacted.pdf,4,703800,0,0,Sam Granato,Council #4,2016 Summary Report,2016,2016_year_end,1,fdr,2016,Samuel Frank Granato,County Council 4,Year-End (Jan 31),1-31-17,Samuel Frank Granato,"form cover 'Name of Candidate or Officeholder', verbatim",2017-01-31,form-signature,County Council,District 4,document,year-end,checked box -- YEAR-END REPORT: Year-End (Jan 31),county-schedule-a-observed,
raw/globalassets/2016_disclosures__april__sam-granato-april.pdf,4,759422,0,0,Sam Granato,Council #4,April,2016,april,1,fdr,2016,Sam F. Granato,County Council 4,April 5,4/5/16,Sam F. Granato,"form cover 'Name of Candidate or Officeholder', verbatim",2016-04-05,form-signature,County Council,District 4,document,interim,checked box -- INTERIM REPORTS: April 5,county-schedule-a-observed,
raw/globalassets/2016_disclosures__june__sam-granato--county-council-4_redacted.pdf,4,678131,0,0,Sam Granato,Council #4,June,2016,june,1,fdr,2016,Sam F. Granato,County Council 4,Seven days before a primary election,6/21/16,Sam F. Granato,"form cover 'Name of Candidate or Officeholder', verbatim",2016-06-21,form-signature,County Council,District 4,document,interim,checked box -- INTERIM REPORTS: Seven days before a primary election,county-schedule-a-observed,listing label 'June'
raw/globalassets/2016_disclosures__november__sam-granato_redacted.pdf,9,2693848,0,0,Sam Granato,Council #4,November,2016,november,1,fdr,2016,Samuel F. Granato,County Council 4,Seven days before a general election,"Nov 1, 2016",Samuel F. Granato,"form cover 'Name of Candidate or Officeholder', verbatim",2016-11-01,form-signature,County Council,District 4,document,interim,checked box -- INTERIM REPORTS: Seven days before a general election,county-schedule-a-observed,listing label 'November'
raw/globalassets/2016_disclosures__september__sam-granato_redacted.pdf,4,853679,0,0,Sam Granato,Council #4,September,2016,september,1,fdr,2016,Sam F. Granato,County Council 4,September 15,9/15/16,Sam F. Granato,"form cover 'Name of Candidate or Officeholder', verbatim",2016-09-15,form-signature,County Council,District 4,document,interim,checked box -- INTERIM REPORTS: September 15,county-schedule-a-observed,
raw/globalassets/sam-granato_redacted.pdf,4,633771,0,0,Sam Granato,Council #4,2017 Summary Report,2017,(root),1,fdr,2017,Samuel F. Granato,County Council 4,Year-End (Jan 31),1-30-18,Samuel F. Granato,"form cover 'Name of Candidate or Officeholder', verbatim",2018-01-30,form-signature,County Council,District 4,document,year-end,checked box -- YEAR-END REPORT: Year-End (Jan 31),county-schedule-a-observed,
raw/globalassets/2018_disclosures__2018_year_end__sam-granato_redacted.pdf,4,612203,0,0,Sam Granato,Council #4,2018 Summary Report,2018,2018_year_end,1,fdr,2018,Sam Granato,County Council 4,Final / Dissolution Report,,Sam Granato,"form cover 'Name of Candidate or Officeholder', verbatim",2019-01-30,clerk-received-stamp,County Council,District 4,document,final,checked box -- FINAL / DISSOLUTION REPORT: Final / Dissolution Report,county-schedule-a-observed,"signature line reads N/A; handwritten on the cover: 'DECEASED - Leslie Reberg, Committee Secretary on His Behalf'"
raw/globalassets/scott-miller---redacted.pdf,7,598725,0,0,Scott Miller,Recorder,2017 Summary Report,2017,(root),1,fdr,2017,Scott Miller,Recorder,Final / Dissolution Report,1/22/18,Scott Miller,"form cover 'Name of Candidate or Officeholder', verbatim",2018-01-22,form-signature,Recorder,,document,final,checked box -- FINAL / DISSOLUTION REPORT: Final / Dissolution Report,county-schedule-a-observed,"Office cell reads N/A; District Number written as '52', which is not a Salt Lake County district"
raw/globalassets/2015_disclosures__2015_year_end__Scott_TingleyYE2015.pdf,4,679700,0,0,Scott Tingley,Auditor,2015 Summary Report,2015,2015_year_end,1,fdr,2015,SCOTT TINGLEY,SALT LAKE COUNTY AUDITOR,Year-End (Jan 31),1/29/2016,SCOTT TINGLEY,"form cover 'Name of Candidate or Officeholder', verbatim",2016-01-29,form-signature,Auditor,,document,year-end,checked box -- YEAR-END REPORT: Year-End (Jan 31),county-schedule-a-observed,Office Sought cell blank; office read from the Office cell
raw/globalassets/2016_disclosures__2016_year_end__scott-tingley_redacted.pdf,4,523317,0,0,Scott Tingley,Auditor,2016 Summary Report,2016,2016_year_end,1,fdr,2016,Scott Tingley,Salt Lake County Auditor,Year-End (Jan 31),30 Jan 2017,Scott Tingley,"form cover 'Name of Candidate or Officeholder', verbatim",2017-01-30,form-signature,Auditor,,document,year-end,checked box -- YEAR-END REPORT: Year-End (Jan 31),county-schedule-a-observed,Office Sought cell blank; office read from the Office cell
raw/globalassets/scott-tingley_redacted.pdf,8,648968,0,0,Scott Tingley,Auditor,2017 Summary Report,2017,(root),1,fdr,2017,SCOTT TINGLEY,COUNTY AUDITOR,Year-End (Jan 31),1/31/2018,SCOTT TINGLEY,"form cover 'Name of Candidate or Officeholder', verbatim",2018-01-31,form-signature,Auditor,,document,year-end,checked box -- YEAR-END REPORT: Year-End (Jan 31),county-schedule-a-observed,Office Sought cell blank; office read from the Office cell
raw/globalassets/shireen-ghorbani-redacted.pdf,11,1787468,0,0,Shireen Ghorbani,Council At-Large A,2019 Year End Report,2019,(root),1,fdr,2019,Shireen Ghorbani,Salt Lake County Council At-large A,Year-End (Jan 31),1/31/20,Shireen Ghorbani,"form cover 'Name of Candidate or Officeholder', verbatim",2020-01-31,form-signature,County Council,At-Large A,document,year-end,checked box -- YEAR-END REPORT: Year-End (Jan 31),filer-attachment-observed (carries an occupation/employer-equivalent column),typed cover
raw/globalassets/2015_disclosures__2015_year_end__sim_gill2015ye.pdf,5,398350,0,0,Sim Gill,District Attorney,2015 Summary Report,2015,2015_year_end,1,fdr,untitled-year,Sim Gill,District Attorney,Year-End (Jan 31),1/31/16,Sim Gill,"form cover 'Name of Candidate or Officeholder', verbatim",2016-01-31,form-signature,District Attorney,,document,year-end,checked box -- YEAR-END REPORT: Year-End (Jan 31),county-schedule-a-observed,untitled-year form whose interim boxes are dated April 7 / June 17 / September 15 / October 28 (the 2014 cycle)
