date,year,title,body,body_slug,motion_no,motion,motion_type,result,mover,seconder,member,vote,source
2015-04-02,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,3,send a positive recommendation to the County Council that they approve amendment 11-7-5.1 as outlined and d-1 as outlined,,Fail,Hanson,Clyde,Ure,Nay,land_use/minutes/2015/2015-04-02_eastern_summit_pc.md
2015-04-02,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,3,send a positive recommendation to the County Council that they approve amendment 11-7-5.1 as outlined and d-1 as outlined,,Fail,Hanson,Clyde,Vernon,Nay,land_use/minutes/2015/2015-04-02_eastern_summit_pc.md
2015-04-02,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,3,send a positive recommendation to the County Council that they approve amendment 11-7-5.1 as outlined and d-1 as outlined,,Fail,Hanson,Clyde,Wharton,Nay,land_use/minutes/2015/2015-04-02_eastern_summit_pc.md
2015-04-02,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,6,approve this application because: 1,,Pass,Henrie,Wharton,Clyde,Nay,land_use/minutes/2015/2015-04-02_eastern_summit_pc.md
2015-04-02,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,7,approve the minutes as corrected,,Pass,Hanson,Clyde,Willoughby,Abstain,land_use/minutes/2015/2015-04-02_eastern_summit_pc.md
2015-04-02,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,8,approve the minutes as corrected,,Pass,Vernon,Wharton,Willoughby,Abstain,land_use/minutes/2015/2015-04-02_eastern_summit_pc.md
2015-04-28,2015,Snyderville Basin Planning Commission,Snyderville Basin Planning Commission,snyderville_basin_pc,3,"approve the minutes of the March 3, 2015, Snyderville Basin Planning Commission meeting as written",,,Lawson,Peck,Klingenstein,Abstain,land_use/minutes/2015/2015-04-28_snyderville_basin_pc.md
2015-04-28,2015,Snyderville Basin Planning Commission,Snyderville Basin Planning Commission,snyderville_basin_pc,4,"approve the minutes of the March 10, 2015, Snyderville Basin Planning Commission meeting as written",,Pass,Peck,Harte,Barnes,Abstain,land_use/minutes/2015/2015-04-28_snyderville_basin_pc.md
2015-05-07,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,1,"amend the proposed Ordinance 11.7.5 Section A.1 with the following changes: Insert the word ""not"" so that it would read: ""...inclusive of the whole of the county and not encompassing the municipalities of..."" In regards to Section D.1 which addresses membership and eligibility, he would like that to read as ""...no more than two of which may be residents of the municipalities of Henefer, Coalville, Oakley, Kamas, and Francis."" Planner Strader said a change to Letter C would be required in order for this motion to be consistent with the other language",,Pass,Wharton,Henrie,Clyde,Nay,land_use/minutes/2015/2015-05-07_eastern_summit_pc.md
2015-05-07,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,1,"amend the proposed Ordinance 11.7.5 Section A.1 with the following changes: Insert the word ""not"" so that it would read: ""...inclusive of the whole of the county and not encompassing the municipalities of..."" In regards to Section D.1 which addresses membership and eligibility, he would like that to read as ""...no more than two of which may be residents of the municipalities of Henefer, Coalville, Oakley, Kamas, and Francis."" Planner Strader said a change to Letter C would be required in order for this motion to be consistent with the other language",,Pass,Wharton,Henrie,Vernon,Nay,land_use/minutes/2015/2015-05-07_eastern_summit_pc.md
2015-05-07,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,2,"approve the Chandler Barn Conditional Use Permit based on the Findings of Fact, Conclusions of Law, and subject to the Conditions of Approval as outlined in the Staff Report",,Pass,Henrie,Willoughby,Clyde,Abstain,land_use/minutes/2015/2015-05-07_eastern_summit_pc.md
2015-05-07,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,5,approve the minutes as corrected,,Pass,Vernon,Wharton,Willoughby,Abstain,land_use/minutes/2015/2015-05-07_eastern_summit_pc.md
2015-05-07,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,6,approve the minutes as written,,Pass,Wharton,Clyde,Willoughby,Abstain,land_use/minutes/2015/2015-05-07_eastern_summit_pc.md
2015-05-21,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,1,approve the minutes as corrected,,Pass,Hanson,Henrie,Willoughby,Abstain,land_use/minutes/2015/2015-05-21_eastern_summit_pc.md
2015-05-21,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,2,approve the minutes as corrected,,Pass,Henrie,Wharton,Willoughby,Abstain,land_use/minutes/2015/2015-05-21_eastern_summit_pc.md
2015-05-26,2015,Snyderville Basin Planning Commission,Snyderville Basin Planning Commission,snyderville_basin_pc,1,"approve the minutes of the April 28, 2015, Snyderville Basin Planning Commission meeting as written",,Pass,Peck,Harte,DeFord,Abstain,land_use/minutes/2015/2015-05-26_snyderville_basin_pc.md
2015-06-18,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,4,East Canyon Road from Henefer Township to the Summit County line be mapped as AG-1,,Fail,Vernon,,Ure,Nay,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,4,East Canyon Road from Henefer Township to the Summit County line be mapped as AG-1,,Fail,Vernon,,Wharton,Nay,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,4,East Canyon Road from Henefer Township to the Summit County line be mapped as AG-1,,Fail,Vernon,,Hanson,Nay,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,4,East Canyon Road from Henefer Township to the Summit County line be mapped as AG-1,,Fail,Vernon,,Clyde,Nay,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,6,East Canyon Road should be mapped in the AG-40 zone as currently designated,,Fail,Hanson,Clyde,Vernon,Nay,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,6,East Canyon Road should be mapped in the AG-40 zone as currently designated,,Fail,Hanson,Clyde,Henrie Willoughby,Nay,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,7,East Canyon Road from the Henefer ADA to the Summit County line be mapped in AG-1 zone,,Pass,Vernon,Henrie,Clyde,Nay,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,7,East Canyon Road from the Henefer ADA to the Summit County line be mapped in AG-1 zone,,Pass,Vernon,Henrie,Hanson,Nay,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,9,the road from Henefer to the Echo corner be mapped as AG-1,,Pass,Willoughby,Vernon,Clyde,Nay,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,9,the road from Henefer to the Echo corner be mapped as AG-1,,Pass,Willoughby,Vernon,Hanson,Nay,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,10,the balance of all roads in Henefer be mapped as AG-1,,Pass,Clyde,Wharton,Clyde,Nay,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,10,the balance of all roads in Henefer be mapped as AG-1,,Pass,Clyde,Wharton,Hanson,Nay,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,14,"everything north of the freeway, within Henefer Town’s ADA, be mapped as AG-6",,Pass,Willoughby,,Hanson,Nay,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,14,"everything north of the freeway, within Henefer Town’s ADA, be mapped as AG-6",,Pass,Willoughby,,Henrie,Nay,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,15,map the “triangle area” of Henefer as AG-6,,Pass,Henrie,Willoughby,Clyde,Nay,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,15,map the “triangle area” of Henefer as AG-6,,Pass,Henrie,Willoughby,Hanson,Nay,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,16,map everything within the ADA to the north of Henefer and to the south of the County road as AG-6,,Pass,Wharton,Willoughby,Clyde,Nay,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,16,map everything within the ADA to the north of Henefer and to the south of the County road as AG-6,,Pass,Wharton,Willoughby,Hanson,Nay,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,17,everything to the south of the freeway be mapped as AG-20,,Pass,Wharton,Willoughby,Ure,Nay,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,18,map AG-20 zoning from the lake edge to the line of the ADA,,Fail,Hanson,Clyde,Henrie,Nay,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,18,map AG-20 zoning from the lake edge to the line of the ADA,,Fail,Hanson,Clyde,Willoughby,Nay,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,18,map AG-20 zoning from the lake edge to the line of the ADA,,Fail,Hanson,Clyde,Ure,Nay,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,18,map AG-20 zoning from the lake edge to the line of the ADA,,Fail,Hanson,Clyde,Vernon,Nay,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,19,map the AG-1 zone along the County road from the lake front to the dotted line on Staff’s map and to the Coalville City limits,,Pass,Wharton,,Clyde,Nay,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,19,map the AG-1 zone along the County road from the lake front to the dotted line on Staff’s map and to the Coalville City limits,,Pass,Wharton,,Hanson,Nay,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,20,map the Coalville ADA as AG-6 and all other roads from Echo to Coalville (not designated to be mapped as AG-1) to be mapped as AG-20,,Pass,Wharton,,Clyde,Nay,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,21,map Chalk Creek Road and Border Station up to the narrows as AG-1 at 500 feet,,Pass,Vernon,Henrie,Clyde,Nay,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,22,,,Pass,,Henrie,Clyde,Nay,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,23,leave the remainder of Chalk Creek unchanged from what it is now (AP-40) from the narrows to the State Line,,Fail,Clyde,,Willoughby,Nay,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,23,leave the remainder of Chalk Creek unchanged from what it is now (AP-40) from the narrows to the State Line,,Fail,Clyde,,Henrie,Nay,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,23,leave the remainder of Chalk Creek unchanged from what it is now (AP-40) from the narrows to the State Line,,Fail,Clyde,,Ure Vernon,Nay,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,24,map Chalk Creek Road from the narrows to the Jacobson’s place as AG-20,,Pass,Wharton,Hanson,Ure,Nay,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,25,the East Hoytsville Road would be mapped as AG-1 as noted on the citizen’s map,,Pass,Vernon,Henrie,Clyde,Nay,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,29,map the AG-20 as marked on Staff’s map and extend it to where it ended before,,Pass,Vernon,Henrie,Hanson,Nay,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,30,leave this land at AG-40,,Pass,Henrie,Wharton,Ure,Nay,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-23,2015,Snyderville Basin Planning Commission,Snyderville Basin Planning Commission,snyderville_basin_pc,2,"approve the minutes of the May 12, 2015, Snyderville Basin Planning Commission meeting as corrected",,Pass,Klingenstein,Peck,Harte,Abstain,land_use/minutes/2015/2015-06-23_snyderville_basin_pc.md
2015-06-23,2015,Snyderville Basin Planning Commission,Snyderville Basin Planning Commission,snyderville_basin_pc,3,"approve the minutes of the May 26, 2015, Snyderville Basin Planning Commission meeting as corrected",,Pass,Klingenstein,Peck,Lawson,Abstain,land_use/minutes/2015/2015-06-23_snyderville_basin_pc.md
2015-07-09,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,2,approve the minutes as corrected,,Pass,Wharton,Hanson,Ure,Abstain,land_use/minutes/2015/2015-07-09_eastern_summit_pc.md
2015-07-09,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,3,the areas indicated on the maps as AG-40 in the Wanship area be changed to AG-20,,Pass,Wharton,Hanson,Vernon,Nay,land_use/minutes/2015/2015-07-09_eastern_summit_pc.md
2015-07-09,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,3,the areas indicated on the maps as AG-40 in the Wanship area be changed to AG-20,,Pass,Wharton,Hanson,Willoughby,Nay,land_use/minutes/2015/2015-07-09_eastern_summit_pc.md
2015-07-09,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,4,map the AG-1 zone where the original HC zone existed on Brown’s Canyon Road,,Pass,Wharton,Willoughby,Hanson,Nay,land_use/minutes/2015/2015-07-09_eastern_summit_pc.md
2015-07-14,2015,Snyderville Basin Planning Commission,Snyderville Basin Planning Commission,snyderville_basin_pc,8,"approve the minutes of the June 9, 2015, Snyderville Basin Planning Commission meeting as written",,,Barnes,Peck,Harte,Abstain,land_use/minutes/2015/2015-07-14_snyderville_basin_pc.md
2015-07-14,2015,Snyderville Basin Planning Commission,Snyderville Basin Planning Commission,snyderville_basin_pc,9,"approve the minutes of the July 23, 2015, Snyderville Basin Planning Commission meeting as written",,Pass,Barnes,Peck,Harte,Abstain,land_use/minutes/2015/2015-07-14_snyderville_basin_pc.md
2015-07-14,2015,Snyderville Basin Planning Commission,Snyderville Basin Planning Commission,snyderville_basin_pc,9,"approve the minutes of the July 23, 2015, Snyderville Basin Planning Commission meeting as written",,Pass,Barnes,Peck,DeFord,Abstain,land_use/minutes/2015/2015-07-14_snyderville_basin_pc.md
2015-08-06,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,2,"approve the conditional use permit for the Peterson garage with the findings of fact, conclusions of law, and conditions of approval as stated in the Staff Report",,Pass,Henrie,Willoughby,Clyde,Nay,land_use/minutes/2015/2015-08-06_eastern_summit_pc.md
2015-08-11,2015,Snyderville Basin Planning Commission,Snyderville Basin Planning Commission,snyderville_basin_pc,4,"approve the minutes of the July 14, 2015, Snyderville Basin Planning Commission meeting as written",,Pass,Barnes,Lawson,Klingenstein,Abstain,land_use/minutes/2015/2015-08-11_snyderville_basin_pc.md
2015-08-20,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,4,zone the East Wanship Road AG-1 to the county road boundary,,Fail,Vernon,Willoughby,Ure Vernon,Aye,land_use/minutes/2015/2015-08-20_eastern_summit_pc.md
2015-08-20,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,4,zone the East Wanship Road AG-1 to the county road boundary,,Fail,Vernon,Willoughby,Clyde Wharton,Nay,land_use/minutes/2015/2015-08-20_eastern_summit_pc.md
2015-08-20,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,6,they apply the AG-1 zone to where the county road ends,,Fail,Vernon,Willoughby,Ure Vernon,Aye,land_use/minutes/2015/2015-08-20_eastern_summit_pc.md
2015-08-20,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,6,they apply the AG-1 zone to where the county road ends,,Fail,Vernon,Willoughby,Clyde Wharton,Nay,land_use/minutes/2015/2015-08-20_eastern_summit_pc.md
2015-08-20,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,7,,,Pass,,Willoughby,Ure Vernon,Aye,land_use/minutes/2015/2015-08-20_eastern_summit_pc.md
2015-08-20,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,7,,,Pass,,Willoughby,Clyde Wharton,Nay,land_use/minutes/2015/2015-08-20_eastern_summit_pc.md
2015-09-03,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,1,approve the minutes as corrected,,Pass,Wharton,Vernon,Clyde,Abstain,land_use/minutes/2015/2015-09-03_eastern_summit_pc.md
2015-10-13,2015,Snyderville Basin Planning Commission,Snyderville Basin Planning Commission,snyderville_basin_pc,2,"approve the minutes of the August 11, 2015, Snyderville Basin Planning Commission meeting as written",,Pass,Barnes,Lawson,DeFord,Abstain,land_use/minutes/2015/2015-10-13_snyderville_basin_pc.md
2015-10-22,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,1,"have the minimum lot size in the AG-6, AG-20, AG-40, and the AG-80 as 1 acre",,Pass,Wharton,Hanson,Clyde,Nay,land_use/minutes/2015/2015-10-22_eastern_summit_pc.md
2015-10-22,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,1,"have the minimum lot size in the AG-6, AG-20, AG-40, and the AG-80 as 1 acre",,Pass,Wharton,Hanson,Henrie,Nay,land_use/minutes/2015/2015-10-22_eastern_summit_pc.md
2015-10-22,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,3,a lot or parcel with one owner and with two or more zones that has density located in the AG-1 or AG-6 zones may move the density to another zone that is located on the property,,Pass,,Vernon,Clyde,Nay,land_use/minutes/2015/2015-10-22_eastern_summit_pc.md
2015-10-22,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,3,a lot or parcel with one owner and with two or more zones that has density located in the AG-1 or AG-6 zones may move the density to another zone that is located on the property,,Pass,,Vernon,Hanson,Nay,land_use/minutes/2015/2015-10-22_eastern_summit_pc.md
2015-10-22,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,6,"Approval of Minutes July 16, 2015: A motion was made by Commissioner Clyde, which was seconded by Commissioner Henrie, to approve the minutes as corrected",,Pass,,Henrie,Wharton,Abstain,land_use/minutes/2015/2015-10-22_eastern_summit_pc.md
2015-10-22,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,7,"August 20, 2015: A motion was made by Commissioner Wharton, which was seconded by Commissioner Willoughby, to approve the minutes as corrected",,Pass,,,Wharton,Abstain,land_use/minutes/2015/2015-10-22_eastern_summit_pc.md
2015-10-22,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,7,"August 20, 2015: A motion was made by Commissioner Wharton, which was seconded by Commissioner Willoughby, to approve the minutes as corrected",,Pass,,,Hanson,Abstain,land_use/minutes/2015/2015-10-22_eastern_summit_pc.md
2015-10-22,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,8,"September 3, 2015: A motion was made by Commissioner Hanson, which was seconded by Commissioner Clyde, to approve the minutes as corrected",,Pass,,,Hanson,Abstain,land_use/minutes/2015/2015-10-22_eastern_summit_pc.md
2015-10-22,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,8,"September 3, 2015: A motion was made by Commissioner Hanson, which was seconded by Commissioner Clyde, to approve the minutes as corrected",,Pass,,,Ure,Abstain,land_use/minutes/2015/2015-10-22_eastern_summit_pc.md
2015-11-05,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,5,approve the minutes as written,,Pass,Wharton,Henrie,Hanson,Abstain,land_use/minutes/2015/2015-11-05_eastern_summit_pc.md
2015-11-10,2015,Snyderville Basin Planning Commission,Snyderville Basin Planning Commission,snyderville_basin_pc,6,"approve the minutes of the October 13, 2015, Snyderville Basin Planning Commission meeting as written",,Pass,Lawson,Harte,Klingenstein,Abstain,land_use/minutes/2015/2015-11-10_snyderville_basin_pc.md
2015-11-19,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,4,adopt the zoning as proposed on the map,,Pass,Vernon,Willoughby,Clyde,Nay,land_use/minutes/2015/2015-11-19_eastern_summit_pc.md
2015-11-19,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,4,adopt the zoning as proposed on the map,,Pass,Vernon,Willoughby,Hansen,Nay,land_use/minutes/2015/2015-11-19_eastern_summit_pc.md
2015-11-19,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,9,leave the zoning as proposed (AG-20),,Pass,Wharton,Henrie,Vernon,Nay,land_use/minutes/2015/2015-11-19_eastern_summit_pc.md
2015-11-19,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,9,leave the zoning as proposed (AG-20),,Pass,Wharton,Henrie,Clyde,Nay,land_use/minutes/2015/2015-11-19_eastern_summit_pc.md
2015-11-19,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,10,create the AG-6 zone behind the AG-1 zone equivalent to what was done on the other side of the road,,Pass,Vernon,Willoughby,Hanson,Nay,land_use/minutes/2015/2015-11-19_eastern_summit_pc.md
2015-11-19,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,10,create the AG-6 zone behind the AG-1 zone equivalent to what was done on the other side of the road,,Pass,Vernon,Willoughby,Clyde,Nay,land_use/minutes/2015/2015-11-19_eastern_summit_pc.md
2015-11-19,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,17,they take this to a work session where they can look at this with a map with Staff’s involvement,,Pass,Henrie,Hanson,Ure,Nay,land_use/minutes/2015/2015-11-19_eastern_summit_pc.md
2015-11-19,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,17,they take this to a work session where they can look at this with a map with Staff’s involvement,,Pass,Henrie,Hanson,Vernon,Nay,land_use/minutes/2015/2015-11-19_eastern_summit_pc.md
2015-12-03,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,7,,,Pass,,Hanson,Clyde,Nay,land_use/minutes/2015/2015-12-03_eastern_summit_pc.md
