date,body,body_slug,motion_no,motion,result,tally,yes,no,mover,seconder,names_recorded,source
2015-02-10,Snyderville Basin Planning Commission,snyderville_basin_pc,4,continue with the rest of the agenda since it is past 10:00 p.m,,,,,Franklin,,false,land_use/minutes/2015/2015-02-10_snyderville_basin_pc.md
2015-02-10,Snyderville Basin Planning Commission,snyderville_basin_pc,5,"approve the minutes of the December 16, 2014, Snyderville Basin Planning Commission meeting as written",,,,,Franklin,Barnes,false,land_use/minutes/2015/2015-02-10_snyderville_basin_pc.md
2015-02-19,Eastern Summit County Planning Commission,eastern_summit_pc,1,"approve the CUP for Rocky Mountain Power from Croyden to Pole 3.1 with the Findings of Fact, Conditions of Approval, and Conclusions of Law as stated in the Staff Report",Pass,(7 – 0),7,0,Ure,Clyde,false,land_use/minutes/2015/2015-02-19_eastern_summit_pc.md
2015-02-19,Eastern Summit County Planning Commission,eastern_summit_pc,2,,Pass,,,,,Wharton,false,land_use/minutes/2015/2015-02-19_eastern_summit_pc.md
2015-02-19,Eastern Summit County Planning Commission,eastern_summit_pc,3,,Pass,,,,,Wharton,false,land_use/minutes/2015/2015-02-19_eastern_summit_pc.md
2015-02-19,Eastern Summit County Planning Commission,eastern_summit_pc,4,adjourn,Pass,,,,Wharton,,false,land_use/minutes/2015/2015-02-19_eastern_summit_pc.md
2015-03-03,Snyderville Basin Planning Commission,snyderville_basin_pc,1,"forward a positive recommendation to the Summit County Council pursuant to the following findings of fact and conclusions of law found in the staff report dated March 3, 2015: Findings of Fact : 1",Pass,,,,Peck,Barnes,false,land_use/minutes/2015/2015-03-03_snyderville_basin_pc.md
2015-03-03,Snyderville Basin Planning Commission,snyderville_basin_pc,2,"approve the minutes of the January 13, 2015, Snyderville Basin Planning Commission meeting as written",Pass,,,,Lawson,Peck,true,land_use/minutes/2015/2015-03-03_snyderville_basin_pc.md
2015-03-03,Snyderville Basin Planning Commission,snyderville_basin_pc,3,"approve the minutes of the January 27, 2015, Snyderville Basin Planning Commission meeting as written",,,,,Lawson,Barnes,false,land_use/minutes/2015/2015-03-03_snyderville_basin_pc.md
2015-03-05,Eastern Summit County Planning Commission,eastern_summit_pc,1,approve the minutes as corrected,Pass,(6 - 0),6,0,Wharton,,false,land_use/minutes/2015/2015-03-05_eastern_summit_pc.md
2015-03-05,Eastern Summit County Planning Commission,eastern_summit_pc,2,approve the minutes as written,Pass,(5 - 0),5,0,Hanson,,true,land_use/minutes/2015/2015-03-05_eastern_summit_pc.md
2015-03-05,Eastern Summit County Planning Commission,eastern_summit_pc,3,adjourn,Pass,(6 – 0),6,0,Clyde,,false,land_use/minutes/2015/2015-03-05_eastern_summit_pc.md
2015-03-19,Eastern Summit County Planning Commission,eastern_summit_pc,1,approve the minutes as corrected,Pass,(5 – 0),5,0,Ure,Clyde,true,land_use/minutes/2015/2015-03-19_eastern_summit_pc.md
2015-03-19,Eastern Summit County Planning Commission,eastern_summit_pc,2,adjourn,Pass,,,,Ure,,false,land_use/minutes/2015/2015-03-19_eastern_summit_pc.md
2015-03-24,Snyderville Basin Planning Commission,snyderville_basin_pc,1,continue the public hearing and possible action regarding a plat amendment to combine two parcels in Silver Creek to a date uncertain,Pass,,,,Franklin,,false,land_use/minutes/2015/2015-03-24_snyderville_basin_pc.md
2015-03-24,Snyderville Basin Planning Commission,snyderville_basin_pc,2,"forward a positive recommendation to the Summit County Council for the proposed plat amendment to realign Oakridge Drive, 1682 East Oakridge Drive, Parcel SL-A-31, with the Snyderville Basin Planning Commission Regular Meeting March 24, 2015 Page 4 of 7 following findings of fact, conclusions of law, and conditions of approval contained in the staff report: Findings of Fact: 1",Pass,,,,Lawson,Barnes,false,land_use/minutes/2015/2015-03-24_snyderville_basin_pc.md
2015-04-02,Eastern Summit County Planning Commission,eastern_summit_pc,1,elect Chris Ure as Chair,Pass,(7-0),7,0,Clyde,Hanson,false,land_use/minutes/2015/2015-04-02_eastern_summit_pc.md
2015-04-02,Eastern Summit County Planning Commission,eastern_summit_pc,2,elect Tonja Hanson as Vice Chair,Pass,(7-0),7,0,Vernon,Henrie,false,land_use/minutes/2015/2015-04-02_eastern_summit_pc.md
2015-04-02,Eastern Summit County Planning Commission,eastern_summit_pc,3,send a positive recommendation to the County Council that they approve amendment 11-7-5.1 as outlined and d-1 as outlined,Fail,(2 - 5),2,5,Hanson,Clyde,true,land_use/minutes/2015/2015-04-02_eastern_summit_pc.md
2015-04-02,Eastern Summit County Planning Commission,eastern_summit_pc,4,reopen the public hearing to be rescheduled for the next meeting,Pass,(7 – 0),7,0,Wharton,Willoughby,false,land_use/minutes/2015/2015-04-02_eastern_summit_pc.md
2015-04-02,Eastern Summit County Planning Commission,eastern_summit_pc,5,this area two years ago,,,,,,,false,land_use/minutes/2015/2015-04-02_eastern_summit_pc.md
2015-04-02,Eastern Summit County Planning Commission,eastern_summit_pc,6,approve this application because: 1,Pass,(6 – 1),6,1,Henrie,Wharton,true,land_use/minutes/2015/2015-04-02_eastern_summit_pc.md
2015-04-02,Eastern Summit County Planning Commission,eastern_summit_pc,7,approve the minutes as corrected,Pass,(5 - 0),5,0,Hanson,Clyde,true,land_use/minutes/2015/2015-04-02_eastern_summit_pc.md
2015-04-02,Eastern Summit County Planning Commission,eastern_summit_pc,8,approve the minutes as corrected,Pass,(5 - 0),5,0,Vernon,Wharton,true,land_use/minutes/2015/2015-04-02_eastern_summit_pc.md
2015-04-02,Eastern Summit County Planning Commission,eastern_summit_pc,9,adjourn,Pass,,,,Hanson,,false,land_use/minutes/2015/2015-04-02_eastern_summit_pc.md
2015-04-28,Snyderville Basin Planning Commission,snyderville_basin_pc,1,,Pass,,,,,Barnes,false,land_use/minutes/2015/2015-04-28_snyderville_basin_pc.md
2015-04-28,Snyderville Basin Planning Commission,snyderville_basin_pc,2,"approve the Conditional Use Permit for an addition to an existing school at 3120 Pinebrook Road with the following Findings of Fact, Conclusions of Law, and Conditions of Approval shown in the staff report: 1",Pass,,,,Harte,Peck,false,land_use/minutes/2015/2015-04-28_snyderville_basin_pc.md
2015-04-28,Snyderville Basin Planning Commission,snyderville_basin_pc,3,"approve the minutes of the March 3, 2015, Snyderville Basin Planning Commission meeting as written",,,,,Lawson,Peck,true,land_use/minutes/2015/2015-04-28_snyderville_basin_pc.md
2015-04-28,Snyderville Basin Planning Commission,snyderville_basin_pc,4,"approve the minutes of the March 10, 2015, Snyderville Basin Planning Commission meeting as written",Pass,,,,Peck,Harte,true,land_use/minutes/2015/2015-04-28_snyderville_basin_pc.md
2015-05-07,Eastern Summit County Planning Commission,eastern_summit_pc,1,"amend the proposed Ordinance 11.7.5 Section A.1 with the following changes: Insert the word ""not"" so that it would read: ""...inclusive of the whole of the county and not encompassing the municipalities of..."" In regards to Section D.1 which addresses membership and eligibility, he would like that to read as ""...no more than two of which may be residents of the municipalities of Henefer, Coalville, Oakley, Kamas, and Francis."" Planner Strader said a change to Letter C would be required in order for this motion to be consistent with the other language",Pass,(4 - 2),4,2,Wharton,Henrie,true,land_use/minutes/2015/2015-05-07_eastern_summit_pc.md
2015-05-07,Eastern Summit County Planning Commission,eastern_summit_pc,2,"approve the Chandler Barn Conditional Use Permit based on the Findings of Fact, Conclusions of Law, and subject to the Conditions of Approval as outlined in the Staff Report",Pass,(5 - 0),5,0,Henrie,Willoughby,true,land_use/minutes/2015/2015-05-07_eastern_summit_pc.md
2015-05-07,Eastern Summit County Planning Commission,eastern_summit_pc,3,"approve the Bobrowsky conditional use permit according to the findings of facts, conclusions of law, and conditions of approval as outlined in the Staff Report, with the additional condition that the driveway to the barn must meet Summit County Engineering Department's approval",Pass,(6 - 0),6,0,Henrie,Vernon,false,land_use/minutes/2015/2015-05-07_eastern_summit_pc.md
2015-05-07,Eastern Summit County Planning Commission,eastern_summit_pc,4,"send a positive recommendation to the Community Development Director for the Winters Minor Subdivision with the findings of fact, conclusions of law, and conditions of approval with Condition #3 being amended to say ""The remaining 8.84 acres is not within the subdivision plat",Pass,(6 - 0),6,0,Willoughby,Henrie,false,land_use/minutes/2015/2015-05-07_eastern_summit_pc.md
2015-05-07,Eastern Summit County Planning Commission,eastern_summit_pc,5,approve the minutes as corrected,Pass,(5 - 0),5,0,Vernon,Wharton,true,land_use/minutes/2015/2015-05-07_eastern_summit_pc.md
2015-05-07,Eastern Summit County Planning Commission,eastern_summit_pc,6,approve the minutes as written,Pass,(5 - 0),5,0,Wharton,Clyde,true,land_use/minutes/2015/2015-05-07_eastern_summit_pc.md
2015-05-07,Eastern Summit County Planning Commission,eastern_summit_pc,7,adjourn,Pass,,,,Clyde,,false,land_use/minutes/2015/2015-05-07_eastern_summit_pc.md
2015-05-12,Snyderville Basin Planning Commission,snyderville_basin_pc,1,"approve the minutes of the February 10, 2015, Snyderville Basin Planning Commission meeting as written",,,,,Klingenstein,DeFord,false,land_use/minutes/2015/2015-05-12_snyderville_basin_pc.md
2015-05-12,Snyderville Basin Planning Commission,snyderville_basin_pc,2,"approve the minutes of the March 24, 2015, Snyderville Basin Planning Commission meeting as written",Pass,,,,DeFord,Lawson,false,land_use/minutes/2015/2015-05-12_snyderville_basin_pc.md
2015-05-21,Eastern Summit County Planning Commission,eastern_summit_pc,1,approve the minutes as corrected,Pass,(5 – 0),5,0,Hanson,Henrie,true,land_use/minutes/2015/2015-05-21_eastern_summit_pc.md
2015-05-21,Eastern Summit County Planning Commission,eastern_summit_pc,2,approve the minutes as corrected,Pass,(4 – 0),4,0,Henrie,Wharton,true,land_use/minutes/2015/2015-05-21_eastern_summit_pc.md
2015-05-21,Eastern Summit County Planning Commission,eastern_summit_pc,3,adjourn,Pass,(6-0),6,0,Hanson,,false,land_use/minutes/2015/2015-05-21_eastern_summit_pc.md
2015-05-26,Snyderville Basin Planning Commission,snyderville_basin_pc,1,"approve the minutes of the April 28, 2015, Snyderville Basin Planning Commission meeting as written",Pass,,,,Peck,Harte,true,land_use/minutes/2015/2015-05-26_snyderville_basin_pc.md
2015-06-04,Eastern Summit County Planning Commission,eastern_summit_pc,1,approve the minutes as corrected,Pass,(5 – 0),5,0,Hanson,Willoughby,false,land_use/minutes/2015/2015-06-04_eastern_summit_pc.md
2015-06-04,Eastern Summit County Planning Commission,eastern_summit_pc,2,adjourn,Pass,,,,Hanson,,false,land_use/minutes/2015/2015-06-04_eastern_summit_pc.md
2015-06-09,Snyderville Basin Planning Commission,snyderville_basin_pc,1,"approve the Colony at White Pine Canyon Phase 4C Lower West Monitor Subdivision Plat with the following findings of fact, conclusions of law, and conditions of approval outlined in the staff report: Findings of Fact: 1",,,,,Harte,Klingenstein,false,land_use/minutes/2015/2015-06-09_snyderville_basin_pc.md
2015-06-09,Snyderville Basin Planning Commission,snyderville_basin_pc,2,"approve the Colony at White Pine Canyon Phase 4C Upper West Monitor Final Subdivision Plat with the following findings of fact, conclusions of law, and conditions of approval outlined in the staff report: Findings of Fact: 1",Pass,,,,Harte,Barnes,false,land_use/minutes/2015/2015-06-09_snyderville_basin_pc.md
2015-06-18,Eastern Summit County Planning Commission,eastern_summit_pc,1,"approve the Rees barn conditional use permit with the findings of fact and conclusions of law as was stated in the Staff Report and with Eastern Summit County Planning Commission Regular Meeting June 18, 2015 Page 4 of 23 the conditions of approval as amended",Pass,(7 – 0),7,0,Ure,Wharton,false,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,Eastern Summit County Planning Commission,eastern_summit_pc,2,"approve the conditional use permit with the findings of fact, conclusions of law, and conditions of approval as outlined in the Eastern Summit County Planning Commission Regular Meeting June 18, 2015 Page 7 of 23 Staff Report, but adding a fourth condition that whenever possible “Summit County Animal Control will use secondary water to clean the kennels and maintain the facility for the animals.”",Pass,(7 – 0),7,0,Hanson,Wharton,false,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,Eastern Summit County Planning Commission,eastern_summit_pc,3,approve the minutes as corrected,Pass,(6 -0),6,0,Willoughby,Clyde,false,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,Eastern Summit County Planning Commission,eastern_summit_pc,4,East Canyon Road from Henefer Township to the Summit County line be mapped as AG-1,Fail,(3-4),3,4,Vernon,,true,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,Eastern Summit County Planning Commission,eastern_summit_pc,5,East Canyon Road from Henefer Township to the Summit County line be mapped AG-1 at 250 feet wide,,,,,Wharton,,false,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,Eastern Summit County Planning Commission,eastern_summit_pc,6,East Canyon Road should be mapped in the AG-40 zone as currently designated,Fail,(3-4),3,4,Hanson,Clyde,true,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,Eastern Summit County Planning Commission,eastern_summit_pc,7,East Canyon Road from the Henefer ADA to the Summit County line be mapped in AG-1 zone,Pass,(5-2),5,2,Vernon,Henrie,true,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,Eastern Summit County Planning Commission,eastern_summit_pc,8,"the AG-1 zone will be 500 feet from the centerline of the road, throughout Eastern Summit County",Pass,(5-2),5,2,Vernon,Willoughby,false,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,Eastern Summit County Planning Commission,eastern_summit_pc,9,the road from Henefer to the Echo corner be mapped as AG-1,Pass,(5-2),5,2,Willoughby,Vernon,true,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,Eastern Summit County Planning Commission,eastern_summit_pc,10,the balance of all roads in Henefer be mapped as AG-1,Pass,(5-2),5,2,Clyde,Wharton,true,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,Eastern Summit County Planning Commission,eastern_summit_pc,11,map the AG-6 zone in the ADA of Henefer excluding the riparian river bottom land,Fail,(3-4),3,4,Hanson,Wharton,false,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,Eastern Summit County Planning Commission,eastern_summit_pc,12,map the entire Henefer ADA in AG-6 that is not in the AG-1,Fail,(3-4),3,4,Vernon,Willoughby,false,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,Eastern Summit County Planning Commission,eastern_summit_pc,13,delay deciding about the river areas,,,,,Willoughby,,false,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,Eastern Summit County Planning Commission,eastern_summit_pc,14,"everything north of the freeway, within Henefer Town’s ADA, be mapped as AG-6",Pass,(4-3),4,3,Willoughby,,true,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,Eastern Summit County Planning Commission,eastern_summit_pc,15,map the “triangle area” of Henefer as AG-6,Pass,(5-2),5,2,Henrie,Willoughby,true,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,Eastern Summit County Planning Commission,eastern_summit_pc,16,map everything within the ADA to the north of Henefer and to the south of the County road as AG-6,Pass,(5-2),5,2,Wharton,Willoughby,true,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,Eastern Summit County Planning Commission,eastern_summit_pc,17,everything to the south of the freeway be mapped as AG-20,Pass,(6-1),6,1,Wharton,Willoughby,true,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,Eastern Summit County Planning Commission,eastern_summit_pc,18,map AG-20 zoning from the lake edge to the line of the ADA,Fail,(3-4),3,4,Hanson,Clyde,true,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,Eastern Summit County Planning Commission,eastern_summit_pc,19,map the AG-1 zone along the County road from the lake front to the dotted line on Staff’s map and to the Coalville City limits,Pass,(5-2),5,2,Wharton,,true,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,Eastern Summit County Planning Commission,eastern_summit_pc,20,map the Coalville ADA as AG-6 and all other roads from Echo to Coalville (not designated to be mapped as AG-1) to be mapped as AG-20,Pass,(6-1),6,1,Wharton,,true,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,Eastern Summit County Planning Commission,eastern_summit_pc,21,map Chalk Creek Road and Border Station up to the narrows as AG-1 at 500 feet,Pass,(6-1),6,1,Vernon,Henrie,true,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,Eastern Summit County Planning Commission,eastern_summit_pc,22,,Pass,(6 – 1),6,1,,Henrie,true,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,Eastern Summit County Planning Commission,eastern_summit_pc,23,leave the remainder of Chalk Creek unchanged from what it is now (AP-40) from the narrows to the State Line,Fail,(2-5),2,5,Clyde,,true,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,Eastern Summit County Planning Commission,eastern_summit_pc,24,map Chalk Creek Road from the narrows to the Jacobson’s place as AG-20,Pass,(6-1),6,1,Wharton,Hanson,true,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,Eastern Summit County Planning Commission,eastern_summit_pc,25,the East Hoytsville Road would be mapped as AG-1 as noted on the citizen’s map,Pass,(6-1),6,1,Vernon,Henrie,true,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,Eastern Summit County Planning Commission,eastern_summit_pc,26,map an overlay of the RS zone on everything from the East Hoytsville Road to the foothills that is currently mapped AP-40,,,,,Clyde,,false,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,Eastern Summit County Planning Commission,eastern_summit_pc,27,extend the meeting until 9:30 p.m,,,,,Wharton,,false,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,Eastern Summit County Planning Commission,eastern_summit_pc,28,map the AG-6 on the inside of Coalville City’s ADA line and the AG-20 on the other side,Pass,(6-0),6,0,Henrie,Wharton,false,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,Eastern Summit County Planning Commission,eastern_summit_pc,29,map the AG-20 as marked on Staff’s map and extend it to where it ended before,Pass,(5-1),5,1,Vernon,Henrie,true,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,Eastern Summit County Planning Commission,eastern_summit_pc,30,leave this land at AG-40,Pass,(5-1),5,1,Henrie,Wharton,true,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-18,Eastern Summit County Planning Commission,eastern_summit_pc,31,adjourn,Pass,(6-0),6,0,Hanson,,false,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md
2015-06-23,Snyderville Basin Planning Commission,snyderville_basin_pc,1,"approve the Verizon Wireless “KayJay” “monopole” style wireless telecommunications tower based upon the following findings of fact, conclusions of law, and conditions of approval as shown in the staff report: Findings of Fact: 1",Pass,,,,Barnes,Lawson,false,land_use/minutes/2015/2015-06-23_snyderville_basin_pc.md
2015-06-23,Snyderville Basin Planning Commission,snyderville_basin_pc,2,"approve the minutes of the May 12, 2015, Snyderville Basin Planning Commission meeting as corrected",Pass,,,,Klingenstein,Peck,true,land_use/minutes/2015/2015-06-23_snyderville_basin_pc.md
2015-06-23,Snyderville Basin Planning Commission,snyderville_basin_pc,3,"approve the minutes of the May 26, 2015, Snyderville Basin Planning Commission meeting as corrected",Pass,,,,Klingenstein,Peck,true,land_use/minutes/2015/2015-06-23_snyderville_basin_pc.md
2015-07-09,Eastern Summit County Planning Commission,eastern_summit_pc,1,"approve the proposed plat amendment to create two 1-acre lots with a remainder parcel at 2170 North State Road 32 per the findings of fact, conclusions of law, and conditions of approval as found in the Staff Report",Pass,(5-0),5,0,Hanson,Wharton,false,land_use/minutes/2015/2015-07-09_eastern_summit_pc.md
2015-07-09,Eastern Summit County Planning Commission,eastern_summit_pc,2,approve the minutes as corrected,Pass,(5 - 0),5,0,Wharton,Hanson,true,land_use/minutes/2015/2015-07-09_eastern_summit_pc.md
2015-07-09,Eastern Summit County Planning Commission,eastern_summit_pc,3,the areas indicated on the maps as AG-40 in the Wanship area be changed to AG-20,Pass,(3-2),3,2,Wharton,Hanson,true,land_use/minutes/2015/2015-07-09_eastern_summit_pc.md
2015-07-09,Eastern Summit County Planning Commission,eastern_summit_pc,4,map the AG-1 zone where the original HC zone existed on Brown’s Canyon Road,Pass,(5-1),5,1,Wharton,Willoughby,true,land_use/minutes/2015/2015-07-09_eastern_summit_pc.md
2015-07-09,Eastern Summit County Planning Commission,eastern_summit_pc,5,adjourn,Pass,(6-0),6,0,Hanson,,false,land_use/minutes/2015/2015-07-09_eastern_summit_pc.md
2015-07-14,Snyderville Basin Planning Commission,snyderville_basin_pc,1,"forward a positive recommendation to the Summit County Manager for the proposed Newpark Terrace plat amendment based on the following findings of fact, conclusions of law, and conditions of approval found in the staff report dated July 14, 2015: Findings of Fact: 1",Pass,,,,Peck,Barnes,false,land_use/minutes/2015/2015-07-14_snyderville_basin_pc.md
2015-07-14,Snyderville Basin Planning Commission,snyderville_basin_pc,2,"forward a positive recommendation to the Summit County Manager for the proposed Newpark Terrace final site plan amendment based on the following findings of fact, conclusions of law, and conditions of approval found in the staff report dated July 14, 2015: Findings of Fact: 1",Pass,,,,Peck,Barnes,false,land_use/minutes/2015/2015-07-14_snyderville_basin_pc.md
2015-07-14,Snyderville Basin Planning Commission,snyderville_basin_pc,3,"continue this item to July 28, 2015, to allow Staff and the developer to come back with a development agreement that is fully developed",Pass,,,,DeFord,Peck,false,land_use/minutes/2015/2015-07-14_snyderville_basin_pc.md
