ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,linkage_note,minutes_source
2020-18,2020-09-09,2020-09-09,"a City-Initiated Text Amendment Application to Amend Titles 11 -2 and 11- 22 of the Bluffdale City Land Use Ordinances, Revising the City's Sign Code, Along wit",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/bluffdale/ordinances/documents/1736462428_ORDINANCE%202020-18.pdf,2026-07-12,text,"pdftotext -layout (born-digital adopted ordinance PDF, Municipal Code Online archive)",raw/archive/2020-18.pdf,yes,The motion passed unanimously,2020-09-09,2,high,,minutes/2020/2020-09-07/council_2020-09-09_808.md
2020-19,2020-08-26,2020-08-26,"Amending Title 11-2, 11-16, and 11-35 Regarding the Chicken and Small Animal Requirements in R-1-43 and R-1-10 Zones, Am ending Existing Animal Code and Creatin",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/bluffdale/ordinances/documents/1742402025_ORDINANCE%202020-19.pdf,2026-07-12,text,"pdftotext -layout (born-digital adopted ordinance PDF, Municipal Code Online archive)",raw/archive/2020-19.pdf,yes,The motion passed unanimously,2020-08-26,6,high,,minutes/2020/2020-08-24/council_2020-08-26_801.md
2020-23,2020-10-28,2020-10-28,"Adopting an Amended Impact Fee Facility Plan and Impact Fee Analysis, Presenter, Cody Deeter, EFG; Staff Presenter, Michael Fazio. 9 BLUFFDALE CITY COUNCIL MEET",https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_10282020-824,2026-07-12,na,reconstructed from meeting_minutes motion text (no independent PDF in archive),,no,The motion passed unanimously,2020-10-28,2,within_source,,minutes/2020/2020-10-26/council_2020-10-28_824.md
2020-24,2020-10-28,2020-10-28,"a City- Initiated Text Amendment Application to Amend Section 11.90.030.060 of the Bluffdale City Land Use Ordinance, Revising the Setback Requirements in Heavy",https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_10282020-824,2026-07-12,na,reconstructed from meeting_minutes motion text (no independent PDF in archive),,yes,The motion passed unanimously,2020-10-28,3,within_source,,minutes/2020/2020-10-26/council_2020-10-28_824.md
2020-25,2020-10-28,2020-10-28,"Amending the City Engineering Standards and Specifications Regarding Street Sign Requirements, Staff Presenter, Dan Tracer. Mr. Tracer presented the updated str",https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_10282020-824,2026-07-12,na,reconstructed from meeting_minutes motion text (no independent PDF in archive),,no,The motion passed unanimously,2020-10-28,4,within_source,,minutes/2020/2020-10-26/council_2020-10-28_824.md
2020-26,2020-11-18,2020-11-18,"a Zoning Map Amendment Application (Application 2020-53) for 2.05 Acres from I-1 Light Industrial Zone to Heavy Commercial Zone (HC), located at Approximately 9",https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_11182020-831,2026-07-12,na,reconstructed from meeting_minutes motion text (no independent PDF in archive),,yes,The motion passed unanimously,2020-11-18,4,within_source,,minutes/2020/2020-11-16/council_2020-11-18_831.md
2020-27,2020-11-18,2020-11-18,"a City-Initiated Text Amendment Regarding Business Licensing and Home Occupations. Staff Presenter, Todd Sheeran. City Attorney, Todd Sheeran reported that draf",https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_11182020-831,2026-07-12,na,reconstructed from meeting_minutes motion text (no independent PDF in archive),,no,The motion passed 4-to-1,2020-11-18,2,within_source,,minutes/2020/2020-11-16/council_2020-11-18_831.md
2020-28,2020-11-18,2020-11-18,"Adopting an Amended Consolidated Fee Schedule for Administrative, Service, and Development Fees Charged by the City of Bluffdale. Staff Presenter, Bruce Kartchn",https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_11182020-831,2026-07-12,na,reconstructed from meeting_minutes motion text (no independent PDF in archive),,no,The motion passed unanimously,2020-11-18,3,within_source,,minutes/2020/2020-11-16/council_2020-11-18_831.md
2021-01,2021-02-24,2021-02-24,for a proposed Zoning Text Amendment Application to enact BCC 11.80.60 for an R-SL Residential Senior Independent Living Zone including all development standard,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_02242021-872,2026-07-12,na,reconstructed from meeting_minutes motion text (no independent PDF in archive),,yes,The motion passed 3-to-2,2021-02-24,4,within_source,,minutes/2021/2021-02-22/council_2021-02-24_872.md
2021-02,2021-02-24,2021-02-24,for a proposed Zoning Map Amendment Application for approximately 4.50 Acres from Residential R-1-43 to Residential Senior Independent Living Zone (R-SL) locate,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_02242021-872,2026-07-12,na,reconstructed from meeting_minutes motion text (no independent PDF in archive),,yes,The motion passed 3- to-2,2021-02-24,6,within_source,,minutes/2021/2021-02-22/council_2021-02-24_872.md
2021-04,2021-02-10,2021-02-10,"Updating Various Provisions of the City's Business License Regulations Found in Title 3 of the Bluffdale City Code, Regarding Alcoholic Beverage Licenses, Staff",https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_02102021-866,2026-07-12,na,reconstructed from meeting_minutes motion text (no independent PDF in archive),,no,The motion passed unanimously,2021-02-10,5,within_source,,minutes/2021/2021-02-08/council_2021-02-10_866.md
2021-05,2021-03-24,2021-03-24,"a City- Initiated Text Amendment Application to Amend Title 11-11-070-130(B) Regarding 5 BLUFFDALE CITY COUNCIL MEETING MINUTES Wednesday, March 24, 2021 Adding",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/bluffdale/ordinances/documents/1618327101_Ordinance%20No.%202021-05%20OCR%20M.pdf,2026-07-12,text,"pdftotext -layout (born-digital adopted ordinance PDF, Municipal Code Online archive)",raw/archive/2021-05.pdf,yes,The motion passed unanimously,2021-03-24,3,high,,minutes/2021/2021-03-22/council_2021-03-24_883.md
2021-06,2021-05-26,2021-05-26,"a City- Initiated Text Amendment Application to Amend Title 11, Chapters 11.20, 11.90, 11.120, 11.150, 11.160, 11 .220 et seq . of the Bluffdale City Code Regar",https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_05262021-915,2026-07-12,na,reconstructed from meeting_minutes motion text (no independent PDF in archive),,yes,The motion passed unanimously,2021-05-26,3,within_source,,minutes/2021/2021-05-24/council_2021-05-26_915.md
2021-07,2021-03-24,2021-03-24,"Amending the City Engineering Standards and Specifications Regarding Street Light Standards and Water Standards, Staff Presenter, Jonathan Knight. Assistant Cit",https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_03242021-883,2026-07-12,na,reconstructed from meeting_minutes motion text (no independent PDF in archive),,no,The motion passed unanimously,2021-03-24,4,within_source,,minutes/2021/2021-03-22/council_2021-03-24_883.md
2021-08,2021-04-14,2021-04-14,"a Zoning Amendment Application from the R-1-43 Zone to the R-1-10 Infill-Overlay (I-0) Zone on 15.54 Acres, located at Approximately 14563 South Camp Williams R",https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_04142021-893,2026-07-12,na,reconstructed from meeting_minutes motion text (no independent PDF in archive),,yes,The motion passed unanimously,2021-04-14,2,within_source,,minutes/2021/2021-04-12/council_2021-04-14_893.md
2021-09,2021-05-12,2021-05-12,"a Text Amendment Application to Amend Title 11, Chapter 11.180 of the Bluffdale City Code to Allow a Home to be Converted to an Accessory Structure by Amending",https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_05122021-908,2026-07-12,na,reconstructed from meeting_minutes motion text (no independent PDF in archive),,yes,The motion passed unanimously,2021-05-12,2,within_source,,minutes/2021/2021-05-10/council_2021-05-12_908.md
2021-10,2021-05-26,2021-05-26,"Amending the Geotechnical and Slope Stability Manual, Staff Presenter, Jonathan Knight. Assistant City Engineer, Jonathan Knight, introduced the Slope Stability",https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_05262021-915,2026-07-12,na,reconstructed from meeting_minutes motion text (no independent PDF in archive),,no,The motion passed unanimously,2021-05-26,4,within_source,,minutes/2021/2021-05-24/council_2021-05-26_915.md
2021-11,2021-06-09,2021-06-09,"Adopting an Amended Consolidated Fee Schedule for Administrative, Service, and Development Fees, Including Water Rates Charged by the City of Bluffdale, Staff P",https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_06092021-921,2026-07-12,na,reconstructed from meeting_minutes motion text (no independent PDF in archive),,no,The motion passed unanimously,2021-06-09,5,within_source,,minutes/2021/2021-06-07/council_2021-06-09_921.md
2021-13,2021-07-14,2021-07-14,"a City Initiated Text Amendment Application to Amend Title 8 of the Bluffdale City Code (Water), Title 9 (Building), and Title 11 (Land Use) Pertaining to Water",https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_07142021-942,2026-07-12,na,reconstructed from meeting_minutes motion text (no independent PDF in archive),,yes,The motion passed unanimously,2021-07-14,4,within_source,,minutes/2021/2021-07-12/council_2021-07-14_942.md
2021-14,2021-07-14,2021-07-14,"Amendments to the Bluffdale City Land Use Ordinance, Title 11, Chapter 11.110.120, Special Purpose and Overlay Zones, to Create a New Zoning Ordinance Chapter a",https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_07142021-942,2026-07-12,na,reconstructed from meeting_minutes motion text (no independent PDF in archive),,yes,The motion passed unanimously,2021-07-14,3,within_source,,minutes/2021/2021-07-12/council_2021-07-14_942.md
2021-16,2021-07-14,2021-07-14,"Amendments to the City's Adopted Standards for the City's Street Light and Tapping Sleeve Details and the City's Storm Water Design Standards Manual, Staff Pres",https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_07142021-942,2026-07-12,na,reconstructed from meeting_minutes motion text (no independent PDF in archive),,no,The motion passed unanimously,2021-07-14,5,within_source,,minutes/2021/2021-07-12/council_2021-07-14_942.md
2021-17,2021-07-28,2021-07-28,"a Text Amendment Application to Bluffdale City Code 3.80 (Home Occupations), Staff Presenter, Bruce Kartchner. Administrative Services Director, Bruce Kartchner",https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_07282021-946,2026-07-12,na,reconstructed from meeting_minutes motion text (no independent PDF in archive),,no,The motion passed unanimously,2021-07-28,3,within_source,,minutes/2021/2021-07-26/council_2021-07-28_946.md
2021-18,2021-09-22,2021-09-22,a City- Initiated Text Amendment to Amend Table 11.110.lOO(C) of the Bluffdale City Code Regarding Adding Home Occupations as a Permitted Use in the (SD-X Bring,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_09222021-968,2026-07-12,na,reconstructed from meeting_minutes motion text (no independent PDF in archive),,yes,The motion passed unanimously,2021-09-22,2,within_source,,minutes/2021/2021-09-20/council_2021-09-22_968.md
2021-19,2021-10-06,2021-10-06,"Amending the City of Bluffdale Floodplain Ordinance and Accompanying Flood Insurance Rate Maps (""FIRM""), Staff Presenter, Daniel Tracer. Assistant City Engineer",https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_10062021-973,2026-07-12,na,reconstructed from meeting_minutes motion text (no independent PDF in archive),,no,The motion passed unanimously,2021-10-06,2,within_source,,minutes/2021/2021-10-04/council_2021-10-06_973.md
2021-20,2021-10-06,2021-10-06,"Prohibiting Certain Applications or Approvals of Non-City Public Uses in the GC-1 Zone, Staff Presenter, Grant Crowell. City Planner/Economic Development Direct",https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_10062021-973,2026-07-12,na,reconstructed from meeting_minutes motion text (no independent PDF in archive),,yes,The motion passed unanimously,2021-10-06,3,within_source,,minutes/2021/2021-10-04/council_2021-10-06_973.md
2021-21,2021-11-17,2021-11-17,"a Zoning Map and Text Amendment Application, which Proposes Amendments to the Bluffdale City Land Use Ordinance, Title 11, Chapter 11.110.120, Special Purpose a",https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_11172021-997,2026-07-12,na,reconstructed from meeting_minutes motion text (no independent PDF in archive),,yes,The motion passed unanimously,2021-11-17,6,within_source,,minutes/2021/2021-11-15/council_2021-11-17_997.md
2021-22,2021-11-17,2021-11-17,"a Text Amendment Application, which Proposes to Amend Table 11.350, 11.120, and Other Related Administrative Items of the Bluffdale City Code to Allow Automobil",https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_11172021-997,2026-07-12,na,reconstructed from meeting_minutes motion text (no independent PDF in archive),,yes,The motion passed unanimously,2021-11-17,5,within_source,,minutes/2021/2021-11-15/council_2021-11-17_997.md
2021-24,2021-12-08,2021-12-08,"A Zoning Map Amendment Application for 5.59 Acres, located at Approximately 13855 and 13937 South 2950 West, from R-1-43 Residential to GC-1 General Commercial",https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_12082021-1006,2026-07-12,na,reconstructed from meeting_minutes motion text (no independent PDF in archive),,yes,The motion passed unanimously,2021-12-08,5,within_source,,minutes/2021/2021-12-06/council_2021-12-08_1006.md
2022-01,2022-01-12,2022-01-12,,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_01122022-1015,2026-07-12,na,reconstructed from meeting_minutes motion text (no independent PDF in archive),,no,The motion passed unanimously,2022-01-12,9,within_source,,minutes/2022/2022-01-10/council_2022-01-12_1015.md
2022-03,2022-01-12,2022-01-12,"(Tabled from December 8, 2021) Zoning Map Amendment Application for 5.59 Acres, Located at Approximately 13855 and 13937 South 2950 West, from R-1-43 Residentia",https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_01122022-1015,2026-07-12,na,reconstructed from meeting_minutes motion text (no independent PDF in archive),,yes,The motion passed 4-to-1,2022-01-12,11,within_source,,minutes/2022/2022-01-10/council_2022-01-12_1015.md
2022-05,2022-01-26,2022-01-26,a Zoning Map Amendment Application for 2.91 Acres Located at Approximately 13820 South 2700 West from R-1-43 Residential to Neighborhood Commercial. Applicant,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_01262022-1018,2026-07-12,na,reconstructed from meeting_minutes motion text (no independent PDF in archive),,yes,The motion passed unanimously,2022-01-26,4,within_source,,minutes/2022/2022-01-24/council_2022-01-26_1018.md
2022-06,2022-03-09,2022-03-09,"Dissolving the Jordan Crossing Community Reinvestment Project Area (Staff Presenter, Grant Crowell). Mayor Hall reported explained that the item had to do with",https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_03092022-1031,2026-07-12,na,reconstructed from meeting_minutes motion text (no independent PDF in archive),,no,The motion passed unanimously,2022-03-09,4,within_source,,minutes/2022/2022-03-07/council_2022-03-09_1031.md
2022-07,2022-04-13,2022-04-13,"Amending Bluffdale City Code, Sections 11.20.020, 11.350.020, 11.350.030, and 11.160.160 of the Bluffdale City Land Use Ordinances to Update the Standards Perta",https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_04132022-1051,2026-07-12,na,reconstructed from meeting_minutes motion text (no independent PDF in archive),,yes,The motion passed unanimously,2022-04-13,4,within_source,,minutes/2022/2022-04-11/council_2022-04-13_1051.md
2022-09,2022-03-23,2022-03-23,"Amending the Use of City Park Facilities (Title 7) and Enacting Regulations for Special Event Permits. (Staff Presenter, Todd Sheeran). City Attorney, Todd Shee",https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_03232022-1039,2026-07-12,na,reconstructed from meeting_minutes motion text (no independent PDF in archive),,no,The motion passed 3-to-2,2022-03-23,4,within_source,,minutes/2022/2022-03-21/council_2022-03-23_1039.md
2022-10,2022-03-23,2022-03-23,"Enacting Regulations for Food Trucks. (Staff Presenter, Todd Sheeran). Dave Kallas moved to APPROVE Ordinance Number 2022-10, enacting regulations for Food Truc",https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_03232022-1039,2026-07-12,na,reconstructed from meeting_minutes motion text (no independent PDF in archive),,no,The motion passed unanimously,2022-03-23,5,within_source,,minutes/2022/2022-03-21/council_2022-03-23_1039.md
2022-11,2022-06-08,2022-06-08,,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_06082022-1075,2026-07-12,na,reconstructed from meeting_minutes motion text (no independent PDF in archive),,no,The motion passed unanimously,2022-06-08,6,within_source,,minutes/2022/2022-06-06/council_2022-06-08_1075.md
2022-12,2022-05-11,2022-05-11,"Amending Bluffdale City Code Sections 3.80 (Home Occupations), 6.20 (Truck Routes), 11.20, and 11.160 (Land Use Ordinance) to Update the Standards and Maps. (St",https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_05112022-1065,2026-07-12,na,reconstructed from meeting_minutes motion text (no independent PDF in archive),,yes,The motion passed unanimously,2022-05-11,4,within_source,,minutes/2022/2022-05-09/council_2022-05-11_1065.md
2022-13,2022-06-08,2022-06-08,,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_06082022-1075,2026-07-12,na,reconstructed from meeting_minutes motion text (no independent PDF in archive),,no,The motion passed unanimously,2022-06-08,5,within_source,,minutes/2022/2022-06-06/council_2022-06-08_1075.md
2022-14,2022-06-22,2022-06-22,"Adopting an Amended Consolidated Fee Schedule for Administrative, Service, and Development Fees, Including Water Rates Charged by the City of Bluffdale. (Staff",https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_06222022-1079,2026-07-12,na,reconstructed from meeting_minutes motion text (no independent PDF in archive),,no,The motion passed unanimously,2022-06-22,8,within_source,,minutes/2022/2022-06-20/council_2022-06-22_1079.md
2022-15,2022-09-14,2022-09-14,Adopting an Update to the Moderate-Income Housing Element of the City of Bluffdale General Plan,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_09142022-1113,2026-07-12,na,reconstructed from meeting_minutes motion text (no independent PDF in archive),,yes,The motion passed unanimously,2022-09-14,6,within_source,,minutes/2022/2022-09-12/council_2022-09-14_1113.md
2022-16,2022-10-12,2022-10-12,"A Zoning Text Amendment Application for The Centrum at Bluffdale Special Service District (SD-X), BCC 11.110.130",https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_10122022-1126,2026-07-12,na,reconstructed from meeting_minutes motion text (no independent PDF in archive),,yes,The motion passed unanimously,2022-10-12,4,within_source,,minutes/2022/2022-10-10/council_2022-10-12_1126.md
2022-17,2022-09-28,2022-09-28,"Amending Title 1 of the Bluffdale City Code Related to Administration, Including Duties of the Mayor, with the amendment that the word ""administration"" be chang",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/bluffdale/ordinances/documents/1710446785_ORDINANCE%202022-17.pdf,2026-07-12,text,"pdftotext -layout (born-digital adopted ordinance PDF, Municipal Code Online archive)",raw/archive/2022-17.pdf,no,The motion passed 4-to-l,2022-09-28,3,high,,minutes/2022/2022-09-26/council_2022-09-28_1121.md
2022-18,2022-11-09,2022-11-09,"Text Amendments to Bluffdale City Land Use Code Sections 11.20 (Definitions), 11.160 (Supplementary Provisions), and 11.80 (Residential Zones) to Update the Sta",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/bluffdale/ordinances/documents/1710445625_ORDINANCE%202022-18.pdf,2026-07-12,text,"pdftotext -layout (born-digital adopted ordinance PDF, Municipal Code Online archive)",raw/archive/2022-18.pdf,yes,The motion passed 3-to-2,2022-11-09,4,high,,minutes/2022/2022-11-07/council_2022-11-09_1135.md
2022-19,2022-11-09,2022-11-09,Amending the City Standards and Specifications,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_11092022-1135,2026-07-12,na,reconstructed from meeting_minutes motion text (no independent PDF in archive),,no,The motion passed unanimously,2022-11-09,7,within_source,,minutes/2022/2022-11-07/council_2022-11-09_1135.md
2022-20,2022-12-14,2022-12-14,Amending Chapter 8-6 of the Bluffdale City Code related to Storm Water Discharges,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/bluffdale/ordinances/documents/1710446309_ORDINANCE%202022-20.pdf,2026-07-12,text,"pdftotext -layout (born-digital adopted ordinance PDF, Municipal Code Online archive)",raw/archive/2022-20.pdf,no,The motion passed unanimously,2022-12-14,5,high,,minutes/2022/2022-12-12/council_2022-12-14_1148.md
2023-01,2023-01-11,2023-01-11,Amending Section 6.30.010(A) of the Bluffdale City Code Related to Detached Trailer Parking,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/bluffdale/ordinances/documents/1704491077_ORDINANCE%202023-01.pdf,2026-07-12,text,"pdftotext -layout (born-digital adopted ordinance PDF, Municipal Code Online archive)",raw/archive/2023-01.pdf,no,The motion passed unanimously,2023-01-11,3,high,,minutes/2023/2023-01-09/council_2023-01-11_1157.md
2023-02,2023-01-25,2023-01-25,"Amendments to the Bluffdale City Land Use Ordinance 11.160.180(c)(2) Supplementary Provisions for shared driveways to allow ""Access to a Maximum ofThree Lots or",https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_01252023-1168,2026-07-12,na,reconstructed from meeting_minutes motion text (no independent PDF in archive),,yes,The motion passed unanimously,2023-01-25,7,within_source,,minutes/2023/2023-01-23/council_2023-01-25_1168.md
2023-03,2023-01-25,2023-01-25,"Amendments to the Bluffdale City Land Use Ordinance,Title 11, Chapter 11,Special Purpose and Overlay Zones, to Create a New Zoning Ordinance Chapter and Map Des",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/bluffdale/ordinances/documents/1710444768_ORDINANCE%202023-03.pdf,2026-07-12,text,"pdftotext -layout (born-digital adopted ordinance PDF, Municipal Code Online archive)",raw/archive/2023-03.pdf,yes,The motion passed unanimously,2023-01-25,8,high,,minutes/2023/2023-01-23/council_2023-01-25_1168.md
2023-04,2023-01-25,2023-01-25,Amendments to the Moderate-Income Housing Element of the City of Bluffdale General Plan,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_01252023-1168,2026-07-12,na,reconstructed from meeting_minutes motion text (no independent PDF in archive),,yes,The motion passed unanimously,2023-01-25,9,within_source,,minutes/2023/2023-01-23/council_2023-01-25_1168.md
2023-05,2023-01-25,2023-01-25,"Text Amendments to Bluffdale City Code Section 7.50, pertaining to the definition of ""Significant Property"" and establishing a process to dispose of City-owned",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/bluffdale/ordinances/documents/1704996717_ORDINANCE%202023-05.pdf,2026-07-12,text,"pdftotext -layout (born-digital adopted ordinance PDF, Municipal Code Online archive)",raw/archive/2023-05.pdf,no,The motion passed unanimously,2023-01-25,12,high,,minutes/2023/2023-01-23/council_2023-01-25_1168.md
