ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,case_no
20-18,2020-04-21,2020-04-21,"ACCEPT PUBLIC INPUT REGARDING APPLICATION ZT-2-2020 (APPEAL), FILED BY ERIK HOFFMAN, REQUESTING A ZONE TEXT CHANGE TO SECTIONS 7-1-103, 7-6-201, 7-6-301 AND ENACT SECTION 7-7-103.5 TO ADD AUTOMOBILE EMISSION CENTERS AS A CONDITIONAL USE IN THE RB (RESIDENTIAL BUSINESS) ZONE ON PROPERTIES OVER AN ACR",west_valley_city_council/meeting_minutes/minutes/2020/2020-04-20/2020-04-21_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2020-04-21,2,within_source,
20-19,2020-05-05,2020-05-05,"ACCEPT PUBLIC INPUT REGARDING APPLICATION PUD-1-2019, FILED BY RUSSELL PLATT, REQUESTING FINAL PLAT APPROVAL FOR THE COBALT LANDING PUD PHASE 2 SUBDIVISION LOCATED AT 3579 SOUTH REDWOOD ROAD",west_valley_city_council/meeting_minutes/minutes/2020/2020-05-04/2020-05-05_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2020-05-05,2,within_source,PUD-1-2019
20-20,2020-05-12,2020-05-12,"ACCEPT PUBLIC INPUT REGARDING APPLICATION GPZ-2-2020, FILED BY SCOTT HELM, REQUESTING A GENERAL PLAN CHANGE FROM LARGE LOT RESIDENTIAL TO LOW DENSITY RESIDENTIAL AND A ZONE CHANGE FROM A (AGRICULTURE, MINIMUM LOT SIZE 1/2 ACRE) TO R-1-10 (SINGLE UNIT DWELLING RESIDENTIAL, MINIMUM LOT SIZE 10,000 SQU",west_valley_city_council/meeting_minutes/minutes/2020/2020-05-11/2020-05-12_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2020-05-12,2,within_source,GPZ-2-2020
20-21,2020-05-12,2020-05-12,"ACCEPT PUBLIC INPUT REGARDING APPLICATION GPZ-2-2020, FILED BY SCOTT HELM, REQUESTING A GENERAL PLAN CHANGE FROM LARGE LOT RESIDENTIAL TO LOW DENSITY RESIDENTIAL AND A ZONE CHANGE FROM A (AGRICULTURE, MINIMUM LOT SIZE 1/2 ACRE) TO R-1-10 (SINGLE UNIT DWELLING RESIDENTIAL, MINIMUM LOT SIZE 10,000 SQU",west_valley_city_council/meeting_minutes/minutes/2020/2020-05-11/2020-05-12_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2020-05-12,3,within_source,GPZ-2-2020
20-22,2020-05-26,2020-05-26,"ACCEPT PUBLIC INPUT REGARDING APPLICATION SA-1-2020, FILED BY NORM DAHLE, REQUESTING A PLAT AMENDMENT TO THE GODFREY INDUSTRIAL PARK SUBDIVISION LOCATED AT APPROXIMATELY 6219 WEST 2100 SOUTH",west_valley_city_council/meeting_minutes/minutes/2020/2020-05-25/2020-05-26_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2020-05-26,2,within_source,
20-23,2020-06-02,2020-06-02,ACCEPT PUBLIC INPUT REGARDING RE-OPENING THE FY 2019- 2020 BUDGET,west_valley_city_council/meeting_minutes/minutes/2020/2020-06-01/2020-06-02_council-regular-meeting.md,2026-07-06,na,minutes-derived,,0,,2020-06-02,2,within_source,
20-24,2020-06-02,2020-06-02,"ACCEPT PUBLIC INPUT REGARDINGAPPLICATION Z-3-2020, FILED BY RICHARD DEFA, REQUESTING A ZONE CHANGE FROM 'A' (AGRICULTURE, MINIMUM LOT SIZE 1/2 ACRE) TO 'R-1-8' (SINGLE UNIT DWELLING RESIDENTIAL, MINIMUM LOT SIZE 8,000 SQUARE FEET) FOR PROPERTY LOCATED AT 3793 SOUTH 5725 WEST",west_valley_city_council/meeting_minutes/minutes/2020/2020-06-01/2020-06-02_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2020-06-02,3,within_source,Z-3-2020
20-25,2020-06-09,2020-06-09,"ACCEPT PUBLIC INPUT REGARDING APPLICATION SA-3-2020, FILED BY UTAH DEPARTMENT OF FACILITIES CONSTRUCTION AND MANAGEMENT, REQUESTING FINAL PLAT APPROVAL FOR THE HIGHBURY CENTRE SUBDIVISION- LOT 3 AMENDED LOCATED AT 5432 WEST HIGH MARKET DRIVE",west_valley_city_council/meeting_minutes/minutes/2020/2020-06-08/2020-06-09_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2020-06-09,2,within_source,
20-26,2020-06-16,2020-06-16,"ACCEPT PUBLIC INPUT REGARDING APPLICATION ZT-3-2020, FILED BY WEST VALLEY CITY, REQUESTING A ZONE TEXT CHANGE TO AMEND THE RESIDENTIAL BUILDING DESIGN STANDARDS IN THE CC (CITY CENTER) ZONE",west_valley_city_council/meeting_minutes/minutes/2020/2020-06-15/2020-06-16_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2020-06-16,2,within_source,
20-27,2020-07-14,2020-07-14,"ACCEPT PUBLIC INPUT REGARDING APPLICATION GPZ-5-2020, FILED BY JAMES GRAHAM, REQUESTING A GENERAL PLAN CHANGE FROM RURAL RESIDENTIAL (1 TO 2 UNITS/ACRE) TO LOW DENSITY RESIDENTIAL (3 TO 4 UNITS/ACRE) AND A ZONE CHANGE FROM A (AGRICULTURE, MINIMUM LOT SIZE 1/2 ACRE) TO RS (RESIDENTIAL SUSTAINABILITY,",west_valley_city_council/meeting_minutes/minutes/2020/2020-07-13/2020-07-14_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2020-07-14,2,within_source,GPZ-5-2020
20-28,2020-07-14,2020-07-14,"ACCEPT PUBLIC INPUT REGARDING APPLICATION GPZ-5-2020, FILED BY JAMES GRAHAM, REQUESTING A GENERAL PLAN CHANGE FROM RURAL RESIDENTIAL (1 TO 2 UNITS/ACRE) TO LOW DENSITY RESIDENTIAL (3 TO 4 UNITS/ACRE) AND A ZONE CHANGE FROM A (AGRICULTURE, MINIMUM LOT SIZE 1/2 ACRE) TO RS (RESIDENTIAL SUSTAINABILITY,",west_valley_city_council/meeting_minutes/minutes/2020/2020-07-13/2020-07-14_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2020-07-14,3,within_source,GPZ-5-2020
20-29,2020-09-01,2020-09-01,"ACCEPT PUBLIC INPUT REGARDING APPLICATION Z-4-2020, FILED BY JEFFREY AND KRISTINE NAYLOR, REQUESTING A ZONE CHANGE FROM A (AGRICULTURE, MINIMUM LOT SIZE 1/2 ACRE) TO BRP (BUSINESS RESEARCH PARK) ON PROPERTY LOCATED AT 1078 WEST PARKWAY AVENUE",west_valley_city_council/meeting_minutes/minutes/2020/2020-08-31/2020-09-01_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2020-09-01,9,within_source,Z-4-2020
20-30,2020-08-18,2020-08-18,"ACCEPT PUBLIC INPUT REGARDING APPLICATION GPZ-6-2020, FILED BY RUSSELL PLATT, REQUESTING A GENERAL PLAN CHANGE FROM GENERAL COMMERCIAL TO HIGH DENSITY RESIDENTIAL (12 TO 20 UNITS/ACRE) AND A ZONE CHANGE FROM C-2 (GENERAL COMMERCIAL) TO RM (MULTIPLE UNIT DWELLING RESIDENTIAL) FOR PROPERTY LOCATED AT",west_valley_city_council/meeting_minutes/minutes/2020/2020-08-17/2020-08-18_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2020-08-18,4,within_source,GPZ-6-2020
20-31,2020-08-18,2020-08-18,"ACCEPT PUBLIC INPUT REGARDING APPLICATION GPZ-6-2020, FILED BY RUSSELL PLATT, REQUESTING A GENERAL PLAN CHANGE FROM GENERAL COMMERCIAL TO HIGH DENSITY RESIDENTIAL (12 TO 20 UNITS/ACRE) AND A ZONE CHANGE FROM C-2 (GENERAL COMMERCIAL) TO RM (MULTIPLE UNIT DWELLING RESIDENTIAL) FOR PROPERTY LOCATED AT",west_valley_city_council/meeting_minutes/minutes/2020/2020-08-17/2020-08-18_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2020-08-18,5,within_source,GPZ-6-2020
20-32,2020-08-25,2020-08-25,"ACCEPT PUBLIC INPUT REGARDING UPDATES TO TITLE 18, TITLE 19, TITLE 20, AND TITLE 1 OF THE WEST VALLEY CITY MUNICIPAL CODE AND PROPOSED UPDATES TO ENGINEERING STANDARDS",west_valley_city_council/meeting_minutes/minutes/2020/2020-08-24/2020-08-25_council-regular-meeting.md,2026-07-06,na,minutes-derived,,0,,2020-08-25,2,within_source,
20-33,2020-08-25,2020-08-25,"ACCEPT PUBLIC INPUT REGARDING UPDATES TO TITLE 18, TITLE 19, TITLE 20, AND TITLE 1 OF THE WEST VALLEY CITY MUNICIPAL CODE AND PROPOSED UPDATES TO ENGINEERING STANDARDS",west_valley_city_council/meeting_minutes/minutes/2020/2020-08-24/2020-08-25_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2020-08-25,3,within_source,
20-34,2020-08-25,2020-08-25,"ACCEPT PUBLIC INPUT REGARDING UPDATES TO TITLE 18, TITLE 19, TITLE 20, AND TITLE 1 OF THE WEST VALLEY CITY MUNICIPAL CODE AND PROPOSED UPDATES TO ENGINEERING STANDARDS",west_valley_city_council/meeting_minutes/minutes/2020/2020-08-24/2020-08-25_council-regular-meeting.md,2026-07-06,na,minutes-derived,,0,,2020-08-25,4,within_source,
20-35,2020-08-25,2020-08-25,"ACCEPT PUBLIC INPUT REGARDING UPDATES TO TITLE 18, TITLE 19, TITLE 20, AND TITLE 1 OF THE WEST VALLEY CITY MUNICIPAL CODE AND PROPOSED UPDATES TO ENGINEERING STANDARDS",west_valley_city_council/meeting_minutes/minutes/2020/2020-08-24/2020-08-25_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2020-08-25,5,within_source,
20-36,2020-09-01,2020-09-01,"ACCEPT PUBLIC INPUT REGARDING APPLICATION ZT-4-2020, FILED BY BRUCE SMITH AND FRED COX, REQUESTING AN ORDINANCE CHANGE TO SECTIONS 7-6-302 AND 7-6-305 TO ALLOW THE MINIMUM ZONING DISTRICT SIZE FOR THE C-2 (GENERAL COMMERICAL) ZONE TO BE LESS THAN 5",west_valley_city_council/meeting_minutes/minutes/2020/2020-08-31/2020-09-01_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2020-09-01,2,within_source,
20-37,2020-09-01,2020-09-01,"ACCEPT PUBLIC INPUT REGARDING APPLICATION Z-5-2020, FILED BY BRUCE SMITH AND FRED COX, REQUESTING A ZONE CHANGE FROM M (MANUFACTURING) TO C-2 (GENERAL COMMERCIAL) ON PROPERTY LOCATED AT 5571 WEST 2455 SOUTH",west_valley_city_council/meeting_minutes/minutes/2020/2020-08-31/2020-09-01_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2020-09-01,3,within_source,Z-5-2020
20-38,2020-09-15,2020-09-15,"ACCEPT PUBLIC INPUT REGARDING APPLICATION GPZ-4-2020, FILED BY ROCKWORTH COMPANIES, LLC, REQUESTING AN AMENDMENT TO THE GENERAL PLAN FROM ENTERTAINMENT TO VERY HIGH DENSITY RESIDENTIAL AND A ZONE CHANGE FROM M (MANUFACTURING) WITH THE DECKER LAKE STATION OVERLAY ZONE TO RM (MULTIPLE UNIT DWELLING RE",west_valley_city_council/meeting_minutes/minutes/2020/2020-09-14/2020-09-15_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2020-09-15,2,within_source,GPZ-4-2020
20-39,2020-09-15,2020-09-15,"ACCEPT PUBLIC INPUT REGARDING APPLICATION GPZ-4-2020, FILED BY ROCKWORTH COMPANIES, LLC, REQUESTING AN AMENDMENT TO THE GENERAL PLAN FROM ENTERTAINMENT TO VERY HIGH DENSITY RESIDENTIAL AND A ZONE CHANGE FROM M (MANUFACTURING) WITH THE DECKER LAKE STATION OVERLAY ZONE TO RM (MULTIPLE UNIT DWELLING RE",west_valley_city_council/meeting_minutes/minutes/2020/2020-09-14/2020-09-15_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2020-09-15,3,within_source,GPZ-4-2020
20-40,2020-09-15,2020-09-15,"ACCEPT PUBLIC INPUT REGARDING APPLICATION SA-2-2020, FILED BY SANDI SCHWARTZ, REQUESTING FINAL PLAT APPROVAL FOR THE PARKWAY BUSINESS PARK SUBDIVISION (AMENDING LOT 6B WESTLAKES BUSINESS PARK 1 & 2 LOT 6 AMENDED SUBDIVISION) FOR PROPERTY LOCATED AT 2480 SOUTH 3850 WEST",west_valley_city_council/meeting_minutes/minutes/2020/2020-09-14/2020-09-15_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2020-09-15,5,within_source,SMI-6-2020
20-41,2020-10-06,2020-10-06,ACCEPT PUBLIC INPUT REGARDING RE-OPENING THE FY 2020-2021 BUDGET,west_valley_city_council/meeting_minutes/minutes/2020/2020-10-05/2020-10-06_council-regular-meeting.md,2026-07-06,na,minutes-derived,,0,,2020-10-06,2,within_source,
20-42,2020-10-06,2020-10-06,"ACCEPT PUBLIC INPUT REGARDING APPLICATION Z-7-2020, FILED BY HOTEL 5600, LLC, REQUESTING A ZONE CHANGE FROM RM (MULTIPLE UNIT DWELLING RESIDENTIAL) AND R-1-10 (SINGLE UNIT DWELLING RESIDENTIAL, MINIMUM LOT SIZE 10,000 SQUARE FEET) TO C-2 (GENERAL COMMERCIAL) AND FROM R-1-10 (SINGLE UNIT DWELLING RES",west_valley_city_council/meeting_minutes/minutes/2020/2020-10-05/2020-10-06_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2020-10-06,3,within_source,Z-7-2020
20-43,2020-10-13,2020-10-13,"ACCEPT PUBLIC INPUT REGARDING APPLICATION GP-2-2020, FILED BY WEST VALLEY CITY, REQUESTING AN AMENDMENT TO THE WEST VALLEY CITY GENERAL PLAN TO ADOPT THE CITY'S ACTIVE TRANSPORTATION PLAN",west_valley_city_council/meeting_minutes/minutes/2020/2020-10-12/2020-10-13_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2020-10-13,2,within_source,
20-44,2020-10-13,2020-10-13,"ACCEPT PUBLIC INPUT REGARDING APPLICATION ZT-6-2020, FILED BY WEST VALLEY CITY, REQUESTING AN ORDINANCE CHANGE TO SECTIONS 7-1-103 AND 7-6-301 TO DEFINE AND ESTABLISH REGULATIONS FOR OUTDOOR WASTE MANAGEMENT FACILITIES",west_valley_city_council/meeting_minutes/minutes/2020/2020-10-12/2020-10-13_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2020-10-13,3,within_source,
20-45,2020-10-20,2020-10-20,"ACCEPT PUBLIC INPUT REGARDING APPLICATION Z-6-2020, FILED BY DR HORTON, REQUESTING A ZONE CHANGE FROM A (AGRICULTURE, MINIMUM LOT SIZE 1/2 ACRE) TO RM (MULTIPLE UNIT DWELLING RESIDENTIAL), R-1-10 (SINGLE UNIT DWELLING RESIDENTIAL, MINIMUM LOT SIZE 10,000 SQUARE FEET) AND C-2 (GENERAL COMMERCIAL) FOR",west_valley_city_council/meeting_minutes/minutes/2020/2020-10-19/2020-10-20_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2020-10-20,2,within_source,Z-6-2020
20-46,2020-11-17,2020-11-17,,west_valley_city_council/meeting_minutes/minutes/2020/2020-11-16/2020-11-17_council-regular-meeting.md,2026-07-06,na,minutes-derived-consent,,0,,2020-11-17,2,within_source,
20-47,2020-11-24,2020-11-24,"ACCEPT PUBLIC INPUT REGARDING APPLICATION ZT-7-2020, FILED BY WEST VALLEY CITY, REQUESTING A ZONE TEXT CHANGE TO CREATE THE CHESTERFIELD OVERLAY ZONE",west_valley_city_council/meeting_minutes/minutes/2020/2020-11-23/2020-11-24_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2020-11-24,2,within_source,Z-8-2020
20-48,2020-11-24,2020-11-24,"ACCEPT PUBLIC INPUT REGARDING APPLICATION Z-8-2020, FILED BY WEST VALLEY CITY, REQUESTING A ZONE CHANGE ON PROPERTY LOCATED GENERALLY BETWEEN 2420 SOUTH AND 2920 SOUTH AND BETWEEN 1680 WEST AND THE JORDAN RIVER TO ADD THE CHESTERFIELD OVERLAY ZONE",west_valley_city_council/meeting_minutes/minutes/2020/2020-11-23/2020-11-24_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2020-11-24,3,within_source,Z-8-2020
20-49,2020-11-24,2020-11-24,"ACCEPT PUBLIC INPUT REGARDING APPLICATION Z-8-2020, FILED BY WEST VALLEY CITY, REQUESTING A ZONE CHANGE ON PROPERTY LOCATED GENERALLY BETWEEN 2420 SOUTH AND 2920 SOUTH AND BETWEEN 1680 WEST AND THE JORDAN RIVER TO ADD THE CHESTERFIELD OVERLAY ZONE",west_valley_city_council/meeting_minutes/minutes/2020/2020-11-23/2020-11-24_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2020-11-24,4,within_source,Z-8-2020
20-50,2021-01-05,2021-01-05,ACCEPT PUBLIC INPUT REGARDING RE-OPENING THE FY 2020-2021 BUDGET,west_valley_city_council/meeting_minutes/minutes/2021/2021-01-04/2021-01-05_council-regular-meeting.md,2026-07-06,na,minutes-derived,,0,,2021-01-05,2,within_source,
21-01,2021-01-19,2021-01-19,"ACCEPT PUBLIC INPUT REGARDING APPLICATION ZT-9-2020, FILED BY RANDY MOORE, REQUESTING A ZONE TEXT CHANGE TO ALLOW PROPERTIES WITH ACCESS AND FRONTAGE ON A STREET WITH A PLANNED RIGHT-OF-WAY WIDTH OF AT LEAST 80 FEET WHERE AN EXEMPT HOUSING DEVELOPMENT IS PROPOSED TO APPLY FOR THE RM (MULTIPLE UNIT D",west_valley_city_council/meeting_minutes/minutes/2021/2021-01-18/2021-01-19_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-01-19,6,within_source,
21-02,2021-01-12,2021-01-12,"ACCEPT PUBLIC INPUT REGARDING APPLICATION Z-9-2020, FILED BY MICHELLE KROGIUS AND BRETT GARRETT, REQUESTING A ZONE CHANGE FOR PROPERTY LOCATED AT 2454 SOUTH 5600 WEST FROM A (AGRICULTURE, MINIMUM LOT SIZE 1/2 ACRE) TO M (MANUFACTURING)",west_valley_city_council/meeting_minutes/minutes/2021/2021-01-11/2021-01-12_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-01-12,3,within_source,Z-9-2020
21-03,2021-01-26,2021-01-26,"ACCEPT PUBLIC INPUT REGARDING APPLICATION ZT-8-2020, FILED BY WEST VALLEY CITY, REQUESTING A ZONE TEXT CHANGE TO ADD SPECIFIC FENCE REGULATIONS TO PROPERTIES ALONG 4100 SOUTH",west_valley_city_council/meeting_minutes/minutes/2021/2021-01-25/2021-01-26_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-01-26,2,within_source,
