file,status,matched_candidate,election_year,ocr_name,sim,confidence,page_range,start_line,end_line,document_id
20231221_campaignfinancedisclosures,aligned,BRAD BENNETT,2023,BRAD BENNETT,1.0,high,p07-p09,160,227,a403cf3a
20231221_campaignfinancedisclosures,aligned,PAULA SMITH,2023,Paula Smith,1.0,high,p09-p09,227,255,9e0a4bd4
2023_financialcampaigndisclosures,aligned,AROS MACKEY,2023,Aros Artimus Mackey,0.7833,high,p01-p03,4,58,421412d8
2023_financialcampaigndisclosures,aligned,MATTHEW L HEATON,2023,Matthew L Heaton,1.0,high,p03-p05,58,108,1f0d937b
2023_financialcampaigndisclosures,aligned,AUSTIN HODGES,2023,Austin Hodges,1.0,high,p05-p07,108,163,45e3280f
2023_financialcampaigndisclosures,aligned,KATHERYNE KNIGHT,2023,i C 1-,0.0,elimination,p07-p10,163,207,678c3ff6
2023_financialcampaigndisclosures,aligned,KIMBALL WILLARD,2023,Kimball Willard,1.0,high,p10-p12,207,262,7085b187
2023_financialcampaigndisclosures,aligned,GREG ALDRED,2023,Greg Aldred,1.0,high,p12-p13,262,300,010d4d74
2023_financialcampaigndisclosures,aligned,WENDI PRINCE BULKLEY,2023,Wendi Prince Bulkley,1.0,high,p13-p15,300,351,9162d7cc
2023_financialcampaigndisclosures,aligned,STEVEN G JENNINGS,2023,Steven Jennings,1.0,high,p15-p16,351,398,27aecf72
20250805_campaign_finance_reports,aligned,BRANNON R RAZO,2025,Brannon R Caw,0.5707,medium,p01-p02,3,31,85f1d674
20250805_campaign_finance_reports,aligned,MICHELE RANDALL,2025,Michele Randall,1.0,high,p02-p08,31,149,b345a77f
20250805_campaign_finance_reports,aligned,AROS MACKEY,2025,Aros Mack eu,0.4957,low,p08-p11,149,220,70f9e515
20250805_campaign_finance_reports,aligned,JIMMIE B HUGHES,2025,Jimmie B Hughes,1.0,high,p11-p14,220,280,cfdc2fbb
20250805_campaign_finance_reports,aligned,NATHAN CAPLIN,2025,Nathan Caplin,1.0,high,p14-p19,280,364,4449d38e
20250805_campaign_finance_reports,aligned,GREG ALDRED,2025,Greg Aldred,1.0,high,p19-p24,364,439,6ac4085f
20250805_campaign_finance_reports,aligned,JAMI LEAVITT,2025,Sees ee SOM Leavits paeia es ee,0.0814,elimination,p24-p30,439,671,87d27c6b
20250805_campaign_finance_reports,aligned,NATALIE LARSEN,2025,N 4 tale Laysen,0.2,elimination,p30-p33,671,750,07c0d5b0
20250805_campaign_finance_reports,aligned,SHANE LOSEE,2025,"IMA OVE ,",0.0556,elimination,p33-p36,750,804,12b7d8d3
20250805_campaign_finance_reports,aligned,MICHELLE TANNER,2025,SE eee re ot a Michelle Tannerss sce peor coun ee),0.166,elimination,p36-p42,804,926,aef804d3
20250805_campaign_finance_reports,aligned,BRYAN D. THIRIOT,2025,Byawn Ol eet of},0.125,elimination,p42-p44,926,974,a775e789
20250911_campaign_finance_reports,aligned,NATHAN CAPLIN,2025,Nathan Caplin,1.0,high,p01-p06,4,87,a7aec5cd
20250911_campaign_finance_reports,aligned,SHANE LOSEE,2025,Shane Losee,1.0,high,p06-p11,87,143,1b8f58a6
20250911_campaign_finance_reports,aligned,BRYAN D. THIRIOT,2025,Be Yan Oo Wass or,0.0833,elimination,p11-p15,143,204,a4b5cd6a
20251007_campaign_finance_disclosures,aligned,MICHELE RANDALL,2025,Michele Randall RECORDER'S OFFICE,0.538,medium,p01-p06,2,80,2f123943
20251007_campaign_finance_disclosures,aligned,JIMMIE B HUGHES,2025,Jimmie B Hughes,1.0,high,p06-p11,80,159,56e8fb1c
20251007_campaign_finance_disclosures,aligned,GREG ALDRED,2025,Greg Aldred,1.0,high,p11-p14,159,212,97214c0c
20251007_campaign_finance_disclosures,aligned,JAMI LEAVITT,2025,Jami Leavitt,1.0,high,p14-p18,212,348,b9742978
20251007_campaign_finance_disclosures,aligned,NATALIE LARSEN,2025,Natalie Larsen,1.0,high,p18-p23,348,436,93d0af60
20251007_campaign_finance_disclosures,aligned,MICHELLE TANNER,2025,—CMiheelle Tanner,0.6008,medium,p23-p28,436,500,8db385e8
20251028_campaign_finance_disclosures,aligned,MICHELE RANDALL,2025,Michele Randall,1.0,high,p01-p06,7,64,d07f30dd
20251028_campaign_finance_disclosures,aligned,JIMMIE B HUGHES,2025,Jimmie B Hughes,1.0,high,p06-p11,64,134,77005bc1
20251028_campaign_finance_disclosures,aligned,GREG ALDRED,2025,Greg Aldred,1.0,high,p11-p14,134,181,23957196
20251028_campaign_finance_disclosures,aligned,JAMI LEAVITT,2025,Jami Leavitt,1.0,high,p14-p18,181,252,b9f01709
20251028_campaign_finance_disclosures,aligned,NATALIE LARSEN,2025,Natalie Larsen,1.0,high,p18-p23,252,343,cefdaddb
20251028_campaign_finance_disclosures,aligned,MICHELLE TANNER,2025,,0.0,elimination,p23-p27,343,408,f99458ce
20251204_campaign_finance_disclosures,aligned,MICHELE RANDALL,2025,Michele Randall,1.0,high,p01-p04,5,52,ab1a77f0
20251204_campaign_finance_disclosures,aligned,JIMMIE B HUGHES,2025,Jimmie B Hughes,1.0,high,p04-p09,52,125,7a74fad7
20251204_campaign_finance_disclosures,aligned,GREG ALDRED,2025,Greg Aldred,1.0,high,p09-p12,125,166,07af83dd
20251204_campaign_finance_disclosures,aligned,JAMI LEAVITT,2025,Jami Leavitt,1.0,high,p12-p16,166,230,b8fac0a6
20251204_campaign_finance_disclosures,aligned,NATALIE LARSEN,2025,Natalie Larsen,1.0,high,p16-p21,230,285,696fd6cb
20251204_campaign_finance_disclosures,aligned,MICHELLE TANNER,2025,CMichelleTanner,0.2333,elimination,p21-p26,285,400,e595a207
wb20210803_campaignfinancialreports,aligned,WOODY WOODBURY,2021,Grant Woodbury,0.5179,medium,p01-p04,3,73,4d786b78
wb20210803_campaignfinancialreports,aligned,MICHELE RANDALL,2021,Michele Randall,1.0,high,p04-p07,73,141,e761035f
wb20210803_campaignfinancialreports,aligned,JIMMIE B. HUGHES,2021,Jimmie B Hughes,1.0,high,p07-p09,141,185,b67a83ff
wb20210803_campaignfinancialreports,aligned,BRETT TOLLY,2021,( o ; v,0.0,elimination,p09-p11,185,228,cb0a6cab
wb20210803_campaignfinancialreports,aligned,M. RICK ERICKSON,2021,M Rick Erickson,1.0,high,p11-p14,228,317,5043e322
wb20210803_campaignfinancialreports,aligned,RONALD WOODBURY,2021,Ronald Woodbury,1.0,high,p14-p17,317,399,7aacdbbf
wb20210803_campaignfinancialreports,aligned,KENT L. WINDER,2021,KEX Zz M W DER,0.0714,elimination,p17-p20,399,472,daa4dfec
wb20210803_campaignfinancialreports,aligned,TORI BUSH,2021,Victoria Bush,0.5795,medium,p20-p23,472,515,9fe5a4bd
wb20210803_campaignfinancialreports,aligned,KATHERYNE NOVICK,2021,Kathecyne Novick,0.6094,medium,p23-p25,515,542,8028448f
wb20210803_campaignfinancialreports,aligned,GREG ALDRED,2021,Greg Aldred,1.0,high,p25-p27,542,628,8fd8acd5
wb20210803_campaignfinancialreports,aligned,BRYAN S SMETHURST,2021,Bryan Samuel Smethurst,0.8027,high,p27-p29,628,708,317208f3
wb20210803_campaignfinancialreports,aligned,VARDELL H CURTIS,2021,Vardell H Curtis,1.0,high,p29-p34,708,792,324983bd
wb20210803_campaignfinancialreports,aligned,CAROLYN MCDONALD,2021,Carolyn McDonald,1.0,high,p34-p37,792,859,19d51250
wb20210803_campaignfinancialreports,aligned,NATALIE LARSEN,2021,Natalie Larsen,1.0,high,p37-p40,859,918,1047eee6
wb20210803_campaignfinancialreports,aligned,MICHELLE TANNER,2021,Michelle Tanner,1.0,high,p40-p42,918,985,c0d8b7bd
wb20210909_campaignfinancialreports,aligned,WOODY WOODBURY,2021,Grant Woodbury,0.5179,medium,p01-p04,6,87,4a8bc9a8
wb20210909_campaignfinancialreports,aligned,KENT L. WINDER,2021,", Vo Hh",0.0312,elimination,p04-p06,87,128,622d9a91
wb20210909_campaignfinancialreports,aligned,M. RICK ERICKSON,2021,M Rick Erickson,1.0,high,p06-p09,128,185,8e7baa32
wb20210909_campaignfinancialreports,aligned,RONALD WOODBURY,2021,Ronald Woodbury,1.0,high,p09-p11,185,221,b0e09a40
wb20210909_campaignfinancialreports,aligned,BRETT TOLLY,2021,A EMT ZL LK DE RR,0.0962,elimination,p11-p13,221,255,92dad8f2
wb20210909_campaignfinancialreports,aligned,TORI BUSH,2021,Victoria Bush,0.5795,medium,p13-p16,255,286,ced9e74e
wb20210909_campaignfinancialreports,aligned,KATHERYNE NOVICK,2021,Katheryne Novick,1.0,high,p16-p19,286,318,fa767e35
wb20210909_campaignfinancialreports,aligned,BRYAN S SMETHURST,2021,Bryan Samuel Smethurst,0.8027,high,p19-p21,318,382,58538023
wb20210909_campaignfinancialreports,aligned,CAROLYN MCDONALD,2021,y Na oly AN Wade NALD 7,0.1,elimination,p21-p22,382,439,444707fd
wb20211026_campaignfinancialdisclosures,aligned,MICHELE RANDALL,2021,Michele Randall,1.0,high,p01-p04,5,65,8401cecd
wb20211026_campaignfinancialdisclosures,aligned,JIMMIE B. HUGHES,2021,Jimmie B Hughes,1.0,high,p04-p06,65,105,883ed61b
wb20211026_campaignfinancialdisclosures,aligned,GREG ALDRED,2021,Greg Aldred,1.0,high,p06-p08,105,150,dee3cf4d
wb20211026_campaignfinancialdisclosures,aligned,VARDELL H CURTIS,2021,Vardell H Curtis,1.0,high,p08-p10,150,221,ddbe8c8b
wb20211026_campaignfinancialdisclosures,aligned,NATALIE LARSEN,2021,Natalie Larsen,1.0,high,p10-p13,221,284,d17b76cc
wb20211026_campaignfinancialdisclosures,unaligned-section,,,Michelle Tanner,,,p13-p14,284,304,
wb20211026_campaignfinancialdisclosures,aligned,MICHELLE TANNER,2021,Michelle Tanner,1.0,high,p14-p17,304,365,5a97a630
wb20211202_campaignfinancialdisclosures,aligned,MICHELE RANDALL,2021,Michele Randall,1.0,high,p01-p03,5,37,bd083c30
wb20211202_campaignfinancialdisclosures,aligned,JIMMIE B. HUGHES,2021,Jimmie B Hughes,1.0,high,p03-p05,37,78,0fbbc391
wb20211202_campaignfinancialdisclosures,aligned,GREG ALDRED,2021,Greg Aldred,1.0,high,p05-p07,78,113,a5aabd93
wb20211202_campaignfinancialdisclosures,aligned,VARDELL H CURTIS,2021,Vardell H Curtis,1.0,high,p07-p12,113,337,002a1e13
wb20211202_campaignfinancialdisclosures,unaligned-section,,,Michelle Tanner,,,p12-p13,337,354,
wb20211202_campaignfinancialdisclosures,aligned,MICHELLE TANNER,2021,Michelle Tanner,1.0,high,p13-p15,354,390,ba053d22
