ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,pmn_notice_id,pmn_notice_url,adoption_date_source,case_no,linkage_note,minutes_source
2018-13,2018-03-14,2018-03-14,authorizing a text change the Land Development Code regarding Backyard Chickens in residential zones,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/herriman/ordinances/documents/1657572418_ORD_2018-13_Chickens.pdf,2026-07-13,scanned,tesseract OCR @300dpi (no text layer),raw/archive/2018-13.pdf,yes,,,,none,452945,https://www.utah.gov/pmn/sitemap/notice/452945.html,pmn-notice,,below the 2020 minutes/vote floor; PMN adoption notice + signed archive PDF both retained,
2018-14,2018-03-14,2018-03-14,an amendment to the Herriman City Cemetery Rules and Regulations,https://www.utah.gov/pmn/sitemap/notice/452947.html,2026-07-13,html,"html-strip (PMN Recorder adoption notice; summary only, not full ordinance text)",raw/pmn/notice_452947.html,no,,,,none,452947,https://www.utah.gov/pmn/sitemap/notice/452947.html,pmn-notice,,below the 2020 minutes/vote floor,
2018-15,2018-03-28,2018-03-28,amending Title 2 Chapters 1-6 of the Herriman City Code of Ordinance regarding Boards and Committees and adding a new chapter 7 creating a Trails Committee,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/herriman/ordinances/documents/1657572364_ORD_2018-15_Boards_Committees.pdf,2026-07-13,scanned,tesseract OCR @300dpi (no text layer),raw/archive/2018-15.pdf,no,,,,none,455237,https://www.utah.gov/pmn/sitemap/notice/455237.html,pmn-notice,,below the 2020 minutes/vote floor; PMN adoption notice + signed archive PDF both retained,
2018-18,2018-04-18,2018-04-18,"regulating, preventing, and banning the discharge of fireworks within certain areas of the City",https://www.utah.gov/pmn/sitemap/notice/459375.html,2026-07-13,html,"html-strip (PMN Recorder adoption notice; summary only, not full ordinance text)",raw/pmn/notice_459375.html,no,,,,none,459375,https://www.utah.gov/pmn/sitemap/notice/459375.html,pmn-notice,,below the 2020 minutes/vote floor,
2018-20,2018-05-09,2018-05-09,amending Title 10 of the Herriman City Code to regulate the appointment of Planning Commission members and the Appeals Authority,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/herriman/ordinances/documents/1657572310_ORD_2018-20_PCAppointments.pdf,2026-07-13,scanned,tesseract OCR @300dpi (no text layer),raw/archive/2018-20.pdf,yes,,,,none,464317,https://www.utah.gov/pmn/sitemap/notice/464317.html,pmn-notice,,below the 2020 minutes/vote floor; PMN adoption notice + signed archive PDF both retained,
2018-21,2018-05-09,2018-05-09,approving technical amendments to the Manager's and Mayor's duties,https://www.utah.gov/pmn/sitemap/notice/464319.html,2026-07-13,html,"html-strip (PMN Recorder adoption notice; summary only, not full ordinance text)",raw/pmn/notice_464319.html,no,,,,none,464319,https://www.utah.gov/pmn/sitemap/notice/464319.html,pmn-notice,,below the 2020 minutes/vote floor,
2018-22,2018-05-16,2018-05-16,approving a zoning map amendment from A-1 to A-.5 for certain property located at approximately 13705 South 7300 West,https://www.utah.gov/pmn/sitemap/notice/465277.html,2026-07-13,html,"html-strip (PMN Recorder adoption notice; summary only, not full ordinance text)",raw/pmn/notice_465277.html,yes,,,,none,465277,https://www.utah.gov/pmn/sitemap/notice/465277.html,pmn-notice,,below the 2020 minutes/vote floor,
2018-23,2018-06-20,2018-06-20,"adopting a final budget; make appropriations for the support of Herriman city for the fiscal year beginning July 1, 2018 and ending June 30, 2019; and related matters",https://www.utah.gov/pmn/sitemap/notice/472151.html,2026-07-13,html,"html-strip (PMN Recorder adoption notice; summary only, not full ordinance text)",raw/pmn/notice_472151.html,no,,,,none,472151,https://www.utah.gov/pmn/sitemap/notice/472151.html,pmn-notice,,below the 2020 minutes/vote floor,
2018-24,2018-07-11,2018-07-11,Declaring Vehicles as Surplus,https://www.utah.gov/pmn/sitemap/notice/475797.html,2026-07-13,html,"html-strip (PMN Recorder adoption notice; summary only, not full ordinance text)",raw/pmn/notice_475797.html,no,,,,none,475797,https://www.utah.gov/pmn/sitemap/notice/475797.html,pmn-notice,,below the 2020 minutes/vote floor,
2018-25,2018-07-11,2018-07-11,Granting an Electric Utility Franchise and General Utility Easement to Rocky Mountain Power,https://www.utah.gov/pmn/sitemap/notice/475795.html,2026-07-13,html,"html-strip (PMN Recorder adoption notice; summary only, not full ordinance text)",raw/pmn/notice_475795.html,no,,,,none,475795,https://www.utah.gov/pmn/sitemap/notice/475795.html,pmn-notice,,below the 2020 minutes/vote floor,
2018-26,2018-08-22,2018-08-22,"text change to the Land Development Code to amend Chapter 16, table of uses",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/herriman/ordinances/documents/1657572261_ORD_2018-26_TableofUses.pdf,2026-07-13,scanned,tesseract OCR @300dpi (no text layer),raw/archive/2018-26.pdf,yes,,,,none,482905,https://www.utah.gov/pmn/sitemap/notice/482905.html,pmn-notice,,below the 2020 minutes/vote floor; PMN adoption notice + signed archive PDF both retained,
2018-27,2018-08-22,2018-08-22,adding chapter 13 to title 7 regarding small wireless facilities deployment,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/herriman/ordinances/documents/1657572219_ORD_2018-27_SmallWirelessFacilitiesDeployment.pdf,2026-07-13,scanned,tesseract OCR @300dpi (no text layer),raw/archive/2018-27.pdf,no,,,,none,482907,https://www.utah.gov/pmn/sitemap/notice/482907.html,pmn-notice,,below the 2020 minutes/vote floor; PMN adoption notice + signed archive PDF both retained,
2018-28,2018-08-22,2018-08-22,adopting a new Herriman Flag,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/herriman/ordinances/documents/1657572165_ORD_2018-28_HerrimanFlag.pdf,2026-07-13,scanned,tesseract OCR @300dpi (no text layer),raw/archive/2018-28.pdf,no,,,,none,482909,https://www.utah.gov/pmn/sitemap/notice/482909.html,pmn-notice,,below the 2020 minutes/vote floor; PMN adoption notice + signed archive PDF both retained,
2018-29,2018-09-12,2018-09-12,"amending Title 6, Chapter 1 of the Herriman Code of Ordinances by adding sections regarding Interference with Control of Vehicle Prohibited, Reasonable and Proper Lookout Required, and Negligent Colli",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/herriman/ordinances/documents/1657572115_ORD_2018-29_NegligentCollision.pdf,2026-07-13,scanned,tesseract OCR @300dpi (no text layer),raw/archive/2018-29.pdf,no,,,,none,486503,https://www.utah.gov/pmn/sitemap/notice/486503.html,pmn-notice,,below the 2020 minutes/vote floor; PMN adoption notice + signed archive PDF both retained,
2018-30,2018-09-12,2018-09-12,adopting an amendment to the Herriman City General Plan known as the Herriman Hills Open Space Master Plan,https://www.utah.gov/pmn/sitemap/notice/486505.html,2026-07-13,html,"html-strip (PMN Recorder adoption notice; summary only, not full ordinance text)",raw/pmn/notice_486505.html,yes,,,,none,486505,https://www.utah.gov/pmn/sitemap/notice/486505.html,pmn-notice,,below the 2020 minutes/vote floor,
2018-31,2018-09-26,2018-09-26,"adopting a fee schedule for the Herriman City Police to provide case reports, fingerprint services, clearance letters and other miscellaneous services",https://www.utah.gov/pmn/sitemap/notice/489135.html,2026-07-13,html,"html-strip (PMN Recorder adoption notice; summary only, not full ordinance text)",raw/pmn/notice_489135.html,no,,,,none,489135,https://www.utah.gov/pmn/sitemap/notice/489135.html,pmn-notice,,below the 2020 minutes/vote floor,
2018-32,2018-10-10,2018-10-10,amending Title 2 of the Herriman Code of Ordinances Entitled Boards and Commissions,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/herriman/ordinances/documents/1657572026_ORD_2018-32_VeteransCommittee.pdf,2026-07-13,scanned,tesseract OCR @300dpi (no text layer),raw/archive/2018-32.pdf,no,,,,none,491991,https://www.utah.gov/pmn/sitemap/notice/491991.html,pmn-notice,,below the 2020 minutes/vote floor; PMN adoption notice + signed archive PDF both retained,
2018-33,2018-10-10,2018-10-10,protecting certain records of South Valley Sewer District,https://www.utah.gov/pmn/sitemap/notice/491993.html,2026-07-13,html,"html-strip (PMN Recorder adoption notice; summary only, not full ordinance text)",raw/pmn/notice_491993.html,no,,,,none,491993,https://www.utah.gov/pmn/sitemap/notice/491993.html,pmn-notice,,below the 2020 minutes/vote floor,
2018-34,2018-10-24,2018-10-24,"Declaring Approx. .0485 Acres of Real Property located at or near 4900 West 12600 South, as Surplus",https://www.utah.gov/pmn/sitemap/notice/494651.html,2026-07-13,html,"html-strip (PMN Recorder adoption notice; summary only, not full ordinance text)",raw/pmn/notice_494651.html,no,,,,none,494651,https://www.utah.gov/pmn/sitemap/notice/494651.html,pmn-notice,,below the 2020 minutes/vote floor,
2018-35,2018-10-24,2018-10-24,Annexing 38 acres of property located at or near 11800 South 7000 West into Herriman City,https://www.utah.gov/pmn/sitemap/notice/494649.html,2026-07-13,html,"html-strip (PMN Recorder adoption notice; summary only, not full ordinance text)",raw/pmn/notice_494649.html,yes,,,,none,494649,https://www.utah.gov/pmn/sitemap/notice/494649.html,pmn-notice,,below the 2020 minutes/vote floor,
2018-36,2018-11-14,2018-11-14,Home Occupation Regulations,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/herriman/ordinances/documents/1657571963_ORD_2018-36_HomeOccupationRegulations.pdf,2026-07-13,scanned,tesseract OCR @300dpi (no text layer),raw/archive/2018-36.pdf,yes,,,,none,,,pdf-clause,,below the 2020 minutes/vote floor,
2018-37,2018-11-14,2018-11-14,Alcohol Licensing,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/herriman/ordinances/documents/1657571882_ORD_2018-37_AlcoholLicensing.pdf,2026-07-13,scanned,tesseract OCR @300dpi (no text layer),raw/archive/2018-37.pdf,no,,,,none,,,"pdf-recital (WHEREAS: City Council public meeting on November 14, 2018)",,no adoption date recovered; unmatched,
2018-38,2018-11-14,2018-11-14,Alcoholic Beverages Licenses,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/herriman/ordinances/documents/1657571784_ORD_2018-38_AlcoholicBeveragesLicenses.pdf,2026-07-13,scanned,tesseract OCR @300dpi (no text layer),raw/archive/2018-38.pdf,no,,,,none,,,"pdf-recital (WHEREAS: met in regular session on November 14, 2018)",,no adoption date recovered; unmatched,
2018-40,2018-12-12,2018-12-12,authorizing a text change to the Land Development Code to Amend Signature Blocks on Final Subdivision Plats,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/herriman/ordinances/documents/1657571698_ORD_2018-40_SignatureBlock.pdf,2026-07-13,scanned,tesseract OCR @300dpi (no text layer),raw/archive/2018-40.pdf,yes,,,,none,504135,https://www.utah.gov/pmn/sitemap/notice/504135.html,pmn-notice,,below the 2020 minutes/vote floor; PMN adoption notice + signed archive PDF both retained,
2018-41,2018-12-12,2018-12-12,authorizing a Text Change to the Land Development Code to establish Auto Mall Special District Regulations,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/herriman/ordinances/documents/1657571627_ORD_2018-41_AutoMallSpecialDistrict.pdf,2026-07-13,scanned,tesseract OCR @300dpi (no text layer),raw/archive/2018-41.pdf,yes,,,,none,504143,https://www.utah.gov/pmn/sitemap/notice/504143.html,pmn-notice,,below the 2020 minutes/vote floor; PMN adoption notice + signed archive PDF both retained,
2018-42,2018-12-12,2018-12-12,authorizing a Zoning Map Amendment to rezone property located at or near 4874 West 12600 South from A-1 and R-2 to AMDS and C-2,https://www.utah.gov/pmn/sitemap/notice/504123.html,2026-07-13,html,"html-strip (PMN Recorder adoption notice; summary only, not full ordinance text)",raw/pmn/notice_504123.html,yes,,,,none,504123,https://www.utah.gov/pmn/sitemap/notice/504123.html,pmn-notice,,below the 2020 minutes/vote floor,
2018-43,2018-12-12,2018-12-12,changing the Salary and Benefits of the Mayor and City Council Members,https://www.utah.gov/pmn/sitemap/notice/504137.html,2026-07-13,html,"html-strip (PMN Recorder adoption notice; summary only, not full ordinance text)",raw/pmn/notice_504137.html,no,,,,none,504137,https://www.utah.gov/pmn/sitemap/notice/504137.html,pmn-notice,,below the 2020 minutes/vote floor,
2018-44,2018-12-12,2018-12-12,authorizing a Text Change to the Land Development Code to allow Manufacturing in the T-M Zone and Modify the Landscaping Requirements for the T-M Zone,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/herriman/ordinances/documents/1657571225_ORD_2018-44_T-MZoneAmendment.pdf,2026-07-13,scanned,tesseract OCR @300dpi (no text layer),raw/archive/2018-44.pdf,yes,,,,none,504117,https://www.utah.gov/pmn/sitemap/notice/504117.html,pmn-notice,,below the 2020 minutes/vote floor; PMN adoption notice + signed archive PDF both retained,
2018-45,2018-12-12,2018-12-12,"declaring 15.496 acres of real property located at or near 12600 South 5452 West, as Surplus, and to establish a method to determine the highest and best economic return to the City shall be by compet",https://www.utah.gov/pmn/sitemap/notice/504131.html,2026-07-13,html,"html-strip (PMN Recorder adoption notice; summary only, not full ordinance text)",raw/pmn/notice_504131.html,no,,,,none,504131,https://www.utah.gov/pmn/sitemap/notice/504131.html,pmn-notice,,below the 2020 minutes/vote floor,
2018-46,2018-12-12,2018-12-12,"declaring 1.243 acres of real property located at or near 11962 South Anthem Park Blvd. - Corner Parcel, as Surplus, and to establish a method to determine the highest and best economic return to the ",https://www.utah.gov/pmn/sitemap/notice/504141.html,2026-07-13,html,"html-strip (PMN Recorder adoption notice; summary only, not full ordinance text)",raw/pmn/notice_504141.html,no,,,,none,504141,https://www.utah.gov/pmn/sitemap/notice/504141.html,pmn-notice,,below the 2020 minutes/vote floor,
2018-47,2018-12-12,2018-12-12,"declaring 1.243 acres of real property located at or near 11962 South Anthem Park Blvd. - Interior Parcel, as Surplus, and to establish a method to determine the highest and best economic return to th",https://www.utah.gov/pmn/sitemap/notice/504119.html,2026-07-13,html,"html-strip (PMN Recorder adoption notice; summary only, not full ordinance text)",raw/pmn/notice_504119.html,no,,,,none,504119,https://www.utah.gov/pmn/sitemap/notice/504119.html,pmn-notice,,below the 2020 minutes/vote floor,
2019-01,2019-01-23,2019-01-23,adjusting City Council Districts due to an annexation,https://www.utah.gov/pmn/sitemap/notice/511573.html,2026-07-13,html,"html-strip (PMN Recorder adoption notice; summary only, not full ordinance text)",raw/pmn/notice_511573.html,yes,,,,none,511573,https://www.utah.gov/pmn/sitemap/notice/511573.html,pmn-notice,,below the 2020 minutes/vote floor,
2019-02,2019-02-27,2019-02-27,repealing,https://www.utah.gov/pmn/sitemap/notice/518393.html,2026-07-13,html,"html-strip (PMN Recorder adoption notice; summary only, not full ordinance text)",raw/pmn/notice_518393.html,no,,,,none,518393,https://www.utah.gov/pmn/sitemap/notice/518393.html,pmn-notice,,below the 2020 minutes/vote floor,
2019-03,2019-02-27,2019-02-27,"declaring approximately 88 acres of Mountain View Corridor, North 12600 South Street, East of the future alignment of Herriman Main Street, and South of Midas Creek Drainage in Herriman, Salt Lake Cou",https://www.utah.gov/pmn/sitemap/notice/518395.html,2026-07-13,html,"html-strip (PMN Recorder adoption notice; summary only, not full ordinance text)",raw/pmn/notice_518395.html,no,,,,none,518395,https://www.utah.gov/pmn/sitemap/notice/518395.html,pmn-notice,,below the 2020 minutes/vote floor,
2019-04,2019-02-27,2019-02-27,"adopting a restructured fee schedule for the Herriman City Police to provide case reports, fingerprint services, clearance letters and other miscellaneous services to include a fee specific to a state",https://www.utah.gov/pmn/sitemap/notice/518397.html,2026-07-13,html,"html-strip (PMN Recorder adoption notice; summary only, not full ordinance text)",raw/pmn/notice_518397.html,no,,,,none,518397,https://www.utah.gov/pmn/sitemap/notice/518397.html,pmn-notice,,below the 2020 minutes/vote floor,
2019-05,2019-03-13,2019-03-13,authorizing a text change to the Land Development Code to amend the definition of Outdoor Recreation and Entertainment,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/herriman/ordinances/documents/1657562773_ORD%202019-05_OutdoorRecreationDefinitions.pdf,2026-07-13,scanned,tesseract OCR @300dpi (no text layer),raw/archive/2019-05.pdf,yes,,,,none,521483,https://www.utah.gov/pmn/sitemap/notice/521483.html,pmn-notice,,below the 2020 minutes/vote floor; PMN adoption notice + signed archive PDF both retained,
2019-06,2019-03-13,2019-03-13,approving a Zoning Map Amendment to rezone property located at or near 4950 West 12600 South from A-1 to C-2 and AMSD,https://www.utah.gov/pmn/sitemap/notice/521485.html,2026-07-13,html,"html-strip (PMN Recorder adoption notice; summary only, not full ordinance text)",raw/pmn/notice_521485.html,yes,,,,none,521485,https://www.utah.gov/pmn/sitemap/notice/521485.html,pmn-notice,,below the 2020 minutes/vote floor,
2019-07,2019-04-10,2019-04-10,"approving and appropriating a monetary contribution to Ace Hardware not to exceed the amount of $20,000 payable over four years not to exceed $5,000 in any one year",https://www.utah.gov/pmn/sitemap/notice/527813.html,2026-07-13,html,"html-strip (PMN Recorder adoption notice; summary only, not full ordinance text)",raw/pmn/notice_527813.html,no,,,,none,527813,https://www.utah.gov/pmn/sitemap/notice/527813.html,pmn-notice,,below the 2020 minutes/vote floor,
2019-08,2019-04-10,2019-04-10,approving a zoning map amendment to rezone property from A-1 Agricultural to AMSD Auto Mall Special District and C-2 Commercial,https://www.utah.gov/pmn/sitemap/notice/527815.html,2026-07-13,html,"html-strip (PMN Recorder adoption notice; summary only, not full ordinance text)",raw/pmn/notice_527815.html,yes,,,,none,527815,https://www.utah.gov/pmn/sitemap/notice/527815.html,pmn-notice,,below the 2020 minutes/vote floor,
2019-09,2019-05-08,2019-05-08,"regulating, preventing, and banning the discharge of fireworks within certain areas of the City",https://www.utah.gov/pmn/sitemap/notice/533303.html,2026-07-13,html,"html-strip (PMN Recorder adoption notice; summary only, not full ordinance text)",raw/pmn/notice_533303.html,no,,,,none,533303,https://www.utah.gov/pmn/sitemap/notice/533303.html,pmn-notice,,below the 2020 minutes/vote floor,
2019-10,2019-05-22,2019-05-22,"('Ordinance') adopted, designated and approved the Herriman North Community Reinvestment Project Area Plan (the 'Project Area Plan') dated April 2019, as the official project area plan for the Herrima",https://www.utah.gov/pmn/sitemap/notice/540397.html,2026-07-13,html,"html-strip (PMN Recorder adoption notice; summary only, not full ordinance text)",raw/pmn/notice_540397.html,no,,,,none,540397,https://www.utah.gov/pmn/sitemap/notice/540397.html,pmn-notice,,below the 2020 minutes/vote floor,
2019-12,2019-05-22,2019-05-22,Tobacco Specialty,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/herriman/ordinances/documents/1657562732_ORD%202019-12_TobaccoSpecialty.pdf,2026-07-13,scanned,tesseract OCR @300dpi (no text layer),raw/archive/2019-12.pdf,yes,,,,none,,,pdf-clause,,below the 2020 minutes/vote floor,
