date,year,title,slug,body,path,source,source_url,notice_url,pmn_body_id,pmn_file_id,retrieved_date,format,extraction_method,recovery_source
2023-03-16,2023,PlanningCommission WM Meeting 2023-03-16,2023-03-16_pc_WM,PlanningCommission,raw/2023/2023-03-16_pc_WM_03162023-137.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/Minutes/_03162023-137,,,,2026-07-13,text,pdftotext -layout,agendacenter_minutes
2023-04-12,2023,Council RC Meeting 2023-04-12,2023-04-12_council_RC,Council,raw/2023/2023-04-12_council_RC_04122023-89.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_04122023-89,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2023-04-26,2023,Council WM Meeting 2023-04-26,2023-04-26_council_WM,Council,raw/2023/2023-04-26_council_WM_04262023-108.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_04262023-108,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2023-05-10,2023,Council WM Meeting 2023-05-10,2023-05-10_council_WM,Council,raw/2023/2023-05-10_council_WM_05102023-114.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_05102023-114,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2023-05-10,2023,RDA RC Meeting 2023-05-10,2023-05-10_rda_RC,RDA,raw/2023/2023-05-10_rda_RC_05102023-112.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_05102023-112,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2023-05-24,2023,Council WM Meeting 2023-05-24,2023-05-24_council_WM,Council,raw/2023/2023-05-24_council_WM_05242023-137.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_05242023-137,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2023-05-24,2023,RDA RC Meeting 2023-05-24,2023-05-24_rda_RC,RDA,raw/2023/2023-05-24_rda_RC_05242023-129.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_05242023-129,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2023-06-01,2023,PlanningCommission WM Meeting 2023-06-01,2023-06-01_pc_WM,PlanningCommission,raw/2023/2023-06-01_pc_WM_06012023-161.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/Minutes/_06012023-161,,,,2026-07-13,text,pdftotext -layout,agendacenter_minutes
2023-06-07,2023,Council RC Meeting 2023-06-07,2023-06-07_council_RC,Council,raw/2023/2023-06-07_council_RC_06072023-140.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_06072023-140,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2023-06-14,2023,Council RC Meeting 2023-06-14,2023-06-14_council_RC,Council,raw/2023/2023-06-14_council_RC_06142023-141.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_06142023-141,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2023-06-14,2023,RDA RC Meeting 2023-06-14,2023-06-14_rda_RC,RDA,raw/2023/2023-06-14_rda_RC_06142023-194.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_06142023-194,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2023-07-12,2023,Council WM Meeting 2023-07-12,2023-07-12_council_WM,Council,raw/2023/2023-07-12_council_WM_07122023-161.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_07122023-161,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2023-07-26,2023,Council RC Meeting 2023-07-26,2023-07-26_council_RC,Council,raw/2023/2023-07-26_council_RC_07262023-163.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_07262023-163,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2023-07-26,2023,Council WM Meeting 2023-07-26,2023-07-26_council_WM,Council,raw/2023/2023-07-26_council_WM_07262023-173.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/Minutes/_07262023-173,,,,2026-07-13,text,pdftotext -layout,agendacenter_minutes
2023-08-17,2023,PlanningCommission PC Meeting 2023-08-17,2023-08-17_pc_PC,PlanningCommission,raw/2023/2023-08-17_pc_PC_08172023-167.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_08172023-167,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2023-08-23,2023,Council WM Meeting 2023-08-23,2023-08-23_council_WM,Council,raw/2023/2023-08-23_council_WM_08232023-169.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_08232023-169,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2023-08-31,2023,PlanningCommission PC Meeting 2023-08-31,2023-08-31_pc_PC,PlanningCommission,raw/2023/2023-08-31_pc_PC_08312023-171.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_08312023-171,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2023-09-13,2023,Council WM Meeting 2023-09-13,2023-09-13_council_WM,Council,raw/2023/2023-09-13_council_WM_09132023-176.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_09132023-176,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2023-09-21,2023,PlanningCommission WM Meeting 2023-09-21,2023-09-21_pc_WM,PlanningCommission,raw/2023/2023-09-21_pc_WM_09212023-185.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_09212023-185,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2023-09-27,2023,Council WM Meeting 2023-09-27,2023-09-27_council_WM,Council,raw/2023/2023-09-27_council_WM_09272023-186.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_09272023-186,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2023-10-11,2023,Council RC Meeting 2023-10-11,2023-10-11_council_RC,Council,raw/2023/2023-10-11_council_RC_10112023-209.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_10112023-209,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2023-10-25,2023,Council RC Meeting 2023-10-25,2023-10-25_council_RC,Council,raw/2023/2023-10-25_council_RC_10252023-222.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_10252023-222,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2023-10-25,2023,RDA RC Meeting 2023-10-25,2023-10-25_rda_RC,RDA,raw/2023/2023-10-25_rda_RC_10252023-210.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_10252023-210,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2023-11-15,2023,Council WM Meeting 2023-11-15,2023-11-15_council_WM,Council,raw/2023/2023-11-15_council_WM_11152023-224.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_11152023-224,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2023-11-15,2023,RDA RC Meeting 2023-11-15,2023-11-15_rda_RC,RDA,raw/2023/2023-11-15_rda_RC_11152023-225.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_11152023-225,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2023-12-13,2023,Council RC Meeting 2023-12-13,2023-12-13_council_RC,Council,raw/2023/2023-12-13_council_RC_12132023-233.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_12132023-233,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2023-12-13,2023,RDA RC Meeting 2023-12-13,2023-12-13_rda_RC,RDA,raw/2023/2023-12-13_rda_RC_12132023-231.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_12132023-231,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2024-01-10,2024,Council RC Meeting 2024-01-10,2024-01-10_council_RC,Council,raw/2024/2024-01-10_council_RC_01102024-242.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_01102024-242,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2024-01-10,2024,Council WM Meeting 2024-01-10,2024-01-10_council_WM,Council,raw/2024/2024-01-10_council_WM_01102024-240.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_01102024-240,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2024-01-10,2024,RDA RC Meeting 2024-01-10,2024-01-10_rda_RC,RDA,raw/2024/2024-01-10_rda_RC_01102024-239.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_01102024-239,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2024-01-24,2024,Council RC Meeting 2024-01-24,2024-01-24_council_RC,Council,raw/2024/2024-01-24_council_RC_01242024-261.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_01242024-261,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2024-01-24,2024,RDA RC Meeting 2024-01-24,2024-01-24_rda_RC,RDA,raw/2024/2024-01-24_rda_RC_01242024-282.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_01242024-282,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2024-02-07,2024,Council RC Meeting 2024-02-07,2024-02-07_council_RC,Council,raw/2024/2024-02-07_council_RC_02072024-279.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_02072024-279,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2024-02-07,2024,Council WM Meeting 2024-02-07,2024-02-07_council_WM,Council,raw/2024/2024-02-07_council_WM_02072024-280.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_02072024-280,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2024-02-21,2024,Council SM Meeting 2024-02-21,2024-02-21_council_SM,Council,raw/2024/2024-02-21_council_SM_02212024-281.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_02212024-281,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2024-02-28,2024,Council RC Meeting 2024-02-28,2024-02-28_council_RC,Council,raw/2024/2024-02-28_council_RC_02282024-293.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_02282024-293,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2024-02-28,2024,Council WM Meeting 2024-02-28,2024-02-28_council_WM,Council,raw/2024/2024-02-28_council_WM_02282024-292.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_02282024-292,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2024-02-28,2024,RDA RC Meeting 2024-02-28,2024-02-28_rda_RC,RDA,raw/2024/2024-02-28_rda_RC_02282024-291.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_02282024-291,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2024-03-06,2024,Council SM Meeting 2024-03-06,2024-03-06_council_SM,Council,raw/2024/2024-03-06_council_SM_03062024-300.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_03062024-300,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2024-03-13,2024,Council WM Meeting 2024-03-13,2024-03-13_council_WM,Council,raw/2024/2024-03-13_council_WM_03132024-304.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_03132024-304,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2024-03-13,2024,RDA RC Meeting 2024-03-13,2024-03-13_rda_RC,RDA,raw/2024/2024-03-13_rda_RC_03132024-301.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_03132024-301,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2024-03-27,2024,Council WM Meeting 2024-03-27,2024-03-27_council_WM,Council,raw/2024/2024-03-27_council_WM_03272024-316.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_03272024-316,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2024-03-27,2024,RDA RC Meeting 2024-03-27,2024-03-27_rda_RC,RDA,raw/2024/2024-03-27_rda_RC_03272024-318.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_03272024-318,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2024-04-10,2024,Council RC Meeting 2024-04-10,2024-04-10_council_RC,Council,raw/2024/2024-04-10_council_RC_04102024-333.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_04102024-333,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2024-04-24,2024,Council WM Meeting 2024-04-24,2024-04-24_council_WM,Council,raw/2024/2024-04-24_council_WM_04242024-335.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_04242024-335,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2024-04-24,2024,RDA RC Meeting 2024-04-24,2024-04-24_rda_RC,RDA,raw/2024/2024-04-24_rda_RC_04242024-331.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_04242024-331,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2024-05-08,2024,Council WM Meeting 2024-05-08,2024-05-08_council_WM,Council,raw/2024/2024-05-08_council_WM_05082024-343.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_05082024-343,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2024-05-08,2024,RDA RC Meeting 2024-05-08,2024-05-08_rda_RC,RDA,raw/2024/2024-05-08_rda_RC_05082024-354.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_05082024-354,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2024-05-16,2024,PlanningCommission WM Meeting 2024-05-16,2024-05-16_pc_WM,PlanningCommission,raw/2024/2024-05-16_pc_WM_05162024-261.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/Minutes/_05162024-261,,,,2026-07-13,text,pdftotext -layout,agendacenter_minutes
2024-05-22,2024,Council RC Meeting 2024-05-22,2024-05-22_council_RC,Council,raw/2024/2024-05-22_council_RC_05222024-357.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_05222024-357,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2024-05-22,2024,RDA RC Meeting 2024-05-22,2024-05-22_rda_RC,RDA,raw/2024/2024-05-22_rda_RC_05222024-355.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_05222024-355,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2024-06-05,2024,Council WM Meeting 2024-06-05,2024-06-05_council_WM,Council,raw/2024/2024-06-05_council_WM_06052024-380.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_06052024-380,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2024-06-05,2024,RDA RC Meeting 2024-06-05,2024-06-05_rda_RC,RDA,raw/2024/2024-06-05_rda_RC_06052024-386.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_06052024-386,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2024-06-12,2024,Council RC Meeting 2024-06-12,2024-06-12_council_RC,Council,raw/2024/2024-06-12_council_RC_06122024-382.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_06122024-382,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2024-07-10,2024,Council RC Meeting 2024-07-10,2024-07-10_council_RC,Council,raw/2024/2024-07-10_council_RC_07102024-388.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_07102024-388,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2024-07-10,2024,Council WM Meeting 2024-07-10,2024-07-10_council_WM,Council,raw/2024/2024-07-10_council_WM_07102024-280.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/Minutes/_07102024-280,,,,2026-07-13,text,pdftotext -layout,agendacenter_minutes
2024-07-11,2024,PlanningCommission WM Meeting 2024-07-11,2024-07-11_pc_WM,PlanningCommission,raw/2024/2024-07-11_pc_WM_07112024-278.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/Minutes/_07112024-278,,,,2026-07-13,text,pdftotext -layout,agendacenter_minutes
2024-07-31,2024,Council WM Meeting 2024-07-31,2024-07-31_council_WM,Council,raw/2024/2024-07-31_council_WM_07312024-390.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_07312024-390,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2024-08-07,2024,Council RC Meeting 2024-08-07,2024-08-07_council_RC,Council,raw/2024/2024-08-07_council_RC_08072024-406.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_08072024-406,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2024-08-28,2024,Council WM Meeting 2024-08-28,2024-08-28_council_WM,Council,raw/2024/2024-08-28_council_WM_08282024-411.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_08282024-411,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2024-08-28,2024,RDA RC Meeting 2024-08-28,2024-08-28_rda_RC,RDA,raw/2024/2024-08-28_rda_RC_08282024-414.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_08282024-414,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2024-09-25,2024,Council SM Meeting 2024-09-25,2024-09-25_council_SM,Council,raw/2024/2024-09-25_council_SM_09252024-417.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_09252024-417,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2024-10-09,2024,Council WM Meeting 2024-10-09,2024-10-09_council_WM,Council,raw/2024/2024-10-09_council_WM_10092024-423.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_10092024-423,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2024-10-23,2024,Council WM Meeting 2024-10-23,2024-10-23_council_WM,Council,raw/2024/2024-10-23_council_WM_10232024-426.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_10232024-426,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2024-10-23,2024,RDA RC Meeting 2024-10-23,2024-10-23_rda_RC,RDA,raw/2024/2024-10-23_rda_RC_10232024-438.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_10232024-438,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2024-11-13,2024,Council WM Meeting 2024-11-13,2024-11-13_council_WM,Council,raw/2024/2024-11-13_council_WM_11132024-440.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_11132024-440,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2024-12-11,2024,Council WM Meeting 2024-12-11,2024-12-11_council_WM,Council,raw/2024/2024-12-11_council_WM_12112024-448.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_12112024-448,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2024-12-11,2024,RDA RC Meeting 2024-12-11,2024-12-11_rda_RC,RDA,raw/2024/2024-12-11_rda_RC_12112024-444.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_12112024-444,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2025-01-08,2025,Council RC Meeting 2025-01-08,2025-01-08_council_RC,Council,raw/2025/2025-01-08_council_RC_01082025-458.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_01082025-458,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2025-01-08,2025,RDA RC Meeting 2025-01-08,2025-01-08_rda_RC,RDA,raw/2025/2025-01-08_rda_RC_01082025-456.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_01082025-456,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2025-01-22,2025,Council WM Meeting 2025-01-22,2025-01-22_council_WM,Council,raw/2025/2025-01-22_council_WM_01222025-460.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_01222025-460,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2025-02-12,2025,RDA RC Meeting 2025-02-12,2025-02-12_rda_RC,RDA,raw/2025/2025-02-12_rda_RC_02122025-465.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_02122025-465,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2025-02-26,2025,Council RC Meeting 2025-02-26,2025-02-26_council_RC,Council,raw/2025/2025-02-26_council_RC_02262025-474.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_02262025-474,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2025-03-12,2025,Council WM Meeting 2025-03-12,2025-03-12_council_WM,Council,raw/2025/2025-03-12_council_WM_03122025-482.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_03122025-482,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2025-03-26,2025,Council WM Meeting 2025-03-26,2025-03-26_council_WM,Council,raw/2025/2025-03-26_council_WM_03262025-499.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_03262025-499,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2025-04-02,2025,Council RC Meeting 2025-04-02,2025-04-02_council_RC,Council,raw/2025/2025-04-02_council_RC_04022025-509.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_04022025-509,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2025-04-23,2025,Council RC Meeting 2025-04-23,2025-04-23_council_RC,Council,raw/2025/2025-04-23_council_RC_04232025-530.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_04232025-530,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2025-05-14,2025,Council RC Meeting 2025-05-14,2025-05-14_council_RC,Council,raw/2025/2025-05-14_council_RC_05142025-532.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_05142025-532,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
