date,candidate,office,election_year,filing_type,reporting_period,title,source_url,retrieved_date,format,extraction_method,path,source,district,filer_type,in_election_results,date_precision
2023-11-10,Chad Lamb,Council,2023,interim,,General Election Report,https://ecf-api.easyvoteapp.com/documents/5B964782-6DE0-4470-BC0D-20695AC94265/viewfinalredactedpdf,2026-07-03,text,pdftotext -layout,raw/easyvote/2023_Lamb_General-Election-Report_5B964782.pdf,easyvote,1,Current Elected Official,yes,day
2023-12-07,Chad Lamb,Council,2023,summary,,Post General Election Report,https://ecf-api.easyvoteapp.com/documents/AC031176-A1DD-486F-BE30-319FB617086F/viewfinalredactedpdf,2026-07-03,text,pdftotext -layout,raw/easyvote/2023_Lamb_Post-General-Election-Report_AC031176.pdf,easyvote,1,Current Elected Official,yes,day
2023-08-29,David Pack,Council,2023,interim,,Primary Election Report,https://ecf-api.easyvoteapp.com/documents/1B35F27C-8BF1-4550-841F-CC6BA94A53ED/viewfinalredactedpdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/easyvote/2023_Pack_Primary-Election-Report_1B35F27C.pdf,easyvote,4,Unsuccessful Candidate,yes,day
2023-10-19,David Pack,Council,2023,interim,,28 Day Report,https://ecf-api.easyvoteapp.com/documents/2AB3D004-F653-4960-B2D9-561D0BD0816C/viewfinalredactedpdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/easyvote/2023_Pack_28-Day-Report_2AB3D004.pdf,easyvote,4,Unsuccessful Candidate,yes,day
2023-11-14,David Pack,Council,2023,interim,,General Election Report,https://ecf-api.easyvoteapp.com/documents/8B3AE44B-A143-4A17-BA4F-DAFE42050840/viewfinalredactedpdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/easyvote/2023_Pack_General-Election-Report_8B3AE44B.pdf,easyvote,4,Unsuccessful Candidate,yes,day
2023-12-21,David Pack,Council,2023,summary,,Post-General Election Report,https://ecf-api.easyvoteapp.com/documents/C9E4033F-0636-453D-9491-1A4D76BC0A7F/viewfinalredactedpdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/easyvote/2023_Pack_Post-General-Election-Report_C9E4033F.pdf,easyvote,4,Unsuccessful Candidate,yes,day
2023-10-24,Dirk Burton,Mayor,2023,interim,,28 - Day Report,https://ecf-api.easyvoteapp.com/documents/D7E669F5-F0BC-4DE3-BD59-7613846FF8F6/viewfinalredactedpdf,2026-07-03,text,pdftotext -layout,raw/easyvote/2023_Burton_28-Day-Report_D7E669F5.pdf,easyvote,,Current Elected Official,yes,day
2023-11-14,Dirk Burton,Mayor,2023,interim,,General Election Report,https://ecf-api.easyvoteapp.com/documents/88C349F9-11F7-4CBB-8890-281DF94400A9/viewfinalredactedpdf,2026-07-03,text,pdftotext -layout,raw/easyvote/2023_Burton_General-Election-Report_88C349F9.pdf,easyvote,,Current Elected Official,yes,day
2023-11-22,Dirk Burton,Mayor,2023,interim,,28 -Day Report Amended,https://ecf-api.easyvoteapp.com/documents/F2687041-FA25-458A-A638-B6C8B08B4272/viewfinalredactedpdf,2026-07-03,text,pdftotext -layout,raw/easyvote/2023_Burton_28-Day-Report-Amended_F2687041.pdf,easyvote,,Current Elected Official,yes,day
2023-12-21,Dirk Burton,Mayor,2023,summary,,Post General Election Report,https://ecf-api.easyvoteapp.com/documents/10320DD3-4EA0-47B8-A9CD-618E24C1DF6A/viewfinalredactedpdf,2026-07-03,text,pdftotext -layout,raw/easyvote/2023_Burton_Post-General-Election-Report_10320DD3.pdf,easyvote,,Current Elected Official,yes,day
2023-10-23,Kayleen Whitelock,Mayor,2023,interim,,28 Day Report,https://ecf-api.easyvoteapp.com/documents/E60D21EE-5FB4-4301-8924-1093B1A3041A/viewfinalredactedpdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/easyvote/2023_Whitelock_28-Day-Report_E60D21EE.pdf,easyvote,,Current Elected Official,yes,day
2023-11-14,Kayleen Whitelock,Mayor,2023,interim,,General Election Report,https://ecf-api.easyvoteapp.com/documents/CF7E7AC0-8662-4393-B491-02F7DA8F2EF0/viewfinalredactedpdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/easyvote/2023_Whitelock_General-Election-Report_CF7E7AC0.pdf,easyvote,,Current Elected Official,yes,day
2023-12-13,Kayleen Whitelock,Mayor,2023,summary,,Post General Election Report,https://ecf-api.easyvoteapp.com/documents/6C3EFE8F-EDDE-4A0B-ABD5-CF4F3CFF4F27/viewfinalredactedpdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/easyvote/2023_Whitelock_Post-General-Election-Report_6C3EFE8F.pdf,easyvote,,Current Elected Official,yes,day
2023-12-21,Kayleen Whitelock,Mayor,2023,summary,,Post General Election Report,https://ecf-api.easyvoteapp.com/documents/BC379935-B1E3-412F-AB12-B280C2F6D503/viewfinalredactedpdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/easyvote/2023_Whitelock_Post-General-Election-Report_BC379935.pdf,easyvote,,Current Elected Official,yes,day
2023-08-28,Kent Shelton,Council,2023,interim,,Primary Financial Disclosure,https://ecf-api.easyvoteapp.com/documents/7636C141-2A4A-4AE6-BBBD-8ED38233EA53/viewfinalredactedpdf,2026-07-03,text,pdftotext -layout,raw/easyvote/2023_Shelton_Primary-Financial-Disclosure_7636C141.pdf,easyvote,4,Current Elected Official,yes,day
2023-10-24,Kent Shelton,Council,2023,interim,,28 Day Report,https://ecf-api.easyvoteapp.com/documents/E9088CF6-F6DF-4C62-95ED-F196577E0881/viewfinalredactedpdf,2026-07-03,text,pdftotext -layout,raw/easyvote/2023_Shelton_28-Day-Report_E9088CF6.pdf,easyvote,4,Current Elected Official,yes,day
2023-11-13,Kent Shelton,Council,2023,interim,,General Election Report,https://ecf-api.easyvoteapp.com/documents/3B74693C-6BF1-4993-B69E-884E936DA55A/viewfinalredactedpdf,2026-07-03,text,pdftotext -layout,raw/easyvote/2023_Shelton_General-Election-Report_3B74693C.pdf,easyvote,4,Current Elected Official,yes,day
2023-12-21,Kent Shelton,Council,2023,summary,,Post-General Election Report,https://ecf-api.easyvoteapp.com/documents/FDDFB632-5543-4B78-8691-DA30F3583E0F/viewfinalredactedpdf,2026-07-03,text,pdftotext -layout,raw/easyvote/2023_Shelton_Post-General-Election-Report_FDDFB632.pdf,easyvote,4,Current Elected Official,yes,day
2023-10-24,Rulon Green,Council,2023,interim,,28 Day Report,https://ecf-api.easyvoteapp.com/documents/CABA8AE2-D560-4963-B5A7-95CA9503FBB0/viewfinalredactedpdf,2026-07-03,text,pdftotext -layout,raw/easyvote/2023_Green_28-Day-Report_CABA8AE2.pdf,easyvote,1,Unsuccessful Candidate,yes,day
2023-11-14,Rulon Green,Council,2023,interim,,General Election Report,https://ecf-api.easyvoteapp.com/documents/4D69FA0C-EB9C-40D1-9484-50EACF90BE2C/viewfinalredactedpdf,2026-07-03,text,pdftotext -layout,raw/easyvote/2023_Green_General-Election-Report_4D69FA0C.pdf,easyvote,1,Unsuccessful Candidate,yes,day
2023-10-23,Zach Jacob,Council,2023,interim,,28 - Day Report,https://ecf-api.easyvoteapp.com/documents/FDB9A934-F371-4146-B19E-43816D4F0BCB/viewfinalredactedpdf,2026-07-03,text,pdftotext -layout,raw/easyvote/2023_Jacob_28-Day-Report_FDB9A934.pdf,easyvote,3,Current Elected Official,yes,day
2023-11-14,Zach Jacob,Council,2023,interim,,General Election Report,https://ecf-api.easyvoteapp.com/documents/5489F5F3-5068-4800-A822-B5B672B381FA/viewfinalredactedpdf,2026-07-03,text,pdftotext -layout,raw/easyvote/2023_Jacob_General-Election-Report_5489F5F3.pdf,easyvote,3,Current Elected Official,yes,day
2023-12-19,Zach Jacob,Council,2023,summary,,Post General Election Report,https://ecf-api.easyvoteapp.com/documents/D15B6729-999F-4A11-A358-F6E04424BD66/viewfinalredactedpdf,2026-07-03,text,pdftotext -layout,raw/easyvote/2023_Jacob_Post-General-Election-Report_D15B6729.pdf,easyvote,3,Current Elected Official,yes,day
2025-08-03,Annette Harris,Council,2025,interim,,Primary Financial Disclosure,https://ecf-api.easyvoteapp.com/documents/50E0BB33-E317-4F00-8E1C-B2F853AE0B0B/viewfinalredactedpdf,2026-07-03,text,pdftotext -layout,raw/easyvote/2025_Harris_Primary-Financial-Disclosure_50E0BB33.pdf,easyvote,At-Large,New Candidate,yes,day
2025-10-07,Annette Harris,Council,2025,interim,,28 Day Financial Disclosure,https://ecf-api.easyvoteapp.com/documents/8C216330-F1EE-45C3-AAD0-0598DBF6CBE1/viewfinalredactedpdf,2026-07-03,text,pdftotext -layout,raw/easyvote/2025_Harris_28-Day-Financial-Disclosure_8C216330.pdf,easyvote,At-Large,New Candidate,yes,day
2025-10-09,Annette Harris,Council,2025,interim,,28 Day-Amendment,https://ecf-api.easyvoteapp.com/documents/6290C7BF-326F-45D6-B33F-AAA10177EB23/viewfinalredactedpdf,2026-07-03,text,pdftotext -layout,raw/easyvote/2025_Harris_28-Day-Amendment_6290C7BF.pdf,easyvote,At-Large,New Candidate,yes,day
2025-10-28,Annette Harris,Council,2025,interim,,General Election 7 Day Report,https://ecf-api.easyvoteapp.com/documents/F6AA3911-FB0B-4A51-8D61-529AE180BD1F/viewfinalredactedpdf,2026-07-03,text,pdftotext -layout,raw/easyvote/2025_Harris_General-Election-7-Day-Report_F6AA3911.pdf,easyvote,At-Large,New Candidate,yes,day
2025-12-04,Annette Harris,Council,2025,summary,,Post General Report,https://ecf-api.easyvoteapp.com/documents/91B7D03F-1ACD-4E44-AFD1-36A705B70311/viewfinalredactedpdf,2026-07-03,text,pdftotext -layout,raw/easyvote/2025_Harris_Post-General-Report_91B7D03F.pdf,easyvote,At-Large,New Candidate,yes,day
2025-08-03,Chris McConnehey,Council,2025,interim,,Primary Election Report,https://ecf-api.easyvoteapp.com/documents/0EBA0F36-41CD-448F-8AC8-73EF8CC8C1A9/viewfinalredactedpdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/easyvote/2025_McConnehey_Primary-Election-Report_0EBA0F36.pdf,easyvote,At-Large,Unsuccessful Candidate,yes,day
2025-10-06,Chris McConnehey,Council,2025,interim,,28 Day Report,https://ecf-api.easyvoteapp.com/documents/0CAAB9DE-EFF7-4044-BD23-7DF2108CE587/viewfinalredactedpdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/easyvote/2025_McConnehey_28-Day-Report_0CAAB9DE.pdf,easyvote,At-Large,Unsuccessful Candidate,yes,day
2025-10-27,Chris McConnehey,Council,2025,interim,,General Election Report - Amended,https://ecf-api.easyvoteapp.com/documents/86B7719C-B5C9-4510-A149-F17B37CA73E7/viewfinalredactedpdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/easyvote/2025_McConnehey_General-Election-Report-Amended_86B7719C.pdf,easyvote,At-Large,Unsuccessful Candidate,yes,day
2025-10-27,Chris McConnehey,Council,2025,interim,,General Election Report,https://ecf-api.easyvoteapp.com/documents/A366DB7F-0ECB-4833-950D-89722387E6CD/viewfinalredactedpdf,2026-07-03,text,pdftotext -layout,raw/easyvote/2025_McConnehey_General-Election-Report_A366DB7F.pdf,easyvote,At-Large,Unsuccessful Candidate,yes,day
2025-11-06,Chris McConnehey,Council,2025,summary,,Post General Report,https://ecf-api.easyvoteapp.com/documents/46D6A826-1286-4E90-B559-EDE806F25568/viewfinalredactedpdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/easyvote/2025_McConnehey_Post-General-Report_46D6A826.pdf,easyvote,At-Large,Unsuccessful Candidate,yes,day
2025-07-31,David Pack,Council,2025,interim,,Primary Financial Disclosure,https://ecf-api.easyvoteapp.com/documents/E6A2CB88-8E56-423C-97FB-2679C812FCA6/viewfinalredactedpdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/easyvote/2025_Pack_Primary-Financial-Disclosure_E6A2CB88.pdf,easyvote,,Unsuccessful Candidate,no,day
2025-09-10,David Pack,Council,2025,summary,,Post-Primary Election Report,https://ecf-api.easyvoteapp.com/documents/740E70E4-CA55-42F9-A154-8348651E1DEA/viewfinalredactedpdf,2026-07-03,text,pdftotext -layout,raw/easyvote/2025_Pack_Post-Primary-Election-Report_740E70E4.pdf,easyvote,,Unsuccessful Candidate,no,day
2025-09-12,David Pack,Council,2025,summary,,Amended Post-Primary Report,https://ecf-api.easyvoteapp.com/documents/919CC470-6B57-48E5-9AE0-8A090F44ED87/viewfinalredactedpdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/easyvote/2025_Pack_Amended-Post-Primary-Report_919CC470.pdf,easyvote,,Unsuccessful Candidate,no,day
2025-08-04,Eric Hanna,Council,2025,interim,,Primary Financial Disclosure,https://ecf-api.easyvoteapp.com/documents/8615FBE3-414A-476D-84B9-3EA7CA9CD1AC/viewfinalredactedpdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/easyvote/2025_Hanna_Primary-Financial-Disclosure_8615FBE3.pdf,easyvote,,Unsuccessful Candidate,no,day
2025-09-08,Eric Hanna,Council,2025,summary,,Post- Primary report,https://ecf-api.easyvoteapp.com/documents/9428E659-C8B6-4BE0-84EB-827712131BF2/viewfinalredactedpdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/easyvote/2025_Hanna_Post-Primary-report_9428E659.pdf,easyvote,,Unsuccessful Candidate,no,day
2025-08-04,JD Sheppard,Council,2025,interim,,Primary Financial Report,https://ecf-api.easyvoteapp.com/documents/44F81DA8-A5D7-4CF0-94C4-106F0EC70563/viewfinalredactedpdf,2026-07-03,text,pdftotext -layout,raw/easyvote/2025_Sheppard_Primary-Financial-Report_44F81DA8.pdf,easyvote,,Unsuccessful Candidate,no,day
2025-08-05,JD Sheppard,Council,2025,interim,,Primary Financial Report,https://ecf-api.easyvoteapp.com/documents/713C68F3-76FC-4C09-A4DB-787B4A4E4A79/viewfinalredactedpdf,2026-07-03,text,pdftotext -layout,raw/easyvote/2025_Sheppard_Primary-Financial-Report_713C68F3.pdf,easyvote,,Unsuccessful Candidate,no,day
2025-09-02,JD Sheppard,Council,2025,summary,,Post Primary Election Financial Disclosures,https://ecf-api.easyvoteapp.com/documents/42604B2A-6383-4DFC-A2D3-E5F2FE825190/viewfinalredactedpdf,2026-07-03,text,pdftotext -layout,raw/easyvote/2025_Sheppard_Post-Primary-Election-Financial-Disclosures_42604B2A.pdf,easyvote,,Unsuccessful Candidate,no,day
2025-08-05,Jessica Wignall,Council,2025,interim,,Primary Election,https://ecf-api.easyvoteapp.com/documents/61089241-23A3-452D-94E5-19EAF0133D43/viewfinalredactedpdf,2026-07-03,text,pdftotext -layout,raw/easyvote/2025_Wignall_Primary-Election_61089241.pdf,easyvote,At-Large,New Candidate,yes,day
2025-10-07,Jessica Wignall,Council,2025,interim,,28- Day Report,https://ecf-api.easyvoteapp.com/documents/48AC1593-FD1F-4D9D-A96A-6F3424D34CE0/viewfinalredactedpdf,2026-07-03,text,pdftotext -layout,raw/easyvote/2025_Wignall_28-Day-Report_48AC1593.pdf,easyvote,At-Large,New Candidate,yes,day
2025-10-28,Jessica Wignall,Council,2025,interim,,General Election Report,https://ecf-api.easyvoteapp.com/documents/1EAEDEDF-E68F-4BFB-A3F2-894F86AB06CA/viewfinalredactedpdf,2026-07-03,text,pdftotext -layout,raw/easyvote/2025_Wignall_General-Election-Report_1EAEDEDF.pdf,easyvote,At-Large,New Candidate,yes,day
2025-12-04,Jessica Wignall,Council,2025,summary,,Post-General Election Report,https://ecf-api.easyvoteapp.com/documents/C9531A3C-4ED9-4A7D-9D89-C1E3C612296E/viewfinalredactedpdf,2026-07-03,text,pdftotext -layout,raw/easyvote/2025_Wignall_Post-General-Election-Report_C9531A3C.pdf,easyvote,At-Large,New Candidate,yes,day
2025-08-01,Kayleen Whitelock,Council,2025,interim,,Primary Election Report,https://ecf-api.easyvoteapp.com/documents/B2801303-0985-4ADD-BCF7-B2BB91E5012D/viewfinalredactedpdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/easyvote/2025_Whitelock_Primary-Election-Report_B2801303.pdf,easyvote,At-Large,Current Elected Official,yes,day
2025-10-07,Kayleen Whitelock,Council,2025,interim,,28 Day Report,https://ecf-api.easyvoteapp.com/documents/70F3F14C-642D-4CA5-B6E5-7C29A7C16FE6/viewfinalredactedpdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/easyvote/2025_Whitelock_28-Day-Report_70F3F14C.pdf,easyvote,At-Large,Current Elected Official,yes,day
2025-10-27,Kayleen Whitelock,Council,2025,interim,,General Election 2025,https://ecf-api.easyvoteapp.com/documents/63668E24-C336-4CB7-B95B-CDEBA2562E65/viewfinalredactedpdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/easyvote/2025_Whitelock_General-Election-2025_63668E24.pdf,easyvote,At-Large,Current Elected Official,yes,day
2025-12-01,Kayleen Whitelock,Council,2025,summary,,Post-General Election Report,https://ecf-api.easyvoteapp.com/documents/D7A11E51-D664-471F-9B8A-65BA8D04624A/viewfinalredactedpdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/easyvote/2025_Whitelock_Post-General-Election-Report_D7A11E51.pdf,easyvote,At-Large,Current Elected Official,yes,day
2025-08-02,Kelvin Green,Council,2025,interim,,Primary Report,https://ecf-api.easyvoteapp.com/documents/DAC87804-F89D-4482-AC4E-13793CFA48B6/viewfinalredactedpdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/easyvote/2025_Green_Primary-Report_DAC87804.pdf,easyvote,,Current Elected Official,no,day
2025-08-26,Kelvin Green,Council,2025,summary,,Post-Primary Report,https://ecf-api.easyvoteapp.com/documents/5CE5A908-90A4-4386-AB59-30BB61D3D6F7/viewfinalredactedpdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/easyvote/2025_Green_Post-Primary-Report_5CE5A908.pdf,easyvote,,Current Elected Official,no,day
2025-07-31,Rob Bennett,Council,2025,interim,,Primary Election Report,https://ecf-api.easyvoteapp.com/documents/336DE894-D8E8-4137-946B-1101EBA13326/viewfinalredactedpdf,2026-07-03,text,pdftotext -layout,raw/easyvote/2025_Bennett_Primary-Election-Report_336DE894.pdf,easyvote,At-Large,Unsuccessful Candidate,yes,day
2025-08-05,Rob Bennett,Council,2025,interim,,Primary Election Report,https://ecf-api.easyvoteapp.com/documents/84133252-440A-4DB7-9A08-9C6DD5A37BAA/viewfinalredactedpdf,2026-07-03,text,pdftotext -layout,raw/easyvote/2025_Bennett_Primary-Election-Report_84133252.pdf,easyvote,At-Large,Unsuccessful Candidate,yes,day
2025-10-03,Rob Bennett,Council,2025,interim,,28-Day Report,https://ecf-api.easyvoteapp.com/documents/40309141-B824-49DF-A1BC-B34DC0197CB3/viewfinalredactedpdf,2026-07-03,text,pdftotext -layout,raw/easyvote/2025_Bennett_28-Day-Report_40309141.pdf,easyvote,At-Large,Unsuccessful Candidate,yes,day
2025-10-09,Rob Bennett,Council,2025,interim,,28 Day Report - Amended,https://ecf-api.easyvoteapp.com/documents/09369CF6-5DBD-4830-B042-E26B29B09E7C/viewfinalredactedpdf,2026-07-03,text,pdftotext -layout,raw/easyvote/2025_Bennett_28-Day-Report-Amended_09369CF6.pdf,easyvote,At-Large,Unsuccessful Candidate,yes,day
2025-10-26,Rob Bennett,Council,2025,interim,,General Election Report,https://ecf-api.easyvoteapp.com/documents/3A3B8175-0087-4B84-9D7C-0F0275CF6EA0/viewfinalredactedpdf,2026-07-03,text,pdftotext -layout,raw/easyvote/2025_Bennett_General-Election-Report_3A3B8175.pdf,easyvote,At-Large,Unsuccessful Candidate,yes,day
2025-11-19,Rob Bennett,Council,2025,summary,,Post General Election Finance Report,https://ecf-api.easyvoteapp.com/documents/95A3393C-59E1-4D64-B752-4512F4D62ABA/viewfinalredactedpdf,2026-07-03,text,pdftotext -layout,raw/easyvote/2025_Bennett_Post-General-Election-Finance-Report_95A3393C.pdf,easyvote,At-Large,Unsuccessful Candidate,yes,day
2025-06-04,Rulon Green,Council,2025,summary,,Final,https://ecf-api.easyvoteapp.com/documents/9626818B-228A-407C-8261-B14C097A0AAB/viewfinalredactedpdf,2026-07-03,text,pdftotext -layout,raw/easyvote/2025_Green_Final_9626818B.pdf,easyvote,,Unsuccessful Candidate,no,day
2025-08-05,Rulon Green,Council,2025,interim,,August 2025,https://ecf-api.easyvoteapp.com/documents/EAE38BE6-D51E-444D-A0B2-73F5627FED28/viewfinalredactedpdf,2026-07-03,text,pdftotext -layout,raw/easyvote/2025_Green_August-2025_EAE38BE6.pdf,easyvote,,Unsuccessful Candidate,no,day
2025-09-11,Rulon Green,Council,2025,summary,,Final,https://ecf-api.easyvoteapp.com/documents/7CB68690-5C83-4B3D-BB85-1D385BE466D7/viewfinalredactedpdf,2026-07-03,text,pdftotext -layout,raw/easyvote/2025_Green_Final_7CB68690.pdf,easyvote,,Unsuccessful Candidate,no,day
2025-08-05,Sergio Sotelo,Council,2025,interim,,Primary Report,https://ecf-api.easyvoteapp.com/documents/3716A168-DDDA-42F7-A89B-6CA102EAB555/viewfinalredactedpdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/easyvote/2025_Sotelo_Primary-Report_3716A168.pdf,easyvote,At-Large,Unsuccessful Candidate,yes,day
2025-10-07,Sergio Sotelo,Council,2025,interim,,28-Day Financial Disclosure,https://ecf-api.easyvoteapp.com/documents/6CACDC7D-6349-40CB-933A-6E756BCA8D13/viewfinalredactedpdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/easyvote/2025_Sotelo_28-Day-Financial-Disclosure_6CACDC7D.pdf,easyvote,At-Large,Unsuccessful Candidate,yes,day
2025-10-28,Sergio Sotelo,Council,2025,interim,,General Election 7 Day Report,https://ecf-api.easyvoteapp.com/documents/6D01488C-C995-4FFA-AF03-671A711D1416/viewfinalredactedpdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/easyvote/2025_Sotelo_General-Election-7-Day-Report_6D01488C.pdf,easyvote,At-Large,Unsuccessful Candidate,yes,day
2025-11-03,Sergio Sotelo,Council,2025,interim,,28-Day Financial Disclosure - Amended,https://ecf-api.easyvoteapp.com/documents/1DE4AA87-C28E-4893-AB50-B1EB5BEECDC4/viewfinalredactedpdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/easyvote/2025_Sotelo_28-Day-Financial-Disclosure-Amended_1DE4AA87.pdf,easyvote,At-Large,Unsuccessful Candidate,yes,day
2025-11-12,Sergio Sotelo,Council,2025,interim,,28-Day Financial Disclosure - amended,https://ecf-api.easyvoteapp.com/documents/EB5BBECB-D726-43CC-8A47-90EC34CC313F/viewfinalredactedpdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/easyvote/2025_Sotelo_28-Day-Financial-Disclosure-amended_EB5BBECB.pdf,easyvote,At-Large,Unsuccessful Candidate,yes,day
