mid,Minutes_ok,Minutes_size,Minutes_body,Minutes_cat,Minutes_date,Agenda_ok,Agenda_size,Agenda_body,Agenda_cat,Agenda_date
27,1,436472,board_of_trustees,Council/Other,2020-02-26,1,243868,board_of_trustees,Council/Other,2020-02-26
28,1,559079,board_of_trustees,Council/Other,2020-03-11,1,220792,board_of_trustees,Council/Other,2020-03-11
29,1,462746,board_of_trustees,Council/Other,2020-03-25,1,280343,board_of_trustees,Council/Other,2020-03-25
30,1,385715,magna,Council/Other,2020-04-08,1,284608,board_of_trustees,Council/Other,2020-04-08
31,1,203525,board_of_trustees,Council/Other,2020-04-22,1,280113,board_of_trustees,Council/Other,2020-04-22
32,1,278389,magna,Council/Other,2020-05-13,1,282535,board_of_trustees,Council/Other,2020-05-13
33,1,340809,board_of_trustees,Council/Other,2020-05-27,1,277755,board_of_trustees,Council/Other,2020-05-27
34,1,276559,board_of_trustees,Council/Other,2020-06-10,1,275213,board_of_trustees,Council/Other,2020-06-10
35,1,298332,board_of_trustees,Council/Other,2020-06-24,1,278340,board_of_trustees,Council/Other,2020-06-24
36,1,270589,board_of_trustees,Council/Other,,1,275028,board_of_trustees,Council/Other,2020-07-08
37,1,250092,board_of_trustees,Council/Other,2020-07-22,1,278142,board_of_trustees,Council/Other,2020-07-22
38,1,237807,board_of_trustees,Council/Other,2020-07-29,1,289270,board_of_trustees,Council/Other,2020-07-29
39,1,103357,board_of_trustees,Council/Other,2020-07-31,1,289831,board_of_trustees,Council/Other,2020-07-31
40,1,246185,board_of_trustees,Council/Other,2020-08-12,1,287281,board_of_trustees,Council/Other,2020-08-12
41,1,244834,board_of_trustees,Council/Other,2020-08-26,1,287629,board_of_trustees,Council/Other,2020-08-26
42,1,247309,board_of_trustees,Council/Other,2020-08-28,1,287877,board_of_trustees,Council/Other,2020-08-28
43,1,255445,board_of_trustees,Council/Other,2020-09-09,1,290056,board_of_trustees,Council/Other,
44,1,401765,board_of_trustees,Council/Other,2020-09-23,1,286609,board_of_trustees,Council/Other,
45,1,390760,board_of_trustees,Council/Other,2020-10-14,1,288496,board_of_trustees,Council/Other,
46,1,388377,board_of_trustees,Council/Other,2020-10-28,1,310188,board_of_trustees,Council/Other,
47,1,319126,board_of_trustees,Council/Other,2020-11-12,1,124518,board_of_trustees,Council/Other,
48,1,342970,board_of_trustees,Council/Other,2020-12-09,1,262649,board_of_trustees,Council/Other,2020-12-09
49,1,367545,board_of_trustees,Council/Other,2021-01-13,1,259235,board_of_trustees,Council/Other,2021-01-13
50,1,303398,white_city,Council/Other,2021-01-27,1,258453,board_of_trustees,Council/Other,2021-01-27
51,1,406807,board_of_trustees,Council/Other,2021-02-10,1,260352,board_of_trustees,Council/Other,2021-02-10
52,1,407115,board_of_trustees,Council/Other,2021-02-24,1,259876,board_of_trustees,Council/Other,2021-02-24
53,1,367697,board_of_trustees,Council/Other,2021-03-10,1,257452,board_of_trustees,Council/Other,2021-03-10
54,1,310466,board_of_trustees,Council/Other,2021-03-24,1,254819,board_of_trustees,Council/Other,2021-03-24
55,1,1740722,,Council/Other,,1,255800,board_of_trustees,Council/Other,2021-04-14
56,1,429834,board_of_trustees,Council/Other,2021-04-28,1,260297,board_of_trustees,Council/Other,2021-04-28
57,1,491938,board_of_trustees,Council/Other,2021-05-26,1,261292,board_of_trustees,Council/Other,2021-05-26
58,1,449028,board_of_trustees,Council/Other,2021-06-09,1,255130,board_of_trustees,Council/Other,2021-06-09
59,1,638492,magna,Council/Other,2021-06-23,1,252121,board_of_trustees,Council/Other,2021-06-23
60,1,648505,board_of_trustees,Council/Other,2021-07-14,1,254724,board_of_trustees,Council/Other,2021-07-14
61,1,321783,board_of_trustees,Council/Other,2021-07-28,1,252607,board_of_trustees,Council/Other,2021-07-28
62,0,0,,,,0,0,,,
63,1,310934,board_of_trustees,Council/Other,2021-07-30,1,253590,board_of_trustees,Council/Other,2021-07-28
64,1,290480,white_city,Council/Other,2021-08-11,1,253853,board_of_trustees,Council/Other,2021-08-11
65,0,0,,,,1,254716,board_of_trustees,Council/Other,2021-08-25
66,1,341985,board_of_trustees,Council/Other,2021-08-27,1,213118,board_of_trustees,Council/Other,2021-08-27
67,1,366540,board_of_trustees,Council/Other,2021-09-08,1,639360,board_of_trustees,Council/Other,2021-09-08
68,1,316741,board_of_trustees,Council/Other,2021-09-22,1,298991,board_of_trustees,Council/Other,2021-09-22
69,1,313391,copperton,Council/Other,2021-10-13,1,217783,board_of_trustees,Council/Other,2021-10-13
70,1,222687,magna,Council/Other,2021-10-27,1,217199,board_of_trustees,Council/Other,2021-10-27
71,0,0,,,,0,0,,,
72,0,0,,,,0,0,,,
73,1,521793,board_of_trustees,Council/Other,2021-12-08,1,261398,board_of_trustees,Council/Other,2021-12-08
74,0,0,,,,1,217059,board_of_trustees,Council/Other,2021-12-08
75,1,636017,magna,Council/Other,2021-10-27,1,635012,board_of_trustees,Council/Other,2021-12-14
76,1,323896,board_of_trustees,Council/Other,2022-01-12,1,242200,board_of_trustees,Council/Other,2022-01-12
77,1,343196,magna,Council/Other,2022-01-26,1,299312,board_of_trustees,Council/Other,2022-01-26
78,1,335141,magna,Council/Other,2022-02-09,1,277477,board_of_trustees,Council/Other,2022-02-09
79,1,338711,board_of_trustees,Council/Other,2022-02-23,1,275212,board_of_trustees,Council/Other,2022-02-23
80,1,419876,board_of_trustees,Council/Other,2022-03-09,1,276670,board_of_trustees,Council/Other,2022-03-09
81,1,430522,board_of_trustees,Council/Other,2022-03-23,1,267953,board_of_trustees,Council/Other,2022-03-23
82,1,413111,board_of_trustees,Council/Other,2022-04-13,1,269542,board_of_trustees,Council/Other,2022-04-13
83,1,376745,board_of_trustees,Council/Other,2022-04-25,1,298517,board_of_trustees,Council/Other,2022-04-25
84,1,409340,magna,Council/Other,2022-04-27,1,261961,board_of_trustees,Council/Other,2022-04-27
85,1,421291,magna,Council/Other,2022-05-11,1,265429,board_of_trustees,Council/Other,2022-05-11
86,0,0,,,,1,103110,board_of_trustees,Council/Other,2022-05-21
87,1,417236,board_of_trustees,Council/Other,2022-05-25,1,669997,board_of_trustees,Council/Other,2022-05-25
88,1,384985,board_of_trustees,Council/Other,2022-06-08,1,291177,board_of_trustees,Council/Other,2022-06-08
89,0,0,,,,0,0,,,
90,1,414305,magna,Council/Other,2022-06-08,1,263971,board_of_trustees,Council/Other,2022-06-08
91,1,515956,board_of_trustees,Council/Other,,1,269939,board_of_trustees,Council/Other,2022-06-22
92,1,451836,board_of_trustees,Council/Other,2022-07-13,1,266533,board_of_trustees,Council/Other,2022-07-13
93,1,499852,magna,Council/Other,2022-07-27,1,268059,board_of_trustees,Council/Other,2022-07-27
94,1,489665,board_of_trustees,Council/Other,2022-07-29,1,242675,board_of_trustees,Council/Other,2022-07-29
95,1,440474,magna,Council/Other,2022-08-10,1,263253,board_of_trustees,Council/Other,2022-08-10
96,1,412258,board_of_trustees,Council/Other,2022-08-24,1,267135,board_of_trustees,Council/Other,2022-08-24
97,1,429769,board_of_trustees,Council/Other,2022-09-14,1,266541,board_of_trustees,Council/Other,2022-09-14
98,1,419752,magna,Council/Other,2022-09-28,1,271072,board_of_trustees,Council/Other,2022-09-28
99,0,0,,,,0,0,,,
100,1,531551,magna,Council/Other,2022-10-12,1,257721,board_of_trustees,Council/Other,2022-10-12
101,0,0,,,,0,0,,,
102,1,413493,magna,Council/Other,2022-10-26,1,266453,board_of_trustees,Council/Other,2022-10-26
103,1,410850,kearns,Council/Other,2022-11-09,1,237985,board_of_trustees,Council/Other,2022-11-09
104,1,522298,board_of_trustees,Council/Other,2022-12-14,1,273934,board_of_trustees,Council/Other,2022-12-14
105,1,350915,magna,Council/Other,2023-01-11,1,276313,board_of_trustees,Council/Other,2023-01-11
106,0,0,,,,0,0,,,
107,1,372911,magna,Council/Other,2023-01-21,1,248528,board_of_trustees,Council/Other,2023-01-21
108,1,403788,board_of_trustees,Council/Other,2023-01-25,1,280637,board_of_trustees,Council/Other,2023-01-25
109,1,355340,magna,Council/Other,2023-02-08,1,248582,board_of_trustees,Council/Other,2023-02-08
110,1,342224,emigration_canyon,Council/Other,2023-02-17,1,270489,board_of_trustees,Council/Other,2023-02-17
111,1,345657,magna,Council/Other,2023-02-22,1,278935,board_of_trustees,Council/Other,2023-02-22
112,1,344599,emigration_canyon,Council/Other,2023-03-08,1,277826,board_of_trustees,Council/Other,2023-03-08
113,1,389295,white_city,Council/Other,2023-03-22,1,280799,board_of_trustees,Council/Other,2023-03-22
114,0,0,,,,1,105364,board_of_trustees,Council/Other,2023-04-12
115,1,413275,magna,Council/Other,2023-04-26,1,277484,board_of_trustees,Council/Other,2023-04-26
116,1,404506,board_of_trustees,Council/Other,2021-11-10,1,643853,board_of_trustees,Council/Other,2021-11-10
117,1,425603,kearns,Council/Other,2023-05-10,1,276643,board_of_trustees,Council/Other,2023-05-10
118,1,424472,board_of_trustees,Council/Other,2023-05-24,1,277451,board_of_trustees,Council/Other,2023-05-24
119,1,540847,board_of_trustees,Council/Other,2023-06-07,1,278880,board_of_trustees,Council/Other,2023-06-07
120,1,538142,white_city,Council/Other,2023-06-21,1,690215,board_of_trustees,Council/Other,2023-06-21
121,1,435521,board_of_trustees,Council/Other,2023-07-12,1,280721,board_of_trustees,Council/Other,2023-07-12
122,0,0,,,,0,0,,,
123,1,409849,magna,Council/Other,2023-07-28,1,324560,board_of_trustees,Council/Other,2023-07-28
124,1,563222,magna,Council/Other,2023-07-26,1,250604,board_of_trustees,Council/Other,2023-07-26
125,1,421136,board_of_trustees,Council/Other,2023-08-09,1,276491,board_of_trustees,Council/Other,2023-08-09
126,1,419288,magna,Council/Other,2023-08-23,1,278538,board_of_trustees,Council/Other,2023-08-23
127,1,436846,white_city,Council/Other,2023-09-13,1,282283,board_of_trustees,Council/Other,2023-09-13
128,1,423565,magna,Council/Other,2023-09-27,1,277888,board_of_trustees,Council/Other,2023-09-27
129,0,0,,,,1,96459,board_of_trustees,Council/Other,2023-10-11
130,1,430685,magna,Council/Other,2023-10-11,1,279524,board_of_trustees,Council/Other,2023-10-11
131,1,433212,board_of_trustees,Council/Other,2023-11-08,1,280321,board_of_trustees,Council/Other,2023-11-08
132,1,292853,kearns,Council/Other,,1,280631,board_of_trustees,Council/Other,2023-12-13
133,1,286880,kearns,Council/Other,2024-01-10,1,279602,board_of_trustees,Council/Other,2024-01-10
134,1,329226,magna,Council/Other,2024-01-24,1,266878,board_of_trustees,Council/Other,2024-01-24
135,1,435745,board_of_trustees,Council/Other,2024-02-14,1,267578,board_of_trustees,Council/Other,2024-02-14
136,1,438820,board_of_trustees,Council/Other,2024-02-28,1,694290,board_of_trustees,Council/Other,2024-02-28
137,1,406557,board_of_trustees,Council/Other,2024-03-13,1,322118,board_of_trustees,Council/Other,2024-03-13
138,1,287840,board_of_trustees,Council/Other,2024-03-27,1,791032,board_of_trustees,Council/Other,2024-03-27
139,1,369750,board_of_trustees,Council/Other,2024-03-29,1,305658,board_of_trustees,Council/Other,2024-03-29
140,1,650091,board_of_trustees,Council/Other,2024-04-10,1,276903,board_of_trustees,Council/Other,2024-04-10
141,1,553487,magna,Council/Other,2024-04-24,1,313232,board_of_trustees,Council/Other,2024-04-24
142,1,645179,board_of_trustees,Council/Other,2024-05-08,1,277764,board_of_trustees,Council/Other,2024-05-08
143,1,649618,board_of_trustees,Council/Other,2024-05-22,1,279194,board_of_trustees,Council/Other,2024-05-22
144,1,650422,board_of_trustees,Council/Other,2024-06-12,1,277400,board_of_trustees,Council/Other,2024-06-12
145,1,540908,board_of_trustees,Council/Other,2024-06-26,1,276882,board_of_trustees,Council/Other,2024-06-26
146,1,542455,board_of_trustees,Council/Other,2024-07-10,1,278934,board_of_trustees,Council/Other,2024-07-10
147,1,430286,board_of_trustees,Council/Other,2024-07-31,1,307325,board_of_trustees,Council/Other,2024-07-31
148,1,428138,board_of_trustees,Council/Other,2024-08-14,1,668120,board_of_trustees,Council/Other,2024-08-14
149,1,439175,board_of_trustees,Council/Other,2024-08-28,1,280447,board_of_trustees,Council/Other,2024-08-28
150,1,440974,board_of_trustees,Council/Other,2024-09-11,1,749170,board_of_trustees,Council/Other,2024-09-11
151,1,555984,board_of_trustees,Council/Other,2024-09-25,1,319922,board_of_trustees,Council/Other,2024-09-25
152,1,404951,board_of_trustees,Council/Other,2024-09-30,1,303518,board_of_trustees,Council/Other,2024-09-30
153,1,439413,board_of_trustees,Council/Other,2024-10-09,1,313689,board_of_trustees,Council/Other,2024-10-09
154,1,550259,board_of_trustees,Council/Other,2024-10-23,1,317377,board_of_trustees,Council/Other,2024-10-23
155,1,456918,board_of_trustees,Council/Other,2024-11-13,1,246768,board_of_trustees,Council/Other,2024-11-13
156,1,457023,board_of_trustees,Council/Other,2024-12-11,1,331717,board_of_trustees,Council/Other,2024-12-11
157,1,439326,board_of_trustees,Council/Other,2025-01-08,1,308407,board_of_trustees,Council/Other,2025-01-08
158,1,447967,board_of_trustees,Council/Other,2025-01-22,1,315355,board_of_trustees,Council/Other,2025-01-22
159,1,432759,board_of_trustees,Council/Other,2024-02-12,1,322115,board_of_trustees,Council/Other,2025-02-12
160,1,442283,board_of_trustees,Council/Other,2024-02-26,1,310875,board_of_trustees,Council/Other,2025-02-26
161,1,442858,magna,Council/Other,2025-03-12,1,339625,board_of_trustees,Council/Other,2025-03-12
162,1,456193,board_of_trustees,Council/Other,2025-03-26,1,343381,board_of_trustees,Council/Other,2025-03-26
163,1,381311,board_of_trustees,Council/Other,2025-04-09,0,112869,,,
164,1,452426,board_of_trustees,Council/Other,2025-04-23,1,363985,board_of_trustees,Council/Other,2025-04-23
165,1,398637,board_of_trustees,Council/Other,2025-04-23,1,266789,board_of_trustees,Council/Other,2025-05-14
166,1,386136,board_of_trustees,Council/Other,2025-05-28,1,347610,board_of_trustees,Council/Other,2025-05-28
167,1,290914,board_of_trustees,Council/Other,2025-06-11,1,344285,board_of_trustees,Council/Other,2025-06-11
168,1,325300,board_of_trustees,Council/Other,2025-06-25,1,660690,,Council/Other,
169,1,285731,board_of_trustees,Council/Other,2025-07-09,1,357815,board_of_trustees,Council/Other,2025-07-09
170,1,306570,board_of_trustees,Council/Other,2025-08-13,1,349030,board_of_trustees,Council/Other,2025-08-13
171,1,291773,board_of_trustees,Council/Other,2025-09-10,1,360453,board_of_trustees,Council/Other,2025-09-10
172,1,300121,board_of_trustees,Council/Other,2025-10-08,1,359811,board_of_trustees,Council/Other,2025-10-08
173,1,336246,magna,Council/Other,2025-10-22,1,359035,board_of_trustees,Council/Other,2025-10-22
174,1,311265,board_of_trustees,Council/Other,2025-11-12,1,407565,board_of_trustees,Council/Other,2025-11-12
175,1,399491,board_of_trustees,Council/Other,2025-12-10,1,359245,board_of_trustees,Council/Other,2025-12-10
176,1,342621,board_of_trustees,Council/Other,2026-01-14,1,260188,board_of_trustees,Council/Other,2026-01-14
177,1,344231,board_of_trustees,Council/Other,2026-01-28,1,319220,board_of_trustees,Council/Other,2026-01-28
178,1,290845,board_of_trustees,Council/Other,2026-02-11,1,256136,board_of_trustees,Council/Other,2026-02-11
179,1,291079,board_of_trustees,Council/Other,2026-02-25,1,360017,board_of_trustees,Council/Other,2026-02-25
180,1,289344,board_of_trustees,Council/Other,2026-03-11,1,358538,board_of_trustees,Council/Other,2026-03-11
181,0,0,,,,1,373918,board_of_trustees,Council/Other,2026-03-25
182,0,0,,,,1,257880,board_of_trustees,Council/Other,2026-04-08
183,0,0,,,,1,362579,board_of_trustees,Council/Other,2026-04-22
184,0,0,,,,1,1078513,,Council/Other,
185,0,0,,,,1,359661,board_of_trustees,Council/Other,2026-05-27
186,0,0,,,,1,413142,board_of_trustees,Council/Other,2026-06-10
187,0,0,,,,0,0,,,
188,0,0,,,,1,18310,board_of_trustees,Council/Other,2026-06-24
189,0,0,,,,1,359771,board_of_trustees,Council/Other,2026-07-08
190,0,0,,,,0,0,,,
191,0,0,,,,0,0,,,
192,0,0,,,,0,0,,,
193,0,0,,,,0,0,,,
194,0,0,,,,0,0,,,
195,0,0,,,,0,0,,,
