date,year,body,title,reason,source_url
2018-04-17,2018,PlanningCommission,Magna Metro Township General Plan Steering Committee,PMN posts agenda/audio for this PC meeting but no minutes document (minutes not published for 2017-2018),https://www.utah.gov/pmn/sitemap/notice/457719.html
2018-05-01,2018,PlanningCommission,Magna Metro Township Planning Commission,PMN posts agenda/audio for this PC meeting but no minutes document (minutes not published for 2017-2018),https://www.utah.gov/pmn/sitemap/notice/461487.html
2018-05-10,2018,PlanningCommission,Magna Metro Township Planning Commission,PMN posts agenda/audio for this PC meeting but no minutes document (minutes not published for 2017-2018),https://www.utah.gov/pmn/sitemap/notice/461143.html
2018-05-15,2018,PlanningCommission,Magna Metro Township General Plan Steering Committee,PMN posts agenda/audio for this PC meeting but no minutes document (minutes not published for 2017-2018),https://www.utah.gov/pmn/sitemap/notice/464783.html
2018-06-05,2018,PlanningCommission,Magna Metro Township General Plan Steering Committee,PMN posts agenda/audio for this PC meeting but no minutes document (minutes not published for 2017-2018),https://www.utah.gov/pmn/sitemap/notice/468275.html
2018-06-14,2018,PlanningCommission,Magna Metro Township Planning Commission,PMN posts agenda/audio for this PC meeting but no minutes document (minutes not published for 2017-2018),https://www.utah.gov/pmn/sitemap/notice/468299.html
2018-06-19,2018,PlanningCommission,Magna Metro Township Planning Commission,PMN posts agenda/audio for this PC meeting but no minutes document (minutes not published for 2017-2018),https://www.utah.gov/pmn/sitemap/notice/471617.html
2018-07-12,2018,PlanningCommission,Magna Metro Township Planning Commission,PMN posts agenda/audio for this PC meeting but no minutes document (minutes not published for 2017-2018),https://www.utah.gov/pmn/sitemap/notice/472999.html
2018-08-07,2018,PlanningCommission,Magna Metro Township General Plan Steering Committee,PMN posts agenda/audio for this PC meeting but no minutes document (minutes not published for 2017-2018),https://www.utah.gov/pmn/sitemap/notice/479751.html
2018-08-09,2018,PlanningCommission,Magna Metro Township Planning Commission,PMN posts agenda/audio for this PC meeting but no minutes document (minutes not published for 2017-2018),https://www.utah.gov/pmn/sitemap/notice/478521.html
2018-08-14,2018,PlanningCommission,Magna Metro Township Land Use Hearing Officer,PMN posts agenda/audio for this PC meeting but no minutes document (minutes not published for 2017-2018),https://www.utah.gov/pmn/sitemap/notice/478651.html
2018-09-04,2018,PlanningCommission,Magna Metro Township General Plan Steering Committee,PMN posts agenda/audio for this PC meeting but no minutes document (minutes not published for 2017-2018),https://www.utah.gov/pmn/sitemap/notice/484289.html
2018-09-13,2018,PlanningCommission,Magna Metro Township Planning Commission,PMN posts agenda/audio for this PC meeting but no minutes document (minutes not published for 2017-2018),https://www.utah.gov/pmn/sitemap/notice/484255.html
2018-09-13,2018,PlanningCommission,Magna Metro Township General Plan Steering Committee,PMN posts agenda/audio for this PC meeting but no minutes document (minutes not published for 2017-2018),https://www.utah.gov/pmn/sitemap/notice/485869.html
2018-09-27,2018,PlanningCommission,Magna Metro Township General Plan Open House,PMN posts agenda/audio for this PC meeting but no minutes document (minutes not published for 2017-2018),https://www.utah.gov/pmn/sitemap/notice/487365.html
2018-10-11,2018,PlanningCommission,Magna Metro Township Planning Commission,PMN posts agenda/audio for this PC meeting but no minutes document (minutes not published for 2017-2018),https://www.utah.gov/pmn/sitemap/notice/489923.html
2018-10-20,2018,PlanningCommission,Magna Metro Township Planning Commission,PMN posts agenda/audio for this PC meeting but no minutes document (minutes not published for 2017-2018),https://www.utah.gov/pmn/sitemap/notice/493133.html
2018-11-08,2018,PlanningCommission,Magna Metro Township Planning Commission,PMN posts agenda/audio for this PC meeting but no minutes document (minutes not published for 2017-2018),https://www.utah.gov/pmn/sitemap/notice/495021.html
2018-12-04,2018,PlanningCommission,Magna Metro Township General Plan Steering Committee,PMN posts agenda/audio for this PC meeting but no minutes document (minutes not published for 2017-2018),https://www.utah.gov/pmn/sitemap/notice/501579.html
2018-12-13,2018,PlanningCommission,Magna Metro Township Planning Commission,PMN posts agenda/audio for this PC meeting but no minutes document (minutes not published for 2017-2018),https://www.utah.gov/pmn/sitemap/notice/502191.html
2019-09-12,2019,PlanningCommission,Magna Planning Commission Meeting,"PMN body 1559 posted an AMENDED agenda for this 2nd-Thursday PC meeting but NO minutes document was ever published (PC 1559 is a documented complete superset; repo holds 2019-09-26 but no 09-12 minutes); verified at source 2026-07-19, Q3-2026 crosscheck flag resolution",https://www.utah.gov/pmn/sitemap/notice/554979.html
2019-12-12,2019,PlanningCommission,Magna Planning Commission Meeting,"PMN body 1559 posted an agenda for this 2nd-Thursday PC meeting but NO minutes document was ever published (PC 1559 is a documented complete superset; repo holds no Dec-2019 PC minutes); verified at source 2026-07-19, Q3-2026 crosscheck flag resolution",https://www.utah.gov/pmn/sitemap/notice/574513.html
2023-08-10,2023,PlanningCommission,Magna Planning Commission Meeting,"Meeting held (PMN notice 848457 + audio recording) and its minutes were approved 2023-09-14 with one amendment, but PMN never posted an approved minutes PDF for this date; the notice's only Meeting-Minutes attachment is 'July minutes.pdf' (file 1008935) — the DRAFT of the 2023-07-13 meeting, de-ingested 2026-07-31 as a duplicate (see raw/_duplicate_drafts/). A filename-indicated draft of THIS meeting ('August minutes.pdf', file 1020743) sits on notice 855331 but is a draft, not promoted.",https://www.utah.gov/pmn/sitemap/notice/848457.html
2023-10-12,2023,PlanningCommission,Magna Planning Commission Meeting,"Meeting held (PMN notice 861567 + audio recording); corroborated by the 2023-11-09 motion 'To continue the October 12, 2023 Planning Commission Meeting minutes to the December meeting' and a later approval motion. No approved minutes PDF was ever posted on PMN; the notice's only Meeting-Minutes attachment is 'September minutes.pdf' (file 1032545) — the DRAFT of the 2023-09-14 meeting, de-ingested 2026-07-31 as a duplicate.",https://www.utah.gov/pmn/sitemap/notice/861567.html
2024-08-08,2024,PlanningCommission,Magna Planning Commission Meeting,"Meeting held (PMN notice 929425 + audio recording); corroborated by the 2024-09-12 motion continuing approval of the August 8, 2024 minutes and the 2024-10-03 motion approving them. No approved minutes PDF was ever posted on PMN; the notice's only Meeting-Minutes attachment is 'July minutes.pdf' (file 1154441) — the DRAFT of the 2024-07-11 meeting, de-ingested 2026-07-31 as a duplicate.",https://www.utah.gov/pmn/sitemap/notice/929425.html
2025-10-16,2025,PlanningCommission,Magna Planning Commission Meeting,"Meeting held (PMN notice 1025479 + audio recording; the 2025-09-11 minutes carry the stamp 'Meeting minutes approved on October 16, 2025'). No approved minutes PDF was ever posted on PMN and no later meeting's minutes record approving them; the notice's only Meeting-Minutes attachment is 'September minutes.pdf' (file 1337021) — the DRAFT of the 2025-09-11 meeting, de-ingested 2026-07-31 as a duplicate.",https://www.utah.gov/pmn/sitemap/notice/1025479.html
