year,election_type,office,district,contest,precinct,candidate,votes
2021,municipal general,Council,At-Large,Orem City Council,OR07,DAVID M. SPENCER,272
2021,municipal general,Council,At-Large,Orem City Council,OR07,QUINN MECHAM,271
2021,municipal general,Council,At-Large,Orem City Council,OR07,TOM MACDONALD,165
2021,municipal general,Council,At-Large,Orem City Council,OR07,SHAUNTE RUIZ ZUNDEL,102
2021,municipal general,Council,At-Large,Orem City Council,OR08,LANAE MILLETT,222
2021,municipal general,Council,At-Large,Orem City Council,OR08,DAVID M. SPENCER,208
2021,municipal general,Council,At-Large,Orem City Council,OR08,SHAUNTE RUIZ ZUNDEL,104
2021,municipal general,Council,At-Large,Orem City Council,OR08,QUINN MECHAM,71
2021,municipal general,Council,At-Large,Orem City Council,OR08,TOM MACDONALD,71
2021,municipal general,Council,At-Large,Orem City Council,OR09,LANAE MILLETT,129
2021,municipal general,Council,At-Large,Orem City Council,OR09,DAVID M. SPENCER,119
2021,municipal general,Council,At-Large,Orem City Council,OR09,TOM MACDONALD,63
2021,municipal general,Council,At-Large,Orem City Council,OR09,QUINN MECHAM,46
2021,municipal general,Council,At-Large,Orem City Council,OR09,SHAUNTE RUIZ ZUNDEL,42
2021,municipal general,Council,At-Large,Orem City Council,OR10,LANAE MILLETT,210
2021,municipal general,Council,At-Large,Orem City Council,OR10,TOM MACDONALD,188
2021,municipal general,Council,At-Large,Orem City Council,OR10,DAVID M. SPENCER,171
2021,municipal general,Council,At-Large,Orem City Council,OR10,QUINN MECHAM,99
2021,municipal general,Council,At-Large,Orem City Council,OR10,SHAUNTE RUIZ ZUNDEL,71
2021,municipal general,Council,At-Large,Orem City Council,OR11,LANAE MILLETT,330
2021,municipal general,Council,At-Large,Orem City Council,OR11,DAVID M. SPENCER,310
2021,municipal general,Council,At-Large,Orem City Council,OR11,TOM MACDONALD,195
2021,municipal general,Council,At-Large,Orem City Council,OR11,QUINN MECHAM,162
2021,municipal general,Council,At-Large,Orem City Council,OR11,SHAUNTE RUIZ ZUNDEL,159
2021,municipal general,Council,At-Large,Orem City Council,OR12,LANAE MILLETT,76
2021,municipal general,Council,At-Large,Orem City Council,OR12,DAVID M. SPENCER,74
2021,municipal general,Council,At-Large,Orem City Council,OR12,QUINN MECHAM,66
2021,municipal general,Council,At-Large,Orem City Council,OR12,SHAUNTE RUIZ ZUNDEL,64
2021,municipal general,Council,At-Large,Orem City Council,OR12,TOM MACDONALD,48
2021,municipal general,Council,At-Large,Orem City Council,OR13,LANAE MILLETT,150
2021,municipal general,Council,At-Large,Orem City Council,OR13,DAVID M. SPENCER,127
2021,municipal general,Council,At-Large,Orem City Council,OR13,SHAUNTE RUIZ ZUNDEL,103
2021,municipal general,Council,At-Large,Orem City Council,OR13,QUINN MECHAM,98
2021,municipal general,Council,At-Large,Orem City Council,OR13,TOM MACDONALD,97
2021,municipal general,Council,At-Large,Orem City Council,OR14,LANAE MILLETT,64
2021,municipal general,Council,At-Large,Orem City Council,OR14,DAVID M. SPENCER,54
2021,municipal general,Council,At-Large,Orem City Council,OR14,TOM MACDONALD,53
2021,municipal general,Council,At-Large,Orem City Council,OR14,QUINN MECHAM,47
2021,municipal general,Council,At-Large,Orem City Council,OR14,SHAUNTE RUIZ ZUNDEL,44
2021,municipal general,Council,At-Large,Orem City Council,OR15,LANAE MILLETT,174
2021,municipal general,Council,At-Large,Orem City Council,OR15,DAVID M. SPENCER,157
2021,municipal general,Council,At-Large,Orem City Council,OR15,TOM MACDONALD,145
2021,municipal general,Council,At-Large,Orem City Council,OR15,QUINN MECHAM,122
2021,municipal general,Council,At-Large,Orem City Council,OR15,SHAUNTE RUIZ ZUNDEL,105
2021,municipal general,Council,At-Large,Orem City Council,OR16,LANAE MILLETT,221
2021,municipal general,Council,At-Large,Orem City Council,OR16,DAVID M. SPENCER,196
2021,municipal general,Council,At-Large,Orem City Council,OR16,SHAUNTE RUIZ ZUNDEL,129
2021,municipal general,Council,At-Large,Orem City Council,OR16,TOM MACDONALD,93
2021,municipal general,Council,At-Large,Orem City Council,OR16,QUINN MECHAM,60
2021,municipal general,Council,At-Large,Orem City Council,OR17,LANAE MILLETT,242
2021,municipal general,Council,At-Large,Orem City Council,OR17,DAVID M. SPENCER,189
2021,municipal general,Council,At-Large,Orem City Council,OR17,TOM MACDONALD,172
2021,municipal general,Council,At-Large,Orem City Council,OR17,QUINN MECHAM,155
2021,municipal general,Council,At-Large,Orem City Council,OR17,SHAUNTE RUIZ ZUNDEL,125
2021,municipal general,Council,At-Large,Orem City Council,OR18,LANAE MILLETT,136
2021,municipal general,Council,At-Large,Orem City Council,OR18,DAVID M. SPENCER,129
2021,municipal general,Council,At-Large,Orem City Council,OR18,TOM MACDONALD,114
2021,municipal general,Council,At-Large,Orem City Council,OR18,SHAUNTE RUIZ ZUNDEL,92
2021,municipal general,Council,At-Large,Orem City Council,OR18,QUINN MECHAM,89
2021,municipal general,Council,At-Large,Orem City Council,OR19,LANAE MILLETT,264
2021,municipal general,Council,At-Large,Orem City Council,OR19,DAVID M. SPENCER,236
2021,municipal general,Council,At-Large,Orem City Council,OR19,TOM MACDONALD,203
2021,municipal general,Council,At-Large,Orem City Council,OR19,QUINN MECHAM,134
2021,municipal general,Council,At-Large,Orem City Council,OR19,SHAUNTE RUIZ ZUNDEL,103
2021,municipal general,Council,At-Large,Orem City Council,OR20,LANAE MILLETT,240
2021,municipal general,Council,At-Large,Orem City Council,OR20,TOM MACDONALD,218
2021,municipal general,Council,At-Large,Orem City Council,OR20,DAVID M. SPENCER,214
2021,municipal general,Council,At-Large,Orem City Council,OR20,QUINN MECHAM,179
2021,municipal general,Council,At-Large,Orem City Council,OR20,SHAUNTE RUIZ ZUNDEL,134
2021,municipal general,Council,At-Large,Orem City Council,OR21,LANAE MILLETT,241
2021,municipal general,Council,At-Large,Orem City Council,OR21,DAVID M. SPENCER,220
2021,municipal general,Council,At-Large,Orem City Council,OR21,TOM MACDONALD,163
2021,municipal general,Council,At-Large,Orem City Council,OR21,QUINN MECHAM,141
2021,municipal general,Council,At-Large,Orem City Council,OR21,SHAUNTE RUIZ ZUNDEL,96
2021,municipal general,Council,At-Large,Orem City Council,OR22,LANAE MILLETT,343
2021,municipal general,Council,At-Large,Orem City Council,OR22,DAVID M. SPENCER,300
2021,municipal general,Council,At-Large,Orem City Council,OR22,TOM MACDONALD,249
2021,municipal general,Council,At-Large,Orem City Council,OR22,QUINN MECHAM,175
2021,municipal general,Council,At-Large,Orem City Council,OR22,SHAUNTE RUIZ ZUNDEL,159
2021,municipal general,Council,At-Large,Orem City Council,OR23,LANAE MILLETT,383
2021,municipal general,Council,At-Large,Orem City Council,OR23,DAVID M. SPENCER,333
2021,municipal general,Council,At-Large,Orem City Council,OR23,SHAUNTE RUIZ ZUNDEL,224
2021,municipal general,Council,At-Large,Orem City Council,OR23,QUINN MECHAM,174
2021,municipal general,Council,At-Large,Orem City Council,OR23,TOM MACDONALD,150
2021,municipal general,Council,At-Large,Orem City Council,OR24,DAVID M. SPENCER,362
2021,municipal general,Council,At-Large,Orem City Council,OR24,LANAE MILLETT,359
2021,municipal general,Council,At-Large,Orem City Council,OR24,TOM MACDONALD,274
2021,municipal general,Council,At-Large,Orem City Council,OR24,QUINN MECHAM,175
2021,municipal general,Council,At-Large,Orem City Council,OR24,SHAUNTE RUIZ ZUNDEL,128
2021,municipal general,Council,At-Large,Orem City Council,OR25,LANAE MILLETT,194
2021,municipal general,Council,At-Large,Orem City Council,OR25,DAVID M. SPENCER,165
2021,municipal general,Council,At-Large,Orem City Council,OR25,QUINN MECHAM,113
2021,municipal general,Council,At-Large,Orem City Council,OR25,TOM MACDONALD,111
2021,municipal general,Council,At-Large,Orem City Council,OR25,SHAUNTE RUIZ ZUNDEL,96
2021,municipal general,Council,At-Large,Orem City Council,OR26,LANAE MILLETT,260
2021,municipal general,Council,At-Large,Orem City Council,OR26,DAVID M. SPENCER,250
2021,municipal general,Council,At-Large,Orem City Council,OR26,SHAUNTE RUIZ ZUNDEL,141
2021,municipal general,Council,At-Large,Orem City Council,OR26,QUINN MECHAM,84
2021,municipal general,Council,At-Large,Orem City Council,OR26,TOM MACDONALD,79
2021,municipal general,Council,At-Large,Orem City Council,OR27,LANAE MILLETT,248
2021,municipal general,Council,At-Large,Orem City Council,OR27,DAVID M. SPENCER,222
2021,municipal general,Council,At-Large,Orem City Council,OR27,TOM MACDONALD,150
2021,municipal general,Council,At-Large,Orem City Council,OR27,QUINN MECHAM,135
2021,municipal general,Council,At-Large,Orem City Council,OR27,SHAUNTE RUIZ ZUNDEL,114
2021,municipal general,Council,At-Large,Orem City Council,OR28,LANAE MILLETT,296
2021,municipal general,Council,At-Large,Orem City Council,OR28,DAVID M. SPENCER,263
2021,municipal general,Council,At-Large,Orem City Council,OR28,TOM MACDONALD,154
2021,municipal general,Council,At-Large,Orem City Council,OR28,SHAUNTE RUIZ ZUNDEL,153
2021,municipal general,Council,At-Large,Orem City Council,OR28,QUINN MECHAM,135
2021,municipal general,Council,At-Large,Orem City Council,OR29,LANAE MILLETT,466
2021,municipal general,Council,At-Large,Orem City Council,OR29,DAVID M. SPENCER,412
2021,municipal general,Council,At-Large,Orem City Council,OR29,TOM MACDONALD,251
2021,municipal general,Council,At-Large,Orem City Council,OR29,QUINN MECHAM,158
2021,municipal general,Council,At-Large,Orem City Council,OR29,SHAUNTE RUIZ ZUNDEL,138
2021,municipal general,Council,At-Large,Orem City Council,OR30,LANAE MILLETT,283
2021,municipal general,Council,At-Large,Orem City Council,OR30,TOM MACDONALD,268
2021,municipal general,Council,At-Large,Orem City Council,OR30,DAVID M. SPENCER,249
2021,municipal general,Council,At-Large,Orem City Council,OR30,QUINN MECHAM,125
2021,municipal general,Council,At-Large,Orem City Council,OR30,SHAUNTE RUIZ ZUNDEL,101
2021,municipal general,Council,At-Large,Orem City Council,OR31,LANAE MILLETT,248
2021,municipal general,Council,At-Large,Orem City Council,OR31,DAVID M. SPENCER,242
2021,municipal general,Council,At-Large,Orem City Council,OR31,TOM MACDONALD,209
2021,municipal general,Council,At-Large,Orem City Council,OR31,QUINN MECHAM,174
2021,municipal general,Council,At-Large,Orem City Council,OR31,SHAUNTE RUIZ ZUNDEL,115
2021,municipal general,Council,At-Large,Orem City Council,OR32,LANAE MILLETT,223
2021,municipal general,Council,At-Large,Orem City Council,OR32,DAVID M. SPENCER,221
2021,municipal general,Council,At-Large,Orem City Council,OR32,TOM MACDONALD,212
2021,municipal general,Council,At-Large,Orem City Council,OR32,QUINN MECHAM,142
2021,municipal general,Council,At-Large,Orem City Council,OR32,SHAUNTE RUIZ ZUNDEL,73
2021,municipal general,Council,At-Large,Orem City Council,OR33,LANAE MILLETT,16
2021,municipal general,Council,At-Large,Orem City Council,OR33,DAVID M. SPENCER,15
2021,municipal general,Council,At-Large,Orem City Council,OR33,TOM MACDONALD,10
2021,municipal general,Council,At-Large,Orem City Council,OR33,QUINN MECHAM,5
2021,municipal general,Council,At-Large,Orem City Council,OR33,SHAUNTE RUIZ ZUNDEL,2
2021,municipal general,Council,At-Large,Orem City Council,OR34,LANAE MILLETT,144
2021,municipal general,Council,At-Large,Orem City Council,OR34,DAVID M. SPENCER,129
2021,municipal general,Council,At-Large,Orem City Council,OR34,SHAUNTE RUIZ ZUNDEL,109
2021,municipal general,Council,At-Large,Orem City Council,OR34,TOM MACDONALD,70
2021,municipal general,Council,At-Large,Orem City Council,OR34,QUINN MECHAM,66
2021,municipal general,Council,At-Large,Orem City Council,OR35,LANAE MILLETT,240
2021,municipal general,Council,At-Large,Orem City Council,OR35,DAVID M. SPENCER,238
2021,municipal general,Council,At-Large,Orem City Council,OR35,QUINN MECHAM,112
2021,municipal general,Council,At-Large,Orem City Council,OR35,SHAUNTE RUIZ ZUNDEL,109
2021,municipal general,Council,At-Large,Orem City Council,OR35,TOM MACDONALD,103
2021,municipal general,Council,At-Large,Orem City Council,OR36,LANAE MILLETT,264
2021,municipal general,Council,At-Large,Orem City Council,OR36,DAVID M. SPENCER,253
2021,municipal general,Council,At-Large,Orem City Council,OR36,TOM MACDONALD,252
2021,municipal general,Council,At-Large,Orem City Council,OR36,QUINN MECHAM,118
2021,municipal general,Council,At-Large,Orem City Council,OR36,SHAUNTE RUIZ ZUNDEL,82
2021,municipal general,Council,At-Large,Orem City Council,OR37,LANAE MILLETT,186
2021,municipal general,Council,At-Large,Orem City Council,OR37,DAVID M. SPENCER,162
2021,municipal general,Council,At-Large,Orem City Council,OR37,TOM MACDONALD,103
2021,municipal general,Council,At-Large,Orem City Council,OR37,SHAUNTE RUIZ ZUNDEL,96
2021,municipal general,Council,At-Large,Orem City Council,OR37,QUINN MECHAM,86
2021,municipal general,Council,At-Large,Orem City Council,OR38,LANAE MILLETT,296
2021,municipal general,Council,At-Large,Orem City Council,OR38,DAVID M. SPENCER,252
2021,municipal general,Council,At-Large,Orem City Council,OR38,TOM MACDONALD,200
2021,municipal general,Council,At-Large,Orem City Council,OR38,SHAUNTE RUIZ ZUNDEL,99
2021,municipal general,Council,At-Large,Orem City Council,OR38,QUINN MECHAM,90
2021,municipal general,Council,At-Large,Orem City Council,OR39,LANAE MILLETT,96
2021,municipal general,Council,At-Large,Orem City Council,OR39,TOM MACDONALD,88
2021,municipal general,Council,At-Large,Orem City Council,OR39,DAVID M. SPENCER,87
2021,municipal general,Council,At-Large,Orem City Council,OR39,QUINN MECHAM,62
2021,municipal general,Council,At-Large,Orem City Council,OR39,SHAUNTE RUIZ ZUNDEL,50
2021,municipal general,Council,At-Large,Orem City Council,OR40,LANAE MILLETT,164
2021,municipal general,Council,At-Large,Orem City Council,OR40,DAVID M. SPENCER,145
2021,municipal general,Council,At-Large,Orem City Council,OR40,TOM MACDONALD,119
2021,municipal general,Council,At-Large,Orem City Council,OR40,SHAUNTE RUIZ ZUNDEL,93
2021,municipal general,Council,At-Large,Orem City Council,OR40,QUINN MECHAM,90
2021,municipal general,Council,At-Large,Orem City Council,OR41,DAVID M. SPENCER,223
2021,municipal general,Council,At-Large,Orem City Council,OR41,LANAE MILLETT,215
2021,municipal general,Council,At-Large,Orem City Council,OR41,TOM MACDONALD,189
2021,municipal general,Council,At-Large,Orem City Council,OR41,QUINN MECHAM,62
2021,municipal general,Council,At-Large,Orem City Council,OR41,SHAUNTE RUIZ ZUNDEL,52
2021,municipal general,Council,At-Large,Orem City Council,OR42,SHAUNTE RUIZ ZUNDEL,121
2021,municipal general,Council,At-Large,Orem City Council,OR42,LANAE MILLETT,117
2021,municipal general,Council,At-Large,Orem City Council,OR42,DAVID M. SPENCER,83
2021,municipal general,Council,At-Large,Orem City Council,OR42,QUINN MECHAM,83
2021,municipal general,Council,At-Large,Orem City Council,OR42,TOM MACDONALD,78
2021,municipal general,Council,At-Large,Orem City Council,OR42S,LANAE MILLETT,22
2021,municipal general,Council,At-Large,Orem City Council,OR42S,DAVID M. SPENCER,19
2021,municipal general,Council,At-Large,Orem City Council,OR42S,TOM MACDONALD,17
2021,municipal general,Council,At-Large,Orem City Council,OR42S,SHAUNTE RUIZ ZUNDEL,14
2021,municipal general,Council,At-Large,Orem City Council,OR42S,QUINN MECHAM,14
2021,municipal general,Council,At-Large,Orem City Council,OR43,LANAE MILLETT,289
2021,municipal general,Council,At-Large,Orem City Council,OR43,DAVID M. SPENCER,254
2021,municipal general,Council,At-Large,Orem City Council,OR43,TOM MACDONALD,193
2021,municipal general,Council,At-Large,Orem City Council,OR43,SHAUNTE RUIZ ZUNDEL,131
2021,municipal general,Council,At-Large,Orem City Council,OR43,QUINN MECHAM,123
2021,municipal general,Council,At-Large,Orem City Council,OR44,LANAE MILLETT,204
2021,municipal general,Council,At-Large,Orem City Council,OR44,DAVID M. SPENCER,163
2021,municipal general,Council,At-Large,Orem City Council,OR44,TOM MACDONALD,130
2021,municipal general,Council,At-Large,Orem City Council,OR44,QUINN MECHAM,128
2021,municipal general,Council,At-Large,Orem City Council,OR44,SHAUNTE RUIZ ZUNDEL,114
2021,municipal general,Council,At-Large,Orem City Council,OR45,LANAE MILLETT,185
2021,municipal general,Council,At-Large,Orem City Council,OR45,DAVID M. SPENCER,183
2021,municipal general,Council,At-Large,Orem City Council,OR45,TOM MACDONALD,146
2021,municipal general,Council,At-Large,Orem City Council,OR45,QUINN MECHAM,87
2021,municipal general,Council,At-Large,Orem City Council,OR45,SHAUNTE RUIZ ZUNDEL,85
2021,municipal general,Council,At-Large,Orem City Council,OR46,LANAE MILLETT,207
2021,municipal general,Council,At-Large,Orem City Council,OR46,DAVID M. SPENCER,193
2021,municipal general,Council,At-Large,Orem City Council,OR46,QUINN MECHAM,135
2021,municipal general,Council,At-Large,Orem City Council,OR46,TOM MACDONALD,124
2021,municipal general,Council,At-Large,Orem City Council,OR46,SHAUNTE RUIZ ZUNDEL,119
2021,municipal general,Council,At-Large,Orem City Council,OR47,LANAE MILLETT,287
2021,municipal general,Council,At-Large,Orem City Council,OR47,DAVID M. SPENCER,234
2021,municipal general,Council,At-Large,Orem City Council,OR47,TOM MACDONALD,174
2021,municipal general,Council,At-Large,Orem City Council,OR47,SHAUNTE RUIZ ZUNDEL,154
2021,municipal general,Council,At-Large,Orem City Council,OR47,QUINN MECHAM,148
2021,municipal general,Council,At-Large,Orem City Council,OR47S,DAVID M. SPENCER,24
2021,municipal general,Council,At-Large,Orem City Council,OR47S,LANAE MILLETT,19
2021,municipal general,Council,At-Large,Orem City Council,OR47S,TOM MACDONALD,15
2021,municipal general,Council,At-Large,Orem City Council,OR47S,SHAUNTE RUIZ ZUNDEL,11
2021,municipal general,Council,At-Large,Orem City Council,OR47S,QUINN MECHAM,8
2021,municipal general,Council,At-Large,Orem City Council,OR48,LANAE MILLETT,120
2021,municipal general,Council,At-Large,Orem City Council,OR48,DAVID M. SPENCER,109
2021,municipal general,Council,At-Large,Orem City Council,OR48,TOM MACDONALD,71
2021,municipal general,Council,At-Large,Orem City Council,OR48,QUINN MECHAM,36
2021,municipal general,Council,At-Large,Orem City Council,OR48,SHAUNTE RUIZ ZUNDEL,21
2021,municipal general,Council,At-Large,Orem City Council,OR49,DAVID M. SPENCER,234
2021,municipal general,Council,At-Large,Orem City Council,OR49,LANAE MILLETT,233
2021,municipal general,Council,At-Large,Orem City Council,OR49,TOM MACDONALD,147
2021,municipal general,Council,At-Large,Orem City Council,OR49,QUINN MECHAM,130
2021,municipal general,Council,At-Large,Orem City Council,OR49,SHAUNTE RUIZ ZUNDEL,90
2021,municipal general,Council,At-Large,Orem City Council,OR50,TOM MACDONALD,249
2021,municipal general,Council,At-Large,Orem City Council,OR50,DAVID M. SPENCER,219
2021,municipal general,Council,At-Large,Orem City Council,OR50,LANAE MILLETT,213
2021,municipal general,Council,At-Large,Orem City Council,OR50,QUINN MECHAM,158
2021,municipal general,Council,At-Large,Orem City Council,OR50,SHAUNTE RUIZ ZUNDEL,124
2021,municipal general,Mayor,,Orem Mayor,OR01,DAVID A. YOUNG,268
2021,municipal general,Mayor,,Orem Mayor,OR01,JIM EVANS,158
2021,municipal general,Mayor,,Orem Mayor,OR02,DAVID A. YOUNG,132
2021,municipal general,Mayor,,Orem Mayor,OR02,JIM EVANS,67
2021,municipal general,Mayor,,Orem Mayor,OR03,DAVID A. YOUNG,295
2021,municipal general,Mayor,,Orem Mayor,OR03,JIM EVANS,140
2021,municipal general,Mayor,,Orem Mayor,OR04,DAVID A. YOUNG,157
2021,municipal general,Mayor,,Orem Mayor,OR04,JIM EVANS,107
2021,municipal general,Mayor,,Orem Mayor,OR05,DAVID A. YOUNG,412
2021,municipal general,Mayor,,Orem Mayor,OR05,JIM EVANS,256
2021,municipal general,Mayor,,Orem Mayor,OR06,DAVID A. YOUNG,207
2021,municipal general,Mayor,,Orem Mayor,OR06,JIM EVANS,125
2021,municipal general,Mayor,,Orem Mayor,OR07,DAVID A. YOUNG,272
2021,municipal general,Mayor,,Orem Mayor,OR07,JIM EVANS,183
2021,municipal general,Mayor,,Orem Mayor,OR08,DAVID A. YOUNG,212
2021,municipal general,Mayor,,Orem Mayor,OR08,JIM EVANS,67
2021,municipal general,Mayor,,Orem Mayor,OR09,DAVID A. YOUNG,110
2021,municipal general,Mayor,,Orem Mayor,OR09,JIM EVANS,55
2021,municipal general,Mayor,,Orem Mayor,OR10,JIM EVANS,213
2021,municipal general,Mayor,,Orem Mayor,OR10,DAVID A. YOUNG,78
2021,municipal general,Mayor,,Orem Mayor,OR11,DAVID A. YOUNG,300
2021,municipal general,Mayor,,Orem Mayor,OR11,JIM EVANS,159
2021,municipal general,Mayor,,Orem Mayor,OR12,DAVID A. YOUNG,76
2021,municipal general,Mayor,,Orem Mayor,OR12,JIM EVANS,57
2021,municipal general,Mayor,,Orem Mayor,OR13,DAVID A. YOUNG,132
2021,municipal general,Mayor,,Orem Mayor,OR13,JIM EVANS,99
2021,municipal general,Mayor,,Orem Mayor,OR14,DAVID A. YOUNG,56
2021,municipal general,Mayor,,Orem Mayor,OR14,JIM EVANS,50
2021,municipal general,Mayor,,Orem Mayor,OR15,DAVID A. YOUNG,181
2021,municipal general,Mayor,,Orem Mayor,OR15,JIM EVANS,104
2021,municipal general,Mayor,,Orem Mayor,OR16,DAVID A. YOUNG,207
2021,municipal general,Mayor,,Orem Mayor,OR16,JIM EVANS,73
2021,municipal general,Mayor,,Orem Mayor,OR17,JIM EVANS,171
2021,municipal general,Mayor,,Orem Mayor,OR17,DAVID A. YOUNG,170
2021,municipal general,Mayor,,Orem Mayor,OR18,DAVID A. YOUNG,117
2021,municipal general,Mayor,,Orem Mayor,OR18,JIM EVANS,106
2021,municipal general,Mayor,,Orem Mayor,OR19,DAVID A. YOUNG,228
2021,municipal general,Mayor,,Orem Mayor,OR19,JIM EVANS,143
2021,municipal general,Mayor,,Orem Mayor,OR20,JIM EVANS,244
2021,municipal general,Mayor,,Orem Mayor,OR20,DAVID A. YOUNG,151
2021,municipal general,Mayor,,Orem Mayor,OR21,DAVID A. YOUNG,184
2021,municipal general,Mayor,,Orem Mayor,OR21,JIM EVANS,152
2021,municipal general,Mayor,,Orem Mayor,OR22,DAVID A. YOUNG,290
2021,municipal general,Mayor,,Orem Mayor,OR22,JIM EVANS,193
2021,municipal general,Mayor,,Orem Mayor,OR23,DAVID A. YOUNG,341
2021,municipal general,Mayor,,Orem Mayor,OR23,JIM EVANS,155
2021,municipal general,Mayor,,Orem Mayor,OR24,DAVID A. YOUNG,303
2021,municipal general,Mayor,,Orem Mayor,OR24,JIM EVANS,208
2021,municipal general,Mayor,,Orem Mayor,OR25,DAVID A. YOUNG,169
2021,municipal general,Mayor,,Orem Mayor,OR25,JIM EVANS,99
2021,municipal general,Mayor,,Orem Mayor,OR26,DAVID A. YOUNG,273
2021,municipal general,Mayor,,Orem Mayor,OR26,JIM EVANS,52
2021,municipal general,Mayor,,Orem Mayor,OR27,DAVID A. YOUNG,233
2021,municipal general,Mayor,,Orem Mayor,OR27,JIM EVANS,112
2021,municipal general,Mayor,,Orem Mayor,OR28,DAVID A. YOUNG,286
2021,municipal general,Mayor,,Orem Mayor,OR28,JIM EVANS,122
2021,municipal general,Mayor,,Orem Mayor,OR29,DAVID A. YOUNG,405
2021,municipal general,Mayor,,Orem Mayor,OR29,JIM EVANS,178
2021,municipal general,Mayor,,Orem Mayor,OR30,JIM EVANS,236
2021,municipal general,Mayor,,Orem Mayor,OR30,DAVID A. YOUNG,203
2021,municipal general,Mayor,,Orem Mayor,OR31,DAVID A. YOUNG,210
2021,municipal general,Mayor,,Orem Mayor,OR31,JIM EVANS,183
2021,municipal general,Mayor,,Orem Mayor,OR32,DAVID A. YOUNG,186
2021,municipal general,Mayor,,Orem Mayor,OR32,JIM EVANS,155
2021,municipal general,Mayor,,Orem Mayor,OR33,DAVID A. YOUNG,9
2021,municipal general,Mayor,,Orem Mayor,OR33,JIM EVANS,8
2021,municipal general,Mayor,,Orem Mayor,OR34,DAVID A. YOUNG,125
2021,municipal general,Mayor,,Orem Mayor,OR34,JIM EVANS,79
2021,municipal general,Mayor,,Orem Mayor,OR35,DAVID A. YOUNG,257
2021,municipal general,Mayor,,Orem Mayor,OR35,JIM EVANS,89
2021,municipal general,Mayor,,Orem Mayor,OR36,JIM EVANS,314
2021,municipal general,Mayor,,Orem Mayor,OR36,DAVID A. YOUNG,88
2021,municipal general,Mayor,,Orem Mayor,OR37,DAVID A. YOUNG,170
2021,municipal general,Mayor,,Orem Mayor,OR37,JIM EVANS,78
2021,municipal general,Mayor,,Orem Mayor,OR38,DAVID A. YOUNG,227
2021,municipal general,Mayor,,Orem Mayor,OR38,JIM EVANS,132
2021,municipal general,Mayor,,Orem Mayor,OR39,DAVID A. YOUNG,87
2021,municipal general,Mayor,,Orem Mayor,OR39,JIM EVANS,66
2021,municipal general,Mayor,,Orem Mayor,OR40,DAVID A. YOUNG,149
2021,municipal general,Mayor,,Orem Mayor,OR40,JIM EVANS,103
2021,municipal general,Mayor,,Orem Mayor,OR41,JIM EVANS,144
2021,municipal general,Mayor,,Orem Mayor,OR41,DAVID A. YOUNG,138
2021,municipal general,Mayor,,Orem Mayor,OR42,DAVID A. YOUNG,119
