ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,n_motion_events,independent_source,minutes_source,linkage_note
2020-09,2020-03-10,2020-03-10,"An ordinance of Ogden City amending the budget for the Fiscal Year July 1, 2019 to June 30, 2020 by increasing the anticipated revenues for a gross increase of$250,000 from sources as detailed in the body of this ordinance; and increasing the appropriations for a gross increase of $250,000 as detailed in the body of this ordinance; and providing that this ordinance shall become effective immediately upon posting after fmal passage.",meeting_minutes/minutes/2020/2020-03-09/2020-03-10_city-council-special-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,5-2 Pass,2020-03-10,4,within_source,1,,meeting_minutes/minutes/2020/2020-03-09/2020-03-10_city-council-special-meeting.md,
2020-10,2020-05-26,2020-05-26,An ordinance of Ogden City amending the FY 2020-2024 Capital Improvement Plan by adding project AR005 for restaurant repairs at the Ogden Hinckley Airp01t; and providing that this ordinance shall become effective immediately upon posting after final passage.,meeting_minutes/minutes/2020/2020-05-25/2020-05-26_city-council-meeting-2.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,6-0 Pass,2020-05-26,4,within_source,1,,meeting_minutes/minutes/2020/2020-05-25/2020-05-26_city-council-meeting-2.md,
2020-11,2020-05-26,2020-05-26,"An ordinance of Ogden City amending the budget for the Fiscal Year July 1, 2019 to June 30, 2020 by increasing the anticipated revenues for a gross increase of $320,000 from sources as detailed in the body of this ordinance; and increasing the appropriations for a gross increase of$320,000; and providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2020/2020-05-25/2020-05-26_city-council-meeting-2.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,5-1 Pass,2020-05-26,5,within_source,1,,meeting_minutes/minutes/2020/2020-05-25/2020-05-26_city-council-meeting-2.md,
2020-12,2020-04-07,2020-04-07,"An ordinance of Ogden City amending the budget for the Fiscal Year July 1, 2019 to June 30, 2020 by increasing the anticipated revenues for a gross increase of $1,000,000 from sources as detailed in the body of this ordinance; and increasing the appropriations for a gross increase of $1,000,000 as detailed in the body of this ordinance; and providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2020/2020-04-06/2020-04-07_city-council-meeting-2.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,6-0 Pass,2020-04-07,3,within_source,1,,meeting_minutes/minutes/2020/2020-04-06/2020-04-07_city-council-meeting-2.md,
2020-13,2020-04-21,2020-04-21,"An ordinance of Ogden City amending the budget for the Fiscal Year July 1, 2019 to June 30, 2020 by increasing the anticipated revenues for a gross increase of$2,147,800 from sources as detailed in the body of this ordinance; and increasing the appropriations for a gross increase of $2,147,800 as detailed in the body of this ordinance; and providing that this ordinance shall become effective immediately upon posting after fmal passage.",meeting_minutes/minutes/2020/2020-04-20/2020-04-21_city-council-meeting-2.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,7-0 Pass,2020-04-21,4,within_source,1,,meeting_minutes/minutes/2020/2020-04-20/2020-04-21_city-council-meeting-2.md,
2020-14,2020-04-28,2020-04-28,"An ordinance of Ogden City amending the budget for the Fiscal Year July 1, 2019 to June 30, 2020 by increasing the anticipated revenues for a gross increase of$778,l 75 from sources as detailed in the body of this ordinance; and increasing the appropriations for a gross increase of $778,175 as detailed in the body of this ordinance; and providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2020/2020-04-27/2020-04-28_city-council-meeting-2.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,7-0 Pass,2020-04-28,4,within_source,1,,meeting_minutes/minutes/2020/2020-04-27/2020-04-28_city-council-meeting-2.md,
2020-15,2020-04-28,2020-04-28,"MOVED TO AMEND ORDINANCE 2020-15 BY ADDING PROJECT RG003 TO THECIP, WITHENCOURAGMENTFORADMINISTRATIONTOREDUCETHE24-MONTHTIMELINEFORTHE PROJECT, AND REMOVING FI032 FROM THE CIP, AND TO ADOPT SAID ORDINANCE. MOTION WAS SEC",meeting_minutes/minutes/2020/2020-04-27/2020-04-28_city-council-meeting-2.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,5-2 Pass,2020-04-28,8,within_source,1,,meeting_minutes/minutes/2020/2020-04-27/2020-04-28_city-council-meeting-2.md,no subject bracket in source; title = verbatim adoption-motion sentence
2020-16,2020-05-12,2020-05-12,"An ordinance of Ogden City amending the budget for the Fiscal Year July 1, 2019 to June 30, 2020 by increasing the anticipated revenues for a gross increase of$273,925 from sources as detailed in the body of this ordinance; and increasing the appropriations for a gross increase of$273,925 as detailed in the body of this ordinance; and providing that this ordinance shall become effective immediately upon posting after fmal passage.",meeting_minutes/minutes/2020/2020-05-11/2020-05-12_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,Voice Pass,2020-05-12,6,within_source,1,,meeting_minutes/minutes/2020/2020-05-11/2020-05-12_city-council-meeting.md,
2020-17,2020-06-02,2020-06-02,"An ordinance of Ogden City, Utah adopting the proposed tentative budget of Ogden City for Fiscal Year 2020- 2021.",meeting_minutes/minutes/2020/2020-06-01/2020-06-02_city-council-meeting-2.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,6-0 Pass,2020-06-02,3,within_source,1,,meeting_minutes/minutes/2020/2020-06-01/2020-06-02_city-council-meeting-2.md,
2020-18,2020-05-12,2020-05-12,"An ordinance of Ogden City, Utah, amending the Ogden Municipal Code by amending Section 15-22-1 to increase the maximum building height in the DDR zone; and by providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2020/2020-05-11/2020-05-12_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,yes,7-0 Pass,2020-05-12,7,within_source,1,,meeting_minutes/minutes/2020/2020-05-11/2020-05-12_city-council-meeting.md,
2020-20,2020-06-23,2020-06-23,"An ordinance of Ogden City, Utah, adopting salary schedules for all employees of the City; and providing that this ordinance will be effective on July 1, 2020.",meeting_minutes/minutes/2020/2020-06-22/2020-06-23_city-council-meeting-2.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,6-0 Pass,2020-06-23,3,within_source,1,,meeting_minutes/minutes/2020/2020-06-22/2020-06-23_city-council-meeting-2.md,
2020-21,2020-07-07,2020-07-07,"An ordinance of Ogden City, Utah, amending the Ogden Municipal Code by amending Subsection 4- 6-1.A to revise fees pertaining to the Planning Division; and by providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2020/2020-07-06/2020-07-07_city-council-meeting-2.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,7-0 Pass,2020-07-07,3,within_source,1,,meeting_minutes/minutes/2020/2020-07-06/2020-07-07_city-council-meeting-2.md,
2020-22,2020-07-07,2020-07-07,"An ordinance of Ogden City, Utah, amending the Ogden Municipal Code by amending Subsection 4- 6-1.C to revise bum permit fees; and by providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2020/2020-07-06/2020-07-07_city-council-meeting-2.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,7-0 Pass,2020-07-07,5,within_source,1,,meeting_minutes/minutes/2020/2020-07-06/2020-07-07_city-council-meeting-2.md,
2020-23,2020-07-07,2020-07-07,"An ordinance of Ogden City, Utah amending the Ogden Municipal Code by amending Section 8-5-2 to revise lease rates and definitions at the Airport; and by providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2020/2020-07-06/2020-07-07_city-council-meeting-2.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,7-0 Pass,2020-07-07,9,within_source,1,,meeting_minutes/minutes/2020/2020-07-06/2020-07-07_city-council-meeting-2.md,
2020-24,2020-06-23,2020-06-23,"An ordinance of Ogden City, Utah, amendingtheOgdenMunicipal Code by amending Sections 15-2-4, 15-2- 5, 15-2-7,15-2-13,15-2-17,15-2-19,15-2-21,15-6-3, 15-12-3,15-13-13, 15-21-2,15-24-4, 15-33-2, 15-33-5, 15-34-2, 15-38-5, 15-39-3, and 15-41-7 to update City Ordinance regarding taverns and other drinking establishments; and by providing that this ordinance shall become effective immediately upon posting after fmal passage.",meeting_minutes/minutes/2020/2020-06-22/2020-06-23_city-council-meeting-2.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,5-1 Pass,2020-06-23,8,within_source,1,,meeting_minutes/minutes/2020/2020-06-22/2020-06-23_city-council-meeting-2.md,
2020-25,2020-06-23,2020-06-23,"An ordinance of Ogden City, Utah, amending the Ogden Municipal Code by amending Section 15-21-2 to amend the uses allowed in the Business Exchange Historical (BEH) Zone including onsite sales, events, drinking establishments, and cabarets; by amending Subsection 15-23-5 .J and 15-23-5 .K to amend definitions relating to the Business Historical Zone (BEH); amending Section 15-23-5 by adopting anew Subsection R to define accessory sales of products in the BEH Zone; and by providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2020/2020-06-22/2020-06-23_city-council-meeting-2.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,yes,6-0 Pass,2020-06-23,9,within_source,1,,meeting_minutes/minutes/2020/2020-06-22/2020-06-23_city-council-meeting-2.md,
2020-26,2020-08-18,2020-08-18,"An ordinance of Ogden City, Utah, amending the Ogden City General Plan by amending the airpmtportion of the Transportation Element; and providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2020/2020-08-17/2020-08-18_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,yes,6-0 Pass,2020-08-18,8,within_source,2,,meeting_minutes/minutes/2020/2020-08-17/2020-08-18_city-council-meeting.md,"number cited in passing motions on multiple dates: 2020-06-23, 2020-08-18; chose 2020-08-18"
2020-28,2020-07-07,2020-07-07,"An ordinance of Ogden City, Utah, designating the Stone Farmhouse, located at 301 West 2nd Street, as a historic resource; and providing that this ordinance shall become effective immediately upon posting after fmal passage.",meeting_minutes/minutes/2020/2020-07-06/2020-07-07_city-council-meeting-2.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,7-0 Pass,2020-07-07,11,within_source,1,,meeting_minutes/minutes/2020/2020-07-06/2020-07-07_city-council-meeting-2.md,
2020-29,2020-07-07,2020-07-07,"An ordinance of Ogden City, Utah, amending the Zoning Map of Ogden City, as adopted by Section 15-3-3 of the Ogden Municipal Code, to reclassify as Community Commercial Zone (C-2) property heretofore classified as Multiple Family Residential Zone (R-3), generally located at 4400 South HaITison Boulevard, and providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2020/2020-07-06/2020-07-07_city-council-meeting-2.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,yes,6-0 Pass,2020-07-07,12,within_source,1,,meeting_minutes/minutes/2020/2020-07-06/2020-07-07_city-council-meeting-2.md,
2020-30,2020-08-11,2020-08-11,"An ordinance of Ogden City, Utah amending the Ogden City General Plan by approving and adopting the Southeast Ogden Community Plan; and providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2020/2020-08-10/2020-08-11_city-council-special-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,yes,6-1 Pass,2020-08-11,3,within_source,1,,meeting_minutes/minutes/2020/2020-08-10/2020-08-11_city-council-special-meeting.md,
2020-31,2020-08-18,2020-08-18,"An ordinance of Ogden City amending the budget for the Fiscal Year July 1, 2020 to June 30, 2021 by increasing the anticipated revenues for a gross increase of $305,000 from sources as detailed in the body of this ordinance; and increasing the appropriations for a gross increase of $305,000 as detailed in the body of this ordinance; and providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2020/2020-08-17/2020-08-18_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,6-0 Pass,2020-08-18,5,within_source,1,,meeting_minutes/minutes/2020/2020-08-17/2020-08-18_city-council-meeting.md,
2020-32,2020-08-04,2020-08-04,"An ordinance of Ogden City, Utah, amending the zoning map of Ogden City, as adopted by Section 15-3-3 of the Ogden Municipal Code, to reclassify as manufacturing and industrial zone (M-2) property heretofore classified as single family residential zone (R-1-6), generally located at 1400 West and 1475 West Midland Drive, and providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2020/2020-08-03/2020-08-04_city-council-meeting-2.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,yes,7-0 Pass,2020-08-04,6,within_source,1,,meeting_minutes/minutes/2020/2020-08-03/2020-08-04_city-council-meeting-2.md,
2020-33,2020-08-04,2020-08-04,"An ordinance of Ogden City, Utah, amending the Ogden Municipal Code by amending Subsections 15-15-5.B, 15-35-5 .B, and 15-36-5.B to modify the building design standards for accessory buildings under 200 square feet in the East Central Community; and by providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2020/2020-08-03/2020-08-04_city-council-meeting-2.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,7-0 Pass,2020-08-04,7,within_source,1,,meeting_minutes/minutes/2020/2020-08-03/2020-08-04_city-council-meeting-2.md,
2020-34,2020-08-04,2020-08-04,"An ordinance of Ogden City, Utah, amending the Ogden Municipal Code by amending Subsection 15-39-8.A to revise square footage for townhomes in the Mixed-Use (MU) Zone; and by providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2020/2020-08-03/2020-08-04_city-council-meeting-2.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,yes,7-0 Pass,2020-08-04,8,within_source,1,,meeting_minutes/minutes/2020/2020-08-03/2020-08-04_city-council-meeting-2.md,
2020-35,2020-09-01,2020-09-01,"An ordinance of Ogden City, Utah vacating a portion of Monroe Boulevard at about 3317 South; retaining ownership of the property within the vacated pmtion of said street; reserving a right-of-way for all utilities that may now exist in said portion of such street; authorizing the Mayor to hold the vacated portion for sale; directing the City Recorder to record this ordinance in the office of the County Recorder; and providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2020/2020-08-31/2020-09-01_city-council-meeting-2.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,yes,5-0 Pass,2020-09-01,2,within_source,1,,meeting_minutes/minutes/2020/2020-08-31/2020-09-01_city-council-meeting-2.md,
2020-37,2020-08-18,2020-08-18,"An ordinance of Ogden City, Utah, approving an amended Development Agreement for land generally located at 100 West 2nd Street to recognize Parkridge, Inc. as the Developer; and providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2020/2020-08-17/2020-08-18_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,6-0 Pass,2020-08-18,7,within_source,1,,meeting_minutes/minutes/2020/2020-08-17/2020-08-18_city-council-meeting.md,
2020-39,2020-09-01,2020-09-01,"An ordinance of Ogden City, Utah, amending the Ogden Municipal Code by amending Sections 15-2-17, 15- 3-24, 15-21-2, and 15-23-5; amending Subsections 15-12-3.A, 15-25-5.F, 15-38-5.P, and 15-38-5.Wtorevise warehousing and personal storage uses; and by providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2020/2020-08-31/2020-09-01_city-council-meeting-2.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,5-0 Pass,2020-09-01,3,within_source,1,,meeting_minutes/minutes/2020/2020-08-31/2020-09-01_city-council-meeting-2.md,
2020-47,2020-10-06,2020-10-06,"An ordinance of Ogden City, Utah, amending the Ogden Municipal Code by amending Sections 15-12-3, 15- 38-2, and 15-38-5 to revise provisions regarding apartment dwellings in commercial zones; adopting a new Subsection F of Section 15-38-4 to revise provisions regarding apartment dwellings in commercial zones; and by providing that this ordinance shall become effective immediately upon posting after fmal passage.",meeting_minutes/minutes/2020/2020-10-05/2020-10-06_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,7-0 Pass,2020-10-06,9,within_source,1,,meeting_minutes/minutes/2020/2020-10-05/2020-10-06_city-council-meeting.md,
2020-48,2020-10-06,2020-10-06,"An ordinance of Ogden City, Utah, amending the Ogden Municipal Code by amending Chapter 10 of Title 15 to revise provisions regarding group dwellings; and by providing that this ordinance shall become effective immediately upon posting after fmal passage.",meeting_minutes/minutes/2020/2020-10-05/2020-10-06_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,7-0 Pass,2020-10-06,10,within_source,1,,meeting_minutes/minutes/2020/2020-10-05/2020-10-06_city-council-meeting.md,
2020-49,2020-10-20,2020-10-20,"An ordinance of Ogden City amending the budget for the Fiscal Year July 1, 2020 to June 30, 2021 by increasing the anticipated revenues for a gross increase of$600,000 from sources as detailed in the body of this ordinance; and increasing the appropriations for a gross increase of $600,000 as detailed in the body of this ordinance; and providing that this ordinance shall become effective irmnediately upon posting after final passage.",meeting_minutes/minutes/2020/2020-10-19/2020-10-20_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,7-0 Pass,2020-10-20,7,within_source,1,,meeting_minutes/minutes/2020/2020-10-19/2020-10-20_city-council-meeting.md,
2020-50,2020-10-20,2020-10-20,"An ordinance of Ogden City amending the budget for the Fiscal Year July 1, 2020 to June 30, 2021 by increasing the anticipated revenues for a gross increase of$876,999 from sources as detailed in the body of this ordinance; and increasing the appropriations for a gross increase of $876,999 as detailed in the body of this ordinance; and providing that this ordinance will become effective immediately upon posting after final passage.",meeting_minutes/minutes/2020/2020-10-19/2020-10-20_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,7-0 Pass,2020-10-20,3,within_source,1,,meeting_minutes/minutes/2020/2020-10-19/2020-10-20_city-council-meeting.md,
2020-51,2020-10-20,2020-10-20,"An ordinance of Ogden City amending the budget for the Fiscal Year July 1, 2020 to June 30, 2021 by increasing the anticipated revenues for a gross increase of $346,762 from sources as detailed in the body of this ordinance; and increasing the appropriations for a gross increase of $346,762 as detailed in the body of this ordinance; and providing that this ordinance will become effective immediately upon posting after final passage.",meeting_minutes/minutes/2020/2020-10-19/2020-10-20_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,6-0 Pass,2020-10-20,5,within_source,1,,meeting_minutes/minutes/2020/2020-10-19/2020-10-20_city-council-meeting.md,
2020-52,2020-11-10,2020-11-10,An ordinance of Ogden City amending the FY 2021-2025 Capital Improvement Plan by adding project WU00 1 for replacement of aging water meters and hardware systems; and providing that this ordinance shall become effective upon posting after final passage.,meeting_minutes/minutes/2020/2020-11-09/2020-11-10_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,6-0 Pass,2020-11-10,4,within_source,1,,meeting_minutes/minutes/2020/2020-11-09/2020-11-10_city-council-meeting.md,
2020-54,2020-10-20,2020-10-20,"An ordinance of Ogden City, Utah, amending the Ogden Municipal Code by amending Chapter 14 of Title 3 to revise provisions relating to the Marshall N. White Center Advisory Committee; and by providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2020/2020-10-19/2020-10-20_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,6-0 Pass,2020-10-20,8,within_source,1,,meeting_minutes/minutes/2020/2020-10-19/2020-10-20_city-council-meeting.md,
2020-55,2020-11-10,2020-11-10,"An ordinance of Ogden City, Utah, amending the Ogden Municipal Code by amending Section 15-2-13; amending Subsections 15-4-5.A, 15-4-5.E, 15-12-2.B, 15-12-8.G, 15-12-9.C, and 15-13-16.A to incorporate low impact development standards; and by providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2020/2020-11-09/2020-11-10_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,yes,6-0 Pass,2020-11-10,5,within_source,1,,meeting_minutes/minutes/2020/2020-11-09/2020-11-10_city-council-meeting.md,
2020-56,2020-11-17,2020-11-17,"An ordinance of Ogden City amending the budget for the Fiscal Year July 1, 2020 to June 30, 2021 by increasing the anticipated revenues for a gross increase of$6,612,850 from sources as detailed in the body of this ordinance; and increasing the appropriations for a gross increase of$6,612,850 as detailed in the body of this ordinance; and providing that this ordinance shall become effective itmnediately upon posting after final passage.",meeting_minutes/minutes/2020/2020-11-16/2020-11-17_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,6-0 Pass,2020-11-17,5,within_source,1,,meeting_minutes/minutes/2020/2020-11-16/2020-11-17_city-council-meeting.md,
