date,body,motion_no,motion,result,mover,seconder,names_recorded
2025-01-21,PlanningCommission,11,Motion to close nominations.,"The motion passed with the following vote: ""Aye"" Glen Roberts, Chris Herrod, Shayne Pierce, Lorraine Davis, Robert McMullin, Karen Ellingson, Sullivan Love. ""Nay"" none.",Glen Roberts,Chris Herrod,true
2025-01-21,PlanningCommission,12,Motion to nominate and elect Glen Roberts as a vice-chair.,"The motion passed with the following vote: ""Aye"" Glen Roberts, Chris Herrod, Shayne Pierce, Lorraine Davis, Robert McMullin, Karen Ellingson, Sullivan Love. ""Nay"" none.",Robert McMullin,Lorraine Davis,true
2025-02-18,PlanningCommission,1,"Motion to approve the minutes of the January 21, 2025, meeting of the Utah County Planning Commission.","The motion passed with the following vote: ""Aye"" Seth Cox, Shayne Pierce, Lorraine Davis, Sullivan Love, Karen Ellingson. ""Nay"" none.",Sullivan Love,Lorraine Davis,true
2025-02-18,PlanningCommission,2,Motion to open the public hearing.,"The motion passed with the following vote: ""Aye"" Seth Cox, Shayne Pierce, Lorraine Davis, Sullivan Love, Karen Ellingson, Chris Herrod. ""Nay"" none.",Karen Ellingson,Lorraine Davis,true
2025-02-18,PlanningCommission,3,Motion to recommend denial.,"The motion passed with the following vote: ""Aye"" Seth Cox, Shayne Pierce, Lorraine Davis, Sullivan Love, Karen Ellingson. ""Nay"" Chris Herrod.",Karen Ellingson,Sullivan Love,true
2025-02-18,PlanningCommission,4,"Motion to recommend approval with modifications as specified in the staff report and as presented, along with any applicable renumbering and reformatting in each section based on the findings listed in the staff report.","The motion passed with the following vote: ""Aye"" Seth Cox, Shayne Pierce, Lorraine Davis, Sullivan Love, Karen Ellingson, Chris Herrod. ""Nay"" none.",Karen Ellingson,Sullivan Love,true
2025-02-18,PlanningCommission,5,"Motion to recommend approval including listed parcels, currently designated as Critical Environment (CE-1) zone to be designated as Residential Agricultural (RA-5) zone based on the findings specified in the staff report under Subsection 4.","The motion passed with the following vote: ""Aye"" Seth Cox, Shayne Pierce, Lorraine Davis, Sullivan Love, Karen Ellingson, Chris Herrod. ""Nay"" none.",Seth Cox,Karen Ellingson,true
2025-02-18,PlanningCommission,6,Motion to close the public hearing.,"The motion passed with the following vote: ""Aye"" Seth Cox, Shayne Pierce, Lorraine Davis, Sullivan Love, Karen Ellingson, Chris Herrod. ""Nay"" none.",Sullivan Love,Lorraine Davis,true
2025-03-18,PlanningCommission,1,Motion to nominate Karen Ellingson as the board chair for the meeting.,"The motion passed with the following vote: ""Aye"" Sullivan Love, Seth Cox, Karen Ellingson, Chris Herrod. ""Nay"" none.",Sullivan Love,Seth Cox,true
2025-03-18,PlanningCommission,2,"Motion to approve the minutes of the February 18, 2025, meeting of the Utah County Planning Commission.","The motion passed with the following vote: ""Aye"" Sullivan Love, Seth Cox, Karen Ellingson, Chris Herrod. ""Nay"" none.",Sullivan Love,Seth Cox,true
2025-03-18,PlanningCommission,3,Motion to open public comment.,"The motion passed with the following vote: ""Aye"" Sullivan Love, Seth Cox, Karen Ellingson, Chris Herrod. ""Nay"" none.",Chris Herrod,Sullivan Love,true
2025-03-18,PlanningCommission,4,"Motion to approve the extension of the termination date for appeal 1552, a conditional use request for ski lift access and associated mountain resort facilities, subject to staff findings included in Section 4 of the staff report and included conditions.","The motion passed with the following vote: ""Aye"" Sullivan Love, Seth Cox, Karen Ellingson, Chris Herrod. ""Nay"" none.",Chris Herrod,Seth Cox,true
2025-03-18,PlanningCommission,5,Motion to approve the request subject to staff findings and conditions.,"The motion passed with the following vote: ""Aye"" Sullivan Love, Seth Cox, Karen Ellingson, Chris Herrod. ""Nay"" none.",Seth Cox,Sullivan Love,true
2025-03-18,PlanningCommission,6,Motion to allow public comment.,"The motion passed with the following vote: ""Aye"" Sullivan Love, Seth Cox, Karen Ellingson, Chris Herrod. ""Nay"" none.",Seth Cox,Sullivan Love,true
2025-03-18,PlanningCommission,7,"Motion to approve subject to staff findings and conditions from the staff report with three additional conditions: that an access route be approved by public works, that adjacent jurisdictions be consulted when developing that access route, and that maintenance and restoration of any roads used for the construction of the facility.","The motion passed with the following vote: ""Aye"" Sullivan Love, Seth Cox, Karen Ellingson, Chris Herrod. ""Nay"" none.",Karen Ellingson,Sullivan Love,true
2025-03-18,PlanningCommission,8,Motion to take a five-minute recess.,"The motion passed with the following vote: ""Aye"" Sullivan Love, Seth Cox, Karen Ellingson, Chris Herrod. ""Nay"" none.",Karen Ellingson,Sullivan Love,true
2025-03-18,PlanningCommission,9,"Motion to approve the conditional use application, subject to staff findings included in section 4 of the staff report and conditions, items 1 through 9.","The motion passed with the following vote: ""Aye"" Sullivan Love, Seth Cox, Karen Ellingson, Chris Herrod. ""Nay"" none.",Karen Ellingson,Sullivan Love,true
2025-03-18,PlanningCommission,10,Motion to open the public hearing.,"The motion passed with the following vote: ""Aye"" Sullivan Love, Seth Cox, Karen Ellingson, Chris Herrod. ""Nay"" none.",Sullivan Love,Seth Cox,true
2025-03-18,PlanningCommission,11,Motion to close the public hearing.,"The motion passed with the following vote: ""Aye"" Sullivan Love, Seth Cox, Karen Ellingson, Chris Herrod. ""Nay"" none.",Sullivan Love,Chris Herrod,true
2025-03-18,PlanningCommission,12,Motion to approve the text amendment along with any applicable renumbering or reformatting based on the findings listed in Section 5 of the staff report.,"The motion passed with the following vote: ""Aye"" Sullivan Love, Seth Cox, Karen Ellingson, Chris Herrod. ""Nay"" none.",Sullivan Love,Seth Cox,true
2025-03-18,PlanningCommission,13,Motion to adjourn the meeting.,"The motion passed with the following vote: ""Aye"" Sullivan Love, Seth Cox, Karen Ellingson, Chris Herrod. ""Nay"" none.",Seth Cox,Sullivan Love,true
2025-05-20,PlanningCommission,1,"Motion to approve the minutes of the April 15, 2025, meeting of the Utah County Planning Commission.","The motion passed with the following vote: ""Aye"" Shayne Pierce, Robert McMullin, Karen Ellingson, Sullivan Love, Lorraine Davis. ""Nay"" none.",Robert McMullin,Sullivan Love,true
2025-05-20,PlanningCommission,2,"Motion to approve the conditional use permit application #CU2025-02, including nine conditions in staff recommendation.","The motion passed with the following vote: ""Aye"" Shayne Pierce, Robert McMullin, Karen Ellingson, Sullivan Love, Lorraine Davis. ""Nay"" none.",Robert McMullin,Sullivan Love,true
2025-05-20,PlanningCommission,3,"Motion to approve conditional use permit #CU2025-03 request for the height of proposed exhaust stacks to exceed 40 ft and water tank to exceed 20 ft as part of an electrical power generation facility subject to staff findings included in the staff report and the conditions items 1 through 9. With an amendment to condition 3, to include that the height of the water tank does not exceed 40 ft.","The motion passed with the following vote: ""Aye"" Shayne Pierce, Robert McMullin, Karen Ellingson, Sullivan Love, Lorraine Davis. ""Nay"" none.",Sullivan Love,Karen Ellingson,true
2025-05-20,PlanningCommission,4,"Motion to recommend approval to the Utah County Commission of the proposed creation of the Relief Mine Company 2025 Agriculture Protection Area for agriculture protection, which includes approximately 175 acres, based on the staff report and findings listed in the report.","The motion passed with the following vote: ""Aye"" Shayne Pierce, Robert McMullin, Karen Ellingson, Sullivan Love, Lorraine Davis. ""Nay"" none.",Robert McMullin,Karen Ellingson,true
2025-06-17,PlanningCommission,1,"Motion to approve the minutes of the May 20, 2025, meeting of the Utah County Planning Commission.","The motion passed with the following vote: ""Aye"" Shayne Pierce, Seth Cox, Karen Ellingson, Sullivan Love, Lorraine Davis. ""Nay"" none.",Sullivan Love,Lorraine Davis,true
2025-06-17,PlanningCommission,2,"Motion to approve the conditional use permit, #CU2025-04, a request for the height of a proposed telecommunication tower to exceed 100 ft, subject to staff findings, including the staff report and the conditions, as noted in the staff report.","The motion passed with the following vote: ""Aye"" Shayne Pierce, Seth Cox, Karen Ellingson, Sullivan Love, Lorraine Davis. ""Nay"" none.",Sullivan Love,Karen Ellingson,true
2025-06-17,PlanningCommission,3,Motion to open public hearing.,"The motions passed with the following vote: ""Aye"" Shayne Pierce, Seth Cox, Karen Ellingson, Sullivan Love, Lorraine Davis. ""Nay"" none.",Sullivan Love,Seth Cox,true
2025-06-17,PlanningCommission,4,Motion to close public hearing.,"The motions passed with the following vote: ""Aye"" Shayne Pierce, Seth Cox, Karen Ellingson, Sullivan Love, Lorraine Davis. ""Nay"" none.",Karen Ellingson,Sullivan Love,true
2025-06-17,PlanningCommission,5,"Motion to recommend approval to the Utah County Commission of the proposed amendments to Sections 12.12 and 12.16 of the Utah County Land Use Ordinance with modifications as specified in the staff report, along with any applicable renumbering and reformatting in each section based on the findings specified in the staff report under Subsection 5.","The motion passed with the following vote: ""Aye"" Shayne Pierce, Seth Cox, Karen Ellingson, Sullivan Love, Lorraine Davis. ""Nay"" none.",Seth Cox,Lorraine Davis,true
2025-08-19,PlanningCommission,1,"Motion to approve the minutes of the June 17, 2025, meeting of the Utah County Planning Commission.","The motion passed with the following vote: ""Aye"" Shayne Pierce, Seth Cox, Karen Ellingson, Sullivan Love, Glen Roberts, Robert McMullin. ""Nay"" none.",Robert McMullin,Karen Ellingson,true
2025-08-19,PlanningCommission,2,Motion to take a 10-minute recess.,"The motion passed with the following vote: ""Aye"" Shayne Pierce, Seth Cox, Karen Ellingson, Sullivan Love, Glen Roberts, Robert McMullin. ""Nay"" none.",Shayne Pierce,Karen Ellingson,true
2025-08-19,PlanningCommission,3,Motion to withhold the decision until the public utility brings forth evidence of notice to the affected parties pursuant to 54.18.304 of the Utah State Code.,"The motion passed with the following vote: ""Aye"" Seth Cox, Karen Ellingson, Sullivan Love, Glen Roberts, Robert McMullin. ""Nay"" Shayne Pierce.",Glen Roberts,Sullivan Love,true
2025-08-19,PlanningCommission,4,Motion to approve the application and adopt five findings by the staff.,"The motion passed with the following vote: ""Aye"" Shayne Pierce, Seth Cox, Karen Ellingson, Sullivan Love, Glen Roberts, Robert McMullin. ""Nay"" none.",Glen Roberts,Robert McMullin,true
2025-08-19,PlanningCommission,5,Motion to continue the item to the next meeting.,"The motion passed with the following vote: ""Aye"" Shayne Pierce, Seth Cox, Karen Ellingson, Sullivan Love, Glen Roberts, Robert McMullin. ""Nay"" none.",,,true
2025-12-16,PlanningCommission,1,"Motion to approve the minutes of the November 18, 2025, meeting of the Utah County Planning Commission.","The motion passed with the following vote: ""Aye"" Shayne Pierce, Sullivan Love, Lorraine Davis, Chris Herrod. ""Nay"" none.",Sullivan Love,Lorraine Davis,true
2025-12-16,PlanningCommission,2,Motion to open public hearing.,"The motion passed with the following vote: ""Aye"" Shayne Pierce, Sullivan Love, Lorraine Davis, Chris Herrod. ""Nay"" none.",Sullivan Love,Lorraine Davis,true
2025-12-16,PlanningCommission,3,Motion to close public hearing.,"The motion passed with the following vote: ""Aye"" Shayne Pierce, Sullivan Love, Lorraine Davis, Chris Herrod. ""Nay"" none.",Sullivan Love,Chris Herrod,true
2025-12-16,PlanningCommission,4,"Motion to recommend approval to the Utah County Commission of the proposed amendments to the Utah County Land Use Ordinance, Section 1.24, 2.08, and chapters 4, 12, and 14, to amend requirements for nonconforming lots or parcels and associated requirements, along with any applicable renumbering and reformatting based on the findings listed in Section 5 of the staff report.","The motion passed with the following vote: ""Aye"" Shayne Pierce, Sullivan Love, Lorraine Davis, Chris Herrod. ""Nay"" none.",Sullivan Love,Chris Herrod,true
2025-12-16,PlanningCommission,5,"Motion to adopt resolution 2025-2, which is the resolution adopting the annual regular meeting schedule for the planning commission for Utah County for the year 2026.","The motion passed with the following vote: ""Aye"" Shayne Pierce, Sullivan Love, Lorraine Davis, Chris Herrod. ""Nay"" none.",Chris Herrod,Sullivan Love,true
2026-01-20,PlanningCommission,1,"Motion to approve the minutes of the December 16, 2025, meeting of the Utah County Planning Commission.","The motion passed with the following vote: ""Aye"" Shayne Pierce, Seth Cox, Sullivan Love, Robert McMullin, Stanford Sainsbury, Lorraine Davis. ""Nay"" none.",Sullivan Love,Lorraine Davis,true
2026-01-20,PlanningCommission,2,Motion to open the public hearing.,"The motion passed with the following vote: ""Aye"" Shayne Pierce, Seth Cox, Robert McMullin, Stanford Sainsbury, Lorraine Davis. ""Nay"" none.",Robert McMullin,Seth Cox,true
2026-01-20,PlanningCommission,3,Motion to close the public hearing.,"The motion passed with the following vote: ""Aye"" Shayne Pierce, Seth Cox, Robert McMullin, Stanford Sainsbury, Lorraine Davis. ""Nay"" none.",Seth Cox,Robert McMullin,true
2026-01-20,PlanningCommission,4,"Motion to recommend approval of the proposed tax amendments to Section 2.08 and 12.56 of the Utah County Land Use Ordinance, along with any applicable renumbering and reformatting based on the findings specified in this staff report under subsection five.","The motion passed with the following vote: ""Aye"" Shayne Pierce, Seth Cox, Robert McMullin, Stanford Sainsbury, Lorraine Davis. ""Nay"" none.",Robert McMullin,Seth Cox,true
2026-01-20,PlanningCommission,5,Motion to nominate Shayne Pierce to serve again as chair. Shayne Pierce was elected chair by acclamation.,Shayne Pierce was elected chair by acclamation.,Lorraine Davis,,false
2026-01-20,PlanningCommission,6,Motion to nominate Seth Cox to serve as a vice chair. Seth Cox was elected vice chair by acclamation.,Seth Cox was elected vice chair by acclamation.,Lorraine Davis,,false
2026-02-17,PlanningCommission,1,"Motion to approve the minutes of the January 20, 2026, meeting of the Utah County Planning Commission.","The motion passed with the following vote: ""Aye"" Lorraine Davis, Sullivan Love, Glen Roberts, Seth Cox, Stanford Sainsbury. ""Nay"" none.",Lorraine Davis,Sullivan Love,true
2026-02-17,PlanningCommission,2,Motion to open public hearing.,"The motion passed with the following vote: ""Aye"" Lorraine Davis, Sullivan Love, Glen Roberts, Seth Cox, Stanford Sainsbury. ""Nay"" none.",Sullivan Love,Stanford Sainsbury,true
2026-02-17,PlanningCommission,3,Motion to close public hearing.,"The motion passed with the following vote: ""Aye"" Lorraine Davis, Sullivan Love, Glen Roberts, Seth Cox, Stanford Sainsbury. ""Nay"" none.",Stanford Sainsbury,Sullivan Love,true
2026-02-17,PlanningCommission,4,"Motion to recommend approval of the proposed text amendments to Section 8.16 of the Utah County Land Use Ordinance, with modifications as specified in the staff report, along with the supplemental handout given at the meeting, and any applicable renumbering and reformatting in each section based on the findings listed in the staff report.","The motion passed with the following vote: ""Aye"" Lorraine Davis, Sullivan Love, Glen Roberts, Seth Cox, Stanford Sainsbury. ""Nay"" none.",Sullivan Love,Glen Roberts,true
2026-02-17,PlanningCommission,5,"Motion to approve the conditional use permit CU 2026-01, which is a request for a reception center located at 14048 South Highway 89 in the Thistle area of unincorporated Utah County, subject to the staff findings included in the staff report and the 12 minimum conditions that are listed in the staff findings.","The motion passed with the following vote: ""Aye"" Lorraine Davis, Sullivan Love, Glen Roberts, Seth Cox, Stanford Sainsbury. ""Nay"" none.",Glen Roberts,Lorraine Davis,true
2026-02-17,PlanningCommission,6,"Motion to recommend approval to the Utah County Commission of the proposed creation of the South Fork Land 2026 Agricultural Protection Area for agricultural protection, which includes approximately 21.38 acres, less the 56 foot right-of-way for 2100 West as requested by Utah County Public Works, and based on the staff report and findings listed in section III of the staff report.","The motion passed with the following vote: ""Aye"" Lorraine Davis, Sullivan Love, Glen Roberts, Seth Cox, Stanford Sainsbury. ""Nay"" none.",Lorraine Davis,Sullivan Love,true
2026-04-21,PlanningCommission,1,"Motion to approve the minutes of the February 17, 2026, meeting of the Utah County Planning Commission.","The motion passed with the following vote: ""Aye"" Seth Cox, Stanford Sainsbury, Sullivan Love, Robert McMullin, Lorraine Davis, Shayne Pierce. ""Nay"" none.",Lorraine Davis,Robert McMullin,true
2026-04-21,PlanningCommission,2,Motion to continue the item to the May 19th meeting.,"The motion passed with the following vote: ""Aye"" Seth Cox, Stanford Sainsbury, Sullivan Love, Robert McMullin, Lorraine Davis. ""Nay"" none.",Sullivan Love,Robert McMullin,true
2026-04-21,PlanningCommission,3,Motion to open public hearing.,"The motion passed with the following vote: ""Aye"" Seth Cox, Stanford Sainsbury, Robert McMullin, Lorraine Davis, Shayne Pierce. ""Nay"" none.",Robert McMullin,Stanford Sainsbury,true
2026-04-21,PlanningCommission,4,"Motion to recommend approval of the proposed amendment for the official Utah County zone map, and Utah County General Plan for parcels 61:008:0005 and 61:005:009, currently designated as residential agricultural zone, and mining and grazing zone, to be designated as public facilities zone based on the findings specified in the staff report under Subsection 4.","The motion passed with the following vote: ""Aye"" Seth Cox, Stanford Sainsbury, Robert McMullin, Lorraine Davis, Shayne Pierce. ""Nay"" none.",Lorraine Davis,Shayne Pierce,true
2026-04-21,PlanningCommission,5,"Motion to recommend approval of the Utah County Commission of the staff proposed amendments to Utah County Land Ordinance Section 2.08, 8.36, and 12.4 to amend the requirements for automobile wrecking yards, salvage yards, and impound yards, adding impound yards as a permitted use, and maintaining 1 acre minimum area requirement for all but impound yards, and require 0.75 acre minimum requirement for impound yards along with any applicable renumbering, reformatting based on findings listed in Section 5 of the staff report.","The motion passed with the following vote: ""Aye"" Seth Cox, Robert McMullin, Lorraine Davis, Shayne Pierce. ""Nay"" Stanford Sainsbury, Sullivan Love.",Shayne Pierce,Robert McMullin,true
2026-04-21,PlanningCommission,6,Motion to close the public hearing.,"The motion passed with the following vote: ""Aye"" Seth Cox, Stanford Sainsbury, Robert McMullin, Lorraine Davis, Shayne Pierce, Sullivan Love. ""Nay"" none.",Shayne Pierce,Robert McMullin,true
2026-04-21,PlanningCommission,7,Motion to adjourn.,"The motion passed with the following vote: ""Aye"" Seth Cox, Stanford Sainsbury, Sullivan Love, Robert McMullin, Lorraine Davis, Shayne Pierce, Sullivan Love. ""Nay"" none.",Sullivan Love,Robert McMullin,true
2026-05-19,PlanningCommission,1,"Motion to approve the minutes of the April 21, 2026, meeting of the Utah County Planning Commission.","The motion passed with the following vote: ""Aye"" Shayne Pierce, Sullivan Love, Lorraine Davis, Seth Cox. ""Nay"" none.",Seth Cox,Sullivan Love,true
2026-05-19,PlanningCommission,2,Motion to open public hearing.,"The motion passed with the following vote: ""Aye"" Shayne Pierce, Sullivan Love, Lorraine Davis, Seth Cox, Robert McMullin, Stanford Sainsbury. ""Nay"" none.",Seth Cox,Robert McMullin,true
2026-05-19,PlanningCommission,3,Motion to close public hearing.,"The motion passed with the following vote: ""Aye"" Shayne Pierce, Sullivan Love, Lorraine Davis, Seth Cox, Robert McMullin, Stanford Sainsbury. ""Nay"" none.",Robert McMullin,Stanford Sainsbury,true
2026-05-19,PlanningCommission,4,Motion that the Utah County Planning Commission recommend denial to the Utah County Commission of the proposed text amendment to Utah County Land Use Ordinance 8.44.,"The motion passed with the following vote: ""Aye"" Shayne Pierce, Sullivan Love, Lorraine Davis, Seth Cox, Robert McMullin, Stanford Sainsbury. ""Nay"" none.",Sullivan Love,Robert McMullin,true
