year,election_type,office,district,contest,candidate,votes,pct,rank,is_winner
2023,municipal general,Council,4,Provo City Council District 4,TRAVIS HOBAN,1625,100.0,1,True
2023,municipal general,Council,Citywide II,Provo City Council Citywide II,GARY GARRETT,5801,51.63,1,True
2023,municipal general,Council,Citywide II,Provo City Council Citywide II,MCKAY R. JENSEN,5435,48.37,2,False
2023,municipal primary,Council,Citywide II,Provo City Council Citywide II,GARY GARRETT,3360,38.48,1,True
2023,municipal primary,Council,Citywide II,Provo City Council Citywide II,MCKAY R. JENSEN,2265,25.94,2,False
2023,municipal primary,Council,Citywide II,Provo City Council Citywide II,TANNER BENNETT,1496,17.13,3,False
2023,municipal primary,Council,Citywide II,Provo City Council Citywide II,WENDY AHLMAN,1076,12.32,4,False
2023,municipal primary,Council,Citywide II,Provo City Council Citywide II,JOSEPH PENROSE,389,4.45,5,False
2023,municipal primary,Council,Citywide II,Provo City Council Citywide II,NATHAN SMITH JONES,146,1.67,6,False
2025,municipal general,Mayor,,Provo City Mayor,MARSHA JUDKINS,8703,51.25,1,True
2025,municipal general,Mayor,,Provo City Mayor,MICHELLE KAUFUSI,8280,48.75,2,False
2025,municipal general,Council,2,Provo City Council District 2,JEFF WHITLOCK,2035,52.65,1,True
2025,municipal general,Council,2,Provo City Council District 2,HANNAH PETERSEN,1830,47.35,2,False
2025,municipal general,Council,5,Provo City Council District 5,RACHEL WHIPPLE,964,66.12,1,True
2025,municipal general,Council,5,Provo City Council District 5,SAM BLACKBURN,494,33.88,2,False
2025,municipal general,Council,Citywide I,Provo City Council Citywide I,KATRICE MACKAY,9738,58.49,1,True
2025,municipal general,Council,Citywide I,Provo City Council Citywide I,ADAM SHIN,6912,41.51,2,False
2025,municipal primary,Mayor,,Provo City Mayor,MICHELLE KAUFUSI,5655,47.95,1,True
2025,municipal primary,Mayor,,Provo City Mayor,MARSHA JUDKINS,5333,45.22,2,False
2025,municipal primary,Mayor,,Provo City Mayor,THATCHER ALAIN LONGMAN,426,3.61,3,False
2025,municipal primary,Mayor,,Provo City Mayor,ERIC MUTCH,380,3.22,4,False
2025,municipal primary,Council,2,Provo City Council District 2,JEFF WHITLOCK,1285,48.06,1,True
2025,municipal primary,Council,2,Provo City Council District 2,HANNAH PETERSEN,1134,42.41,2,False
2025,municipal primary,Council,2,Provo City Council District 2,SALLY CLAYTON,255,9.54,3,False
2025,municipal primary,Council,5,Provo City Council District 5,RACHEL WHIPPLE,617,64.47,1,True
2025,municipal primary,Council,5,Provo City Council District 5,SAM BLACKBURN,155,16.2,2,False
2025,municipal primary,Council,5,Provo City Council District 5,SHAY ASLETT,128,13.38,3,False
2025,municipal primary,Council,5,Provo City Council District 5,TIM JAFEK,57,5.96,4,False
2025,municipal primary,Council,Citywide I,Provo City Council Citywide I,KATRICE MACKAY,6310,54.75,1,True
2025,municipal primary,Council,Citywide I,Provo City Council Citywide I,ADAM SHIN,3625,31.45,2,False
2025,municipal primary,Council,Citywide I,Provo City Council Citywide I,TOM FIFITA SITAKE SR,1590,13.8,3,False
