year,election_type,office,district,contest,precinct,candidate,votes,suppressed,note
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN015,JIM EDWARDS,122,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN015,DEA THEODORE,87,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN016,CYNDI SHARKEY,32,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN016,MARCI HOUSEMAN,36,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN016,JIM EDWARDS,38,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN016,DEA THEODORE,13,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN018,CYNDI SHARKEY,109,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN018,MARCI HOUSEMAN,129,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN018,JIM EDWARDS,105,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN018,DEA THEODORE,79,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN019,CYNDI SHARKEY,71,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN019,MARCI HOUSEMAN,89,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN019,JIM EDWARDS,61,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN019,DEA THEODORE,50,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN020,CYNDI SHARKEY,27,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN020,MARCI HOUSEMAN,24,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN020,JIM EDWARDS,15,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN020,DEA THEODORE,11,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN021,CYNDI SHARKEY,47,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN021,MARCI HOUSEMAN,70,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN021,JIM EDWARDS,57,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN021,DEA THEODORE,32,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN022,CYNDI SHARKEY,198,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN022,MARCI HOUSEMAN,155,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN022,JIM EDWARDS,150,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN022,DEA THEODORE,104,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN024,CYNDI SHARKEY,96,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN024,MARCI HOUSEMAN,86,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN024,JIM EDWARDS,253,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN024,DEA THEODORE,105,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN026,CYNDI SHARKEY,124,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN026,MARCI HOUSEMAN,96,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN026,JIM EDWARDS,130,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN026,DEA THEODORE,51,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN027,CYNDI SHARKEY,151,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN027,MARCI HOUSEMAN,134,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN027,JIM EDWARDS,194,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN027,DEA THEODORE,98,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN029,CYNDI SHARKEY,109,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN029,MARCI HOUSEMAN,134,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN029,JIM EDWARDS,87,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN029,DEA THEODORE,90,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN030,CYNDI SHARKEY,115,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN030,MARCI HOUSEMAN,66,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN030,JIM EDWARDS,58,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN030,DEA THEODORE,45,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN031,CYNDI SHARKEY,97,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN031,MARCI HOUSEMAN,86,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN031,JIM EDWARDS,67,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN031,DEA THEODORE,71,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN032,CYNDI SHARKEY,116,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN032,MARCI HOUSEMAN,61,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN032,JIM EDWARDS,53,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN032,DEA THEODORE,51,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN033,CYNDI SHARKEY,252,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN033,MARCI HOUSEMAN,153,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN033,JIM EDWARDS,102,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN033,DEA THEODORE,150,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN034,CYNDI SHARKEY,88,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN034,MARCI HOUSEMAN,68,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN034,JIM EDWARDS,69,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN034,DEA THEODORE,154,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN035,CYNDI SHARKEY,85,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN035,MARCI HOUSEMAN,56,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN035,JIM EDWARDS,55,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN035,DEA THEODORE,77,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN036,CYNDI SHARKEY,85,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN036,MARCI HOUSEMAN,73,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN036,JIM EDWARDS,60,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN036,DEA THEODORE,99,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN038,CYNDI SHARKEY,215,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN038,MARCI HOUSEMAN,122,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN038,JIM EDWARDS,87,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN038,DEA THEODORE,126,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN039,CYNDI SHARKEY,86,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN039,MARCI HOUSEMAN,70,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN039,JIM EDWARDS,47,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN039,DEA THEODORE,31,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN040,CYNDI SHARKEY,23,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN040,MARCI HOUSEMAN,24,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN040,JIM EDWARDS,21,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN040,DEA THEODORE,10,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN041,CYNDI SHARKEY,71,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN041,MARCI HOUSEMAN,61,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN041,JIM EDWARDS,63,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN041,DEA THEODORE,39,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN042,CYNDI SHARKEY,139,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN042,MARCI HOUSEMAN,126,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN042,JIM EDWARDS,74,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN042,DEA THEODORE,41,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN043,CYNDI SHARKEY,82,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN043,MARCI HOUSEMAN,81,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN043,JIM EDWARDS,82,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN043,DEA THEODORE,52,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN044,CYNDI SHARKEY,108,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN044,MARCI HOUSEMAN,111,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN044,JIM EDWARDS,97,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN044,DEA THEODORE,60,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN045,CYNDI SHARKEY,132,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN045,MARCI HOUSEMAN,130,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN045,JIM EDWARDS,108,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN045,DEA THEODORE,109,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN048,CYNDI SHARKEY,110,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN048,MARCI HOUSEMAN,106,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN048,JIM EDWARDS,89,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN048,DEA THEODORE,64,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN049,CYNDI SHARKEY,106,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN049,MARCI HOUSEMAN,120,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN049,JIM EDWARDS,81,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN049,DEA THEODORE,78,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN050,CYNDI SHARKEY,148,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN050,MARCI HOUSEMAN,123,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN050,JIM EDWARDS,179,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN050,DEA THEODORE,95,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN051,CYNDI SHARKEY,144,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN051,MARCI HOUSEMAN,126,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN051,JIM EDWARDS,132,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN051,DEA THEODORE,78,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN052,CYNDI SHARKEY,26,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN052,MARCI HOUSEMAN,23,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN052,JIM EDWARDS,16,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN052,DEA THEODORE,13,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN053,CYNDI SHARKEY,122,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN053,MARCI HOUSEMAN,122,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN053,JIM EDWARDS,125,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN053,DEA THEODORE,97,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN054,CYNDI SHARKEY,88,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN054,MARCI HOUSEMAN,90,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN054,JIM EDWARDS,63,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN054,DEA THEODORE,55,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN055,CYNDI SHARKEY,84,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN055,MARCI HOUSEMAN,84,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN055,JIM EDWARDS,72,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN055,DEA THEODORE,82,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN056,CYNDI SHARKEY,132,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN056,MARCI HOUSEMAN,121,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN056,JIM EDWARDS,128,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN056,DEA THEODORE,110,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN057,CYNDI SHARKEY,232,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN057,MARCI HOUSEMAN,185,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN057,JIM EDWARDS,109,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN057,DEA THEODORE,118,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN058,CYNDI SHARKEY,123,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN058,MARCI HOUSEMAN,142,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN058,JIM EDWARDS,83,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN058,DEA THEODORE,109,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN059,CYNDI SHARKEY,43,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN059,MARCI HOUSEMAN,32,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN059,JIM EDWARDS,13,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN059,DEA THEODORE,19,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN060,CYNDI SHARKEY,154,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN060,MARCI HOUSEMAN,123,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN060,JIM EDWARDS,100,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN060,DEA THEODORE,103,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN061,CYNDI SHARKEY,86,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN061,MARCI HOUSEMAN,81,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN061,JIM EDWARDS,72,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN061,DEA THEODORE,53,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN062,CYNDI SHARKEY,50,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN062,MARCI HOUSEMAN,40,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN062,JIM EDWARDS,52,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN062,DEA THEODORE,33,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN063,CYNDI SHARKEY,89,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN063,MARCI HOUSEMAN,85,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN063,JIM EDWARDS,108,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN063,DEA THEODORE,106,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN064,CYNDI SHARKEY,73,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN064,MARCI HOUSEMAN,60,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN064,JIM EDWARDS,52,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN064,DEA THEODORE,41,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN065,CYNDI SHARKEY,103,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN065,MARCI HOUSEMAN,136,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN065,JIM EDWARDS,126,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN065,DEA THEODORE,91,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN066,CYNDI SHARKEY,123,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN066,MARCI HOUSEMAN,129,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN066,JIM EDWARDS,79,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN066,DEA THEODORE,46,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN067,CYNDI SHARKEY,123,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN067,MARCI HOUSEMAN,114,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN067,JIM EDWARDS,74,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN067,DEA THEODORE,80,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN068,CYNDI SHARKEY,37,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN068,MARCI HOUSEMAN,43,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN068,JIM EDWARDS,44,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN068,DEA THEODORE,49,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN069,CYNDI SHARKEY,90,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN069,MARCI HOUSEMAN,80,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN069,JIM EDWARDS,68,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN069,DEA THEODORE,74,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN071,CYNDI SHARKEY,114,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN071,MARCI HOUSEMAN,100,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN071,JIM EDWARDS,100,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN071,DEA THEODORE,77,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN072,CYNDI SHARKEY,138,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN072,MARCI HOUSEMAN,226,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN072,JIM EDWARDS,96,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN072,DEA THEODORE,92,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN073,CYNDI SHARKEY,118,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN073,MARCI HOUSEMAN,138,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN073,JIM EDWARDS,122,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN073,DEA THEODORE,140,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN074,CYNDI SHARKEY,121,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN074,MARCI HOUSEMAN,99,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN074,JIM EDWARDS,81,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN074,DEA THEODORE,77,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN075,CYNDI SHARKEY,116,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN075,MARCI HOUSEMAN,95,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN075,JIM EDWARDS,95,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN075,DEA THEODORE,88,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN076,CYNDI SHARKEY,70,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN076,MARCI HOUSEMAN,55,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN076,JIM EDWARDS,43,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN076,DEA THEODORE,47,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN077,CYNDI SHARKEY,97,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN077,MARCI HOUSEMAN,65,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN077,JIM EDWARDS,91,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN077,DEA THEODORE,96,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN078,CYNDI SHARKEY,77,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN078,MARCI HOUSEMAN,89,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN078,JIM EDWARDS,72,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN078,DEA THEODORE,99,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN079,CYNDI SHARKEY,133,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN079,MARCI HOUSEMAN,95,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN079,JIM EDWARDS,97,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN079,DEA THEODORE,86,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN080,CYNDI SHARKEY,56,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN080,MARCI HOUSEMAN,42,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN080,JIM EDWARDS,28,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN080,DEA THEODORE,29,False,
