date,year,title,slug,body,path,source,source_url,notice_url,pmn_body_id,pmn_file_id,retrieved_date,format,extraction_method,recovery_source,orig_filename,text_path
2024-11-26,2024,Magna Council Meeting,council-regular,Council,raw/2024-11-26__council-regular__1295979.pdf,pmn,https://www.utah.gov/pmn/files/1295979.pdf,https://www.utah.gov/pmn/sitemap/notice/956183.html,5803,1295979,2026-07-14,text,pdftotext-layout,pmn,11-26-2024 Magna CC Meeting Minutes - APPROVED.pdf,text/2024-11-26__council-regular__1295979.txt
2025-01-14,2025,Magna CRA Meeting,cra-regular,CRA,raw/2025-01-14__cra-regular__1231905.pdf,pmn,https://www.utah.gov/pmn/files/1231905.pdf,https://www.utah.gov/pmn/sitemap/notice/966361.html,6925,1231905,2026-07-14,scanned,tesseract-ocr,pmn,01-14-2025 Magna CRA Meeting Minutes - APPROVED.pdf,text/2025-01-14__cra-regular__1231905.txt
2025-02-11,2025,Magna CRA Meeting,cra-regular,CRA,raw/2025-02-11__cra-regular__1261647.pdf,pmn,https://www.utah.gov/pmn/files/1261647.pdf,https://www.utah.gov/pmn/sitemap/notice/972775.html,6925,1261647,2026-07-14,scanned,tesseract-ocr,pmn,02-11-2025 Magna CRA Meeting Minutes - APPROVED.pdf,text/2025-02-11__cra-regular__1261647.txt
2025-04-08,2025,Magna CRA Meeting,cra-regular,CRA,raw/2025-04-08__cra-regular__1283597.pdf,pmn,https://www.utah.gov/pmn/files/1283597.pdf,https://www.utah.gov/pmn/sitemap/notice/985589.html,6925,1283597,2026-07-14,scanned,tesseract-ocr,pmn,04-08-2025 Magna CRA Meeting Minutes - APPROVED.pdf,text/2025-04-08__cra-regular__1283597.txt
2025-05-13,2025,Magna CRA Meeting,cra-regular,CRA,raw/2025-05-13__cra-regular__1284171.pdf,pmn,https://www.utah.gov/pmn/files/1284171.pdf,https://www.utah.gov/pmn/sitemap/notice/994189.html,6925,1284171,2026-07-14,text,pdftotext-layout,pmn,05-13-2025 Magna CRA Meeting Minutes - APPROVED06112025083016.pdf,text/2025-05-13__cra-regular__1284171.txt
2025-06-10,2025,Magna CRA Meeting,cra-regular,CRA,raw/2025-06-10__cra-regular__1295977.pdf,pmn,https://www.utah.gov/pmn/files/1295977.pdf,https://www.utah.gov/pmn/sitemap/notice/1001037.html,6925,1295977,2026-07-14,text,pdftotext-layout,pmn,06-10-2025 Magna CRA Meeting Minutes - APPROVED.pdf,text/2025-06-10__cra-regular__1295977.txt
2025-09-23,2025,Magna CRA Meeting,cra-regular,CRA,raw/2025-09-23__cra-regular__1356251.pdf,pmn,https://www.utah.gov/pmn/files/1356251.pdf,https://www.utah.gov/pmn/sitemap/notice/1024833.html,6925,1356251,2026-07-14,scanned,tesseract-ocr,pmn,09-23-2025 Magna CRA Meeting Minutes - APPROVED.pdf,text/2025-09-23__cra-regular__1356251.txt
2025-11-18,2025,Magna CRA Meeting,cra-regular,CRA,raw/2025-11-18__cra-regular__1362717.pdf,pmn,https://www.utah.gov/pmn/files/1362717.pdf,https://www.utah.gov/pmn/sitemap/notice/1043807.html,6925,1362717,2026-07-14,text,pdftotext-layout,pmn,11-18-2025 Magna CRA Meeting Minutes - DRAFT.pdf,text/2025-11-18__cra-regular__1362717.txt
2026-03-10,2026,Magna Council Meeting,council-regular,Council,raw/2026-03-10__council-regular__1410601.pdf,pmn,https://www.utah.gov/pmn/files/1410601.pdf,https://www.utah.gov/pmn/sitemap/notice/1064905.html,5803,1410601,2026-07-14,scanned,tesseract-ocr,pmn,03-10-2026 Magna CC Meeting Minutes with Attachments - APPROVED.pdf,text/2026-03-10__council-regular__1410601.txt
2026-06-09,2026,Magna Council Meeting,council-regular,Council,raw/2026-06-09__council-regular__1461255.pdf,pmn,https://www.utah.gov/pmn/files/1461255.pdf,https://www.utah.gov/pmn/sitemap/notice/1087199.html,5803,1461255,2026-07-14,scanned,tesseract-ocr,pmn,06-09-2026 Magna CC Meeting Minutes - APPROVED.pdf,text/2026-06-09__council-regular__1461255.txt
