ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,pmn_notice_id,pmn_notice_url,adoption_date_source,linkage_note
1420,2020-01-14,2020-01-14,Ordinance #1420 — Silverhawk Subdivision Zone Change Request,../meeting_minutes/minutes/2020/2020-01-13/2020-01-14_city-council.md,2026-07-13,na,,,yes,5-0 Pass,2020-01-14,3,within_source,,,motion,witnessed only by the citing council motion (no PMN notice)
1421,2020-05-19,2020-05-19,Ordinance #1421 — amending Title 14- 5 of the Draper City Municipal Code,../meeting_minutes/minutes/2020/2020-05-18/2020-05-19_city-council.md,2026-07-13,na,,,no,5-0 Pass,2020-05-19,8,within_source,,,motion,witnessed only by the citing council motion (no PMN notice)
1422,2020-03-10,2020-03-10,Ordinance #1422 — Nielsen's Frozen Custard Development Agreement Request with the changes that were submitted,../meeting_minutes/minutes/2020/2020-03-09/2020-03-10_city-council.md,2026-07-13,na,,,yes,5-0 Pass,2020-03-10,2,within_source,,,motion,witnessed only by the citing council motion (no PMN notice); also discussed 2020-02-18
1423,2020-03-10,2020-03-10,Ordinance #1423 — Draper City General Plan CR Text Amendment Request,../meeting_minutes/minutes/2020/2020-03-09/2020-03-10_city-council.md,2026-07-13,na,,,yes,5-0 Pass,2020-03-10,3,within_source,,,motion,witnessed only by the citing council motion (no PMN notice)
1424,2020-04-07,2020-04-07,"Ordinance #1424 — EPG Pony Express Development Agreement Request, Land Use Map Amendment and Zoning Map Amendment",../meeting_minutes/minutes/2020/2020-04-06/2020-04-07_city-council.md,2026-07-13,na,,,yes,5-0 Pass,2020-04-07,3,within_source,,,motion,witnessed only by the citing council motion (no PMN notice)
1425,2020-04-07,2020-04-07,Ordinance #1425,../meeting_minutes/minutes/2020/2020-04-06/2020-04-07_city-council.md,2026-07-13,na,,,yes,5-0 Pass,2020-04-07,3,within_source,,,motion,witnessed only by the citing council motion (no PMN notice)
1426,2020-04-07,2020-04-07,Ordinance #1426,../meeting_minutes/minutes/2020/2020-04-06/2020-04-07_city-council.md,2026-07-13,na,,,no,5-0 Pass,2020-04-07,2,within_source,,,motion,witnessed only by the citing council motion (no PMN notice)
1427,2020-04-07,2020-04-07,Ordinance #1427 — adopting a Temporary Land Use Regulation regarding Draper City Municipal Code Section 9- 27-090,../meeting_minutes/minutes/2020/2020-04-06/2020-04-07_city-council.md,2026-07-13,na,,,yes,4-0 Pass,2020-04-07,5,within_source,,,motion,witnessed only by the citing council motion (no PMN notice)
1428,2020-04-07,2020-04-07,Ordinance #1428 — amending Title 12 of the Draper City Municipal Code regarding Flood Damage Prevention,../meeting_minutes/minutes/2020/2020-04-06/2020-04-07_city-council.md,2026-07-13,na,,,no,5-0 Pass,2020-04-07,6,within_source,,,motion,witnessed only by the citing council motion (no PMN notice)
1431,2020-05-05,2020-05-05,Ordinance #1431 — Grading and Slope Text Amendment,../meeting_minutes/minutes/2020/2020-05-04/2020-05-05_city-council.md,2026-07-13,na,,,no,5-0 Pass,2020-05-05,3,within_source,,,motion,witnessed only by the citing council motion (no PMN notice)
1432,2020-04-21,2020-04-21,Ordinance #1432 — Brooks Lane 1st Development Agreement Amendment,../meeting_minutes/minutes/2020/2020-04-20/2020-04-21_city-council.md,2026-07-13,na,,,yes,4-0 Pass,2020-04-21,2,within_source,,,motion,witnessed only by the citing council motion (no PMN notice)
1433,2020-04-21,2020-04-21,Ordinance #1433 — BL Smith Zoning Map Amendment,../meeting_minutes/minutes/2020/2020-04-20/2020-04-21_city-council.md,2026-07-13,na,,,yes,4-0 Pass,2020-04-21,3,within_source,,,motion,witnessed only by the citing council motion (no PMN notice)
1434,2020-04-21,2020-04-21,Ordinance #1434 — Highline CSD Signage Text Amendment,../meeting_minutes/minutes/2020/2020-04-20/2020-04-21_city-council.md,2026-07-13,na,,,no,4-0 Pass,2020-04-21,6,within_source,,,motion,witnessed only by the citing council motion (no PMN notice)
1435,2020-04-21,2020-04-21,Ordinance #1435 — Restaurant Sign Text Amendment,../meeting_minutes/minutes/2020/2020-04-20/2020-04-21_city-council.md,2026-07-13,na,,,no,4-0 Pass,2020-04-21,5,within_source,,,motion,witnessed only by the citing council motion (no PMN notice)
1436,2020-05-05,2020-05-05,Ordinance #1436 — Big Willow Creek 2nd Amendment Development Agreement,../meeting_minutes/minutes/2020/2020-05-04/2020-05-05_city-council.md,2026-07-13,na,,,yes,5-0 Pass,2020-05-05,4,within_source,,,motion,witnessed only by the citing council motion (no PMN notice); also discussed 2020-04-21
1438,2020-05-19,2020-05-19,Ordinance #1438 — City Initiated Use Tables Text Amendment,../meeting_minutes/minutes/2020/2020-05-18/2020-05-19_city-council.md,2026-07-13,na,,,no,5-0 Pass,2020-05-19,6,within_source,,,motion,witnessed only by the citing council motion (no PMN notice)
1439,2020-06-16,2020-06-16,Ordinance #1439 — creating the Draper City Audit Committee,../meeting_minutes/minutes/2020/2020-06-15/2020-06-16_city-council.md,2026-07-13,na,,,no,5-0 Pass,2020-06-16,11,within_source,,,motion,witnessed only by the citing council motion (no PMN notice); also discussed 2020-06-02
1442,2020-07-21,2020-07-21,Ordinance #1442 — Holmes Homes Office Land Use Map Amendment and Zoning Map Amendment,../meeting_minutes/minutes/2020/2020-07-20/2020-07-21_city-council.md,2026-07-13,na,,,yes,5-0 Pass,2020-07-21,3,within_source,,,motion,witnessed only by the citing council motion (no PMN notice)
1443,2020-07-21,2020-07-21,Ordinance #1443,../meeting_minutes/minutes/2020/2020-07-20/2020-07-21_city-council.md,2026-07-13,na,,,yes,5-0 Pass,2020-07-21,3,within_source,,,motion,witnessed only by the citing council motion (no PMN notice)
1444,2020-07-07,2020-07-07,Ordinance #1444 — amending Draper City Municipal Code,../meeting_minutes/minutes/2020/2020-07-06/2020-07-07_city-council.md,2026-07-13,na,,,no,5-0 Pass,2020-07-07,5,within_source,,,motion,witnessed only by the citing council motion (no PMN notice)
1445,2020-07-21,2020-07-21,Ordinance #1445 — Fox Landing Phase 3 Addition Zoning Map Amendment and Land Use Map Amendment,../meeting_minutes/minutes/2020/2020-07-20/2020-07-21_city-council.md,2026-07-13,na,,,yes,5-0 Pass,2020-07-21,2,within_source,,,motion,witnessed only by the citing council motion (no PMN notice)
1446,2020-07-21,2020-07-21,Ordinance #1446,../meeting_minutes/minutes/2020/2020-07-20/2020-07-21_city-council.md,2026-07-13,na,,,yes,5-0 Pass,2020-07-21,2,within_source,,,motion,witnessed only by the citing council motion (no PMN notice)
1447,2020-08-04,2020-08-04,Ordinance #1447 — amending portions of Draper City Municipal Code as it pertains to the Commercial Zoning Districts,../meeting_minutes/minutes/2020/2020-08-03/2020-08-04_city-council.md,2026-07-13,na,,,yes,5-0 Pass,2020-08-04,2,within_source,,,motion,witnessed only by the citing council motion (no PMN notice)
1450,2020-08-18,2020-08-18,"Ordinance #1450 — HBA Plaza at Draper, Text Amendment, Zoning Map Amendment, and Land Use Map Amendment Request",../meeting_minutes/minutes/2020/2020-08-17/2020-08-18_city-council.md,2026-07-13,na,,,yes,5-0 Pass,2020-08-18,4,within_source,,,motion,witnessed only by the citing council motion (no PMN notice)
1451,2020-08-18,2020-08-18,Ordinance #1451,../meeting_minutes/minutes/2020/2020-08-17/2020-08-18_city-council.md,2026-07-13,na,,,yes,5-0 Pass,2020-08-18,4,within_source,,,motion,witnessed only by the citing council motion (no PMN notice)
1452,2020-08-18,2020-08-18,Ordinance #1452,../meeting_minutes/minutes/2020/2020-08-17/2020-08-18_city-council.md,2026-07-13,na,,,yes,5-0 Pass,2020-08-18,4,within_source,,,motion,witnessed only by the citing council motion (no PMN notice)
1453,2020-08-18,2020-08-18,Ordinance #1453 — creating the Draper City Diversity and Inclusion Advisory Board,../meeting_minutes/minutes/2020/2020-08-17/2020-08-18_city-council.md,2026-07-13,na,,,no,5-0 Pass,2020-08-18,6,within_source,,,motion,witnessed only by the citing council motion (no PMN notice)
1454,2020-11-10,2020-11-10,Ordinance #1454 — City Initiated 2020 Q3 Bulk Text Amendment,../meeting_minutes/minutes/2020/2020-11-09/2020-11-10_city-council.md,2026-07-13,na,,,no,5-0 Pass,2020-11-10,4,within_source,,,motion,witnessed only by the citing council motion (no PMN notice)
1456,2020-10-06,2020-10-06,Ordinance #1456 — City Initiated Flag Lot Text Amendment,../meeting_minutes/minutes/2020/2020-10-05/2020-10-06_city-council.md,2026-07-13,na,,,no,4-1 Pass,2020-10-06,3,within_source,,,motion,witnessed only by the citing council motion (no PMN notice); also discussed 2020-09-15
1457,2020-11-10,2020-11-10,"Ordinance #1457 — Short Subdivision Zoning Map Amendment (Legislative Action), on the request by Alex Short, to amend the zoning designation for the property from RA1 (Residential Agricultural, 40,000 square foot lot",../meeting_minutes/minutes/2020/2020-11-09/2020-11-10_city-council.md,2026-07-13,na,,,yes,5-0 Pass,2020-11-10,2,within_source,,,motion,"witnessed only by the citing council motion (no PMN notice); also discussed 2020-09-15,2020-10-06,2020-10-20"
1462,2020-10-20,2020-10-20,Ordinance #1462 — Four Bears Estates Land Use Map Amendment and Zoning Map Amendment Request,../meeting_minutes/minutes/2020/2020-10-19/2020-10-20_city-council.md,2026-07-13,na,,,yes,5-0 Pass,2020-10-20,3,within_source,,,motion,witnessed only by the citing council motion (no PMN notice)
1463,2020-10-20,2020-10-20,Ordinance #1463,../meeting_minutes/minutes/2020/2020-10-19/2020-10-20_city-council.md,2026-07-13,na,,,yes,5-0 Pass,2020-10-20,3,within_source,,,motion,witnessed only by the citing council motion (no PMN notice)
1464,2020-11-17,2020-11-17,Ordinance #1464 — Rockwell Point Text Amendment,../meeting_minutes/minutes/2020/2020-11-16/2020-11-17_city-council.md,2026-07-13,na,,,no,5-0 Pass,2020-11-17,4,within_source,,,motion,witnessed only by the citing council motion (no PMN notice)
1466,2020-11-17,2020-11-17,Ordinance #1466 — adopting a Temporary Land Use Regulation,../meeting_minutes/minutes/2020/2020-11-16/2020-11-17_city-council.md,2026-07-13,na,,,yes,5-0 Pass,2020-11-17,8,within_source,,,motion,witnessed only by the citing council motion (no PMN notice)
1467,2020-11-17,2020-11-17,Ordinance #1467 — City Initiated Notice of Continued Item Text Amendment,../meeting_minutes/minutes/2020/2020-11-16/2020-11-17_city-council.md,2026-07-13,na,,,no,5-0 Pass,2020-11-17,7,within_source,,,motion,witnessed only by the citing council motion (no PMN notice)
1468,2020-11-17,2020-11-17,Ordinance #1468 — Shadow Mountain subdivision Zoning Map and Land Use Map Amendment,../meeting_minutes/minutes/2020/2020-11-16/2020-11-17_city-council.md,2026-07-13,na,,,yes,5-0 Pass,2020-11-17,5,within_source,,,motion,witnessed only by the citing council motion (no PMN notice)
1469,2020-11-17,2020-11-17,Ordinance #1469,../meeting_minutes/minutes/2020/2020-11-16/2020-11-17_city-council.md,2026-07-13,na,,,yes,5-0 Pass,2020-11-17,5,within_source,,,motion,witnessed only by the citing council motion (no PMN notice)
1470,2020-12-15,2020-12-15,"Ordinance #1470 — vacating the right-of-way of Wheatfield Way and Wheatfield Circle, with the attachment of a meets-and-bounds description",../meeting_minutes/minutes/2020/2020-12-14/2020-12-15_city-council.md,2026-07-13,na,,,no,5-0 Pass,2020-12-15,4,within_source,,,motion,witnessed only by the citing council motion (no PMN notice)
1471,2021-01-19,2021-01-19,Ordinance #1471 — City Initiated Parking Ordinance Changes Text Amendment,../meeting_minutes/minutes/2021/2021-01-18/2021-01-19_city-council.md,2026-07-13,na,,,no,5-0 Pass,2021-01-19,5,within_source,,,motion,witnessed only by the citing council motion (no PMN notice)
1472,2021-01-19,2021-01-19,Ordinance #1472 — Siempre Event Center Development Agreement,../meeting_minutes/minutes/2021/2021-01-18/2021-01-19_city-council.md,2026-07-13,na,,,yes,5-0 Pass,2021-01-19,4,within_source,,,motion,witnessed only by the citing council motion (no PMN notice)
1473,2021-01-19,2021-01-19,Ordinance #1473 — amending Chapter 7- 2 of the Draper City Municipal Code,../meeting_minutes/minutes/2021/2021-01-18/2021-01-19_city-council.md,2026-07-13,na,,,no,5-0 Pass,2021-01-19,3,within_source,,,motion,witnessed only by the citing council motion (no PMN notice)
1474,2021-02-02,2021-02-02,Ordinance #1474 — City Initiated Land Use Buffer Text Amendment,../meeting_minutes/minutes/2021/2021-02-01/2021-02-02_city-council.md,2026-07-13,na,,,yes,5-0 Pass,2021-02-02,5,within_source,,,motion,witnessed only by the citing council motion (no PMN notice)
1475,2021-03-02,2021-03-02,Ordinance #1475 — City Initiated Chickens for Familial Gain Text Amendment,../meeting_minutes/minutes/2021/2021-03-01/2021-03-02_city-council.md,2026-07-13,na,,,no,5-0 Pass,2021-03-02,2,within_source,,,motion,witnessed only by the citing council motion (no PMN notice); also discussed 2021-02-02
1477,2021-02-02,2021-02-02,Ordinance #1477 — City Initiated Windsor Mill Zoning Map and Land Use Map Amendment,../meeting_minutes/minutes/2021/2021-02-01/2021-02-02_city-council.md,2026-07-13,na,,,yes,5-0 Pass,2021-02-02,2,within_source,,,motion,witnessed only by the citing council motion (no PMN notice)
1478,2021-02-02,2021-02-02,Ordinance #1478,../meeting_minutes/minutes/2021/2021-02-01/2021-02-02_city-council.md,2026-07-13,na,,,yes,5-0 Pass,2021-02-02,2,within_source,,,motion,witnessed only by the citing council motion (no PMN notice)
1479,2021-02-16,2021-02-16,Ordinance #1479 — City Initiated Queuing Definition and Bulk Text Amendment,../meeting_minutes/minutes/2021/2021-02-15/2021-02-16_city-council.md,2026-07-13,na,,,no,5-0 Pass,2021-02-16,2,within_source,,,motion,witnessed only by the citing council motion (no PMN notice)
1480,2021-03-02,2021-03-02,Ordinance #1480 — temporarily suspending collection of the Storm Water Impact Fee,../meeting_minutes/minutes/2021/2021-03-01/2021-03-02_city-council.md,2026-07-13,na,,,no,5-0 Pass,2021-03-02,3,within_source,,,motion,witnessed only by the citing council motion (no PMN notice)
1481,2021-03-16,2021-03-16,Ordinance #1481 — Shipp Barn (Stokes) Development Agreement to include changes in language as proposed,../meeting_minutes/minutes/2021/2021-03-15/2021-03-16_city-council.md,2026-07-13,na,,,yes,5-0 Pass,2021-03-16,3,within_source,,,motion,witnessed only by the citing council motion (no PMN notice)
1482,2021-04-06,2021-04-06,Ordinance #1482,../meeting_minutes/minutes/2021/2021-04-05/2021-04-06_city-council.md,2026-07-13,na,,,no,5-0 Pass,2021-04-06,6,within_source,,,motion,witnessed only by the citing council motion (no PMN notice)
1483,2021-04-06,2021-04-06,Ordinance #1483,../meeting_minutes/minutes/2021/2021-04-05/2021-04-06_city-council.md,2026-07-13,na,,,no,5-0 Pass,2021-04-06,3,within_source,,,motion,witnessed only by the citing council motion (no PMN notice)
1484,2021-05-04,2021-05-04,Ordinance #1484 — amending the official zoning map of Draper City,https://www.utah.gov/pmn/files/714703.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi,raw/pmn/ord1484_n674769_f714703.pdf,yes,5-0 Pass,2021-05-04,2,high,674769,https://www.utah.gov/pmn/sitemap/notice/674769.html,pmn-notice,
1485,2021-04-06,2021-04-06,Ordinance #1485 — amending the text of the Draper City Municipal Code relating to landscaping and hedgerows in land use buffers,../meeting_minutes/minutes/2021/2021-04-05/2021-04-06_city-council.md,2026-07-13,na,,,yes,5-0 Pass,2021-04-06,4,within_source,,,motion,witnessed only by the citing council motion (no PMN notice)
1486,2021-04-06,2021-04-06,Ordinance #1486 — amending Draper City Municipal Code regarding general rules for city committees and designating the number of members of the Historic Preservation Commission constituting a quorum,../meeting_minutes/minutes/2021/2021-04-05/2021-04-06_city-council.md,2026-07-13,na,,,no,5-0 Pass,2021-04-06,7,within_source,,,motion,witnessed only by the citing council motion (no PMN notice)
1487,2021-04-20,2021-04-20,"Ordinance #1487 — the Planning Commission version, approving the Big Willow Creek 3rd Amendment Development Agreement",../meeting_minutes/minutes/2021/2021-04-19/2021-04-20_city-council.md,2026-07-13,na,,,yes,5-0 Pass,2021-04-20,2,within_source,,,motion,witnessed only by the citing council motion (no PMN notice)
1488,2021-05-04,2021-05-04,Ordinance #1488 — amending the text of Titles 9 and 17 of the Draper City Municipal Code and enacting a new section 17-1-075,https://www.utah.gov/pmn/files/714701.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi,raw/pmn/ord1488_n674767_f714701.pdf,no,5-0 Pass,2021-05-04,3,high,674767,https://www.utah.gov/pmn/sitemap/notice/674767.html,pmn-notice,
1489,2021-05-04,2021-05-04,Ordinance #1489 — amending Title 2 of the Draper City Municipal Code regarding publication of approved ordinances and election notices,https://www.utah.gov/pmn/files/714699.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi,raw/pmn/ord1489_n674765_f714699.pdf,no,5-0 Pass,2021-05-04,4,high,674765,https://www.utah.gov/pmn/sitemap/notice/674765.html,pmn-notice,
1490,2021-06-01,2021-06-01,Ordinance #1490 — amending the official Land Use Map of Draper City,https://www.utah.gov/pmn/sitemap/notice/681417.html,2026-07-13,html,html-strip,raw/pmn/notice_681417.html,yes,5-0 Pass,2021-06-01,2,high,681417,https://www.utah.gov/pmn/sitemap/notice/681417.html,pmn-notice,no PDF attachment on PMN — HTML notice only
1491,2021-06-01,2021-06-01,Ordinance #1491 — amending the official zoning map of Draper City,https://www.utah.gov/pmn/sitemap/notice/681429.html,2026-07-13,html,html-strip,raw/pmn/notice_681429.html,yes,5-0 Pass,2021-06-01,2,high,681429,https://www.utah.gov/pmn/sitemap/notice/681429.html,pmn-notice,no PDF attachment on PMN — HTML notice only
1492,2021-06-01,2021-06-01,Ordinance #1492 — amending the Draper City Municipal Code regarding temporary signage,https://www.utah.gov/pmn/sitemap/notice/681433.html,2026-07-13,html,html-strip,raw/pmn/notice_681433.html,no,,2021-06-01,,low,681433,https://www.utah.gov/pmn/sitemap/notice/681433.html,pmn-notice,minutes exist for the stated adoption date but no extracted motion cites #1492 (consent/unattributed item); no PDF attachment on PMN — HTML notice only
1493,2021-06-15,2021-06-15,Ordinance #1493 — amending Titles 3 and 9 in the Draper City Municipal Code regarding subordinate bodies,https://www.utah.gov/pmn/files/730865.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi,raw/pmn/ord1493_n685079_f730865.pdf,no,5-0 Pass,2021-06-15,8,high,685079,https://www.utah.gov/pmn/sitemap/notice/685079.html,pmn-notice,"multiple motions cite 1493 on 2021-06-15 (7,8); kept the final approving motion"
1494,2021-07-20,2021-07-20,Ordinance #1494 — amending the official zoning map of Draper City,https://www.utah.gov/pmn/files/741837.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1494_n691937_f741837.pdf,yes,5-0 Pass,2021-07-20,3,high,691937,https://www.utah.gov/pmn/sitemap/notice/691937.html,pmn-notice,
1495,2021-06-23,2021-06-23,Ordinance #1495 — prohibiting the discharge of fireworks in specified areas,https://www.utah.gov/pmn/files/733809.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1495_n686663_f733809.pdf,no,5-0 Pass,2021-06-23,1,high,686663,https://www.utah.gov/pmn/sitemap/notice/686663.html,pmn-notice,
1496,2021-07-20,2021-07-20,Ordinance #1496 — amending the official zoning map of Draper City,https://www.utah.gov/pmn/files/741841.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1496_n691943_f741841.pdf,yes,5-0 Pass,2021-07-20,4,high,691943,https://www.utah.gov/pmn/sitemap/notice/691943.html,pmn-notice,
1497,2021-07-20,2021-07-20,Ordinance #1497 — amending Titles 9 and 17 of the Draper City Municipal Code,https://www.utah.gov/pmn/files/741845.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1497_n691947_f741845.pdf,no,5-0 Pass,2021-07-20,5,high,691947,https://www.utah.gov/pmn/sitemap/notice/691947.html,pmn-notice,
1498,2021-08-03,2021-08-03,Ordinance #1498 — amending Titles 9 and 17 of the Draper City Municipal Code,https://www.utah.gov/pmn/files/745531.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1498_n694209_f745531.pdf,no,4-0 Pass,2021-08-03,2,high,694209,https://www.utah.gov/pmn/sitemap/notice/694209.html,pmn-notice,
1499,2021-09-21,2021-09-21,Ordinance #1499 — amending Titles 9 of the Draper City Municipal Code,https://www.utah.gov/pmn/files/762941.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1499_n704769_f762941.pdf,yes,5-0 Pass,2021-09-21,2,high,704769,https://www.utah.gov/pmn/sitemap/notice/704769.html,pmn-notice,"multiple motions cite 1499 on 2021-09-21 (1,2); kept the final approving motion"
1500,2021-10-05,2021-10-05,Ordinance #1500 — amending Titles 3 of the Draper City Municipal Code,https://www.utah.gov/pmn/files/766971.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1500_n707289_f766971.pdf,no,5-0 Pass,2021-10-05,5,high,707289,https://www.utah.gov/pmn/sitemap/notice/707289.html,pmn-notice,
1501,2021-10-05,2021-10-05,"Ordinance #1501 — amending Titles 9, 11, 17, and 18 of the Draper City Municipal Code",https://www.utah.gov/pmn/files/766973.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1501_n707291_f766973.pdf,no,5-0 Pass,2021-10-05,4,high,707291,https://www.utah.gov/pmn/sitemap/notice/707291.html,pmn-notice,
1502,2021-10-05,2021-10-05,"Ordinance #1502 — amending the official zoning map of Draper City, otherwise known as the Larson Zone Change",https://www.utah.gov/pmn/files/766975.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1502_n707295_f766975.pdf,yes,5-0 Pass,2021-10-05,2,high,707295,https://www.utah.gov/pmn/sitemap/notice/707295.html,pmn-notice,
1503,2021-10-19,2021-10-19,Ordinance #1503 — amending the official land use and development code of the Draper City Municipal Code otherwise known as the Day Dairy CSD TA,https://www.utah.gov/pmn/files/772789.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1503_n710643_f772789.pdf,yes,5-0 Pass,2021-10-19,2,high,710643,https://www.utah.gov/pmn/sitemap/notice/710643.html,pmn-notice,"multiple motions cite 1503 on 2021-10-19 (1,2); kept the final approving motion"
1504,2021-10-19,2021-10-19,Ordinance #1504 — amending Title 12 of the Draper City Municipal Code regarding Flood Damage Prevention,https://www.utah.gov/pmn/files/772795.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1504_n710645_f772795.pdf,no,,2021-10-19,,low,710645,https://www.utah.gov/pmn/sitemap/notice/710645.html,pmn-notice,minutes exist for the stated adoption date but no extracted motion cites #1504 (consent/unattributed item)
1507,2021-11-16,2021-11-16,"Ordinance #1507 — with limits to signage square footage to 200 square feet, 136 Center Commercial Special District (136C-CSD)",../meeting_minutes/minutes/2021/2021-11-15/2021-11-16_city-council.md,2026-07-13,na,,,no,5-0 Pass,2021-11-16,9,within_source,,,motion,witnessed only by the citing council motion (no PMN notice); also discussed 2021-11-09
1508,2021-11-16,2021-11-16,Ordinance #1508 — Rockwell Station Zoning Map Amendment,../meeting_minutes/minutes/2021/2021-11-15/2021-11-16_city-council.md,2026-07-13,na,,,yes,5-0 Pass,2021-11-16,7,within_source,,,motion,witnessed only by the citing council motion (no PMN notice)
1509,2021-11-16,2021-11-16,Ordinance #1509 — 7th East Office Building Zoning Map Amendment,../meeting_minutes/minutes/2021/2021-11-15/2021-11-16_city-council.md,2026-07-13,na,,,yes,5-0 Pass,2021-11-16,5,within_source,,,motion,witnessed only by the citing council motion (no PMN notice)
1510,2021-11-16,2021-11-16,Ordinance #1510 — RL Smith Zoning Map Amendment,../meeting_minutes/minutes/2021/2021-11-15/2021-11-16_city-council.md,2026-07-13,na,,,yes,5-0 Pass,2021-11-16,6,within_source,,,motion,witnessed only by the citing council motion (no PMN notice)
1511,2021-11-16,2021-11-16,Ordinance #1511 — Highline Office 2 Commercial Special District text amendment,../meeting_minutes/minutes/2021/2021-11-15/2021-11-16_city-council.md,2026-07-13,na,,,no,5-0 Pass,2021-11-16,4,within_source,,,motion,witnessed only by the citing council motion (no PMN notice)
1512,2022-01-18,2022-01-18,Ordinance #1512 — amending the official Zoning Map of Draper City and approving a development agreement for the Concord Lane Zoning Map Amendment and Development Agreement,https://www.utah.gov/pmn/files/803627.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1512_n730085_f803627.pdf,yes,4-0 Pass,2022-01-18,2,high,730085,https://www.utah.gov/pmn/sitemap/notice/730085.html,pmn-notice+posted-year,
