date,candidate,office,seat,election_year,filing_type,reporting_period,title,source_url,retrieved_date,format,extraction_method,path,source,document_id,sha256,filer_type,has_text,has_itemized
,David Wilde,County Council,District 3,,statement,2006 Interim Reports / 2006 Summary Report,David Wilde (Council #3) — 2006 Summary Report,https://slco.org/clerk/financialDisclosurePDF/candidate/dwilde_jan3107report.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/dwilde_jan3107report.pdf,clerk_legacy,,71c69498ecd0ea7529377eb982fb558c3b660459f8be057920cd1c1fa1106b06,,no,no
,Deanna L. Taylor,County Council,District 5,,statement,2006 Interim Reports / 2006 Summary Report,Deanna L. Taylor (Council #5) — 2006 Summary Report,https://slco.org/clerk/financialDisclosurePDF/candidate/dtaylor_jan3107report.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/dtaylor_jan3107report.pdf,clerk_legacy,,56e639b4debf1c81c263e2e8fb257ac094b8474525ea39877d274a85380b20d0,,no,no
,Deanna L. Taylor,County Council,District 5,,statement,2006 Interim Reports / Dissolution,Deanna L. Taylor (Council #5) — Dissolution,https://slco.org/clerk/financialDisclosurePDF/candidate/dturner_dissolutionreport07.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/dturner_dissolutionreport07.pdf,clerk_legacy,,c72560e3b91e76f8956d1d3a7377a0029d33a05f0bb276b8c3bc3dede9726f64,,no,no
,Diane Turner,County Council,District 3,,statement,2006 Interim Reports / June,Diane Turner (Council #3) — June,https://slco.org/clerk/financialDisclosurePDF/candidate/20_june_turner_diane06.pdf,2026-08-01,text,pdftotext -layout,raw/clerk_legacy/20_june_turner_diane06.pdf,clerk_legacy,,981357d82a4b016b89dfce3fe91d67a7f79bbf215027ac6d0e001860958dec7f,,yes,no
,Diane Turner,County Council,District 3,,statement,2006 Interim Reports / Amendment to September,Diane Turner (Council #3) — Amendment to September,https://slco.org/clerk/financialDisclosurePDF/candidate/dianeturner_amendment.pdf,2026-08-01,text,pdftotext -layout,raw/clerk_legacy/dianeturner_amendment.pdf,clerk_legacy,,ed4d6c5134a785893e0f6a6bafa727558ea3fb1f441df70e91bbc8f225fd67a6,,yes,no
,Don W. Johnstun,County Council,At-Large C,,statement,2006 Interim Reports / Dissolution,Don W. Johnstun (Council At-Large C) — Dissolution,https://slco.org/clerk/financialDisclosurePDF/candidate/djohnstun_dissolutionreport07.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/djohnstun_dissolutionreport07.pdf,clerk_legacy,,6edaf30582cca750bd197bd0315fb5112b2be5f02323b38ef7c980881d72ea60,,no,no
,Don W. Johnstun,County Council,At-Large C,,statement,2006 Interim Reports / 2006 Summary Report,Don W. Johnstun (Council At-Large C) — 2006 Summary Report,https://slco.org/clerk/financialDisclosurePDF/candidate/djohnstun_jan3107report.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/djohnstun_jan3107report.pdf,clerk_legacy,,4af4c41d600a7c54745f84c9fdea2587c815634dba5042b505b13a5f3480a876,,no,no
,Douglas C. Borba,County Council,District 3,,statement,2006 Interim Reports / June,Douglas C. Borba (Council #3) — June,https://slco.org/clerk/financialDisclosurePDF/candidate/20_june_borba_douglas06.pdf,2026-08-01,text,pdftotext -layout,raw/clerk_legacy/20_june_borba_douglas06.pdf,clerk_legacy,,39fe19e5c47d2140e4ae44628f6b0a2c4cd98d6173a3c07da9fe9aa063fd4215,,yes,no
,Gary Ott,Recorder,,,statement,2006 Interim Reports / 2007 Summary Report,Gary Ott (Recorder) — 2007 Summary Report,https://slco.org/clerk/financialDisclosurePDF/candidate/08_gott_jan31.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/08_gott_jan31.pdf,clerk_legacy,,1d96fe0d7316b880b0a0eade816ae247fc77567650d82f31c70541aa99f13d82,,no,no
,Gary Ott,Recorder,,,statement,2006 Interim Reports / June,Gary Ott (Recorder) — June,https://slco.org/clerk/financialDisclosurePDF/candidate/20_june_ott_gary06.pdf,2026-08-01,text,pdftotext -layout,raw/clerk_legacy/20_june_ott_gary06.pdf,clerk_legacy,,66891632779aa790ecd054d3b1651778954abe02992fb2219aaae5d54dc38c0c,,yes,no
,Gary Ott,Recorder,,,statement,2005 Summary Report,Gary Ott (Recorder) — 2005 Summary Report,https://slco.org/clerk/financialDisclosurePDF/Archives/gott_jan3106.pdf,2026-08-01,text,pdftotext -layout,raw/clerk_legacy/gott_jan3106.pdf,clerk_legacy,,6c30f5d48f0f5a514739594becd1ac66ffafb257f91d8e92973a3366e7d68fc1,,yes,no
,Gary Ott,Recorder,,,statement,2006 Interim Reports / 2006 Summary Report,Gary Ott (Recorder) — 2006 Summary Report,https://slco.org/clerk/financialDisclosurePDF/candidate/gott_jan3107report.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/gott_jan3107report.pdf,clerk_legacy,,932a9e9585489d3b5ce26b813eb0d36f99538d9d4169511d75fc8971a30eaa12,,no,no
,James M Winder,Sheriff,,,statement,2006 Interim Reports / 2007 Summary Report,James M Winder (Sheriff) — 2007 Summary Report,https://slco.org/clerk/financialDisclosurePDF/candidate/08_jwinder_jan31.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/08_jwinder_jan31.pdf,clerk_legacy,,7f2ad579f61743b2d32fa89ca8181c51bb60012e04d4418aa5cf0224b8a09081,,no,no
,James M Winder,Sheriff,,,statement,2006 Interim Reports / June,James M Winder (Sheriff) — June,https://slco.org/clerk/financialDisclosurePDF/candidate/20_june_winder_jim06.pdf,2026-08-01,text,pdftotext -layout,raw/clerk_legacy/20_june_winder_jim06.pdf,clerk_legacy,,569beb36f572a427deb0c04ce906b7291154c0d657797daac2b2d217bfc12995,,yes,no
,James M Winder,Sheriff,,,statement,2006 Interim Reports / 2006 Summary Report,James M Winder (Sheriff) — 2006 Summary Report,https://slco.org/clerk/financialDisclosurePDF/candidate/jwinder_jan3107report.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/jwinder_jan3107report.pdf,clerk_legacy,,8ca31b4a565e743ecab62a7b89a2699cd77214640756cde966775f149f1b07f2,,no,no
,Janice Auger,County Council,At-Large C,,statement,2006 Interim Reports / June,Janice Auger (Council At-Large C) — June,https://slco.org/clerk/financialDisclosurePDF/candidate/20_june_auger_janice06.pdf,2026-08-01,text,pdftotext -layout,raw/clerk_legacy/20_june_auger_janice06.pdf,clerk_legacy,,e2a165f82364873bc71b7bacea90521b1ff70f7fe7ce9effd18869dea743554f,,yes,no
,Janice Auger,County Council,At-Large C,,statement,2006 Interim Reports / Amendment to April,Janice Auger (Council At-Large C) — Amendment to April,https://slco.org/clerk/financialDisclosurePDF/candidate/jauger_4506amendment.pdf,2026-08-01,text,pdftotext -layout,raw/clerk_legacy/jauger_4506amendment.pdf,clerk_legacy,,8a49a09051e69c07c8bd9a54fd50fc46e71de975b791ea9d7b9c3369f084af63,,yes,no
,Janice Auger,County Council,At-Large C,,statement,2006 Interim Reports / Amendment to June,Janice Auger (Council At-Large C) — Amendment to June,https://slco.org/clerk/financialDisclosurePDF/candidate/jauger_61906amendment.pdf,2026-08-01,text,pdftotext -layout,raw/clerk_legacy/jauger_61906amendment.pdf,clerk_legacy,,18d040325979b0a5b54c19cd7febd20a6f52173f00fcffbacb41773800dcc6d1,,yes,no
,Janice Auger,County Council,At-Large C,,statement,2006 Interim Reports / Dissolution,Janice Auger (Council At-Large C) — Dissolution,https://slco.org/clerk/financialDisclosurePDF/candidate/jauger_dissolutionreport07.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/jauger_dissolutionreport07.pdf,clerk_legacy,,ab121639e4a6620b0dc3c55f7001a28d4d1793917967fef16f069226056bbcde,,no,no
,Janice Auger,County Council,At-Large C,,statement,2006 Interim Reports / 2006 Summary Report,Janice Auger (Council At-Large C) — 2006 Summary Report,https://slco.org/clerk/financialDisclosurePDF/candidate/jauger_jan3107report.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/jauger_jan3107report.pdf,clerk_legacy,,41b012469752562608278794e63b6f3995147fd3f18e8fa58d356ed9a400d957,,no,no
,Jeff S. Allen,County Council,District 5,,statement,2006 Interim Reports / 2007 Summary Report,Jeff S. Allen (Council #5) — 2007 Summary Report,https://slco.org/clerk/financialDisclosurePDF/candidate/08_jallen_jan31.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/08_jallen_jan31.pdf,clerk_legacy,,bec6ce63470ad9c882bbf4a333eb41cd47279a5ed19f9a7c1492dab1400b1f59,,no,no
,Jeff S. Allen,County Council,District 5,,statement,2006 Interim Reports / June,Jeff S. Allen (Council #5) — June,https://slco.org/clerk/financialDisclosurePDF/candidate/20_june_allen_jeff06.pdf,2026-08-01,text,pdftotext -layout,raw/clerk_legacy/20_june_allen_jeff06.pdf,clerk_legacy,,658a039588046cfd7b04f023d258becf26f0d863d5f8fab8e82e5a7a65b73730,,yes,no
,Jeff S. Allen,County Council,District 5,,statement,2006 Interim Reports / 2006 Summary Report,Jeff S. Allen (Council #5) — 2006 Summary Report,https://slco.org/clerk/financialDisclosurePDF/candidate/jallen_jan3107report.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/jallen_jan3107report.pdf,clerk_legacy,,178183db2d06ffa1172b7bfc66a77d475199e9821b7903d657de0ae305d7ad10,,no,no
,Jeff S. Allen,County Council,District 5,,statement,2006 Interim Reports / Amendment to June,Jeff S. Allen (Council #5) — Amendment to June,https://slco.org/clerk/financialDisclosurePDF/candidate/jeffallen_june20amendment.pdf,2026-08-01,text,pdftotext -layout,raw/clerk_legacy/jeffallen_june20amendment.pdf,clerk_legacy,,2e376fe3ea824966eeb81e4338b394f9a6c3a87210c81025a3362059c0d0ee1f,,yes,no
,Jeffrey Hatch,Auditor,,,statement,2006 Interim Reports / June,Jeffrey Hatch (Auditor) — June,https://slco.org/clerk/financialDisclosurePDF/candidate/20_june_hatch_jeff06.pdf,2026-08-01,text,pdftotext -layout,raw/clerk_legacy/20_june_hatch_jeff06.pdf,clerk_legacy,,67e2888270ada9674f83e984ac2f87d8b090be43a275a219e2d23125f359c5d2,,yes,no
,Jennifer Wilson,County Council,At-Large B,,statement,2007 Summary Report,Jennifer Wilson (Council At-Large B) — 2007 Summary Report,https://slco.org/clerk/financialDisclosurePDF/Archives/08_jwilson_jan31.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/08_jwilson_jan31.pdf,clerk_legacy,,2010f8724ad3487d503b8f4971dd35baf3c97e0df7eb29548311e788127e1c95,,no,no
,Jennifer Wilson,County Council,At-Large B,,statement,2005 Summary Report,Jennifer Wilson (Council At-Large B) — 2005 Summary Report,https://slco.org/clerk/financialDisclosurePDF/Archives/jwilson_jan3106.pdf,2026-08-01,text,pdftotext -layout,raw/clerk_legacy/jwilson_jan3106.pdf,clerk_legacy,,6b767ff39b3a89617edcba41c567c8d40bea711fcf91ae2f7761812fbf11b2af,,yes,no
,Jim Bradley,County Council,At-Large C,,statement,2006 Interim Reports / 2007 Summary Report,Jim Bradley (Council At-Large C) — 2007 Summary Report,https://slco.org/clerk/financialDisclosurePDF/candidate/08_jbradley_jan31.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/08_jbradley_jan31.pdf,clerk_legacy,,48c8faccbf5993b4d32735bd297bd24717b381ee4b614f11aabaf796a520138e,,no,no
,Jim Bradley,County Council,At-Large C,,statement,2006 Interim Reports / June,Jim Bradley (Council At-Large C) — June,https://slco.org/clerk/financialDisclosurePDF/candidate/20_june_bradley_jim06.pdf,2026-08-01,text,pdftotext -layout,raw/clerk_legacy/20_june_bradley_jim06.pdf,clerk_legacy,,339dbc1a150b935dc8410d4d4237d7eeeeff2cbafe9216bad08693b3afb64749,,yes,no
,Jim Bradley,County Council,At-Large C,,statement,2005 Summary Report,Jim Bradley (Council At-Large C) — 2005 Summary Report,https://slco.org/clerk/financialDisclosurePDF/Archives/jbradley_jan3106.pdf,2026-08-01,text,pdftotext -layout,raw/clerk_legacy/jbradley_jan3106.pdf,clerk_legacy,,52a6add8ed765e643c240b7924600f47669775b05641c50c6ff75ddce9715f61,,yes,no
,Jim Bradley,County Council,At-Large C,,statement,2006 Interim Reports / 2006 Summary Report,Jim Bradley (Council At-Large C) — 2006 Summary Report,https://slco.org/clerk/financialDisclosurePDF/candidate/jbradley_jan3107report.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/jbradley_jan3107report.pdf,clerk_legacy,,723fe6d0184dfdafab53a4d34baab8d3385239ec3e33f9084955ad4739634882,,no,no
,Jim Bradley,County Council,At-Large C,,statement,2006 Interim Reports / Amendment to September,Jim Bradley (Council At-Large C) — Amendment to September,https://slco.org/clerk/financialDisclosurePDF/candidate/jimbradley_september1506amendment.pdf,2026-08-01,text,pdftotext -layout,raw/clerk_legacy/jimbradley_september1506amendment.pdf,clerk_legacy,,c7c8ff5da0e73629f8aae9fbbe03bbafbd89f33c5e00b9f3b2d74425ebafe1fb,,yes,no
,Jimmy L. Cadman,County Council,At-Large C,,statement,2006 Interim Reports / Dissolution,Jimmy L. Cadman (Council At-Large C) — Dissolution,https://slco.org/clerk/financialDisclosurePDF/candidate/jcadman_dissolutionreport07.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/jcadman_dissolutionreport07.pdf,clerk_legacy,,b2f3b964bef6351de49f5cb828bf4f58d41523fe2a1bf89f83a33a4b13a6cf2e,,no,no
,Jimmy L. Cadman,County Council,At-Large C,,statement,2006 Interim Reports / 2006 Summary Report,Jimmy L. Cadman (Council At-Large C) — 2006 Summary Report,https://slco.org/clerk/financialDisclosurePDF/candidate/jcadman_jan3107report.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/jcadman_jan3107report.pdf,clerk_legacy,,9c1582aebc31f6c7605a09e064a5642a686dd18df37e43b54aed7a968529ccf1,,no,no
,Joe Hatch,County Council,District 1,,statement,2006 Interim Reports / 2007 Summary Report,Joe Hatch (Council #1) — 2007 Summary Report,https://slco.org/clerk/financialDisclosurePDF/candidate/08_joehatch_jan31.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/08_joehatch_jan31.pdf,clerk_legacy,,b6109c699880b23c7af8df1d6b30903e3f134b78af1c0c9c79b9be43cdcfb159,,no,no
,Joe Hatch,County Council,District 1,,statement,2006 Interim Reports / June,Joe Hatch (Council #1) — June,https://slco.org/clerk/financialDisclosurePDF/candidate/20_june_hatch_joe06.pdf,2026-08-01,text,pdftotext -layout,raw/clerk_legacy/20_june_hatch_joe06.pdf,clerk_legacy,,6bf88600f247b63d9eeeb4666ab47b6704820a2d94e5650bc28abfeed4d31dc6,,yes,no
,Joe Hatch,County Council,District 1,,statement,2005 Summary Report,Joe Hatch (Council #1) — 2005 Summary Report,https://slco.org/clerk/financialDisclosurePDF/Archives/jhatch_jan3106.pdf,2026-08-01,text,pdftotext -layout,raw/clerk_legacy/jhatch_jan3106.pdf,clerk_legacy,,6d75b6d420c1a7d1cf75b38ab2d43d47db07c7073c1398da36ef85ab45918edf,,yes,no
,Joe Hatch,County Council,District 1,,statement,2006 Interim Reports / 2006 Summary Report,Joe Hatch (Council #1) — 2006 Summary Report,https://slco.org/clerk/financialDisclosurePDF/candidate/jhatch_jan3107report.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/jhatch_jan3107report.pdf,clerk_legacy,,7518d83108e66682e05ad128aea9ade9622abe4724418f7054791726a090922e,,no,no
,Joe Hatch,County Council,District 1,,statement,2006 Interim Reports / Amendment to April,Joe Hatch (Council #1) — Amendment to April,https://slco.org/clerk/financialDisclosurePDF/candidate/joehatch_april506amendment.pdf,2026-08-01,text,pdftotext -layout,raw/clerk_legacy/joehatch_april506amendment.pdf,clerk_legacy,,cd6bb0d11f9851ebbd94ec0172945c89da2d4b7845e7d4e45981ef4b3fc1358c,,yes,no
,Joe Hatch,County Council,District 1,,statement,2006 Interim Reports / Amendment to September,Joe Hatch (Council #1) — Amendment to September,https://slco.org/clerk/financialDisclosurePDF/candidate/joehatch_september1506amendment.pdf,2026-08-01,text,pdftotext -layout,raw/clerk_legacy/joehatch_september1506amendment.pdf,clerk_legacy,,48653f1bf18df16a3e7ccde8cef2d56202d229607022a4f4878659dac719322d,,yes,no
