ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,instrument_type,canonical_no,dup_raw,source_last_modified,subfolder,linkage_note
2017-11-02,2017-11-15,2017-11-15,"AN ORDINANCE TO SUPPORT AND ENCOURAGE THE APPROVAL OF THE USE, REGULATION, AND STUDY OF CANNABIS FOR MEDICAL USES",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/orddoc/documents/1754001429_Ordinance%202017-11-02.pdf,2026-07-14,scanned,ocr_tesseract,raw/orddoc__1754001429_Ordinance_2017-11-02.pdf,no,,,,none,ordinance,2017-11-02,,2025-07-31,orddoc,
2017-11-03,2017-11-15,2017-11-15,"AN ORDINANCE ENACTING A TEMPORARY MORATORIUM PROfilBITING THE ACCEPTANCE OR APPROVAL OF AN APPLICATION FOR SUBDWISION APPROVAL, RE-ZONING REQUESTS AND OTHER NEW DEVELOPMENT IN THE COPPERTON METRO TOWNSHIP",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/ordinances/documents/Ordinance%2017-11-03.pdf,2026-07-14,text,pdftotext_layout,raw/Ordinance_17-11-03.pdf,yes,,,,none,ordinance,2017-11-03,,2018-06-25,ordinances,
2017-11-03,2017-11-15,2017-11-15,"AN ORDINANCE ENACTING A TEMPORARY MORATORIUM PROHIBITING THE ACCEPTANCE OR APPROVAL OF AN APPLICATION FOR SUBDIVISION APPROVAL, RE-ZONING REQUESTS AND OTHER NEW DEVELOPMENT IN THE COPPERTON METRO TOWNSHIP",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/orddoc/documents/1754001615_Ordinance%202017-11-03.pdf,2026-07-14,scanned,ocr_tesseract,raw/orddoc__1754001615_Ordinance_2017-11-03.pdf,yes,,,,none,ordinance,2017-11-03,,2025-07-31,orddoc,
2017-12-01,2017-12-20,2017-12-20,AN ORDINANCE GOVERNING THE ISSUANCE OF VOUCHERS ALLOWING COPPERTON RESIDENTS TO DISPOSE OF HOUSEHOLD SOLID WASTE AT THE TRANS-JORDAN LANDFILL,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/ordinances/documents/Ordinance%2017-12-01.pdf,2026-07-14,text,pdftotext_layout,raw/Ordinance_17-12-01.pdf,no,,,,none,ordinance,2017-12-01,,2018-06-25,ordinances,
2017-12-01,2017-12-20,2017-12-20,AN ORDINANCE GOVERNING THE ISSUANCE OF VOUCHERS ALLOWING COPPERTON RESIDENTS TO DISPOSE OF HOUSEHOLD SOLID WASTE AT THE TRANS-JORDAN LANDFILL,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/orddoc/documents/1754001825_Ordinance%202017-12-01.pdf,2026-07-14,scanned,ocr_tesseract,raw/orddoc__1754001825_Ordinance_2017-12-01.pdf,no,,,,none,ordinance,2017-12-01,,2025-07-31,orddoc,
2017-12-02,2017-12-20,2017-12-20,AN ORDINANCE PROVIDING FOR THE COMPENSATION OF METRO TOWNSHIP CHAIR AND COUNCIL MEMBERS FOR PUBLIC SERVICE,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/orddoc/documents/1754002008_Ordinance%202017-12-02.pdf,2026-07-14,scanned,ocr_tesseract,raw/orddoc__1754002008_Ordinance_2017-12-02.pdf,no,,,,none,ordinance,2017-12-02,,2025-07-31,orddoc,
2017-12-03,2017-12-20,2017-12-20,Ordinance 17-12-03,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/ordinances/documents/Ordinance%2017-12-03.pdf,2026-07-14,text,pdftotext_layout,raw/Ordinance_17-12-03.pdf,no,,,,none,ordinance,2017-12-03,,2019-02-04,ordinances,
2018-01-02,2018-01-17,2018-01-17,Ordinance 18-01-02,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/ordinances/documents/Ordinance%2018-01-02.pdf,2026-07-14,text,pdftotext_layout,raw/Ordinance_18-01-02.pdf,no,,,,none,ordinance,2018-01-02,,2018-06-25,ordinances,
2018-01-03,2018-01-17,2018-01-17,AN ORDINANCE PROVIDING PURCHASING AUTHORITY AND ESTABLISHING CERTAIN OPERATING PROCEDURES FOR THE BINGHAM CANYON CEMETERY BOARD,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/ordinances/documents/Ordinance%2018-01-03.pdf,2026-07-14,text,pdftotext_layout,raw/Ordinance_18-01-03.pdf,no,,,,none,ordinance,2018-01-03,,2018-06-25,ordinances,
2018-03-01,2018-03-21,2018-03-21,"AN ORDINANCE GOVERNING THE ISSUANCE, PRECEDURES, AND APPEAL OF EVENTS PERMITS AND THE CLOSURE OF STREETS",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/ordinances/documents/Ordinance%2018-03-01.pdf,2026-07-14,text,pdftotext_layout,raw/Ordinance_18-03-01.pdf,no,,,,none,ordinance,2018-03-01,,2018-06-27,ordinances,
2020-06-01,2018-05-16,2018-05-16,AN ORDINANCE ADOPTING REQUIREMENTS FOR DRIVEWAYS WITHIN THE COPPERTON METRO TOWNSHIP,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/ordinances/documents/1596821354_Ordinance%2020-06-01.pdf,2026-07-14,text,pdftotext_layout,raw/1596821354_Ordinance_20-06-01.pdf,no,,,,none,ordinance,2020-06-01,1597682366_Ordinance_20-06-01.pdf,2020-08-07,ordinances,adoption_date year != number year 2020 (source-stated date kept)
2020-06-01,2018-05-16,2018-05-16,AN ORDINANCE ADOPTING REQUIREMENTS FOR DRIVEWAYS WITHIN THE COPPERTON METRO TOWNSHIP,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/ordinances/documents/1599079744_Copperton%20Ordinance%2020-06-01.pdf,2026-07-14,scanned,ocr_tesseract,raw/1599079744_Copperton_Ordinance_20-06-01.pdf,no,,,,none,ordinance,2020-06-01,,2020-09-02,ordinances,adoption_date year != number year 2020 (source-stated date kept)
2020-06-01,2018-05-16,2018-05-16,AN ORDINANCE ADOPTING REQUIREMENTS FOR DRIVEWAYS WITHIN THE COPPERTON METRO TOWNSHIP,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/ordinances/documents/1601315011_Ordinance%2020-06-01.pdf,2026-07-14,scanned,ocr_tesseract,raw/1601315011_Ordinance_20-06-01.pdf,no,,,,none,ordinance,2020-06-01,1607972655_Ordinance_20-06-01.pdf,2020-09-28,ordinances,adoption_date year != number year 2020 (source-stated date kept)
2018-05-01,2018-05-16,2018-05-16,"A RESOLUTION OPPOSING THE 2018 PROPOSED 0.25 PERCENT SALES TAX INCREASE PROPOSED BY THE SALT LAKE COUNTY COUNCIL FOR TRANSPORTATION PURPOSES, CONDEMNING THE PROCESS BY WHICH ADOPTION IS CONSIDERED",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/resolutions/documents/1777483340_Resolution%2018-05-01.pdf,2026-07-14,scanned,ocr_tesseract,raw/1777483340_Resolution_18-05-01.pdf,no,,,,none,resolution,2018-05-01,,2026-04-29,resolutions,
2018-07-01,2018-07-18,2018-07-18,"AN ORDINANCE GOVERNING THE ISSUANCE, RENEWAL, AND FEE SCHEDULE FOR BUSINESSES",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/ordinances/documents/Ordinance%2018-07-01.pdf,2026-07-14,scanned,ocr_tesseract,raw/Ordinance_18-07-01.pdf,no,,,,none,ordinance,2018-07-01,,2019-03-07,ordinances,
2018-09-01,2018-09-01,2018-09-01,A RESOLUTION OF THE COPPERTON METRO TOWNSHIP COUNCIL APPROVING THE LEVYING OF PROPERTY TAXES BY THE SALT LAKE VALLEY LAW ENFORCEMENT,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/resolutions/documents/1777483418_Resolution%2018-09-01.pdf,2026-07-14,scanned,ocr_tesseract,raw/1777483418_Resolution_18-09-01.pdf,no,,,,none,resolution,2018-09-01,,2026-04-29,resolutions,"date=YYYY-MM from instrument number, day placeholder 01"
2018-09-02,2018-09-01,2018-09-01,A RESOLUTION APPROVING AND ENTERING INTO AN AMENDED AND RESTATED AGREEMENT CREATING THE UTAH LOCAL GOVERNMENTS TRUST. 3,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/resolutions/documents/1777483443_Resolution%2018-09-02.pdf,2026-07-14,scanned,ocr_tesseract,raw/1777483443_Resolution_18-09-02.pdf,no,,,,none,resolution,2018-09-02,,2026-04-29,resolutions,"date=YYYY-MM from instrument number, day placeholder 01"
2018-01-01,2018-12-20,2018-12-20,Ordinance 18-01-01,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/ordinances/documents/Ordinance%2018-01-01.pdf,2026-07-14,text,pdftotext_layout,raw/Ordinance_18-01-01.pdf,no,,,,none,ordinance,2018-01-01,,2018-06-25,ordinances,
2019-04-01,2019-04-03,2019-04-03,A RESOLUTION SUPPORTING A COMPREHENSIVE VISIONING STUDY FOR THE SOUTHWEST QUADRANT OF SALT LAKE COUNTY AND REGARDING THE OLYMPIA HILLS DEVELOPMENT,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/ordinances/documents/1567617409_Ordinance%2019-04-01.pdf,2026-07-14,scanned,ocr_tesseract,raw/1567617409_Ordinance_19-04-01.pdf,no,Pass (unanimous),2019-04-03,2,medium,ordinance,2019-04-01,,2019-09-04,ordinances,"subject match, 4 shared terms (within 20d of header date)"
2019-05-01,2019-05-15,2019-05-15,A RESOLUTION OF THE COPPERTON METRO TOWNSHIP COUNCIL REQUESTING THE ANNEXATION OF CERTAIN PROPERTY WITHIN THE TOWNSHIP TO THE SOUTH VALLEY SEWER DISTRICT FOR THE PURPOSES OF PROVIDING SANITARY SEWER SERVICES TO THE AREA,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/resolutions/documents/1777484037_Resolution%2019-05-01.pdf,2026-07-14,scanned,ocr_tesseract,raw/1777484037_Resolution_19-05-01.pdf,yes,Pass (unanimous),2019-05-15,2,low,resolution,2019-05-01,,2026-04-29,resolutions,date-only: header adoption date matches a meeting with an unnumbered approving motion
2019-06-02,2019-06-01,2019-06-01,"A RESOLUTION OF THE COPPERTON METRO TOWNSHIP COUNCIL REPEALING TITLE 17, ARTICLE VII OF THE COPPERTON METRO TOWNSHIP CODE REGARDING STORMWATER FACILITIES IMPACT FEES",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/ordinances/documents/1594911069_Resolution%2019-06-02.pdf,2026-07-14,text,pdftotext_layout,raw/1594911069_Resolution_19-06-02.pdf,yes,,,,none,resolution,2019-06-02,,2020-07-16,ordinances,"date=YYYY-MM from instrument number, day placeholder 01"
2019-07-01,2019-07-17,2019-07-17,"AN ORDINANCE OF THE COPPERTON METRO TOWNSHIP, UTAH, AMENDING TITLE 17 CHAPTER 20 AND TITLE 18 CHAPTERS 16 AND 24 OF THE COPPERTON METRO TOWNSHIP CODE OF ORDINANCES, 2001, REMOVING THE CHOICE BETWEEN BONDING AND COMPLETING STORMWATER IMPROVEMENTS AND ADDING REQUIREMENTS TO PROVIDE GEOGRAPHIC INFORMAT",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/ordinances/documents/1578957966_Ordinance%2019-07-01.pdf,2026-07-14,scanned,ocr_tesseract,raw/1578957966_Ordinance_19-07-01.pdf,yes,Pass (unanimous),2019-07-17,3,low,ordinance,2019-07-01,,2020-01-13,ordinances,date-only: header adoption date matches a meeting with an unnumbered approving motion
2019-07-02,2019-07-17,2019-07-17,"AN ORDINANCE OF THE COUNCIL OF COPPERTON METRO TOWNSHIP, UTAH, AMENDING TITLE 14 CHAPTER 16 SECTION 010 OF THE COPPERTON METRO TOWNSHIP CODE OF ORDINANCES, 2019, TO PROHIBIT EXCAVATION OF RIGHTS-OF-WAY IN CERTAIN CIRCUMSTANCES AND ESTABLISING MINIMUM STANDARDS FOR REPAIRS FOLLOWING EXCAVATIONS IN RI",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/ordinances/documents/1579044017_Ordinance%2019-07-02.pdf,2026-07-14,scanned,ocr_tesseract,raw/1579044017_Ordinance_19-07-02.pdf,no,Pass (unanimous),2019-07-17,3,low,ordinance,2019-07-02,,2020-01-14,ordinances,date-only: header adoption date matches a meeting with an unnumbered approving motion
2019-08-01,2019-08-21,2019-08-21,A RESOLUTION OF THE COPPERTON METRO TOWNSHIP COUNCIL ADOPTING A PERSONNEL POLICY,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/ordinances/documents/1579044386_Resolution%2019-08-01.pdf,2026-07-14,scanned,ocr_tesseract,raw/1579044386_Resolution_19-08-01.pdf,no,Pass (unanimous),2019-08-21,4,medium,resolution,2019-08-01,1777484066_Resolution_19-08-01.pdf,2020-01-14,ordinances,"subject match, 2 shared terms (within 20d of header date)"
,2019-09-18,2019-09-18,AN ORDINANCE ADOPTING TITLE 12 OF THE COPPERTON METRO TOWNSHIP MUNICIPAL CODE TO ENACT A “CODE ENFORCEMENT AND COMMUNITY ENHANCEMENT PROGRAM”,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/ordinances/documents/1582153123_CO067-001%20-%20Code%20Enforcement%20Ordinance%20FINAL%20%289-13-2019%29.pdf,2026-07-14,text,pdftotext_layout,raw/1582153123_CO067-001_-_Code_Enforcement_Ordinance_FINAL_9-13-2019_.pdf,no,Pass (unanimous),2019-09-18,3,low,ordinance,,,2020-02-19,ordinances,date-only: header adoption date matches a meeting with an unnumbered approving motion
2019-11-01,2019-10-16,2019-10-16,"AN ORDINANCE REVISING CHAPTER 19.05 OF THE COPPERTON METRO TOWNSHIP CODE TO MODIFY THE TERM LIMITS FOR MEMBERS OF THE PLANNING COMMISSION, APPROVE A PER DIEM FOR PLANNING COMMISSION MEMBERS, AND GOVERN THE ADOPTION OF RULES OF ORDER AND PROCEDURE FOR THE PLANNING COMMISSION",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/ordinances/documents/1579130939_Ordinance%2019-11-01.pdf,2026-07-14,scanned,ocr_tesseract,raw/1579130939_Ordinance_19-11-01.pdf,no,Pass (unanimous),2019-10-16,4,medium,ordinance,2019-11-01,,2020-01-15,ordinances,"subject match, 2 shared terms (same-year)"
2019-11-01,2019-10-16,2019-10-16,A RESOLUTION OF THE COPPERTON METRO TOWNSHIP COUNCIL ESTABLISHING PER DIEM COMPENSATION FOR MEMBERS OF THE PLANNING COMMISSION,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/ordinances/documents/1579131744_Resolution%2019-11-01.pdf,2026-07-14,scanned,ocr_tesseract,raw/1579131744_Resolution_19-11-01.pdf,no,Pass (unanimous),2019-10-16,4,medium,resolution,2019-11-01,1777484089_Resolution_19-11-01.pdf,2020-01-15,ordinances,"subject match, 2 shared terms (same-year)"
2019-11-02,2019-10-16,2019-10-16,A RESOLUTION OF THE COPPERTON METRO TOWNSHIP COUNCIL ADOPTING RULES OF ORDER AND PROCEDURE FOR THE PLANNING COMMISSION,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/ordinances/documents/1579132927_Resolution%2019-11-02.pdf,2026-07-14,scanned,ocr_tesseract,raw/1579132927_Resolution_19-11-02.pdf,no,Pass (unanimous),2019-10-16,4,medium,resolution,2019-11-02,1777484132_Resolution_19-11-02.pdf,2020-01-16,ordinances,"subject match, 2 shared terms (same-year)"
2019-12-01,2019-10-16,2019-10-16,1777484152_Resolution 19-12-01,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/resolutions/documents/1777484152_Resolution%2019-12-01.pdf,2026-07-14,scanned,ocr_tesseract,raw/1777484152_Resolution_19-12-01.pdf,no,,,,none,resolution,2019-12-01,,2026-04-29,resolutions,
2020-01-01,2020-01-01,2020-01-01,AN ORDINANCE OF THE COPPERTON METRO TOWNSHIP COUNCIL REPEALING AND REPLACING TITLE 2 OF THE COPPERTON METRO TOWNSHIP CODE REGARDING COUNCIL ADMINISTRATION,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/ordinances/documents/1583956885_Ordinance%2020-01-01.pdf,2026-07-14,scanned,ocr_tesseract,raw/1583956885_Ordinance_20-01-01.pdf,no,,,,none,ordinance,2020-01-01,,2020-03-11,ordinances,"date=YYYY-MM from instrument number, day placeholder 01"
2020-01-01,2020-01-01,2020-01-01,AN ORDINANCE OF THE COPPERTON METRO TOWNSHIP COUNCIL REPEALING AND REPLACING TITLE 2 OF THE COPPERTON METRO TOWNSHIP CODE REGARDING COUNCIL ADMINISTRATION,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/ordinances/documents/1596820786_Ordinance%2020-01-01.pdf,2026-07-14,scanned,ocr_tesseract,raw/1596820786_Ordinance_20-01-01.pdf,no,,,,none,ordinance,2020-01-01,,2020-08-07,ordinances,"date=YYYY-MM from instrument number, day placeholder 01"
2020-03-01,2020-01-15,2020-01-15,"A RESOLUTION OF COPPERTON METRO TOWNSHIP APPROVING ENTRY INTO A REVISED AND RESTATED INTERLOCAL AGREEMENT TO CREATE AND GOVERN THE UNIFIED FIRE AUTHORITY A. The Interlocal Cooperation Act, Utah Code Ann. §11-13-101 et seq. (the",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/ordinances/documents/1596820002_Resolution%2020-03-01.pdf,2026-07-14,text,pdftotext_layout,raw/1596820002_Resolution_20-03-01.pdf,no,Pass (unanimous),2020-01-15,10,medium,resolution,2020-03-01,1597682924_Resolution_20-03-01.pdf,2020-08-07,ordinances,"subject match, 2 shared terms (same-year)"
