ordinance_no,series,filename_date,s3_filename,size_bytes,s3_last_modified,s3_key,source_url,in_minutes_window,cited_in_motions
2006-21,general,,1705953575_ORD 2006-21.w-signatures.pdf,356184,2024-01-22T19:59:36.000Z,southjordan/ordinances/documents/1705953575_ORD 2006-21.w-signatures.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1705953575_ORD%202006-21.w-signatures.pdf,no,no
2006-23,general,,1706022592_ORD 2006-23.w-signatures.pdf,999533,2024-01-23T15:09:54.000Z,southjordan/ordinances/documents/1706022592_ORD 2006-23.w-signatures.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1706022592_ORD%202006-23.w-signatures.pdf,no,no
2007-01,general,,1646677130_2007-01.w-signatures.pdf,486394,2022-03-07T18:18:51.000Z,southjordan/ordinances/documents/1646677130_2007-01.w-signatures.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1646677130_2007-01.w-signatures.pdf,no,no
2007-02,general,,1693236630_2007-02.w-signatures.pdf,965132,2023-08-28T15:30:31.000Z,southjordan/ordinances/documents/1693236630_2007-02.w-signatures.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1693236630_2007-02.w-signatures.pdf,no,no
2007-04,general,,1710359124_2007-04.w-signatures.pdf,3933429,2024-03-13T19:45:26.000Z,southjordan/ordinances/documents/1710359124_2007-04.w-signatures.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1710359124_2007-04.w-signatures.pdf,no,no
2007-07,general,,1707242777_2007-07.w-signatures.pdf,479240,2024-02-06T18:06:18.000Z,southjordan/ordinances/documents/1707242777_2007-07.w-signatures.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1707242777_2007-07.w-signatures.pdf,no,no
2007-11,general,,1705087213_2007-11.w-signatures.pdf,538699,2024-01-12T19:20:15.000Z,southjordan/ordinances/documents/1705087213_2007-11.w-signatures.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1705087213_2007-11.w-signatures.pdf,no,no
2007-15,general,,1707157320_2007-15.w-signatures.pdf,2198220,2024-02-05T18:22:02.000Z,southjordan/ordinances/documents/1707157320_2007-15.w-signatures.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1707157320_2007-15.w-signatures.pdf,no,no
2007-16,general,,1706641636_2007-16.w-signatures.pdf,361238,2024-01-30T19:07:17.000Z,southjordan/ordinances/documents/1706641636_2007-16.w-signatures.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1706641636_2007-16.w-signatures.pdf,no,no
2007-18,general,,1706640897_2007-18.w-signatures.pdf,604764,2024-01-30T18:54:58.000Z,southjordan/ordinances/documents/1706640897_2007-18.w-signatures.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1706640897_2007-18.w-signatures.pdf,no,no
2007-20,general,,1710267689_2007-20.w-signatures.pdf,1172863,2024-03-12T18:21:30.000Z,southjordan/ordinances/documents/1710267689_2007-20.w-signatures.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1710267689_2007-20.w-signatures.pdf,no,no
2008-06,general,,1706630184_2008-06 Title 12 Streets & Sidewalks.pdf,201675,2024-01-30T15:56:25.000Z,southjordan/ordinances/documents/1706630184_2008-06 Title 12 Streets & Sidewalks.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1706630184_2008-06%20Title%2012%20Streets%20%26%20Sidewalks.pdf,no,no
2008-09,general,,1707165564_2008-09 Title 16.26.020 Pedestrian & Vehicle Access Standards.pdf,1208661,2024-02-05T20:39:26.000Z,southjordan/ordinances/documents/1707165564_2008-09 Title 16.26.020 Pedestrian & Vehicle Access Standards.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1707165564_2008-09%20Title%2016.26.020%20Pedestrian%20%26%20Vehicle%20Access%20Standards.pdf,no,no
2008-11,general,,1706640981_2008-11 Title 13.04.390 Water Storage Facilities.pdf,315360,2024-01-30T18:56:22.000Z,southjordan/ordinances/documents/1706640981_2008-11 Title 13.04.390 Water Storage Facilities.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1706640981_2008-11%20Title%2013.04.390%20Water%20Storage%20Facilities.pdf,no,no
2008-19,general,,1710268435_2008-19 Amend Title 17 Religious Activities.pdf,2442887,2024-03-12T18:33:56.000Z,southjordan/ordinances/documents/1710268435_2008-19 Amend Title 17 Religious Activities.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1710268435_2008-19%20Amend%20Title%2017%20Religious%20Activities.pdf,no,no
2008-21,general,,1706640834_2008-21 Amend Sec 13.04.050 Water Service Connection.pdf,684444,2024-01-30T18:53:55.000Z,southjordan/ordinances/documents/1706640834_2008-21 Amend Sec 13.04.050 Water Service Connection.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1706640834_2008-21%20Amend%20Sec%2013.04.050%20Water%20Service%20Connection.pdf,no,no
2009-03,general,,1707157540_2009-03 Approved Plan Expirations.pdf,1822775,2024-02-05T18:25:41.000Z,southjordan/ordinances/documents/1707157540_2009-03 Approved Plan Expirations.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1707157540_2009-03%20Approved%20Plan%20Expirations.pdf,no,no
2009-04,general,,"1706896675_2009-04 Amend 12.08.140, 16.04.250, 16.04.255,16.04.280, 16.04.290.pdf",1064662,2024-02-02T17:57:56.000Z,"southjordan/ordinances/documents/1706896675_2009-04 Amend 12.08.140, 16.04.250, 16.04.255,16.04.280, 16.04.290.pdf",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1706896675_2009-04%20Amend%2012.08.140%2C%2016.04.250%2C%2016.04.255%2C16.04.280%2C%2016.04.290.pdf,no,no
2009-08,general,,1706028151_2009-08 Project Cardiac React.pdf,1219252,2024-01-23T16:42:32.000Z,southjordan/ordinances/documents/1706028151_2009-08 Project Cardiac React.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1706028151_2009-08%20Project%20Cardiac%20React.pdf,no,no
2009-09,general,,1706638402_2009-09 Repealing Title 12.12 Public Demonstrations.pdf,313310,2024-01-30T18:13:24.000Z,southjordan/ordinances/documents/1706638402_2009-09 Repealing Title 12.12 Public Demonstrations.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1706638402_2009-09%20Repealing%20Title%2012.12%20Public%20Demonstrations.pdf,no,no
2009-11,general,,"1710435000_2009-11 Amend Title 17, Section 17.112.pdf",1755285,2024-03-14T16:50:02.000Z,"southjordan/ordinances/documents/1710435000_2009-11 Amend Title 17, Section 17.112.pdf",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1710435000_2009-11%20Amend%20Title%2017%2C%20Section%2017.112.pdf,no,no
2009-13,general,,1706640956_2009-13 Control of Backflow and Cross Connections.pdf,1007475,2024-01-30T18:55:57.000Z,southjordan/ordinances/documents/1706640956_2009-13 Control of Backflow and Cross Connections.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1706640956_2009-13%20Control%20of%20Backflow%20and%20Cross%20Connections.pdf,no,no
2009-15,general,,1706895021_2009-15 Amend Title 13 Chapter 24 Flood Hazard Management.pdf,3368819,2024-02-02T17:30:23.000Z,southjordan/ordinances/documents/1706895021_2009-15 Amend Title 13 Chapter 24 Flood Hazard Management.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1706895021_2009-15%20Amend%20Title%2013%20Chapter%2024%20Flood%20Hazard%20Management.pdf,no,no
2010-02,general,2010-01-05,1705606464_01-05-2010 Ordinance 2010-02 Title 2 Repeal.pdf,288726,2024-01-18T19:34:25.000Z,southjordan/ordinances/documents/1705606464_01-05-2010 Ordinance 2010-02 Title 2 Repeal.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1705606464_01-05-2010%20Ordinance%202010-02%20Title%202%20Repeal.pdf,no,no
2010-03,general,2010-03-16,1707166934_03-16-2010 Ordinance 2010-03 Amend Title 16 - Sign Ordinance.pdf,12750875,2024-02-05T21:02:16.000Z,southjordan/ordinances/documents/1707166934_03-16-2010 Ordinance 2010-03 Amend Title 16 - Sign Ordinance.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1707166934_03-16-2010%20Ordinance%202010-03%20Amend%20Title%2016%20-%20Sign%20Ordinance.pdf,no,no
2010-04,general,2010-05-18,1710358461_05-18-2010 Ordinance 2010-04 Amend 17.70 BH-MU Zone.pdf,8761339,2024-03-13T19:34:22.000Z,southjordan/ordinances/documents/1710358461_05-18-2010 Ordinance 2010-04 Amend 17.70 BH-MU Zone.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1710358461_05-18-2010%20Ordinance%202010-04%20Amend%2017.70%20BH-MU%20Zone.pdf,no,no
2010-08,general,2010-06-15,1710268513_06-15-2010 Ordinance 2010-08 Title 17 Chapter 17.08 Commercial Community Zone.pdf,2020283,2024-03-12T18:35:14.000Z,southjordan/ordinances/documents/1710268513_06-15-2010 Ordinance 2010-08 Title 17 Chapter 17.08 Commercial Community Zone.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1710268513_06-15-2010%20Ordinance%202010-08%20Title%2017%20Chapter%2017.08%20Commercial%20Community%20Zone.pdf,no,no
2010-09,general,2012-04-17,1710268737_04-17-2012 Ordinance 2010-09 Zone Text Amend (Accessory Living Units).pdf,4676070,2024-03-12T18:38:58.000Z,southjordan/ordinances/documents/1710268737_04-17-2012 Ordinance 2010-09 Zone Text Amend (Accessory Living Units).pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1710268737_04-17-2012%20Ordinance%202010-09%20Zone%20Text%20Amend%20%28Accessory%20Living%20Units%29.pdf,no,no
2010-13,general,2010-10-19,1710362991_10-19-2010 Ordinance 2010-13 Wind Energy Conversion Systems.pdf,2551080,2024-03-13T20:49:52.000Z,southjordan/ordinances/documents/1710362991_10-19-2010 Ordinance 2010-13 Wind Energy Conversion Systems.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1710362991_10-19-2010%20Ordinance%202010-13%20Wind%20Energy%20Conversion%20Systems.pdf,no,no
2010-14,general,2010-09-07,1706640868_09-07-2010 Ordinance 2010-14 Amend Title 13 Relating to Secondary Water.pdf,1728315,2024-01-30T18:54:29.000Z,southjordan/ordinances/documents/1706640868_09-07-2010 Ordinance 2010-14 Amend Title 13 Relating to Secondary Water.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1706640868_09-07-2010%20Ordinance%202010-14%20Amend%20Title%2013%20Relating%20to%20Secondary%20Water.pdf,no,no
2010-15,general,2010-07-20,1710266771_07-20-2010 Ordinance 2010-15 The Protection of Drinking Water Sources.pdf,4407144,2024-03-12T18:06:12.000Z,southjordan/ordinances/documents/1710266771_07-20-2010 Ordinance 2010-15 The Protection of Drinking Water Sources.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1710266771_07-20-2010%20Ordinance%202010-15%20The%20Protection%20of%20Drinking%20Water%20Sources.pdf,no,no
2011-01,general,,1710267264_2011-01 Regulate Residential - Group Home Facilities (2-1-2011).pdf,4578165,2024-03-12T18:14:25.000Z,southjordan/ordinances/documents/1710267264_2011-01 Regulate Residential - Group Home Facilities (2-1-2011).pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1710267264_2011-01%20Regulate%20Residential%20-%20Group%20Home%20Facilities%20%282-1-2011%29.pdf,no,no
2011-04,general,,1705686503_2011-04 Amend Title 5.92 Free Expression & 5.40 Mass Gathering Permits.pdf,6033889,2024-01-19T17:48:24.000Z,southjordan/ordinances/documents/1705686503_2011-04 Amend Title 5.92 Free Expression & 5.40 Mass Gathering Permits.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1705686503_2011-04%20Amend%20Title%205.92%20Free%20Expression%20%26%205.40%20Mass%20Gathering%20Permits.pdf,no,no
2011-05,general,2011-07-05,1705688499_2011-05 Amend Retail Fireworks Sales (07-05-2011).pdf,4361717,2024-01-19T18:21:40.000Z,southjordan/ordinances/documents/1705688499_2011-05 Amend Retail Fireworks Sales (07-05-2011).pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1705688499_2011-05%20Amend%20Retail%20Fireworks%20Sales%20%2807-05-2011%29.pdf,no,no
2011-08,general,2011-04-05,1706630158_2011-08 Title 12 Excavation Permits - Streets & Sidewalks (04-05-2011).pdf,294808,2024-01-30T15:55:59.000Z,southjordan/ordinances/documents/1706630158_2011-08 Title 12 Excavation Permits - Streets & Sidewalks (04-05-2011).pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1706630158_2011-08%20Title%2012%20Excavation%20Permits%20-%20Streets%20%26%20Sidewalks%20%2804-05-2011%29.pdf,no,no
2011-13,general,,1705608559_2011-13 Amend Title 3 Telecommunications License Tax Rate.pdf,888240,2024-01-18T20:09:21.000Z,southjordan/ordinances/documents/1705608559_2011-13 Amend Title 3 Telecommunications License Tax Rate.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1705608559_2011-13%20Amend%20Title%203%20Telecommunications%20License%20Tax%20Rate.pdf,no,no
2011-15,general,,1777576984_2011-15 Land Use Administration (Planning Commission Members) 5-17-2011.pdf,993925,2026-04-30T19:23:05.000Z,southjordan/ordinances/documents/1777576984_2011-15 Land Use Administration (Planning Commission Members) 5-17-2011.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1777576984_2011-15%20Land%20Use%20Administration%20%28Planning%20Commission%20Members%29%205-17-2011.pdf,no,no
2011-16,general,,1705685818_2011-16 Repeal Section 5.16 5.20 5.24 5.28 5.32 5.36 5.52.pdf,11463420,2024-01-19T17:36:59.000Z,southjordan/ordinances/documents/1705685818_2011-16 Repeal Section 5.16 5.20 5.24 5.28 5.32 5.36 5.52.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1705685818_2011-16%20Repeal%20Section%205.16%205.20%205.24%205.28%205.32%205.36%205.52.pdf,no,no
2011-19,general,2011-12-06,1706640081_2011-19 Tree Stewardship 12-06-2011.pdf,2553681,2024-01-30T18:41:23.000Z,southjordan/ordinances/documents/1706640081_2011-19 Tree Stewardship 12-06-2011.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1706640081_2011-19%20Tree%20Stewardship%2012-06-2011.pdf,no,no
2012-02,general,,1710436526_2012-02 Residential Chickens for Family Production.pdf,628088,2024-03-14T17:15:28.000Z,southjordan/ordinances/documents/1710436526_2012-02 Residential Chickens for Family Production.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1710436526_2012-02%20Residential%20Chickens%20for%20Family%20Production.pdf,no,no
2012-07,general,,1710268816_2012-07 Custom Storage Text Amendment 6-19-2012.pdf,3779389,2024-03-12T18:40:17.000Z,southjordan/ordinances/documents/1710268816_2012-07 Custom Storage Text Amendment 6-19-2012.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1710268816_2012-07%20Custom%20Storage%20Text%20Amendment%206-19-2012.pdf,no,no
2012-10,general,,1705686721_2012-10 Massage Establishments - Chapter 5.44  7-17-2012.pdf,2967166,2024-01-19T17:52:02.000Z,southjordan/ordinances/documents/1705686721_2012-10 Massage Establishments - Chapter 5.44  7-17-2012.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1705686721_2012-10%20Massage%20Establishments%20-%20Chapter%205.44%20%207-17-2012.pdf,no,no
