ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,series,stored_locally
2020-11,,2020-08-04,"AN ORDINANCE OF THE CITY COUNCIL OF THE CITY OF SOUTH JORDAN, UTAH, AMENDING SOUTH JORDAN CITY MUNICIPAL CODE SECTION 1.32.040 TO ALLOW NOTICES FOR THE DISPOSAL OF SIGNIFICANT PARCELS OF PROPERTY BY THE CITY TO BE PLACED ON THE UTAH PUBLIC NOTICE WEBSITE",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1705101683_Ordinance%202020-11%20-%20Final.pdf,2026-07-06,scanned,scanned image PDF (OCR/vision on signature page for date; body OCR deferred),raw/ordinances_archive/2020-11.pdf,no,Unanimous Pass,2020-08-04,2,high,general,yes
2020-12,,2020-09-15,Ordinance 2020-12,https://www.utah.gov/pmn/files/646527.pdf,,na,motion-citation (derived from minutes; not independently corroborated),,no,4-0 Pass,2020-09-15,7,within_source,general,no
2020-13,,2020-10-20,"Ordinance 2020-13, and let staff provide further clarification with the idea that they have one license per builder who has a model home in the city",https://www.utah.gov/pmn/files/659707.pdf,,na,motion-citation (derived from minutes; not independently corroborated),,no,Unanimous Pass,2020-10-20,2,within_source,general,no
2020-14,,2020-11-17,Ordinance 2020-14,https://www.utah.gov/pmn/files/663431.pdf,,na,motion-citation (derived from minutes; not independently corroborated),,no,Unanimous Pass,2020-11-17,4,within_source,general,no
2020-15,,2020-12-01,Parking Ordiance During a Snowstorm,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1706296650_Ordinance%202020-15%20Parking%20Ordiance%20During%20a%20Snowstorm.pdf,2026-07-06,scanned,scanned image PDF (OCR/vision on signature page for date; body OCR deferred),raw/ordinances_archive/2020-15.pdf,no,Unanimous Pass,2020-12-01,2,high,general,yes
2021-01-Z,,2021-03-02,Zoning Ordinance 2021-01-Z,https://www.sjc.utah.gov/Archive.aspx?ADID=205,,na,motion-citation (derived from minutes; not independently corroborated),,yes,Unanimous Pass,2021-03-02,2,within_source,zoning,no
2021-02,,2021-01-19,Ordinance 2021-02,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1707166987_ORDINANCE%202021-02%20-%20FINAL.pdf,2026-07-06,scanned,scanned image PDF (OCR/vision on signature page for date; body OCR deferred),raw/ordinances_archive/2021-02.pdf,no,4-0 Pass,2021-01-19,6,high,general,yes
2021-02-Z,,2021-03-16,Zoning Ordinance 2021-02-Z,https://www.sjc.utah.gov/Archive.aspx?ADID=207,,na,motion-citation (derived from minutes; not independently corroborated),,yes,Unanimous Pass,2021-03-16,2,within_source,zoning,no
2021-03,,2021-01-19,Ordinance 2021-03,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1705686293_Ordinance%202021-03%20-%20FINAL.pdf,2026-07-06,scanned,scanned image PDF (OCR/vision on signature page for date; body OCR deferred),raw/ordinances_archive/2021-03.pdf,no,Unanimous Pass,2021-01-19,7,high,general,yes
2021-04,,2021-01-19,Ordinance 2021-04,https://www.sjc.utah.gov/Archive.aspx?ADID=193,,na,motion-citation (derived from minutes; not independently corroborated),,no,Unanimous Pass,2021-01-19,8,within_source,general,no
2021-04-Z,,2021-05-18,"Ordinance 2021-04-Z, South Jordan Recreation Center Park rezone from A-5 to OS-P",https://www.sjc.utah.gov/Archive.aspx?ADID=214,,na,motion-citation (derived from minutes; not independently corroborated),,yes,4-0 Pass,2021-05-18,4,within_source,zoning,no
2021-05,,2021-01-19,Ordinance 2021-05,https://www.sjc.utah.gov/Archive.aspx?ADID=193,,na,motion-citation (derived from minutes; not independently corroborated),,no,Unanimous Pass,2021-01-19,9,within_source,general,no
2021-05-Z,,2021-05-18,"Ordinance 2021-05-Z, rezoning the property at 11381 South Temple Drive",https://www.sjc.utah.gov/Archive.aspx?ADID=214,,na,motion-citation (derived from minutes; not independently corroborated),,yes,4-0 Pass,2021-05-18,3,within_source,zoning,no
2021-06,,2021-02-16,Ordinance 2021-06,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1710357194_ORDINANCE%202021-06%20-%20FINAL.pdf,2026-07-06,scanned,scanned image PDF (OCR/vision on signature page for date; body OCR deferred),raw/ordinances_archive/2021-06.pdf,no,Unanimous Pass,2021-02-16,3,high,general,yes
2021-07,,2021-03-02,Ordinance 2021-07,https://www.sjc.utah.gov/Archive.aspx?ADID=205,,na,motion-citation (derived from minutes; not independently corroborated),,no,Unanimous Pass,2021-03-02,4,within_source,general,no
2021-07-Z,,2021-07-20,"Zoning Ordinance 2021-07-Z, Rezoning Property from the A-5 Agricultural Zone to the R-M-5 Residential Zone",https://www.sjc.utah.gov/Archive.aspx?ADID=220,,na,motion-citation (derived from minutes; not independently corroborated),,yes,5-0 Pass,2021-07-20,5,within_source,zoning,no
2021-08,,2021-03-16,Ordinance 2021-08,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1706894588_ORDINANCE%202021-08%20-%20FINAL.pdf,2026-07-06,scanned,scanned image PDF (OCR/vision on signature page for date; body OCR deferred),raw/ordinances_archive/2021-08.pdf,no,Unanimous Pass,2021-03-16,3,high,general,yes
2021-08-Z,,2021-09-07,"Zoning Ordinance 2021-08-Z, to rezone A5 to R2.5 at Aubrey Cove",https://www.sjc.utah.gov/Archive.aspx?ADID=225,,na,motion-citation (derived from minutes; not independently corroborated),,yes,4-0 Pass,2021-09-07,3,within_source,zoning,no
2021-09,,2021-05-04,"AN ORDINANCE OF THE CITY COUNCIL OF THE CITY OF SOUTH JORDAN, UTAH, ADOPTING NEW WATER EFFICIENCY STANDARDS",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1706897870_ORDINANCE%202021-09%20-%20FINAL.pdf,2026-07-06,scanned,scanned image PDF (OCR/vision on signature page for date; body OCR deferred),raw/ordinances_archive/2021-09.pdf,no,,2021-05-04,,low,general,yes
2021-09-Z,,2021-10-19,"Zoning Ordinance 2021-09-Z, Rezone of property from A-5 zone to R-1.8 zone",https://www.utah.gov/pmn/files/784439.pdf,,na,motion-citation (derived from minutes; not independently corroborated),,yes,5-0 Pass,2021-10-19,3,within_source,zoning,no
2021-10,,2021-04-20,Ordinance 2021-10,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1706638893_ORDINANCE%202021-10%20-%20FINAL.pdf,2026-07-06,scanned,scanned image PDF (OCR/vision on signature page for date; body OCR deferred),raw/ordinances_archive/2021-10.pdf,no,Unanimous Pass,2021-04-20,12,high,general,yes
2021-10-Z,,2021-12-07,Zoning Ordinance 2021-10-Z as stated,https://www.sjc.utah.gov/Archive.aspx?ADID=239,,na,motion-citation (derived from minutes; not independently corroborated),,yes,5-0 Pass,2021-12-07,5,within_source,zoning,no
2021-11,,2021-06-15,"Ordinance 2021-11, amending sections 16.04.060 and 17.04.060 of the City Municipal Code as stated",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1706897801_ORDINANCE%202021-11%20-%20FINAL.pdf,2026-07-06,scanned,scanned image PDF (OCR/vision on signature page for date; body OCR deferred),raw/ordinances_archive/2021-11.pdf,yes,5-0 Pass,2021-06-15,9,high,general,yes
2021-11-Z,,2021-12-07,Zoning Ordinance 2021-11-Z as stated,https://www.sjc.utah.gov/Archive.aspx?ADID=239,,na,motion-citation (derived from minutes; not independently corroborated),,yes,5-0 Pass,2021-12-07,6,within_source,zoning,no
2021-13,,2021-06-15,"Ordinance 2021-13, amending Chapter 6.04 and Chapter 6.12 of the City Municipal Code to include that the vehicle is stationary",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1646673328_ORDINANCE%202021-13%20-%20FINAL.pdf,2026-07-06,text,pdftotext-layout,raw/ordinances_archive/2021-13.pdf,no,5-0 Pass,2021-06-15,10,high,general,yes
2021-14,,2021-07-20,"Ordinance 2021-14, Vacating a portion of Right- of-Way within Arranmore Drive",https://www.sjc.utah.gov/Archive.aspx?ADID=220,,na,motion-citation (derived from minutes; not independently corroborated),,no,5-0 Pass,2021-07-20,6,within_source,general,no
2021-15,,2021-08-17,"Ordinance 2021-15, Amending City Code regulating Illicit Storm Water Discharges",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1706894002_ORDINANCE%202021-15%20-%20FINAL.pdf,2026-07-06,scanned,scanned image PDF (OCR/vision on signature page for date; body OCR deferred),raw/ordinances_archive/2021-15.pdf,no,5-0 Pass,2021-08-17,2,high,general,yes
2021-16,,2021-08-17,"Ordinance 2021-16, Amending section 17.130.030 of the South Jordan Municipal Code regulating the Accessory Dwelling Unit Floating Zone, adding that all mentions",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1710269089_ORDINANCE%202021-16%20-%20FINAL.pdf,2026-07-06,scanned,scanned image PDF (OCR/vision on signature page for date; body OCR deferred),raw/ordinances_archive/2021-16.pdf,yes,5-0 Pass,2021-08-17,3,high,general,yes
2021-18,,2021-10-05,"Ordinance 2021-18, Amending the city’s constructions standards and specifications",https://www.sjc.utah.gov/Archive.aspx?ADID=229,,na,motion-citation (derived from minutes; not independently corroborated),,no,5-0 Pass,2021-10-05,5,within_source,general,no
2021-19,,2021-10-05,"Ordinance 2021-19, Amending a portion of the City Municipal Code related to Redwood Road Mixed Use Zones",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1710357879_ORDINANCE%202021-19%20-%20FINAL.pdf,2026-07-06,scanned,scanned image PDF (OCR/vision on signature page for date; body OCR deferred),raw/ordinances_archive/2021-19.pdf,yes,5-0 Pass,2021-10-05,7,high,general,yes
2021-20,,2021-10-05,"Ordinance 2021-20, Amending the above sections of the City Municipal Code regulating residential uses and development design standards",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1710269147_ORDINANCE%202021-20%20-%20FINAL.pdf,2026-07-06,scanned,scanned image PDF (OCR/vision on signature page for date; body OCR deferred),raw/ordinances_archive/2021-20.pdf,no,4-0 Pass,2021-10-05,8,high,general,yes
2021-21,,2021-12-07,Ordinance 2021-21 as stated,https://www.sjc.utah.gov/Archive.aspx?ADID=239,,na,motion-citation (derived from minutes; not independently corroborated),,no,5-0 Pass,2021-12-07,7,within_source,general,no
2022-01,,2022-01-04,"Ordinance 2022-01, vacating a portion of Ultradent Drive at 10200 South. Motion seconded by Council Member Zander. Roll Call",https://www.sjc.utah.gov/Archive.aspx?ADID=241,,na,motion-citation (derived from minutes; not independently corroborated),,no,5-0 Pass,2022-01-04,9,within_source,general,no
2022-01-Z,,2022-09-20,"Zoning Ordinance 2022-01-Z, Rezoning of property",https://www.sjc.utah.gov/Archive.aspx?ADID=273,,na,motion-citation (derived from minutes; not independently corroborated),,yes,4-0 Pass,2022-09-20,4,within_source,zoning,no
2022-02,,2022-01-04,"d Ordinance 2022-02, vacating a portion of the 10755 South Street right of way",https://www.sjc.utah.gov/Archive.aspx?ADID=241,,na,motion-citation (derived from minutes; not independently corroborated),,no,5-0 Pass,2022-01-04,10,within_source,general,no
2022-02-Z,,2022-04-19,"Zoning Ordinance 2022-02-Z, Sagewood Ranch Barn Rezone",https://www.sjc.utah.gov/Archive.aspx?ADID=256,,na,motion-citation (derived from minutes; not independently corroborated),,yes,5-0 Pass,2022-04-19,6,within_source,zoning,no
2022-03,,2022-01-04,"Ordinance 2022-03, amending City Code to update appointment procedures of the City Treasurer",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1646674357_Ordinance%20No.%202022-03.pdf,2026-07-06,scanned,scanned image PDF (OCR/vision on signature page for date; body OCR deferred),raw/ordinances_archive/2022-03.pdf,no,5-0 Pass,2022-01-04,11,high,general,yes
2022-03-Z,,2022-04-19,"Zoning Ordinance 2022-03-Z, 1379 West Shields Lane",https://www.sjc.utah.gov/Archive.aspx?ADID=256,,na,motion-citation (derived from minutes; not independently corroborated),,yes,5-0 Pass,2022-04-19,3,within_source,zoning,no
2022-04,,2022-02-15,"Ordinance 2022-04, Re-adopting the city’s construction standards and specifications",https://www.sjc.utah.gov/Archive.aspx?ADID=248,,na,motion-citation (derived from minutes; not independently corroborated),,no,5-0 Pass,2022-02-15,3,within_source,general,no
2022-04-Z,,2022-05-03,"Zoning Ordinance 2022-04-Z, rezoning property as stated above",https://www.sjc.utah.gov/Archive.aspx?ADID=258,,na,motion-citation (derived from minutes; not independently corroborated),,yes,4-0 Pass,2022-05-03,9,within_source,zoning,no
2022-05,,2022-01-18,"d Ordinance 2022-05, amending city code pertaining to salaries of the mayor and council members",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1646877355_Ordinance%20No.%202022-05.pdf,2026-07-06,scanned,scanned image PDF (OCR/vision on signature page for date; body OCR deferred),raw/ordinances_archive/2022-05.pdf,no,5-0 Pass,2022-01-18,7,high,general,yes
2022-05-Z,,2022-05-03,"d Ordinance 2022-05-Z, rezoning property as stated above",https://www.sjc.utah.gov/Archive.aspx?ADID=258,,na,motion-citation (derived from minutes; not independently corroborated),,yes,4-0 Pass,2022-05-03,10,within_source,zoning,no
2022-06,,2022-01-18,"Ordinance 2022-06, fixing the compensation for the South Jordan Mayor and City Council",https://www.sjc.utah.gov/Archive.aspx?ADID=243,,na,motion-citation (derived from minutes; not independently corroborated),,no,5-0 Pass,2022-01-18,8,within_source,general,no
2022-06-Z,,2022-07-19,"Zoning Ordinance 2022-06-Z, Rezoning of property from the A-5 Zone to the R-2.5 Zone",https://www.sjc.utah.gov/Archive.aspx?ADID=266,,na,motion-citation (derived from minutes; not independently corroborated),,yes,5-0 Pass,2022-07-19,5,within_source,zoning,no
2022-07,,2022-01-18,"Ordinance 2022-07, setting forth compensation for Mayor Dawn R. Ramsey",https://www.sjc.utah.gov/Archive.aspx?ADID=243,,na,motion-citation (derived from minutes; not independently corroborated),,no,Died (no second),2022-01-18,9,within_source,general,no
2022-08,,2022-02-15,"Ordinance 2022-08, Vacating a portion of right-of-way along Lake Avenue and Lake Run Road",https://www.sjc.utah.gov/Archive.aspx?ADID=248,,na,motion-citation (derived from minutes; not independently corroborated),,no,5-0 Pass,2022-02-15,4,within_source,general,no
2022-08-Z,,2022-11-15,"Zoning Ordinance 2022-08-Z, Rezoning property from the C-F Zone to the I-F Zone",https://www.sjc.utah.gov/Archive.aspx?ADID=281,,na,motion-citation (derived from minutes; not independently corroborated),,yes,4-0 Pass,2022-11-15,6,within_source,zoning,no
2022-09,,2022-02-15,"Ordinance 2022-09, Vacating a portion of right-of-way along Docksider Drive",https://www.sjc.utah.gov/Archive.aspx?ADID=248,,na,motion-citation (derived from minutes; not independently corroborated),,no,5-0 Pass,2022-02-15,5,within_source,general,no
2022-09-Z,,2022-11-15,"Zoning Ordinance 2022-09-Z, Rezoning property from the A-5 Zone to the OS-P zone",https://www.sjc.utah.gov/Archive.aspx?ADID=281,,na,motion-citation (derived from minutes; not independently corroborated),,yes,4-0 Pass,2022-11-15,7,within_source,zoning,no
2022-10,,2022-04-19,"Ordinance 2022-10, Adopting the Project Area Plan, with the amendments as proposed",https://www.sjc.utah.gov/Archive.aspx?ADID=256,,na,motion-citation (derived from minutes; not independently corroborated),,no,5-0 Pass,2022-04-19,13,within_source,general,no
2022-11,,2022-05-03,"Ordinance 2022-11, vacating a portion of a waterline easement as stated above",https://www.sjc.utah.gov/Archive.aspx?ADID=258,,na,motion-citation (derived from minutes; not independently corroborated),,no,5-0 Pass,2022-05-03,11,within_source,general,no
2022-12,,2022-07-19,"Ordinance 2022-12, Amending Section 17.16.010 of the South Jordan Municipal Code",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1658871436_Ordinance%20No.%202022-12.pdf,2026-07-06,scanned,scanned image PDF (OCR/vision on signature page for date; body OCR deferred),raw/ordinances_archive/2022-12.pdf,yes,5-0 Pass,2022-07-19,6,high,general,yes
2022-13,,2022-06-07,"Ordinance 2022-13, Amending Section 1.12.030 to remove the legal descriptions related to district boundaries",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1656350109_Ordinance%20No.%202022-13.pdf,2026-07-06,scanned,scanned image PDF (OCR/vision on signature page for date; body OCR deferred),raw/ordinances_archive/2022-13.pdf,no,5-0 Pass,2022-06-07,3,high,general,yes
2022-14,,2022-06-07,"Ordinance 2022-14, Amending City Code in relation to locations of mobile food vendors",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1656350801_Ordinance%20No.%202022-14.pdf,2026-07-06,scanned,scanned image PDF (OCR/vision on signature page for date; body OCR deferred),raw/ordinances_archive/2022-14.pdf,no,5-0 Pass,2022-06-07,4,high,general,yes
2022-15,,2022-10-04,"Ordinance 2022-15, Replacing Chapter 5.62 with a new Title 14",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1664996982_Ordinance%20No.%202022-15.pdf,2026-07-06,scanned,scanned image PDF (OCR/vision on signature page for date; body OCR deferred),raw/ordinances_archive/2022-15.pdf,no,4-0 Pass,2022-10-04,3,high,general,yes
2022-16,,2022-12-06,"Council Member Marlor moved to approve Ordinance 2022-16, Amending various sections of the City Code",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1671135953_Ordinance%20No.%202022-16.pdf,2026-07-06,scanned,scanned image PDF (OCR/vision on signature page for date; body OCR deferred),raw/ordinances_archive/2022-16.pdf,no,4-0 Pass,2022-12-06,3,high,general,yes
2023-01-Z,,2023-01-17,"Zoning Ordinance 2023-01-Z, Rezoning Property from the A-5 to the R-M-PD Zone",https://www.sjc.utah.gov/Archive.aspx?ADID=288,,na,motion-citation (derived from minutes; not independently corroborated),,yes,4-1 Pass,2023-01-17,8,within_source,zoning,no
2023-02,,2023-02-07,"Ordinance 2023-02, Adopting an amended and updated Impact Fee for Water and Transportation within the “Last Hold Out” properties; establishing certain policies",https://www.sjc.utah.gov/Archive.aspx?ADID=291,,na,motion-citation (derived from minutes; not independently corroborated),,no,5-0 Pass,2023-02-07,5,within_source,general,no
2023-02-Z,,2023-02-07,"Zoning Ordinance 2023-02-Z, Rezoning property as stated",https://www.sjc.utah.gov/Archive.aspx?ADID=291,,na,motion-citation (derived from minutes; not independently corroborated),,yes,5-0 Pass,2023-02-07,4,within_source,zoning,no
2023-03,,2023-02-07,"Ordinance 2023-03, Adopting an amended and updated Impact Fee for Water and Transportation within the “Lark Meadows” properties; establishing certain policies r",https://www.sjc.utah.gov/Archive.aspx?ADID=291,,na,motion-citation (derived from minutes; not independently corroborated),,no,5-0 Pass,2023-02-07,6,within_source,general,no
2023-04,,2023-03-07,"Ordinance 2023-04, Re-Adopting the city’s construction standards and specifications",https://www.sjc.utah.gov/Archive.aspx?ADID=296,,na,motion-citation (derived from minutes; not independently corroborated),,no,5-0 Pass,2023-03-07,4,within_source,general,no
2023-05,,2023-03-21,"Ordinance 2023-05, Annexing the area and extending the corporate limits of South Jordan City as stated",https://www.sjc.utah.gov/Archive.aspx?ADID=297,,na,motion-citation (derived from minutes; not independently corroborated),,yes,5-0 Pass,2023-03-21,2,within_source,general,no
2023-06,,2023-07-18,"Ordinance 2023-06, Vacating all of the East Town Center Roadway Dedication Plat",https://www.sjc.utah.gov/Archive.aspx?ADID=310,,na,motion-citation (derived from minutes; not independently corroborated),,yes,5-0 Pass,2023-07-18,6,within_source,general,no
2023-07,,2023-05-02,"Ordinance 2023-07, Amending the above section of the South Jordan Municipal Code",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1683131290_ORDINANCE%202023-07.pdf,2026-07-06,scanned,scanned image PDF (OCR/vision on signature page for date; body OCR deferred),raw/ordinances_archive/2023-07.pdf,no,5-0 Pass,2023-05-02,4,high,general,yes
2023-08,,2023-06-06,"Ordinance 2023-08, Vacating a portion of Right-of-Way",https://www.sjc.utah.gov/Archive.aspx?ADID=307,,na,motion-citation (derived from minutes; not independently corroborated),,no,5-0 Pass,2023-06-06,4,within_source,general,no
2023-09,,2023-06-06,"Ordinance 2023-09, Amending subsections of the South Jordan Municipal Code, as stated",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1686165886_ORDINANCE%202023-09.pdf,2026-07-06,scanned,scanned image PDF (OCR/vision on signature page for date; body OCR deferred),raw/ordinances_archive/2023-09.pdf,no,5-0 Pass,2023-06-06,5,high,general,yes
2024-01,,2024-01-02,"AN ORDINANCE OF THE CITY COUNCIL OF THE CITY OF SOUTH JORDAN, UTAH, AMENDING SECTIONS 17.04.240 (PUBLIC UTILITIES), 17.18.030 (USE - REGULATIONS), AND 17.18.060 (USE DEFINITIONS) OF THE SOUTH JORDAN CITY MUNICIPAL CODE TO CHANGE PUBLIC UTILITY AND RESTAURANT USES FROM CONDITIONAL USES TO PERMITTED USES",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1704736626_ORDINANCE%202024-01%20-%20FINAL.pdf,2026-07-06,scanned,scanned image PDF (OCR/vision on signature page for date; body OCR deferred),raw/ordinances_archive/2024-01.pdf,yes,,2024-01-02,,low,general,yes
2024-01-Z,,2024-01-16,"Zoning Ordinance 2024-01-Z, Rezoning Property from the A-5 Zone to the R-1.8 Zone",https://www.sjc.utah.gov/Archive.aspx?ADID=332,,na,motion-citation (derived from minutes; not independently corroborated),,yes,4-0 Pass,2024-01-16,5,within_source,zoning,no
2024-02,,2024-01-16,"Ordinance 2024-02, Amending above Sections of the South Jordan City Municipal Code",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1707158846_ORDINANCE%202024-02%20-%20FINAL.pdf,2026-07-06,scanned,scanned image PDF (OCR/vision on signature page for date; body OCR deferred),raw/ordinances_archive/2024-02.pdf,no,4-0 Pass,2024-01-16,6,high,general,yes
2024-02-Z,,2024-01-16,"Zoning Ordinance 2024-02-Z, Rezoning property located at approximately 9800 South 4800 West from the Open Space-Parks (OS- P) Zone (North Parcel) and the Reside",https://www.sjc.utah.gov/Archive.aspx?ADID=332,,na,motion-citation (derived from minutes; not independently corroborated),,yes,4-0 Pass,2024-01-16,10,within_source,zoning,no
2024-03,,2024-01-16,"Ordinance 2024-03, Vacating a segment of Flying Fish Drive between Lake Avenue and Meadow Grass Drive",https://www.sjc.utah.gov/Archive.aspx?ADID=332,,na,motion-citation (derived from minutes; not independently corroborated),,no,4-0 Pass,2024-01-16,7,within_source,general,no
2024-04-Z,,2024-03-19,"Zoning Ordinance 2024-04-Z, Rezoning property located at the address listed",https://www.sjc.utah.gov/Archive.aspx?ADID=340,,na,motion-citation (derived from minutes; not independently corroborated),,yes,5-0 Pass,2024-03-19,5,within_source,zoning,no
2024-05,,2024-03-19,"Ordinance 2024-05, Adopting an amended and updated Impact Fee for Public Safety",https://www.sjc.utah.gov/Archive.aspx?ADID=340,,na,motion-citation (derived from minutes; not independently corroborated),,no,5-0 Pass,2024-03-19,2,within_source,general,no
