date,candidate,office,election_year,filing_type,reporting_period,title,source_url,retrieved_date,format,extraction_method,path,district,source,in_election_results,matched_election_candidate,join_confidence,date_precision,docid,note
2019-09-17,David Nicponski,Council,2019,summary,Final (eliminated in primary),2019 David Nicponski - Final (eliminated in primary),https://www.murray.utah.gov/DocumentCenter/View/10185,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/201909_David-Nicponski_10185.pdf,1,city_cf_page,below_floor,,,page_stated,10185,
2019-08-08,Jake Pehrson,Council,2019,interim,Pre-Primary,2019 Jake Pehrson - Pre-Primary,https://www.murray.utah.gov/DocumentCenter/View/10078,2026-07-13,text,none (raw acquisition; OCR/vision deferred),raw/201908_Jake-Pehrson_10078.pdf,1,city_cf_page,below_floor,,,page_stated,10078,
2019-10-30,Jake Pehrson,Council,2019,interim,Pre-General,2019 Jake Pehrson - Pre-General,https://www.murray.utah.gov/DocumentCenter/View/10400,2026-07-13,text,none (raw acquisition; OCR/vision deferred),raw/201910_Jake-Pehrson_10400.pdf,1,city_cf_page,below_floor,,,page_stated,10400,
2019-12-05,Jake Pehrson,Council,2019,summary,Year-end final,2019 Jake Pehrson - Year-end final,https://www.murray.utah.gov/DocumentCenter/View/10512,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/201912_Jake-Pehrson_10512.pdf,1,city_cf_page,below_floor,,,page_stated,10512,
2019-08-05,Kat Martinez,Council,2019,interim,Pre-Primary,2019 Kat Martinez - Pre-Primary,https://www.murray.utah.gov/DocumentCenter/View/10060,2026-07-13,text,none (raw acquisition; OCR/vision deferred),raw/201908_Kat-Martinez_10060.pdf,1,city_cf_page,below_floor,,,page_stated,10060,
2019-10-30,Kat Martinez,Council,2019,interim,Pre-General,2019 Kat Martinez - Pre-General,https://www.murray.utah.gov/DocumentCenter/View/10401,2026-07-13,text,none (raw acquisition; OCR/vision deferred),raw/201910_Kat-Martinez_10401.pdf,1,city_cf_page,below_floor,,,page_stated,10401,
2019-12-05,Kat Martinez,Council,2019,summary,Year-end final,2019 Kat Martinez - Year-end final,https://www.murray.utah.gov/DocumentCenter/View/10511,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/201912_Kat-Martinez_10511.pdf,1,city_cf_page,below_floor,,,page_stated,10511,
2019-08-05,Adam Thompson,Council,2019,interim,Pre-Primary,2019 Adam Thompson - Pre-Primary,https://www.murray.utah.gov/DocumentCenter/View/10058,2026-07-13,text,none (raw acquisition; OCR/vision deferred),raw/201908_Adam-Thompson_10058.pdf,3,city_cf_page,below_floor,,,page_stated,10058,
2019-10-30,Adam Thompson,Council,2019,interim,Pre-General,2019 Adam Thompson - Pre-General,https://www.murray.utah.gov/DocumentCenter/View/10402,2026-07-13,text,none (raw acquisition; OCR/vision deferred),raw/201910_Adam-Thompson_10402.pdf,3,city_cf_page,below_floor,,,page_stated,10402,
2019-12-05,Adam Thompson,Council,2019,summary,Year-end final,2019 Adam Thompson - Year-end final,https://www.murray.utah.gov/DocumentCenter/View/10516,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/201912_Adam-Thompson_10516.pdf,3,city_cf_page,below_floor,,,page_stated,10516,
2019-08-05,Jim Brass,Council,2019,interim,Pre-Primary,2019 Jim Brass - Pre-Primary,https://www.murray.utah.gov/DocumentCenter/View/10059,2026-07-13,text,none (raw acquisition; OCR/vision deferred),raw/201908_Jim-Brass_10059.pdf,3,city_cf_page,below_floor,,,page_stated,10059,
2019-09-17,Jim Brass,Council,2019,summary,Final (eliminated in primary),2019 Jim Brass - Final (eliminated in primary),https://www.murray.utah.gov/DocumentCenter/View/10184,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/201909_Jim-Brass_10184.pdf,3,city_cf_page,below_floor,,,page_stated,10184,
2019-08-08,Rosalba Dominguez,Council,2019,interim,Pre-Primary,2019 Rosalba Dominguez - Pre-Primary (Amended),https://www.murray.utah.gov/DocumentCenter/View/13759,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/201908_Rosalba-Dominguez_13759.pdf,3,city_cf_page,below_floor,,,page_stated,13759,"Re-uploaded/updated by city March 9, 2023; Amended; server file: 20190808-amended Primary"
2019-08-09,Rosalba Dominguez,Council,2019,interim,Pre-Primary,2019 Rosalba Dominguez - Pre-Primary,https://www.murray.utah.gov/DocumentCenter/View/13761,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/201908_Rosalba-Dominguez_13761.pdf,3,city_cf_page,below_floor,,,page_stated,13761,"Re-uploaded/updated by city March 9, 2023; server file: 20190806-stamped Primary"
2019-10-29,Rosalba Dominguez,Council,2019,interim,Pre-Primary,2019 Rosalba Dominguez - Pre-Primary (duplicate stamped copy),https://www.murray.utah.gov/DocumentCenter/View/13760,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/201910_Rosalba-Dominguez_13760.pdf,3,city_cf_page,below_floor,,,page_stated,13760,"Amended; re-uploaded/updated by city March 9, 2023; DUPLICATE stamped copy of the Primary statement per server filename (20190806 Primary_1); the city page lists it as 'Uploaded October 29, 2019' under '(Amended)' - flagged"
2019-10-30,Rosalba Dominguez,Council,2019,interim,Pre-General,2019 Rosalba Dominguez - Pre-General,https://www.murray.utah.gov/DocumentCenter/View/13762,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/201910_Rosalba-Dominguez_13762.pdf,3,city_cf_page,below_floor,,,page_stated,13762,"Re-uploaded/updated by city March 9, 2023; server file: 20191029-stamped General"
2019-12-05,Rosalba Dominguez,Council,2019,interim,Pre-General,2019 Rosalba Dominguez - Pre-General (Amended),https://www.murray.utah.gov/DocumentCenter/View/13758,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/201912_Rosalba-Dominguez_13758.pdf,3,city_cf_page,below_floor,,,page_stated,13758,"Amended; re-uploaded/updated by city March 9, 2023; Amended; server file: 20191029 Amended-General; the city page lists it under December 5 - flagged"
2019-12-05,Rosalba Dominguez,Council,2019,summary,Year-end final,2019 Rosalba Dominguez - Year-end final,https://www.murray.utah.gov/DocumentCenter/View/13763,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/201912_Rosalba-Dominguez_13763.pdf,3,city_cf_page,below_floor,,,page_stated,13763,"Re-uploaded/updated by city March 9, 2023; server file: 20191205 Final"
2019-10-30,Brett Hales,Council,2019,interim,Pre-General,2019 Brett Hales - Pre-General,https://www.murray.utah.gov/DocumentCenter/View/10404,2026-07-13,text,none (raw acquisition; OCR/vision deferred),raw/201910_Brett-Hales_10404.pdf,5,city_cf_page,below_floor,,,page_stated,10404,
2019-12-05,Brett Hales,Council,2019,summary,Year-end final,2019 Brett Hales - Year-end final,https://www.murray.utah.gov/DocumentCenter/View/10515,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/201912_Brett-Hales_10515.pdf,5,city_cf_page,below_floor,,,page_stated,10515,
2021-10-26,Joe Silverzweig,Council,2021,interim,Pre-General 7-day,2021 Joe Silverzweig - Pre-General 7-day,https://www.murray.utah.gov/DocumentCenter/View/12493,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/202110_Joe-Silverzweig_12493.pdf,2,city_cf_page,yes,JOE SILVERZWEIG,high,page_stated,12493,
2021-12-02,Joe Silverzweig,Council,2021,summary,Year-end final,2021 Joe Silverzweig - Year-end final,https://www.murray.utah.gov/DocumentCenter/View/12627,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/202112_Joe-Silverzweig_12627.pdf,2,city_cf_page,yes,JOE SILVERZWEIG,high,page_stated,12627,
2021-10-26,Pamela J. Cotter,Council,2021,interim,Pre-General 7-day,2021 Pamela J. Cotter - Pre-General 7-day,https://www.murray.utah.gov/DocumentCenter/View/12492,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/202110_Pamela-J-Cotter_12492.pdf,2,city_cf_page,yes,PAMELA J. COTTER,high,page_stated,12492,
2021-12-02,Pamela J. Cotter,Council,2021,summary,Year-end final,2021 Pamela J. Cotter - Year-end final,https://www.murray.utah.gov/DocumentCenter/View/12617,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/202112_Pamela-J-Cotter_12617.pdf,2,city_cf_page,yes,PAMELA J. COTTER,high,page_stated,12617,
2021-08-03,Daren Rasmussen,Council,2021,interim,Pre-Primary,2021 Daren Rasmussen - Pre-Primary,https://www.murray.utah.gov/DocumentCenter/View/12501,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/202108_Daren-Rasmussen_12501.pdf,4,city_cf_page,yes,DAREN RASMUSSEN,high,page_stated,12501,
2021-10-26,Daren Rasmussen,Council,2021,interim,Pre-General 7-day,2021 Daren Rasmussen - Pre-General 7-day,https://www.murray.utah.gov/DocumentCenter/View/12491,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/202110_Daren-Rasmussen_12491.pdf,4,city_cf_page,yes,DAREN RASMUSSEN,high,page_stated,12491,
2021-12-02,Daren Rasmussen,Council,2021,summary,Year-end final,2021 Daren Rasmussen - Year-end final,https://www.murray.utah.gov/DocumentCenter/View/12616,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/202112_Daren-Rasmussen_12616.pdf,4,city_cf_page,yes,DAREN RASMUSSEN,high,page_stated,12616,
2021-08-03,Diane Turner,Council,2021,interim,Pre-Primary,2021 Diane Turner - Pre-Primary,https://www.murray.utah.gov/DocumentCenter/View/12502,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/202108_Diane-Turner_12502.pdf,4,city_cf_page,yes,DIANE TURNER,high,page_stated,12502,
2021-10-26,Diane Turner,Council,2021,interim,Pre-General 7-day,2021 Diane Turner - Pre-General 7-day,https://www.murray.utah.gov/DocumentCenter/View/12490,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/202110_Diane-Turner_12490.pdf,4,city_cf_page,yes,DIANE TURNER,high,page_stated,12490,
2021-12-02,Diane Turner,Council,2021,summary,Year-end final,2021 Diane Turner - Year-end final,https://www.murray.utah.gov/DocumentCenter/View/12615,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/202112_Diane-Turner_12615.pdf,4,city_cf_page,yes,DIANE TURNER,high,page_stated,12615,
2021-08-03,Adam Kent Fitzgerald,Mayor,2021,interim,Pre-Primary,2021 Adam Kent Fitzgerald - Pre-Primary,https://www.murray.utah.gov/DocumentCenter/View/12497,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/202108_Adam-Kent-Fitzgerald_12497.pdf,,city_cf_page,no,,,page_stated,12497,
2021-09-09,Adam Kent Fitzgerald,Mayor,2021,summary,Post-Primary final (eliminated in primary),2021 Adam Kent Fitzgerald - Post-Primary final (eliminated in primary),https://www.murray.utah.gov/DocumentCenter/View/12498,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/202109_Adam-Kent-Fitzgerald_12498.pdf,,city_cf_page,no,,,page_stated,12498,
2021-08-03,Alexander Teemsma,Mayor,2021,interim,Pre-Primary,2021 Alexander Teemsma - Pre-Primary,https://www.murray.utah.gov/DocumentCenter/View/12499,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/202108_Alexander-Teemsma_12499.pdf,,city_cf_page,no,,,page_stated,12499,
2021-09-08,Alexander Teemsma,Mayor,2021,summary,Post-Primary final (eliminated in primary),2021 Alexander Teemsma - Post-Primary final (eliminated in primary),https://www.murray.utah.gov/DocumentCenter/View/12500,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/202109_Alexander-Teemsma_12500.pdf,,city_cf_page,no,,,page_stated,12500,
2021-08-03,Brett A. Hales,Mayor,2021,interim,Pre-Primary,2021 Brett A. Hales - Pre-Primary,https://www.murray.utah.gov/DocumentCenter/View/12503,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/202108_Brett-A-Hales_12503.pdf,,city_cf_page,yes,BRETT A. HALES,high,page_stated,12503,
2021-10-26,Brett A. Hales,Mayor,2021,interim,Pre-General 7-day,2021 Brett A. Hales - Pre-General 7-day,https://www.murray.utah.gov/DocumentCenter/View/12494,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/202110_Brett-A-Hales_12494.pdf,,city_cf_page,yes,BRETT A. HALES,high,page_stated,12494,
2021-12-02,Brett A. Hales,Mayor,2021,summary,Year-end final,2021 Brett A. Hales - Year-end final,https://www.murray.utah.gov/DocumentCenter/View/12630,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/202112_Brett-A-Hales_12630.pdf,,city_cf_page,yes,BRETT A. HALES,high,page_stated,12630,
2021-08-03,Clark Bullen,Mayor,2021,interim,Pre-Primary,2021 Clark Bullen - Pre-Primary,https://www.murray.utah.gov/DocumentCenter/View/12496,2026-07-13,text,none (raw acquisition; OCR/vision deferred),raw/202108_Clark-Bullen_12496.pdf,,city_cf_page,yes,CLARK BULLEN,high,page_stated,12496,
2021-10-26,Clark Bullen,Mayor,2021,interim,Pre-General 7-day,2021 Clark Bullen - Pre-General 7-day,https://www.murray.utah.gov/DocumentCenter/View/12505,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/202110_Clark-Bullen_12505.pdf,,city_cf_page,yes,CLARK BULLEN,high,page_stated,12505,
2021-10-29,Clark Bullen,Mayor,2021,interim,Pre-General 7-day,2021 Clark Bullen - Pre-General 7-day (Amended),https://www.murray.utah.gov/DocumentCenter/View/12513,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/202110_Clark-Bullen_12513.pdf,,city_cf_page,yes,CLARK BULLEN,high,page_stated,12513,Amended
2021-12-02,Clark Bullen,Mayor,2021,summary,Year-end final,2021 Clark Bullen - Year-end final,https://www.murray.utah.gov/DocumentCenter/View/12629,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/202112_Clark-Bullen_12629.pdf,,city_cf_page,yes,CLARK BULLEN,high,page_stated,12629,
2023-08-29,Aaron Thompson,Council,2023,interim,Pre-Primary,2023 Aaron Thompson - Pre-Primary,https://www.murray.utah.gov/DocumentCenter/View/14461,2026-07-13,text,none (raw acquisition; OCR/vision deferred),raw/202308_Aaron-Thompson_14461.pdf,1,city_cf_page,yes,AARON THOMPSON,high,page_stated,14461,
2023-10-05,Aaron Thompson,Council,2023,summary,Post-Primary final (eliminated in primary),2023 Aaron Thompson - Post-Primary final (eliminated in primary),https://www.murray.utah.gov/DocumentCenter/View/14644,2026-07-13,text,none (raw acquisition; OCR/vision deferred),raw/202310_Aaron-Thompson_14644.pdf,1,city_cf_page,yes,AARON THOMPSON,high,page_stated,14644,
2023-08-29,David W. Rodgers,Council,2023,interim,Pre-Primary,2023 David W. Rodgers - Pre-Primary,https://www.murray.utah.gov/DocumentCenter/View/14460,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/202308_David-W-Rodgers_14460.pdf,1,city_cf_page,yes,DAVID W. RODGERS,high,page_stated,14460,
2023-10-24,David W. Rodgers,Council,2023,interim,Pre-General 28-day,2023 David W. Rodgers - Pre-General 28-day,https://www.murray.utah.gov/DocumentCenter/View/14721,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/202310_David-W-Rodgers_14721.pdf,1,city_cf_page,yes,DAVID W. RODGERS,high,page_stated,14721,
2023-11-14,David W. Rodgers,Council,2023,interim,Pre-General 7-day,2023 David W. Rodgers - Pre-General 7-day,https://www.murray.utah.gov/DocumentCenter/View/14804,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/202311_David-W-Rodgers_14804.pdf,1,city_cf_page,yes,DAVID W. RODGERS,high,page_stated,14804,
2023-12-21,David W. Rodgers,Council,2023,summary,Year-end final,2023 David W. Rodgers - Year-end final,https://www.murray.utah.gov/DocumentCenter/View/14939,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/202312_David-W-Rodgers_14939.pdf,1,city_cf_page,yes,DAVID W. RODGERS,high,page_stated,14939,
2023-08-29,Paul Pickett,Council,2023,interim,Pre-Primary,2023 Paul Pickett - Pre-Primary,https://www.murray.utah.gov/DocumentCenter/View/14459,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/202308_Paul-Pickett_14459.pdf,1,city_cf_page,yes,PAUL PICKETT,high,page_stated,14459,
2023-10-24,Paul Pickett,Council,2023,interim,Pre-General 28-day,2023 Paul Pickett - Pre-General 28-day,https://www.murray.utah.gov/DocumentCenter/View/14720,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/202310_Paul-Pickett_14720.pdf,1,city_cf_page,yes,PAUL PICKETT,high,page_stated,14720,
2023-11-03,Paul Pickett,Council,2023,interim,Pre-General 28-day,2023 Paul Pickett - Pre-General 28-day (Amended),https://www.murray.utah.gov/DocumentCenter/View/14783,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/202311_Paul-Pickett_14783.pdf,1,city_cf_page,yes,PAUL PICKETT,high,page_stated,14783,"Amending October 24, 2023 statement"
2023-11-14,Paul Pickett,Council,2023,interim,Pre-General 7-day,2023 Paul Pickett - Pre-General 7-day,https://www.murray.utah.gov/DocumentCenter/View/14803,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/202311_Paul-Pickett_14803.pdf,1,city_cf_page,yes,PAUL PICKETT,high,page_stated,14803,
2023-12-21,Paul Pickett,Council,2023,summary,Year-end final,2023 Paul Pickett - Year-end final,https://www.murray.utah.gov/DocumentCenter/View/14938,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/202312_Paul-Pickett_14938.pdf,1,city_cf_page,yes,PAUL PICKETT,high,page_stated,14938,
2023-08-29,Clark Bullen,Council,2023,interim,Pre-Primary,2023 Clark Bullen - Pre-Primary,https://www.murray.utah.gov/DocumentCenter/View/14465,2026-07-13,text,none (raw acquisition; OCR/vision deferred),raw/202308_Clark-Bullen_14465.pdf,3,city_cf_page,yes,CLARK BULLEN,high,page_stated,14465,
2023-10-24,Clark Bullen,Council,2023,interim,Pre-General 28-day,2023 Clark Bullen - Pre-General 28-day,https://www.murray.utah.gov/DocumentCenter/View/14722,2026-07-13,text,none (raw acquisition; OCR/vision deferred),raw/202310_Clark-Bullen_14722.pdf,3,city_cf_page,yes,CLARK BULLEN,high,page_stated,14722,
2023-11-14,Clark Bullen,Council,2023,interim,Pre-General 7-day,2023 Clark Bullen - Pre-General 7-day,https://www.murray.utah.gov/DocumentCenter/View/14806,2026-07-13,text,none (raw acquisition; OCR/vision deferred),raw/202311_Clark-Bullen_14806.pdf,3,city_cf_page,yes,CLARK BULLEN,high,page_stated,14806,
2023-12-21,Clark Bullen,Council,2023,summary,Year-end final,2023 Clark Bullen - Year-end final,https://www.murray.utah.gov/DocumentCenter/View/14941,2026-07-13,text,none (raw acquisition; OCR/vision deferred),raw/202312_Clark-Bullen_14941.pdf,3,city_cf_page,yes,CLARK BULLEN,high,page_stated,14941,
2023-08-29,Janice Strobell,Council,2023,interim,Pre-Primary,2023 Janice Strobell - Pre-Primary,https://www.murray.utah.gov/DocumentCenter/View/14466,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/202308_Janice-Strobell_14466.pdf,3,city_cf_page,yes,JANICE STROBELL,high,page_stated,14466,
2023-10-05,Janice Strobell,Council,2023,summary,Post-Primary final (eliminated in primary),2023 Janice Strobell - Post-Primary final (eliminated in primary),https://www.murray.utah.gov/DocumentCenter/View/14647,2026-07-13,text,none (raw acquisition; OCR/vision deferred),raw/202310_Janice-Strobell_14647.pdf,3,city_cf_page,yes,JANICE STROBELL,high,page_stated,14647,
2023-08-03,Jim Brass,Council,2023,,,2023 Jim Brass - Candidacy Withdrawal Affidavit (not a finance statement),https://www.murray.utah.gov/DocumentCenter/View/14399,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/202308_Jim-Brass_14399.pdf,3,city_cf_page,no,,,page_stated,14399,Candidacy Withdrawal Affidavit (not a finance statement)
2023-08-03,Jim Brass,Council,2023,summary,Final (candidate withdrew),2023 Jim Brass - Final (candidate withdrew),https://www.murray.utah.gov/DocumentCenter/View/14400,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/202308_Jim-Brass_14400.pdf,3,city_cf_page,no,,,page_stated,14400,
2023-08-29,Leann Parker-Reed,Council,2023,interim,Pre-Primary,2023 Leann Parker-Reed - Pre-Primary,https://www.murray.utah.gov/DocumentCenter/View/14462,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/202308_Leann-Parker-Reed_14462.pdf,3,city_cf_page,yes,LEANN PARKER-REED,high,page_stated,14462,
