candidate,office_label,listing_label,folder_year,folder_period,url,filename
Dave Robinson,Mayor,November 2016 Financial Disclosure Report,2016,november,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2016_disclosures/november/dave-robinson_redacted.pdf,dave-robinson_redacted.pdf
Dave Robinson,Mayor,September 2016 Financial Disclosure Report,2016,september,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2016_disclosures/september/dave-robinson_redacted.pdf,dave-robinson_redacted.pdf
David Alvord,Council #2,April 2020,2020,april,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2020_disclosures/april/alvord-financial-disclosures_redacted.pdf,alvord-financial-disclosures_redacted.pdf
Dea Theodore,Council #6,April 2020,2020,april,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2020_disclosures/april/theodore-financial-disclosures_redacted.pdf,theodore-financial-disclosures_redacted.pdf
Dea Theodore,Council #6,2020 Year End Reports,2020,forms,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/forms/dea-theodore-redacted.pdf,dea-theodore-redacted.pdf
Dea Theodore,Council #6,June 2020,2020,june,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2020_disclosures/june/theodore-county-council-6_redacted.pdf,theodore-county-council-6_redacted.pdf
Dea Theodore,Council #6,Oct 2020,2020,october,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2020_disclosures/october/dea-theodore-redacted.pdf,dea-theodore-redacted.pdf
Dea Theodore,Council #6,Sept 2020,2020,september,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2020_disclosures/september/financial-disclosures-dea-theodore-92020_redacted.pdf,financial-disclosures-dea-theodore-92020_redacted.pdf
Dea Theodore,Council #6,2021 Year End Reports,2021,(root),https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/dea-theadore-2.pdf,dea-theadore-2.pdf
Erin Preston,Recorder,April 2020,2020,april,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2020_disclosures/april/erin-preston---april-2020_redacted.pdf,erin-preston---april-2020_redacted.pdf
Erin Preston,Recorder,June 2020,2020,june,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2020_disclosures/june/preston-recorder_redacted.pdf,preston-recorder_redacted.pdf
Jeffrey Hatch,Auditor,Dissolution,2015,dissolutions,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2015_disclosures/dissolutions/j-hatch-final-dissolution_fdr.pdf,j-hatch-final-dissolution_fdr.pdf
Jennifer Fresques,Assessor,2019 Year End Report,2019,(root),https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/jennifer-fresques_redacted.pdf,jennifer-fresques_redacted.pdf
Jennifer Wilson,Council At-Large A,2015 Summary Report,2015,(root),https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/jenny_wilson2015ye.pdf,jenny_wilson2015ye.pdf
Jennifer Wilson,Council At-Large A,2019 Dissolution,2019,(root),https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/jennywilson_dissolution_redacted.pdf,jennywilson_dissolution_redacted.pdf
Jim Bradley,Council At-Large C,2015 Summary Report,2015,2015_year_end,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2015_disclosures/2015_year_end/jim_bradley2015ye.pdf,jim_bradley2015ye.pdf
Jim Bradley,Council At-Large C,Amendment to 2015 Summary,2015,2015_year_end,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2015_disclosures/2015_year_end/jim-bradley-amendment---redacted.pdf,jim-bradley-amendment---redacted.pdf
Jim Bradley,Council At-Large C,2016 Summary Report,2016,2016_year_end,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2016_disclosures/2016_year_end/jim-bradley_redacted.pdf,jim-bradley_redacted.pdf
Jim Bradley,Council At-Large C,Amendment to September,2016,september,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2016_disclosures/september/bradley-september-amendment-2018.pdf,bradley-september-amendment-2018.pdf
Jim Bradley,Council At-Large C,2017 Summary Report,2017,(root),https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/jim-bradley_redacted.pdf,jim-bradley_redacted.pdf
Jim Bradley,Council At-Large C,October,2018,2018_year_end,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2018_disclosures/2018_year_end/jim-bradley_redacted.pdf,jim-bradley_redacted.pdf
Jim Bradley,Council At-Large C,2018 Summary Report,2018,2018_year_end,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2018_disclosures/2018_year_end/jim-bradley_redacted.pdf,jim-bradley_redacted.pdf
Jim Bradley,Council At-Large C,"Through March 31, 2018",2018,april,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2018_disclosures/april/jim-bradley.pdf,jim-bradley.pdf
Jim Bradley,Council At-Large C,June,2018,june,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2018_disclosures/june/jim-bradley_redacted.pdf,jim-bradley_redacted.pdf
Jim Bradley,Council At-Large C,September,2018,september,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2018_disclosures/september/bradley-jim--council-at-large-c1.pdf,bradley-jim--council-at-large-c1.pdf
Jim Bradley,Council At-Large C,2019 Year End Report,2019,(root),https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/jim-bradley---redacted.pdf,jim-bradley---redacted.pdf
Jim Bradley,Council At-Large C,2020 Year End Report,2020,forms,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/forms/jim-bradley_redacted_1.pdf,jim-bradley_redacted_1.pdf
Julie Dole,Recorder,2017 Summary Report,2017,(root),https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/julie-dole_redacted.pdf,julie-dole_redacted.pdf
Kenneth Hansen,Sheriff,2017 Summary Report,2017,(root),https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/kenneth-hansen_redacted.pdf,kenneth-hansen_redacted.pdf
Levi Hughes,Sheriff,2017 Summary Report,2017,(root),https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/levi-hughes_redacted.pdf,levi-hughes_redacted.pdf
Lisa Gehrke,Council 3,2019 Year End Report,2019,(root),https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/lisa-gehrke-redacted.pdf,lisa-gehrke-redacted.pdf
Max Burdick,Council #6,2015 Summary Report,2015,2015_year_end,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2015_disclosures/2015_year_end/max_burdick2015ye.pdf,max_burdick2015ye.pdf
Max Burdick,Council #6,2016 Summary Report,2016,2016_year_end,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2016_disclosures/2016_year_end/max-burdick_redacted.pdf,max-burdick_redacted.pdf
Max Burdick,Council #6,April,2016,april,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2016_disclosures/april/max-burdick_april.pdf,max-burdick_april.pdf
Max Burdick,Council #6,June,2016,june,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2016_disclosures/june/max-burdick--council-6_redacted.pdf,max-burdick--council-6_redacted.pdf
Max Burdick,Council #6,November,2016,november,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2016_disclosures/november/max-burdick_redacted.pdf,max-burdick_redacted.pdf
Max Burdick,Council #6,September,2016,september,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2016_disclosures/september/max-burdick_redacted.pdf,max-burdick_redacted.pdf
Max Burdick,Council #6,2017 Summary Report,2017,(root),https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/max-burdick_redacted.pdf,max-burdick_redacted.pdf
Max Burdick,Council #6,2018 Summary Report,2018,2018_year_end,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2018_disclosures/2018_year_end/max-burdick_redacted.pdf,max-burdick_redacted.pdf
Max Burdick,Council #6,2019 Year End Report,2019,(root),https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/max-burdick-redacted.pdf,max-burdick-redacted.pdf
Max Burdick,Council #6,April 2020,2020,april,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2020_disclosures/april/burdick-fin-dis-4-6-20_redacted.pdf,burdick-fin-dis-4-6-20_redacted.pdf
Max Burdick,Council #6,2020 Year End Report,2020,forms,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/forms/burdick-2020-year-end_redacted.pdf,burdick-2020-year-end_redacted.pdf
Max Burdick,Council #6,June 2020,2020,june,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2020_disclosures/june/burdick-county-council-6_redacted.pdf,burdick-county-council-6_redacted.pdf
Max Burdick,Council #6,Sept 2020,2020,september,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2020_disclosures/september/burdick-fin-report-3.pdf,burdick-fin-report-3.pdf
Max Burdick,Council #6,Amendment to Sept 2020,2020,september,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2020_disclosures/september/amendment-burdick-fin-report-9-15-20_redacted.pdf,amendment-burdick-fin-report-9-15-20_redacted.pdf
Micah Bruner,Council At-Large A,2015 Summary Report/Dissolution,2015,2015_year_end,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2015_disclosures/2015_year_end/micah_brune2015ye_dissolution.pdf,micah_brune2015ye_dissolution.pdf
Michael Fife,Treasurer,2014 Summary Report,2014,2014_year_end,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2014_disclosures/2014_year_end/mike_fife2014ye.pdf,mike_fife2014ye.pdf
Michael Jensen,Council #2,2021 Year End Report,2021,(root),https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/jensen-michael-2021ye.pdf,jensen-michael-2021ye.pdf
Nathan Evershed,District Attorney,Amendment to September,2016,september,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2016_disclosures/september/evershed-amendment-09-2018.pdf,evershed-amendment-09-2018.pdf
Nathan Evershed,District Attorney,2017 Summary Report,2017,(root),https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/nathan-evershed---redacted.pdf,nathan-evershed---redacted.pdf
Nathan Evershed,District Attorney,2018 Summary Report,2018,2018_year_end,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2018_disclosures/2018_year_end/nathan-evershed_redacted.pdf,nathan-evershed_redacted.pdf
Nathan Evershed,District Attorney,April,2018,april,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2018_disclosures/april/nathan-evershed.pdf,nathan-evershed.pdf
Nathan Evershed,District Attorney,Amendment,2018,april,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2018_disclosures/april/evershed-amendment-april.pdf,evershed-amendment-april.pdf
Nathan Evershed,District Attorney,June,2018,june,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2018_disclosures/june/nathan-evershed_redacted.pdf,nathan-evershed_redacted.pdf
Nathan Evershed,District Attorney,October,2018,october,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2018_disclosures/october/nathan-evershed-10-30_redacted.pdf,nathan-evershed-10-30_redacted.pdf
Nathan Evershed,District Attorney,September,2018,september,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2018_disclosures/september/evershed-nathan---d.a.1.pdf,evershed-nathan---d.a.1.pdf
Paul Recanzone,Council #6,2017 Summary Report,2017,(root),https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/paul-recanzone---redacted.pdf,paul-recanzone---redacted.pdf
R. Fred Ross,Sheriff,2017 Summary Report,2017,(root),https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/r.-fred-ross_redacted.pdf,r.-fred-ross_redacted.pdf
Richard Snelgrove,Council At-Large B,2016 Summary Report,2016,2016_year_end,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2016_disclosures/2016_year_end/richard-snelgrove_redacted.pdf,richard-snelgrove_redacted.pdf
Richard Snelgrove,Council At-Large B,April,2016,april,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2016_disclosures/april/richard-snelgrove-april.pdf,richard-snelgrove-april.pdf
Richard Snelgrove,Council At-Large B,June,2016,june,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2016_disclosures/june/richard-snelgrove-council-b_redacted.pdf,richard-snelgrove-council-b_redacted.pdf
Richard Snelgrove,Council At-Large B,November,2016,november,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2016_disclosures/november/richard-snelgrove_redacted.pdf,richard-snelgrove_redacted.pdf
Richard Snelgrove,Council At-Large B,September,2016,september,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2016_disclosures/september/richard-snelgrove_redacted.pdf,richard-snelgrove_redacted.pdf
Richard Snelgrove,Council At-Large B,2017 Summary Report,2018,2018_year_end,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2018_disclosures/2018_year_end/richard-snelgrove_redacted.pdf,richard-snelgrove_redacted.pdf
Richard Snelgrove,Council At-Large B,2018 Summary Report,2018,2018_year_end,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2018_disclosures/2018_year_end/richard-snelgrove_redacted.pdf,richard-snelgrove_redacted.pdf
Richard Snelgrove,Council At-Large B,2019 Year End Report,2019,(root),https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/richard-snelgrove_redacted.pdf,richard-snelgrove_redacted.pdf
Richard Snelgrove,Council At-Large B,2020 Year End Report,2020,forms,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/forms/snelgrove_redacted.pdf,snelgrove_redacted.pdf
Richard Snelgrove,Council At-Large B,2021 Year End Report,2021,(root),https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/snelgrove-richard-2021ye.pdf,snelgrove-richard-2021ye.pdf
Robert Cundick,Council 4,2018 Summary Report,2018,2018_year_end,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2018_disclosures/2018_year_end/robert-cundick_redacted.pdf,robert-cundick_redacted.pdf
Robert Cundick,Council 4,October,2018,october,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2018_disclosures/october/robert-cundick-10-30_redacted.pdf,robert-cundick-10-30_redacted.pdf
Robert Cundick,Council 4,September,2018,september,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2018_disclosures/september/cundick-robert--council-41.pdf,cundick-robert--council-41.pdf
Rozan Mitchell,Clerk,2017 Summary Report,2017,(root),https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/rozan-mitchell_redacted.pdf,rozan-mitchell_redacted.pdf
Sam Granato,Council #4,2015 Summary Report,2015,2015_year_end,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2015_disclosures/2015_year_end/sam_granato2015ye.pdf,sam_granato2015ye.pdf
Sam Granato,Council #4,2016 Summary Report,2016,2016_year_end,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2016_disclosures/2016_year_end/sam-granato_redacted.pdf,sam-granato_redacted.pdf
Sam Granato,Council #4,April,2016,april,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2016_disclosures/april/sam-granato-april.pdf,sam-granato-april.pdf
Sam Granato,Council #4,June,2016,june,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2016_disclosures/june/sam-granato--county-council-4_redacted.pdf,sam-granato--county-council-4_redacted.pdf
Sam Granato,Council #4,November,2016,november,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2016_disclosures/november/sam-granato_redacted.pdf,sam-granato_redacted.pdf
Sam Granato,Council #4,September,2016,september,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2016_disclosures/september/sam-granato_redacted.pdf,sam-granato_redacted.pdf
Sam Granato,Council #4,2017 Summary Report,2017,(root),https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/sam-granato_redacted.pdf,sam-granato_redacted.pdf
Sam Granato,Council #4,2018 Summary Report,2018,2018_year_end,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2018_disclosures/2018_year_end/sam-granato_redacted.pdf,sam-granato_redacted.pdf
Scott Miller,Recorder,2017 Summary Report,2017,(root),https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/scott-miller---redacted.pdf,scott-miller---redacted.pdf
Scott Tingley,Auditor,2015 Summary Report,2015,2015_year_end,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2015_disclosures/2015_year_end/Scott_TingleyYE2015.pdf,Scott_TingleyYE2015.pdf
Scott Tingley,Auditor,2016 Summary Report,2016,2016_year_end,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2016_disclosures/2016_year_end/scott-tingley_redacted.pdf,scott-tingley_redacted.pdf
Scott Tingley,Auditor,2017 Summary Report,2017,(root),https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/scott-tingley_redacted.pdf,scott-tingley_redacted.pdf
Shireen Ghorbani,Council At-Large A,2019 Year End Report,2019,(root),https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/shireen-ghorbani-redacted.pdf,shireen-ghorbani-redacted.pdf
Sim Gill,District Attorney,2015 Summary Report,2015,2015_year_end,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2015_disclosures/2015_year_end/sim_gill2015ye.pdf,sim_gill2015ye.pdf
Sim Gill,District Attorney,2016 Summary Report,2016,2016_year_end,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2016_disclosures/2016_year_end/sim-gill_redacted.pdf,sim-gill_redacted.pdf
Sim Gill,District Attorney,2017 Summary Report,2017,(root),https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/sim-gill_redacted.pdf,sim-gill_redacted.pdf
Sim Gill,District Attorney,October,2018,2018_year_end,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2018_disclosures/2018_year_end/sim-gill_redacted.pdf,sim-gill_redacted.pdf
Sim Gill,District Attorney,2018 Summary Report,2018,2018_year_end,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2018_disclosures/2018_year_end/sim-gill_redacted.pdf,sim-gill_redacted.pdf
Sim Gill,District Attorney,April,2018,april,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2018_disclosures/april/sim-gill.pdf,sim-gill.pdf
Sim Gill,District Attorney,June,2018,june,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2018_disclosures/june/sim-gill_redacted.pdf,sim-gill_redacted.pdf
Sim Gill,District Attorney,September,2018,september,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2018_disclosures/september/gill-sim---d.a.1.pdf,gill-sim---d.a.1.pdf
Sim Gill,District Attorney,2019 Year End Report,2019,(root),https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/sim-gill-redacted.pdf,sim-gill-redacted.pdf
Sim Gill,District Attorney,2020 Year End Report,2020,forms,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/forms/sim-gill_redacted.pdf,sim-gill_redacted.pdf
