year,election_type,office,district,contest,candidate,voting_method,round1_votes,round1_pct,final_votes,rank,is_winner
2023,municipal general,Council,At-Large,Lehi City Council,NICOLE KUNZE,RCV,1121,13.7,,4,False
2023,municipal general,Council,At-Large,Lehi City Council,KENNETH ROBERTS,RCV,1048,12.8,,5,False
2023,municipal general,Council,At-Large,Lehi City Council,K. CASEY GLADE,RCV,699,8.54,,6,False
2025,municipal primary,Mayor,,Lehi Mayor,PAIGE ALBRECHT,plurality,4009,40.64,,1,True
2025,municipal primary,Mayor,,Lehi Mayor,PAUL BINNS,plurality,3557,36.06,,2,True
2025,municipal primary,Mayor,,Lehi Mayor,CHRIS CONDIE,plurality,1701,17.24,,3,False
2025,municipal primary,Mayor,,Lehi Mayor,CHARLIE TAUTUAA,plurality,598,6.06,,4,False
2025,municipal primary,Council,At-Large,Lehi City Council,EMILY LOCKHART,plurality,3505,18.79,,1,True
2025,municipal primary,Council,At-Large,Lehi City Council,RACHEL FREEMAN,plurality,3438,18.43,,2,True
2025,municipal primary,Council,At-Large,Lehi City Council,JAMES HARRISON,plurality,3415,18.31,,3,True
2025,municipal primary,Council,At-Large,Lehi City Council,JARED V. PETERSON,plurality,2308,12.38,,4,True
2025,municipal primary,Council,At-Large,Lehi City Council,PAUL HANCOCK,plurality,2239,12.01,,5,False
2025,municipal primary,Council,At-Large,Lehi City Council,STEPHEN SUAFILO,plurality,1069,5.73,,6,False
2025,municipal primary,Council,At-Large,Lehi City Council,E. LARELL STEPHENS,plurality,981,5.26,,7,False
2025,municipal primary,Council,At-Large,Lehi City Council,JORDAN M. HUTCHINSON,plurality,681,3.65,,8,False
2025,municipal primary,Council,At-Large,Lehi City Council,KENNETH GLADE,plurality,645,3.46,,9,False
2025,municipal primary,Council,At-Large,Lehi City Council,TYSON HODGES,plurality,369,1.98,,10,False
2025,municipal general,Mayor,,Lehi Mayor,PAUL BINNS,plurality,7909,53.5,,1,True
2025,municipal general,Mayor,,Lehi Mayor,PAIGE ALBRECHT,plurality,6873,46.5,,2,False
2025,municipal general,Council,At-Large,Lehi City Council,JAMES HARRISON,plurality,7603,27.43,,1,True
2025,municipal general,Council,At-Large,Lehi City Council,RACHEL FREEMAN,plurality,7163,25.84,,2,True
2025,municipal general,Council,At-Large,Lehi City Council,EMILY LOCKHART,plurality,6972,25.15,,3,False
2025,municipal general,Council,At-Large,Lehi City Council,JARED V. PETERSON,plurality,5982,21.58,,4,False
