vote_id,motion_id,person,vote_value
172,61,Larry A. Ellertson,Aye
173,61,William C. Lee,Aye
174,61,Greg Graves,Aye
175,62,Larry A. Ellertson,Aye
176,62,William C. Lee,Aye
177,62,Greg Graves,Aye
178,63,Larry A. Ellertson,Aye
179,63,William C. Lee,Aye
180,63,Greg Graves,Aye
181,64,Larry A. Ellertson,Aye
182,64,William C. Lee,Aye
183,64,Greg Graves,Aye
184,65,Larry A. Ellertson,Aye
185,65,William C. Lee,Aye
186,65,Greg Graves,Aye
187,66,Larry A. Ellertson,Aye
188,66,William C. Lee,Aye
189,66,Greg Graves,Aye
190,67,Larry A. Ellertson,Aye
191,67,William C. Lee,Aye
192,67,Greg Graves,Aye
193,68,Larry A. Ellertson,Aye
194,68,William C. Lee,Aye
195,68,Greg Graves,Aye
196,69,Larry A. Ellertson,Aye
197,69,William C. Lee,Aye
198,69,Greg Graves,Aye
199,70,Larry A. Ellertson,Aye
200,70,William C. Lee,Aye
201,70,Greg Graves,Aye
202,71,Larry A. Ellertson,Aye
203,71,William C. Lee,Aye
204,71,Greg Graves,Aye
205,72,Larry A. Ellertson,Aye
206,72,William C. Lee,Aye
207,72,Greg Graves,Aye
208,73,Larry A. Ellertson,Aye
209,73,William C. Lee,Aye
210,73,Greg Graves,Aye
211,74,Larry A. Ellertson,Aye
212,74,William C. Lee,Aye
213,74,Greg Graves,Aye
214,75,Larry A. Ellertson,Aye
215,75,William C. Lee,Aye
216,75,Greg Graves,Aye
217,76,Larry A. Ellertson,Aye
218,76,William C. Lee,Aye
219,76,Greg Graves,Aye
220,77,Larry A. Ellertson,Aye
221,77,William C. Lee,Aye
222,77,Greg Graves,Aye
223,78,Larry A. Ellertson,Aye
224,78,William C. Lee,Aye
225,78,Greg Graves,Aye
226,79,Larry A. Ellertson,Aye
227,79,William C. Lee,Aye
228,79,Greg Graves,Aye
229,81,Larry A. Ellertson,Aye
230,81,William C. Lee,Aye
231,81,Greg Graves,Aye
232,85,Larry A. Ellertson,Aye
233,85,William C. Lee,Aye
234,85,Greg Graves,Aye
235,86,Larry A. Ellertson,Aye
236,86,William C. Lee,Aye
237,86,Greg Graves,Nay
238,87,Larry A. Ellertson,Aye
239,87,William C. Lee,Aye
240,87,Greg Graves,Nay
241,88,Larry A. Ellertson,Aye
242,88,William C. Lee,Aye
243,88,Greg Graves,Aye
244,89,Larry A. Ellertson,Aye
245,89,William C. Lee,Aye
246,89,Greg Graves,Aye
247,90,Larry A. Ellertson,Aye
248,90,William C. Lee,Aye
249,90,Greg Graves,Aye
250,92,Larry A. Ellertson,Aye
251,92,William C. Lee,Aye
252,92,Greg Graves,Aye
253,93,Larry A. Ellertson,Aye
254,93,William C. Lee,Aye
255,93,Greg Graves,Aye
256,94,Larry A. Ellertson,Aye
257,94,William C. Lee,Aye
258,94,Greg Graves,Aye
259,95,Larry A. Ellertson,Aye
260,95,William C. Lee,Aye
261,95,Greg Graves,Aye
262,96,Larry A. Ellertson,Aye
263,96,William C. Lee,Aye
264,96,Greg Graves,Aye
265,97,William C. Lee,Aye
266,97,Greg Graves,Aye
267,98,Larry A. Ellertson,Aye
268,98,William C. Lee,Aye
269,98,Greg Graves,Aye
270,99,Larry A. Ellertson,Aye
271,99,Greg Graves,Aye
272,99,William C. Lee,Nay
273,100,Larry A. Ellertson,Aye
274,100,Greg Graves,Aye
275,100,William C. Lee,Nay
276,101,Larry A. Ellertson,Aye
277,101,Greg Graves,Aye
278,101,William C. Lee,Nay
279,102,Larry A. Ellertson,Aye
280,102,Greg Graves,Aye
281,102,William C. Lee,Nay
282,103,Larry A. Ellertson,Aye
283,103,William C. Lee,Aye
284,103,Greg Graves,Aye
285,104,Larry A. Ellertson,Aye
286,104,William C. Lee,Aye
287,104,Greg Graves,Aye
288,105,William C. Lee,Aye
289,105,Greg Graves,Aye
290,106,Larry A. Ellertson,Aye
291,106,William C. Lee,Aye
292,106,Greg Graves,Aye
293,107,Larry A. Ellertson,Aye
294,107,Greg Graves,Aye
295,107,William C. Lee,Nay
296,108,Larry A. Ellertson,Aye
297,108,William C. Lee,Aye
298,108,Greg Graves,Aye
299,109,Larry A. Ellertson,Aye
300,109,William C. Lee,Aye
301,109,Greg Graves,Aye
302,110,Larry A. Ellertson,Aye
303,110,William C. Lee,Aye
304,110,Greg Graves,Aye
305,111,Larry A. Ellertson,Aye
306,111,William C. Lee,Aye
307,111,Greg Graves,Aye
308,112,Larry A. Ellertson,Aye
309,112,William C. Lee,Aye
310,112,Greg Graves,Aye
311,113,Larry A. Ellertson,Aye
312,113,William C. Lee,Aye
313,113,Greg Graves,Aye
314,114,Larry A. Ellertson,Aye
315,114,William C. Lee,Aye
316,114,Greg Graves,Aye
317,115,Larry A. Ellertson,Aye
318,115,William C. Lee,Aye
319,115,Greg Graves,Aye
320,116,Larry A. Ellertson,Aye
321,116,William C. Lee,Aye
322,116,Greg Graves,Aye
323,117,Larry A. Ellertson,Aye
324,117,William C. Lee,Aye
325,117,Greg Graves,Aye
326,118,Larry A. Ellertson,Aye
327,118,William C. Lee,Aye
328,118,Greg Graves,Aye
329,119,Larry A. Ellertson,Aye
330,119,William C. Lee,Aye
331,119,Greg Graves,Aye
332,120,Larry A. Ellertson,Aye
333,120,William C. Lee,Aye
334,120,Greg Graves,Aye
335,121,Larry A. Ellertson,Aye
336,121,William C. Lee,Aye
337,121,Greg Graves,Aye
338,122,Larry A. Ellertson,Aye
339,122,William C. Lee,Aye
340,122,Greg Graves,Aye
341,124,Larry A. Ellertson,Aye
342,124,William C. Lee,Aye
343,124,Greg Graves,Aye
344,125,Larry A. Ellertson,Aye
345,125,William C. Lee,Aye
346,125,Greg Graves,Aye
347,127,Larry A. Ellertson,Aye
348,127,William C. Lee,Aye
349,127,Greg Graves,Aye
350,128,Larry A. Ellertson,Aye
351,128,William C. Lee,Aye
352,128,Greg Graves,Aye
353,129,Larry A. Ellertson,Aye
354,129,William C. Lee,Aye
355,129,Greg Graves,Aye
356,130,Larry A. Ellertson,Aye
357,130,William C. Lee,Aye
358,130,Greg Graves,Aye
359,131,Larry A. Ellertson,Aye
360,131,William C. Lee,Aye
361,131,Greg Graves,Aye
362,132,Larry A. Ellertson,Aye
363,132,William C. Lee,Aye
364,132,Greg Graves,Aye
365,133,Larry A. Ellertson,Aye
366,133,William C. Lee,Aye
367,133,Greg Graves,Aye
368,134,Larry A. Ellertson,Aye
369,134,William C. Lee,Aye
370,134,Greg Graves,Aye
371,135,Larry A. Ellertson,Aye
372,135,William C. Lee,Aye
373,135,Greg Graves,Aye
374,136,Larry A. Ellertson,Aye
375,136,William C. Lee,Aye
376,136,Greg Graves,Aye
377,137,Larry A. Ellertson,Aye
378,137,William C. Lee,Aye
379,137,Greg Graves,Aye
380,138,Larry A. Ellertson,Aye
381,138,William C. Lee,Aye
382,138,Greg Graves,Aye
383,140,Larry A. Ellertson,Aye
384,140,William C. Lee,Aye
385,140,Greg Graves,Aye
386,142,Larry A. Ellertson,Aye
387,142,William C. Lee,Aye
388,142,Greg Graves,Aye
389,143,Larry A. Ellertson,Aye
390,143,William C. Lee,Aye
391,143,Greg Graves,Aye
392,144,Larry A. Ellertson,Aye
393,144,William C. Lee,Aye
394,144,Greg Graves,Aye
395,145,Larry A. Ellertson,Aye
396,145,William C. Lee,Aye
397,145,Greg Graves,Aye
398,146,Larry A. Ellertson,Aye
399,146,William C. Lee,Aye
400,146,Greg Graves,Aye
401,147,Larry A. Ellertson,Aye
402,147,William C. Lee,Aye
403,147,Greg Graves,Aye
404,148,Larry A. Ellertson,Aye
405,148,William C. Lee,Aye
406,148,Greg Graves,Aye
407,149,Larry A. Ellertson,Aye
408,149,William C. Lee,Aye
409,149,Greg Graves,Aye
410,150,Larry A. Ellertson,Aye
411,150,William C. Lee,Aye
412,150,Greg Graves,Aye
413,151,Larry A. Ellertson,Aye
414,151,William C. Lee,Aye
415,151,Greg Graves,Aye
416,153,Larry A. Ellertson,Aye
417,153,William C. Lee,Aye
418,153,Greg Graves,Aye
419,154,Larry A. Ellertson,Aye
420,154,William C. Lee,Aye
421,154,Greg Graves,Aye
422,155,Larry A. Ellertson,Aye
423,155,William C. Lee,Aye
424,155,Greg Graves,Aye
425,156,Larry A. Ellertson,Aye
426,156,William C. Lee,Aye
427,156,Greg Graves,Aye
428,157,Larry A. Ellertson,Aye
429,157,William C. Lee,Aye
430,157,Greg Graves,Aye
431,158,Larry A. Ellertson,Aye
432,158,William C. Lee,Aye
433,158,Greg Graves,Aye
434,159,Larry A. Ellertson,Aye
435,159,William C. Lee,Aye
436,159,Greg Graves,Aye
437,160,Larry A. Ellertson,Aye
438,160,William C. Lee,Aye
439,160,Greg Graves,Aye
440,161,Larry A. Ellertson,Aye
441,161,William C. Lee,Aye
442,161,Greg Graves,Aye
443,162,Larry A. Ellertson,Aye
444,162,William C. Lee,Aye
445,162,Greg Graves,Aye
446,163,Larry A. Ellertson,Aye
447,163,William C. Lee,Aye
448,163,Greg Graves,Aye
449,164,Larry A. Ellertson,Aye
450,164,William C. Lee,Aye
451,164,Greg Graves,Aye
452,165,Larry A. Ellertson,Aye
453,165,William C. Lee,Aye
454,165,Greg Graves,Aye
455,166,Larry A. Ellertson,Aye
456,166,William C. Lee,Aye
457,166,Greg Graves,Aye
458,167,Larry A. Ellertson,Aye
459,167,William C. Lee,Aye
460,167,Greg Graves,Aye
461,169,Larry A. Ellertson,Aye
462,169,William C. Lee,Aye
463,169,Greg Graves,Aye
464,170,Larry A. Ellertson,Aye
465,170,William C. Lee,Aye
466,170,Greg Graves,Aye
467,171,Larry A. Ellertson,Aye
468,171,William C. Lee,Aye
469,171,Greg Graves,Aye
470,172,Larry A. Ellertson,Aye
471,172,William C. Lee,Aye
472,172,Greg Graves,Aye
473,173,Larry A. Ellertson,Aye
474,173,William C. Lee,Aye
475,173,Greg Graves,Aye
476,174,Larry A. Ellertson,Aye
477,174,William C. Lee,Aye
478,174,Greg Graves,Aye
479,175,Larry A. Ellertson,Aye
480,175,William C. Lee,Aye
481,175,Greg Graves,Aye
482,176,Larry A. Ellertson,Aye
483,176,William C. Lee,Aye
484,176,Greg Graves,Aye
485,177,Larry A. Ellertson,Aye
486,177,William C. Lee,Aye
487,177,Greg Graves,Aye
488,178,Larry A. Ellertson,Aye
489,178,William C. Lee,Aye
490,178,Greg Graves,Aye
491,179,Larry A. Ellertson,Aye
492,179,William C. Lee,Aye
493,179,Greg Graves,Aye
494,180,Larry A. Ellertson,Aye
495,180,William C. Lee,Aye
496,180,Greg Graves,Aye
497,181,Larry A. Ellertson,Aye
498,181,William C. Lee,Aye
499,181,Greg Graves,Aye
500,182,Larry A. Ellertson,Aye
501,182,Greg Graves,Aye
502,182,William C. Lee,Nay
503,183,Larry A. Ellertson,Aye
504,183,William C. Lee,Aye
505,183,Greg Graves,Aye
506,184,Larry A. Ellertson,Aye
507,184,William C. Lee,Aye
508,184,Greg Graves,Aye
509,185,Larry A. Ellertson,Aye
510,185,William C. Lee,Aye
511,185,Greg Graves,Aye
512,186,Larry A. Ellertson,Aye
513,186,William C. Lee,Aye
514,187,Larry A. Ellertson,Aye
515,187,William C. Lee,Aye
516,188,Larry A. Ellertson,Aye
517,188,William C. Lee,Aye
518,188,Greg Graves,Aye
519,189,Larry A. Ellertson,Aye
520,189,William C. Lee,Aye
521,189,Greg Graves,Aye
522,190,Larry A. Ellertson,Aye
523,190,William C. Lee,Aye
524,190,Greg Graves,Aye
525,192,Larry A. Ellertson,Aye
526,192,William C. Lee,Aye
527,192,Greg Graves,Aye
528,193,Larry A. Ellertson,Aye
529,193,William C. Lee,Aye
530,193,Greg Graves,Aye
531,194,Larry A. Ellertson,Aye
532,194,William C. Lee,Aye
533,194,Greg Graves,Aye
534,195,Larry A. Ellertson,Aye
535,195,William C. Lee,Aye
536,195,Greg Graves,Aye
537,197,Larry A. Ellertson,Aye
538,197,William C. Lee,Aye
539,197,Greg Graves,Aye
540,198,Larry A. Ellertson,Aye
541,198,William C. Lee,Aye
542,198,Greg Graves,Aye
543,199,Larry A. Ellertson,Aye
544,199,William C. Lee,Aye
545,199,Greg Graves,Aye
546,201,Larry A. Ellertson,Aye
547,201,William C. Lee,Aye
548,201,Greg Graves,Aye
549,202,Larry A. Ellertson,Aye
550,202,William C. Lee,Aye
551,202,Greg Graves,Aye
552,203,Larry A. Ellertson,Aye
553,203,William C. Lee,Aye
554,203,Greg Graves,Aye
555,204,Larry A. Ellertson,Aye
556,204,William C. Lee,Aye
557,204,Greg Graves,Aye
558,205,Larry A. Ellertson,Aye
559,205,William C. Lee,Aye
560,205,Greg Graves,Aye
561,206,Larry A. Ellertson,Aye
562,206,William C. Lee,Aye
563,206,Greg Graves,Aye
564,207,Larry A. Ellertson,Aye
565,207,William C. Lee,Aye
566,207,Greg Graves,Aye
567,208,Larry A. Ellertson,Aye
568,208,William C. Lee,Aye
569,208,Greg Graves,Aye
570,209,Larry A. Ellertson,Aye
571,209,William C. Lee,Aye
572,209,Greg Graves,Aye
573,211,Larry A. Ellertson,Aye
574,211,William C. Lee,Aye
575,211,Greg Graves,Aye
576,213,Larry A. Ellertson,Aye
577,213,William C. Lee,Aye
578,213,Greg Graves,Aye
579,214,Larry A. Ellertson,Aye
580,214,William C. Lee,Aye
581,214,Greg Graves,Aye
582,215,Larry A. Ellertson,Aye
583,215,William C. Lee,Aye
584,215,Greg Graves,Aye
585,216,Larry A. Ellertson,Aye
586,216,William C. Lee,Aye
587,216,Greg Graves,Aye
588,217,Larry A. Ellertson,Aye
589,217,William C. Lee,Aye
590,217,Greg Graves,Aye
591,218,Larry A. Ellertson,Aye
592,218,William C. Lee,Aye
593,218,Greg Graves,Aye
594,219,Larry A. Ellertson,Aye
595,219,William C. Lee,Aye
596,219,Greg Graves,Aye
597,220,Larry A. Ellertson,Aye
598,220,William C. Lee,Aye
599,220,Greg Graves,Aye
600,221,Larry A. Ellertson,Aye
601,221,William C. Lee,Aye
602,221,Greg Graves,Aye
603,222,Larry A. Ellertson,Aye
604,222,William C. Lee,Aye
605,222,Greg Graves,Aye
606,223,Larry A. Ellertson,Aye
607,223,William C. Lee,Aye
608,223,Greg Graves,Aye
609,224,Larry A. Ellertson,Aye
610,224,William C. Lee,Aye
611,224,Greg Graves,Aye
612,225,Larry A. Ellertson,Aye
613,225,William C. Lee,Aye
614,225,Greg Graves,Aye
615,226,Larry A. Ellertson,Aye
616,226,William C. Lee,Aye
617,226,Greg Graves,Aye
618,227,Larry A. Ellertson,Aye
619,227,William C. Lee,Aye
620,227,Greg Graves,Aye
621,228,Larry A. Ellertson,Aye
622,228,William C. Lee,Aye
623,228,Greg Graves,Aye
624,229,Larry A. Ellertson,Aye
625,229,William C. Lee,Aye
626,229,Greg Graves,Aye
627,230,Larry A. Ellertson,Aye
628,230,William C. Lee,Aye
629,230,Greg Graves,Aye
630,231,Larry A. Ellertson,Aye
631,231,William C. Lee,Aye
632,231,Greg Graves,Aye
633,232,Larry A. Ellertson,Aye
634,232,William C. Lee,Aye
635,232,Greg Graves,Aye
636,234,Larry A. Ellertson,Aye
637,234,William C. Lee,Aye
638,234,Greg Graves,Aye
639,235,Larry A. Ellertson,Aye
640,235,William C. Lee,Aye
641,235,Greg Graves,Aye
642,236,Larry A. Ellertson,Aye
643,236,William C. Lee,Aye
644,236,Greg Graves,Aye
645,237,Larry A. Ellertson,Aye
646,237,William C. Lee,Aye
647,237,Greg Graves,Aye
648,238,Larry A. Ellertson,Aye
649,238,William C. Lee,Aye
650,238,Greg Graves,Aye
651,239,Larry A. Ellertson,Aye
652,239,William C. Lee,Aye
653,239,Greg Graves,Aye
654,240,Larry A. Ellertson,Aye
655,240,William C. Lee,Aye
656,240,Greg Graves,Aye
657,241,Larry A. Ellertson,Aye
658,241,William C. Lee,Aye
659,241,Greg Graves,Aye
660,242,Larry A. Ellertson,Aye
661,242,William C. Lee,Aye
662,242,Greg Graves,Aye
663,243,Larry A. Ellertson,Aye
664,243,William C. Lee,Aye
665,243,Greg Graves,Aye
666,244,Larry A. Ellertson,Aye
667,244,William C. Lee,Aye
668,244,Greg Graves,Aye
669,246,Larry A. Ellertson,Aye
670,246,William C. Lee,Aye
671,246,Greg Graves,Aye
672,247,Larry A. Ellertson,Aye
673,247,Greg Graves,Aye
674,247,William C. Lee,Nay
675,248,Larry A. Ellertson,Aye
676,248,William C. Lee,Aye
677,248,Greg Graves,Aye
678,249,Larry A. Ellertson,Aye
679,249,William C. Lee,Aye
680,249,Greg Graves,Aye
681,250,Larry A. Ellertson,Aye
682,250,William C. Lee,Aye
683,250,Greg Graves,Aye
684,251,Larry A. Ellertson,Aye
685,251,William C. Lee,Aye
686,251,Greg Graves,Aye
687,252,Larry A. Ellertson,Aye
688,252,William C. Lee,Aye
689,252,Greg Graves,Aye
690,253,Larry A. Ellertson,Aye
691,253,William C. Lee,Aye
692,253,Greg Graves,Aye
693,254,Larry A. Ellertson,Aye
694,254,William C. Lee,Aye
695,254,Greg Graves,Aye
696,255,William C. Lee,Aye
697,255,Greg Graves,Aye
698,256,Larry A. Ellertson,Aye
699,256,William C. Lee,Aye
700,256,Greg Graves,Aye
701,257,Larry A. Ellertson,Aye
702,257,William C. Lee,Aye
703,257,Greg Graves,Aye
704,258,Larry A. Ellertson,Aye
705,258,Greg Graves,Aye
706,258,William C. Lee,Nay
707,259,Larry A. Ellertson,Aye
708,259,Greg Graves,Aye
709,259,William C. Lee,Nay
710,260,Larry A. Ellertson,Aye
711,260,William C. Lee,Aye
712,260,Greg Graves,Aye
713,261,Larry A. Ellertson,Aye
714,261,William C. Lee,Aye
715,261,Greg Graves,Aye
716,262,Larry A. Ellertson,Aye
717,262,William C. Lee,Aye
718,262,Greg Graves,Aye
719,263,Larry A. Ellertson,Aye
720,263,William C. Lee,Aye
721,263,Greg Graves,Aye
722,264,Larry A. Ellertson,Aye
723,264,William C. Lee,Aye
724,264,Greg Graves,Aye
725,266,Larry A. Ellertson,Aye
726,266,William C. Lee,Aye
727,266,Greg Graves,Aye
728,267,Larry A. Ellertson,Aye
729,267,William C. Lee,Aye
730,267,Greg Graves,Aye
731,268,Larry A. Ellertson,Aye
732,268,William C. Lee,Aye
733,268,Greg Graves,Aye
734,269,Larry A. Ellertson,Aye
735,269,William C. Lee,Aye
736,269,Greg Graves,Aye
737,271,Larry A. Ellertson,Aye
738,271,William C. Lee,Aye
739,271,Greg Graves,Aye
740,272,Larry A. Ellertson,Aye
741,272,William C. Lee,Aye
742,272,Greg Graves,Aye
743,273,Larry A. Ellertson,Aye
744,273,William C. Lee,Aye
745,273,Greg Graves,Aye
746,274,Larry A. Ellertson,Aye
747,274,William C. Lee,Aye
748,274,Greg Graves,Aye
749,275,Larry A. Ellertson,Aye
750,275,William C. Lee,Aye
751,275,Greg Graves,Aye
752,276,Larry A. Ellertson,Aye
753,276,William C. Lee,Aye
754,276,Greg Graves,Aye
755,277,Larry A. Ellertson,Aye
756,277,William C. Lee,Aye
757,277,Greg Graves,Aye
758,278,Larry A. Ellertson,Aye
759,278,William C. Lee,Aye
760,278,Greg Graves,Aye
761,279,Larry A. Ellertson,Aye
762,279,William C. Lee,Aye
763,279,Greg Graves,Aye
764,280,Larry A. Ellertson,Aye
765,280,William C. Lee,Aye
766,280,Greg Graves,Aye
767,282,Larry A. Ellertson,Aye
768,282,William C. Lee,Aye
769,282,Greg Graves,Aye
770,283,Larry A. Ellertson,Aye
771,283,William C. Lee,Aye
772,283,Greg Graves,Aye
773,284,Larry A. Ellertson,Aye
774,284,William C. Lee,Aye
775,284,Greg Graves,Aye
776,285,Larry A. Ellertson,Aye
777,285,William C. Lee,Aye
778,285,Greg Graves,Aye
779,287,Larry A. Ellertson,Aye
780,287,William C. Lee,Aye
781,287,Greg Graves,Aye
782,288,Larry A. Ellertson,Aye
783,288,William C. Lee,Aye
784,288,Greg Graves,Aye
785,289,Larry A. Ellertson,Aye
786,289,William C. Lee,Aye
787,289,Greg Graves,Aye
788,290,Larry A. Ellertson,Aye
789,290,William C. Lee,Aye
790,290,Greg Graves,Aye
791,291,Larry A. Ellertson,Aye
792,291,William C. Lee,Aye
793,291,Greg Graves,Aye
794,292,Larry A. Ellertson,Aye
795,292,William C. Lee,Aye
796,292,Greg Graves,Aye
797,293,Larry A. Ellertson,Aye
798,293,William C. Lee,Aye
799,293,Greg Graves,Aye
800,294,Larry A. Ellertson,Aye
801,294,William C. Lee,Aye
802,294,Greg Graves,Aye
803,295,Larry A. Ellertson,Aye
804,295,William C. Lee,Aye
805,295,Greg Graves,Aye
806,296,Larry A. Ellertson,Aye
807,296,William C. Lee,Aye
808,296,Greg Graves,Aye
809,297,Larry A. Ellertson,Aye
810,297,William C. Lee,Aye
811,297,Greg Graves,Aye
812,298,Larry A. Ellertson,Aye
813,298,William C. Lee,Aye
814,298,Greg Graves,Aye
815,299,Larry A. Ellertson,Aye
816,299,William C. Lee,Aye
817,299,Greg Graves,Aye
818,300,Larry A. Ellertson,Aye
819,300,William C. Lee,Aye
820,300,Greg Graves,Aye
821,301,Larry A. Ellertson,Aye
822,301,William C. Lee,Aye
823,301,Greg Graves,Aye
824,302,Larry A. Ellertson,Aye
825,302,William C. Lee,Aye
826,302,Greg Graves,Aye
827,303,Larry A. Ellertson,Aye
828,303,William C. Lee,Aye
829,303,Greg Graves,Aye
830,304,Larry A. Ellertson,Aye
831,304,William C. Lee,Aye
832,304,Greg Graves,Aye
833,305,Larry A. Ellertson,Aye
834,305,William C. Lee,Aye
835,305,Greg Graves,Aye
836,306,Larry A. Ellertson,Aye
837,306,William C. Lee,Aye
838,306,Greg Graves,Aye
839,307,Larry A. Ellertson,Aye
840,307,William C. Lee,Aye
841,307,Greg Graves,Aye
842,308,Larry A. Ellertson,Aye
843,308,William C. Lee,Aye
844,308,Greg Graves,Aye
845,309,Larry A. Ellertson,Aye
846,309,William C. Lee,Aye
847,309,Greg Graves,Aye
848,310,Larry A. Ellertson,Aye
849,310,William C. Lee,Aye
850,310,Greg Graves,Aye
851,311,Larry A. Ellertson,Aye
852,311,William C. Lee,Aye
853,311,Greg Graves,Aye
854,312,Larry A. Ellertson,Aye
855,312,William C. Lee,Aye
