motion_id,meeting_id,body,motion_no,motion_text,subject,result_raw,outcome,mover,seconder,names_recorded,provenance,source_file,kind
16,3,Board of Commissioners,8,"set a date, time and location for a closed meeting for a strategy session to discuss the character, professional competence, or physical or mental health of an individual or individuals to immediately follow the public comment portion of the regular public meeting today in Room 1400 of the County Administration Building","SET A DATE, TIME AND LOCATION FOR A CLOSED MEETING TO DISCUSS THE CHARACTER,",motion was seconded by Commissioner Graves and carried with the following vote:,Pass,Lee,Graves,1,poppler,legislative/minutes/2015/2015-01-20_board_of_commissioners.md,motion
17,3,Board of Commissioners,9,"adjourn the January 20, 2015 meeting of the Utah County Board of",,carried with the following vote:,Pass,Graves,Lee,1,poppler,legislative/minutes/2015/2015-01-20_board_of_commissioners.md,motion
18,4,Board of Commissioners,1,approve the Property Tax actions contained in Recommendation Letter No. 2015-2 as discussed in Consent Agenda Item No. 4,APPROVE PROPERTY TAX ACTIONS CONTAINED IN RECOMMENDATION LETTER NO. 2015-2,was seconded by Commissioner Graves and carried with the following vote:,Pass,Lee,Graves,1,poppler,legislative/minutes/2015/2015-01-27_board_of_commissioners.md,motion
19,4,Board of Commissioners,2,"adopt a resolution accepting an interlocal agreement with the Utah State Department of Agriculture regarding agriculture inspections and rental of office space, replacing Resolution No. 2014-97 and Agreement No. 2014-642, as specified in Regular Agenda Item No. 2",ADOPT A RESOLUTION ACCEPTING AND AUTHORIZING THE COMMISSION CHAIR TO SIGN,and carried with the following vote:,Pass,Graves,Lee,1,poppler,legislative/minutes/2015/2015-01-27_board_of_commissioners.md,motion
20,4,Board of Commissioners,3,"set a date, time and location for a closed meeting for a strategy session to discuss pending or reasonably imminent litigation to immediately follow the Work Session portion of the regular public meeting today in Room 1400 of the County Administration Building","SET A DATE, TIME AND LOCATION FOR A CLOSED MEETING FOR A STRATEGY SESSION TO",carried with the following vote:,Pass,Graves,Lee,1,poppler,legislative/minutes/2015/2015-01-27_board_of_commissioners.md,motion
21,4,Board of Commissioners,4,"adjourn the January 27, 2015 meeting of the Utah County Board of","SET A DATE, TIME AND LOCATION FOR A CLOSED MEETING FOR A STRATEGY SESSION TO",carried with the following vote:,Pass,Graves,Lee,1,poppler,legislative/minutes/2015/2015-01-27_board_of_commissioners.md,motion
22,5,Board of Commissioners,1,"approve the purchase service agreement with Relias Learning, LLC for online training specific to the Health and Human Services Industry as specified in Consent Agenda Item No. 3",APPROVE AND AUTHORIZE THE COMMISSION CHAIR TO SIGN A PURCHASE SERVICE,Commissioner Lee and carried with the following vote:,Pass,Graves,Lee,1,poppler,legislative/minutes/2015/2015-02-03_board_of_commissioners.md,motion
23,5,Board of Commissioners,2,strike Regular Agenda Item No. 9. UTAH COUNTY BOARD OF,"ADOPT A RESOLUTION OF THE BOARD OF COUNTY COMMISSIONERS OF UTAH COUNTY,",The motion was seconded by Commissioner Ellertson and carried with the following vote:,Pass,Graves,Ellertson,1,poppler,legislative/minutes/2015/2015-02-03_board_of_commissioners.md,motion
24,5,Board of Commissioners,3,adopt a resolution approving and authorizing an interlocal cooperation agreement with Mountainland Association of Governments relating to the provision of regional planning and other governmental services as discussed in Regular Agenda Item No. 10,ADOPT A RESOLUTION APPROVING AND AUTHORIZING THE EXECUTION OF AN,carried with the following vote:,Pass,Lee,Graves,1,poppler,legislative/minutes/2015/2015-02-03_board_of_commissioners.md,motion
25,5,Board of Commissioners,4,approve and authorize an agreement with American Lands Council as detailed in Regular Agenda Item No. 11,APPROVE AND AUTHORIZE THE COMMISSION CHAIR TO SIGN AN AGREEMENT WITH,Commissioner Graves and carried with the following vote:,Pass,Lee,Graves,1,poppler,legislative/minutes/2015/2015-02-03_board_of_commissioners.md,motion
26,5,Board of Commissioners,5,"strike Regular Agenda Item No. 25 to set a date, time, and location for a closed meeting to discuss commercial information as defined in Section 59-1-404, U.C.A., as amended","SET A DATE, TIME AND LOCATION FOR A CLOSED MEETING TO DISCUSS COMMERCIAL",carried with the following vote:,Pass,Graves,Lee,1,poppler,legislative/minutes/2015/2015-02-03_board_of_commissioners.md,motion
27,5,Board of Commissioners,6,"set a date, time and location for a closed meeting for a strategy session to discuss the character, professional competence, or physical or mental health of an individual or individuals to immediately follow the Work Session portion of the regular public meeting today in Room 1400 of the County Administration Building","SET A DATE, TIME AND LOCATION FOR A CLOSED MEETING TO DISCUSS THE CHARACTER,",motion was seconded by Commissioner Graves and carried with the following vote:,Pass,Lee,Graves,1,poppler,legislative/minutes/2015/2015-02-03_board_of_commissioners.md,motion
28,5,Board of Commissioners,7,"set a date, time and location for a closed meeting for a strategy session to discuss the sale of real property to immediately follow the previously scheduled closed meetings today in Room 1400 of the County Administration Building","SET A DATE, TIME AND LOCATION FOR A CLOSED MEETING FOR A STRATEGY SESSION TO",motion was seconded by Commissioner Graves and carried with the following vote:,Pass,Lee,Graves,1,poppler,legislative/minutes/2015/2015-02-03_board_of_commissioners.md,motion
29,5,Board of Commissioners,8,"adjourn the February 3, 2015 meeting of the Utah County Board of","SET A DATE, TIME AND LOCATION FOR A CLOSED MEETING FOR A STRATEGY SESSION TO",carried with the following vote:,Pass,Graves,Lee,1,poppler,legislative/minutes/2015/2015-02-03_board_of_commissioners.md,motion
30,6,Board of Commissioners,1,"approve and authorize an agreement with West Coast Code Consultants, Inc. dba Kimball Engineering for professional plan review and inspection services as detailed in Regular Agenda Item No. 2",APPROVE AND AUTHORIZE THE COMMISSION CHAIR TO SIGN AN AGREEMENT WITH WEST,Commissioner Graves and carried with the following vote:,Pass,Lee,Graves,1,poppler,legislative/minutes/2015/2015-02-10_board_of_commissioners.md,motion
31,6,Board of Commissioners,2,"approve and authorize Change Order No. 3R to Agreement No. 2014-452 with Raass Brothers, Inc. for the Historic Courthouse Roof/Parapet/West Steps Project as specified in Regular Agenda Item No. 3",APPROVE AND AUTHORIZE THE COMMISSION CHAIR TO SIGN CHANGE ORDER NO. 3R TO,was seconded by Commissioner Graves and carried with the following vote:,Pass,Lee,Graves,1,poppler,legislative/minutes/2015/2015-02-10_board_of_commissioners.md,motion
32,6,Board of Commissioners,3,"continue Regular Agenda Item No. 5 regarding an agreement with the Utah County Deputies Association for the 2015 Basic SWAT School, K9 School and Sniper School for one week to the February 17, 2015 meeting of the Utah County Board of",APPROVE AND AUTHORIZE THE COMMISSION CHAIR TO SIGN AN AGREEMENT WITH THE,carried with the following vote:,Pass,Graves,Lee,1,poppler,legislative/minutes/2015/2015-02-10_board_of_commissioners.md,motion
33,6,Board of Commissioners,4,"strike Regular Agenda Item No. 10 to set a date, time, and location for a closed meeting to discuss commercial information as defined in Section 59-1-404, U.C.A., as amended","SET A DATE, TIME AND LOCATION FOR A CLOSED MEETING TO DISCUSS COMMERCIAL",carried with the following vote:,Pass,Graves,Lee,1,poppler,legislative/minutes/2015/2015-02-10_board_of_commissioners.md,motion
34,6,Board of Commissioners,5,"set a date, time and location for a closed meeting for a strategy session to discuss the purchase, exchange, or lease of real property to immediately follow the previously scheduled closed meetings today in Room 1400 of the County Administration Building","SET A DATE, TIME AND LOCATION FOR A CLOSED MEETING FOR A STRATEGY SESSION TO",carried with the following vote:,Pass,Graves,Lee,1,poppler,legislative/minutes/2015/2015-02-10_board_of_commissioners.md,motion
35,6,Board of Commissioners,6,"adjourn the February 10, 2015 meeting of the Utah County Board of","DELETE ONE FULL-TIME CAREER SERVICE DEPUTY - ENFORCEMENT POSITION (100-42140- 4016-7-1), AND ADD ONE FULL-TIME CAREER SERVICE SERGEANT - ENFORCEMENT",carried with the following vote:,Pass,Graves,Lee,1,poppler,legislative/minutes/2015/2015-02-10_board_of_commissioners.md,motion
36,7,Board of Commissioners,1,approve and authorize an updated account application with Wilbur-Ellis Company as detailed in Regular Agenda Item No. 4,APPROVE AND AUTHORIZE THE COMMISSION CHAIR TO SIGN AN UPDATED ACCOUNT,motion was seconded by Commissioner Graves and carried with the following vote:,Pass,Lee,Graves,1,poppler,legislative/minutes/2015/2015-02-17_board_of_commissioners.md,motion
37,7,Board of Commissioners,2,"approve and authorize the agreements with Lindon City and Lone Peak Public Safety District to check compliance with state and local laws governing tobacco sales as specified in Regular Agenda Item Nos. 8 and 9, respectively",APPROVE AND AUTHORIZE THE COMMISSION CHAIR TO SIGN AN AGREEMENT WITH LONE,motion was seconded by Commissioner Graves and carried with the following vote:,Pass,Lee,Graves,1,poppler,legislative/minutes/2015/2015-02-17_board_of_commissioners.md,motion
38,7,Board of Commissioners,3,approve and authorize a renewal agreement with Intellivex for maintenance of the uninterruptible power supply systems in various county facilities as identified in Regular Agenda Item No. 14,APPROVE AND AUTHORIZE THE COMMISSION CHAIR TO SIGN A RENEWAL AGREEMENT,Commissioner Graves and carried with the following vote:,Pass,Lee,Graves,1,poppler,legislative/minutes/2015/2015-02-17_board_of_commissioners.md,motion
39,7,Board of Commissioners,4,"approve and authorize an agreement with the Utah County Deputies Association for the 2015 Basic SWAT School, K9 School and Sniper School as defined in Regular Agenda Item No. 15",APPROVE AND AUTHORIZE THE COMMISSION CHAIR TO SIGN AN AGREEMENT WITH THE,Commissioner Lee and carried with the following vote:,Pass,Graves,Lee,1,poppler,legislative/minutes/2015/2015-02-17_board_of_commissioners.md,motion
40,7,Board of Commissioners,5,approve and authorize an amendment to Agreement No. 2012-89 with Wasatch Mental Health for jail psychiatric services as outlined in Regular Agenda Item No. 16,APPROVE AND AUTHORIZE THE COMMISSION CHAIR TO SIGN AN AMENDMENT TO,carried with the following vote:,Pass,Graves,Lee,1,poppler,legislative/minutes/2015/2015-02-17_board_of_commissioners.md,motion
41,7,Board of Commissioners,6,"strike Regular Agenda Item Nos. 23, 24, and 26 to set dates, times, and locations for a closed meeting for a strategy session to discuss pending or reasonably imminent litigation; for a strategy session to discuss the purchase, exchange, or lease of real property; and to discuss commercial information as defined in Section 59-1-404, U.C.A., as amended","SET A DATE, TIME AND LOCATION FOR A CLOSED MEETING TO DISCUSS COMMERCIAL",carried with the following vote:,Pass,Graves,Lee,1,poppler,legislative/minutes/2015/2015-02-17_board_of_commissioners.md,motion
42,7,Board of Commissioners,7,"set a date, time and location for a closed meeting for a strategy session to discuss the character, professional competence, or physical or mental health of an individual or individuals to immediately follow the Work Session portion of the regular public meeting today in Room 1400 of the County Administration Building","SET A DATE, TIME AND LOCATION FOR A CLOSED MEETING TO DISCUSS THE CHARACTER,",motion was seconded by Commissioner Graves and carried with the following vote:,Pass,Lee,Graves,1,poppler,legislative/minutes/2015/2015-02-17_board_of_commissioners.md,motion
43,7,Board of Commissioners,8,"set a date, time and location for a closed meeting for a strategy session to discuss the sale of real property to immediately follow the previously scheduled closed meeting today in Room 1400 of the County Administration Building","SET A DATE, TIME AND LOCATION FOR A CLOSED MEETING FOR A STRATEGY SESSION TO",motion was seconded by Commissioner Graves and carried with the following vote:,Pass,Lee,Graves,1,poppler,legislative/minutes/2015/2015-02-17_board_of_commissioners.md,motion
44,7,Board of Commissioners,9,"adjourn the February 17, 2015 meeting of the Utah County Board of","SET A DATE, TIME AND LOCATION FOR A CLOSED MEETING FOR A STRATEGY SESSION TO",carried with the following vote:,Pass,Graves,Lee,1,poppler,legislative/minutes/2015/2015-02-17_board_of_commissioners.md,motion
45,8,Board of Commissioners,1,"waive the $50 event permit fee for the Pleasant Grove East Stake of the Church of Jesus Christ of Latter-Day Saints to use a portion of the Murdock Canal Trail for the Pleasant Grove East Stake Youth 5K Race to be held March 21, 2015 Willowcreek Middle School to use a portion of the Jordan River Parkway and the roads in as described in Consent Agenda Item No. 2, with the finding that the benefit t",APPROVE OR DENY A REQUEST FROM THE PLEASANT GROVE EAST STAKE OF THE,motion was seconded by Commissioner Graves and carried with the following vote:,Pass,Lee,Graves,1,poppler,legislative/minutes/2015/2015-03-03_board_of_commissioners.md,motion
46,8,Board of Commissioners,2,"approve and authorize an agreement with Rape Aggression Defense (R.A.D.) Systems, Inc. to facilitate/host a R.A.D. Systems Basic Physcial Defense Instructor Certification Program as detailed in Consent Agenda Item No. 4",APPROVE AND AUTHORIZE THE COMMISSION CHAIR TO SIGN AN AGREEMENT WITH RAPE,motion was seconded by Commissioner Lee and carried with the following vote:,Pass,Graves,Lee,1,poppler,legislative/minutes/2015/2015-03-03_board_of_commissioners.md,motion
47,8,Board of Commissioners,3,"approve the minutes of the January 13, 2015 Commission meeting as outlined in Consent Agenda Item No. 10","APPROVE THE MINUTES OF THE JANUARY 13, 2015 COMMISSION MEETING (Continued from the February 17, 2015 Commission meeting)",by Commissioner Lee and carried with the following vote:,Pass,Graves,Lee,1,poppler,legislative/minutes/2015/2015-03-03_board_of_commissioners.md,motion
48,8,Board of Commissioners,4,"approve the minutes of the January 20, 2015 Commission meeting as outlined in Consent Agenda Item No. 11, with the changes noted","APPROVE THE MINUTES OF THE JANUARY 20, 2015 COMMISSION MEETING",The motion was seconded by Commissioner Graves and carried with the following vote:,Pass,Lee,Graves,1,poppler,legislative/minutes/2015/2015-03-03_board_of_commissioners.md,motion
49,8,Board of Commissioners,5,"approve the minutes of the January 27, 2015 Commission meeting as outlined in Consent Agenda Item No. 12, with the changes noted","APPROVE THE MINUTES OF THE JANUARY 27, 2015 COMMISSION MEETING",The motion was seconded by Commissioner Lee and carried with the following vote:,Pass,Graves,Lee,0,poppler,legislative/minutes/2015/2015-03-03_board_of_commissioners.md,motion
50,8,Board of Commissioners,6,deny an ordinance amending Section 3-2 of the Utah County Land Use Ordinance,ADOPT (OR DENY) AN ORDINANCE TO AMEND SECTION 3-2 OF THE UTAH COUNTY LAND,carried with the following vote:,Pass,Graves,Lee,1,poppler,legislative/minutes/2015/2015-03-03_board_of_commissioners.md,motion
51,8,Board of Commissioners,7,"adopt an ordinance amending the Utah County Land Use Ordinance, Subsection 1-6-B, related to the Continuation on Noncomplying Structures on Qualifying Parcels of Land as detailed in Regular Agenda Item No. 3","ADOPT (OR DENY) AN ORDINANCE TO AMEND THE UTAH COUNTY LAND USE ORDINANCE,",motion was seconded by Commissioner Lee and carried with the following vote:,Pass,Graves,Lee,1,poppler,legislative/minutes/2015/2015-03-03_board_of_commissioners.md,motion
52,8,Board of Commissioners,8,"adopt an ordinance amending the Utah County Code Chapter 26, Subsections 26-1-1 “Definitions” and 26-3-1(C) “Proposal for Creation of Agriculture Protection Area” as detailed in Regular Agenda Item No. 4","ADOPT AN ORDINANCE AMENDING THE UTAH COUNTY CODE CHAPTER 26, SUBSECTIONS",seconded by Commissioner Graves and carried with the following vote:,Pass,Lee,Graves,1,poppler,legislative/minutes/2015/2015-03-03_board_of_commissioners.md,motion
53,8,Board of Commissioners,9,"set a date, time and location for a closed meeting for a strategy session to discuss the character, professional competence, or physical or mental health of an individual or individuals to immediately follow the Work Session portion of the regular public meeting today in Room 1400 of the County Administration Building","SET A DATE, TIME AND LOCATION FOR A CLOSED MEETING TO DISCUSS THE CHARACTER,",motion was seconded by Commissioner Graves and carried with the following vote:,Pass,Lee,Graves,1,poppler,legislative/minutes/2015/2015-03-03_board_of_commissioners.md,motion
54,8,Board of Commissioners,10,"adjourn the March 3, 2015 meeting of the Utah County Board of","SET A DATE, TIME AND LOCATION FOR A CLOSED MEETING FOR A STRATEGY SESSION TO",carried with the following vote:,Pass,Graves,Lee,1,poppler,legislative/minutes/2015/2015-03-03_board_of_commissioners.md,motion
55,9,Board of Commissioners,1,approve the revisions for the Violence Against Women Act (VAWA) Grant through the Utah Office for Victims of Crime to fund the Utah County Family Justice Center Program as detailed in Consent Agenda Item No. 3,APPROVE AND AUTHORIZE THE COMMISSION CHAIR TO SIGN REVISIONS FOR THE,motion was seconded by Commissioner Lee and carried with the following vote:,Pass,Graves,Lee,1,poppler,legislative/minutes/2015/2015-03-10_board_of_commissioners.md,motion
56,9,Board of Commissioners,2,approve an amendment to Agreement No. 2013- 467 with the U.S. House of Representatives to extend the term of Congressman Jason Chaffetz’s lease of office space in the Historic Court as defined in Consent Agenda Item No. 4,The motion was seconded by Commissioner Lee and carried with the following vote:,4. The motion was seconded by Commissioner Lee and carried with the following vote:,Pass,Graves,Lee,1,poppler,legislative/minutes/2015/2015-03-10_board_of_commissioners.md,motion
57,9,Board of Commissioners,3,approve an agreement with MSK Enterprise dba Mountain West Hearing Center as described in Consent Agenda Item No. 6,APPROVE AND AUTHORIZE THE COMMISSION CHAIR TO SIGN AN AGREEMENT WITH MSK,was seconded by Commissioner Graves and carried with the following vote:,Pass,Lee,Graves,1,poppler,legislative/minutes/2015/2015-03-10_board_of_commissioners.md,motion
58,9,Board of Commissioners,4,approve the second amendment to the Utah County 457 Deferred Compensation Plan as amended and restated effective 1 January 2012 as specified in Agreement No. 2012-858 and Regular Agenda Item No. 2,APPROVE AND AUTHORIZE THE COMMISSION CHAIR TO EXECUTE THE SECOND,seconded by Commissioner Graves and carried with the following vote:,Pass,Lee,Graves,0,poppler,legislative/minutes/2015/2015-03-10_board_of_commissioners.md,motion
59,9,Board of Commissioners,5,"adopt an ordinance amending the Utah County Code Chapter 5, “Animal Control Regulations,” as specified in Regular Agenda Item No. 4",The motion was seconded by Commissioner Lee and carried with the following vote:,4. The motion was seconded by Commissioner Lee and carried with the following vote:,Pass,Graves,Lee,1,poppler,legislative/minutes/2015/2015-03-10_board_of_commissioners.md,motion
60,9,Board of Commissioners,6,adopt an ordinance to amend Section 2 and Section 5 of the Utah County Land Ordinance related to the definition of a kennel and the area requirements for kennels located in the Residential Agricultural (RA-5) Zone as specified in Regular Agenda Item No. 5,"ADOPT (OR DENY) AN ORDINANCE TO AMEND SECTION 2-2-A-71, “DEFINITIONS” AND",carried with the following vote:,Pass,Lee,Graves,1,poppler,legislative/minutes/2015/2015-03-10_board_of_commissioners.md,motion
61,9,Board of Commissioners,7,approve a proprietary property agreement with Nurse-Family Partnership as detailed in Regular Agenda Item No. 8,APPROVE AND AUTHORIZE THE COMMISSION CHAIR TO SIGN A PROPRIETARY PROPERTY,seconded by Commissioner Graves and carried with the following vote:,Pass,Lee,Graves,1,poppler,legislative/minutes/2015/2015-03-10_board_of_commissioners.md,motion
62,9,Board of Commissioners,8,"continue Regular Agenda Item No. 10 regarding a Quit Claim Deed for an abandoned County road for one week to the March 17, 2015 meeting of the Utah County Board of",APPROVE AND AUTHORIZE THE UTAH COUNTY CLERK/AUDITOR TO SIGN A QUIT CLAIM,Commissioner Lee and carried with the following vote:,Pass,Graves,Lee,1,poppler,legislative/minutes/2015/2015-03-10_board_of_commissioners.md,motion
63,9,Board of Commissioners,9,table Regular Agenda Item No. 11,RATIFY THE SIGNATURE OF THE COMMISSION CHAIR ON AN INTERLOCAL COOPERATION,was seconded by Commissioner Lee and carried with the following vote:,Pass,Graves,Lee,1,poppler,legislative/minutes/2015/2015-03-10_board_of_commissioners.md,motion
64,9,Board of Commissioners,10,"strike Regular Agenda Item Nos. 19, 20, and 22 to set dates, times, and locations for a closed meeting for a strategy session to discuss pending or reasonably imminent litigation; for a strategy session to discuss the purchase, exchange, or lease of real property; and to discuss commercial information as defined in Section 59-1-404, U.C.A., as amended","SET A DATE, TIME AND LOCATION FOR A CLOSED MEETING TO DISCUSS COMMERCIAL",carried with the following vote:,Pass,Graves,Lee,1,poppler,legislative/minutes/2015/2015-03-10_board_of_commissioners.md,motion
65,9,Board of Commissioners,11,"continue Regular Agenda Item No. 11 regarding an interlocal cooperation agreement with Vineyard Town for law enforcement services for one week to the March 17, 2015 meeting of the Utah County Board of",RATIFY THE SIGNATURE OF THE COMMISSION CHAIR ON AN INTERLOCAL COOPERATION,motion was seconded by Commissioner Lee and carried with the following vote:,Pass,Graves,Lee,1,poppler,legislative/minutes/2015/2015-03-10_board_of_commissioners.md,motion
66,9,Board of Commissioners,12,"adjourn the March 10, 2015 meeting of the Utah County Board of",RATIFY THE SIGNATURE OF THE COMMISSION CHAIR ON AN INTERLOCAL COOPERATION,carried with the following vote:,Pass,Graves,Lee,1,poppler,legislative/minutes/2015/2015-03-10_board_of_commissioners.md,motion
67,10,Board of Commissioners,1,"approve the minutes of the February 3, 2015 Commission meeting, with the changes discussed in Consent Agenda Item No. 5","APPROVE THE MINUTES OF THE FEBRUARY 3, 2015 COMMISSION MEETING (Continued from the March 10, 2015 Commission meeting)",motion was seconded by Commissioner Graves and carried with the following vote:,Pass,Lee,Graves,1,poppler,legislative/minutes/2015/2015-03-17_board_of_commissioners.md,motion
68,10,Board of Commissioners,2,authorize the Children’s Justice Center Staffing Plan changes as detailed in Regular Agenda Item No. 2,DELETE ONE (1) FULL-TIME CAREER SERVICE LICENSED PRACTICAL NURSE POSITION,Commissioner Lee and carried with the following vote:,Pass,Graves,Lee,1,poppler,legislative/minutes/2015/2015-03-17_board_of_commissioners.md,motion
69,10,Board of Commissioners,3,table discussion of Regular Agenda Item No. 3,APPROVE AND AUTHORIZE THE COMMISSION CHAIR TO SIGN A PROFESSIONAL SERVICES,The motion was seconded by Commissioner Lee and carried with the following vote:,Pass,Graves,Lee,1,poppler,legislative/minutes/2015/2015-03-17_board_of_commissioners.md,motion
70,10,Board of Commissioners,4,"approve the late active duty Armed Forces tax abatement for Ryan Balagna on Property Serial No. 40:357:0032 for the 2013 tax year as specified in Regular Agenda Item No. 4, with the finding that it would be against equity and good conscience to deny the application",APPROVE OR DENY A LATE ACTIVE DUTY ARMED FORCES TAX ABATEMENT FOR RYAN,and carried with the following vote:,Pass,Graves,Lee,1,poppler,legislative/minutes/2015/2015-03-17_board_of_commissioners.md,motion
71,10,Board of Commissioners,5,"approve an agreement with GGP to use the Provo Towne Centre mall parking lot for Household Hazardous Waste Collection Day on April 11, 2015 as detailed in Regular Agenda Item No. 8",APPROVE AND AUTHORIZE THE COMMISSION CHAIR TO SIGN AN AGREEMENT WITH GGP,Commissioner Graves and carried with the following vote:,Pass,Lee,Graves,1,poppler,legislative/minutes/2015/2015-03-17_board_of_commissioners.md,motion
