meeting_id,date,body,md_path,provenance,kind,source_url
24,2015-06-30,Board of Commissioners,legislative/minutes/2015/2015-06-30_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2015/063015-CommissionMinutes.pdf
25,2015-07-07,Board of Commissioners,legislative/minutes/2015/2015-07-07_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2015/070715-CommissionMinutes.pdf
26,2015-07-21,Board of Commissioners,legislative/minutes/2015/2015-07-21_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2015/072115-CommissionMinutes.pdf
27,2015-07-28,Board of Commissioners,legislative/minutes/2015/2015-07-28_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2015/072815-CommissionMinutes.pdf
28,2015-08-04,Board of Commissioners,legislative/minutes/2015/2015-08-04_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2015/080415-CommissionMinutes.pdf
29,2015-08-18,Board of Commissioners,legislative/minutes/2015/2015-08-18_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2015/081815-CommissionMinutesII.pdf
30,2015-08-25,Board of Commissioners,legislative/minutes/2015/2015-08-25_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2015/082515-CommissionMinutesII_1.pdf
31,2015-09-01,Board of Commissioners,legislative/minutes/2015/2015-09-01_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2015/090115-CommissionMinutes.pdf
32,2015-09-08,Board of Commissioners,legislative/minutes/2015/2015-09-08_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2015/090815-CommissionMinutesII.pdf
33,2015-09-15,Board of Commissioners,legislative/minutes/2015/2015-09-15_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2015/091515-CommissionMinutes.pdf
34,2015-09-22,Board of Commissioners,legislative/minutes/2015/2015-09-22_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2015/092215-CommissionMinutes.pdf
35,2015-09-29,Board of Commissioners,legislative/minutes/2015/2015-09-29_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2015/092915-CommissionMinutes.pdf
36,2015-10-06,Board of Commissioners,legislative/minutes/2015/2015-10-06_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2015/100615-CommissionMinutes.pdf
37,2015-10-13,Board of Commissioners,legislative/minutes/2015/2015-10-13_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2015/101315-CommissionMinutes.pdf
38,2015-10-20,Board of Commissioners,legislative/minutes/2015/2015-10-20_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2015/102015-CommissionMinutes.pdf
39,2015-10-21,Board of Commissioners,legislative/minutes/2015/2015-10-21_board_of_commissioners.md,poppler,special,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2015/102115-SPECIALCommissionMinutes.pdf
40,2015-10-27,Board of Commissioners,legislative/minutes/2015/2015-10-27_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2015/102715-CommissionMinutes.pdf
41,2015-11-03,Board of Commissioners,legislative/minutes/2015/2015-11-03_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2015/110315-CommissionMinutes.pdf
42,2015-11-06,Board of Commissioners,legislative/minutes/2015/2015-11-06_board_of_commissioners.md,poppler,special,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2015/110615-SPECIALCommissionMinutes.pdf
43,2015-11-10,Board of Commissioners,legislative/minutes/2015/2015-11-10_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2015/111015-CommissionMinutes.pdf
44,2015-11-17,Board of Commissioners,legislative/minutes/2015/2015-11-17_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2015/111715-CommissionMinutes.pdf
45,2015-11-24,Board of Commissioners,legislative/minutes/2015/2015-11-24_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2015/112415-CommissionMinutes.pdf
46,2015-12-01,Board of Commissioners,legislative/minutes/2015/2015-12-01_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2015/120115-CommissionMinutes.pdf
47,2015-12-08,Board of Commissioners,legislative/minutes/2015/2015-12-08_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2015/120815-CommissionMinutes.pdf
48,2015-12-15,Board of Commissioners,legislative/minutes/2015/2015-12-15_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2015/121515-CommissionMinutes.pdf
49,2015-12-22,Board of Commissioners,legislative/minutes/2015/2015-12-22_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2015/122215-CommissionMinutes.pdf
50,2016-01-05,Board of Commissioners,legislative/minutes/2016/2016-01-05_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2016/010516-CommissionMinutes.pdf
51,2016-01-12,Board of Commissioners,legislative/minutes/2016/2016-01-12_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2016/011216-CommissionMinutes.pdf
52,2016-01-19,Board of Commissioners,legislative/minutes/2016/2016-01-19_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2016/011916-CommissionMinutes.pdf
53,2016-01-26,Board of Commissioners,legislative/minutes/2016/2016-01-26_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2016/012616-CommissionMinutes.pdf
54,2016-02-02,Board of Commissioners,legislative/minutes/2016/2016-02-02_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2016/020216-CommissionMinutes.pdf
55,2016-02-09,Board of Commissioners,legislative/minutes/2016/2016-02-09_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2016/020916-CommissionMinutes.pdf
56,2016-02-16,Board of Commissioners,legislative/minutes/2016/2016-02-16_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2016/021616-CommissionMinutes.pdf
57,2016-03-01,Board of Commissioners,legislative/minutes/2016/2016-03-01_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2016/030116-CommissionMinutes.pdf
58,2016-03-08,Board of Commissioners,legislative/minutes/2016/2016-03-08_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2016/030816-CommissionMinutes.pdf
59,2016-03-15,Board of Commissioners,legislative/minutes/2016/2016-03-15_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2016/031516-CommissionMinutes.pdf
60,2016-03-22,Board of Commissioners,legislative/minutes/2016/2016-03-22_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2016/032216-CommissionMinutes.pdf
61,2016-03-29,Board of Commissioners,legislative/minutes/2016/2016-03-29_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2016/032916-CommissionMinutes.pdf
62,2016-04-12,Board of Commissioners,legislative/minutes/2016/2016-04-12_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2016/041216-CommissionMinutes.pdf
63,2016-04-19,Board of Commissioners,legislative/minutes/2016/2016-04-19_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2016/041916-CommissionMinutes.pdf
64,2016-04-26,Board of Commissioners,legislative/minutes/2016/2016-04-26_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2016/042616-CommissionMinutes.pdf
65,2016-05-03,Board of Commissioners,legislative/minutes/2016/2016-05-03_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2016/050316-CommissionMinutes.pdf
66,2016-05-10,Board of Commissioners,legislative/minutes/2016/2016-05-10_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2016/051016-CommissionMinutes.pdf
67,2016-05-17,Board of Commissioners,legislative/minutes/2016/2016-05-17_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2016/051716-CommissionMinutes.pdf
68,2016-05-24,Board of Commissioners,legislative/minutes/2016/2016-05-24_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2016/052416-CommissionMinutes.pdf
69,2016-05-31,Board of Commissioners,legislative/minutes/2016/2016-05-31_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2016/053116-CommissionMinutes.pdf
70,2016-06-07,Board of Commissioners,legislative/minutes/2016/2016-06-07_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2016/060716-CommissionMinutes.pdf
71,2016-06-14,Board of Commissioners,legislative/minutes/2016/2016-06-14_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2016/061416-CommissionMinutes.pdf
72,2016-06-21,Board of Commissioners,legislative/minutes/2016/2016-06-21_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2016/062116-CommissionMinutes.pdf
73,2016-06-28,Board of Commissioners,legislative/minutes/2016/2016-06-28_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2016/062816-CommissionMinutes.pdf
74,2016-07-05,Board of Commissioners,legislative/minutes/2016/2016-07-05_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2016/070516-CommissionMinutes.pdf
75,2016-07-12,Board of Commissioners,legislative/minutes/2016/2016-07-12_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2016/071216-CommissionMinutes.pdf
76,2016-08-02,Board of Commissioners,legislative/minutes/2016/2016-08-02_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2016/080216-CommissionMinutes.pdf
77,2016-08-09,Board of Commissioners,legislative/minutes/2016/2016-08-09_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2016/080916-CommissionMinutes.pdf
78,2016-08-30,Board of Commissioners,legislative/minutes/2016/2016-08-30_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2016/083016-CommissionMinutes.pdf
79,2016-09-06,Board of Commissioners,legislative/minutes/2016/2016-09-06_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2016/090616-CommissionMinutes.pdf
80,2016-09-13,Board of Commissioners,legislative/minutes/2016/2016-09-13_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2016/091316-CommissionMinutes.pdf
81,2016-09-20,Board of Commissioners,legislative/minutes/2016/2016-09-20_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2016/092016-CommissionMinutes.pdf
82,2016-09-27,Board of Commissioners,legislative/minutes/2016/2016-09-27_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2016/092716-CommissionMinutes.pdf
83,2016-10-04,Board of Commissioners,legislative/minutes/2016/2016-10-04_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2016/100416-CommissionMinutes.pdf
84,2016-10-11,Board of Commissioners,legislative/minutes/2016/2016-10-11_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2016/101116-CommissionMinutes.pdf
85,2016-10-18,Board of Commissioners,legislative/minutes/2016/2016-10-18_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2016/101816-CommissionMinutes.pdf
86,2016-10-25,Board of Commissioners,legislative/minutes/2016/2016-10-25_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2016/102516-CommissionMinutes.pdf
87,2016-11-01,Board of Commissioners,legislative/minutes/2016/2016-11-01_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2016/110116-CommissionMinutes.pdf
88,2016-11-08,Board of Commissioners,legislative/minutes/2016/2016-11-08_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2016/110816-CommissionMinutes.pdf
89,2016-11-22,Board of Commissioners,legislative/minutes/2016/2016-11-22_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2016/112216-CommissionMinutes.pdf
90,2016-11-29,Board of Commissioners,legislative/minutes/2016/2016-11-29_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2016/112916-CommissionMinutes.pdf
91,2016-12-06,Board of Commissioners,legislative/minutes/2016/2016-12-06_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2016/120616-CommissionMinutes.pdf
92,2016-12-13,Board of Commissioners,legislative/minutes/2016/2016-12-13_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2016/121316-CommissionMinutes.pdf
93,2016-12-20,Board of Commissioners,legislative/minutes/2016/2016-12-20_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2016/122016-CommissionMinutes.pdf
94,2017-01-03,Board of Commissioners,legislative/minutes/2017/2017-01-03_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2017/010317-CommissionMinutes.pdf
95,2017-01-10,Board of Commissioners,legislative/minutes/2017/2017-01-10_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2017/011017-CommissionMinutes.pdf
96,2017-01-17,Board of Commissioners,legislative/minutes/2017/2017-01-17_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2017/011717-CommissionMinutes.pdf
97,2017-01-24,Board of Commissioners,legislative/minutes/2017/2017-01-24_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2017/012417-CommissionMinutes.pdf
98,2017-01-31,Board of Commissioners,legislative/minutes/2017/2017-01-31_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2017/013117-1PMCommissionMinutes.pdf
99,2017-02-07,Board of Commissioners,legislative/minutes/2017/2017-02-07_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2017/020717-CommissionMinutes.pdf
100,2017-02-14,Board of Commissioners,legislative/minutes/2017/2017-02-14_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2017/021417-CommissionMinutes.pdf
101,2017-02-21,Board of Commissioners,legislative/minutes/2017/2017-02-21_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2017/022117-CommissionMinutes.pdf
102,2017-03-07,Board of Commissioners,legislative/minutes/2017/2017-03-07_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2017/030717-CommissionMinutes.pdf
103,2017-03-14,Board of Commissioners,legislative/minutes/2017/2017-03-14_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2017/031417-CommissionMinutes.pdf
104,2017-03-21,Board of Commissioners,legislative/minutes/2017/2017-03-21_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2017/032117-CommissionMinutes.pdf
105,2017-03-28,Board of Commissioners,legislative/minutes/2017/2017-03-28_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2017/032817-CommissionMinutes.pdf
106,2017-04-11,Board of Commissioners,legislative/minutes/2017/2017-04-11_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2017/041117-CommissionMinutes.pdf
107,2017-04-18,Board of Commissioners,legislative/minutes/2017/2017-04-18_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2017/041817-CommissionMinutes.pdf
108,2017-04-25,Board of Commissioners,legislative/minutes/2017/2017-04-25_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2017/042517-1PMCommissionMinutes.pdf
109,2017-05-02,Board of Commissioners,legislative/minutes/2017/2017-05-02_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2017/050217-CommissionMinutes.pdf
110,2017-05-09,Board of Commissioners,legislative/minutes/2017/2017-05-09_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2017/050917-CommissionMinutes.pdf
111,2017-05-16,Board of Commissioners,legislative/minutes/2017/2017-05-16_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2017/051617-CommissionMinutes.pdf
112,2017-05-30,Board of Commissioners,legislative/minutes/2017/2017-05-30_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2017/053017-CommissionMinutes.pdf
113,2017-06-06,Board of Commissioners,legislative/minutes/2017/2017-06-06_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2017/060617-CommissionMinutes.pdf
114,2017-06-09,Board of Commissioners,legislative/minutes/2017/2017-06-09_board_of_commissioners.md,poppler,special,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2017/060917-SPECIALCommissionMinutes.pdf
115,2017-06-13,Board of Commissioners,legislative/minutes/2017/2017-06-13_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2017/061317-CommissionMinutes.pdf
116,2017-06-20,Board of Commissioners,legislative/minutes/2017/2017-06-20_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2017/062017-CommissionMinutes.pdf
117,2017-06-27,Board of Commissioners,legislative/minutes/2017/2017-06-27_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2017/062717-CommissionMinutes.pdf
118,2017-07-05,Board of Commissioners,legislative/minutes/2017/2017-07-05_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2017/070517-CommissionMinutes.pdf
119,2017-07-11,Board of Commissioners,legislative/minutes/2017/2017-07-11_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2017/071117-CommissionMinutes.pdf
120,2017-07-18,Board of Commissioners,legislative/minutes/2017/2017-07-18_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2017/071817-CommissionMinutes.pdf
121,2017-07-25,Board of Commissioners,legislative/minutes/2017/2017-07-25_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2017/072517-CommissionMinutes_1.pdf
122,2017-08-01,Board of Commissioners,legislative/minutes/2017/2017-08-01_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2017/080117-CommissionMinutes.pdf
123,2017-08-08,Board of Commissioners,legislative/minutes/2017/2017-08-08_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2017/080817-CommissionMinutes.pdf
124,2017-08-15,Board of Commissioners,legislative/minutes/2017/2017-08-15_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2017/081517-CommissionMinutes.pdf
125,2017-08-22,Board of Commissioners,legislative/minutes/2017/2017-08-22_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2017/082217-CommissionMinutes.pdf
126,2017-08-29,Board of Commissioners,legislative/minutes/2017/2017-08-29_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2017/082917-CommissionMinutes.pdf
127,2017-09-05,Board of Commissioners,legislative/minutes/2017/2017-09-05_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2017/090517-CommissionMinutes.pdf
128,2017-09-12,Board of Commissioners,legislative/minutes/2017/2017-09-12_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2017/091217-CommissionMinutes.pdf
129,2017-09-19,Board of Commissioners,legislative/minutes/2017/2017-09-19_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2017/091917-CommissionMinutes.pdf
130,2017-09-26,Board of Commissioners,legislative/minutes/2017/2017-09-26_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2017/092617-CommissionMinutes.pdf
131,2017-10-03,Board of Commissioners,legislative/minutes/2017/2017-10-03_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2017/100317-CommissionMinutes.pdf
132,2017-10-10,Board of Commissioners,legislative/minutes/2017/2017-10-10_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2017/101017-CommissionMinutes.pdf
133,2017-10-17,Board of Commissioners,legislative/minutes/2017/2017-10-17_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2017/101717-CommissionMinutes.pdf
134,2017-10-24,Board of Commissioners,legislative/minutes/2017/2017-10-24_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2017/102417-CommissionMinutes.pdf
135,2017-10-31,Board of Commissioners,legislative/minutes/2017/2017-10-31_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2017/103117-CommissionMinutes.pdf
136,2017-11-07,Board of Commissioners,legislative/minutes/2017/2017-11-07_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2017/110717-CommissionMinutes.pdf
137,2017-11-14,Board of Commissioners,legislative/minutes/2017/2017-11-14_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2017/111417-CommissionMinutes.pdf
138,2017-11-21,Board of Commissioners,legislative/minutes/2017/2017-11-21_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2017/112117-CommissionMinutes.pdf
139,2017-11-28,Board of Commissioners,legislative/minutes/2017/2017-11-28_board_of_commissioners.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2017/112817-CommissionMinutes.pdf
140,2017-12-04,Commission Work Session,legislative/minutes/2017/2017-12-04_commission_work_session.md,poppler,,https://www.utahcounty.gov/dept/commish/data/minutes/CM/2017/120417-WorkSessionMinutes.pdf
