service_name,type,rest_url
FAA_Greenspace,MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/FAA_Greenspace/MapServer
FAA_Parcels,MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/FAA_Parcels/MapServer
GeneralPlan,MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/GeneralPlan/MapServer
Google2013,ImageServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/Google2013/ImageServer
Google2015,ImageServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/Google2015/ImageServer
Google2017,ImageServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/Google2017/ImageServer
GraceEpiscopal_WEL,ImageServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/GraceEpiscopal_WEL/ImageServer
Greenbelt,ImageServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/Greenbelt/ImageServer
GreenbeltParcels,MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/GreenbeltParcels/MapServer
HRO_2006,ImageServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/HRO_2006/ImageServer
Hazards,MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/Hazards/MapServer
Hillshade,ImageServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/Hillshade/ImageServer
Hillside_Slope_2009,MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/Hillside_Slope_2009/MapServer
HistoricParcels,MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/HistoricParcels/MapServer
ImageryMask,MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/ImageryMask/MapServer
Labels,MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/Labels/MapServer
MultiPartParcels,MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/MultiPartParcels/MapServer
NAIP_2004,ImageServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/NAIP_2004/ImageServer
NAIP_2006,ImageServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/NAIP_2006/ImageServer
NAIP_2009,ImageServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/NAIP_2009/ImageServer
NAIP_2011,ImageServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/NAIP_2011/ImageServer
NAIP_2014,ImageServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/NAIP_2014/ImageServer
NAIP_2016,ImageServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/NAIP_2016/ImageServer
NAIP_2018,ImageServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/NAIP_2018/ImageServer
NAIP_2021,ImageServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/NAIP_2021/ImageServer
NAIP_2024,ImageServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/NAIP_2024/ImageServer
New_Harmony_Valley_General_Plan,MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/New_Harmony_Valley_General_Plan/MapServer
NonCompliantParcels,MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/NonCompliantParcels/MapServer
PLSS,MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/PLSS/MapServer
ParcelID_Locator,GeocodeServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/ParcelID_Locator/GeocodeServer
ParcelOwners,MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/ParcelOwners/MapServer
Parcels,MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/Parcels/MapServer
Pictometry2007,ImageServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/Pictometry2007/ImageServer
Pictometry2009,ImageServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/Pictometry2009/ImageServer
Pictometry2012,ImageServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/Pictometry2012/ImageServer
Pictometry2014,ImageServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/Pictometry2014/ImageServer
Pictometry2016,ImageServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/Pictometry2016/ImageServer
Pictometry2018,ImageServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/Pictometry2018/ImageServer
Pictometry2020,ImageServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/Pictometry2020/ImageServer
Pictometry2022,ImageServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/Pictometry2022/ImageServer
Pictometry2024,ImageServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/Pictometry2024/ImageServer
Pictometry2024Hybrid,ImageServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/Pictometry2024Hybrid/ImageServer
Pictometry2026,ImageServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/Pictometry2026/ImageServer
Pictometry2026_WMS,ImageServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/Pictometry2026_WMS/ImageServer
PointsOfInterest,MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/PointsOfInterest/MapServer
PublicWorks,MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/PublicWorks/MapServer
PublicWorksEdits,MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/PublicWorksEdits/MapServer
RMP,MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/RMP/MapServer
Recorders,MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/Recorders/MapServer
Recreation,MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/Recreation/MapServer
SepticData,MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/SepticData/MapServer
SiteAddressPoint_Locator,GeocodeServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/SiteAddressPoint_Locator/GeocodeServer
Slope_Degrees,ImageServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/Slope_Degrees/ImageServer
StreetCenterlines_Locator,GeocodeServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/StreetCenterlines_Locator/GeocodeServer
Streets,MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/Streets/MapServer
Subdivisions,MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/Subdivisions/MapServer
TaxDistricts,MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/TaxDistricts/MapServer
VeyoCemetery,MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/VeyoCemetery/MapServer
VeyoCemeteryLabels,MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/VeyoCemeteryLabels/MapServer
VeyoCemeteryLots,MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/VeyoCemeteryLots/MapServer
WUI,MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/WUI/MapServer
WashCoClassDMap1977,ImageServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/WashCoClassDMap1977/ImageServer
WashCoHwyMap1954,ImageServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/WashCoHwyMap1954/ImageServer
WildfireHazardPotential,MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/WildfireHazardPotential/MapServer
Zoning,MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/Zoning/MapServer
