ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,body,n_vote_events,independent_source,minutes_path,note
11 of 2020,2020-05-05,2020-05-05,"to close the public hearing and adopt Ordinance 11 of 2020, which motion carried, all members voted aye (roll call) . (P 20-6) 8:17 :14",https://slc.primegov.com/ (council minutes portal),2026-07-05,scanned,ordinance number found in minutes text only (no matched vote row),,no,,,,none,Council,0,,meeting_minutes/minutes/2020/2020-05-04/2020-05-05_formal-meeting.txt,"2020 ordinance in OCR (Laserfiche) minutes — pre-2021 vote floor, no votes extracted"
12 of 2020,2020-05-19,2020-05-19,"to close the public hearing and adopt Ordinance 12 of 2020 rezoning the property at 1172 East Chandler Drive to FR-3/12 ,000 , which moti",https://slc.primegov.com/ (council minutes portal),2026-07-05,scanned,ordinance number found in minutes text only (no matched vote row),,yes,,,,none,Council,0,,meeting_minutes/minutes/2020/2020-05-18/2020-05-19_formal-meeting.txt,"2020 ordinance in OCR (Laserfiche) minutes — pre-2021 vote floor, no votes extracted"
13 of 2020,2020-05-19,2020-05-19,to close the public hearing and adopt Ordinance 13 of 2020 rezoning the property at 504 South 900 East to R-MU-35 subject to the applican,https://slc.primegov.com/ (council minutes portal),2026-07-05,scanned,ordinance number found in minutes text only (no matched vote row),,yes,,,,none,Council,0,,meeting_minutes/minutes/2020/2020-05-18/2020-05-19_formal-meeting.txt,"2020 ordinance in OCR (Laserfiche) minutes — pre-2021 vote floor, no votes extracted"
14 of 2020,2020-05-19,2020-05-19,"cilmember Valdemoros seconded to adopt Ordinance 14 of 2020, amending the Central Community Master Plan to medium density residential and",https://slc.primegov.com/ (council minutes portal),2026-07-05,scanned,ordinance number found in minutes text only (no matched vote row),,yes,,,,none,Council,0,,meeting_minutes/minutes/2020/2020-05-18/2020-05-19_formal-meeting.txt,"2020 ordinance in OCR (Laserfiche) minutes — pre-2021 vote floor, no votes extracted"
15 of 2020,2020-05-19,2020-05-19,"cilmember Valdemoros seconded to adopt Ordinance 15 of 2020 , requiring information reports be provided to the City Council pertaining to",https://slc.primegov.com/ (council minutes portal),2026-07-05,scanned,ordinance number found in minutes text only (no matched vote row),,no,,,,none,Council,0,,meeting_minutes/minutes/2020/2020-05-18/2020-05-19_formal-meeting.txt,"2020 ordinance in OCR (Laserfiche) minutes — pre-2021 vote floor, no votes extracted"
16 of 2020,2020-06-02,2020-06-02,"to close the public hearing and adopt Ordinance 16 of 2020 , approving item D-7 in the proposed budget amendment, with changes to the fun",https://slc.primegov.com/ (council minutes portal),2026-07-05,scanned,ordinance number found in minutes text only (no matched vote row),,no,,,,none,Council,0,,meeting_minutes/minutes/2020/2020-06-01/2020-06-02_formal-meeting.txt,"2020 ordinance in OCR (Laserfiche) minutes — pre-2021 vote floor, no votes extracted"
30 of 2020,2020-10-06,2020-10-06,Councilmember Rogers seconded to adopt Ordinance 30 of 2020 updating the Impact Fees Facilities Plan for transportation services and amend,https://slc.primegov.com/ (council minutes portal),2026-07-05,scanned,ordinance number found in minutes text only (no matched vote row),,no,,,,none,Council,0,,meeting_minutes/minutes/2020/2020-10-05/2020-10-06_formal-meeting.txt,"2020 ordinance in OCR (Laserfiche) minutes — pre-2021 vote floor, no votes extracted"
31 of 2020,2020-08-18,2020-08-18,"to close the public hearing and adopt Ordinance 31 of 2020, amending the 20 - 1 MINUTES OF THE SALT LAKE CITY COUNCIL FORMAL MEETING TU",https://slc.primegov.com/ (council minutes portal),2026-07-05,scanned,ordinance number found in minutes text only (no matched vote row),,no,,,,none,Council,0,,meeting_minutes/minutes/2020/2020-08-17/2020-08-18_formal-meeting.txt,"2020 ordinance in OCR (Laserfiche) minutes — pre-2021 vote floor, no votes extracted"
32 of 2020,2020-08-18,2020-08-18,"to close the public hearing and adopt Ordinance 32 of 2020, which motion carried, all members voted aye (roll call) . (P 20-16) #3. 7:1",https://slc.primegov.com/ (council minutes portal),2026-07-05,scanned,ordinance number found in minutes text only (no matched vote row),,no,,,,none,Council,0,,meeting_minutes/minutes/2020/2020-08-17/2020-08-18_formal-meeting.txt,"2020 ordinance in OCR (Laserfiche) minutes — pre-2021 vote floor, no votes extracted"
33 of 2020,2020-08-18,2020-08-18,"to close the public hearing and adopt Ordinance 33 of 2020, which motion carried, all members voted aye (roll call) . (P 20-12) #4 . 7:",https://slc.primegov.com/ (council minutes portal),2026-07-05,scanned,ordinance number found in minutes text only (no matched vote row),,no,,,,none,Council,0,,meeting_minutes/minutes/2020/2020-08-17/2020-08-18_formal-meeting.txt,"2020 ordinance in OCR (Laserfiche) minutes — pre-2021 vote floor, no votes extracted"
34 of 2020,2020-08-18,2020-08-18,"to close the public hearing and adopt Ordinance 34 of 2020, which motion carried, all members voted aye (roll call) . (P 20-13) #5. 7:1",https://slc.primegov.com/ (council minutes portal),2026-07-05,scanned,ordinance number found in minutes text only (no matched vote row),,no,,,,none,Council,0,,meeting_minutes/minutes/2020/2020-08-17/2020-08-18_formal-meeting.txt,"2020 ordinance in OCR (Laserfiche) minutes — pre-2021 vote floor, no votes extracted"
35 of 2020,2020-08-18,2020-08-18,"to close the public hearing and adopt Ordinance 35 of 2020 which motion carried, all members voted aye (roll call) . (P 20-14) #6 . 7:2",https://slc.primegov.com/ (council minutes portal),2026-07-05,scanned,ordinance number found in minutes text only (no matched vote row),,no,,,,none,Council,0,,meeting_minutes/minutes/2020/2020-08-17/2020-08-18_formal-meeting.txt,"2020 ordinance in OCR (Laserfiche) minutes — pre-2021 vote floor, no votes extracted"
36 of 2020,2020-08-11,2020-08-11,"d to close the public hearing and adopt Ordinance 36 of 2020, establishing the final rate of tax levy, including the final levy for the Libr",https://slc.primegov.com/ (council minutes portal),2026-07-05,scanned,ordinance number found in minutes text only (no matched vote row),,no,,,,none,Council,0,,meeting_minutes/minutes/2020/2020-08-10/2020-08-11_formal-meeting.txt,"2020 ordinance in OCR (Laserfiche) minutes — pre-2021 vote floor, no votes extracted"
37 of 2020,2020-08-11,2020-08-11,"d Councilmember Dugan seconded to adopt Ordinance 37 of 2020, which motion carried, all members voted aye (roll call). (O 20-13) G. CONSENT",https://slc.primegov.com/ (council minutes portal),2026-07-05,scanned,ordinance number found in minutes text only (no matched vote row),,no,,,,none,Council,0,,meeting_minutes/minutes/2020/2020-08-10/2020-08-11_formal-meeting-2.txt,"2020 ordinance in OCR (Laserfiche) minutes — pre-2021 vote floor, no votes extracted"
38 of 2020,2020-09-01,2020-09-01,"to close the public hearing and adopt Ordinance 38 of 2020, amending the Fiscal Year 2020-2021 final budget of Salt Lake City for CARES A",https://slc.primegov.com/ (council minutes portal),2026-07-05,scanned,ordinance number found in minutes text only (no matched vote row),,no,,,,none,Council,0,,meeting_minutes/minutes/2020/2020-08-31/2020-09-01_formal-meeting.txt,"2020 ordinance in OCR (Laserfiche) minutes — pre-2021 vote floor, no votes extracted"
39 of 2020,2020-09-01,2020-09-01,"Councilmember Rogers seconded to adopt Ordinance 39 of 2020, which motion carried, all members voted aye (roll call). (P 20-15) NEW BU",https://slc.primegov.com/ (council minutes portal),2026-07-05,scanned,ordinance number found in minutes text only (no matched vote row),,no,,,,none,Council,0,,meeting_minutes/minutes/2020/2020-08-31/2020-09-01_formal-meeting.txt,"2020 ordinance in OCR (Laserfiche) minutes — pre-2021 vote floor, no votes extracted"
40 of 2020,2020-09-15,2020-09-15,"to close the public hearing and adopt Ordinance 40 of 2020 , which motion carried, all members voted aye (roll call) . (0 20-14) 20 - 2",https://slc.primegov.com/ (council minutes portal),2026-07-05,scanned,ordinance number found in minutes text only (no matched vote row),,no,,,,none,Council,0,,meeting_minutes/minutes/2020/2020-09-14/2020-09-15_formal-meeting.txt,"2020 ordinance in OCR (Laserfiche) minutes — pre-2021 vote floor, no votes extracted"
41 of 2020,2020-09-15,2020-09-15,"to close the public hearing and adopt Ordinance 41 of 2020, which motion carried, all members voted aye (roll call) . (P 20-18) #4 . 9:",https://slc.primegov.com/ (council minutes portal),2026-07-05,scanned,ordinance number found in minutes text only (no matched vote row),,no,,,,none,Council,0,,meeting_minutes/minutes/2020/2020-09-14/2020-09-15_formal-meeting.txt,"2020 ordinance in OCR (Laserfiche) minutes — pre-2021 vote floor, no votes extracted"
42 of 2020,2020-09-15,2020-09-15,"Councilmember Rogers seconded to adopt Ordinance 42 of 2020 , amending the Fiscal Year 2020-2021 final budget of Salt Lake City for Items",https://slc.primegov.com/ (council minutes portal),2026-07-05,scanned,ordinance number found in minutes text only (no matched vote row),,no,,,,none,Council,0,,meeting_minutes/minutes/2020/2020-09-14/2020-09-15_formal-meeting.txt,"2020 ordinance in OCR (Laserfiche) minutes — pre-2021 vote floor, no votes extracted"
43 of 2020,2020-10-06,2020-10-06,"to close the public hearing and adopt Ordinance 43 of 2020, which motion carried, all members voted aye (roll call) . (0 20-15) 11:45:0",https://slc.primegov.com/ (council minutes portal),2026-07-05,scanned,ordinance number found in minutes text only (no matched vote row),,no,,,,none,Council,0,,meeting_minutes/minutes/2020/2020-10-05/2020-10-06_formal-meeting.txt,"2020 ordinance in OCR (Laserfiche) minutes — pre-2021 vote floor, no votes extracted"
44 of 2020,2020-10-06,2020-10-06,"to close the public hearing and adopt Ordinance 44 of 2020, which motion carried, all members voted aye (roll call) . (P 20-19) #5. 11:",https://slc.primegov.com/ (council minutes portal),2026-07-05,scanned,ordinance number found in minutes text only (no matched vote row),,no,,,,none,Council,0,,meeting_minutes/minutes/2020/2020-10-05/2020-10-06_formal-meeting.txt,"2020 ordinance in OCR (Laserfiche) minutes — pre-2021 vote floor, no votes extracted"
45 of 2020,2020-10-06,2020-10-06,"to close the public hearing and adopt Ordinance 45 of 2020, which motion carried, all members voted aye (roll call) . (P 20-20) #6 . 11",https://slc.primegov.com/ (council minutes portal),2026-07-05,scanned,ordinance number found in minutes text only (no matched vote row),,no,,,,none,Council,0,,meeting_minutes/minutes/2020/2020-10-05/2020-10-06_formal-meeting.txt,"2020 ordinance in OCR (Laserfiche) minutes — pre-2021 vote floor, no votes extracted"
46 of 2020,2020-10-06,2020-10-06,uncilmember Johnston seconded to adopt Ordinance 46 of 2020 enacting Chapter 2 . 10 . 190 restricting military surplus equipment in the Po,https://slc.primegov.com/ (council minutes portal),2026-07-05,scanned,ordinance number found in minutes text only (no matched vote row),,no,,,,none,Council,0,,meeting_minutes/minutes/2020/2020-10-05/2020-10-06_formal-meeting.txt,"2020 ordinance in OCR (Laserfiche) minutes — pre-2021 vote floor, no votes extracted"
47 of 2020,2020-10-20,2020-10-20,d to close the public hearing and adopt Ordinance 47 of 2020. 7:49:43 PM Councilmember Mano commented on the proposal. He thanked the publ,https://slc.primegov.com/ (council minutes portal),2026-07-05,scanned,ordinance number found in minutes text only (no matched vote row),,no,,,,none,Council,0,,meeting_minutes/minutes/2020/2020-10-19/2020-10-20_formal-meeting.txt,"2020 ordinance in OCR (Laserfiche) minutes — pre-2021 vote floor, no votes extracted"
48 of 2020,2020-10-20,2020-10-20,"d to close the public hearing and adopt Ordinance 48 of 2020, adopting the Salt Lake City Cemetery Master Plan, which motion carried, all me",https://slc.primegov.com/ (council minutes portal),2026-07-05,scanned,ordinance number found in minutes text only (no matched vote row),,yes,,,,none,Council,0,,meeting_minutes/minutes/2020/2020-10-19/2020-10-20_formal-meeting.txt,"2020 ordinance in OCR (Laserfiche) minutes — pre-2021 vote floor, no votes extracted"
49 of 2020,2020-10-28,2020-10-28,"to close the public hearing and adopt Ordinance 49 of 2020, approving Budget Amendment No. 3 for fiscal year 2020-21 (view motion sheet)",https://slc.primegov.com/ (council minutes portal),2026-07-05,scanned,ordinance number found in minutes text only (no matched vote row),,no,,,,none,Council,0,,meeting_minutes/minutes/2020/2020-10-26/2020-10-28_formal-meeting.txt,"2020 ordinance in OCR (Laserfiche) minutes — pre-2021 vote floor, no votes extracted"
50 of 2020,2020-11-10,2020-11-10,"Councilmember Fowler seconded to adopt Ordinance 50 of 2020, subject to the Administration entering into a development agreement with the a",https://slc.primegov.com/ (council minutes portal),2026-07-05,scanned,ordinance number found in minutes text only (no matched vote row),,no,,,,none,Council,0,,meeting_minutes/minutes/2020/2020-11-09/2020-11-10_formal-meeting.txt,"2020 ordinance in OCR (Laserfiche) minutes — pre-2021 vote floor, no votes extracted"
51 of 2020,2020-11-17,2020-11-17,"d to close the public hearing and adopt Ordinance 51 of 2020, which motion carried, all members present voted aye (roll call). (P 19-1)",https://slc.primegov.com/ (council minutes portal),2026-07-05,scanned,ordinance number found in minutes text only (no matched vote row),,no,,,,none,Council,0,,meeting_minutes/minutes/2020/2020-11-16/2020-11-17_formal-meeting.txt,"2020 ordinance in OCR (Laserfiche) minutes — pre-2021 vote floor, no votes extracted"
52 of 2020,2020-11-17,2020-11-17,"d to close the public hearing and adopt Ordinance 52 of 2020, amending the FY 2020-21 final budget of Salt Lake City including the employmen",https://slc.primegov.com/ (council minutes portal),2026-07-05,scanned,ordinance number found in minutes text only (no matched vote row),,no,,,,none,Council,0,,meeting_minutes/minutes/2020/2020-11-16/2020-11-17_formal-meeting.txt,"2020 ordinance in OCR (Laserfiche) minutes — pre-2021 vote floor, no votes extracted"
53 of 2020,2020-11-17,2020-11-17,"to close the public hearing and adopt Ordinance 53 of 2020 and further MINUTES OF THE SALT LAKE CITY COUNCIL FORMAL MEETING TUESDAY, NOVE",https://slc.primegov.com/ (council minutes portal),2026-07-05,scanned,ordinance number found in minutes text only (no matched vote row),,no,,,,none,Council,0,,meeting_minutes/minutes/2020/2020-11-16/2020-11-17_formal-meeting.txt,"2020 ordinance in OCR (Laserfiche) minutes — pre-2021 vote floor, no votes extracted"
54 of 2020,2020-12-01,2020-12-01,"d Councilmember Dugan seconded to adopt Ordinance 54 of 2020, enacting Chapter 2.10.200 Regulating the Police MINUTES OF THE SALT LAKE CITY",https://slc.primegov.com/ (council minutes portal),2026-07-05,scanned,ordinance number found in minutes text only (no matched vote row),,no,,,,none,Council,0,,meeting_minutes/minutes/2020/2020-11-30/2020-12-01_formal-meeting.txt,"2020 ordinance in OCR (Laserfiche) minutes — pre-2021 vote floor, no votes extracted"
55 of 2020,2020-12-08,2020-12-08,"; I further move that the Council adopt Ordinance 55 of 2020, vacating the property subject to the Administration recording a deed restricti",https://slc.primegov.com/ (council minutes portal),2026-07-05,scanned,ordinance number found in minutes text only (no matched vote row),,yes,,,,none,Council,0,,meeting_minutes/minutes/2020/2020-12-07/2020-12-08_formal-meeting.txt,"2020 ordinance in OCR (Laserfiche) minutes — pre-2021 vote floor, no votes extracted"
56 of 2020,2020-12-08,2020-12-08,"d Councilmember Dugan seconded to adopt Ordinance 56 of 2020, which motion carried, all members present voted aye (roll call). (O 20-12)",https://slc.primegov.com/ (council minutes portal),2026-07-05,scanned,ordinance number found in minutes text only (no matched vote row),,no,,,,none,Council,0,,meeting_minutes/minutes/2020/2020-12-07/2020-12-08_formal-meeting.txt,"2020 ordinance in OCR (Laserfiche) minutes — pre-2021 vote floor, no votes extracted"
57 of 2020,2020-12-08,2020-12-08,"Councilmember Fowler seconded to adopt Ordinance 57 of 2020 repealing City Code 2.16 and amending the entirety of City Code 2.24, and Ordin",https://slc.primegov.com/ (council minutes portal),2026-07-05,scanned,ordinance number found in minutes text only (no matched vote row),,no,,,,none,Council,0,,meeting_minutes/minutes/2020/2020-12-07/2020-12-08_formal-meeting.txt,"2020 ordinance in OCR (Laserfiche) minutes — pre-2021 vote floor, no votes extracted"
58 of 2020,2020-12-08,2020-12-08,"ing the entirety of City Code 2.24, and Ordinance 58 of 2020 enacting Chapter 2.98 Competitive Merit-based Recruitment and Promotion Process",https://slc.primegov.com/ (council minutes portal),2026-07-05,scanned,ordinance number found in minutes text only (no matched vote row),,no,,,,none,Council,0,,meeting_minutes/minutes/2020/2020-12-07/2020-12-08_formal-meeting.txt,"2020 ordinance in OCR (Laserfiche) minutes — pre-2021 vote floor, no votes extracted"
59 of 2020,2020-12-08,2020-12-08,"Amendment No. 5. and the Council adopt Ordinance 59 of 2020, amending the Fiscal Year 2020-2021 final budget of Salt Lake City including th",https://slc.primegov.com/ (council minutes portal),2026-07-05,scanned,ordinance number found in minutes text only (no matched vote row),,no,,,,none,Council,0,,meeting_minutes/minutes/2020/2020-12-07/2020-12-08_formal-meeting.txt,"2020 ordinance in OCR (Laserfiche) minutes — pre-2021 vote floor, no votes extracted"
60 of 2020,2020-12-08,2020-12-08,"Councilmember Fowler seconded to adopt Ordinance 60 of 2020, with the changes and legislative intents listed in Attachment 1, which motion",https://slc.primegov.com/ (council minutes portal),2026-07-05,scanned,ordinance number found in minutes text only (no matched vote row),,no,,,,none,Council,0,,meeting_minutes/minutes/2020/2020-12-07/2020-12-08_formal-meeting.txt,"2020 ordinance in OCR (Laserfiche) minutes — pre-2021 vote floor, no votes extracted"
61 of 2020,2020-12-11,2020-12-11,"Councilmember Fowler seconded to adopt Ordinance 61 of 2020, enacting a temporary zoning regulation authorizing an overflow homeless shelte",https://slc.primegov.com/ (council minutes portal),2026-07-05,scanned,ordinance number found in minutes text only (no matched vote row),,no,,,,none,Council,0,,meeting_minutes/minutes/2020/2020-12-07/2020-12-11_formal-meeting.txt,"2020 ordinance in OCR (Laserfiche) minutes — pre-2021 vote floor, no votes extracted"
1 of 2021,2021-01-19,2021-01-19,"Close the hearing and adopt Ordinance 1 of 2021, Budget Amendment No. 6 in its entirety.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2021-01-19,4,within_source,Council,1,,minutes/2021/2021-01-18/2021-01-19_council-formal-meeting.md,
2 of 2021,2021-02-16,2021-02-16,"Adopt Ordinance 2 of 2021, adopting changes related to modular building construction and inspections",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2021-02-16,5,within_source,Council,1,,minutes/2021/2021-02-15/2021-02-16_council-formal-meeting.md,
3 of 2021,2021-03-16,2021-03-16,"Adopt Ordinance 3 of 2021, for the West End Alley Vacation (Adjacent to Properties at 740 West and 746 West 900 South).",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,7-0 Pass,2021-03-16,6,within_source,Council,1,,minutes/2021/2021-03-15/2021-03-16_council-formal-meeting.md,
4 of 2021,2021-03-16,2021-03-16,"Adopt Ordinance 4 of 2021, for the Zoning Amendments at approximately 2903 South Highland Drive.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2021-03-16,8,within_source,Council,1,,minutes/2021/2021-03-15/2021-03-16_council-formal-meeting.md,
5 of 2021,2021-03-16,2021-03-16,"Adopt Ordinance 5 of 2021, for a rezone at 1301 and 1321 South State Street.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,7-0 Pass,2021-03-16,9,within_source,Council,1,,minutes/2021/2021-03-15/2021-03-16_council-formal-meeting.md,
6 of 2021,2021-04-06,2021-04-06,Adopt Ordinance 6 of 2021 amending the final budget for the Library Budget of Salt Lake City for Fiscal Year 2020-2021,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2021-04-06,5,within_source,Council,1,,minutes/2021/2021-04-05/2021-04-06_council-formal-meeting.md,
7 of 2021,2021-04-06,2021-04-06,"Adopt Ordinance 7 of 2021 amending Chapter 2.30 of Salt Lake City Code, pertaining to the Percent for Art",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2021-04-06,7,within_source,Council,1,,minutes/2021/2021-04-05/2021-04-06_council-formal-meeting.md,
9 of 2021,2021-04-20,2021-04-20,"Adopt Ordinance 09 of 2021, amending the FY 2020-21 final budget of Salt Lake City including the employment staffing document (Budget Amendment No. 7).",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2021-04-20,3,within_source,Council,1,,minutes/2021/2021-04-19/2021-04-20_council-formal-meeting.md,
10 of 2021,2021-04-20,2021-04-20,Adopt Ordinance 10 of 2021 to amend the Zoning Map at the property located at approximately 706 to 740 West 900 South and 710 to 739 West Genesee Avenue.,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,7-0 Pass,2021-04-20,7,within_source,Council,1,,minutes/2021/2021-04-19/2021-04-20_council-formal-meeting.md,
11 of 2021,2021-04-20,2021-04-20,"Adopt Ordinance 11 of 2021, amending the section of the Salt Lake City Code relating to idling of vehicles ordinance penalty and exception amendments.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2021-04-20,11,within_source,Council,1,,minutes/2021/2021-04-19/2021-04-20_council-formal-meeting.md,
12 of 2021,2021-04-20,2021-04-20,"Adopt Ordinance 12 of 2021, amending the Fiscal Year 2021 Annual Compensation Plan Appendix B for appointed employees and non-represented employees.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2021-04-20,13,within_source,Council,1,,minutes/2021/2021-04-19/2021-04-20_council-formal-meeting.md,
15 of 2021,2021-05-18,2021-05-18,"Adopt Ordinance 15 of 2021, amending the FY 2020-21 final budget of Salt Lake City including the employment staffing document",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,6-0 Pass,2021-05-18,11,within_source,Council,1,,minutes/2021/2021-05-17/2021-05-18_lba-rda-and-council-formal-meeting.md,
16 of 2021,2021-05-18,2021-05-18,"Adopt Ordinance 16 of 2021, amending the zoning map pertaining to the parcel at approximately 2058 North 2200 West from AG-2, Agricultural to M-1, Manufacturing",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,6-0 Pass,2021-05-18,12,within_source,Council,1,,minutes/2021/2021-05-17/2021-05-18_lba-rda-and-council-formal-meeting.md,
17 of 2021,2021-05-18,2021-05-18,"Adopt Ordinance 17 of 2021, granting a Master License Agreement to SQF, LLC",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,6-0 Pass,2021-05-18,14,within_source,Council,1,,minutes/2021/2021-05-17/2021-05-18_lba-rda-and-council-formal-meeting.md,
18 of 2021,2021-05-18,2021-05-18,"Adopt Ordinance 18 of 2021, granting a Telecommunication Franchise Agreement to SQF, LLC",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,6-0 Pass,2021-05-18,15,within_source,Council,1,,minutes/2021/2021-05-17/2021-05-18_lba-rda-and-council-formal-meeting.md,
