date,candidate,office,election_year,filing_type,reporting_period,title,source_url,retrieved_date,format,extraction_method,path,amended,matched_election_candidate,join_confidence
2025-08-05,Jerritt T. Bodrero,Mayor,2025,interim,Before Primary (Aug 5),Jerritt T. Bodrero — 2025 Logan municipal campaign financial statement (Before Primary (Aug 5)),https://www.loganutah.gov/departments/admin/council/Jerritt%20T.%20Bodrero%20August%205%2C%202025.pdf?t=20250804181829798,2026-07-05,scanned,ocr_tesseract,raw/2025/20250805_Jerritt_T._Bodrero_August_5__2025.pdf,no,JERRITT T. BODRERO,exact
2025-08-05,Katie Lee-Koven,Council,2025,interim,Before Primary (Aug 5),Katie Lee-Koven — 2025 Logan municipal campaign financial statement (Before Primary (Aug 5)),https://www.loganutah.gov/departments/admin/council/Katie%20Lee%20Koven%20August%205%2C%202025.pdf?t=20250805211625847,2026-07-05,scanned,ocr_tesseract,raw/2025/20250805_Katie_Lee_Koven_August_5__2025.pdf,no,KATIE LEE-KOVEN,exact
2025-08-05,Kristi Fatuesi,Council,2025,interim,Before Primary (Aug 5),Kristi Fatuesi — 2025 Logan municipal campaign financial statement (Before Primary (Aug 5)),https://www.loganutah.gov/departments/admin/council/Kristi%20Fatuesi%20August%205%2C%202025.pdf?t=20250804182305624,2026-07-05,scanned,ocr_tesseract,raw/2025/20250805_Kristi_Fatuesi_August_5__2025.pdf,no,KRISTI FATUESI,exact
2025-08-05,Lewis Roesberry,Mayor,2025,interim,Before Primary (Aug 5),Lewis Roesberry — 2025 Logan municipal campaign financial statement (Before Primary (Aug 5)),https://www.loganutah.gov/departments/admin/council/Lewis%20Roesberry%20August%205%2C%202025.pdf?t=20250805153619801,2026-07-05,scanned,ocr_tesseract,raw/2025/20250805_Lewis_Roesberry_August_5__2025.pdf,no,LEWIS ROESBERRY,exact
2025-08-05,Mark A. Anderson,Mayor,2025,interim,Before Primary (Aug 5),Mark A. Anderson — 2025 Logan municipal campaign financial statement (Before Primary (Aug 5)),https://www.loganutah.gov/departments/admin/council/Mark%20A.%20Anderson%20August%205%2C%202025.pdf?t=20250804182418663,2026-07-05,scanned,ocr_tesseract,raw/2025/20250805_Mark_A._Anderson_August_5__2025.pdf,no,MARK A. ANDERSON,exact
2025-08-05,Matthew Paul Fatuesi,Mayor,2025,interim,Before Primary (Aug 5),Matthew Paul Fatuesi — 2025 Logan municipal campaign financial statement (Before Primary (Aug 5)),https://www.loganutah.gov/departments/admin/council/Matthew%20Paul%20Fatuesi%20August%205%2C%202025.pdf?t=20250804182442898,2026-07-05,scanned,ocr_tesseract,raw/2025/20250805_Matthew_Paul_Fatuesi_August_5__2025.pdf,no,MATTHEW PAUL FATUESI,exact
2025-08-05,Melissa Dahle,Council,2025,interim,Before Primary (Aug 5),Melissa Dahle — 2025 Logan municipal campaign financial statement (Before Primary (Aug 5)),https://www.loganutah.gov/departments/admin/council/Melissa%20Dahle%20August%205%2C%202025.pdf?t=20250804190546359,2026-07-05,scanned,ocr_tesseract,raw/2025/20250805_Melissa_Dahle_August_5__2025.pdf,no,MELISSA DAHLE,exact
2025-08-05,Reilly Samuel Fatuesi,Council,2025,interim,Before Primary (Aug 5),Reilly Samuel Fatuesi — 2025 Logan municipal campaign financial statement (Before Primary (Aug 5)),https://www.loganutah.gov/departments/admin/council/Reilly%20Samuel%20Fatuesi%20August%205%2C%202025.pdf?t=20250804182637944,2026-07-05,scanned,ocr_tesseract,raw/2025/20250805_Reilly_Samuel_Fatuesi_August_5__2025.pdf,no,REILLY SAMUEL FATUESI,exact
2025-09-11,Gail B. Yost,Council,2025,summary,Post-Primary / Eliminated (Sep 11),Gail B. Yost — 2025 Logan municipal campaign financial statement (Post-Primary / Eliminated (Sep 11)),https://www.loganutah.gov/departments/admin/council/Gail%20B.%20Yost%20September%2011%2C%202025.pdf?t=20250911140340338,2026-07-05,scanned,ocr_tesseract,raw/2025/20250911_Gail_B._Yost_September_11__2025.pdf,no,GAIL B. YOST,exact
2025-09-11,Jerritt T. Bodrero,Mayor,2025,summary,Post-Primary / Eliminated (Sep 11),Jerritt T. Bodrero — 2025 Logan municipal campaign financial statement (Post-Primary / Eliminated (Sep 11)),https://www.loganutah.gov/departments/admin/council/Jerritt%20Bodrero%20September%2011%2C%202025.pdf?t=20250912105236472,2026-07-05,scanned,ocr_tesseract,raw/2025/20250911_Jerritt_Bodrero_September_11__2025.pdf,no,JERRITT T. BODRERO,exact
2025-09-11,Joshua Michael Molitor,Council,2025,summary,Post-Primary / Eliminated (Sep 11),Joshua Michael Molitor — 2025 Logan municipal campaign financial statement (Post-Primary / Eliminated (Sep 11)),https://www.loganutah.gov/departments/admin/council/Joshua%20Michael%20Molitor%20September%2011%2C%202025.pdf?t=20250908121539531,2026-07-05,scanned,ocr_tesseract,raw/2025/20250911_Joshua_Michael_Molitor_September_11__2025.pdf,no,JOSHUA MICHAEL MOLITOR,exact
2025-09-11,Kristi Fatuesi,Council,2025,summary,Post-Primary / Eliminated (Sep 11),Kristi Fatuesi — 2025 Logan municipal campaign financial statement (Post-Primary / Eliminated (Sep 11)),https://www.loganutah.gov/departments/admin/council/Kristi%20Fatuesi%20September%2011%2C%202025.pdf?t=20250909173055003,2026-07-05,scanned,ocr_tesseract,raw/2025/20250911_Kristi_Fatuesi_September_11__2025.pdf,no,KRISTI FATUESI,exact
2025-09-11,Lewis Roesberry,Mayor,2025,summary,Post-Primary / Eliminated (Sep 11),Lewis Roesberry — 2025 Logan municipal campaign financial statement (Post-Primary / Eliminated (Sep 11)),https://www.loganutah.gov/departments/admin/Lewis%20Roesberry%20September%2011%2C%202025.pdf?t=20250909142926246,2026-07-05,scanned,ocr_tesseract,raw/2025/20250911_Lewis_Roesberry_September_11__2025.pdf,no,LEWIS ROESBERRY,exact
2025-09-11,Matthew Paul Fatuesi,Mayor,2025,summary,Post-Primary / Eliminated (Sep 11),Matthew Paul Fatuesi — 2025 Logan municipal campaign financial statement (Post-Primary / Eliminated (Sep 11)),https://www.loganutah.gov/departments/admin/council/Matthew%20Paul%20Fatuesi%20September%2011%2C%202025.pdf?t=20250908160713733,2026-07-05,scanned,ocr_tesseract,raw/2025/20250911_Matthew_Paul_Fatuesi_September_11__2025.pdf,no,MATTHEW PAUL FATUESI,exact
2025-09-11,Reilly Samuel Fatuesi,Council,2025,summary,Post-Primary / Eliminated (Sep 11),Reilly Samuel Fatuesi — 2025 Logan municipal campaign financial statement (Post-Primary / Eliminated (Sep 11)),https://www.loganutah.gov/departments/admin/council/Reilly%20Samuel%20Fatuesi%20September%2011%2C%202025.pdf?t=20250910102411276,2026-07-05,scanned,ocr_tesseract,raw/2025/20250911_Reilly_Samuel_Fatuesi_September_11__2025.pdf,no,REILLY SAMUEL FATUESI,exact
2025-10-07,Alanna Nafziger,Mayor,2025,interim,Before General (Oct 7),Alanna Nafziger — 2025 Logan municipal campaign financial statement (Before General (Oct 7)),https://www.loganutah.gov/departments/admin/council/Alanna%20Nafziger%20October%207%2C%202025.pdf?t=20251006163218721,2026-07-05,scanned,ocr_tesseract,raw/2025/20251007_Alanna_Nafziger_October_7__2025.pdf,no,ALANNA NAFZIGER,exact
2025-10-07,Brian Seamons,Council,2025,interim,Before General (Oct 7),Brian Seamons — 2025 Logan municipal campaign financial statement (Before General (Oct 7)),https://www.loganutah.gov/departments/admin/council/Brian%20Seamons%20October%207%2C%202025.pdf?t=20250930145825108,2026-07-05,scanned,ocr_tesseract,raw/2025/20251007_Brian_Seamons_October_7__2025.pdf,no,BRIAN SEAMONS,exact
2025-10-07,Ernesto Lopez,Council,2025,interim,Before General (Oct 7),Ernesto Lopez — 2025 Logan municipal campaign financial statement (Before General (Oct 7)),https://www.loganutah.gov/departments/admin/council/Ernesto%20Lopez%20October%207%2C%202025.pdf?t=20251006104147125,2026-07-05,scanned,ocr_tesseract,raw/2025/20251007_Ernesto_Lopez_October_7__2025.pdf,no,ERNESTO LOPEZ,exact
2025-10-07,Katie Lee-Koven,Council,2025,interim,Before General (Oct 7),Katie Lee-Koven — 2025 Logan municipal campaign financial statement (Before General (Oct 7)),https://www.loganutah.gov/departments/admin/council/Katie%20Lee-Koven%20October%207%2C%202025.pdf?t=20251006180923962,2026-07-05,scanned,ocr_tesseract,raw/2025/20251007_Katie_Lee-Koven_October_7__2025.pdf,no,KATIE LEE-KOVEN,exact
2025-10-07,Mark A. Anderson,Mayor,2025,interim,Before General (Oct 7),Mark A. Anderson — 2025 Logan municipal campaign financial statement (Before General (Oct 7)),https://www.loganutah.gov/departments/admin/council/Mark%20A.%20Anderson%20October%207%2C%202025.pdf?t=20251007135307865,2026-07-05,scanned,ocr_tesseract,raw/2025/20251007_Mark_A._Anderson_October_7__2025.pdf,no,MARK A. ANDERSON,exact
2025-10-07,Melissa Dahle,Council,2025,interim,Before General (Oct 7),Melissa Dahle — 2025 Logan municipal campaign financial statement (Before General (Oct 7)),https://www.loganutah.gov/departments/admin/council/Melissa%20Dahle%20October%207%2C%202025.pdf?t=20251007141427001,2026-07-05,scanned,ocr_tesseract,raw/2025/20251007_Melissa_Dahle_October_7__2025.pdf,no,MELISSA DAHLE,exact
2025-10-28,Alanna Nafziger,Mayor,2025,interim,Before General 2 (Oct 28),Alanna Nafziger — 2025 Logan municipal campaign financial statement (Before General 2 (Oct 28)),https://www.loganutah.gov/departments/admin/council/Alanna%20Nafziger%20October%2028%2C%202025.pdf?t=2025102917420546,2026-07-05,scanned,ocr_tesseract,raw/2025/20251028_Alanna_Nafziger_October_28__2025.pdf,no,ALANNA NAFZIGER,exact
2025-10-28,Brian Seamons,Council,2025,interim,Before General 2 (Oct 28),Brian Seamons — 2025 Logan municipal campaign financial statement (Before General 2 (Oct 28)),https://www.loganutah.gov/departments/admin/council/Brian%20Seamons%20October%2028%2C%202025.pdf?t=20251028181105707,2026-07-05,scanned,ocr_tesseract,raw/2025/20251028_Brian_Seamons_October_28__2025.pdf,no,BRIAN SEAMONS,exact
2025-10-28,Ernesto Lopez,Council,2025,interim,Before General 2 (Oct 28),Ernesto Lopez — 2025 Logan municipal campaign financial statement (Before General 2 (Oct 28)),https://www.loganutah.gov/departments/admin/council/Ernesto%20Lopez%20October%2028%2C%202025.pdf?t=20251028114955718,2026-07-05,scanned,ocr_tesseract,raw/2025/20251028_Ernesto_Lopez_October_28__2025.pdf,no,ERNESTO LOPEZ,exact
2025-10-28,Katie Lee-Koven,Council,2025,interim,Before General 2 (Oct 28),Katie Lee-Koven — 2025 Logan municipal campaign financial statement (Before General 2 (Oct 28)),https://www.loganutah.gov/departments/admin/council/Katie%20Lee-Koven%20October%2028%2C%202025.pdf?t=20251028100024149,2026-07-05,scanned,ocr_tesseract,raw/2025/20251028_Katie_Lee-Koven_October_28__2025.pdf,no,KATIE LEE-KOVEN,exact
2025-10-28,Mark A. Anderson,Mayor,2025,interim,Before General 2 (Oct 28),Mark A. Anderson — 2025 Logan municipal campaign financial statement (Before General 2 (Oct 28)),https://www.loganutah.gov/departments/admin/council/Mark%20A.%20Anderson%20October%2028%2C%202025.pdf?t=20251024100930995,2026-07-05,scanned,ocr_tesseract,raw/2025/20251028_Mark_A._Anderson_October_28__2025.pdf,no,MARK A. ANDERSON,exact
2025-10-28,Melissa Dahle,Council,2025,interim,Before General 2 (Oct 28),Melissa Dahle — 2025 Logan municipal campaign financial statement (Before General 2 (Oct 28)),https://www.loganutah.gov/departments/admin/council/Melissa%20Dahle%20October%2028%2C%202025.pdf?t=20251028172418364,2026-07-05,scanned,ocr_tesseract,raw/2025/20251028_Melissa_Dahle_October_28__2025.pdf,no,MELISSA DAHLE,exact
2025-12-04,Alanna Nafziger,Mayor,2025,summary,Year-End Summary (Dec 4),Alanna Nafziger — 2025 Logan municipal campaign financial statement (Year-End Summary (Dec 4)),https://www.loganutah.gov/departments/admin/council/Alanna%20Nafziger%20December%204%2C%202025.pdf?t=20251201102810337,2026-07-05,scanned,ocr_tesseract,raw/2025/20251204_Alanna_Nafziger_December_4__2025.pdf,no,ALANNA NAFZIGER,exact
2025-12-04,Brian Seamons,Council,2025,summary,Year-End Summary (Dec 4),Brian Seamons — 2025 Logan municipal campaign financial statement (Year-End Summary (Dec 4)),https://www.loganutah.gov/departments/admin/council/Brian%20Seamons%20December%204%2C%202025.pdf?t=20251204153430063,2026-07-05,scanned,ocr_tesseract,raw/2025/20251204_Brian_Seamons_December_4__2025.pdf,no,BRIAN SEAMONS,exact
2025-12-04,Ernesto Lopez,Council,2025,summary,Year-End Summary (Dec 4),Ernesto Lopez — 2025 Logan municipal campaign financial statement (Year-End Summary (Dec 4)),https://www.loganutah.gov/departments/admin/council/Ernesto%20Lopez%20December%204%2C%202025.pdf?t=20251125164011128,2026-07-05,scanned,ocr_tesseract,raw/2025/20251204_Ernesto_Lopez_December_4__2025.pdf,no,ERNESTO LOPEZ,exact
2025-12-04,Katie Lee-Koven,Council,2025,summary,Year-End Summary (Dec 4),Katie Lee-Koven — 2025 Logan municipal campaign financial statement (Year-End Summary (Dec 4)),https://www.loganutah.gov/departments/admin/council/Katie%20Lee-Koven%20December%204%2C%202025.pdf?t=20251125163941375,2026-07-05,scanned,ocr_tesseract,raw/2025/20251204_Katie_Lee-Koven_December_4__2025.pdf,no,KATIE LEE-KOVEN,exact
2025-12-04,Mark A. Anderson,Mayor,2025,summary,Year-End Summary (Dec 4),Mark A. Anderson — 2025 Logan municipal campaign financial statement (Year-End Summary (Dec 4)),https://www.loganutah.gov/departments/admin/council/Mark%20A.%20Anderson%20December%204%2C%202025.pdf?t=20251203161149952,2026-07-05,scanned,ocr_tesseract,raw/2025/20251204_Mark_A._Anderson_December_4__2025.pdf,no,MARK A. ANDERSON,exact
2025-12-04,Melissa Dahle,Council,2025,summary,Year-End Summary (Dec 4),Melissa Dahle — 2025 Logan municipal campaign financial statement (Year-End Summary (Dec 4)),https://www.loganutah.gov/departments/admin/council/Melissa%20Dahle%20December%204%2C%202025.pdf?t=20251203161301911,2026-07-05,scanned,ocr_tesseract,raw/2025/20251204_Melissa_Dahle_December_4__2025.pdf,no,MELISSA DAHLE,exact
