date,body,dev_type,title,matter,location,outcome,names_recorded,motion_id,minutes_path
2020-05-05,County Council,other_land_use,Change in Ordinance for Salt Lake County Planning Commission,,,Pass,1,207,
2020-05-05,Committee of the Whole,other_land_use,Change in Ordinance for Salt Lake County Planning Commission,,,Pass,1,3901,
2020-05-19,County Council,general_plan_amendment,Public Hearing to Receive Comment Regarding Approval of the Wasatch Canyons General Plan and Possible Initial Council Action,,,Pass,1,213,
2020-05-27,Planning Commission,other_land_use,"To approve application #31092 with staff recommendations and amend condition two, adding: In accordance with county noise ordinance.",,,Pass,0,4250,
2020-06-09,County Council,planned_development,"Appointment of the Olympia Hills Master Development Agreement Administrator: Ryan Perry, Director of SLCo Regional Planning and Transportation",,,Pass,1,228,
2020-06-09,Committee of the Whole,planned_development,"Appointment of the Olympia Hills Master Development Agreement Administrator: Ryan Perry, Director of SLCo Regional Planning and Transportation",,,Pass,1,3921,
2020-06-10,Planning Commission,other_land_use,To recommend a proposal to amend County Ordinance 19.05.010 to the County Council for,,,Pass,0,4254,
2020-06-16,County Council,general_plan_amendment,"Final Adoption of an Ordinance of the Legislative Body of Salt Lake County, Utah, Adopting Wasatch Canyons General Plan Update",,,Pass,1,236,
2020-06-16,County Council,other_land_use,"A Resolution of the Salt Lake County Council Approving and Adopting Proposed Ad Valorem Tax Rates on the Taxable Property in the County for Fiscal Year 2020; Adopting Adjustments to the Fiscal Year 2020 Budgets for Salt Lake County Offices, Departments, and Agencies, Including Certain Budget Reducti",,,Pass,1,265,
2020-07-14,County Council,other_land_use,"Set a Public Hearing Date for Tuesday, August 4, 2020, at 4:00 PM to Receive Comments Regarding an Amendment to the Planning Commission Ordinance to Increase the Number of Commission Members and Outline Residence Requirements for Same",,,Pass,1,266,
2020-07-14,County Council,other_land_use,A Resolution of the Salt Lake County Council Providing for Recommendations from the Town of Brighton on Salt Lake County Land Use Matters,,,Pass,1,273,
2020-07-14,Committee of the Whole,other_land_use,A Resolution of the Salt Lake County Council Providing for Recommendations from the Town of Brighton on Salt Lake County Land Use Matters,,,Pass,1,3947,
2020-07-21,County Council,annexation,A Resolution of the Salt Lake County Council Agreeing to the North Pointe Ranches Annexation by North Salt Lake,,,Pass,1,284,
2020-08-04,County Council,other_land_use,A Public Hearing to Receive Comments Regarding an Amendment to the Planning Commission Ordinance to Increase the Number of Commission Members and Outline Residence Requirements for Same,,,Pass,0,291,
2020-08-11,County Council,other_land_use,Formal Adoption of an Amendment to the Planning Commission Ordinance to Increase the Number of Commission Members and Outline Residence Requirements for Same,,,Pass,1,306,
2020-08-18,County Council,other_land_use,"Formal Adoption of an Ordinance Amending Chapter 14.17, Entitled “Excavation Permits for Monuments” of the Salt Lake County Code of Ordinances, 2001",,,Pass,1,316,
2020-09-01,Committee of the Whole,other_land_use,Discussion Regarding Development of an Ordinance of the Salt Lake County Council Creating Chapter 19.15 of the Salt Lake County Code to Authorize Accessory Dwelling Units in Certain Residential Zones and to Enact Related Regulations,,,Pass,1,3997,
2020-12-01,County Council,other_land_use,"Set a Public Hearing for Tuesday, December 15, 2020 at 4:00 PM to Receive Public Comment Regarding a Proposed Ordinance to Enact Chapter 19.15 of the Salt Lake County Code Regarding Accessory Dwelling Units, Particularly (i) Authorizing Accessory Dwelling Units in Single-family Detached Units and (i",,,Pass,1,458,
2020-12-01,County Council,other_land_use,"A Resolution of the Salt Lake County Council Adopting a Final Budget for Fiscal Year 2021 for Salt Lake County Offices, Departments, and Agencies, Including Proposed Tax Revenues, Budget Appropriations, and Personnel Allocations; Adopting Compensation Adjustments for County Officials and Employees; ",,,Pass,1,469,
2020-12-16,Planning Commission,conditional_use,"To approve Conditional Use application # CUP2020-000028, with staff recommendations met.",,,Pass,0,4274,
2021-01-13,Planning Commission,conditional_use,"To approve application #CUP2020-000114/31056 extension of Conditional Use through April 30, 2021 with staff recommendations.",,,Pass,0,4286,
2021-02-09,County Council,other_land_use,"Adoption of Legislative Intent Requesting that the Utah Legislature Approve Legislation Concerning the Following Matters, and Instructing the County Council’s Lobbying Team to Advocate for the Same:  (1) Removing the Town of Brighton from the Mountainous Planning District and Mountainous Planning Co",,,Pass,0,518,
2021-02-09,Committee of the Whole,other_land_use,"Adoption of Legislative Intent Requesting that the Utah Legislature Approve Legislation Concerning the Following Matters, and Instructing the County Council’s Lobbying Team to Advocate for the Same:  (1) Removing the Town of Brighton from the Mountainous Planning District and Mountainous Planning Co",,,Pass,1,4161,
2021-03-09,County Council,general_plan_amendment,West General Plan Steering Committee Appointment,,,Pass,0,568,
2021-03-09,Committee of the Whole,general_plan_amendment,West General Plan Steering Committee Appointment,,,Pass,0,4193,
2021-03-16,County Council,other_land_use,"Formal Adoption of an Ordinance of the Legislative Body of Salt Lake County, Utah, Amending Section 2.04.075 of the Salt Lake County Code of Ordinances, 2001, Entitled “Work Meetings” to Establish the Name of the Salt Lake County Council’s Weekly Work Meeting as the ‘Council Work Session,’ and Updat",,,Pass,0,574,
2021-03-30,County Council,land_use_ordinance,"An Ordinance of the Legislative Body of Salt Lake County, Utah, Amending Section 19.90.020 of the Salt Lake County Code of Ordinances, 2001, Entitled “Hearing - Notice” to Require the Posting of Physical Signs Informing Members of the Public about Certain Land Use Hearings and Related Matters",,,Pass,0,644,
2021-03-30,Committee of the Whole,land_use_ordinance,"An Ordinance of the Legislative Body of Salt Lake County, Utah, Amending Section 19.90.020 of the Salt Lake County Code of Ordinances, 2001, Entitled “Hearing - Notice” to Require the Posting of Physical Signs Informing Members of the Public about Certain Land Use Hearings and Related Matters",,,Pass,0,4217,
2021-04-13,County Council,subdivision_plat,Reverse Property Split Due to Amended Plat,,,Pass,0,607,
2021-04-20,Council Work Session,other_land_use,An Ordinance of the Salt Lake County Council Amending the Boundaries of the Mountainous Planning District and the Membership Requirements of the Mountainous Planning District Planning Commission; and Making Other Related Changes,,,Pass,0,2925,
2021-04-27,County Council,other_land_use,"Formal Adoption of an Ordinance of the Legislative Body of Salt Lake County, Utah, Amending Title 8 of The Salt Lake County Code of Ordinances, 2001, Relating to the Authority and Procedures of the Animal Services Division; Making Changes to Reflect Current Practices and Desired Changes to Standards",,,Pass,0,619,
2021-05-04,County Council,other_land_use,"Formal Adoption of an Ordinance of the Legislative Body of Salt Lake County, Utah, Amending Section 2.06A.020 of the Salt Lake County Code of Ordinances, 2001, Entitled “Deputy Mayors, Associate Deputy Mayors and Department Directors” to Allow Delegations of Authority by the Salt Lake County Mayor t",,,Pass,1,653,
2021-05-06,Mountainous Planning District Planning Commission,conditional_use,"To continue the ordinance amending the following sections of the Salt Lake County Code of Ordinances, 2001: 19.12.020 (permitted uses in the FR zone), 19.12.030(g) (conditional uses in the FR zone), and 19.54.020 (permitted uses in the FA zone) to the June 3rd meeting to allow staff to review the",,,Pass,0,4304,
2021-05-12,Planning Commission,conditional_use,"To continue the hearing on an ordinance amending the following sections of the Salt Lake County Code of Ordinances, 2001: 19.12.020 (permitted uses in the FR zone), 19.12.030(g) (conditional uses in the FR zone), and 19.54.020 (permitted uses in the FA zone) to have uniform regulations in the FR and",,,Pass,0,4307,
2021-05-12,Planning Commission,rezone,"To recommend approval to the County Council a request to rezone from A-2 (Agriculture) to M- 2 (Manufacturing) with three items removed from prohibited 1, 2, and 6.",,,Pass,0,4308,
2021-05-25,County Council,other_land_use,"Formal Adoption of an Ordinance of the Legislative Body of Salt Lake County, Utah, Amending Section 2.07.201 of the Salt Lake County Code of Ordinances, 2001, Entitled “County Ethics Code -  Conflict of Interest” to Require the Annual Disclosure of Clients and Potential Conflicts of Interest by Cont",,,Pass,0,688,
2021-05-25,Council Work Session,other_land_use,"An Ordinance of the Legislative Body of Salt Lake County, Utah, Amending Section 2.86.050 of the Salt Lake County Code of Ordinances, 2001, Entitled “Emergency Response and Recovery - Powers of the Mayor,” Section 3.16.110 of the Salt Lake County Code of Ordinances, 2001, Entitled “Purchasing Agent ",,,Pass,1,2964,
2021-06-03,Mountainous Planning District Planning Commission,conditional_use,"To continue the ordinance amending the following sections of the Salt Lake County Code of Ordinances, 2001: 19.12.020 (permitted uses in the FR zone), 19.12.030(g) (conditional uses in the FR zone), and 19.54.020 (permitted uses in the FA zone) to the July 1st meeting to create a staff report.",,,Pass,0,4309,
2021-06-03,Mountainous Planning District Planning Commission,land_use_ordinance,"To continue the Ordinance of the Legislative Body of Salt Lake County, Utah, amending Section 19.90.020 of the Salt Lake Cou nty Code of Ordinances, 2001, Entitled “Hearing - Notice” to require the posting of physical signs informing members of the public about certain land use hearings, and related",,,Pass,1,4524,land_use/minutes/2021/2021-06-03_mountainous_planning_commission.md
2021-06-08,County Council,rezone,"Notice of Public Hearing on June 15, 2021 at 4:00 p.m. for Rezone Request From A-2 (Agriculture) Zone to M-2 (Manufacturing) Zone (Parcel No. 26-08-477-001-0000 - Applicant Pete Hardle",,,Pass,0,699,
2021-06-08,County Council,other_land_use,"Formal Adoption of an Ordinance of the Legislative Body of Salt Lake County, Utah, Amending Section 2.86.050 of the Salt Lake County Code of Ordinances, 2001, Entitled “Emergency Response and Recovery - Powers of the Mayor,” Section 3.16.110 of the Salt Lake County Code of Ordinances, 2001, Entitled",,,Pass,0,701,
2021-06-15,County Council,rezone,Public Hearing for Rezone Request from A-2 (Agricultural) Zone to M-2 (Manufacturing) Zone,,,Pass,0,717,
2021-06-15,County Council,other_land_use,A Resolution of the Salt Lake County Council Approving a Fee Waiver request under County Ordinance 3.42.073,,,Pass,0,723,
2021-06-15,Council Work Session,other_land_use,A Resolution of the Salt Lake County Council Approving a Fee Waiver request under County Ordinance 3.42.073,,,Pass,0,2989,
2021-06-16,Planning Commission,conditional_use,"To continue ordinance amending the following sections of the Salt Lake County Code of Ordinances, 2001: 19.12.020 (permitted uses in the FR zone), 19.12.030(g) (conditional uses in the FR zone), and 19.54.020 (permitted uses in the FA zone) to have uniform regulations in the FR and FA zones with reg",,,Pass,0,4313,
2021-06-16,Planning Commission,land_use_ordinance,"To recommend approval of an Ordinance of the Legislative Body of Salt Lake County, Utah, amending Section 19.90.020 of the Salt Lake County Code of Ordinances, 2001, Entitled “Hearing - Notice” to require the posting of physical signs informing members of the public about certain land use hearings, ",,,Pass,0,4314,
2021-06-22,County Council,other_land_use,"Formal Adoption of an Ordinance of the Legislative Body of Salt Lake County, Utah, Amending Chapter 2.26 of the Salt Lake County Code of Ordinances, Entitled “Hazardous Chemical Local Planning Committee",,,Pass,0,731,
2021-06-22,County Council,other_land_use,"A Resolution of the Salt Lake County Council Adopting Adjustments to the Fiscal Year 2021 Budgets for Salt Lake County Offices, Departments, and Agencies; Adopting Compensation Adjustments for County Officials and Employees; Certifying Compliance with Certain Requirements of Utah Statute and Salt La",,,Pass,0,748,
2021-06-29,County Council,land_use_ordinance,"Formal Adoption of an Ordinance, Amending Title 19, Entitled “Zoning” of the Salt Lake County Code of Ordinances, 2001, by Reclassifying Certain Property Located in Salt Lake County From the A-2 Zone (Agriculture) to the M-2 Zone (Manufacturing)",,,Pass,0,741,
2021-07-13,County Council,other_land_use,"Set a Public Hearing for Tuesday, July 20, 2021 at 4:00 PM to Receive Comment Regarding an Ordinance of the Salt Lake County Council Modifying Chapters 17.04, 17.08, and 17.20 of the Salt Lake County Code Regarding the Establishment of Procedures and Standards for Conducting Hydrological Studies of ",,,Pass,0,749,
2021-07-13,County Council,other_land_use,"Formal Adoption of an Ordinance of the Legislative Body of Salt Lake County, Utah, Amending Section 1.06.020 of the Salt Lake County Code of Ordinances, 2001, Entitled “Holidays” Establishing the Nineteenth Day of June, Juneteenth Independence Day, as a Legal Holiday of Salt Lake County",,,Pass,0,750,
2021-07-14,Planning Commission,conditional_use,"To continue the ordinance amending the following sections of the Salt Lake County Code of Ordinances, 2001: 19.12.020 (permitted uses in the FR zone), 19.12.030(g) (conditional uses in the FR zone), and 19.54.020 (permitted uses in the FA zone) to the August 11th Planning Commission Meeting allowing",,,Pass,0,4317,
2021-07-20,County Council,other_land_use,"Public Hearing to Receive Comment Regarding an Ordinance of the Salt Lake County Council Modifying Chapters 17.04, 17.08, and 17.20 of the Salt Lake County Code Regarding the Establishment of Procedures and Standards for Conducting Hydrological Studies of Drainage Basins and Drainage Areas in Salt L",,,Pass,0,771,
2021-08-03,County Council,other_land_use,"Formal Adoption of an Ordinance of the Salt Lake County Council Modifying Chapters 17.04, 17.08, 17.20 of the Salt Lake County Code Regarding the Establishment of  Procedures and Standards for Conducting Hydrological Studies of Drainage Basins and Drainage Areas in Salt Lake County for the Purpose o",,,Pass,0,792,
2021-08-05,Mountainous Planning District Planning Commission,other_land_use,"To recommend the Ordinance of the Legislative Body of Salt Lake County, Utah, amending Section 19.90.020 of the Salt Lake County Code of Ordinances, 2001, Entitled “Hearing - Notice” to require",,,Pass,0,4319,
2021-09-02,Mountainous Planning District Planning Commission,conditional_use,"To modify FR and FA zones as follows: Keep current FA ordinance as is (including 4 maximum horses and no trail riding business), with the following additions: 1. 100’ setback if stream present (including noncomplying structure exception—See proposed revision #2, infra.) 2. Manure Management Plan (Se",,,Pass,0,4325,
2021-09-15,Planning Commission,general_plan_amendment,To recommend approval to the County Council the General Plan Scope of Work within the Unincorporated Area of Sandy Hills as presented.,,,Pass,0,4328,
2021-09-15,Planning Commission,conditional_use,"To recommend denial to the County Council an ordinance amending the following sections of the Salt Lake County Code of Ordinances, 2001: 19.12.020 (permitted uses in the FR zone), 19.12.030(g) (conditional uses in the FR zone), and 19.54.020 (permitted uses in the FA zone) to have uniform regulation",,,Pass,0,4329,
2021-09-15,Planning Commission,general_plan_amendment,To continue the West General Plan discussion/update to the October 13 th Planning Commission Meeting.,,,Pass,0,4331,
2021-09-21,County Council,other_land_use,"Set a Public Hearing for Tuesday, September 28, 2021 at 4:00 PM to Receive Comment regarding An Ordinance of the Salt Lake County Council Amending Boundaries of the Mountainous Planning District (to Exclude the Town of Brighton) and Amending the Membership Requirements of the Mountainous Planning Di",,,Pass,1,865,
2021-09-28,County Council,other_land_use,Public Hearing to Receive Comment regarding An Ordinance of the Salt Lake County Council Amending Boundaries of the Mountainous Planning District (to Exclude the Town of Brighton) and Amending the Membership Requirements of the Mountainous Planning District Planning Commission; and Making other Rela,,,Pass,0,872,
2021-10-05,County Council,other_land_use,Formal Adoption of an Ordinance of the Salt Lake County Council Amending the Boundaries of the Mountainous Planning District (to Exclude the town of Brighton) and Amending the Membership Requirements of the Mountainous Planning District Planning Commission; and Making other Related Changes,,,Pass,0,882,
2021-10-07,Mountainous Planning District Planning Commission,other_land_use,To recommend approval to the County Council on file # OAM2021-000275 for a proposed ordinance of the Salt Lake County Council creating Chapter 19.15 of the Salt Lake County Code of Ordinances allowing for and regulating Accessory Dwelling Units (ADUs) and Interior Accessory Dwelling Units (IADUs) in,,,Pass,0,4332,
2021-10-07,Mountainous Planning District Planning Commission,conditional_use,"To recommend approval to the County Council of an ordinance amending the following sections of the Salt Lake County Code of Ordinances, 2001: 19.12.020 (permitted uses in the FR zone), 19.12.030(g) (conditional uses in the FR zone), and 19.54.020 (permitted uses in the FA zone) to have distinct regu",,,Pass,1,4526,land_use/minutes/2021/2021-10-07_mountainous_planning_commission.md
2021-10-12,County Council,general_plan_amendment,Adoption of a Proposed Scope of Work for the 2021/2022 Sandy Hills General Plan,,,Pass,0,904,
2021-10-12,Council Work Session,general_plan_amendment,Adoption of a Proposed Scope of Work for the 2021/2022 Sandy Hills General Plan,,,Pass,0,3110,
2021-10-13,Planning Commission,other_land_use,To recommend approval to the County Council File #OAM2021-000275 a proposed ordinance of the Salt Lake County Council creating Chapter 19.15 of the Salt Lake County Code of Ordinances allowing for and regulating Accessory Dwelling Units (ADUs) and Interior Accessory Dwelling Units (IADUs) in single-,,,Pass,0,4333,
2021-10-19,County Council,other_land_use,"Set a Public Hearing for Tuesday, October 26 at 4:00 PM to Receive Comment Regarding an Ordinance of the Salt Lake County Council Creating Chapter 19.15 of the Salt Lake County Code to Authorize Accessory Dwelling Units in Certain Residential Zones and to Enact Related Regulations",,,Pass,0,911,
2021-10-19,County Council,planned_development,Formal Adoption of an Ordinance Approving Amendment No. 2 of the Olympia Hills Master Development Agreement Providing for Termination of the Agreement Upon Annexation of the Olympia Hills Property into the City of Herriman and Waiver of Requirement that this Ordinance Be Introduced at a Prior Meetin,,,Pass,0,914,
2021-10-26,County Council,other_land_use,Public Hearing to Receive Comment Regarding an Ordinance of the Salt Lake County Council Creating Chapter 19.15 of the Salt Lake County Code to Authorize Accessory Dwelling Units in Certain Residential Zones and to Enact Related Regulations,,,Pass,0,927,
2021-10-26,County Council,other_land_use,Legislative Intent Regarding Ordinance Revision,,,Pass,0,930,
2021-10-26,Council Work Session,other_land_use,Legislative Intent Regarding Ordinance Revision,,,Pass,0,3128,
2021-11-02,County Council,other_land_use,"Set a Public Hearing For Tuesday, November 9, 2021 at 4:00 PM to Receive Comment Regarding an Ordinance of Salt Lake County Modifying Section 19.74.040 of the Salt Lake County Code to Allow for Automatic Adoption and Incorporation by Reference of Updated FEMA Maps and Studies",,,Pass,0,945,
2021-11-02,County Council,other_land_use,Formal Adoption of an Ordinance of the Salt Lake County Council Creating Chapter 19.15 of the Salt Lake County Code to Authorize Accessory Dwelling Units in Accordance with Limits in State Law and to Enact Related Regulations,,,Pass,0,947,
2021-11-02,County Council,other_land_use,"Formal Adoption of an Ordinance of the Legislative Body of Salt Lake County, Utah, Enacting Section 9.12.050 of the Salt Lake County Code of Ordinances, 2001, Entitled “COVID-19 Vaccine Exemptions,” Providing Exemptions from any Salt Lake County Vaccine Mandate if the Vaccine would Compromise an Ind",,,Pass,1,948,
2021-11-04,Mountainous Planning District Planning Commission,zoning_ord_text,"To recommend file #OAM2021-000444, a proposed ordinance amending Section 19.74.040 of the Salt Lake County Code updating the effective dates of the Floodplain Insurance Rate Maps (FIRMs) in the Salt Lake County flood damage prevention ordinance to the County Council for approval as presented.",,,Pass,0,4336,
2021-11-09,County Council,other_land_use,A Public Hearing to Receive Comment Regarding an Ordinance of Salt Lake County Modifying Section 19.74.040 of the Salt Lake County Code to Allow for Automatic Adoption and Incorporation by Reference of Updated FEMA Maps and Studies,,,Pass,0,956,
2021-11-09,County Council,other_land_use,Formal Adoption of an Ordinance of the Salt Lake County Council Modifying Section 19.74.040 of the Salt Lake County Code to Allow for Automatic Adoption and Incorporation by Reference of Updated Maps and Studies,,,Pass,0,960,
2021-11-10,Planning Commission,subdivision_plat,To approve application #SUB2021-000400 for Woodside Homes of Utah requesting approval of the proposed 117 Lot Sky Ranch Single Family Preliminary Plat and the 406 Unit Sky Ranch Townhome Preliminary Plat.,,,Pass,1,4527,land_use/minutes/2021/2021-11-10_planning_commission.md
2021-12-07,County Council,other_land_use,"A Resolution of the Salt Lake County Council Adopting a Final Budget for Fiscal Year 2022 for Salt Lake County Offices, Departments, and Agencies, Including Proposed Tax Revenues, Budget Appropriations, and Personnel Allocations; Adopting Compensation Adjustments for County Officials and Employees; ",,,Pass,0,1001,
2021-12-07,Council Work Session,conditional_use,"Presentation on an Ordinance of the Salt Lake County Council Amending Section 19.04.462 of the Salt Lake County Code to Include Wedding and Reception Uses in the Definition of Restaurant, Liquor License; and Amending Section 19.12.030 to Add Outdoor Weddings as a Conditional Use in Forestry and Recr",,,Pass,0,3169,
2021-12-10,County Council,conditional_use,"Formal initiation of proceedings to amend ordinance, pursuant to Utah Code Section 17-27a-508(1)(a)(ii)(B), by submitting proposed amendment to planning commission for recommendation pursuant to Salt Lake County Code Section 19.90.010.  Proposed ordinance is to amend section 19.12.030 of the Salt La",,,Pass,0,1002,
2022-02-01,County Council,other_land_use,"Formal Adoption of an Ordinance of the Legislative Body of Salt Lake County Enacting Chapter 2.90, Entitled “County Financial Administration,” of the Salt Lake County Code of Ordinances, 2001; Regarding the Financial Operations, Standards and Procedures of the County; Providing for the Detailed Proc",,,Pass,0,1055,
2022-02-01,County Council,other_land_use,"Formal Adoption of an Ordinance of the Legislative Body of Salt Lake County, Utah, Amending Section 2.95 of the Salt Lake County Code of Ordinances, 2001, Entitled “County Budget Process” Clarifying the Term Proposed Budget, Deleting References to the Auditor and Referencing the Mayor as the County ",,,Pass,0,1056,
2022-02-01,County Council,other_land_use,"Formal Adoption of an Ordinance of the Legislative Body of Salt Lake County, Utah, Amending Section 2.06B of the Salt Lake County Code of Ordinances, 2001, Entitled “Deputy Mayors, Offices and Departments” Adding Disclosure Officer to the Duties Of Deputy Mayor of Finance and Administration",,,Pass,0,1057,
2022-02-03,Mountainous Planning District Planning Commission,general_plan_amendment,"To recommend file # OAM2021-000494 the proposed amendments to section 19.12.030. 19.72.190 and 19.76.030 as proposed in the staff report, and making the following findings to be issued by the Commission Chair: • Mineral extraction is incompatible with the intent of the forestry and recreation zone, ",,,Pass,0,4346,
2022-02-16,Planning Commission,conditional_use,"To recommend approval of file # OAM2021-000494 an Amendment to Salt Lake County Code sections 19.12.030, 19.72.190, and 19.76.030 . A proposed amendment of the Salt Lake County Code amending section 19.12.030 of the Salt Lake County Code to eliminate mineral extraction and processing as a conditiona",,,Pass,0,4352,
2022-02-16,Planning Commission,general_plan_amendment,"To recommend approval of the proposed West General Plan (Plan), as outlined and prepared by Staff.",,,Pass,0,4353,
2022-03-08,County Council,land_use_ordinance,"Formal Adoption of an Ordinance of the Legislative Body of Salt Lake County, Utah, Amending Section 19.90.020 of the Salt Lake County Code of Ordinances, 2001, Entitled “Hearing - Notice” to Require the Posting of Physical Signs Informing Members of the Public About Certain Land Use Hearings and Rel",,,Pass,0,1145,
2022-03-22,County Council,other_land_use,"Formal Adoption of An Ordinance of the Legislative Body of Salt Lake County, Utah, Repealing Chapter 2.61 of the Salt Lake County Code of Ordinances, 2001, Entitled “Equestrian Park Advisory Board”",,,Pass,0,1161,
2022-03-22,County Council,annexation,A Resolution of the Salt Lake County Council Agreeing to the Creation of a Peninsula Resulting from the Proposed Hunter Stables Annexation by Salt Lake City,,,Pass,0,1163,
2022-03-22,County Council,other_land_use,"A Resolution of the Salt Lake County Council Approving a Fee Waiver Request Under County Ordinance 3.42.073 for Disposal of up to 1,000 Tons to Cover all Combined Homeless Encampment Cleanups in Salt Lake County",,,Pass,0,1164,
2022-03-22,Council Work Session,annexation,A Resolution of the Salt Lake County Council Agreeing to the Creation of a Peninsula Resulting from the Proposed Hunter Stables Annexation by Salt Lake City,,,Pass,0,3290,
2022-03-22,Council Work Session,other_land_use,"A Resolution of the Salt Lake County Council Approving a Fee Waiver Request Under County Ordinance 3.42.073 for Disposal of up to 1,000 Tons to Cover all Combined Homeless Encampment Cleanups in Salt Lake County",,,Pass,0,3292,
2022-03-29,County Council,other_land_use,"Set a Public Hearing for Tuesday, April 5, 2022 at 4:00 PM to Receive Comment Regarding an Ordinance Amendment Related to Mineral Extraction and Processing in the Forestry and Recreation Zone",,,Pass,0,1173,
2022-04-05,County Council,other_land_use,Public Hearing for the Ordinance Amendment of Section 19.12.030 of the Salt Lake County Code Related to Mineral Extraction and Processing in the Forestry and Recreation Zone,,,Pass,0,1190,
2022-04-05,County Council,other_land_use,"Formal Adoption of An Ordinance Amending Chapter 3.65, Entitled Tax Sale Procedures, And Chapter 3.66, Entitled Tax Sale Of Contaminated Properties, Of The Salt Lake County Code Of Ordinances, 2001, By Amending Sections 3.65.010, 3.65.020, 3.65.030, 3.65.060, 3.650.090, 3.65.100, 3.65.140, 3.66.010,",,,Pass,0,1192,
2022-04-12,County Council,conditional_use,Formal Adoption of An Ordinance Of The Salt Lake County Council Amending Section 19.12.030 Of The Salt Lake County Code To Eliminate Mineral Extraction And Processing As A Conditional Use And Explicitly Prohibiting The Same In The Forestry And Recreation Zones; Amending Section 19.72.190 To Eliminat,,,Fail,1,1212,
2022-04-13,Planning Commission,subdivision_plat,To approve application # SUB2022-000564 Resonance Homes LLC requesting approval of the proposed Robidoux Court Preliminary Plat. The plat contains 3 Lots with recommended conditions of approval.,,,Pass,0,4357,
2022-04-13,Planning Commission,rezone,To recommend application # REZ2022-000535 on Northrup Grumman requesting approval to rezone from Agricultural (A-20) to Manufacturing (M-2) to the County Council for approval.,,,Pass,0,4358,
2022-04-13,Planning Commission,other_land_use,"To recommend file #OAM2021-000493 an Ordinance of the Salt Lake County Council Amending Section 19.04.462 of the Salt Lake County Code to include Wedding and Reception Uses in the definition of Restaurant, Liquor License; and to Enact Related Regulations to the County Council for approval.",,,Pass,0,4359,
