candidate,office,election_year,filing_date,reporting_period,filing_type,stated_total_contributions,stated_total_expenditures,stated_beginning_balance,stated_ending_balance,itemized_contrib_sum,itemized_expend_sum,reconciles_contrib,reconciles_expend,recon_delta_contrib,recon_delta_expend,self_funded_amount,n_contrib_rows,n_expend_rows,source_filing,document_id,extraction_confidence,notes
Kent Jones,County Clerk,2014,2014-11-24,Post-Election,statement,6351.27,6351.27,,0.00,,,,,,,,0,0,raw/2014/1247_jones_final.pdf,1247,high,form_variant=split50; column order current_report | last_report | cumulative_totals | promotion: contributions[sum of the printed split lines [>$50=cumulative; <=$50=cumulative]]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Typed cover; Last Report column left blank. Figures identical to this filer's Pre-Election report (doc 1088).
Kent Jones,County Clerk,2014,2014-10-27,Pre-Election,statement,6351.27,6351.27,,0.00,,,,,,,,0,0,raw/2014/1088_jones.pdf,1088,high,form_variant=split50; column order current_report | last_report | cumulative_totals | promotion: contributions[sum of the printed split lines [>$50=cumulative; <=$50=cumulative]]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Typed cover; Last Report column left blank.
Nick Coleman,County Clerk,2014,2014-12-02,Post-Election,statement,5145.65,5145.65,,0.00,,5145.65,,True,,0.00,0.00,0,21,raw/2014/1256_coleman_final.pdf,1256,high,"form_variant=split50; column order current_report | last_report | cumulative_totals | promotion: contributions[sum of the printed split lines [>$50=cumulative; <=$50=cumulative]]; expenditures[cumulative]; ending_balance[cumulative] | ITEMIZED LAYER: 0 contribution / 21 expenditure row(s) parsed by the registered `summit_form` family from the born-digital text layer, each side reconciled EXACTLY to the published stated total; per-row `geometry` records the amount cell read | family: cover columns: current|middle|cumulative (Summit order is Current FIRST — never the millcreek LAST|THIS|CUM); contributions = split50 line1+line2, summing only the printed lines (promoted cumulative / promoted cumulative); expenditures: promoted cumulative; balance: promoted cumulative; contributions: 19 row(s) NOT emitted — Sum rows 4510.18 matches no printed figure (cover 5145.65) -- itemization incomplete, a short ledger is not published as complete | Typed cover, all three columns printed. Column-order cross-check: Last Report reproduces the filer's Pre-Election (doc 1085) Current figures exactly."
Nick Coleman,County Clerk,2014,2014-10-27,Pre-Election,statement,4045.65,3902.12,,143.53,,,,,,,,0,0,raw/2014/1085_coleman.pdf,1085,high,form_variant=split50; column order current_report | last_report | cumulative_totals | promotion: contributions[sum of the printed split lines [>$50=cumulative; <=$50=cumulative]]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Typed cover; all three columns printed.
Christopher F. Robinson,County Council,2014,2014-11-24,Post-Election,statement,2612.88,2413.01,,199.87,,,,,,,,0,0,raw/2014/1249_robinson_final.pdf,1249,high,form_variant=split50; column order current_report | last_report | cumulative_totals | promotion: contributions[sum of the printed split lines [>$50=current (cumulative cell empty); <=$50=current (cumulative cell empty)]]; expenditures[current (cumulative cell empty)]; ending_balance[current (cumulative cell empty)] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Typed cover; Last Report and Cumulative columns left blank. Same figures as the filer's Pre-Election report (doc 1080). Signature date partly obscured by a dark scan artifact; read as Nov 24 2014 (RECEIVED NOV 24 2014 stamp agrees).
Christopher F. Robinson,County Council,2014,2014-10-27,Pre-Election,statement,2612.88,2413.01,,199.87,,,,,,,,0,0,raw/2014/1080_robinson.pdf,1080,high,form_variant=split50; column order current_report | last_report | cumulative_totals | promotion: contributions[sum of the printed split lines [>$50=current (cumulative cell empty); <=$50=current (cumulative cell empty)]]; expenditures[current (cumulative cell empty)]; ending_balance[current (cumulative cell empty)] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Typed cover; Last Report and Cumulative Totals columns left blank.
Craig Williams,County Council,2014,2014-11-05,Post-Election,statement,7497.61,7497.61,,0.00,,7497.61,,True,,0.00,0.00,0,26,raw/2014/1251_williams_final.pdf,1251,high,"form_variant=split50; column order current_report | last_report | cumulative_totals | promotion: contributions[sum of the printed split lines [>$50=cumulative; <=$50=cumulative]]; expenditures[cumulative]; ending_balance[cumulative] | ITEMIZED LAYER: 0 contribution / 26 expenditure row(s) parsed by the registered `summit_form` family from the born-digital text layer, each side reconciled EXACTLY to the published stated total; per-row `geometry` records the amount cell read | family: cover columns: current|middle|cumulative (Summit order is Current FIRST — never the millcreek LAST|THIS|CUM); contributions = split50 line1+line2, summing only the printed lines (promoted cumulative / promoted cumulative); expenditures: promoted cumulative; balance: promoted cumulative; contributions: 18 row(s) NOT emitted — Sum rows 13602.34 matches no printed figure (cover 7497.61) -- itemization incomplete, a short ledger is not published as complete | Typed cover, all three columns printed; the Last Report campaign-balance cell is highlighted yellow on the published PDF (kept as a note, the value is unchanged). No signature date visible in the cover crop. Column-order cross-check: Last Report reproduces the filer's Pre-Election (doc 1059) Current figures exactly. SIGNATURE-DATE PASS 2026-08-02 (independent verification, agent 3): the form's printed signature date was re-read from a 250 dpi render of page 1 and is recorded here as printed. It had been left blank by the 2026-08-01 transcription; the date line is NOT empty on this sheet. Money cells unchanged."
Craig Williams,County Council,2014,2014-10-20,Pre-Election,statement,5025.90,3941.40,,992.70,,,,,,,,0,0,raw/2014/1059_williams.pdf,1059,high,"form_variant=split50; column order current_report | last_report | cumulative_totals | promotion: contributions[sum of the printed split lines [>$50=cumulative; <=$50=cumulative]]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Typed cover; no signature date visible in the cover crop. RECEIVED Oct 24 2014 stamp. SIGNATURE-DATE PASS 2026-08-02 (independent verification, agent 3): the form's printed signature date was re-read from a 250 dpi render of page 1 and is recorded here as printed. It had been left blank by the 2026-08-01 transcription; the date line is NOT empty on this sheet. Money cells unchanged."
David Ure,County Council,2014,,Post-Election,statement,3400.00,3370.00,,30.00,,,,,,,,0,0,raw/2014/1273_ure_final.pdf,1273,medium,"form_variant=narrative_letter; column order printed_total | (no column 2) | (no column 3) | promotion: contributions[current (cumulative cell empty)]; expenditures[current (cumulative cell empty)]; ending_balance[current (cumulative cell empty)] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | NOT the county cover form: this filing is a single handwritten page headed 'DAvid Ure Campaign Report 2014' listing 5 named contributions summing to a printed $3400.00, a separately-listed IN KIND DONATION (Republican Party, printing, $1200.00, NOT included in the $3400.00 line), an expense list with a printed total $3370.00, and a trailing figure written '$ + 30.00' (read here as the closing balance). There is NO Current/Last/Cumulative box, so the three-column capture does not apply — the last two columns carry the marker ""(no column)"" — the form structure is absent, which is a different fact from an empty cell and from an illegible one. RECEIVED DEC 04 2014 stamp."
David Ure,County Council,2014,2014-10-27,Pre-Election,statement,550.00,500.00,,50.00,,,,,,,,0,0,raw/2014/1090_ure.pdf,1090,high,"form_variant=split50; column order current_report | last_report | cumulative_totals | promotion: contributions[sum of the printed split lines [>$50=cumulative; <=$50=cumulative]]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Handwritten cover, legible; zeros written as a bare '0'."
Sean Wharton,County Council,2014,2014-12-04,Post-Election,statement,4515.00,3756.93,,758.07,,,,,,,,0,0,raw/2014/1274_wharton_final.pdf,1274,high,"form_variant=split50; column order current_report | last_report | cumulative_totals | promotion: contributions[sum of the printed split lines [>$50=cumulative; <=$50=cumulative]]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Handwritten cover, legible despite the 'low' OCR sidecar. The Current Report <=$50 cell is a slashed zero written as an empty/nil mark; recorded as blank. The Current campaign-balance cell has an illegible struck character before '476.00'. Column-order cross-check: Last Report reproduces doc 1091's Current figures exactly."
Sean Wharton,County Council,2014,2014-10-28,Pre-Election,statement,1265.00,1030.93,,235.07,,,,,,,,0,0,raw/2014/1091_wharton.pdf,1091,high,"form_variant=split50; column order current_report | last_report | cumulative_totals | promotion: contributions[sum of the printed split lines [>$50=cumulative; <=$50=cumulative]]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Handwritten cover, legible despite the 'low' OCR sidecar; Last Report cells are a slashed zero."
Mary Ann Trussell,County Recorder/Surveyor,2014,2014-11-20,Post-Election,statement,571.50,6627.75,,-6056.25,,,,,,,,0,0,raw/2014/1250_trussell_final.pdf,1250,high,form_variant=split50; column order current_report | last_report | cumulative_totals | promotion: contributions[sum of the printed split lines [>$50=cumulative; <=$50=cumulative]]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Typed cover; Last Report column left blank. Same figures as the filer's Pre-Election report (doc 1058).
Mary Ann Trussell,County Recorder/Surveyor,2014,2014-10-24,Pre-Election,statement,571.50,6627.75,,-6056.25,,,,,,,,0,0,raw/2014/1058_trussell.pdf,1058,high,form_variant=split50; column order current_report | last_report | cumulative_totals | promotion: contributions[sum of the printed split lines [>$50=cumulative; <=$50=cumulative]]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Born-digital typed cover. RECEIVED Oct 24 2014 Summit County Clerk stamp.
Vicki Richards,County Recorder/Surveyor,2014,2014-12-04,Post-Election,statement,5450.61,5450.61,,0.00,,5450.61,,True,,0.00,0.00,0,15,raw/2014/1272_richards_final.pdf,1272,high,"form_variant=split50; column order current_report | last_report | cumulative_totals | promotion: contributions[sum of the printed split lines [>$50=cumulative; <=$50=cumulative]]; expenditures[cumulative]; ending_balance[cumulative] | ITEMIZED LAYER: 0 contribution / 15 expenditure row(s) parsed by the registered `summit_form` family from the born-digital text layer, each side reconciled EXACTLY to the published stated total; per-row `geometry` records the amount cell read | family: cover columns: current|middle|cumulative (Summit order is Current FIRST — never the millcreek LAST|THIS|CUM); contributions = split50 line1+line2, summing only the printed lines (promoted cumulative / promoted cumulative); expenditures: promoted cumulative; balance: promoted cumulative; line 49 dropped: printed template example row (Jon and Jane Doe); line 71 dropped: printed template example row (Name of Business); contributions: 8 row(s) NOT emitted — Sum rows 5600.61 matches no printed figure (cover 5450.61) -- itemization incomplete, a short ledger is not published as complete | Born-digital typed cover, all three columns printed. Column-order cross-check: Last Report reproduces doc 1093's Current contributions; the Last-Report expenditure cell ($5,430.61) differs from doc 1093's $5,450.61 — a filer transcription slip, retained verbatim."
Vicki Richards,County Recorder/Surveyor,2014,2014-10-27,Pre-Election,statement,5450.61,5450.61,,0.00,,,,,,,,0,0,raw/2014/1093_richards.pdf,1093,high,form_variant=split50; column order current_report | last_report | cumulative_totals | promotion: contributions[sum of the printed split lines [>$50=cumulative; <=$50=cumulative]]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Born-digital typed cover; Last Report column left blank.
Walter Brock,County Recorder/Surveyor,2014,2014-11-05,Post-Election,statement,2662.89,2662.89,,0.00,,,,,,,,0,0,raw/2014/1244_brock_final.pdf,1244,high,"form_variant=split50; column order current_report | last_report | cumulative_totals | promotion: contributions[sum of the printed split lines [>$50=cumulative; <=$50=cumulative]]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | BROCK ADJUDICATION: the handwritten 'Office Filed For' line reads RECORDER/SURVEYOR and Party reads WRITE-IN on BOTH Brock filings (1081 Pre-Election, 1244 Post-Election) — legible at 200dpi, unreadable to OCR. Surname on this sheet reads BROCK (the 1081 sheet is ambiguous B-L/R). CALIBRATION CASE for the column trap: Current Report is all $0.00 while Last Report and Cumulative carry the money — a Millcreek-order parser taking the second-to-last token would read the Last Report column."
Walter Brock,County Recorder/Surveyor,2014,2014-10-27,Pre-Election,statement,2662.89,2662.89,,0.00,,,,,,,,0,0,raw/2014/1081_brock.pdf,1081,high,"form_variant=split50; column order current_report | last_report | cumulative_totals | promotion: contributions[sum of the printed split lines [>$50=cumulative; <=$50=cumulative]]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Handwritten header. Surname on the form face reads BLOCK (the county listing and DocumentCenter filename say Brock); transcribed as printed. Office Filed For = RECORDER/SURVEYOR, Party = WRITE-IN — legible, resolves the previously-unresolved office."
Justin Martinez,County Sheriff,2014,2014-11-25,Post-Election,statement,44359.00,31949.29,,2309.71,,31949.29,,True,,0.00,0.00,0,64,raw/2014/1248_martinez_final.pdf,1248,high,"form_variant=split50; column order current_report | last_report | cumulative_totals | promotion: contributions[sum of the printed split lines [>$50=cumulative; <=$50=cumulative]]; expenditures[cumulative]; ending_balance[cumulative] | FIELD SHIFT (isolated, 2 of 64 rows KEPT and flagged needs_review=1): line 156: vendor_raw reads '4/2//14', a DATE token; line 160: vendor_raw reads '5/20.14', a DATE token. The filer's own malformed date is not in the `summit_form` date grammar, so the token slid into the name column; the amount is unaffected and the side still reconciles. FAMILY LIMITATION, documented not patched. | ITEMIZED LAYER: 0 contribution / 64 expenditure row(s) parsed by the registered `summit_form` family from the born-digital text layer, each side reconciled EXACTLY to the published stated total; per-row `geometry` records the amount cell read | family: cover columns: current|middle|cumulative (Summit order is Current FIRST — never the millcreek LAST|THIS|CUM); contributions = split50 line1+line2, summing only the printed lines (promoted cumulative / promoted current (cumulative cell unparseable)); expenditures: promoted cumulative; balance: promoted cumulative; contributions: 76 row(s) NOT emitted — Sum rows 43755.90 matches no printed figure (cover 44359.00) -- itemization incomplete, a short ledger is not published as complete | Typed cover, all three columns printed; no signature date visible in the cover crop. Column-order cross-check: the Last Report column reproduces this filer's Pre-Election (doc 1064) Current figures exactly. SIGNATURE-DATE PASS 2026-08-02 (independent verification, agent 3): the form's printed signature date was re-read from a 250 dpi render of page 1 and is recorded here as printed. It had been left blank by the 2026-08-01 transcription; the date line is NOT empty on this sheet. Money cells unchanged."
Justin Martinez,County Sheriff,2014,2014-10-24,Pre-Election,statement,32436.00,26048.94,,6387.06,,26048.94,,True,,0.00,0.00,0,53,raw/2014/1064_martinez.pdf,1064,high,"form_variant=split50; column order current_report | last_report | cumulative_totals | promotion: contributions[sum of the printed split lines [>$50=current (cumulative cell empty); <=$50=current (cumulative cell empty)]]; expenditures[current (cumulative cell empty)]; ending_balance[current (cumulative cell empty)] | FIELD SHIFT (isolated, 2 of 53 rows KEPT and flagged needs_review=1): line 146: vendor_raw reads '4/2//14', a DATE token; line 150: vendor_raw reads '5/20.14', a DATE token. The filer's own malformed date is not in the `summit_form` date grammar, so the token slid into the name column; the amount is unaffected and the side still reconciles. FAMILY LIMITATION, documented not patched. | ITEMIZED LAYER: 0 contribution / 53 expenditure row(s) parsed by the registered `summit_form` family from the born-digital text layer, each side reconciled EXACTLY to the published stated total; per-row `geometry` records the amount cell read | family: cover columns: current|middle|cumulative (Summit order is Current FIRST — never the millcreek LAST|THIS|CUM); contributions = split50 line1+line2, summing only the printed lines (promoted cumulative / promoted current (cumulative cell unparseable)); expenditures: promoted current (cumulative cell empty); balance: promoted current (cumulative cell empty); contributions: 67 row(s) NOT emitted — Sum rows 31832.90 matches no printed figure (cover 32436.00) -- itemization incomplete, a short ledger is not published as complete | Typed cover; Last Report and Cumulative Totals columns left entirely blank by the filer. No signature date visible in the cover crop. SIGNATURE-DATE PASS 2026-08-02 (independent verification, agent 3): the form's printed signature date was re-read from a 250 dpi render of page 1 and is recorded here as printed. It had been left blank by the 2026-08-01 transcription; the date line is NOT empty on this sheet. Money cells unchanged."
Kris Hendricksen,County Sheriff,2014,2014-11-11,Post-Election,statement,4460.00,5829.93,,-1369.93,,,,,,,,0,0,raw/2014/1246_hendricksen_final.pdf,1246,high,"form_variant=split50; column order current_report | last_report | cumulative_totals | promotion: contributions[sum of the printed split lines [>$50=cumulative; <=$50=cumulative]]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Handwritten cover, legible despite the 'low' OCR sidecar. Filer's own arithmetic is internally inconsistent (contribution columns repeat rather than accumulate; balance columns do not follow) — retained exactly as filed, never corrected."
Kris Hendricksen,County Sheriff,2014,2014-10-22,Pre-Election,statement,4460.00,3651.09,,808.91,,,,,,,,0,0,raw/2014/1082_hendricksen.pdf,1082,high,"form_variant=split50; column order current_report | last_report | cumulative_totals | promotion: contributions[sum of the printed split lines [>$50=current (cumulative cell empty); <=$50=current (cumulative cell empty)]]; expenditures[current (cumulative cell empty)]; ending_balance[current (cumulative cell empty)] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Handwritten cover, legible. Last Report and Cumulative Totals columns left blank."
Amy Yost,County Treasurer,2014,2014-12-04,Post-Election,statement,5545.00,11642.49,,-6097.49,,,,,,,,0,0,raw/2014/1268_yost_final.pdf,1268,medium,"form_variant=split50; column order current_report | last_report | cumulative_totals | promotion: contributions[sum of the printed split lines [>$50=cumulative; <=$50=cumulative]]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Handwritten cover. The Current Report <=$50 cell has a struck-out character before '75.00' (the filer over-wrote it); value read as 75.00 — medium confidence on that one cell (760.00 - 685.00 = 75.00 in the filer's own row is consistent but was NOT used to set the value). Balances written in accounting parentheses, kept verbatim. Column-order cross-check: Last Report reproduces doc 1098's Current figures exactly."
Amy Yost,County Treasurer,2014,2014-10-28,Pre-Election,statement,3770.00,7309.74,,-3539.74,,,,,,,,0,0,raw/2014/1098_yost.pdf,1098,high,"form_variant=split50; column order current_report | last_report | cumulative_totals | promotion: contributions[sum of the printed split lines [>$50=cumulative; <=$50=cumulative]]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Handwritten cover, legible. Campaign balance is written in accounting parentheses (a negative) — kept verbatim as printed. N/A in every Last Report cell."
Corrie Forsling,County Treasurer,2014,2014-11-30,Post-Election,statement,15853.13,15853.13,,0.00,,,,,,,,0,0,raw/2014/1245_forsling_final.pdf,1245,high,"form_variant=split50; column order current_report | last_report | cumulative_totals | promotion: contributions[sum of the printed split lines [>$50=cumulative; <=$50=cumulative]]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Typed cover, all three columns printed. Cross-check of the column order: the Last Report column reproduces this filer's own Pre-Election (doc 1086) Current figures exactly ($13,482.96 / $50.00 / $13,532.96)."
Corrie Forsling,County Treasurer,2014,2014-10-27,Pre-Election,statement,13532.96,13532.96,,0.00,,,,,,,,0,0,raw/2014/1086_forsling.pdf,1086,high,form_variant=split50; column order current_report | last_report | cumulative_totals | promotion: contributions[sum of the printed split lines [>$50=current (cumulative cell empty); <=$50=current (cumulative cell empty)]]; expenditures[current (cumulative cell empty)]; ending_balance[current (cumulative cell empty)] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Typed cover; Last Report and Cumulative Totals columns left blank.
