date,body,dev_type,title,matter,location,outcome,names_recorded,motion_id,minutes_path,applicant,from_zone,to_zone,motion_no
2025-03-18,PlanningCommission,conditional_use,"Snowbird Ski and Summer Resort - Request to extend the termination date for a conditional use (Utah County Board of Adjustment Appeal #1552) granted on April 7, 2016, and extended on November 7, 2019, for accessory ski lifts and various associated mountain resort facilities in the Critical Environment (CE-1) Zone, located in Sections 8, 17, 18, 19, 20, and 29, T3S R3E, in the upper American Fork Canyon area of unincorporated Utah County",Board of Adjustment Appeal #1552,"Sections 8, 17, 18, 19, 20, and 29, T3S R3E, upper American Fork Canyon area",Approved (extension of termination date),true,11167,land_use/minutes/2025/2025-03-18_planning_commission.md,Snowbird Ski and Summer Resort (Dave Fields),CE-1,,4
2025-03-18,PlanningCommission,conditional_use,"Snowbird Ski and Summer Resort - Request to extend the termination date for a conditional use (Utah County Board of Adjustment Appeal #1553) granted on April 7, 2016, and extended on November 7, 2019, for accessory ski lifts and various associated mountain resort facilities with heights that exceed 60 feet, in the Critical Environment (CE-1) Zone, located in Sections 8, 17, 18, 19, 20, and 29, T3S R3E, in the upper American Fork Canyon area of unincorporated Utah County",Board of Adjustment Appeal #1553,"Sections 8, 17, 18, 19, 20, and 29, T3S R3E, upper American Fork Canyon area",Approved (extension of termination date),true,11168,land_use/minutes/2025/2025-03-18_planning_commission.md,Snowbird Ski and Summer Resort,CE-1,,5
2025-03-18,PlanningCommission,conditional_use,"Quicksilver Solar, LLC - Application #CU2024-01 - Request to amend a previously approved conditional use for a solar power generation facility in the Mining and Grazing (M&G-1) Zone by adding additional property, located in Sections 21 and 23, T7S R2W, approximately 480 acres, Cedar Valley/Fairfield area of unincorporated Utah County",CU2024-01,"Sections 21 and 23, T7S R2W, approximately 480 acres, Cedar Valley/Fairfield area","Approved (amendment, with three additional conditions)",true,11170,land_use/minutes/2025/2025-03-18_planning_commission.md,"Quicksilver Solar, LLC (Enyo Renewable Energy / Adrianne Bell)",M&G-1,,7
2025-03-18,PlanningCommission,conditional_use,"Mosida Energy, LLC - Application #CU2025-01 - Request for conditional use for a natural gas electric power generation facility in the Mining and Grazing (M&G-1) Zone, located in Section 25, T7S R2W, approximately 34-acre project site, Cedar Valley/Fairfield area of unincorporated Utah County",CU2025-01,"Section 25, T7S R2W, approximately 34-acre project site, Cedar Valley/Fairfield area",Approved,true,11172,land_use/minutes/2025/2025-03-18_planning_commission.md,"Mosida Energy, LLC (Greg Host)",M&G-1,,9
2025-03-18,PlanningCommission,ordinance_text_amendment,"Sundance Mountain Resort - Proposed Utah County Land Use Ordinance text amendment to Section 4.60, and any other applicable section, to allow recreational resorts to utilize off-site parking locations to meet parking space requirements",,Countywide,Recommend approval,true,11175,land_use/minutes/2025/2025-03-18_planning_commission.md,Sundance Mountain Resort (Czar Johnson),,,12
2025-05-20,PlanningCommission,conditional_use,"Mosida Energy - Application #CU2025-02 - Request to allow for alternative fuel sources to a previously approved conditional use for a natural gas electric power generation facility in the Mining and Grazing (M&G-1) Zone, located in Section 25, T7S R2W, approximately 34-acre project site, Cedar Valley/Fairfield area of unincorporated Utah County",CU2025-02,"Section 25, T7S R2W, Cedar Valley/Fairfield area of unincorporated Utah County, approximately 34-acre project site",Approved,true,11178,land_use/minutes/2025/2025-05-20_planning_commission.md,"Mosida Energy (Greg Probst, applicant)",,,2
2025-05-20,PlanningCommission,conditional_use,"Mosida Energy, LLC - Application #CU2025-03 - Request for conditional use for a proposed covered water tank which exceeds 20 feet in height and proposed exhaust stacks which exceed 40 feet in height as part of a natural gas electric power generation facility in the Mining and Grazing (M&G-1) Zone, located in Section 25, T7S R2W, approximately 34-acre project site, Cedar Valley/Fairfield area of unincorporated Utah County",CU2025-03,"Section 25, T7S R2W, Cedar Valley/Fairfield area of unincorporated Utah County, approximately 34-acre project site",Approved,true,11179,land_use/minutes/2025/2025-05-20_planning_commission.md,"Mosida Energy, LLC (Greg Probst, applicant)",,,3
2025-05-20,PlanningCommission,other_land_use,"The Relief Mine Company - Proposed agriculture protection area in the Residential Agricultural (RA-5) and Critical Environment (CE-1) Zones, Sections 17, 18, and 19, T9S R3E, Salem area of unincorporated Utah County, approximately 175 acres",,"Sections 17, 18, and 19, T9S R3E, Salem area of unincorporated Utah County, approximately 175 acres",Recommend approval,true,11180,land_use/minutes/2025/2025-05-20_planning_commission.md,The Relief Mine Company,RA-5 and CE-1,,4
2025-06-17,PlanningCommission,conditional_use,"MountainWest Pipeline, LLC - Application #CU2025-04 - Request for conditional use for a proposed transmission tower which exceeds 100 feet in height in the Mining and Grazing (M&G-1) Zone located in Section 22, T6S R1W, Lake Mountain area of unincorporated Utah County",CU2025-04,"Section 22, T6S R1W, Lake Mountain area of unincorporated Utah County, 320-acre parcel near North Lake Mountain Communications Road",Approved,true,11182,land_use/minutes/2025/2025-06-17_planning_commission.md,"MountainWest Pipeline, LLC (Cindy Sheehan, land representative)",,,2
2025-06-17,PlanningCommission,ordinance_text_amendment,"Utah County Planning Commission - Proposed Utah County Land Use Ordinance text amendment to Sections 12.12.F and 12.16.F, and any other applicable section, related to the reduction of side and rear setback requirement for certain residential accessory structures, including accessory dwelling units, in the Rural Residential (RR-5) and Transitional Residential (TR-5) Zones",,"Rural Residential (RR-5) and Transitional Residential (TR-5) Zones, Utah County",Recommend approval,true,11185,land_use/minutes/2025/2025-06-17_planning_commission.md,Utah County Community Development Department,,,5
2025-08-19,PlanningCommission,conditional_use,Richard Bardauskas for PacifiCorp - Application #CU2025-05 - Request for conditional use for a 345 kV electric power transmission line. This application only covers the portion of the 48-mile long project located in the unincorporated area of Utah County between the Spanish Fork Substation (Mapleton) and Mercer Substation (Eagle Mountain),CU2025-05,Unincorporated Utah County between the Spanish Fork Substation (Mapleton) and Mercer Substation (Eagle Mountain); approximately 12.9 miles within unincorporated Utah County of a 48-mile project,Decision withheld until public utility brings forth evidence of notice pursuant to Utah Code 54-18-304,true,11188,land_use/minutes/2025/2025-08-19_planning_commission.md,"PacifiCorp / Rocky Mountain Power (Richard Bardauskas, applicant)",,,3
2025-08-19,PlanningCommission,conditional_use,"Quicksilver Solar, LLC - Application #CU2025-06 - Request for conditional use for a proposed solar energy facility as an electric power generation facility in the Mining and Grazing (M&G-1) Zone located in multiple sections in T7S R1W, T7S R2W, and T8S R2W, approximately 750 acres in the Cedar Valley area unincorporated area of Utah County",CU2025-06,"Multiple sections in T7S R1W, T7S R2W, and T8S R2W, Cedar Valley area of unincorporated Utah County, approximately 750 acres",Approved,true,11189,land_use/minutes/2025/2025-08-19_planning_commission.md,"Quicksilver Solar, LLC (Greg Probst)",,,4
2025-12-16,PlanningCommission,ordinance_text_amendment,"Utah County Planning Commission - Proposed Utah County Land Use Ordinance text amendment to Sections 1.24, 2.08, Chapter 8, and Chapter 12, and any other applicable section, related to legal and nonconforming lots and parcels, along with associated ancillary changes",,,Recommend approval,true,11194,land_use/minutes/2025/2025-12-16_planning_commission.md,Utah County Planning Commission,,,4
2026-01-20,PlanningCommission,conditional_use,"Richard Bardauskas for PacifiCorp (application withdrawn) - Application #CU2025-05 - Request for conditional use for a 345 kV electric power transmission line. This application only covers the portion of the 48-mile long project located in the unincorporated area of Utah County between the Spanish Fork Substation (Mapleton) and Mercer Substation (Eagle Mountain) (item continued from August 19, September 16, and November 18, 2025 Planning Commission meetings)",CU2025-05,"Unincorporated Utah County, between the Spanish Fork Substation (Mapleton) and Mercer Substation (Eagle Mountain)",Application withdrawn,true,,land_use/minutes/2026/2026-01-20_planning_commission.md,Richard Bardauskas for PacifiCorp (Rocky Mountain Power),,,
2026-01-20,PlanningCommission,ordinance_text_amendment,"Timpanogos Special Service District - Proposed Utah County Land Use Ordinance text amendment to Sections 2.08, 12.56, and any other applicable section to include the storage and sale of Class A bio-solids owned and operated by a governmental entity as a permitted use in the Public Facilities (PF) Zone",,Countywide (all Public Facilities (PF) zones),Recommend approval,true,11199,land_use/minutes/2026/2026-01-20_planning_commission.md,Timpanogos Special Service District,,PF,4
2026-02-17,PlanningCommission,ordinance_text_amendment,"Utah County Planning Commission - Proposed Utah County Land Use Ordinance text amendment to Sections 8.16, and any other applicable section, related to frontage requirements of temporary uses and structures",,,Recommend approval,true,11205,land_use/minutes/2026/2026-02-17_planning_commission.md,Utah County Planning Commission,,,4
2026-02-17,PlanningCommission,conditional_use,"GreenHollow Ranch LLC - Application #CU2026-01 - Request for conditional use for a proposed reception center in the Residential Agricultural (RA-5) Zone. Located at 14048 South HWY 89, Section 5, T10S R4E, Thistle area of unincorporated Utah County",CU2026-01,"14048 South HWY 89, Section 5, T10S R4E, Thistle area of unincorporated Utah County",Approved,true,11206,land_use/minutes/2026/2026-02-17_planning_commission.md,"GreenHollow Ranch LLC (Robert Munson, Green Hollow Catering)",RA-5,,5
2026-02-17,PlanningCommission,other_land_use,"South Fork Land 2026 - Proposed agriculture protection area in the Residential Agricultural (RA-5) Zone, Section 10, T9S R3E, East of Payson City in unincorporated Utah County, approximately 21.38 acres",,"Section 10, T9S R3E, East of Payson City in unincorporated Utah County, approximately 21.38 acres",Recommend approval,true,11207,land_use/minutes/2026/2026-02-17_planning_commission.md,South Fork Land,RA-5,,6
2026-04-21,PlanningCommission,ordinance_text_amendment,"Rocky Mountain Power - Proposed Utah County Land Use Ordinance text amendment to Section 8.44.A.4, and any other applicable section, to designate electric power transmission and distribution lines of 345 kV and over within a new transmission corridor as a permitted use in any zone.",,,"Continued to May 19, 2026",true,11209,land_use/minutes/2026/2026-04-21_planning_commission.md,Rocky Mountain Power,,,2
2026-04-21,PlanningCommission,general_plan_amendment,"Timpanogos Special Service District - Proposed amendment of the Utah County General Plan Land Use Element Map from Agricultural to Manufacturing, and amendment of the Official Utah County Zone Map from the Residential Agricultural (RA-5) and Mining and Grazing (M&G-1) Zones to the Public Facilities (PF) Zone for property located in Sections 5 and 8, T9S R1W, approximately 48 acres, Chimney Rock Pass Road area of unincorporated Utah County",,"Sections 5 and 8, T9S R1W, approximately 48 acres, Chimney Rock Pass Road area of unincorporated Utah County; parcels 61:008:0005 and 61:005:009",Recommend approval,true,11211,land_use/minutes/2026/2026-04-21_planning_commission.md,"Timpanogos Special Service District (Richard Mickelsen, district manager)",RA-5 and M&G-1,PF,4
2026-04-21,PlanningCommission,ordinance_text_amendment,"Jamie Evans - Proposed Utah County Land Use Ordinance amendment to Sections 12.40.B, 12.40.D, and any other applicable section, to add vehicle impound yards as a permitted use in the Industrial (I-1) Zone and to eliminate the minimum area requirement of one(1) acre for yards for the outdoor storage of licensed vehicles, heavy equipment, portable structures, contracting equipment, lumber, or earth materials (rock, coal, sand) in the Industrial (I-1) Zone",,,"Recommend approval (staff version: adds impound yards as permitted use, maintains 1-acre minimum for all but impound yards, requires 0.75-acre minimum for impound yards)",true,11212,land_use/minutes/2026/2026-04-21_planning_commission.md,Jamie Evans,,,5
2026-05-19,PlanningCommission,ordinance_text_amendment,"Rocky Mountain Power - Proposed Utah County Land Use Ordinance text amendment to Section 8.44.A.4, and any other applicable section, to designate electric power transmission and distribution lines of 345 kV and over within a new transmission corridor as a permitted use in any zone (item continued from April 21, 2026 Planning Commission meeting)",2026-02,Countywide text amendment (public comment focused on Salem Park / river bottoms / Powerhouse Road corridor),Recommend denial,true,11218,land_use/minutes/2026/2026-05-19_planning_commission.md,"Rocky Mountain Power (Cameron Sabin, counsel; Nicole Kendall, transmission engineer)",,,4
