year,election_type,source_file,contest_id,contest,vote_for,precinct,candidate,party,votes,suppressed,vote_method
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-7d7405ca-4b4d-43e0-a150-9f6941e7cd84.json,7d7405ca-4b4d-43e0-a150-9f6941e7cd84,Nephi City Council,,,J.D. PARADY,,764,False,Certified Total
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-7d7405ca-4b4d-43e0-a150-9f6941e7cd84.json,7d7405ca-4b4d-43e0-a150-9f6941e7cd84,Nephi City Council,,,JOHN BRADLEY,,621,False,Certified Total
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-7d7405ca-4b4d-43e0-a150-9f6941e7cd84.json,7d7405ca-4b4d-43e0-a150-9f6941e7cd84,Nephi City Council,,,LARRY OSTLER,,693,False,Certified Total
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-7d7405ca-4b4d-43e0-a150-9f6941e7cd84.json,7d7405ca-4b4d-43e0-a150-9f6941e7cd84,Nephi City Council,,,SHARI COWAN,,812,False,Certified Total
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-7d7405ca-4b4d-43e0-a150-9f6941e7cd84.json,7d7405ca-4b4d-43e0-a150-9f6941e7cd84,Nephi City Council,,,TRAVIS L WORWOOD,,895,False,Certified Total
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-7d7405ca-4b4d-43e0-a150-9f6941e7cd84.json,7d7405ca-4b4d-43e0-a150-9f6941e7cd84,Nephi City Council,,Nephi #3,BART STANLEY MILLER,,51,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-7d7405ca-4b4d-43e0-a150-9f6941e7cd84.json,7d7405ca-4b4d-43e0-a150-9f6941e7cd84,Nephi City Council,,Nephi #3,J.D. PARADY,,70,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-7d7405ca-4b4d-43e0-a150-9f6941e7cd84.json,7d7405ca-4b4d-43e0-a150-9f6941e7cd84,Nephi City Council,,Nephi #3,JOHN BRADLEY,,109,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-7d7405ca-4b4d-43e0-a150-9f6941e7cd84.json,7d7405ca-4b4d-43e0-a150-9f6941e7cd84,Nephi City Council,,Nephi #3,LARRY OSTLER,,70,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-7d7405ca-4b4d-43e0-a150-9f6941e7cd84.json,7d7405ca-4b4d-43e0-a150-9f6941e7cd84,Nephi City Council,,Nephi #3,SHARI COWAN,,94,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-7d7405ca-4b4d-43e0-a150-9f6941e7cd84.json,7d7405ca-4b4d-43e0-a150-9f6941e7cd84,Nephi City Council,,Nephi #3,TRAVIS L WORWOOD,,110,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-7d7405ca-4b4d-43e0-a150-9f6941e7cd84.json,7d7405ca-4b4d-43e0-a150-9f6941e7cd84,Nephi City Council,,Nephi #4,BART STANLEY MILLER,,143,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-7d7405ca-4b4d-43e0-a150-9f6941e7cd84.json,7d7405ca-4b4d-43e0-a150-9f6941e7cd84,Nephi City Council,,Nephi #4,J.D. PARADY,,190,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-7d7405ca-4b4d-43e0-a150-9f6941e7cd84.json,7d7405ca-4b4d-43e0-a150-9f6941e7cd84,Nephi City Council,,Nephi #4,JOHN BRADLEY,,131,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-7d7405ca-4b4d-43e0-a150-9f6941e7cd84.json,7d7405ca-4b4d-43e0-a150-9f6941e7cd84,Nephi City Council,,Nephi #4,LARRY OSTLER,,183,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-7d7405ca-4b4d-43e0-a150-9f6941e7cd84.json,7d7405ca-4b4d-43e0-a150-9f6941e7cd84,Nephi City Council,,Nephi #4,SHARI COWAN,,187,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-7d7405ca-4b4d-43e0-a150-9f6941e7cd84.json,7d7405ca-4b4d-43e0-a150-9f6941e7cd84,Nephi City Council,,Nephi #4,TRAVIS L WORWOOD,,211,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-7d7405ca-4b4d-43e0-a150-9f6941e7cd84.json,7d7405ca-4b4d-43e0-a150-9f6941e7cd84,Nephi City Council,,Nephi #5,BART STANLEY MILLER,,135,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-7d7405ca-4b4d-43e0-a150-9f6941e7cd84.json,7d7405ca-4b4d-43e0-a150-9f6941e7cd84,Nephi City Council,,Nephi #5,J.D. PARADY,,216,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-7d7405ca-4b4d-43e0-a150-9f6941e7cd84.json,7d7405ca-4b4d-43e0-a150-9f6941e7cd84,Nephi City Council,,Nephi #5,JOHN BRADLEY,,111,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-7d7405ca-4b4d-43e0-a150-9f6941e7cd84.json,7d7405ca-4b4d-43e0-a150-9f6941e7cd84,Nephi City Council,,Nephi #5,LARRY OSTLER,,223,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-7d7405ca-4b4d-43e0-a150-9f6941e7cd84.json,7d7405ca-4b4d-43e0-a150-9f6941e7cd84,Nephi City Council,,Nephi #5,SHARI COWAN,,243,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-7d7405ca-4b4d-43e0-a150-9f6941e7cd84.json,7d7405ca-4b4d-43e0-a150-9f6941e7cd84,Nephi City Council,,Nephi #5,TRAVIS L WORWOOD,,226,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-7d7405ca-4b4d-43e0-a150-9f6941e7cd84.json,7d7405ca-4b4d-43e0-a150-9f6941e7cd84,Nephi City Council,,Nephi #6,BART STANLEY MILLER,,83,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-7d7405ca-4b4d-43e0-a150-9f6941e7cd84.json,7d7405ca-4b4d-43e0-a150-9f6941e7cd84,Nephi City Council,,Nephi #6,J.D. PARADY,,125,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-7d7405ca-4b4d-43e0-a150-9f6941e7cd84.json,7d7405ca-4b4d-43e0-a150-9f6941e7cd84,Nephi City Council,,Nephi #6,JOHN BRADLEY,,80,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-7d7405ca-4b4d-43e0-a150-9f6941e7cd84.json,7d7405ca-4b4d-43e0-a150-9f6941e7cd84,Nephi City Council,,Nephi #6,LARRY OSTLER,,78,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-7d7405ca-4b4d-43e0-a150-9f6941e7cd84.json,7d7405ca-4b4d-43e0-a150-9f6941e7cd84,Nephi City Council,,Nephi #6,SHARI COWAN,,133,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-7d7405ca-4b4d-43e0-a150-9f6941e7cd84.json,7d7405ca-4b4d-43e0-a150-9f6941e7cd84,Nephi City Council,,Nephi #6,TRAVIS L WORWOOD,,147,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-7d7405ca-4b4d-43e0-a150-9f6941e7cd84.json,7d7405ca-4b4d-43e0-a150-9f6941e7cd84,Nephi City Council,,Nephi #7,BART STANLEY MILLER,,160,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-7d7405ca-4b4d-43e0-a150-9f6941e7cd84.json,7d7405ca-4b4d-43e0-a150-9f6941e7cd84,Nephi City Council,,Nephi #7,J.D. PARADY,,163,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-7d7405ca-4b4d-43e0-a150-9f6941e7cd84.json,7d7405ca-4b4d-43e0-a150-9f6941e7cd84,Nephi City Council,,Nephi #7,JOHN BRADLEY,,190,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-7d7405ca-4b4d-43e0-a150-9f6941e7cd84.json,7d7405ca-4b4d-43e0-a150-9f6941e7cd84,Nephi City Council,,Nephi #7,LARRY OSTLER,,139,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-7d7405ca-4b4d-43e0-a150-9f6941e7cd84.json,7d7405ca-4b4d-43e0-a150-9f6941e7cd84,Nephi City Council,,Nephi #7,SHARI COWAN,,155,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-7d7405ca-4b4d-43e0-a150-9f6941e7cd84.json,7d7405ca-4b4d-43e0-a150-9f6941e7cd84,Nephi City Council,,Nephi #7,TRAVIS L WORWOOD,,201,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-75b771d8-868a-405f-8ae2-be665ecacb7d.json,75b771d8-868a-405f-8ae2-be665ecacb7d,Rocky Ridge Town Council,,,ANDREW AAGARD,,83,False,Certified Total
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-75b771d8-868a-405f-8ae2-be665ecacb7d.json,75b771d8-868a-405f-8ae2-be665ecacb7d,Rocky Ridge Town Council,,,JOANNA COVINGTON,,55,False,Certified Total
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-75b771d8-868a-405f-8ae2-be665ecacb7d.json,75b771d8-868a-405f-8ae2-be665ecacb7d,Rocky Ridge Town Council,,,SHANNON ALLRED,,39,False,Certified Total
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-75b771d8-868a-405f-8ae2-be665ecacb7d.json,75b771d8-868a-405f-8ae2-be665ecacb7d,Rocky Ridge Town Council,,,WENDY ALLRED,,26,False,Certified Total
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-75b771d8-868a-405f-8ae2-be665ecacb7d.json,75b771d8-868a-405f-8ae2-be665ecacb7d,Rocky Ridge Town Council,,Rocky Ridge #1,ANDREW AAGARD,,83,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-75b771d8-868a-405f-8ae2-be665ecacb7d.json,75b771d8-868a-405f-8ae2-be665ecacb7d,Rocky Ridge Town Council,,Rocky Ridge #1,JOANNA COVINGTON,,55,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-75b771d8-868a-405f-8ae2-be665ecacb7d.json,75b771d8-868a-405f-8ae2-be665ecacb7d,Rocky Ridge Town Council,,Rocky Ridge #1,SHANNON ALLRED,,39,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-75b771d8-868a-405f-8ae2-be665ecacb7d.json,75b771d8-868a-405f-8ae2-be665ecacb7d,Rocky Ridge Town Council,,Rocky Ridge #1,WENDY ALLRED,,26,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-f1b55944-74a8-40e5-87d9-a20c039a3ac8.json,f1b55944-74a8-40e5-87d9-a20c039a3ac8,U.S. HOUSE OF REPRESENTATIVES DISTRICT 2,,,BRADLEY GARTH GREEN,LIB,5,False,Certified Total
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-f1b55944-74a8-40e5-87d9-a20c039a3ac8.json,f1b55944-74a8-40e5-87d9-a20c039a3ac8,U.S. HOUSE OF REPRESENTATIVES DISTRICT 2,,,CASSIE EASLEY,CON,9,False,Certified Total
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-f1b55944-74a8-40e5-87d9-a20c039a3ac8.json,f1b55944-74a8-40e5-87d9-a20c039a3ac8,U.S. HOUSE OF REPRESENTATIVES DISTRICT 2,,,CELESTE MALOY,REP,104,False,Certified Total
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-f1b55944-74a8-40e5-87d9-a20c039a3ac8.json,f1b55944-74a8-40e5-87d9-a20c039a3ac8,U.S. HOUSE OF REPRESENTATIVES DISTRICT 2,,,JANUARY WALKER,UUP,1,False,Certified Total
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-f1b55944-74a8-40e5-87d9-a20c039a3ac8.json,f1b55944-74a8-40e5-87d9-a20c039a3ac8,U.S. HOUSE OF REPRESENTATIVES DISTRICT 2,,,JOE BUCHMAN,,1,False,Certified Total
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-f1b55944-74a8-40e5-87d9-a20c039a3ac8.json,f1b55944-74a8-40e5-87d9-a20c039a3ac8,U.S. HOUSE OF REPRESENTATIVES DISTRICT 2,,,KATHLEEN RIEBE,DEM,47,False,Certified Total
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-f1b55944-74a8-40e5-87d9-a20c039a3ac8.json,f1b55944-74a8-40e5-87d9-a20c039a3ac8,U.S. HOUSE OF REPRESENTATIVES DISTRICT 2,,,PERRY T. MYERS,,10,False,Certified Total
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-f1b55944-74a8-40e5-87d9-a20c039a3ac8.json,f1b55944-74a8-40e5-87d9-a20c039a3ac8,U.S. HOUSE OF REPRESENTATIVES DISTRICT 2,,,Write-In: JONATHAN LA RELE PETERSON,,0,False,Certified Total
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-f1b55944-74a8-40e5-87d9-a20c039a3ac8.json,f1b55944-74a8-40e5-87d9-a20c039a3ac8,U.S. HOUSE OF REPRESENTATIVES DISTRICT 2,,,Write-in,,1,False,Certified Total
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-f1b55944-74a8-40e5-87d9-a20c039a3ac8.json,f1b55944-74a8-40e5-87d9-a20c039a3ac8,U.S. HOUSE OF REPRESENTATIVES DISTRICT 2,,Callao #1,BRADLEY GARTH GREEN,LIB,0,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-f1b55944-74a8-40e5-87d9-a20c039a3ac8.json,f1b55944-74a8-40e5-87d9-a20c039a3ac8,U.S. HOUSE OF REPRESENTATIVES DISTRICT 2,,Callao #1,CASSIE EASLEY,CON,4,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-f1b55944-74a8-40e5-87d9-a20c039a3ac8.json,f1b55944-74a8-40e5-87d9-a20c039a3ac8,U.S. HOUSE OF REPRESENTATIVES DISTRICT 2,,Callao #1,CELESTE MALOY,REP,7,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-f1b55944-74a8-40e5-87d9-a20c039a3ac8.json,f1b55944-74a8-40e5-87d9-a20c039a3ac8,U.S. HOUSE OF REPRESENTATIVES DISTRICT 2,,Callao #1,JANUARY WALKER,UUP,0,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-f1b55944-74a8-40e5-87d9-a20c039a3ac8.json,f1b55944-74a8-40e5-87d9-a20c039a3ac8,U.S. HOUSE OF REPRESENTATIVES DISTRICT 2,,Callao #1,JOE BUCHMAN,,0,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-f1b55944-74a8-40e5-87d9-a20c039a3ac8.json,f1b55944-74a8-40e5-87d9-a20c039a3ac8,U.S. HOUSE OF REPRESENTATIVES DISTRICT 2,,Callao #1,KATHLEEN RIEBE,DEM,4,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-f1b55944-74a8-40e5-87d9-a20c039a3ac8.json,f1b55944-74a8-40e5-87d9-a20c039a3ac8,U.S. HOUSE OF REPRESENTATIVES DISTRICT 2,,Callao #1,PERRY T. MYERS,,0,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-f1b55944-74a8-40e5-87d9-a20c039a3ac8.json,f1b55944-74a8-40e5-87d9-a20c039a3ac8,U.S. HOUSE OF REPRESENTATIVES DISTRICT 2,,Callao #1,Write-In: JONATHAN LA RELE PETERSON,,0,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-f1b55944-74a8-40e5-87d9-a20c039a3ac8.json,f1b55944-74a8-40e5-87d9-a20c039a3ac8,U.S. HOUSE OF REPRESENTATIVES DISTRICT 2,,Callao #1,Write-in,,1,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-f1b55944-74a8-40e5-87d9-a20c039a3ac8.json,f1b55944-74a8-40e5-87d9-a20c039a3ac8,U.S. HOUSE OF REPRESENTATIVES DISTRICT 2,,Eureka #1,BRADLEY GARTH GREEN,LIB,0,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-f1b55944-74a8-40e5-87d9-a20c039a3ac8.json,f1b55944-74a8-40e5-87d9-a20c039a3ac8,U.S. HOUSE OF REPRESENTATIVES DISTRICT 2,,Eureka #1,CASSIE EASLEY,CON,3,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-f1b55944-74a8-40e5-87d9-a20c039a3ac8.json,f1b55944-74a8-40e5-87d9-a20c039a3ac8,U.S. HOUSE OF REPRESENTATIVES DISTRICT 2,,Eureka #1,CELESTE MALOY,REP,25,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-f1b55944-74a8-40e5-87d9-a20c039a3ac8.json,f1b55944-74a8-40e5-87d9-a20c039a3ac8,U.S. HOUSE OF REPRESENTATIVES DISTRICT 2,,Eureka #1,JANUARY WALKER,UUP,0,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-f1b55944-74a8-40e5-87d9-a20c039a3ac8.json,f1b55944-74a8-40e5-87d9-a20c039a3ac8,U.S. HOUSE OF REPRESENTATIVES DISTRICT 2,,Eureka #1,JOE BUCHMAN,,0,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-f1b55944-74a8-40e5-87d9-a20c039a3ac8.json,f1b55944-74a8-40e5-87d9-a20c039a3ac8,U.S. HOUSE OF REPRESENTATIVES DISTRICT 2,,Eureka #1,KATHLEEN RIEBE,DEM,11,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-f1b55944-74a8-40e5-87d9-a20c039a3ac8.json,f1b55944-74a8-40e5-87d9-a20c039a3ac8,U.S. HOUSE OF REPRESENTATIVES DISTRICT 2,,Eureka #1,PERRY T. MYERS,,3,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-f1b55944-74a8-40e5-87d9-a20c039a3ac8.json,f1b55944-74a8-40e5-87d9-a20c039a3ac8,U.S. HOUSE OF REPRESENTATIVES DISTRICT 2,,Eureka #1,Write-In: JONATHAN LA RELE PETERSON,,0,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-f1b55944-74a8-40e5-87d9-a20c039a3ac8.json,f1b55944-74a8-40e5-87d9-a20c039a3ac8,U.S. HOUSE OF REPRESENTATIVES DISTRICT 2,,Eureka #1,Write-in,,0,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-f1b55944-74a8-40e5-87d9-a20c039a3ac8.json,f1b55944-74a8-40e5-87d9-a20c039a3ac8,U.S. HOUSE OF REPRESENTATIVES DISTRICT 2,,Eureka #2,BRADLEY GARTH GREEN,LIB,3,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-f1b55944-74a8-40e5-87d9-a20c039a3ac8.json,f1b55944-74a8-40e5-87d9-a20c039a3ac8,U.S. HOUSE OF REPRESENTATIVES DISTRICT 2,,Eureka #2,CASSIE EASLEY,CON,0,False,Precinct
2023,municipal general,raw/ev/ev-juab-2023-Nov-General-item-f1b55944-74a8-40e5-87d9-a20c039a3ac8.json,f1b55944-74a8-40e5-87d9-a20c039a3ac8,U.S. HOUSE OF REPRESENTATIVES DISTRICT 2,,Eureka #2,CELESTE MALOY,REP,20,False,Precinct
