date,year,title,body,motion_no,motion,motion_type,result,mover,seconder,member,vote,source
2025-01-21,2025,City Council Meeting,Council,1,"A motion was made by Aaron Dekeyzer, seconded by Ryan Mecham to approve the Consent Calendar",Procedural/Administrative,Unanimous (voice),Aaron Dekeyzer,Ryan Mecham,,,meeting_minutes/minutes/2025/2025-01-20/2025-01-21_city-council-meeting.md
2025-01-21,2025,City Council Meeting,Council,2,"A motion was made by Cyndi Sharkey, seconded by Ryan Mecham to adopt Ordinance 25-04, an ordinance annexing territory located at 2182 E Creek Road in Salt Lake County, comprising approxmately 1.13 acres into the municipality of Sandy City; establishing zoning for the annexed property; also providing a severance and effective date for the annexation",Ordinance,7-0 Pass,Cyndi Sharkey,Ryan Mecham,Alison Stroud,Aye,meeting_minutes/minutes/2025/2025-01-20/2025-01-21_city-council-meeting.md
2025-01-21,2025,City Council Meeting,Council,3,"A motion was made by Marci Houseman, seconded by Ryan Mecham to adopt Ordinance 25-03, an ordinance annexing territory located at 10191 S Dimple Dell Road in Salt Lake County, comprising approximately 0.61 acres into the municipality of Sandy City; establishing zoning for the annexed property; also providing a severance and effective date for the annexation",Ordinance,7-0 Pass,Marci Houseman,Ryan Mecham,Ryan Mecham,Aye,meeting_minutes/minutes/2025/2025-01-20/2025-01-21_city-council-meeting.md
2025-01-21,2025,City Council Meeting,Council,3,"A motion was made by Marci Houseman, seconded by Ryan Mecham to adopt Ordinance 25-03, an ordinance annexing territory located at 10191 S Dimple Dell Road in Salt Lake County, comprising approximately 0.61 acres into the municipality of Sandy City; establishing zoning for the annexed property; also providing a severance and effective date for the annexation",Ordinance,7-0 Pass,Marci Houseman,Ryan Mecham,Brooke D'Sousa,Aye,meeting_minutes/minutes/2025/2025-01-20/2025-01-21_city-council-meeting.md
2025-01-21,2025,City Council Meeting,Council,3,"A motion was made by Marci Houseman, seconded by Ryan Mecham to adopt Ordinance 25-03, an ordinance annexing territory located at 10191 S Dimple Dell Road in Salt Lake County, comprising approximately 0.61 acres into the municipality of Sandy City; establishing zoning for the annexed property; also providing a severance and effective date for the annexation",Ordinance,7-0 Pass,Marci Houseman,Ryan Mecham,Aaron Dekeyzer,Aye,meeting_minutes/minutes/2025/2025-01-20/2025-01-21_city-council-meeting.md
2025-01-21,2025,City Council Meeting,Council,4,"A motion was made by Ryan Mecham, seconded by Marci Houseman to adopt Ordinance 25-06, an ordinance annexing territory located at 8700 S 700 W in Salt Lake County, comprising approximatley 5 acres into the municipality of Sandy City; establishing zoning for the annexed property; also providing a severance and effective date for the annexation",Ordinance,7-0 Pass,Ryan Mecham,Marci Houseman,Alison Stroud,Aye,meeting_minutes/minutes/2025/2025-01-20/2025-01-21_city-council-meeting.md
2025-01-21,2025,City Council Meeting,Council,4,"A motion was made by Ryan Mecham, seconded by Marci Houseman to adopt Ordinance 25-06, an ordinance annexing territory located at 8700 S 700 W in Salt Lake County, comprising approximatley 5 acres into the municipality of Sandy City; establishing zoning for the annexed property; also providing a severance and effective date for the annexation",Ordinance,7-0 Pass,Ryan Mecham,Marci Houseman,Zach Robinson,Aye,meeting_minutes/minutes/2025/2025-01-20/2025-01-21_city-council-meeting.md
2025-01-21,2025,City Council Meeting,Council,4,"A motion was made by Ryan Mecham, seconded by Marci Houseman to adopt Ordinance 25-06, an ordinance annexing territory located at 8700 S 700 W in Salt Lake County, comprising approximatley 5 acres into the municipality of Sandy City; establishing zoning for the annexed property; also providing a severance and effective date for the annexation",Ordinance,7-0 Pass,Ryan Mecham,Marci Houseman,Marci Houseman,Aye,meeting_minutes/minutes/2025/2025-01-20/2025-01-21_city-council-meeting.md
2025-01-21,2025,City Council Meeting,Council,4,"A motion was made by Ryan Mecham, seconded by Marci Houseman to adopt Ordinance 25-06, an ordinance annexing territory located at 8700 S 700 W in Salt Lake County, comprising approximatley 5 acres into the municipality of Sandy City; establishing zoning for the annexed property; also providing a severance and effective date for the annexation",Ordinance,7-0 Pass,Ryan Mecham,Marci Houseman,Cyndi Sharkey,Aye,meeting_minutes/minutes/2025/2025-01-20/2025-01-21_city-council-meeting.md
2025-01-21,2025,City Council Meeting,Council,4,"A motion was made by Ryan Mecham, seconded by Marci Houseman to adopt Ordinance 25-06, an ordinance annexing territory located at 8700 S 700 W in Salt Lake County, comprising approximatley 5 acres into the municipality of Sandy City; establishing zoning for the annexed property; also providing a severance and effective date for the annexation",Ordinance,7-0 Pass,Ryan Mecham,Marci Houseman,Ryan Mecham,Aye,meeting_minutes/minutes/2025/2025-01-20/2025-01-21_city-council-meeting.md
2025-01-21,2025,City Council Meeting,Council,4,"A motion was made by Ryan Mecham, seconded by Marci Houseman to adopt Ordinance 25-06, an ordinance annexing territory located at 8700 S 700 W in Salt Lake County, comprising approximatley 5 acres into the municipality of Sandy City; establishing zoning for the annexed property; also providing a severance and effective date for the annexation",Ordinance,7-0 Pass,Ryan Mecham,Marci Houseman,Brooke D'Sousa,Aye,meeting_minutes/minutes/2025/2025-01-20/2025-01-21_city-council-meeting.md
2025-01-21,2025,City Council Meeting,Council,4,"A motion was made by Ryan Mecham, seconded by Marci Houseman to adopt Ordinance 25-06, an ordinance annexing territory located at 8700 S 700 W in Salt Lake County, comprising approximatley 5 acres into the municipality of Sandy City; establishing zoning for the annexed property; also providing a severance and effective date for the annexation",Ordinance,7-0 Pass,Ryan Mecham,Marci Houseman,Aaron Dekeyzer,Aye,meeting_minutes/minutes/2025/2025-01-20/2025-01-21_city-council-meeting.md
2025-01-21,2025,City Council Meeting,Council,5,"A motion was made by Ryan Mecham, seconded by Cyndi Sharkey, adopt Ordinance #25-02, an ordinance amending and fixing the boundaries of a zone district of the Sandy City Zoning Ordinance; rezoning one parcel, approximately 0.18 acres, from LC ""Limited Commercial District"" to R-1-6 ""Single-Family Residential District"", located at approximately 65 E 11000 S; also providing a saving clause and an effective date for the ordinance",Ordinance,7-0 Pass,Ryan Mecham,Cyndi Sharkey,Alison Stroud,Aye,meeting_minutes/minutes/2025/2025-01-20/2025-01-21_city-council-meeting.md
2025-01-21,2025,City Council Meeting,Council,5,"A motion was made by Ryan Mecham, seconded by Cyndi Sharkey, adopt Ordinance #25-02, an ordinance amending and fixing the boundaries of a zone district of the Sandy City Zoning Ordinance; rezoning one parcel, approximately 0.18 acres, from LC ""Limited Commercial District"" to R-1-6 ""Single-Family Residential District"", located at approximately 65 E 11000 S; also providing a saving clause and an effective date for the ordinance",Ordinance,7-0 Pass,Ryan Mecham,Cyndi Sharkey,Zach Robinson,Aye,meeting_minutes/minutes/2025/2025-01-20/2025-01-21_city-council-meeting.md
2025-01-21,2025,City Council Meeting,Council,5,"A motion was made by Ryan Mecham, seconded by Cyndi Sharkey, adopt Ordinance #25-02, an ordinance amending and fixing the boundaries of a zone district of the Sandy City Zoning Ordinance; rezoning one parcel, approximately 0.18 acres, from LC ""Limited Commercial District"" to R-1-6 ""Single-Family Residential District"", located at approximately 65 E 11000 S; also providing a saving clause and an effective date for the ordinance",Ordinance,7-0 Pass,Ryan Mecham,Cyndi Sharkey,Marci Houseman,Aye,meeting_minutes/minutes/2025/2025-01-20/2025-01-21_city-council-meeting.md
2025-01-21,2025,City Council Meeting,Council,5,"A motion was made by Ryan Mecham, seconded by Cyndi Sharkey, adopt Ordinance #25-02, an ordinance amending and fixing the boundaries of a zone district of the Sandy City Zoning Ordinance; rezoning one parcel, approximately 0.18 acres, from LC ""Limited Commercial District"" to R-1-6 ""Single-Family Residential District"", located at approximately 65 E 11000 S; also providing a saving clause and an effective date for the ordinance",Ordinance,7-0 Pass,Ryan Mecham,Cyndi Sharkey,Cyndi Sharkey,Aye,meeting_minutes/minutes/2025/2025-01-20/2025-01-21_city-council-meeting.md
2025-01-21,2025,City Council Meeting,Council,5,"A motion was made by Ryan Mecham, seconded by Cyndi Sharkey, adopt Ordinance #25-02, an ordinance amending and fixing the boundaries of a zone district of the Sandy City Zoning Ordinance; rezoning one parcel, approximately 0.18 acres, from LC ""Limited Commercial District"" to R-1-6 ""Single-Family Residential District"", located at approximately 65 E 11000 S; also providing a saving clause and an effective date for the ordinance",Ordinance,7-0 Pass,Ryan Mecham,Cyndi Sharkey,Ryan Mecham,Aye,meeting_minutes/minutes/2025/2025-01-20/2025-01-21_city-council-meeting.md
2025-01-21,2025,City Council Meeting,Council,5,"A motion was made by Ryan Mecham, seconded by Cyndi Sharkey, adopt Ordinance #25-02, an ordinance amending and fixing the boundaries of a zone district of the Sandy City Zoning Ordinance; rezoning one parcel, approximately 0.18 acres, from LC ""Limited Commercial District"" to R-1-6 ""Single-Family Residential District"", located at approximately 65 E 11000 S; also providing a saving clause and an effective date for the ordinance",Ordinance,7-0 Pass,Ryan Mecham,Cyndi Sharkey,Brooke D'Sousa,Aye,meeting_minutes/minutes/2025/2025-01-20/2025-01-21_city-council-meeting.md
2025-01-21,2025,City Council Meeting,Council,5,"A motion was made by Ryan Mecham, seconded by Cyndi Sharkey, adopt Ordinance #25-02, an ordinance amending and fixing the boundaries of a zone district of the Sandy City Zoning Ordinance; rezoning one parcel, approximately 0.18 acres, from LC ""Limited Commercial District"" to R-1-6 ""Single-Family Residential District"", located at approximately 65 E 11000 S; also providing a saving clause and an effective date for the ordinance",Ordinance,7-0 Pass,Ryan Mecham,Cyndi Sharkey,Aaron Dekeyzer,Aye,meeting_minutes/minutes/2025/2025-01-20/2025-01-21_city-council-meeting.md
