doc_class,title,adopted_date,jurisdiction,path,text_path,format,source_url,retrieved_date,notes
other,WFRC Statement on Racial Justice Equity and Access to Opportunities,2020,,raw/wfrc_racial_justice_equity_statement_2020.pdf,text/wfrc_racial_justice_equity_statement_2020.txt,pdf,https://wfrc.org/PublicInvolvement/NewsReleases/WFRCStatementonRacialJusticeEquityandAccesstoOpportunities.pdf,2026-07-20,"WFRC policy statement (news release); only ATO/equity-specific PDF found."
program_report,Transportation and Land Use Connection (TLC) Report Card 2024,2024,,raw/tlc_report_card_2024.pdf,text/tlc_report_card_2024.txt,pdf,https://wfrc.utah.gov/Programs/TransportationAndLandUseConnection/TLCReportCard2024.pdf,2026-07-20,"10-year TLC summary: 152 projects awarded 2014-2024, 88% of communities, ~$18M partner investment. TLC co-funds member-city land-use/station-area plans."
program_report,TLC Awarded Project Descriptions 2026,2026,,raw/tlc_awarded_projects_2026.pdf,text/tlc_awarded_projects_2026.txt,pdf,https://wfrc.utah.gov/Programs/TransportationAndLandUseConnection/AwardedProjects/2026%20Project%20Descriptions.pdf,2026-07-20,"TLC awarded study/plan descriptions. Repo cities in this cycle: alta, copperton, draper, holladay, magna, midvale, millcreek, slc. Per-year rollups index completed TLC studies - master index is the ArcGIS TLC Project Map, not a PDF."
program_report,TLC Awarded Project Descriptions 2025,2025,,raw/tlc_awarded_projects_2025.pdf,text/tlc_awarded_projects_2025.txt,pdf,https://wfrc.utah.gov/Programs/TransportationAndLandUseConnection/AwardedProjects/2025%20Project%20Descriptions.pdf,2026-07-20,"TLC awarded study/plan descriptions. Repo cities in this cycle: south_salt_lake, murray, sandy, kearns, millcreek, ogden."
program_report,TLC Awarded Project Descriptions 2024,2024,,raw/tlc_awarded_projects_2024.pdf,text/tlc_awarded_projects_2024.txt,pdf,https://wfrc.utah.gov/Programs/TransportationAndLandUseConnection/AwardedProjects/Project%20Descriptions%20Transportation%20and%20Land%20Use%20Connection%202024.pdf,2026-07-20,"TLC awarded study/plan descriptions."
program_report,TLC Awarded Project Descriptions 2023,2023,,raw/tlc_awarded_projects_2023.pdf,text/tlc_awarded_projects_2023.txt,pdf,https://wfrc.utah.gov/Programs/TransportationAndLandUseConnection/AwardedProjects/ProjectDescriptionsTransportationandLandUseConnection2023.pdf,2026-07-20,"TLC awarded study/plan descriptions."
program_report,TLC Awarded Project Descriptions 2022,2022,,raw/tlc_awarded_projects_2022.pdf,text/tlc_awarded_projects_2022.txt,pdf,https://wfrc.utah.gov/Programs/TransportationAndLandUseConnection/AwardedProjects/Project%20Descriptions%20Transportation%20and%20Land%20Use%20Connection%202022.pdf,2026-07-20,"TLC awarded study/plan descriptions."
program_report,TLC Awarded Project Descriptions 2021,2021,,raw/tlc_awarded_projects_2021.pdf,text/tlc_awarded_projects_2021.txt,pdf,https://wfrc.utah.gov/Programs/TransportationAndLandUseConnection/AwardedProjects/ProjectDescriptionsTransportationandLandUseConnection2021.pdf,2026-07-20,"TLC awarded study/plan descriptions."
program_report,TLC Awarded Project Descriptions 2020,2020,,raw/tlc_awarded_projects_2020.pdf,text/tlc_awarded_projects_2020.txt,pdf,https://wfrc.utah.gov/wp-content/uploads/2020/03/Project-Descriptions-Transportation-and-Land-Use-Connection-2020.pdf,2026-07-20,"TLC awarded study/plan descriptions."
guidance,TLC Ordinance Assistance One-Pager,2023,,raw/tlc_ordinance_assistance_one_pager.pdf,text/tlc_ordinance_assistance_one_pager.txt,pdf,https://wfrc.utah.gov/Programs/TransportationAndLandUseConnection/Ordinance%20Assistance%20Opportunity/TLC%20Ordinance%20Assistance%20One%20Pager.pdf,2026-07-20,"TLC sub-program that helps member cities update land-use ordinances."
program_report,Station Area Plan Progress Update (HB462) - June 2025,2025-06,,raw/sap_progress_update_2025_06.pdf,text/sap_progress_update_2025_06.txt,pdf,https://wfrc.utah.gov/Programs/Station%20Area%20Planning%20Certification%20and%20Technical%20Assistance/SAP%20Progress%20Update%202025%20V2%20JUNE%202025.pdf,2026-07-20,"Most recent HB462 station-area-plan certification progress report."
program_report,Station Area Plan Progress Update (HB462) - Final,,,raw/sap_progress_update_final.pdf,text/sap_progress_update_final.txt,pdf,https://wfrc.utah.gov/Programs/Station%20Area%20Planning%20Certification%20and%20Technical%20Assistance/SAP%20Progress%20Update%20Final.pdf,2026-07-20,"Undated 'Final' HB462 SAP progress update."
guidance,HB462 Station Area Planning Overview (March 2022),2022-03,,raw/hb462_station_area_planning_overview_2022.pdf,text/hb462_station_area_planning_overview_2022.txt,pdf,https://wfrc.org/wp-content/uploads/2022/03/March-2022-HB462-Station-Area-Planning.pdf,2026-07-20,"Early HB462 station-area-planning guidance/overview."
guidance,Station Area Plan RPLOQ - Murray North Station,2023,murray,raw/sap_murray_millcreek_rploq_2023.pdf,text/sap_murray_millcreek_rploq_2023.txt,pdf,https://wfrc.utah.gov/Programs/Station%20Area%20Planning%20Certification%20and%20Technical%20Assistance/SAP_Murray-Millcreek_RPLOQ.pdf,2026-07-20,"SAP request-for-proposal/scoping doc for the Murray North TRAX station; also involves millcreek. jurisdiction tagged murray."
guidance,Creating Communities: A Guide to Walkable Centers,2023,,raw/creating_communities_walkable_centers_guide_2023.pdf,text/creating_communities_walkable_centers_guide_2023.txt,pdf,https://wasatchchoice.org/wp-content/uploads/2023/05/CreatingCommunitiesGuideFinal.pdf,2026-07-20,"Wasatch Choice toolbox guidance for centers-based/walkable development (62 pp)."
guidance,Utah Street Connectivity Guide (with Appendix),2023-05,,,text/utah_street_connectivity_guide_2023.txt,pdf,https://wasatchchoice.org/wp-content/uploads/2023/05/UtahStreetConnectivityGuide-FINALAndAppendix5192023.pdf,2026-07-20,"Land-use/transportation street-connectivity guidance. Raw PDF 59MB - link-only per >50MB rule; text extracted (234 pp)."
guidance,Utah Active Transportation Plan Standards,2023-05,,raw/utah_active_transportation_plan_standards_2023.pdf,text/utah_active_transportation_plan_standards_2023.txt,pdf,https://wasatchchoice.org/wp-content/uploads/2023/05/FINALUtahATPStandards5-13-023.pdf,2026-07-20,"Active-transportation planning standards (Wasatch Choice toolbox)."
program_report,WFRC FY2022 Activities and Accomplishments Report,2022,,raw/wfrc_fy2022_accomplishments_report.pdf,text/wfrc_fy2022_accomplishments_report.txt,pdf,https://wfrc.utah.gov/About/ActivitiesAndAccomplishments/WFRC_FY22_Accomplishments_Report_Final.pdf,2026-07-20,"Annual agency activities-and-accomplishments report."
