ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,land_use_category,n_motion_events,linkage_note,minutes_source
2020-11,2020-08-26,2020-08-26,"APPROVE ORDINANCE 2020-11 AMENDING THE MUNICIPAL CODE SECTION 10.04.040 - UNLAWFUL PARKING, AS PRESENTED",meeting_minutes/minutes/2020/2020-08-24/2020-08-26_city-council-meeting-regular.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,Carried unanimously,2020-08-26,5,within_source,,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2020/2020-08-24/2020-08-26_city-council-meeting-regular.md
2020-12,2020-09-23,2020-09-23,"ADOPT ORDINANCE 2020-12, AMENDING THE MUNICIPAL CODE TITLE 7 — PUBLIC UTILITIES AS PRESENTED",meeting_minutes/minutes/2020/2020-09-21/2020-09-23_city-council-meeting-regular.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,Carried with one absent,2020-09-23,5,within_source,,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2020/2020-09-21/2020-09-23_city-council-meeting-regular.md
2020-13,2020-10-14,2020-10-14,"CONTINUE ITEM 8.3 AMENDING THE ZONING CODE - MEDICAL CANNABIS (ORDINANCE 2020-13), TO THE OCTOBER 14 CITY COUNCIL MEETING",meeting_minutes/minutes/2020/2020-10-12/2020-10-14_city-council-meeting-regular.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,yes,Carried unanimously,2020-10-14,3,within_source,zoning_text_amendment,2,"derived from council/PC motion text only; no independent archive retrieved. cited in motions on multiple dates: 2020-09-23 #8 (Council, Carried with one absent); 2020-10-14 #3 (Council, Carried unanimously)",meeting_minutes/minutes/2020/2020-10-12/2020-10-14_city-council-meeting-regular.md
2020-14,2020-10-14,2020-10-14,ADOPT ORDINANCE 2020-14 WITH THE AMENDMENT TO STRIKE OUT IN 8.02.020(A)(8)(A) “AND FINAL HIRING DECISION WILL BE RATIFIED BY THE CITY COUNCIL.”,meeting_minutes/minutes/2020/2020-10-12/2020-10-14_city-council-meeting-regular.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,Carried,2020-10-14,6,within_source,,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2020/2020-10-12/2020-10-14_city-council-meeting-regular.md
2020-15,2020-11-11,2020-11-11,APPROVE ORDINANCE 2020-15 WITH THE AMENDMENT TO REQUIRE A PE (PROFESSIONAL ENGINEER) LICENSE AND CHANGE THE APPROVAL PROCESS TO STATE THAT THE PLANNING COMMISSION PROVIDES A RECOMMENDATION TO THE CITY COUNCIL AND THE CITY COUNCIL WILL BE THE APPROVAL AUTHORITY,meeting_minutes/minutes/2020/2020-11-09/2020-11-11_city-council-meeting-regular.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,Carried unanimously,2020-11-11,4,within_source,,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2020/2020-11-09/2020-11-11_city-council-meeting-regular.md
2020-16,2020-12-09,2020-12-09,"CONTINUE ITEM 8.2 ZTA 15.34.030 ACCESSORY BUILDINGS, 15.12 ESTABLISHMENT OF DISTRICTS AND ZONING TABLES AND 15.34.150 HOME OCCUPATIONS (ORDINANCE 2020-16) TO THE FIRST MEETING IN DECEMBER. MAYOR FULLMER, COUNCILMEMBERS EARNEST, FLAKE, JUDD, AND WELSH",meeting_minutes/minutes/2020/2020-12-07/2020-12-09_city-council-meeting-regular.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,yes,Carried with one absent,2020-12-09,4,within_source,zoning_text_amendment,2,"derived from council/PC motion text only; no independent archive retrieved. cited in motions on multiple dates: 2020-11-11 #6 (Council, Carried unanimously); 2020-12-09 #4 (Council, Carried with one absent)",meeting_minutes/minutes/2020/2020-12-07/2020-12-09_city-council-meeting-regular.md
2021-02,2021-02-10,2021-02-10,AMEND VINEYARD CITY CODE 15-34- 100 AS PROPOSED IN ORDINANCE 2021-02,meeting_minutes/minutes/2021/2021-02-08/2021-02-10_city-council-meeting-regular.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,Carried with two absent,2021-02-10,4,within_source,,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2021/2021-02-08/2021-02-10_city-council-meeting-regular.md
2021-03,2021-06-23,2021-06-23,APPROVE ORDINANCE 2021-03 ACCESSORY DWELLING UNITS,meeting_minutes/minutes/2021/2021-06-21/2021-06-23_city-council-meeting-regular.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,Carried unanimously,2021-06-23,10,within_source,,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2021/2021-06-21/2021-06-23_city-council-meeting-regular.md
2021-05,2021-07-28,2021-07-28,"ADOPT ORDINANCE WITH TABLE 1 EXHIBIT ESTABLISHING LAWFUL SPEED ALONG CITY OF VINEYARD STREETS, ORDINANCE 2021-05",meeting_minutes/minutes/2021/2021-07-26/2021-07-28_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,Carried with two absent,2021-07-28,2,within_source,,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2021/2021-07-26/2021-07-28_city-council-meeting.md
2021-06,2021-08-11,2021-08-11,RECOMMEND APPROVAL OF ORDINANCE 2021-06 TO THE CITY COUNCIL,meeting_minutes/minutes/2021/2021-08-09/2021-08-11_city-council-meeting-regular.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,Carried unanimously,2021-08-11,4,within_source,,2,"derived from council/PC motion text only; no independent archive retrieved. cited in motions on multiple dates: 2021-08-04 #10 (PlanningCommission, Positive recommendation 3:0); 2021-08-11 #4 (Council, Carried unanimously)",meeting_minutes/minutes/2021/2021-08-09/2021-08-11_city-council-meeting-regular.md
2021-07,2021-08-11,2021-08-11,AN ORDINANCE OF THE CITY OF VINEYARD UTAH AMENDING THE VINEYARD ZONING ORDINANCE SECTION 15.34.030 'ACCESSORY BUILDINGS',https://www.utah.gov/pmn/files/748935.pdf,2026-07-05,text,pdftotext -layout (Utah Public Notice signed ordinance PDF),raw/ORD_2021-07_ZC_Amend_Swimming_Pools.pdf,yes,Carried unanimously,2021-08-11,7,high,zoning_text_amendment,2,"independently corroborated by signed ordinance PDF on Utah Public Notice (body 530) AND matched to council motion. cited in motions on multiple dates: 2021-08-04 #7 (PlanningCommission, Positive recommendation 3:0); 2021-08-11 #7 (Council, Carried unanimously)",meeting_minutes/minutes/2021/2021-08-09/2021-08-11_city-council-meeting-regular.md
2021-08,2021-09-08,2021-09-08,RECOMMEND APPROVAL OF ORDINANCE 2021-08 TO THE CITY COUNCIL,meeting_minutes/minutes/2021/2021-09-06/2021-09-08_city-council-meeting-regular.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,Carried unanimously,2021-09-08,2,within_source,,3,"derived from council/PC motion text only; no independent archive retrieved. cited in motions on multiple dates: 2021-08-04 #4 (PlanningCommission, Positive recommendation 3:0); 2021-08-11 #10 (Council, Failed); 2021-09-08 #2 (Council, Carried unanimously)",meeting_minutes/minutes/2021/2021-09-06/2021-09-08_city-council-meeting-regular.md
2021-09,2021-08-11,2021-08-11,AN ORDINANCE OF THE VINEYARD CITY COUNCIL AMENDING MUNICIPAL CODE 2.08.020 CITY MANAGER; POWERS AND DUTIES; OBLIGATIONS,https://www.utah.gov/pmn/files/748941.pdf,2026-07-05,text,pdftotext -layout (Utah Public Notice signed ordinance PDF),raw/ORD_2021-09_MC_Amend_City_Manager_Duties.pdf,no,Carried unanimously,2021-08-11,12,high,,1,independently corroborated by signed ordinance PDF on Utah Public Notice (body 530) AND matched to council motion.,meeting_minutes/minutes/2021/2021-08-09/2021-08-11_city-council-meeting-regular.md
2021-10,2021-08-11,2021-08-11,AN ORDINANCE OF THE VINEYARD CITY COUNCIL AMENDING THE VINEYARD MUNICIPAL CODE CHAPTER 2.14 ELECTIONS,https://www.utah.gov/pmn/files/748943.pdf,2026-07-05,text,pdftotext -layout (Utah Public Notice signed ordinance PDF),raw/ORD_2021-10_MC_Amend_Election_Code.pdf,no,Carried unanimously,2021-08-11,13,high,,1,independently corroborated by signed ordinance PDF on Utah Public Notice (body 530) AND matched to council motion.,meeting_minutes/minutes/2021/2021-08-09/2021-08-11_city-council-meeting-regular.md
2021-11,2021-08-25,2021-08-25,AN ORDINANCE OF THE CITY OF VINEYARD UTAH AMENDING THE VINEYARD SUBDIVISION CODE SECTION 14.06.020 AND SECTION 14.08.030,https://www.utah.gov/pmn/files/753599.pdf,2026-07-05,text,pdftotext -layout (Utah Public Notice signed ordinance PDF),raw/ORD_2021-11_SC_Amend_Subdivision_Applications.pdf,yes,Carried unanimously,2021-08-25,5,high,subdivision,1,independently corroborated by signed ordinance PDF on Utah Public Notice (body 530) AND matched to council motion.,meeting_minutes/minutes/2021/2021-08-23/2021-08-25_city-council-meeting-regular.md
2021-12,2021-09-08,2021-09-08,"AN ORDINANCE OF THE VINEYARD CITY, UTAH ADOPTING CHAPTER 2.30 OF THE CITY'S MUNICIPAL CODE RELATING TO COMMITTEES AND COMMISSION",https://www.utah.gov/pmn/files/758099.pdf,2026-07-05,text,pdftotext -layout (Utah Public Notice signed ordinance PDF),raw/ORD_2021-12_MC_Amend_Admin_Commissions_Committees.pdf,no,Carried unanimously,2021-09-08,4,high,,1,"independently corroborated by signed ordinance PDF on Utah Public Notice (body 530) AND matched to council motion. SOURCE-TYPO OVERRIDE: the 2021-09-08 item-9.3 adopting motion prints ""APPROVE ORDINANCE 2021-02"" (clerk typo); the agenda item header reads ""(Ordinance 2021-12)"" and the signed PMN PDF is ADOPTED 2021-09-08 for Chapter 2.30 Commissions. Re-keyed here for linkage only — the verbatim motion text in all_votes.csv is unchanged.",meeting_minutes/minutes/2021/2021-09-06/2021-09-08_city-council-meeting-regular.md
2021-13,2021-10-13,2021-10-13,ADOPT THE FRANCHISE AGREEMENT WITH QUESTAR GAS COMPANY DBA DOMINION ENERGY UTAH ORDINANCE 2021-13 AS PRESENTED,meeting_minutes/minutes/2021/2021-10-11/2021-10-13_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,Carried with two absent,2021-10-13,7,within_source,,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2021/2021-10-11/2021-10-13_city-council-meeting.md
2021-14,2021-10-13,2021-10-13,ADOPT ZONING TEXT AMENDMENTS ORDINANCE 2021-14 WITH THE FOLLOWING MODIFICATION: THAT WE INSERT A SECTION TWO JUST BELOW SECTION ONE THAT READS: THE TEXT AMENDMENT MADE BY THIS ORDINANCE ALLOWS FOR THE MAXIMUM RESIDENTIAL DENSITY TO BE INCREASED THROUGH A DEVELOPMENT AGREEMENT. IF THE CITY DOES NO...,meeting_minutes/minutes/2021/2021-10-11/2021-10-13_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,yes,Carried with two absent,2021-10-13,6,within_source,development_agreement,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2021/2021-10-11/2021-10-13_city-council-meeting.md
2022-04,2022-04-13,2022-04-13,"APPROVE ORDINANCE 2022- 04, UPDATING VINEYARD CITY CODE SECTION 8.16.040 UNIFORM FIRE CODE AS PRESENTED",meeting_minutes/minutes/2022/2022-04-11/2022-04-13_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,Carried unanimously,2022-04-13,5,within_source,,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2022/2022-04-11/2022-04-13_city-council-meeting.md
2022-05,2022-04-27,2022-04-27,ADOPT ORDINANCE 2022-05 MUNICIPAL CODE TOWING REGULATIONS AMENDMENT AS PRESENTED WITH THE ADJUSTMENT OF 100% OF THE POSTED RATE SCHEDULE FORTHE BOOTING FEE,meeting_minutes/minutes/2022/2022-04-25/2022-04-27_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,Carried unanimously,2022-04-27,2,within_source,,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2022/2022-04-25/2022-04-27_city-council-meeting.md
2022-06,2022-05-11,2022-05-11,APPROVE ORDINANCE 2022-06 ADDING SOUTH HOLDAWAY ROAD TO TABLE 1 OF THE CITY’S TRANSPORTATION CODE ESTABLISHING THE MAXIMUM SPEED LIMIT AT 20 MILES-PER-HOUR AND ALLOCATING FUNDING FOR CITY STAFF TO INSTALL A STOP SIGN AT THE INTERSECTION OF SOUTH HOLDAWAY ROAD AND SOUTH 200 EAST,meeting_minutes/minutes/2022/2022-05-09/2022-05-11_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,Carried unanimously,2022-05-11,6,within_source,,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2022/2022-05-09/2022-05-11_city-council-meeting.md
2022-07,2022-06-15,2022-06-15,"ADOPT ORDINANCE 2022-07, ADDING CHAPTER 13.16 PUBLIC LIBRARY, AS PRESENTED",meeting_minutes/minutes/2022/2022-06-13/2022-06-15_city-council-special-session.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,Carried unanimously,2022-06-15,7,within_source,,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2022/2022-06-13/2022-06-15_city-council-special-session.md
2022-08,2022-06-15,2022-06-15,"ADOPT ORDINANCE 2022-08, AMENDING CHAPTER 5.14 ITINERANT MERCHANTS, AS PRESENTED",meeting_minutes/minutes/2022/2022-06-13/2022-06-15_city-council-special-session.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,Carried unanimously,2022-06-15,8,within_source,,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2022/2022-06-13/2022-06-15_city-council-special-session.md
2022-09,2022-07-13,2022-07-13,"APPROVE ORDINANCE 2022-09 GENEVA ROAD MIXED USE DISTRICT AS PRESENTED IN THE JULY 13, 2022 DRAFT",meeting_minutes/minutes/2022/2022-07-11/2022-07-13_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,Carried unanimously,2022-07-13,5,within_source,,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2022/2022-07-11/2022-07-13_city-council-meeting.md
2022-11,2022-06-29,2022-06-29,"ADOPT ORDINANCE 2022-11, THE FIREWORKS RESTRICTIONS AND PERMITTED AREAS, WITH THE NOTED CHANGES",meeting_minutes/minutes/2022/2022-06-27/2022-06-29_city-council-special-session.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,Carried unanimously,2022-06-29,19,within_source,,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2022/2022-06-27/2022-06-29_city-council-special-session.md
2022-12,2022-07-27,2022-07-27,"ADOPT ORDINANCE 2022-12 AS PRESENTED BY STAFF ON JULY 27, 2022",meeting_minutes/minutes/2022/2022-07-25/2022-07-27_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,Carried unanimously,2022-07-27,4,within_source,,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2022/2022-07-25/2022-07-27_city-council-meeting.md
2022-13,2022-07-27,2022-07-27,OFFER A POSITIVE RECOMMENDATION REGARDING THE WATERFRONT MASTERPLAN TO THE CITY COUNCIL (ORDINANCE 2022-13),meeting_minutes/minutes/2022/2022-07-25/2022-07-27_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,Carried unanimously,2022-07-27,7,within_source,,2,"derived from council/PC motion text only; no independent archive retrieved. cited in motions on multiple dates: 2022-07-20 #3 (PlanningCommission, Positive recommendation 4:0); 2022-07-27 #7 (Council, Carried unanimously)",meeting_minutes/minutes/2022/2022-07-25/2022-07-27_city-council-meeting.md
2022-14,2022-08-24,2022-08-24,RECOMMEND SENDING TO THE CITY COUNCIL FOR APPROVAL OF ORDINANCE 2022-14 ADJUSTING THE RDA SERVICE AREA SEWER IMPACT FEE FROM $0 TO $539 PER ERU IN ADDITION TO THE PAST THROUGH RATE AT THE CURRENT TSSD RATE. RECOMMENDATION BASED ON THE PEOPLE THAT ARE PUTTING IN AN IFRASTRUCTURE ARE NOT BEING PAYI...,meeting_minutes/minutes/2022/2022-08-22/2022-08-24_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,Carried unanimously,2022-08-24,6,within_source,impact_fee,3,"derived from council/PC motion text only; no independent archive retrieved. cited in motions on multiple dates: 2022-08-17 #5 (PlanningCommission, Positive recommendation 5:0); 2022-08-24 #4 (Council, Carried unanimously); 2022-08-24 #6 (Council, Carried unanimously)",meeting_minutes/minutes/2022/2022-08-22/2022-08-24_city-council-meeting.md
2022-16,2022-09-07,2022-09-07,"RECOMMEND DENYING ORDINANCE 2022- 16 TO MODIFY THE REGIONAL COMMERCIAL DISTRICT, CHANGING CARWASH FACILITIES TO PERMITTED USE, REASON BEING TO NOT CHANGE IT FOR ALL OF REGIONAL COMMERCIAL AND RECOMMEND THE APPLICANT PURSUE A PATH TO REZONE THIS PROPERTY SO ITS PERMITTED USE DOESN’T IMPACT SUCH A...",planning_commission/minutes/2022/2022-09-05/2022-09-07_planning-commission-meeting.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,yes,Negative recommendation 5:0,2022-09-07,6,within_source,zone_change,1,derived from council/PC motion text only; no independent archive retrieved. NOTE: no PASSING council adoption motion cites this number (chosen motion is a non-adopting/negative action) -> NOT confirmed adopted in the vote record.,planning_commission/minutes/2022/2022-09-05/2022-09-07_planning-commission-meeting.md
2022-17,2022-09-14,2022-09-14,"APPROVE ORDINANCE 2022-17 AS CURRENTLY WRITTEN. Councilmember Welsh Cristy asked about subsidized housing, which was strategy N. Mr. Amaya Perez listed the strategies included in the Ordinance: E, F, H, L, N, O, Q, V",meeting_minutes/minutes/2022/2022-09-12/2022-09-14_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,Carried unanimously,2022-09-14,8,within_source,,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2022/2022-09-12/2022-09-14_city-council-meeting.md
2022-18,2022-10-26,2022-10-26,RECOMMEND APPROVAL OF ORDINANCE 2022-18 ACCESSORY DWELLING UNITS,meeting_minutes/minutes/2022/2022-10-24/2022-10-26_city-council-meeting-joint-work-and-regular-session.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,Carried with one absent,2022-10-26,9,within_source,,2,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2022/2022-10-24/2022-10-26_city-council-meeting-joint-work-and-regular-session.md
2022-19,2022-10-26,2022-10-26,"ADOPT ORDINANCE 2022-19 DOWNTOWN VINEYARD SPECIAL PURPOSE DISTRICT, WITH THE FOLLOWING MODIFICATIONS AS STATED IN THE RECORD: 1. 3.08.010(1) Use section: a. Single-household detached uses are to be listed as a permitted use in the Downtown Station, Downtown Mixed-Use, Village General, and Lakefro...",meeting_minutes/minutes/2022/2022-10-24/2022-10-26_city-council-meeting-joint-work-and-regular-session.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,Carried with one absent,2022-10-26,10,within_source,,2,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2022/2022-10-24/2022-10-26_city-council-meeting-joint-work-and-regular-session.md
2022-20,2022-12-14,2022-12-14,"ADOPT ORDINANCE 2022- 20, ADDING A COMMUNITIES THAT CARE COMMISSION TO THE MUNICIPAL CODE SECTION 2.30.030",meeting_minutes/minutes/2022/2022-12-12/2022-12-14_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,Carried unanimously,2022-12-14,5,within_source,,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2022/2022-12-12/2022-12-14_city-council-meeting.md
