meeting_date,file_id,filename,notice_date,meeting_type,url,provenance
2024-03-04,1118615,240304_KearnsTPC_MinutesApproved.pdf,2024/03/04,Regular,https://www.utah.gov/pmn/files/1118615.pdf,
2024-06-03,1167871,240603_KearnsPC_MinutesApproved.pdf,2024/06/03,Regular,https://www.utah.gov/pmn/files/1167871.pdf,
2024-09-09,1203053,240909_KearnsPC_MinutesApproved.pdf,2024/09/09,Regular,https://www.utah.gov/pmn/files/1203053.pdf,
2024-12-02,1240605,241202_KearnsPC_MinutesApproved.pdf,2024/12/02,Regular,https://www.utah.gov/pmn/files/1240605.pdf,
2025-03-03,1267901,250303_KearnsPC_MinutesApproved.pdf,2025/03/03,Regular,https://www.utah.gov/pmn/files/1267901.pdf,
2025-05-05,1304457,250505_KearnsPC_MinutesApproved.pdf,2025/05/05,Regular,https://www.utah.gov/pmn/files/1304457.pdf,
2025-07-07,1304461,250707_KearnsPC_MinutesApproved.pdf,2025/07/07,Regular,https://www.utah.gov/pmn/files/1304461.pdf,
2025-10-06,1344769,251006_KearnsPC_MinutesApproved.pdf,2025/10/06,Regular,https://www.utah.gov/pmn/files/1344769.pdf,
2025-11-03,1414927,251103_KearnsPC_MinutesApproved.pdf,2025/11/03,Regular,https://www.utah.gov/pmn/files/1414927.pdf,
2025-12-01,1414931,251201_KearnsPC_MinutesApproved.pdf,2025/12/01,Regular,https://www.utah.gov/pmn/files/1414931.pdf,
2026-04-06,1441997,260406_KearnsPC_MinutesApproved.pdf,2026/04/06,Regular,https://www.utah.gov/pmn/files/1441997.pdf,
2026-06-01,1458161,260601_KearnsPC_MinutesApproved.pdf,2026/06/01,Regular,https://www.utah.gov/pmn/files/1458161.pdf,
