date,year,title,slug,body,path,source,source_url,notice_url,pmn_body_id,pmn_file_id,retrieved_date,format,extraction_method,text_path,notice_id,duplicate_file_ids,chars,orig_fname,notes
2021-05-25,2021,City Council Meeting,city-council,council,raw/council_2021-05-25_730783.pdf,pmn,https://www.utah.gov/pmn/files/730783.pdf,https://www.utah.gov/pmn/sitemap/notice/675271.html,,730783,2026-07-05,text,pdftotext-layout,text/council_2021-05-25_730783.txt,675271,,24996,05.25.2021 ccmin.pdf,
2021-06-15,2021,City Council Meeting,city-council,council,raw/council_2021-06-15_752943.pdf,pmn,https://www.utah.gov/pmn/files/752943.pdf,https://www.utah.gov/pmn/sitemap/notice/679525.html,,752943,2026-07-05,text,pdftotext-layout,text/council_2021-06-15_752943.txt,679525,,17510,06.15.2021 ccmin.pdf,
2021-06-29,2021,City Council Meeting,city-council,council,raw/council_2021-06-29_752945.pdf,pmn,https://www.utah.gov/pmn/files/752945.pdf,https://www.utah.gov/pmn/sitemap/notice/684739.html,,752945,2026-07-05,text,pdftotext-layout,text/council_2021-06-29_752945.txt,684739,,21222,06.29.2021 ccmin.pdf,
2026-05-12,2026,City Council Meeting,city-council,council,raw/council_2026-05-12_1454777.pdf,pmn,https://www.utah.gov/pmn/files/1454777.pdf,https://www.utah.gov/pmn/sitemap/notice/1076589.html,,1454777,2026-07-05,scanned,ocr-tesseract,text/council_2026-05-12_1454777.txt,1076589,,102014,05.12.2026 CC minutes.pdf,"council work-session + meeting packet scan (40pp); text-retained for search, NOT promoted (council audited-layer backfill out of scope for this RDA/MBA pass)"
2026-05-26,2026,City Council Meeting,city-council,council,raw/council_2026-05-26_1454779.pdf,pmn,https://www.utah.gov/pmn/files/1454779.pdf,https://www.utah.gov/pmn/sitemap/notice/1080917.html,,1454779,2026-07-05,scanned,ocr-tesseract,text/council_2026-05-26_1454779.txt,1080917,,76743,05.26.2026 CC minutes.pdf,"council work-session + meeting packet scan (24pp); text-retained for search, NOT promoted (council audited-layer backfill out of scope for this RDA/MBA pass)"
2022-06-14,2022,Municipal Building Authority,mba,mba,raw/mba_2022-06-14_976307.pdf,pmn,https://www.utah.gov/pmn/files/976307.pdf,https://www.utah.gov/pmn/sitemap/notice/832011.html,,976307,2026-07-05,scanned,ocr-tesseract,text/mba_2022-06-14_976307.txt,832011,,1845,6.14.2023 MBA approved minutes.pdf,
2023-05-09,2023,Municipal Building Authority,mba,mba,raw/mba_2023-05-09_991103.pdf,pmn,https://www.utah.gov/pmn/files/991103.pdf,https://www.utah.gov/pmn/sitemap/notice/840973.html,,991103,2026-07-05,scanned,ocr-tesseract,text/mba_2023-05-09_991103.txt,840973,,1256,5.9.2023 approved MBA minutes.pdf,
2023-06-13,2023,Municipal Building Authority,mba,mba,raw/mba_2023-06-13_1138661.pdf,pmn,https://www.utah.gov/pmn/files/1138661.pdf,https://www.utah.gov/pmn/sitemap/notice/922883.html,,1138661,2026-07-05,scanned,ocr-tesseract,text/mba_2023-06-13_1138661.txt,922883,,1304,06.13.2023 MBA approved minutes.pdf,
2024-06-18,2024,Municipal Building Authority,mba,mba,raw/mba_2024-06-18_1286023.pdf,pmn,https://www.utah.gov/pmn/files/1286023.pdf,https://www.utah.gov/pmn/sitemap/notice/922881.html,,1286023,2026-07-05,scanned,ocr-tesseract,text/mba_2024-06-18_1286023.txt,922881,,1253,06.18.2024 - Approval on Minutes Municipal Building Authority.pdf,
2025-06-10,2025,Municipal Building Authority,mba,mba,raw/mba_2025-06-10_1311973.docx,pmn,https://www.utah.gov/pmn/files/1311973.docx,https://www.utah.gov/pmn/sitemap/notice/1003075.html,,1311973,2026-07-05,text,docx-xml,text/mba_2025-06-10_1311973.txt,1003075,1454771,1288,06.10.2025 MBA DRAFT Minutes.docx,"approved-scan alt file 1454771 (raw/mba_2026-06-10_1454771.pdf + text/) - PMN mislabeled it 2026-06-10 but header/footer say June 10, 2025, approved 2026-06-26, same notice 1003075; see pmn_exceptions"
2021-02-03,2021,Planning Commission,planning-commission,pc,raw/pc_2021-02-03_688229.pdf,pmn,https://www.utah.gov/pmn/files/688229.pdf,https://www.utah.gov/pmn/sitemap/notice/654451.html,,688229,2026-07-05,text,pdftotext-layout,text/pc_2021-02-03_688229.txt,654451,,44890,02.3.2021--pcmin.pdf,
2021-05-05,2021,Planning Commission,planning-commission,pc,raw/pc_2021-05-05_726255.pdf,pmn,https://www.utah.gov/pmn/files/726255.pdf,https://www.utah.gov/pmn/sitemap/notice/673681.html,,726255,2026-07-05,text,pdftotext-layout,text/pc_2021-05-05_726255.txt,673681,,15238,05.05.2021--PC min.pdf,
2024-06-19,2024,Planning Commission,planning-commission,pc,raw/pc_2024-06-19_1311597.pdf,pmn,https://www.utah.gov/pmn/files/1311597.pdf,https://www.utah.gov/pmn/sitemap/notice/919281.html,,1311597,2026-07-05,text,pdftotext-layout,text/pc_2024-06-19_1311597.txt,919281,,7104,06.19.2024 PC minutes.pdf,
2024-07-03,2024,Planning Commission,planning-commission,pc,raw/pc_2024-07-03_1311599.pdf,pmn,https://www.utah.gov/pmn/files/1311599.pdf,https://www.utah.gov/pmn/sitemap/notice/922519.html,,1311599,2026-07-05,text,pdftotext-layout,text/pc_2024-07-03_1311599.txt,922519,,11153,07.03.2024 PC minutes.pdf,
2020-05-12,2020,Redevelopment Agency,rda,rda,raw/rda_2020-05-12_611843.pdf,pmn,https://www.utah.gov/pmn/files/611843.pdf,https://www.utah.gov/pmn/sitemap/notice/604647.html,,611843,2026-07-05,scanned,ocr-tesseract,text/rda_2020-05-12_611843.txt,604647,,2329,05.12.20-RDAmin.pdf,
2020-12-08,2020,Redevelopment Agency,rda,rda,raw/rda_2020-12-08_701015.pdf,pmn,https://www.utah.gov/pmn/files/701015.pdf,https://www.utah.gov/pmn/sitemap/notice/645467.html,,701015,2026-07-05,text,pdftotext-layout,text/rda_2020-12-08_701015.txt,645467,,3467,12.08.2020-RDAmin.pdf,
2021-06-15,2021,Redevelopment Agency,rda,rda,raw/rda_2021-06-15_846743.pdf,pmn,https://www.utah.gov/pmn/files/846743.pdf,https://www.utah.gov/pmn/sitemap/notice/679525.html,,846743,2026-07-05,text,pdftotext-layout,text/rda_2021-06-15_846743.txt,679525,,3183,06.15.2021-RDAmin.pdf,
2022-05-10,2022,Redevelopment Agency,rda,rda,raw/rda_2022-05-10_860081.pdf,pmn,https://www.utah.gov/pmn/files/860081.pdf,https://www.utah.gov/pmn/sitemap/notice/752485.html,,860081,2026-07-05,text,pdftotext-layout,text/rda_2022-05-10_860081.txt,752485,860073,3366,05.10.2022--RDAmin.pdf,alt copies: raw/rda_2022-05-10_860073.pdf
2023-05-09,2023,Redevelopment Agency,rda,rda,raw/rda_2023-05-09_991111.pdf,pmn,https://www.utah.gov/pmn/files/991111.pdf,https://www.utah.gov/pmn/sitemap/notice/840979.html,,991111,2026-07-05,scanned,ocr-tesseract,text/rda_2023-05-09_991111.txt,840979,,1982,5.9.2023 approved RDA minutes.pdf,
2023-06-13,2023,Redevelopment Agency,rda,rda,raw/rda_2023-06-13_1097627.pdf,pmn,https://www.utah.gov/pmn/files/1097627.pdf,https://www.utah.gov/pmn/sitemap/notice/832015.html,,1097627,2026-07-05,scanned,ocr-tesseract,text/rda_2023-06-13_1097627.txt,832015,,2205,06.13.2024 RDA minutes.pdf,
2024-03-12,2024,Redevelopment Agency,rda,rda,raw/rda_2024-03-12_1123209.pdf,pmn,https://www.utah.gov/pmn/files/1123209.pdf,https://www.utah.gov/pmn/sitemap/notice/898663.html,,1123209,2026-07-05,scanned,ocr-tesseract,text/rda_2024-03-12_1123209.txt,898663,,5253,03.12.2024 RDA approved mins.pdf,
2024-05-14,2024,Redevelopment Agency,rda,rda,raw/rda_2024-05-14_1138627.pdf,pmn,https://www.utah.gov/pmn/files/1138627.pdf,https://www.utah.gov/pmn/sitemap/notice/914429.html,,1138627,2026-07-05,text,docx-xml,text/rda_2024-05-14_1138627.txt,914429,1133405,1573,05.14.2024 RDA approved minutes.pdf,alt copies: raw/rda_2024-05-14_1133405.docx; text extracted from born-digital alt docx 1133405 (cleaner than scanned PDF); RDA 2024-05-14 already audited in meeting_minutes (provenance=minutes) - retained for search only
2024-06-18,2024,Redevelopment Agency,rda,rda,raw/rda_2024-06-18_1278843.pdf,pmn,https://www.utah.gov/pmn/files/1278843.pdf,https://www.utah.gov/pmn/sitemap/notice/922877.html,,1278843,2026-07-05,scanned,ocr-tesseract,text/rda_2024-06-18_1278843.txt,922877,1272935,2261,06.18.2024 RDA minutes.pdf,alt copies: raw/rda_2024-06-18_1272935.pdf
2025-05-13,2025,Redevelopment Agency,rda,rda,raw/rda_2025-05-13_1286011.pdf,pmn,https://www.utah.gov/pmn/files/1286011.pdf,https://www.utah.gov/pmn/sitemap/notice/990681.html,,1286011,2026-07-05,scanned,ocr-tesseract,text/rda_2025-05-13_1286011.txt,990681,,2949,Approval of Meeting Minutes Redevelopment Agency.pdf,
2025-06-10,2025,Redevelopment Agency,rda,rda,raw/rda_2025-06-10_1364283.pdf,pmn,https://www.utah.gov/pmn/files/1364283.pdf,https://www.utah.gov/pmn/sitemap/notice/998471.html,,1364283,2026-07-05,scanned,ocr-tesseract,text/rda_2025-06-10_1364283.txt,998471,,3191,06.10.2025 RDA mins.pdf,
2025-12-09,2025,Redevelopment Agency,rda,rda,raw/rda_2025-12-09_1433761.pdf,pmn,https://www.utah.gov/pmn/files/1433761.pdf,https://www.utah.gov/pmn/sitemap/notice/1044893.html,,1433761,2026-07-05,scanned,ocr-tesseract,text/rda_2025-12-09_1433761.txt,1044893,1374513,3925,12.09.2025 RDA mins.pdf,alt copies: raw/rda_2025-12-09_1374513.pdf
2026-05-12,2026,Redevelopment Agency,rda,rda,raw/rda_2026-05-12_1454773.pdf,pmn,https://www.utah.gov/pmn/files/1454773.pdf,https://www.utah.gov/pmn/sitemap/notice/1080973.html,,1454773,2026-07-05,scanned,ocr-tesseract,text/rda_2026-05-12_1454773.txt,1080973,1444299,4231,05.12.2026 RDA minutes.pdf,alt copies: raw/rda_2026-05-12_1444299.docx
2021-06-15,2021,Special Service Lighting District,ssld,ssld,raw/ssld_2021-06-15_846745.pdf,pmn,https://www.utah.gov/pmn/files/846745.pdf,https://www.utah.gov/pmn/sitemap/notice/679525.html,,846745,2026-07-05,text,pdftotext-layout,text/ssld_2021-06-15_846745.txt,679525,,3171,06.15.2021.SSLDmin.pdf,
