year,election,filename,doc_type,grain,used,url,bytes,sha256,retrieved,notes
2020,presidential primary,2020_Presidential_Primary_PDF_2cc741ca9c.pdf,official summary (Electionware),countywide,reconciliation,https://vote.utahcounty.gov/cms/uploads/2020_Presidential_Primary_PDF_2cc741ca9c.pdf,42998,8150c1b74cd05aeca6ab05519f0bbc03e38159a212b4b8c307a12ebb7ee39bd0,2026-07-20,23/23.
2020,presidential primary,20_P_2020_Presidential_Primary_SOVC_final_SUPPRESSED_472420ab89.csv,SOVC wide-matrix CSV,precinct,parsed,https://vote.utahcounty.gov/cms/uploads/20_P_2020_Presidential_Primary_SOVC_final_SUPPRESSED_472420ab89.csv,36406,835790c9dac1c99019e0616b90f0177e8aa7bf28ce2af407a40c3cc7b2ef202b,2026-07-20,Party-registration + party-ballot meta columns.
2020,regular primary,2020_Primary_PDF_b759ce25d5.pdf,official summary (Electionware),countywide,reconciliation,https://vote.utahcounty.gov/cms/uploads/2020_Primary_PDF_b759ce25d5.pdf,53808,9cd8d7f3c2dccffd628699a2efd623aeb71398def66945986b0737fc7b6d5edb,2026-07-20,26/26.
2020,regular primary,2020_Primary_SOVC_suppressed_a96f91f7cb.CSV,SOVC wide-matrix CSV,precinct,parsed,https://vote.utahcounty.gov/cms/uploads/2020_Primary_SOVC_suppressed_a96f91f7cb.CSV,27929,7dfce0f6fd57d8736f67289c66ab20ec69fc1d56cc14ec42e32b68efe202ec36,2026-07-20,REP-only ballot; BALLOTS CAST - REPUBLICAN used as times_cast.
2021,municipal general,2021_General_PDF_4d36475691.pdf,official summary (Electionware),countywide,reconciliation + RCV finals,https://vote.utahcounty.gov/cms/uploads/2021_General_PDF_4d36475691.pdf,594416,13d0d1150b7161241cda2d14a462585cbf67bd887a6c7912c335ade6bc1c24ab,2026-07-20,"84/84 on non-RCV contests; prints RCV FINAL-ROUND blocks ('One Seat'/'Two Seats') for Elk Ridge Council, Genola Mayor, Lehi Mayor."
2021,municipal general,21_G_Countywide_SOVC_suppressed_1b85ad469d.csv,SOVC wide-matrix CSV,precinct,parsed,https://vote.utahcounty.gov/cms/uploads/21_G_Countywide_SOVC_suppressed_1b85ad469d.csv,191180,3e851a941105e7694282a97ed8153bb57b82b54fabeb71b5b47f3157142bd03d,2026-07-20,Carries the RCV cities as RANK-POSITION contests ('Lehi City Council 1st..9th Choice') — first-choice tallies only; finals in rcv/.
2021,municipal primary,2021_Primary_PDF_e05a1d3833.pdf,UNOFFICIAL interim summary,countywide,reconciliation,https://vote.utahcounty.gov/cms/uploads/2021_Primary_PDF_e05a1d3833.pdf,83857,4b51ddb3be3f89678ad4e7fa44f043de4b294eb59156646af8b32e8f6ad2007e,2026-07-20,"In-body 'UNOFFICIAL RESULTS' (generated 8/16/2021, pre-canvass) — runs uniformly low vs the certified SOVC (73 of 76 candidates; direction verified)."
2021,municipal primary,21_PP_2021_Primary_Statement_of_Votes_Cast_SUPPRESSED_bd47a35ddf.csv,SOVC wide-matrix CSV,precinct,parsed,https://vote.utahcounty.gov/cms/uploads/21_PP_2021_Primary_Statement_of_Votes_Cast_SUPPRESSED_bd47a35ddf.csv,35719,9b3176480e2d0e45438e9e62fdbe215ba34112800fb3221ca84c5f612e6ce071,2026-07-20,"Filename says '21_PP' but in-body it is the 2021 MUNICIPAL primary SOVC (Aug 10, 2021)."
2022,general,2022_General_voting_results_e2f3265643.pdf,official summary (Electionware),countywide,catalog-only,https://vote.utahcounty.gov/cms/uploads/2022_General_voting_results_e2f3265643.pdf,110461,32acde54998b89d92bed3cf4deb0b0cc92d78a9dd4a70662357e346ff24ffdf5,2026-07-20,Summary counterpart to the parsed 2022 SOVC.
2022,general,22_G_sovc_SUPPRESSED_c752b2b805.csv,SOVC wide-matrix CSV,precinct,parsed,https://vote.utahcounty.gov/cms/uploads/22_G_sovc_SUPPRESSED_c752b2b805.csv,157551,12dc0e822e3c9e3183b44baaadb6545791bdc5de7fcc3fb8c04b1ab017e66180,2026-07-20,The official suppressed canvass.
2022,general,22_G_sovc_SUPPRESSED_c752b2b805_f35db6f9e1.csv,SOVC wide-matrix CSV (duplicate),precinct,catalog-only,https://vote.utahcounty.gov/cms/uploads/22_G_sovc_SUPPRESSED_c752b2b805_f35db6f9e1.csv,157551,12dc0e822e3c9e3183b44baaadb6545791bdc5de7fcc3fb8c04b1ab017e66180,2026-07-20,Byte-identical duplicate upload of 22_G_sovc_SUPPRESSED_c752b2b805.csv (sha256 verified).
2022,regular primary,2022_Primary_PDF_1c718e2068.pdf,official summary (Electionware),countywide,parsed,https://vote.utahcounty.gov/cms/uploads/2022_Primary_PDF_1c718e2068.pdf,31762,719cc46e357f99f3713a1b0e2f516c0781d5cec112d5aa1ea32a29c484f78e49,2026-07-20,Only 2022 primary source (no SOVC published).
2023,(mislabeled),2023_General_SOVC_6c3a0e6491.csv,MISLABELED upload — actually the 2022 general SOVC UNSUPPRESSED,precinct,quarantined,https://vote.utahcounty.gov/cms/uploads/2023_General_SOVC_6c3a0e6491.csv,156961,a6bafdd6e65d5871d9958e2c58a3aa8216b975f8b9b9593f8ec13db482c1eed8,2026-07-20,"Linked as '2023 General SOVC' on the 2024-era results page (recovered via Wayback; file still live). In-body it is the 2022 GENERAL SOVC with every '-'-suppressed cell of the official file filled in (7,884 cells) — a county publication error. NOT parsed: suppression is honored from the official 22_G file; retained verbatim for the acquisition record."
2023,municipal general,2023_General_voting_results_be47c5636c.pdf,official summary (Electionware),countywide,parsed,https://vote.utahcounty.gov/cms/uploads/2023_General_voting_results_be47c5636c.pdf,80967,e0a8656325c2948d24a5ef400425a0fd5a9c3e50e9fe3fe5caa4482b2bbcd657,2026-07-20,"The ONLY 2023 general county publication (contest grain; no precinct SOVC). The 5 RCV cities (Lehi, Vineyard, Payson, Genola, Woodland Hills) are ENTIRELY ABSENT — see rcv/."
2023,municipal primary,2023_Primary_voting_results_30a0ba993f.pdf,official summary (Electionware),countywide,reconciliation,https://vote.utahcounty.gov/cms/uploads/2023_Primary_voting_results_30a0ba993f.pdf,37731,b2e91513c6e11142085d8f9af1b6d7460a2968078f30c3019954f6b086282176,2026-07-20,57/57.
2023,municipal primary,23_P_SOV_Cs_suppressed_1907fb1cba.pdf,SOVC precinct-summary PDF (born-digital),precinct,parsed,https://vote.utahcounty.gov/cms/uploads/23_P_SOV_Cs_suppressed_1907fb1cba.pdf,478357,01de6146393bd05d09ea0da9d9265a24d4da46d31bbf5e23dbede86caec80e7e,2026-07-20,"215pp Electionware Precinct Summary; 7 cities; the Lehi RCV primary is ABSENT (tabulated separately, see rcv/)."
2024,general,2024_Gen_Board_of_Commissioners_Certification_b53d8a2f70.pdf,board of canvassers certification,n/a,catalog-only,https://vote.utahcounty.gov/cms/uploads/2024_Gen_Board_of_Commissioners_Certification_b53d8a2f70.pdf,154012,52c4db2de7ef5a3aef5f54cc8646a47da2de9d97fa81199c655ccf752052f69f,2026-07-20,
2024,general,2024_General_SOVC_FINAL_9d0c1e4b30.csv,SOVC wide-matrix CSV,precinct,parsed,https://vote.utahcounty.gov/cms/uploads/2024_General_SOVC_FINAL_9d0c1e4b30.csv,349775,7233b9f22bc0bc896e13e0affa54afa1410325c65d0d5bd5c4d36d342901d436,2026-07-20,
2024,general,Certified_Countywide_Summary_Canvass_d6c40a9777.pdf,certified summary canvass,countywide,catalog-only,https://vote.utahcounty.gov/cms/uploads/Certified_Countywide_Summary_Canvass_d6c40a9777.pdf,32979,0cea9b475099ba1954c8b3449368e290fd1d9a20810dcab9bccd5b46ae918d93,2026-07-20,
2024,general,Summary_Results_2e62b32cf6.pdf,official summary (duplicate),countywide,catalog-only,https://vote.utahcounty.gov/cms/uploads/Summary_Results_2e62b32cf6.pdf,146657,400a3c0df844d0b72144b49e4614f9773d8fd6238c28346d1f317c979eedf04e,2026-07-20,Byte-identical to Summary_Results_FINAL_ec1e91cd43.pdf.
2024,general,Summary_Results_FINAL_ec1e91cd43.pdf,official summary (Electionware),countywide,reconciliation,https://vote.utahcounty.gov/cms/uploads/Summary_Results_FINAL_ec1e91cd43.pdf,146657,400a3c0df844d0b72144b49e4614f9773d8fd6238c28346d1f317c979eedf04e,2026-07-20,121/121 (wrapped-name + write-in itemizations aside).
2024,presidential primary,2024_Presidential_Primary_PDF_2f4f1b19d1.pdf,summary PDF,countywide,catalog-only,https://vote.utahcounty.gov/cms/uploads/2024_Presidential_Primary_PDF_2f4f1b19d1.pdf,6111,5902de2271fa96ad5b5bd8679b686bbd6bf36223caa02a9acb2e95698ce74fc3,2026-07-20,
2024,presidential primary,24_PP_sovc_suppressed_24_Prez_Primary_24488c59cf.csv,SOVC wide-matrix CSV,precinct,parsed,https://vote.utahcounty.gov/cms/uploads/24_PP_sovc_suppressed_24_Prez_Primary_24488c59cf.csv,15003,720a181f0c93c2df0c48df238fa211786af847dafae6d1f68fb643363df0314c,2026-07-20,Small precincts fully '-'-suppressed.
2024,regular primary,24_P_SOVC_suppressed_small_precincts_41eef5de38.csv,SOVC wide-matrix CSV,precinct,parsed,https://vote.utahcounty.gov/cms/uploads/24_P_SOVC_suppressed_small_precincts_41eef5de38.csv,53876,4ae1288275a6707dbf91ea00e627f499fd9a1c02f39b29e359503f53fc5d16b1,2026-07-20,Suppression by PRECINCT MERGING ('AF301 & FED301') — merged labels kept verbatim.
2025,municipal general,11_18_25_Ballot_Stats_0cf412d83d.pdf,ballot statistics,n/a,catalog-only,https://vote.utahcounty.gov/cms/uploads/11_18_25_Ballot_Stats_0cf412d83d.pdf,73453,03145508f97a97f005c7064292285c8a61396a5ec061551348733f79225cfeb2,2026-07-20,
2025,municipal general,City_Detail_Canvass_Stats_47d88075dd.pdf,canvass statistics (city detail),n/a,catalog-only,https://vote.utahcounty.gov/cms/uploads/City_Detail_Canvass_Stats_47d88075dd.pdf,152841,a4895b5a6fa2f9d995616f6ed33aff25a9cc9ecc9121a3045503e77313f0066a,2026-07-20,
2025,municipal general,OFFICIAL_Countywide_Results_11_17_f09d22f26a.pdf,official summary (Electionware),countywide,reconciliation,https://vote.utahcounty.gov/cms/uploads/OFFICIAL_Countywide_Results_11_17_f09d22f26a.pdf,154514,d3e8a8419343ff5d9b908dc575a0caac6b3e8885e80d90529e99ed32906ee640,2026-07-20,168/168.
2025,municipal general,OFFICIAL_Standard_Canvass_Statistics_Report_G25_3e16adb253.pdf,canvass statistics,n/a,catalog-only,https://vote.utahcounty.gov/cms/uploads/OFFICIAL_Standard_Canvass_Statistics_Report_G25_3e16adb253.pdf,66092,2b878947fe205dce38b84c7abb164126ca3dde6d6e75ebd7f0a8f1950c60b75c,2026-07-20,
2025,municipal general,Public_CVR_b925043b8b.xlsx,public Cast Vote Record (ballot level),ballot,catalog-only,https://vote.utahcounty.gov/cms/uploads/Public_CVR_b925043b8b.xlsx,3416842,6df4e7c0db70b459a832627cad5678bffe5b23e65319bc27ec5c6c13ff1b0bf5,2026-07-20,Ballot-level CVR — future loader (like SLCo's 2025 CVR).
2025,municipal general,SOVC_Simple_Redacted_7a5eddcaf2.csv,SOVC wide-matrix CSV,precinct,parsed,https://vote.utahcounty.gov/cms/uploads/SOVC_Simple_Redacted_7a5eddcaf2.csv,342566,ce694ca41616fc2331d77861e91a0c4c9ad0f6828a3375d9b1cf3c65a1aa7a79,2026-07-20,"'Redacted' = '-' small-count suppression; includes OVER/UNDER VOTES columns (kept in long, excluded from candidate ranking)."
2025,municipal general,Signed_Board_of_Canvassers_Document_53e42ecd16.pdf,board of canvassers certification,n/a,catalog-only,https://vote.utahcounty.gov/cms/uploads/Signed_Board_of_Canvassers_Document_53e42ecd16.pdf,248423,1b1cbf688854f039cdb04c64db4ad0c787db2ba37b763f1921819c476956f7d7,2026-07-20,
2025,municipal general,Statutory_Disclosures_1_4348bdfd3e.pdf,statutory disclosures,n/a,catalog-only,https://vote.utahcounty.gov/cms/uploads/Statutory_Disclosures_1_4348bdfd3e.pdf,98917,a01db824d579bd26c7befad23c1d84891b71c9637828d4fbbca7532dc92fa6d9,2026-07-20,
2025,municipal primary,2025_Primary_SOVC_suppressed_4bc086dabf.csv,SOVC wide-matrix CSV,precinct,parsed,https://vote.utahcounty.gov/cms/uploads/2025_Primary_SOVC_suppressed_4bc086dabf.csv,179986,4e7d7096ec6e151ca5f3ff2fbaf84e723d2a05356ae2c56d24c32d13b59d575a,2026-07-20,
2025,municipal primary,Countywide_Summary_Results_Official_99ee333134.pdf,official summary (Electionware),countywide,reconciliation,https://vote.utahcounty.gov/cms/uploads/Countywide_Summary_Results_Official_99ee333134.pdf,125153,44fe1616c6021d963b679dc37b8f5f1e94492f4702095fe7a35484ad9e68f79f,2026-07-20,179/179.
2025,municipal primary,Draper_Reporting_2025_8_26_795def9e21.pdf,SALT LAKE COUNTY unofficial report — Draper straddle,precinct,catalog-only,https://vote.utahcounty.gov/cms/uploads/Draper_Reporting_2025_8_26_795def9e21.pdf,415966,8dcb99dba1e330393ae3a6d2615df3d90ac0de3104142f032c6045be195e7b29,2026-07-20,"Generated by SLCo ('Salt Lake County, Utah', UNOFFICIAL, 8/25/2025): the three SLCo Draper precincts (25DR01-03) voting in ASPEN PEAKS SCHOOL BOARD 4 — the school district straddles into SLCo Draper while Utah County runs the contest. NOT a Draper municipal race; not loaded (unofficial + other-county grain + school-board scope)."
2026,regular primary,Board_of_Canvassers_Certification_8376423de5.pdf,board of canvassers certification,n/a,catalog-only,https://vote.utahcounty.gov/cms/uploads/Board_of_Canvassers_Certification_8376423de5.pdf,273578,81ff8ace0ece1af673de6a075d9db9f17f0bbdfe8ab6ec0c15f7a2a0fdd67649,2026-07-20,
2026,regular primary,Election_Summary_OFFICIAL_RESULTS_1_ea79a33841.pdf,official election summary,countywide,catalog-only,https://vote.utahcounty.gov/cms/uploads/Election_Summary_OFFICIAL_RESULTS_1_ea79a33841.pdf,6256,6a85f774d806158b7b3c927666d3d76c01090513647e86fb412a60581fc9fcba,2026-07-20,Countywide statistics summary.
2026,regular primary,Precinct_Summary_OFFICIAL_RESULTS_1_69c1ce8468.pdf,SOVC precinct-summary PDF (born-digital),precinct,parsed,https://vote.utahcounty.gov/cms/uploads/Precinct_Summary_OFFICIAL_RESULTS_1_69c1ce8468.pdf,1670860,ba59b15ccc2350f760bb7953da000bf6a1083c2a050e555ea32cb750daecaf58,2026-07-20,972pp; 19 whole precincts printed as 'Suppressed' (small-count privacy).
2026,regular primary,Primary_Statistics_70900019f3.pdf,statistics report,n/a,catalog-only,https://vote.utahcounty.gov/cms/uploads/Primary_Statistics_70900019f3.pdf,419005,f9807823259fa17e458ad71a5a6a06209eac4dbff39d99a6da3527816f47b6ea,2026-07-20,
2026,regular primary,Sign_Canvas_Report_f5fa8ddd35.pdf,signed canvass report,n/a,catalog-only,https://vote.utahcounty.gov/cms/uploads/Sign_Canvas_Report_f5fa8ddd35.pdf,1125283,53e2dc086d31265036c2d95b6a9a834cfb0570aafb300b29c03a5a89aa0273f0,2026-07-20,
