matter_id,motion_id,gap_type,detail,title
7130,1001,no_signed_ordinance_pdf,PDF attachments present but none matched ordinance language: 2022 Budget Resolution Approved as to Form,"A Resolution of the Salt Lake County Council Adopting a Final Budget for Fiscal Year 2022 for Salt Lake County Offices, "
7521,1173,no_signed_ordinance_pdf,PDF attachments present but none matched ordinance language: Staff Report,"Set a Public Hearing for Tuesday, April 5, 2022 at 4:00 PM to Receive Comment Regarding an Ordinance Amendment Related t"
7565,1190,no_signed_ordinance_pdf,PDF attachments present but none matched ordinance language: Council Staff Report.Packet.3-30-2022.FINAL; Staff Report,Public Hearing for the Ordinance Amendment of Section 19.12.030 of the Salt Lake County Code Related to Mineral Extracti
7714,1272,no_signed_ordinance_pdf,PDF attachments present but none matched ordinance language: Staff Report,"Set a Public Hearing for May 17, 2022, at 4:00 pm to Receive Comment for a Proposed Amendment to Salt Lake County Ordina"
8413,1660,no_signed_ordinance_pdf,PDF attachments present but none matched ordinance language: Final 2023 Budget Resolution,"A RESOLUTION OF THE SALT LAKE COUNTY COUNCIL ADOPTING A FINAL BUDGET FOR FISCAL YEAR 2023 FOR SALT LAKE COUNTY OFFICES, "
9470,2066,no_signed_ordinance_pdf,PDF attachments present but none matched ordinance language: SHCC_Bylaws_Final_10-2-23; SHCC_SLCoRecognition_ltr_09-2023; Sandy Hills Community Council Resolution; Sandy Hills Map; Staff Report,Consideration of a Resolution of the Salt Lake County Council Formally Recognizing the Sandy Hills Community Council Con
9715,2135,no_signed_ordinance_pdf,PDF attachments present but none matched ordinance language: Final 2024 Budget Resolution; Staff Report,CONSIDERATION OF A RESOLUTION OF THE SALT LAKE COUNTY COUNCIL ADOPTING A FINAL BUDGET FOR FISCAL YEAR 2024 FOR SALT LAKE
9795,2169,no_signed_ordinance_pdf,"PDF attachments present but none matched ordinance language: OAM2023-001026 SLCO Title 18 Repeal and Replace, CC Combined Staff Report, Jan 2024; Staff Report","Set a Public Hearing on February 6, 2024, for a Comprehensive Update and Revisions to Salt Lake County Code of Ordinance"
9815,2170,no_signed_ordinance_pdf,"PDF attachments present but none matched ordinance language: OAM2023-000994 FA-FR County Council Combined Staff Report, January 2024.docx; Staff Report","Set a Public Hearing on February 6, 2024, for a Comprehensive Update and Revisions to Salt Lake County Code of Ordinance"
6472,723,not_an_ordinance,resolution (fee waiver) that referenced 'County Ordinance 3.42.073'; excluded from ordinance catalog,A Resolution of the Salt Lake County Council Approving a Fee Waiver request under County Ordinance 3.42.073
7497,1164,not_an_ordinance,resolution (fee waiver) that referenced 'County Ordinance 3.42.073'; excluded from ordinance catalog,A Resolution of the Salt Lake County Council Approving a Fee Waiver Request Under County Ordinance 3.42.073 for Disposal
5079,207,procedural_or_duplicate_stage,procedural stage (same draft) of the ordinance adopted at matter 5377 (motion 306),Change in Ordinance for Salt Lake County Planning Commission
5288,266,procedural_or_duplicate_stage,procedural stage (same draft) of the ordinance adopted at matter 5377 (motion 306),"Set a Public Hearing Date for Tuesday, August 4, 2020, at 4:00 PM to Receive Comments Regarding an Amendment t"
5355,291,procedural_or_duplicate_stage,procedural stage (same draft) of the ordinance adopted at matter 5377 (motion 306),A Public Hearing to Receive Comments Regarding an Amendment to the Planning Commission Ordinance to Increase t
5766,458,procedural_or_duplicate_stage,2020 set-hearing for an ADU ordinance; an ADU ordinance was ultimately adopted at matter 7035 (motion 947),"Set a Public Hearing for Tuesday, December 15, 2020 at 4:00 PM to Receive Public Comment Regarding a Proposed "
6182,644,procedural_or_duplicate_stage,procedural stage (same draft) of the ordinance adopted at matter 7463 (motion 1145),"An Ordinance of the Legislative Body of Salt Lake County, Utah, Amending Section 19.90.020 of the Salt Lake Co"
6598,749,procedural_or_duplicate_stage,set-hearing stage of the Chapter 17 hydrology-study ordinance adopted at matter 6635 (motion 792),"Set a Public Hearing for Tuesday, July 20, 2021 at 4:00 PM to Receive Comment Regarding an Ordinance of the Sa"
6599,771,procedural_or_duplicate_stage,public-hearing stage of the Chapter 17 hydrology-study ordinance adopted at matter 6635 (motion 792),Public Hearing to Receive Comment Regarding an Ordinance of the Salt Lake County Council Modifying Chapters 17
6849,865,procedural_or_duplicate_stage,procedural stage (same draft) of the ordinance adopted at matter 6908 (motion 882),"Set a Public Hearing for Tuesday, September 28, 2021 at 4:00 PM to Receive Comment regarding An Ordinance of t"
6871,872,procedural_or_duplicate_stage,procedural stage (same draft) of the ordinance adopted at matter 6908 (motion 882),Public Hearing to Receive Comment regarding An Ordinance of the Salt Lake County Council Amending Boundaries o
6981,911,procedural_or_duplicate_stage,procedural stage (same draft) of the ordinance adopted at matter 7035 (motion 947),"Set a Public Hearing for Tuesday, October 26 at 4:00 PM to Receive Comment Regarding an Ordinance of the Salt "
7012,927,procedural_or_duplicate_stage,procedural stage (same draft) of the ordinance adopted at matter 7035 (motion 947),Public Hearing to Receive Comment Regarding an Ordinance of the Salt Lake County Council Creating Chapter 19.1
7031,945,procedural_or_duplicate_stage,procedural stage (same draft) of the ordinance adopted at matter 7054 (motion 960),"Set a Public Hearing For Tuesday, November 9, 2021 at 4:00 PM to Receive Comment Regarding an Ordinance of Sal"
7046,956,procedural_or_duplicate_stage,procedural stage (same draft) of the ordinance adopted at matter 7054 (motion 960),A Public Hearing to Receive Comment Regarding an Ordinance of Salt Lake County Modifying Section 19.74.040 of 
7175,1002,procedural_or_duplicate_stage,formal initiation to amend 19.12.030 (mineral extraction); no adoption motion identified in the ordinance motion set,"Formal initiation of proceedings to amend ordinance, pursuant to Utah Code Section 17-27a-508(1)(a)(ii)(B), by"
7734,1286,procedural_or_duplicate_stage,procedural/reading stage; enacting adoption not separately captured,Public Hearing for an Ordinance Amending Section 19.04.462 of the Salt Lake County Code to Include Wedding and
8333,1594,procedural_or_duplicate_stage,procedural stage (same draft) of the ordinance adopted at matter 8378 (motion 1614),"Set a Public Hearing for the Flood Damage Prevention Ordinance, Chapter 19.73 on November 15, 2022"
9604,2095,procedural_or_duplicate_stage,initiation stage of the Title 18 (Subdivisions) rewrite adopted at matter 9914 (motion 2254),"Initiation of a Comprehensive Update and Revisions to Salt Lake County Code of Ordinances, Chapter 18, entitle"
9639,2125,procedural_or_duplicate_stage,procedural stage (same draft) of the ordinance adopted at matter 9745 (motion 2143),"Set a Public Hearing on December 5, 2023, for An Ordinance, Amending Title 19, Entitled “Zoning” of the Salt L"
9713,2120,procedural_or_duplicate_stage,first reading of the recreational-facilities changing-facilities ordinance; adoption not separately captured in the motion set,"First Reading of An Ordinance of the Legislative Body of Salt Lake County, Utah, Amending Section 2.08.110 of "
9720,2118,procedural_or_duplicate_stage,procedural/reading stage; enacting adoption not separately captured,"Public Hearing to Receive Comment About An Ordinance, Amending Title 19, Entitled “Zoning” of the Salt Lake Co"
9876,2220,procedural_or_duplicate_stage,first reading of the FR/FA-zone animal-uses ordinance; adoption not separately captured in the motion set,"First Reading of an Ordinance of the Legislative Body of Salt Lake County, Utah. An Ordinance of General Revis"
10262,2333,procedural_or_duplicate_stage,procedural/reading stage; enacting adoption not separately captured,"Set a Public Hearing for Tuesday, May 21, 2024, to Consider an Ordinance of General Revision, Amending Title 1"
10844,2549,procedural_or_duplicate_stage,procedural stage (same draft) of the ordinance adopted at matter 10857 (motion 2509),"First Reading of an Ordinance of the Legislative Body of Salt Lake County, Utah, Amending Section 2.07.401 Of "
